tick,day,scene_id,mutation_id,avatar_x,avatar_y,selected_agent,selected_object,ceremony_phase,mutation_version,state_changed,scene_bounds_valid
254,17,v21-scene-d17,v21-mutation-0254,7.68,1.84,Keth,path cord,prompt,21,1,1
255,18,v21-scene-d18,v21-mutation-0255,7.68,1.84,Nari,ink ledger,handoff,21,1,1
256,18,v21-scene-d18,v21-mutation-0256,7.4,1.84,none,none,approach,21,1,1
257,18,v21-scene-d18,v21-mutation-0257,7.4,1.84,Vonn,none,restored,21,1,1
258,18,v21-scene-d18,v21-mutation-0258,7.68,1.84,Sova,ember bowl,prompt,21,1,1
259,18,v21-scene-d18,v21-mutation-0259,7.68,1.84,Keth,path cord,restored,21,1,1
260,18,v21-scene-d18,v21-mutation-0260,7.68,1.84,Melo,tally beads,prompt,21,1,1
261,18,v21-scene-d18,v21-mutation-0261,7.4,1.84,none,none,repair,21,1,1
262,18,v21-scene-d18,v21-mutation-0262,7.4,2.08,Ori,none,prompt,21,1,1
263,18,v21-scene-d18,v21-mutation-0263,7.4,2.08,Vonn,listening shell,handoff,21,1,1
264,18,v21-scene-d18,v21-mutation-0264,7.4,2.08,Sova,ember bowl,prompt,21,1,1
265,18,v21-scene-d18,v21-mutation-0265,7.4,2.32,Keth,path cord,prompt,21,1,1
266,18,v21-scene-d18,v21-mutation-0266,7.4,2.32,Melo,tally beads,prompt,21,1,1
267,18,v21-scene-d18,v21-mutation-0267,7.4,2.32,Nari,ink ledger,handoff,21,1,1
268,18,v21-scene-d18,v21-mutation-0268,7.4,2.56,Ori,none,prompt,21,1,1
269,18,v21-scene-d18,v21-mutation-0269,7.4,2.56,Vonn,listening shell,prompt,21,1,1
270,19,v21-scene-d19,v21-mutation-0270,7.4,2.56,Keth,path cord,prompt,21,1,1
271,19,v21-scene-d19,v21-mutation-0271,7.4,2.8,Melo,none,prompt,21,1,1
272,19,v21-scene-d19,v21-mutation-0272,7.4,2.8,Nari,ink ledger,handoff,21,1,1
273,19,v21-scene-d19,v21-mutation-0273,7.12,2.8,Ori,none,prompt,21,1,1
274,19,v21-scene-d19,v21-mutation-0274,6.84,2.8,Vonn,none,prompt,21,1,1
275,19,v21-scene-d19,v21-mutation-0275,6.84,2.56,Sova,ember bowl,prompt,21,1,1
276,19,v21-scene-d19,v21-mutation-0276,7.12,2.56,Keth,path cord,prompt,21,1,1
277,19,v21-scene-d19,v21-mutation-0277,7.12,2.56,Melo,none,restored,21,1,1
278,19,v21-scene-d19,v21-mutation-0278,7.12,2.56,Nari,none,restored,21,1,1
279,19,v21-scene-d19,v21-mutation-0279,7.12,2.56,Ori,none,prompt,21,1,1
280,19,v21-scene-d19,v21-mutation-0280,6.84,2.56,Vonn,none,prompt,21,1,1
281,19,v21-scene-d19,v21-mutation-0281,6.84,2.56,Sova,ember bowl,prompt,21,1,1
282,19,v21-scene-d19,v21-mutation-0282,7.12,2.56,Keth,path cord,prompt,21,1,1
