arc_id,agent_id,day,project_title,milestone,progress_before,progress_after,blocker,craft_dependency,economy_dependency,body_dependency,social_memory,next_commitment,saved_arc_key,frequency_hz,flower_node
arc-nian-1,nian,1,privacy ledger grammar,day 1 milestone for privacy ledger grammar,0.0,0.28,none,public digest knot,ledger review,control after threshold stress,Nian remembers object-place-day phrase held,continue privacy ledger grammar after day 1,long-arc:nian:1,171.0,4
arc-nian-3,nian,3,privacy ledger grammar,day 3 milestone for privacy ledger grammar,0.28,0.44,none,public digest knot,ledger review,control after threshold stress,Nian remembers object-place-day phrase held,continue privacy ledger grammar after day 3,long-arc:nian:3,175.25,5
arc-nian-5,nian,5,privacy ledger grammar,day 5 milestone for privacy ledger grammar,0.44,0.58,wording drift,public digest knot,ledger review,control after threshold stress,Nian remembers object-place-day phrase held,continue privacy ledger grammar after day 5,long-arc:nian:5,179.5,6
arc-nian-8,nian,8,privacy ledger grammar,day 8 milestone for privacy ledger grammar,0.58,0.72,none,public digest knot,ledger review,control after threshold stress,Nian remembers object-place-day phrase held,continue privacy ledger grammar after day 8,long-arc:nian:8,183.75,7
arc-nian-13,nian,13,privacy ledger grammar,day 13 milestone for privacy ledger grammar,0.72,0.83,wording drift,public digest knot,ledger review,control after threshold stress,Nian remembers object-place-day phrase held,continue privacy ledger grammar after day 13,long-arc:nian:13,188.0,8
arc-nian-21,nian,21,privacy ledger grammar,day 21 milestone for privacy ledger grammar,0.83,0.92,none,public digest knot,ledger review,control after threshold stress,Nian remembers object-place-day phrase held,continue privacy ledger grammar after day 21,long-arc:nian:21,192.25,9
arc-roka-1,roka,1,reed lesson tray,day 1 milestone for reed lesson tray,0.0,0.12,none,loose reed tray,loose tray exchange,wetness recovery,Roka remembers ask-each-time help,continue reed lesson tray after day 1,long-arc:roka:1,196.5,10
arc-roka-3,roka,3,reed lesson tray,day 3 milestone for reed lesson tray,0.12,0.24,none,loose reed tray,loose tray exchange,wetness recovery,Roka remembers ask-each-time help,continue reed lesson tray after day 3,long-arc:roka:3,200.75,11
arc-roka-5,roka,5,reed lesson tray,day 5 milestone for reed lesson tray,0.24,0.39,rain and trust repair,loose reed tray,loose tray exchange,wetness recovery,Roka remembers ask-each-time help,continue reed lesson tray after day 5,long-arc:roka:5,205.0,12
arc-roka-8,roka,8,reed lesson tray,day 8 milestone for reed lesson tray,0.39,0.5,none,loose reed tray,loose tray exchange,wetness recovery,Roka remembers ask-each-time help,continue reed lesson tray after day 8,long-arc:roka:8,209.25,1
arc-roka-13,roka,13,reed lesson tray,day 13 milestone for reed lesson tray,0.5,0.63,rain and trust repair,loose reed tray,loose tray exchange,wetness recovery,Roka remembers ask-each-time help,continue reed lesson tray after day 13,long-arc:roka:13,213.5,2
arc-roka-21,roka,21,reed lesson tray,day 21 milestone for reed lesson tray,0.63,0.76,none,loose reed tray,loose tray exchange,wetness recovery,Roka remembers ask-each-time help,continue reed lesson tray after day 21,long-arc:roka:21,217.75,3
arc-noro-1,noro,1,shade debt review,day 1 milestone for shade debt review,0.0,0.18,none,debt knot packet,timber credit ledger,focus recovery,Noro remembers debt read before request,continue shade debt review after day 1,long-arc:noro:1,222.0,4
arc-noro-3,noro,3,shade debt review,day 3 milestone for shade debt review,0.18,0.31,none,debt knot packet,timber credit ledger,focus recovery,Noro remembers debt read before request,continue shade debt review after day 3,long-arc:noro:3,226.25,5
arc-noro-5,noro,5,shade debt review,day 5 milestone for shade debt review,0.31,0.47,repayment slot,debt knot packet,timber credit ledger,focus recovery,Noro remembers debt read before request,continue shade debt review after day 5,long-arc:noro:5,230.5,6
arc-noro-8,noro,8,shade debt review,day 8 milestone for shade debt review,0.47,0.6,none,debt knot packet,timber credit ledger,focus recovery,Noro remembers debt read before request,continue shade debt review after day 8,long-arc:noro:8,234.75,7
arc-noro-13,noro,13,shade debt review,day 13 milestone for shade debt review,0.6,0.7,repayment slot,debt knot packet,timber credit ledger,focus recovery,Noro remembers debt read before request,continue shade debt review after day 13,long-arc:noro:13,239.0,8
arc-noro-21,noro,21,shade debt review,day 21 milestone for shade debt review,0.7,0.82,none,debt knot packet,timber credit ledger,focus recovery,Noro remembers debt read before request,continue shade debt review after day 21,long-arc:noro:21,243.25,9
