tick,day,slot,selected_resident,scrub_frame,index_frame,memory_debt_frame,schedule_diff_frame,localstorage_snapshot_frame,invariant_frame,causality_frame,audit_ui_frame,audit_layer_attached_to_v58_loop,boundary_visible
33,2,15,Milo,33,33,33,33,33,33,33,33,True,True
34,2,16,Sera,34,34,34,34,34,34,34,34,True,True
35,2,17,Tovan,35,35,35,35,35,35,35,35,True,True
36,3,0,Nia,36,36,36,36,36,36,36,36,True,True
37,3,1,Ari,37,37,37,37,37,37,37,37,True,True
38,3,2,Fay,38,38,38,38,38,38,38,38,True,True
39,3,3,Milo,39,39,39,39,39,39,39,39,True,True
40,3,4,Sera,40,40,40,40,40,40,40,40,True,True
41,3,5,Tovan,41,41,41,41,41,41,41,41,True,True
42,3,6,Nia,42,42,42,42,42,42,42,42,True,True
43,3,7,Ari,43,43,43,43,43,43,43,43,True,True
44,3,8,Fay,44,44,44,44,44,44,44,44,True,True
45,3,9,Milo,45,45,45,45,45,45,45,45,True,True
46,3,10,Sera,46,46,46,46,46,46,46,46,True,True
47,3,11,Tovan,47,47,47,47,47,47,47,47,True,True
48,3,12,Nia,48,48,48,48,48,48,48,48,True,True
49,3,13,Ari,49,49,49,49,49,49,49,49,True,True
50,3,14,Fay,50,50,50,50,50,50,50,50,True,True
51,3,15,Milo,51,51,51,51,51,51,51,51,True,True
52,3,16,Sera,52,52,52,52,52,52,52,52,True,True
53,3,17,Tovan,53,53,53,53,53,53,53,53,True,True
54,4,0,Nia,54,54,54,54,54,54,54,54,True,True
55,4,1,Ari,55,55,55,55,55,55,55,55,True,True
56,4,2,Fay,56,56,56,56,56,56,56,56,True,True
57,4,3,Milo,57,57,57,57,57,57,57,57,True,True
58,4,4,Sera,58,58,58,58,58,58,58,58,True,True
59,4,5,Tovan,59,59,59,59,59,59,59,59,True,True
60,4,6,Nia,60,60,60,60,60,60,60,60,True,True
61,4,7,Ari,61,61,61,61,61,61,61,61,True,True
62,4,8,Fay,62,62,62,62,62,62,62,62,True,True
63,4,9,Milo,63,63,63,63,63,63,63,63,True,True
64,4,10,Sera,64,64,64,64,64,64,64,64,True,True
65,4,11,Tovan,65,65,65,65,65,65,65,65,True,True
66,4,12,Nia,66,66,66,66,66,66,66,66,True,True
67,4,13,Ari,67,67,67,67,67,67,67,67,True,True
68,4,14,Fay,68,68,68,68,68,68,68,68,True,True
69,4,15,Milo,69,69,69,69,69,69,69,69,True,True
70,4,16,Sera,70,70,70,70,70,70,70,70,True,True
71,4,17,Tovan,71,71,71,71,71,71,71,71,True,True
72,5,0,Nia,72,72,72,72,72,72,72,72,True,True
73,5,1,Ari,73,73,73,73,73,73,73,73,True,True
74,5,2,Fay,74,74,74,74,74,74,74,74,True,True
75,5,3,Milo,75,75,75,75,75,75,75,75,True,True
76,5,4,Sera,76,76,76,76,76,76,76,76,True,True
77,5,5,Tovan,77,77,77,77,77,77,77,77,True,True
78,5,6,Nia,78,78,78,78,78,78,78,78,True,True
79,5,7,Ari,79,79,79,79,79,79,79,79,True,True
80,5,8,Fay,80,80,80,80,80,80,80,80,True,True
81,5,9,Milo,81,81,81,81,81,81,81,81,True,True
82,5,10,Sera,82,82,82,82,82,82,82,82,True,True
83,5,11,Tovan,83,83,83,83,83,83,83,83,True,True
84,5,12,Nia,84,84,84,84,84,84,84,84,True,True
85,5,13,Ari,85,85,85,85,85,85,85,85,True,True
86,5,14,Fay,86,86,86,86,86,86,86,86,True,True
87,5,15,Milo,87,87,87,87,87,87,87,87,True,True
88,5,16,Sera,88,88,88,88,88,88,88,88,True,True
89,5,17,Tovan,89,89,89,89,89,89,89,89,True,True
90,6,0,Nia,90,90,90,90,90,90,90,90,True,True
91,6,1,Ari,91,91,91,91,91,91,91,91,True,True
92,6,2,Fay,92,92,92,92,92,92,92,92,True,True
93,6,3,Milo,93,93,93,93,93,93,93,93,True,True
94,6,4,Sera,94,94,94,94,94,94,94,94,True,True
95,6,5,Tovan,95,95,95,95,95,95,95,95,True,True
96,6,6,Nia,96,96,96,96,96,96,96,96,True,True
97,6,7,Ari,97,97,97,97,97,97,97,97,True,True
98,6,8,Fay,98,98,98,98,98,98,98,98,True,True
99,6,9,Milo,99,99,99,99,99,99,99,99,True,True
100,6,10,Sera,100,100,100,100,100,100,100,100,True,True
101,6,11,Tovan,101,101,101,101,101,101,101,101,True,True
102,6,12,Nia,102,102,102,102,102,102,102,102,True,True
103,6,13,Ari,103,103,103,103,103,103,103,103,True,True
104,6,14,Fay,104,104,104,104,104,104,104,104,True,True
105,6,15,Milo,105,105,105,105,105,105,105,105,True,True
106,6,16,Sera,106,106,106,106,106,106,106,106,True,True
107,6,17,Tovan,107,107,107,107,107,107,107,107,True,True
108,7,0,Nia,108,108,108,108,108,108,108,108,True,True
109,7,1,Ari,109,109,109,109,109,109,109,109,True,True
110,7,2,Fay,110,110,110,110,110,110,110,110,True,True
111,7,3,Milo,111,111,111,111,111,111,111,111,True,True
112,7,4,Sera,112,112,112,112,112,112,112,112,True,True
113,7,5,Tovan,113,113,113,113,113,113,113,113,True,True
114,7,6,Nia,114,114,114,114,114,114,114,114,True,True
115,7,7,Ari,115,115,115,115,115,115,115,115,True,True
116,7,8,Fay,116,116,116,116,116,116,116,116,True,True
117,7,9,Milo,117,117,117,117,117,117,117,117,True,True
118,7,10,Sera,118,118,118,118,118,118,118,118,True,True
119,7,11,Tovan,119,119,119,119,119,119,119,119,True,True
120,7,12,Nia,120,120,120,120,120,120,120,120,True,True
121,7,13,Ari,121,121,121,121,121,121,121,121,True,True
122,7,14,Fay,122,122,122,122,122,122,122,122,True,True
123,7,15,Milo,123,123,123,123,123,123,123,123,True,True
124,7,16,Sera,124,124,124,124,124,124,124,124,True,True
125,7,17,Tovan,125,125,125,125,125,125,125,125,True,True
126,8,0,Nia,126,126,126,126,126,126,126,126,True,True
127,8,1,Ari,127,127,127,127,127,127,127,127,True,True
128,8,2,Fay,128,128,128,128,128,128,128,128,True,True
129,8,3,Milo,129,129,129,129,129,129,129,129,True,True
130,8,4,Sera,130,130,130,130,130,130,130,130,True,True
131,8,5,Tovan,131,131,131,131,131,131,131,131,True,True
132,8,6,Nia,132,132,132,132,132,132,132,132,True,True
133,8,7,Ari,133,133,133,133,133,133,133,133,True,True
134,8,8,Fay,134,134,134,134,134,134,134,134,True,True
135,8,9,Milo,135,135,135,135,135,135,135,135,True,True
136,8,10,Sera,136,136,136,136,136,136,136,136,True,True
137,8,11,Tovan,137,137,137,137,137,137,137,137,True,True
138,8,12,Nia,138,138,138,138,138,138,138,138,True,True
139,8,13,Ari,139,139,139,139,139,139,139,139,True,True
140,8,14,Fay,140,140,140,140,140,140,140,140,True,True
141,8,15,Milo,141,141,141,141,141,141,141,141,True,True
142,8,16,Sera,142,142,142,142,142,142,142,142,True,True
143,8,17,Tovan,143,143,143,143,143,143,143,143,True,True
144,9,0,Nia,144,144,144,144,144,144,144,144,True,True
145,9,1,Ari,145,145,145,145,145,145,145,145,True,True
146,9,2,Fay,146,146,146,146,146,146,146,146,True,True
147,9,3,Milo,147,147,147,147,147,147,147,147,True,True
148,9,4,Sera,148,148,148,148,148,148,148,148,True,True
149,9,5,Tovan,149,149,149,149,149,149,149,149,True,True
150,9,6,Nia,150,150,150,150,150,150,150,150,True,True
151,9,7,Ari,151,151,151,151,151,151,151,151,True,True
152,9,8,Fay,152,152,152,152,152,152,152,152,True,True
153,9,9,Milo,153,153,153,153,153,153,153,153,True,True
154,9,10,Sera,154,154,154,154,154,154,154,154,True,True
155,9,11,Tovan,155,155,155,155,155,155,155,155,True,True
156,9,12,Nia,156,156,156,156,156,156,156,156,True,True
157,9,13,Ari,157,157,157,157,157,157,157,157,True,True
158,9,14,Fay,158,158,158,158,158,158,158,158,True,True
159,9,15,Milo,159,159,159,159,159,159,159,159,True,True
160,9,16,Sera,160,160,160,160,160,160,160,160,True,True
161,9,17,Tovan,161,161,161,161,161,161,161,161,True,True
162,10,0,Nia,162,162,162,162,162,162,162,162,True,True
163,10,1,Ari,163,163,163,163,163,163,163,163,True,True
164,10,2,Fay,164,164,164,164,164,164,164,164,True,True
165,10,3,Milo,165,165,165,165,165,165,165,165,True,True
166,10,4,Sera,166,166,166,166,166,166,166,166,True,True
167,10,5,Tovan,167,167,167,167,167,167,167,167,True,True
168,10,6,Nia,168,168,168,168,168,168,168,168,True,True
169,10,7,Ari,169,169,169,169,169,169,169,169,True,True
170,10,8,Fay,170,170,170,170,170,170,170,170,True,True
171,10,9,Milo,171,171,171,171,171,171,171,171,True,True
172,10,10,Sera,172,172,172,172,172,172,172,172,True,True
173,10,11,Tovan,173,173,173,173,173,173,173,173,True,True
174,10,12,Nia,174,174,174,174,174,174,174,174,True,True
175,10,13,Ari,175,175,175,175,175,175,175,175,True,True
176,10,14,Fay,176,176,176,176,176,176,176,176,True,True
177,10,15,Milo,177,177,177,177,177,177,177,177,True,True
178,10,16,Sera,178,178,178,178,178,178,178,178,True,True
179,10,17,Tovan,179,179,179,179,179,179,179,179,True,True
180,11,0,Nia,180,180,180,180,180,180,180,180,True,True
181,11,1,Ari,181,181,181,181,181,181,181,181,True,True
182,11,2,Fay,182,182,182,182,182,182,182,182,True,True
183,11,3,Milo,183,183,183,183,183,183,183,183,True,True
184,11,4,Sera,184,184,184,184,184,184,184,184,True,True
185,11,5,Tovan,185,185,185,185,185,185,185,185,True,True
186,11,6,Nia,186,186,186,186,186,186,186,186,True,True
187,11,7,Ari,187,187,187,187,187,187,187,187,True,True
188,11,8,Fay,188,188,188,188,188,188,188,188,True,True
189,11,9,Milo,189,189,189,189,189,189,189,189,True,True
190,11,10,Sera,190,190,190,190,190,190,190,190,True,True
191,11,11,Tovan,191,191,191,191,191,191,191,191,True,True
192,11,12,Nia,192,192,192,192,192,192,192,192,True,True
193,11,13,Ari,193,193,193,193,193,193,193,193,True,True
194,11,14,Fay,194,194,194,194,194,194,194,194,True,True
195,11,15,Milo,195,195,195,195,195,195,195,195,True,True
196,11,16,Sera,196,196,196,196,196,196,196,196,True,True
197,11,17,Tovan,197,197,197,197,197,197,197,197,True,True
198,12,0,Nia,198,198,198,198,198,198,198,198,True,True
199,12,1,Ari,199,199,199,199,199,199,199,199,True,True
200,12,2,Fay,200,200,200,200,200,200,200,200,True,True
201,12,3,Milo,201,201,201,201,201,201,201,201,True,True
202,12,4,Sera,202,202,202,202,202,202,202,202,True,True
203,12,5,Tovan,203,203,203,203,203,203,203,203,True,True
204,12,6,Nia,204,204,204,204,204,204,204,204,True,True
205,12,7,Ari,205,205,205,205,205,205,205,205,True,True
206,12,8,Fay,206,206,206,206,206,206,206,206,True,True
207,12,9,Milo,207,207,207,207,207,207,207,207,True,True
208,12,10,Sera,208,208,208,208,208,208,208,208,True,True
209,12,11,Tovan,209,209,209,209,209,209,209,209,True,True
210,12,12,Nia,210,210,210,210,210,210,210,210,True,True
211,12,13,Ari,211,211,211,211,211,211,211,211,True,True
212,12,14,Fay,212,212,212,212,212,212,212,212,True,True
213,12,15,Milo,213,213,213,213,213,213,213,213,True,True
214,12,16,Sera,214,214,214,214,214,214,214,214,True,True
215,12,17,Tovan,215,215,215,215,215,215,215,215,True,True
216,13,0,Nia,216,216,216,216,216,216,216,216,True,True
217,13,1,Ari,217,217,217,217,217,217,217,217,True,True
218,13,2,Fay,218,218,218,218,218,218,218,218,True,True
219,13,3,Milo,219,219,219,219,219,219,219,219,True,True
220,13,4,Sera,220,220,220,220,220,220,220,220,True,True
221,13,5,Tovan,221,221,221,221,221,221,221,221,True,True
222,13,6,Nia,222,222,222,222,222,222,222,222,True,True
223,13,7,Ari,223,223,223,223,223,223,223,223,True,True
224,13,8,Fay,224,224,224,224,224,224,224,224,True,True
225,13,9,Milo,225,225,225,225,225,225,225,225,True,True
226,13,10,Sera,226,226,226,226,226,226,226,226,True,True
227,13,11,Tovan,227,227,227,227,227,227,227,227,True,True
228,13,12,Nia,228,228,228,228,228,228,228,228,True,True
229,13,13,Ari,229,229,229,229,229,229,229,229,True,True
230,13,14,Fay,230,230,230,230,230,230,230,230,True,True
231,13,15,Milo,231,231,231,231,231,231,231,231,True,True
232,13,16,Sera,232,232,232,232,232,232,232,232,True,True
233,13,17,Tovan,233,233,233,233,233,233,233,233,True,True
234,14,0,Nia,234,234,234,234,234,234,234,234,True,True
235,14,1,Ari,235,235,235,235,235,235,235,235,True,True
236,14,2,Fay,236,236,236,236,236,236,236,236,True,True
237,14,3,Milo,237,237,237,237,237,237,237,237,True,True
238,14,4,Sera,238,238,238,238,238,238,238,238,True,True
239,14,5,Tovan,239,239,239,239,239,239,239,239,True,True
240,14,6,Nia,240,240,240,240,240,240,240,240,True,True
241,14,7,Ari,241,241,241,241,241,241,241,241,True,True
242,14,8,Fay,242,242,242,242,242,242,242,242,True,True
243,14,9,Milo,243,243,243,243,243,243,243,243,True,True
244,14,10,Sera,244,244,244,244,244,244,244,244,True,True
245,14,11,Tovan,245,245,245,245,245,245,245,245,True,True
246,14,12,Nia,246,246,246,246,246,246,246,246,True,True
247,14,13,Ari,247,247,247,247,247,247,247,247,True,True
248,14,14,Fay,248,248,248,248,248,248,248,248,True,True
249,14,15,Milo,249,249,249,249,249,249,249,249,True,True
250,14,16,Sera,250,250,250,250,250,250,250,250,True,True
251,14,17,Tovan,251,251,251,251,251,251,251,251,True,True
252,15,0,Nia,252,252,252,252,252,252,252,252,True,True
253,15,1,Ari,253,253,253,253,253,253,253,253,True,True
254,15,2,Fay,254,254,254,254,254,254,254,254,True,True
255,15,3,Milo,255,255,255,255,255,255,255,255,True,True
256,15,4,Sera,256,256,256,256,256,256,256,256,True,True
257,15,5,Tovan,257,257,257,257,257,257,257,257,True,True
258,15,6,Nia,258,258,258,258,258,258,258,258,True,True
259,15,7,Ari,259,259,259,259,259,259,259,259,True,True
260,15,8,Fay,260,260,260,260,260,260,260,260,True,True
261,15,9,Milo,261,261,261,261,261,261,261,261,True,True
262,15,10,Sera,262,262,262,262,262,262,262,262,True,True
263,15,11,Tovan,263,263,263,263,263,263,263,263,True,True
264,15,12,Nia,264,264,264,264,264,264,264,264,True,True
265,15,13,Ari,265,265,265,265,265,265,265,265,True,True
266,15,14,Fay,266,266,266,266,266,266,266,266,True,True
267,15,15,Milo,267,267,267,267,267,267,267,267,True,True
268,15,16,Sera,268,268,268,268,268,268,268,268,True,True
269,15,17,Tovan,269,269,269,269,269,269,269,269,True,True
270,16,0,Nia,270,270,270,270,270,270,270,270,True,True
271,16,1,Ari,271,271,271,271,271,271,271,271,True,True
272,16,2,Fay,272,272,272,272,272,272,272,272,True,True
273,16,3,Milo,273,273,273,273,273,273,273,273,True,True
274,16,4,Sera,274,274,274,274,274,274,274,274,True,True
275,16,5,Tovan,275,275,275,275,275,275,275,275,True,True
276,16,6,Nia,276,276,276,276,276,276,276,276,True,True
277,16,7,Ari,277,277,277,277,277,277,277,277,True,True
278,16,8,Fay,278,278,278,278,278,278,278,278,True,True
279,16,9,Milo,279,279,279,279,279,279,279,279,True,True
280,16,10,Sera,280,280,280,280,280,280,280,280,True,True
281,16,11,Tovan,281,281,281,281,281,281,281,281,True,True
282,16,12,Nia,282,282,282,282,282,282,282,282,True,True
283,16,13,Ari,283,283,283,283,283,283,283,283,True,True
284,16,14,Fay,284,284,284,284,284,284,284,284,True,True
285,16,15,Milo,285,285,285,285,285,285,285,285,True,True
286,16,16,Sera,286,286,286,286,286,286,286,286,True,True
287,16,17,Tovan,287,287,287,287,287,287,287,287,True,True
288,17,0,Nia,288,288,288,288,288,288,288,288,True,True
289,17,1,Ari,289,289,289,289,289,289,289,289,True,True
290,17,2,Fay,290,290,290,290,290,290,290,290,True,True
291,17,3,Milo,291,291,291,291,291,291,291,291,True,True
292,17,4,Sera,292,292,292,292,292,292,292,292,True,True
293,17,5,Tovan,293,293,293,293,293,293,293,293,True,True
294,17,6,Nia,294,294,294,294,294,294,294,294,True,True
295,17,7,Ari,295,295,295,295,295,295,295,295,True,True
296,17,8,Fay,296,296,296,296,296,296,296,296,True,True
297,17,9,Milo,297,297,297,297,297,297,297,297,True,True
298,17,10,Sera,298,298,298,298,298,298,298,298,True,True
299,17,11,Tovan,299,299,299,299,299,299,299,299,True,True
300,17,12,Nia,300,300,300,300,300,300,300,300,True,True
301,17,13,Ari,301,301,301,301,301,301,301,301,True,True
302,17,14,Fay,302,302,302,302,302,302,302,302,True,True
303,17,15,Milo,303,303,303,303,303,303,303,303,True,True
304,17,16,Sera,304,304,304,304,304,304,304,304,True,True
305,17,17,Tovan,305,305,305,305,305,305,305,305,True,True
306,18,0,Nia,306,306,306,306,306,306,306,306,True,True
307,18,1,Ari,307,307,307,307,307,307,307,307,True,True
308,18,2,Fay,308,308,308,308,308,308,308,308,True,True
309,18,3,Milo,309,309,309,309,309,309,309,309,True,True
310,18,4,Sera,310,310,310,310,310,310,310,310,True,True
311,18,5,Tovan,311,311,311,311,311,311,311,311,True,True
312,18,6,Nia,312,312,312,312,312,312,312,312,True,True
313,18,7,Ari,313,313,313,313,313,313,313,313,True,True
314,18,8,Fay,314,314,314,314,314,314,314,314,True,True
315,18,9,Milo,315,315,315,315,315,315,315,315,True,True
316,18,10,Sera,316,316,316,316,316,316,316,316,True,True
317,18,11,Tovan,317,317,317,317,317,317,317,317,True,True
318,18,12,Nia,318,318,318,318,318,318,318,318,True,True
319,18,13,Ari,319,319,319,319,319,319,319,319,True,True
320,18,14,Fay,320,320,320,320,320,320,320,320,True,True
321,18,15,Milo,321,321,321,321,321,321,321,321,True,True
322,18,16,Sera,322,322,322,322,322,322,322,322,True,True
323,18,17,Tovan,323,323,323,323,323,323,323,323,True,True
324,19,0,Nia,324,324,324,324,324,324,324,324,True,True
325,19,1,Ari,325,325,325,325,325,325,325,325,True,True
326,19,2,Fay,326,326,326,326,326,326,326,326,True,True
327,19,3,Milo,327,327,327,327,327,327,327,327,True,True
328,19,4,Sera,328,328,328,328,328,328,328,328,True,True
329,19,5,Tovan,329,329,329,329,329,329,329,329,True,True
330,19,6,Nia,330,330,330,330,330,330,330,330,True,True
331,19,7,Ari,331,331,331,331,331,331,331,331,True,True
332,19,8,Fay,332,332,332,332,332,332,332,332,True,True
333,19,9,Milo,333,333,333,333,333,333,333,333,True,True
334,19,10,Sera,334,334,334,334,334,334,334,334,True,True
335,19,11,Tovan,335,335,335,335,335,335,335,335,True,True
336,19,12,Nia,336,336,336,336,336,336,336,336,True,True
337,19,13,Ari,337,337,337,337,337,337,337,337,True,True
338,19,14,Fay,338,338,338,338,338,338,338,338,True,True
339,19,15,Milo,339,339,339,339,339,339,339,339,True,True
340,19,16,Sera,340,340,340,340,340,340,340,340,True,True
341,19,17,Tovan,341,341,341,341,341,341,341,341,True,True
342,20,0,Nia,342,342,342,342,342,342,342,342,True,True
343,20,1,Ari,343,343,343,343,343,343,343,343,True,True
344,20,2,Fay,344,344,344,344,344,344,344,344,True,True
345,20,3,Milo,345,345,345,345,345,345,345,345,True,True
346,20,4,Sera,346,346,346,346,346,346,346,346,True,True
347,20,5,Tovan,347,347,347,347,347,347,347,347,True,True
348,20,6,Nia,348,348,348,348,348,348,348,348,True,True
349,20,7,Ari,349,349,349,349,349,349,349,349,True,True
350,20,8,Fay,350,350,350,350,350,350,350,350,True,True
351,20,9,Milo,351,351,351,351,351,351,351,351,True,True
352,20,10,Sera,352,352,352,352,352,352,352,352,True,True
353,20,11,Tovan,353,353,353,353,353,353,353,353,True,True
354,20,12,Nia,354,354,354,354,354,354,354,354,True,True
355,20,13,Ari,355,355,355,355,355,355,355,355,True,True
356,20,14,Fay,356,356,356,356,356,356,356,356,True,True
357,20,15,Milo,357,357,357,357,357,357,357,357,True,True
358,20,16,Sera,358,358,358,358,358,358,358,358,True,True
359,20,17,Tovan,359,359,359,359,359,359,359,359,True,True
360,21,0,Nia,360,360,360,360,360,360,360,360,True,True
361,21,1,Ari,361,361,361,361,361,361,361,361,True,True
362,21,2,Fay,362,362,362,362,362,362,362,362,True,True
363,21,3,Milo,363,363,363,363,363,363,363,363,True,True
364,21,4,Sera,364,364,364,364,364,364,364,364,True,True
365,21,5,Tovan,365,365,365,365,365,365,365,365,True,True
366,21,6,Nia,366,366,366,366,366,366,366,366,True,True
367,21,7,Ari,367,367,367,367,367,367,367,367,True,True
368,21,8,Fay,368,368,368,368,368,368,368,368,True,True
369,21,9,Milo,369,369,369,369,369,369,369,369,True,True
370,21,10,Sera,370,370,370,370,370,370,370,370,True,True
371,21,11,Tovan,371,371,371,371,371,371,371,371,True,True
372,21,12,Nia,372,372,372,372,372,372,372,372,True,True
373,21,13,Ari,373,373,373,373,373,373,373,373,True,True
374,21,14,Fay,374,374,374,374,374,374,374,374,True,True
375,21,15,Milo,375,375,375,375,375,375,375,375,True,True
376,21,16,Sera,376,376,376,376,376,376,376,376,True,True
377,21,17,Tovan,377,377,377,377,377,377,377,377,True,True
378,22,0,Nia,378,378,378,378,378,378,378,378,True,True
379,22,1,Ari,379,379,379,379,379,379,379,379,True,True
380,22,2,Fay,380,380,380,380,380,380,380,380,True,True
381,22,3,Milo,381,381,381,381,381,381,381,381,True,True
382,22,4,Sera,382,382,382,382,382,382,382,382,True,True
383,22,5,Tovan,383,383,383,383,383,383,383,383,True,True
384,22,6,Nia,384,384,384,384,384,384,384,384,True,True
385,22,7,Ari,385,385,385,385,385,385,385,385,True,True
386,22,8,Fay,386,386,386,386,386,386,386,386,True,True
387,22,9,Milo,387,387,387,387,387,387,387,387,True,True
388,22,10,Sera,388,388,388,388,388,388,388,388,True,True
389,22,11,Tovan,389,389,389,389,389,389,389,389,True,True
390,22,12,Nia,390,390,390,390,390,390,390,390,True,True
391,22,13,Ari,391,391,391,391,391,391,391,391,True,True
392,22,14,Fay,392,392,392,392,392,392,392,392,True,True
393,22,15,Milo,393,393,393,393,393,393,393,393,True,True
394,22,16,Sera,394,394,394,394,394,394,394,394,True,True
395,22,17,Tovan,395,395,395,395,395,395,395,395,True,True
396,23,0,Nia,396,396,396,396,396,396,396,396,True,True
397,23,1,Ari,397,397,397,397,397,397,397,397,True,True
398,23,2,Fay,398,398,398,398,398,398,398,398,True,True
399,23,3,Milo,399,399,399,399,399,399,399,399,True,True
400,23,4,Sera,400,400,400,400,400,400,400,400,True,True
401,23,5,Tovan,401,401,401,401,401,401,401,401,True,True
402,23,6,Nia,402,402,402,402,402,402,402,402,True,True
403,23,7,Ari,403,403,403,403,403,403,403,403,True,True
404,23,8,Fay,404,404,404,404,404,404,404,404,True,True
405,23,9,Milo,405,405,405,405,405,405,405,405,True,True
406,23,10,Sera,406,406,406,406,406,406,406,406,True,True
407,23,11,Tovan,407,407,407,407,407,407,407,407,True,True
408,23,12,Nia,408,408,408,408,408,408,408,408,True,True
409,23,13,Ari,409,409,409,409,409,409,409,409,True,True
410,23,14,Fay,410,410,410,410,410,410,410,410,True,True
411,23,15,Milo,411,411,411,411,411,411,411,411,True,True
412,23,16,Sera,412,412,412,412,412,412,412,412,True,True
413,23,17,Tovan,413,413,413,413,413,413,413,413,True,True
414,24,0,Nia,414,414,414,414,414,414,414,414,True,True
415,24,1,Ari,415,415,415,415,415,415,415,415,True,True
416,24,2,Fay,416,416,416,416,416,416,416,416,True,True
417,24,3,Milo,417,417,417,417,417,417,417,417,True,True
418,24,4,Sera,418,418,418,418,418,418,418,418,True,True
419,24,5,Tovan,419,419,419,419,419,419,419,419,True,True
420,24,6,Nia,420,420,420,420,420,420,420,420,True,True
421,24,7,Ari,421,421,421,421,421,421,421,421,True,True
422,24,8,Fay,422,422,422,422,422,422,422,422,True,True
423,24,9,Milo,423,423,423,423,423,423,423,423,True,True
424,24,10,Sera,424,424,424,424,424,424,424,424,True,True
425,24,11,Tovan,425,425,425,425,425,425,425,425,True,True
426,24,12,Nia,426,426,426,426,426,426,426,426,True,True
427,24,13,Ari,427,427,427,427,427,427,427,427,True,True
428,24,14,Fay,428,428,428,428,428,428,428,428,True,True
429,24,15,Milo,429,429,429,429,429,429,429,429,True,True
430,24,16,Sera,430,430,430,430,430,430,430,430,True,True
431,24,17,Tovan,431,431,431,431,431,431,431,431,True,True
432,25,0,Nia,432,432,432,432,432,432,432,432,True,True
433,25,1,Ari,433,433,433,433,433,433,433,433,True,True
434,25,2,Fay,434,434,434,434,434,434,434,434,True,True
435,25,3,Milo,435,435,435,435,435,435,435,435,True,True
436,25,4,Sera,436,436,436,436,436,436,436,436,True,True
437,25,5,Tovan,437,437,437,437,437,437,437,437,True,True
438,25,6,Nia,438,438,438,438,438,438,438,438,True,True
439,25,7,Ari,439,439,439,439,439,439,439,439,True,True
440,25,8,Fay,440,440,440,440,440,440,440,440,True,True
441,25,9,Milo,441,441,441,441,441,441,441,441,True,True
442,25,10,Sera,442,442,442,442,442,442,442,442,True,True
443,25,11,Tovan,443,443,443,443,443,443,443,443,True,True
444,25,12,Nia,444,444,444,444,444,444,444,444,True,True
445,25,13,Ari,445,445,445,445,445,445,445,445,True,True
446,25,14,Fay,446,446,446,446,446,446,446,446,True,True
447,25,15,Milo,447,447,447,447,447,447,447,447,True,True
448,25,16,Sera,448,448,448,448,448,448,448,448,True,True
449,25,17,Tovan,449,449,449,449,449,449,449,449,True,True
450,26,0,Nia,450,450,450,450,450,450,450,450,True,True
451,26,1,Ari,451,451,451,451,451,451,451,451,True,True
452,26,2,Fay,452,452,452,452,452,452,452,452,True,True
453,26,3,Milo,453,453,453,453,453,453,453,453,True,True
454,26,4,Sera,454,454,454,454,454,454,454,454,True,True
455,26,5,Tovan,455,455,455,455,455,455,455,455,True,True
456,26,6,Nia,456,456,456,456,456,456,456,456,True,True
