tick,day,obligation_id,scene_id,agent,object_name,obligation_kind,age_days,due_day,status_before,status_after,persisted_across_visit,visible_to_avatar,obligation_integrity_score
144,9,v24-obligation-melo-0144,v24-scene-d09,Melo,tally beads,return_owned_object,1,10,open,open,1,1,1.0
145,9,v24-no-open-sova-0145,v24-scene-d09,Sova,ember bowl,none,0,9,none,none,0,0,1.0
146,9,v24-obligation-melo-0144,v24-scene-d09,Melo,tally beads,return_owned_object,1,11,open,repaired,0,1,1.0
147,9,v24-obligation-melo-0147,v24-scene-d09,Melo,tally beads,return_owned_object,1,10,open,repaired,0,1,1.0
148,9,v24-obligation-ori-0143,v24-scene-d09,Ori,sap hook,return_owned_object,2,11,open,open,1,1,1.0
149,9,v24-no-open-melo-0149,v24-scene-d09,Melo,tally beads,none,0,9,none,none,0,0,1.0
150,9,v24-obligation-keth-0150,v24-scene-d09,Keth,path cord,return_owned_object,1,10,open,repaired,0,1,1.0
151,9,v24-obligation-sova-0151,v24-scene-d09,Sova,ember bowl,return_owned_object,1,11,open,repaired,0,1,1.0
152,9,v24-obligation-melo-0152,v24-scene-d09,Melo,tally beads,return_owned_object,1,12,open,open,1,1,1.0
153,9,v24-obligation-vonn-0110,v24-scene-d09,Vonn,rain mirror,help_with_owned_task,3,10,open,open,1,0,0.75
154,9,v24-obligation-keth-0154,v24-scene-d09,Keth,path cord,return_owned_object,1,11,open,repaired,0,1,1.0
155,9,v24-obligation-nari-0155,v24-scene-d09,Nari,ink ledger,return_owned_object,1,12,open,open,1,1,1.0
156,9,v24-obligation-keth-0156,v24-scene-d09,Keth,path cord,return_owned_object,1,10,open,repaired,0,1,1.0
157,9,v24-obligation-nari-0155,v24-scene-d09,Nari,ink ledger,return_owned_object,1,12,open,repaired,0,1,1.0
158,9,v24-obligation-vonn-0110,v24-scene-d09,Vonn,rain mirror,help_with_owned_task,3,10,open,open,1,1,1.0
159,9,v24-obligation-sova-0159,v24-scene-d09,Sova,ember bowl,return_owned_object,1,10,open,open,1,1,1.0
160,9,v24-obligation-keth-0160,v24-scene-d09,Keth,path cord,return_owned_object,1,11,open,open,1,1,1.0
161,9,v24-obligation-ori-0143,v24-scene-d09,Ori,sap hook,return_owned_object,2,11,open,repaired,0,1,1.0
162,10,v24-obligation-ori-0148,v24-scene-d10,Ori,sap hook,return_owned_object,2,11,open,repaired,0,1,1.0
163,10,v24-obligation-melo-0152,v24-scene-d10,Melo,tally beads,return_owned_object,2,12,open,open,1,1,1.0
164,10,v24-obligation-keth-0160,v24-scene-d10,Keth,path cord,return_owned_object,2,11,open,repaired,0,1,1.0
165,10,v24-no-open-keth-0165,v24-scene-d10,Keth,path cord,none,0,10,none,none,0,0,1.0
166,10,v24-obligation-ori-0166,v24-scene-d10,Ori,sap hook,return_owned_object,1,12,open,open,1,1,1.0
167,10,v24-obligation-sova-0159,v24-scene-d10,Sova,ember bowl,return_owned_object,2,10,open,repaired,0,1,1.0
168,10,v24-obligation-melo-0152,v24-scene-d10,Melo,tally beads,return_owned_object,2,12,open,repaired,0,1,1.0
169,10,v24-no-open-nari-0169,v24-scene-d10,Nari,fern key,none,0,10,none,none,0,0,1.0
170,10,v24-obligation-nari-0170,v24-scene-d10,Nari,ink ledger,return_owned_object,1,13,open,open,1,1,1.0
171,10,v24-obligation-melo-0171,v24-scene-d10,Melo,tally beads,return_owned_object,1,11,open,repaired,0,1,1.0
172,10,v24-obligation-ori-0166,v24-scene-d10,Ori,sap hook,return_owned_object,1,12,open,open,1,1,1.0
173,10,v24-obligation-ori-0166,v24-scene-d10,Ori,sap hook,return_owned_object,1,12,open,repaired,0,1,1.0
174,10,v24-obligation-keth-0174,v24-scene-d10,Keth,path cord,return_owned_object,1,11,open,open,1,1,1.0
175,10,v24-obligation-vonn-0110,v24-scene-d10,Vonn,rain mirror,help_with_owned_task,4,10,open,open,1,1,1.0
176,10,v24-obligation-keth-0174,v24-scene-d10,Keth,path cord,return_owned_object,1,12,open,repaired,0,1,1.0
177,10,v24-no-open-ori-0177,v24-scene-d10,Ori,sap hook,none,0,10,none,none,0,0,1.0
178,10,v24-obligation-vonn-0110,v24-scene-d10,Vonn,rain mirror,help_with_owned_task,4,10,open,repaired,0,1,1.0
179,10,v24-obligation-sova-0179,v24-scene-d10,Sova,moth lantern,return_owned_object,1,13,open,repaired,0,1,1.0
180,11,v24-obligation-melo-0180,v24-scene-d11,Melo,tally beads,return_owned_object,1,12,open,repaired,0,1,1.0
181,11,v24-no-open-sova-0181,v24-scene-d11,Sova,ember bowl,none,0,11,none,none,0,0,1.0
182,11,v24-obligation-ori-0182,v24-scene-d11,Ori,sap hook,return_owned_object,1,14,open,repaired,0,0,0.75
183,11,v24-obligation-vonn-0183,v24-scene-d11,Vonn,listening shell,return_owned_object,1,12,open,repaired,0,1,1.0
184,11,v24-obligation-melo-0184,v24-scene-d11,Melo,tally beads,return_owned_object,1,13,open,repaired,0,1,1.0
185,11,v24-obligation-nari-0170,v24-scene-d11,Nari,ink ledger,return_owned_object,2,13,open,open,1,1,1.0
186,11,v24-obligation-sova-0186,v24-scene-d11,Sova,moth lantern,return_owned_object,1,12,open,repaired,0,1,1.0
187,11,v24-obligation-nari-0170,v24-scene-d11,Nari,ink ledger,return_owned_object,2,13,open,repaired,0,1,1.0
188,11,v24-obligation-vonn-0188,v24-scene-d11,Vonn,rain mirror,repair_after_overreach,1,14,open,open,1,1,1.0
189,11,v24-no-open-melo-0189,v24-scene-d11,Melo,tally beads,none,0,11,none,none,0,0,1.0
190,11,v24-obligation-vonn-0188,v24-scene-d11,Vonn,rain mirror,repair_after_overreach,1,14,open,open,1,1,1.0
191,11,v24-obligation-ori-0191,v24-scene-d11,Ori,sap hook,return_owned_object,1,14,open,repaired,0,1,1.0
192,11,v24-obligation-ori-0192,v24-scene-d11,Ori,sap hook,return_owned_object,1,12,open,open,1,1,1.0
193,11,v24-no-open-keth-0193,v24-scene-d11,Keth,path cord,none,0,11,none,none,0,0,1.0
194,11,v24-obligation-nari-0194,v24-scene-d11,Nari,fern key,return_owned_object,1,14,open,open,1,1,1.0
195,11,v24-obligation-keth-0195,v24-scene-d11,Keth,path cord,return_owned_object,1,12,open,repaired,0,1,1.0
196,11,v24-obligation-keth-0196,v24-scene-d11,Keth,path cord,return_owned_object,1,13,open,repaired,0,1,1.0
197,11,v24-no-open-keth-0197,v24-scene-d11,Keth,path cord,none,0,11,none,none,0,0,1.0
198,12,v24-obligation-melo-0198,v24-scene-d12,Melo,tally beads,return_owned_object,1,13,open,repaired,0,1,1.0
199,12,v24-obligation-nari-0194,v24-scene-d12,Nari,fern key,return_owned_object,2,14,open,open,1,1,1.0
200,12,v24-obligation-keth-0200,v24-scene-d12,Keth,path cord,return_owned_object,1,15,open,repaired,0,1,1.0
201,12,v24-obligation-vonn-0188,v24-scene-d12,Vonn,rain mirror,repair_after_overreach,2,14,open,open,1,1,1.0
202,12,v24-obligation-melo-0202,v24-scene-d12,Melo,tally beads,return_owned_object,1,14,open,repaired,0,1,1.0
203,12,v24-obligation-nari-0194,v24-scene-d12,Nari,fern key,return_owned_object,2,14,open,open,1,1,1.0
204,12,v24-obligation-vonn-0188,v24-scene-d12,Vonn,rain mirror,repair_after_overreach,2,14,open,open,1,1,1.0
205,12,v24-no-open-keth-0205,v24-scene-d12,Keth,path cord,none,0,12,none,none,0,0,1.0
206,12,v24-obligation-ori-0192,v24-scene-d12,Ori,sap hook,return_owned_object,2,12,open,open,1,1,1.0
207,12,v24-obligation-ori-0192,v24-scene-d12,Ori,sap hook,return_owned_object,2,12,open,open,1,1,1.0
208,12,v24-obligation-sova-0208,v24-scene-d12,Sova,ember bowl,return_owned_object,1,14,open,repaired,0,1,1.0
209,12,v24-no-open-melo-0209,v24-scene-d12,Melo,tally beads,none,0,12,none,none,0,0,1.0
210,12,v24-obligation-vonn-0188,v24-scene-d12,Vonn,rain mirror,repair_after_overreach,2,14,open,open,1,1,1.0
211,12,v24-obligation-sova-0211,v24-scene-d12,Sova,moth lantern,return_owned_object,1,14,open,open,1,0,0.75
212,12,v24-obligation-sova-0211,v24-scene-d12,Sova,moth lantern,return_owned_object,1,14,open,repaired,0,1,1.0
213,12,v24-obligation-keth-0213,v24-scene-d12,Keth,path cord,return_owned_object,1,13,open,repaired,0,1,1.0
214,12,v24-obligation-ori-0192,v24-scene-d12,Ori,sap hook,return_owned_object,2,12,open,repaired,0,1,1.0
215,12,v24-obligation-keth-0215,v24-scene-d12,Keth,path cord,return_owned_object,1,15,open,repaired,0,1,1.0
216,13,v24-obligation-sova-0212,v24-scene-d13,Sova,ember bowl,return_owned_object,2,15,open,repaired,0,1,1.0
217,13,v24-no-open-ori-0217,v24-scene-d13,Ori,sap hook,none,0,13,none,none,0,0,1.0
218,13,v24-obligation-ori-0218,v24-scene-d13,Ori,sap hook,return_owned_object,1,16,open,open,1,1,1.0
219,13,v24-obligation-sova-0219,v24-scene-d13,Sova,ember bowl,return_owned_object,1,14,open,repaired,0,1,1.0
220,13,v24-obligation-nari-0194,v24-scene-d13,Nari,fern key,return_owned_object,3,14,open,repaired,0,1,1.0
221,13,v24-no-open-keth-0221,v24-scene-d13,Keth,path cord,none,0,13,none,none,0,0,1.0
222,13,v24-obligation-nari-0203,v24-scene-d13,Nari,fern key,return_owned_object,2,15,open,repaired,0,1,1.0
223,13,v24-obligation-nari-0223,v24-scene-d13,Nari,ink ledger,return_owned_object,1,15,open,open,1,1,1.0
224,13,v24-obligation-ori-0218,v24-scene-d13,Ori,sap hook,return_owned_object,1,16,open,repaired,0,1,1.0
225,13,v24-obligation-nari-0223,v24-scene-d13,Nari,ink ledger,return_owned_object,1,15,open,open,1,1,1.0
226,13,v24-obligation-nari-0223,v24-scene-d13,Nari,ink ledger,return_owned_object,1,15,open,repaired,0,1,1.0
227,13,v24-obligation-melo-0227,v24-scene-d13,Melo,tally beads,return_owned_object,1,16,open,repaired,0,1,1.0
228,13,v24-obligation-melo-0228,v24-scene-d13,Melo,tally beads,return_owned_object,1,14,open,open,1,1,1.0
229,13,v24-no-open-keth-0229,v24-scene-d13,Keth,path cord,none,0,13,none,none,0,0,1.0
230,13,v24-obligation-nari-0230,v24-scene-d13,Nari,fern key,return_owned_object,1,16,open,repaired,0,1,1.0
231,13,v24-obligation-melo-0228,v24-scene-d13,Melo,tally beads,return_owned_object,1,14,open,repaired,0,1,1.0
232,13,v24-obligation-ori-0232,v24-scene-d13,Ori,sap hook,return_owned_object,1,15,open,repaired,0,1,1.0
233,13,v24-no-open-nari-0233,v24-scene-d13,Nari,ink ledger,none,0,13,none,none,0,0,1.0
234,14,v24-obligation-ori-0234,v24-scene-d14,Ori,sap hook,return_owned_object,1,15,open,repaired,0,1,1.0
