generation,year,epoch,settlement_id,stratum_name,institution,material_practice,settlement_role,inherited_from_previous,changed_this_generation,continuity_hash
4,120,1,repair_ring,epoch-1-repair_ring-stratum,repair kinship,bronze-hand marks,safe repair space stewards,True,True,v37-702802
5,150,1,riverbend,epoch-1-riverbend-stratum,route council,cedar-hand marks,dry crossing stewards,True,False,v37-535291
5,150,1,roofward,epoch-1-roofward-stratum,memory house,glass-hand marks,herb preservation stewards,True,False,v37-470049
5,150,1,archive,epoch-1-archive-stratum,repair kinship,inkstone-hand marks,signal memory stewards,True,True,v37-541828
5,150,1,signal,epoch-1-signal-stratum,route council,copper-hand marks,path visibility stewards,True,False,v37-410497
5,150,1,orchard,epoch-1-orchard-stratum,memory house,clay-hand marks,dry seed continuity stewards,True,True,v37-380494
5,150,1,repair_ring,epoch-1-repair_ring-stratum,repair kinship,bronze-hand marks,safe repair space stewards,True,False,v37-702984
6,180,1,riverbend,epoch-1-riverbend-stratum,route council,cedar-hand marks,dry crossing stewards,True,False,v37-535473
6,180,1,roofward,epoch-1-roofward-stratum,memory house,glass-hand marks,herb preservation stewards,True,True,v37-470231
6,180,1,archive,epoch-1-archive-stratum,repair kinship,inkstone-hand marks,signal memory stewards,True,False,v37-542010
6,180,1,signal,epoch-1-signal-stratum,route council,copper-hand marks,path visibility stewards,True,True,v37-410679
6,180,1,orchard,epoch-1-orchard-stratum,memory house,clay-hand marks,dry seed continuity stewards,True,False,v37-380676
6,180,1,repair_ring,epoch-1-repair_ring-stratum,repair kinship,bronze-hand marks,safe repair space stewards,True,False,v37-703166
7,210,1,riverbend,epoch-1-riverbend-stratum,route council,cedar-hand marks,dry crossing stewards,True,True,v37-535655
7,210,1,roofward,epoch-1-roofward-stratum,memory house,glass-hand marks,herb preservation stewards,True,False,v37-470413
7,210,1,archive,epoch-1-archive-stratum,repair kinship,inkstone-hand marks,signal memory stewards,True,True,v37-542192
7,210,1,signal,epoch-1-signal-stratum,route council,copper-hand marks,path visibility stewards,True,False,v37-410861
7,210,1,orchard,epoch-1-orchard-stratum,memory house,clay-hand marks,dry seed continuity stewards,True,False,v37-380858
7,210,1,repair_ring,epoch-1-repair_ring-stratum,repair kinship,bronze-hand marks,safe repair space stewards,True,False,v37-703348
8,240,1,riverbend,epoch-1-riverbend-stratum,route council,cedar-hand marks,dry crossing stewards,True,False,v37-535837
8,240,1,roofward,epoch-1-roofward-stratum,memory house,glass-hand marks,herb preservation stewards,True,True,v37-470595
8,240,1,archive,epoch-1-archive-stratum,repair kinship,inkstone-hand marks,signal memory stewards,True,False,v37-542374
8,240,1,signal,epoch-1-signal-stratum,route council,copper-hand marks,path visibility stewards,True,False,v37-411043
8,240,1,orchard,epoch-1-orchard-stratum,memory house,clay-hand marks,dry seed continuity stewards,True,False,v37-381040
8,240,1,repair_ring,epoch-1-repair_ring-stratum,repair kinship,bronze-hand marks,safe repair space stewards,True,True,v37-703530
9,270,1,riverbend,epoch-1-riverbend-stratum,route council,cedar-hand marks,dry crossing stewards,True,True,v37-536019
9,270,1,roofward,epoch-1-roofward-stratum,memory house,glass-hand marks,herb preservation stewards,True,False,v37-470777
9,270,1,archive,epoch-1-archive-stratum,repair kinship,inkstone-hand marks,signal memory stewards,True,False,v37-542556
9,270,1,signal,epoch-1-signal-stratum,route council,copper-hand marks,path visibility stewards,True,False,v37-411225
9,270,1,orchard,epoch-1-orchard-stratum,memory house,clay-hand marks,dry seed continuity stewards,True,True,v37-381222
9,270,1,repair_ring,epoch-1-repair_ring-stratum,repair kinship,bronze-hand marks,safe repair space stewards,True,False,v37-703712
10,300,1,riverbend,epoch-1-riverbend-stratum,route council,cedar-hand marks,dry crossing stewards,True,False,v37-550186
10,300,1,roofward,epoch-1-roofward-stratum,memory house,glass-hand marks,herb preservation stewards,True,False,v37-484690
10,300,1,archive,epoch-1-archive-stratum,repair kinship,inkstone-hand marks,signal memory stewards,True,False,v37-556734
10,300,1,signal,epoch-1-signal-stratum,route council,copper-hand marks,path visibility stewards,True,True,v37-424884
10,300,1,orchard,epoch-1-orchard-stratum,memory house,clay-hand marks,dry seed continuity stewards,True,False,v37-394764
10,300,1,repair_ring,epoch-1-repair_ring-stratum,repair kinship,bronze-hand marks,safe repair space stewards,True,False,v37-718535
11,330,2,riverbend,epoch-2-riverbend-stratum,route council,cedar-woven counters,dry crossing stewards,True,False,v37-677473
11,330,2,roofward,epoch-2-roofward-stratum,memory house,glass-woven counters,herb preservation stewards,True,False,v37-610509
11,330,2,archive,epoch-2-archive-stratum,repair kinship,inkstone-woven counters,signal memory stewards,True,True,v37-684019
11,330,2,signal,epoch-2-signal-stratum,route council,copper-woven counters,path visibility stewards,True,False,v37-549723
11,330,2,orchard,epoch-2-orchard-stratum,memory house,clay-woven counters,dry seed continuity stewards,True,False,v37-519115
11,330,2,repair_ring,epoch-2-repair_ring-stratum,repair kinship,bronze-woven counters,safe repair space stewards,True,True,v37-848758
12,360,2,riverbend,epoch-2-riverbend-stratum,route council,cedar-woven counters,dry crossing stewards,True,False,v37-677656
12,360,2,roofward,epoch-2-roofward-stratum,memory house,glass-woven counters,herb preservation stewards,True,True,v37-610692
12,360,2,archive,epoch-2-archive-stratum,repair kinship,inkstone-woven counters,signal memory stewards,True,False,v37-684202
12,360,2,signal,epoch-2-signal-stratum,route council,copper-woven counters,path visibility stewards,True,False,v37-549906
12,360,2,orchard,epoch-2-orchard-stratum,memory house,clay-woven counters,dry seed continuity stewards,True,True,v37-519298
12,360,2,repair_ring,epoch-2-repair_ring-stratum,repair kinship,bronze-woven counters,safe repair space stewards,True,False,v37-848941
13,390,2,riverbend,epoch-2-riverbend-stratum,route council,cedar-woven counters,dry crossing stewards,True,True,v37-677839
13,390,2,roofward,epoch-2-roofward-stratum,memory house,glass-woven counters,herb preservation stewards,True,False,v37-610875
13,390,2,archive,epoch-2-archive-stratum,repair kinship,inkstone-woven counters,signal memory stewards,True,False,v37-684385
13,390,2,signal,epoch-2-signal-stratum,route council,copper-woven counters,path visibility stewards,True,True,v37-550089
13,390,2,orchard,epoch-2-orchard-stratum,memory house,clay-woven counters,dry seed continuity stewards,True,False,v37-519481
13,390,2,repair_ring,epoch-2-repair_ring-stratum,repair kinship,bronze-woven counters,safe repair space stewards,True,True,v37-849124
14,420,2,riverbend,epoch-2-riverbend-stratum,route council,cedar-woven counters,dry crossing stewards,True,False,v37-678022
14,420,2,roofward,epoch-2-roofward-stratum,memory house,glass-woven counters,herb preservation stewards,True,False,v37-611058
14,420,2,archive,epoch-2-archive-stratum,repair kinship,inkstone-woven counters,signal memory stewards,True,True,v37-684568
14,420,2,signal,epoch-2-signal-stratum,route council,copper-woven counters,path visibility stewards,True,False,v37-550272
14,420,2,orchard,epoch-2-orchard-stratum,memory house,clay-woven counters,dry seed continuity stewards,True,True,v37-519664
14,420,2,repair_ring,epoch-2-repair_ring-stratum,repair kinship,bronze-woven counters,safe repair space stewards,True,False,v37-849307
15,450,2,riverbend,epoch-2-riverbend-stratum,route council,cedar-woven counters,dry crossing stewards,True,False,v37-678205
15,450,2,roofward,epoch-2-roofward-stratum,memory house,glass-woven counters,herb preservation stewards,True,True,v37-611241
15,450,2,archive,epoch-2-archive-stratum,repair kinship,inkstone-woven counters,signal memory stewards,True,False,v37-684751
15,450,2,signal,epoch-2-signal-stratum,route council,copper-woven counters,path visibility stewards,True,True,v37-550455
15,450,2,orchard,epoch-2-orchard-stratum,memory house,clay-woven counters,dry seed continuity stewards,True,False,v37-519847
15,450,2,repair_ring,epoch-2-repair_ring-stratum,repair kinship,bronze-woven counters,safe repair space stewards,True,False,v37-849490
16,480,2,riverbend,epoch-2-riverbend-stratum,route council,cedar-woven counters,dry crossing stewards,True,True,v37-678388
16,480,2,roofward,epoch-2-roofward-stratum,memory house,glass-woven counters,herb preservation stewards,True,False,v37-611424
16,480,2,archive,epoch-2-archive-stratum,repair kinship,inkstone-woven counters,signal memory stewards,True,True,v37-684934
16,480,2,signal,epoch-2-signal-stratum,route council,copper-woven counters,path visibility stewards,True,False,v37-550638
16,480,2,orchard,epoch-2-orchard-stratum,memory house,clay-woven counters,dry seed continuity stewards,True,False,v37-520030
16,480,2,repair_ring,epoch-2-repair_ring-stratum,repair kinship,bronze-woven counters,safe repair space stewards,True,False,v37-849673
17,510,2,riverbend,epoch-2-riverbend-stratum,route council,cedar-woven counters,dry crossing stewards,True,False,v37-678571
17,510,2,roofward,epoch-2-roofward-stratum,memory house,glass-woven counters,herb preservation stewards,True,True,v37-611607
17,510,2,archive,epoch-2-archive-stratum,repair kinship,inkstone-woven counters,signal memory stewards,True,False,v37-685117
17,510,2,signal,epoch-2-signal-stratum,route council,copper-woven counters,path visibility stewards,True,False,v37-550821
17,510,2,orchard,epoch-2-orchard-stratum,memory house,clay-woven counters,dry seed continuity stewards,True,False,v37-520213
17,510,2,repair_ring,epoch-2-repair_ring-stratum,repair kinship,bronze-woven counters,safe repair space stewards,True,True,v37-849856
18,540,2,riverbend,epoch-2-riverbend-stratum,route council,cedar-woven counters,dry crossing stewards,True,True,v37-678754
18,540,2,roofward,epoch-2-roofward-stratum,memory house,glass-woven counters,herb preservation stewards,True,False,v37-611790
18,540,2,archive,epoch-2-archive-stratum,repair kinship,inkstone-woven counters,signal memory stewards,True,False,v37-685300
18,540,2,signal,epoch-2-signal-stratum,route council,copper-woven counters,path visibility stewards,True,False,v37-551004
18,540,2,orchard,epoch-2-orchard-stratum,memory house,clay-woven counters,dry seed continuity stewards,True,True,v37-520396
18,540,2,repair_ring,epoch-2-repair_ring-stratum,repair kinship,bronze-woven counters,safe repair space stewards,True,False,v37-850039
19,570,2,riverbend,epoch-2-riverbend-stratum,route council,cedar-woven counters,dry crossing stewards,True,False,v37-678937
19,570,2,roofward,epoch-2-roofward-stratum,memory house,glass-woven counters,herb preservation stewards,True,False,v37-611973
19,570,2,archive,epoch-2-archive-stratum,repair kinship,inkstone-woven counters,signal memory stewards,True,False,v37-685483
19,570,2,signal,epoch-2-signal-stratum,route council,copper-woven counters,path visibility stewards,True,True,v37-551187
19,570,2,orchard,epoch-2-orchard-stratum,memory house,clay-woven counters,dry seed continuity stewards,True,False,v37-520579
19,570,2,repair_ring,epoch-2-repair_ring-stratum,repair kinship,bronze-woven counters,safe repair space stewards,True,False,v37-850222
20,600,2,riverbend,epoch-2-riverbend-stratum,route council,cedar-woven counters,dry crossing stewards,True,False,v37-677472
20,600,2,roofward,epoch-2-roofward-stratum,memory house,glass-woven counters,herb preservation stewards,True,False,v37-610508
20,600,2,archive,epoch-2-archive-stratum,repair kinship,inkstone-woven counters,signal memory stewards,True,True,v37-684018
20,600,2,signal,epoch-2-signal-stratum,route council,copper-woven counters,path visibility stewards,True,False,v37-549722
20,600,2,orchard,epoch-2-orchard-stratum,memory house,clay-woven counters,dry seed continuity stewards,True,False,v37-519114
20,600,2,repair_ring,epoch-2-repair_ring-stratum,repair kinship,bronze-woven counters,safe repair space stewards,True,True,v37-848757
21,630,3,riverbend,epoch-3-riverbend-stratum,route council,cedar-water clocks,dry crossing stewards,True,False,v37-611148
21,630,3,roofward,epoch-3-roofward-stratum,memory house,glass-water clocks,herb preservation stewards,True,True,v37-544951
21,630,3,archive,epoch-3-archive-stratum,repair kinship,inkstone-water clocks,signal memory stewards,True,False,v37-617692
21,630,3,signal,epoch-3-signal-stratum,route council,copper-water clocks,path visibility stewards,True,False,v37-484675
21,630,3,orchard,epoch-3-orchard-stratum,memory house,clay-water clocks,dry seed continuity stewards,True,True,v37-454324
21,630,3,repair_ring,epoch-3-repair_ring-stratum,repair kinship,bronze-water clocks,safe repair space stewards,True,False,v37-780899
22,660,3,riverbend,epoch-3-riverbend-stratum,route council,cedar-water clocks,dry crossing stewards,True,True,v37-611331
22,660,3,roofward,epoch-3-roofward-stratum,memory house,glass-water clocks,herb preservation stewards,True,False,v37-545134
22,660,3,archive,epoch-3-archive-stratum,repair kinship,inkstone-water clocks,signal memory stewards,True,False,v37-617875
22,660,3,signal,epoch-3-signal-stratum,route council,copper-water clocks,path visibility stewards,True,True,v37-484858
22,660,3,orchard,epoch-3-orchard-stratum,memory house,clay-water clocks,dry seed continuity stewards,True,False,v37-454507
22,660,3,repair_ring,epoch-3-repair_ring-stratum,repair kinship,bronze-water clocks,safe repair space stewards,True,True,v37-781082
23,690,3,riverbend,epoch-3-riverbend-stratum,route council,cedar-water clocks,dry crossing stewards,True,False,v37-611514
23,690,3,roofward,epoch-3-roofward-stratum,memory house,glass-water clocks,herb preservation stewards,True,False,v37-545317
23,690,3,archive,epoch-3-archive-stratum,repair kinship,inkstone-water clocks,signal memory stewards,True,True,v37-618058
23,690,3,signal,epoch-3-signal-stratum,route council,copper-water clocks,path visibility stewards,True,False,v37-485041
23,690,3,orchard,epoch-3-orchard-stratum,memory house,clay-water clocks,dry seed continuity stewards,True,True,v37-454690
23,690,3,repair_ring,epoch-3-repair_ring-stratum,repair kinship,bronze-water clocks,safe repair space stewards,True,False,v37-781265
24,720,3,riverbend,epoch-3-riverbend-stratum,route council,cedar-water clocks,dry crossing stewards,True,False,v37-611697
24,720,3,roofward,epoch-3-roofward-stratum,memory house,glass-water clocks,herb preservation stewards,True,True,v37-545500
24,720,3,archive,epoch-3-archive-stratum,repair kinship,inkstone-water clocks,signal memory stewards,True,False,v37-618241
24,720,3,signal,epoch-3-signal-stratum,route council,copper-water clocks,path visibility stewards,True,True,v37-485224
24,720,3,orchard,epoch-3-orchard-stratum,memory house,clay-water clocks,dry seed continuity stewards,True,False,v37-454873
24,720,3,repair_ring,epoch-3-repair_ring-stratum,repair kinship,bronze-water clocks,safe repair space stewards,True,False,v37-781448
25,750,3,riverbend,epoch-3-riverbend-stratum,route council,cedar-water clocks,dry crossing stewards,True,True,v37-611880
25,750,3,roofward,epoch-3-roofward-stratum,memory house,glass-water clocks,herb preservation stewards,True,False,v37-545683
25,750,3,archive,epoch-3-archive-stratum,repair kinship,inkstone-water clocks,signal memory stewards,True,True,v37-618424
25,750,3,signal,epoch-3-signal-stratum,route council,copper-water clocks,path visibility stewards,True,False,v37-485407
25,750,3,orchard,epoch-3-orchard-stratum,memory house,clay-water clocks,dry seed continuity stewards,True,False,v37-455056
25,750,3,repair_ring,epoch-3-repair_ring-stratum,repair kinship,bronze-water clocks,safe repair space stewards,True,False,v37-781631
26,780,3,riverbend,epoch-3-riverbend-stratum,route council,cedar-water clocks,dry crossing stewards,True,False,v37-612063
26,780,3,roofward,epoch-3-roofward-stratum,memory house,glass-water clocks,herb preservation stewards,True,True,v37-545866
26,780,3,archive,epoch-3-archive-stratum,repair kinship,inkstone-water clocks,signal memory stewards,True,False,v37-618607
26,780,3,signal,epoch-3-signal-stratum,route council,copper-water clocks,path visibility stewards,True,False,v37-485590
26,780,3,orchard,epoch-3-orchard-stratum,memory house,clay-water clocks,dry seed continuity stewards,True,False,v37-455239
26,780,3,repair_ring,epoch-3-repair_ring-stratum,repair kinship,bronze-water clocks,safe repair space stewards,True,True,v37-781814
27,810,3,riverbend,epoch-3-riverbend-stratum,route council,cedar-water clocks,dry crossing stewards,True,True,v37-612246
27,810,3,roofward,epoch-3-roofward-stratum,memory house,glass-water clocks,herb preservation stewards,True,False,v37-546049
27,810,3,archive,epoch-3-archive-stratum,repair kinship,inkstone-water clocks,signal memory stewards,True,False,v37-618790
27,810,3,signal,epoch-3-signal-stratum,route council,copper-water clocks,path visibility stewards,True,False,v37-485773
27,810,3,orchard,epoch-3-orchard-stratum,memory house,clay-water clocks,dry seed continuity stewards,True,True,v37-455422
27,810,3,repair_ring,epoch-3-repair_ring-stratum,repair kinship,bronze-water clocks,safe repair space stewards,True,False,v37-781997
28,840,3,riverbend,epoch-3-riverbend-stratum,route council,cedar-water clocks,dry crossing stewards,True,False,v37-612429
28,840,3,roofward,epoch-3-roofward-stratum,memory house,glass-water clocks,herb preservation stewards,True,False,v37-546232
28,840,3,archive,epoch-3-archive-stratum,repair kinship,inkstone-water clocks,signal memory stewards,True,False,v37-618973
28,840,3,signal,epoch-3-signal-stratum,route council,copper-water clocks,path visibility stewards,True,True,v37-485956
28,840,3,orchard,epoch-3-orchard-stratum,memory house,clay-water clocks,dry seed continuity stewards,True,False,v37-455605
28,840,3,repair_ring,epoch-3-repair_ring-stratum,repair kinship,bronze-water clocks,safe repair space stewards,True,False,v37-782180
29,870,3,riverbend,epoch-3-riverbend-stratum,route council,cedar-water clocks,dry crossing stewards,True,False,v37-612612
29,870,3,roofward,epoch-3-roofward-stratum,memory house,glass-water clocks,herb preservation stewards,True,False,v37-546415
29,870,3,archive,epoch-3-archive-stratum,repair kinship,inkstone-water clocks,signal memory stewards,True,True,v37-619156
29,870,3,signal,epoch-3-signal-stratum,route council,copper-water clocks,path visibility stewards,True,False,v37-486139
29,870,3,orchard,epoch-3-orchard-stratum,memory house,clay-water clocks,dry seed continuity stewards,True,False,v37-455788
29,870,3,repair_ring,epoch-3-repair_ring-stratum,repair kinship,bronze-water clocks,safe repair space stewards,True,True,v37-782363
30,900,3,riverbend,epoch-3-riverbend-stratum,route council,cedar-water clocks,dry crossing stewards,True,False,v37-611147
30,900,3,roofward,epoch-3-roofward-stratum,memory house,glass-water clocks,herb preservation stewards,True,True,v37-544950
30,900,3,archive,epoch-3-archive-stratum,repair kinship,inkstone-water clocks,signal memory stewards,True,False,v37-617691
30,900,3,signal,epoch-3-signal-stratum,route council,copper-water clocks,path visibility stewards,True,False,v37-484674
30,900,3,orchard,epoch-3-orchard-stratum,memory house,clay-water clocks,dry seed continuity stewards,True,True,v37-454323
30,900,3,repair_ring,epoch-3-repair_ring-stratum,repair kinship,bronze-water clocks,safe repair space stewards,True,False,v37-780898
31,930,4,riverbend,epoch-4-riverbend-stratum,route council,cedar-kiln alloys,dry crossing stewards,True,True,v37-586682
31,930,4,roofward,epoch-4-roofward-stratum,memory house,glass-kiln alloys,herb preservation stewards,True,False,v37-520772
31,930,4,archive,epoch-4-archive-stratum,repair kinship,inkstone-kiln alloys,signal memory stewards,True,False,v37-593224
31,930,4,signal,epoch-4-signal-stratum,route council,copper-kiln alloys,path visibility stewards,True,True,v37-460686
31,930,4,orchard,epoch-4-orchard-stratum,memory house,clay-kiln alloys,dry seed continuity stewards,True,False,v37-430432
31,930,4,repair_ring,epoch-4-repair_ring-stratum,repair kinship,bronze-kiln alloys,safe repair space stewards,True,True,v37-755859
32,960,4,riverbend,epoch-4-riverbend-stratum,route council,cedar-kiln alloys,dry crossing stewards,True,False,v37-586865
32,960,4,roofward,epoch-4-roofward-stratum,memory house,glass-kiln alloys,herb preservation stewards,True,False,v37-520955
32,960,4,archive,epoch-4-archive-stratum,repair kinship,inkstone-kiln alloys,signal memory stewards,True,True,v37-593407
32,960,4,signal,epoch-4-signal-stratum,route council,copper-kiln alloys,path visibility stewards,True,False,v37-460869
32,960,4,orchard,epoch-4-orchard-stratum,memory house,clay-kiln alloys,dry seed continuity stewards,True,True,v37-430615
32,960,4,repair_ring,epoch-4-repair_ring-stratum,repair kinship,bronze-kiln alloys,safe repair space stewards,True,False,v37-756042
33,990,4,riverbend,epoch-4-riverbend-stratum,route council,cedar-kiln alloys,dry crossing stewards,True,False,v37-587048
33,990,4,roofward,epoch-4-roofward-stratum,memory house,glass-kiln alloys,herb preservation stewards,True,True,v37-521138
33,990,4,archive,epoch-4-archive-stratum,repair kinship,inkstone-kiln alloys,signal memory stewards,True,False,v37-593590
33,990,4,signal,epoch-4-signal-stratum,route council,copper-kiln alloys,path visibility stewards,True,True,v37-461052
33,990,4,orchard,epoch-4-orchard-stratum,memory house,clay-kiln alloys,dry seed continuity stewards,True,False,v37-430798
33,990,4,repair_ring,epoch-4-repair_ring-stratum,repair kinship,bronze-kiln alloys,safe repair space stewards,True,False,v37-756225
34,1020,4,riverbend,epoch-4-riverbend-stratum,route council,cedar-kiln alloys,dry crossing stewards,True,True,v37-587231
34,1020,4,roofward,epoch-4-roofward-stratum,memory house,glass-kiln alloys,herb preservation stewards,True,False,v37-521321
34,1020,4,archive,epoch-4-archive-stratum,repair kinship,inkstone-kiln alloys,signal memory stewards,True,True,v37-593773
34,1020,4,signal,epoch-4-signal-stratum,route council,copper-kiln alloys,path visibility stewards,True,False,v37-461235
34,1020,4,orchard,epoch-4-orchard-stratum,memory house,clay-kiln alloys,dry seed continuity stewards,True,False,v37-430981
34,1020,4,repair_ring,epoch-4-repair_ring-stratum,repair kinship,bronze-kiln alloys,safe repair space stewards,True,False,v37-756408
35,1050,4,riverbend,epoch-4-riverbend-stratum,route council,cedar-kiln alloys,dry crossing stewards,True,False,v37-587414
35,1050,4,roofward,epoch-4-roofward-stratum,memory house,glass-kiln alloys,herb preservation stewards,True,True,v37-521504
35,1050,4,archive,epoch-4-archive-stratum,repair kinship,inkstone-kiln alloys,signal memory stewards,True,False,v37-593956
35,1050,4,signal,epoch-4-signal-stratum,route council,copper-kiln alloys,path visibility stewards,True,False,v37-461418
35,1050,4,orchard,epoch-4-orchard-stratum,memory house,clay-kiln alloys,dry seed continuity stewards,True,False,v37-431164
35,1050,4,repair_ring,epoch-4-repair_ring-stratum,repair kinship,bronze-kiln alloys,safe repair space stewards,True,True,v37-756591
36,1080,4,riverbend,epoch-4-riverbend-stratum,route council,cedar-kiln alloys,dry crossing stewards,True,True,v37-587597
36,1080,4,roofward,epoch-4-roofward-stratum,memory house,glass-kiln alloys,herb preservation stewards,True,False,v37-521687
36,1080,4,archive,epoch-4-archive-stratum,repair kinship,inkstone-kiln alloys,signal memory stewards,True,False,v37-594139
36,1080,4,signal,epoch-4-signal-stratum,route council,copper-kiln alloys,path visibility stewards,True,False,v37-461601
36,1080,4,orchard,epoch-4-orchard-stratum,memory house,clay-kiln alloys,dry seed continuity stewards,True,True,v37-431347
36,1080,4,repair_ring,epoch-4-repair_ring-stratum,repair kinship,bronze-kiln alloys,safe repair space stewards,True,False,v37-756774
37,1110,4,riverbend,epoch-4-riverbend-stratum,route council,cedar-kiln alloys,dry crossing stewards,True,False,v37-587780
37,1110,4,roofward,epoch-4-roofward-stratum,memory house,glass-kiln alloys,herb preservation stewards,True,False,v37-521870
37,1110,4,archive,epoch-4-archive-stratum,repair kinship,inkstone-kiln alloys,signal memory stewards,True,False,v37-594322
37,1110,4,signal,epoch-4-signal-stratum,route council,copper-kiln alloys,path visibility stewards,True,True,v37-461784
37,1110,4,orchard,epoch-4-orchard-stratum,memory house,clay-kiln alloys,dry seed continuity stewards,True,False,v37-431530
37,1110,4,repair_ring,epoch-4-repair_ring-stratum,repair kinship,bronze-kiln alloys,safe repair space stewards,True,False,v37-756957
38,1140,4,riverbend,epoch-4-riverbend-stratum,route council,cedar-kiln alloys,dry crossing stewards,True,False,v37-587963
38,1140,4,roofward,epoch-4-roofward-stratum,memory house,glass-kiln alloys,herb preservation stewards,True,False,v37-522053
38,1140,4,archive,epoch-4-archive-stratum,repair kinship,inkstone-kiln alloys,signal memory stewards,True,True,v37-594505
38,1140,4,signal,epoch-4-signal-stratum,route council,copper-kiln alloys,path visibility stewards,True,False,v37-461967
38,1140,4,orchard,epoch-4-orchard-stratum,memory house,clay-kiln alloys,dry seed continuity stewards,True,False,v37-431713
38,1140,4,repair_ring,epoch-4-repair_ring-stratum,repair kinship,bronze-kiln alloys,safe repair space stewards,True,True,v37-757140
39,1170,4,riverbend,epoch-4-riverbend-stratum,route council,cedar-kiln alloys,dry crossing stewards,True,False,v37-588146
39,1170,4,roofward,epoch-4-roofward-stratum,memory house,glass-kiln alloys,herb preservation stewards,True,True,v37-522236
39,1170,4,archive,epoch-4-archive-stratum,repair kinship,inkstone-kiln alloys,signal memory stewards,True,False,v37-594688
39,1170,4,signal,epoch-4-signal-stratum,route council,copper-kiln alloys,path visibility stewards,True,False,v37-462150
39,1170,4,orchard,epoch-4-orchard-stratum,memory house,clay-kiln alloys,dry seed continuity stewards,True,True,v37-431896
39,1170,4,repair_ring,epoch-4-repair_ring-stratum,repair kinship,bronze-kiln alloys,safe repair space stewards,True,False,v37-757323
40,1200,4,riverbend,epoch-4-riverbend-stratum,route council,cedar-kiln alloys,dry crossing stewards,True,True,v37-586681
40,1200,4,roofward,epoch-4-roofward-stratum,memory house,glass-kiln alloys,herb preservation stewards,True,False,v37-520771
40,1200,4,archive,epoch-4-archive-stratum,repair kinship,inkstone-kiln alloys,signal memory stewards,True,False,v37-593223
40,1200,4,signal,epoch-4-signal-stratum,route council,copper-kiln alloys,path visibility stewards,True,True,v37-460685
40,1200,4,orchard,epoch-4-orchard-stratum,memory house,clay-kiln alloys,dry seed continuity stewards,True,False,v37-430431
40,1200,4,repair_ring,epoch-4-repair_ring-stratum,repair kinship,bronze-kiln alloys,safe repair space stewards,True,True,v37-755858
41,1230,5,riverbend,epoch-5-riverbend-stratum,route council,cedar-signal lenses,dry crossing stewards,True,False,v37-638587
41,1230,5,roofward,epoch-5-roofward-stratum,memory house,glass-signal lenses,herb preservation stewards,True,False,v37-572082
41,1230,5,archive,epoch-5-archive-stratum,repair kinship,inkstone-signal lenses,signal memory stewards,True,True,v37-645127
