tick_id,day,settlement_id,reload_index,need_count,care_count,rest_count,weather_loan_count,welfare_count,checksum,restored_body_state_visible,restored_care_duties_visible,restored_rest_negotiations_visible,restored_weather_loans_visible,restored_welfare_recovery_visible,replay_exportable
688,39,lichen_bridge,20,138,90,68,130,138,68925ed44998db86,True,True,True,True,True,True
696,39,glass_harbor,21,140,98,61,124,140,5a1abcbede4906e4,True,True,True,True,True,True
704,40,moss_ward,20,141,98,65,126,141,644bd294b12bfe16,True,True,True,True,True,True
712,40,lichen_bridge,21,143,95,71,135,143,a0a1468f9056dd7a,True,True,True,True,True,True
720,41,cinder_garden,22,145,73,95,128,145,6894556cf4ef2989,True,True,True,True,True,True
728,41,moss_ward,21,146,102,69,130,146,00a7f0d3f33ef0fb,True,True,True,True,True,True
736,41,lichen_bridge,22,148,100,74,140,148,80a0c1b133e025ae,True,True,True,True,True,True
744,42,cinder_garden,23,150,75,100,132,150,3666403e6c4143bc,True,True,True,True,True,True
752,42,moss_ward,22,150,106,70,134,150,db552ef2d5e52c81,True,True,True,True,True,True
760,43,orchid_engine,23,152,107,73,120,152,92d0a2e0a4b25816,True,True,True,True,True,True
768,43,cinder_garden,24,155,78,105,137,155,4fd0b5f84de6a221,True,True,True,True,True,True
776,44,glass_harbor,22,156,114,71,139,156,f358e4d951e463b5,True,True,True,True,True,True
784,44,orchid_engine,24,157,112,76,123,157,5080fa440f09b83e,True,True,True,True,True,True
792,45,lichen_bridge,23,159,109,80,150,159,a70077d7e67c17df,True,True,True,True,True,True
800,45,glass_harbor,23,161,118,75,143,161,4f03bc2c5c0da2e4,True,True,True,True,True,True
808,45,orchid_engine,25,162,117,79,126,162,5b9f580ad3bf526d,True,True,True,True,True,True
816,46,lichen_bridge,24,164,114,83,155,164,033ef1905f6ab0f9,True,True,True,True,True,True
824,46,glass_harbor,24,165,122,77,147,165,b00c4c511c1fbbda,True,True,True,True,True,True
832,47,moss_ward,23,166,121,79,148,166,d7cf06406a389dbe,True,True,True,True,True,True
840,47,lichen_bridge,25,169,118,87,160,169,653d54fe4a363a39,True,True,True,True,True,True
848,48,cinder_garden,25,171,86,121,151,171,37ff1868482105b4,True,True,True,True,True,True
856,48,moss_ward,24,171,126,83,153,171,f56ae6737639fba5,True,True,True,True,True,True
864,49,orchid_engine,26,173,128,87,136,173,01ed87b84728f8e4,True,True,True,True,True,True
872,49,cinder_garden,26,176,88,126,156,176,96f6b732898c8276,True,True,True,True,True,True
880,49,moss_ward,25,176,131,86,158,176,6fcb8b157f98a594,True,True,True,True,True,True
888,50,orchid_engine,27,178,133,91,139,178,c72ec5a5c65f5119,True,True,True,True,True,True
896,50,cinder_garden,27,180,90,130,160,180,f1112f2c5f10b487,True,True,True,True,True,True
904,51,glass_harbor,25,181,137,85,161,181,a916a4bcbaaf5aa8,True,True,True,True,True,True
912,51,orchid_engine,28,183,137,94,143,183,aa01076ae698af19,True,True,True,True,True,True
920,52,lichen_bridge,26,185,133,98,175,185,5ee48ffad5649686,True,True,True,True,True,True
928,52,glass_harbor,26,186,142,89,166,186,95b198e623961aac,True,True,True,True,True,True
936,53,moss_ward,26,187,141,92,167,187,96139bc50564f41a,True,True,True,True,True,True
944,53,lichen_bridge,27,190,136,102,179,190,14edf16b9b480a88,True,True,True,True,True,True
952,53,glass_harbor,27,191,147,92,171,191,e67f0ad593bb554d,True,True,True,True,True,True
960,54,moss_ward,27,192,145,95,172,192,4757c24d1d92b4dc,True,True,True,True,True,True
968,54,lichen_bridge,28,194,139,105,183,194,10e3a568b8ad89b8,True,True,True,True,True,True
976,55,cinder_garden,28,196,99,145,174,196,7b15d4baba5282d4,True,True,True,True,True,True
984,55,moss_ward,28,197,149,99,175,197,0176a39f1090ad23,True,True,True,True,True,True
992,56,orchid_engine,29,199,152,103,155,199,02f423fbb0a67d12,True,True,True,True,True,True
1000,56,cinder_garden,29,201,102,150,177,201,a8848ea2caa6f77d,True,True,True,True,True,True
1008,57,glass_harbor,28,202,157,98,180,202,9a430cbe92ad257e,True,True,True,True,True,True
1016,57,orchid_engine,30,204,157,106,160,204,07e93d9b1e82ea34,True,True,True,True,True,True
1024,57,cinder_garden,30,206,105,155,182,206,ad31a908237b8f7c,True,True,True,True,True,True
1032,58,glass_harbor,29,207,162,100,185,207,b7c0f1fd21fafb4a,True,True,True,True,True,True
1040,58,orchid_engine,31,208,161,108,164,208,eabf72fd1fe44a87,True,True,True,True,True,True
1048,59,lichen_bridge,29,210,153,114,198,210,c3c6c3971e6c1da5,True,True,True,True,True,True
1056,59,glass_harbor,30,212,166,102,188,212,06f31025862b2d60,True,True,True,True,True,True
1064,60,moss_ward,29,213,165,109,190,213,d8aaccb8e77c796b,True,True,True,True,True,True
1072,60,lichen_bridge,30,215,158,117,203,215,0f493cacde39838c,True,True,True,True,True,True
1080,61,cinder_garden,31,217,113,166,192,217,0ae74498359b68fe,True,True,True,True,True,True
1088,61,moss_ward,30,218,170,113,194,218,941f8b8f24968e76,True,True,True,True,True,True
1096,61,lichen_bridge,31,220,163,120,208,220,17a37962c86e79a2,True,True,True,True,True,True
1104,62,cinder_garden,32,222,116,171,196,222,8bf68ccb763f9a01,True,True,True,True,True,True
1112,62,moss_ward,31,222,174,115,198,222,c5cca88ca3dfe37c,True,True,True,True,True,True
1120,63,orchid_engine,32,224,177,117,176,224,b1f037d502949e9e,True,True,True,True,True,True
1128,63,cinder_garden,33,227,119,176,201,227,a7f1b561f3a8c246,True,True,True,True,True,True
1136,64,glass_harbor,31,228,182,112,203,228,c28f9f1a5b54aae5,True,True,True,True,True,True
1144,64,orchid_engine,33,229,182,119,179,229,781c010531152ff1,True,True,True,True,True,True
1152,65,lichen_bridge,32,231,174,127,218,231,f7e862da034f1e03,True,True,True,True,True,True
1160,65,glass_harbor,32,233,186,116,207,233,670fe8909948c3f4,True,True,True,True,True,True
1168,65,orchid_engine,34,234,187,122,182,234,faf28f90e448de31,True,True,True,True,True,True
1176,66,lichen_bridge,33,236,179,129,223,236,32ce40033dc95eba,True,True,True,True,True,True
1184,66,glass_harbor,33,237,189,118,211,237,57b009c07fc99390,True,True,True,True,True,True
1192,67,moss_ward,32,238,190,123,212,238,8a26a9ddc8e5f23d,True,True,True,True,True,True
1200,67,lichen_bridge,34,241,182,133,228,241,bb8f22f225b288ae,True,True,True,True,True,True
1208,68,cinder_garden,34,243,131,192,215,243,a169731762a4a9e9,True,True,True,True,True,True
1216,68,moss_ward,33,243,195,126,217,243,d405219663754779,True,True,True,True,True,True
1224,69,orchid_engine,35,245,198,130,192,245,c606c2c7ae3825a3,True,True,True,True,True,True
1232,69,cinder_garden,35,248,134,197,220,248,65e8c48689c414e2,True,True,True,True,True,True
1240,69,moss_ward,34,248,200,129,222,248,47bdfae693483507,True,True,True,True,True,True
1248,70,orchid_engine,36,250,203,134,195,250,3055f31753823549,True,True,True,True,True,True
1256,70,cinder_garden,36,252,136,201,224,252,92013d416bf38baf,True,True,True,True,True,True
1264,71,glass_harbor,34,253,203,128,225,253,1fb474bc0baffdfc,True,True,True,True,True,True
1272,71,orchid_engine,37,255,207,137,199,255,d921909cf4a3d13a,True,True,True,True,True,True
1280,72,lichen_bridge,35,257,198,143,243,257,a07cb1ce7c8c80d6,True,True,True,True,True,True
1288,72,glass_harbor,35,258,207,132,230,258,419c613ac069ef26,True,True,True,True,True,True
1296,73,moss_ward,35,259,211,136,231,259,5e4d506be98aebeb,True,True,True,True,True,True
1304,73,lichen_bridge,36,262,203,147,247,262,a321d0a758ef1282,True,True,True,True,True,True
1312,73,glass_harbor,36,263,212,135,235,263,0eb908a16c8461a9,True,True,True,True,True,True
1320,74,moss_ward,36,264,216,139,236,264,879ed4d562ab9fd8,True,True,True,True,True,True
1328,74,lichen_bridge,37,266,207,149,251,266,b309d0d4b4aa9013,True,True,True,True,True,True
1336,75,cinder_garden,37,268,146,217,238,268,acebef680b11d464,True,True,True,True,True,True
1344,75,moss_ward,37,269,220,143,239,269,21106521e1cd958a,True,True,True,True,True,True
1352,76,orchid_engine,38,271,223,146,211,271,58b15e65edbbf517,True,True,True,True,True,True
1360,76,cinder_garden,38,273,149,222,241,273,3563d120e94355dc,True,True,True,True,True,True
1368,77,glass_harbor,37,274,222,142,244,274,e82cf0823ebe05ea,True,True,True,True,True,True
1376,77,orchid_engine,39,276,228,149,216,276,78e676417ae48777,True,True,True,True,True,True
1384,77,cinder_garden,39,278,152,227,246,278,c80c90f3fe28e1f7,True,True,True,True,True,True
1392,78,glass_harbor,38,279,227,144,249,279,70a13e2ef2182cfe,True,True,True,True,True,True
1400,78,orchid_engine,40,280,232,151,220,280,cefb7ff298a8dd93,True,True,True,True,True,True
1408,79,lichen_bridge,38,282,223,157,266,282,1bdab965c0a9971a,True,True,True,True,True,True
1416,79,glass_harbor,39,284,231,147,252,284,8882328bcc097ae6,True,True,True,True,True,True
1424,80,moss_ward,38,285,235,152,254,285,cfcd65e091ad3b8c,True,True,True,True,True,True
1432,80,lichen_bridge,39,287,228,161,271,287,905f38cd283dd92b,True,True,True,True,True,True
1440,81,cinder_garden,40,289,161,238,256,289,45cbc424b384c72d,True,True,True,True,True,True
1448,81,moss_ward,39,290,240,156,258,290,02ff574df7b532d0,True,True,True,True,True,True
1456,81,lichen_bridge,40,292,233,164,276,292,c0241b9f9fa3ca8e,True,True,True,True,True,True
1464,82,cinder_garden,41,294,165,243,260,294,ddc74404590316d4,True,True,True,True,True,True
1472,82,moss_ward,40,294,244,158,262,294,72d7f8e47c018b80,True,True,True,True,True,True
1480,83,orchid_engine,41,296,248,161,232,296,2e8a8ebb7a945859,True,True,True,True,True,True
1488,83,cinder_garden,42,299,170,248,265,299,1decaf72aed01743,True,True,True,True,True,True
1496,84,glass_harbor,40,300,245,157,267,300,9c3d185232b7f28a,True,True,True,True,True,True
1504,84,orchid_engine,42,301,253,163,235,301,22d923fa5069637c,True,True,True,True,True,True
1512,85,lichen_bridge,41,303,244,170,286,303,8028614f1fbef06a,True,True,True,True,True,True
1520,85,glass_harbor,41,305,248,160,271,305,2b327ea61905571c,True,True,True,True,True,True
1528,85,orchid_engine,43,306,257,167,238,306,0aa8c8453d8dbe6c,True,True,True,True,True,True
1536,86,lichen_bridge,42,308,249,173,291,308,005c2a89d2361e41,True,True,True,True,True,True
1544,86,glass_harbor,42,309,251,162,275,309,b94b637b52848401,True,True,True,True,True,True
1552,87,moss_ward,41,310,259,169,276,310,99b522f2c63a23a4,True,True,True,True,True,True
1560,87,lichen_bridge,43,313,253,177,296,313,e59cdaaded0659e8,True,True,True,True,True,True
1568,88,cinder_garden,43,315,179,264,279,315,3e5630c83734e5ae,True,True,True,True,True,True
1576,88,moss_ward,42,315,263,173,281,315,9cf0e2e70f31ccf6,True,True,True,True,True,True
1584,89,orchid_engine,44,317,268,175,248,317,b157ef454de8cd31,True,True,True,True,True,True
1592,89,cinder_garden,44,320,181,269,284,320,9e20f6def8d94c0c,True,True,True,True,True,True
1600,89,moss_ward,43,320,268,176,286,320,65b639d145411436,True,True,True,True,True,True
1608,90,orchid_engine,45,322,272,178,251,322,2bc9b6df89a148d1,True,True,True,True,True,True
1616,90,cinder_garden,45,324,184,273,288,324,1da765503e1aceec,True,True,True,True,True,True
1624,91,glass_harbor,43,325,265,172,289,325,25f4c065cff27117,True,True,True,True,True,True
1632,91,orchid_engine,46,327,276,181,255,327,45dd906565f89ec2,True,True,True,True,True,True
1640,92,lichen_bridge,44,329,268,187,311,329,d033804f39ce4f02,True,True,True,True,True,True
1648,92,glass_harbor,44,330,269,176,294,330,64833148bb4630eb,True,True,True,True,True,True
1656,93,moss_ward,44,331,278,182,295,331,687e3e046d60bd59,True,True,True,True,True,True
1664,93,lichen_bridge,45,334,273,191,315,334,e94be9a3520e801b,True,True,True,True,True,True
1672,93,glass_harbor,45,335,274,179,299,335,923944b7d9f2c062,True,True,True,True,True,True
1680,94,moss_ward,45,336,282,187,300,336,caef344767d66c5a,True,True,True,True,True,True
1688,94,lichen_bridge,46,338,276,194,319,338,df4cf38b65075b3c,True,True,True,True,True,True
1696,95,cinder_garden,46,340,193,289,302,340,59c2167d8725cd47,True,True,True,True,True,True
1704,95,moss_ward,46,341,286,191,303,341,9e5695b95e60451a,True,True,True,True,True,True
1712,96,orchid_engine,47,343,291,190,267,343,1e3e0087b80447b7,True,True,True,True,True,True
1720,96,cinder_garden,47,345,196,294,305,345,8acd67cab8e1422c,True,True,True,True,True,True
1728,97,glass_harbor,46,346,283,186,308,346,52fdb57ac142c56f,True,True,True,True,True,True
1736,97,orchid_engine,48,348,296,193,272,348,75667689bb21a158,True,True,True,True,True,True
1744,97,cinder_garden,48,350,199,299,310,350,7ca2a2b0e5e36478,True,True,True,True,True,True
1752,98,glass_harbor,47,351,287,189,313,351,a75ba9a6dd2439ff,True,True,True,True,True,True
1760,98,orchid_engine,49,352,300,196,276,352,139fca576794a2d2,True,True,True,True,True,True
1768,99,lichen_bridge,47,354,289,205,334,354,d0d8e98fc7904d28,True,True,True,True,True,True
1776,99,glass_harbor,48,356,292,192,316,356,7ab879b2ce512807,True,True,True,True,True,True
1784,100,moss_ward,47,357,300,200,318,357,bba1353d256d863b,True,True,True,True,True,True
1792,100,lichen_bridge,48,359,294,209,339,359,4744e4b9d435e851,True,True,True,True,True,True
1800,101,cinder_garden,49,361,206,310,320,361,96b8636ab563e869,True,True,True,True,True,True
1808,101,moss_ward,48,362,305,204,322,362,9c9722fbe393d3ac,True,True,True,True,True,True
1816,101,lichen_bridge,49,364,299,212,344,364,5164f58d1a5b8cc6,True,True,True,True,True,True
1824,102,cinder_garden,50,366,209,315,324,366,fa634d6efd921a3e,True,True,True,True,True,True
1832,102,moss_ward,49,366,309,206,326,366,a4087c47b8f30dcb,True,True,True,True,True,True
1840,103,orchid_engine,50,368,315,207,288,368,10c0093355362520,True,True,True,True,True,True
1848,103,cinder_garden,51,371,214,320,329,371,af9957d9f8948223,True,True,True,True,True,True
1856,104,glass_harbor,49,372,306,201,331,372,a4ccb6c046692d6d,True,True,True,True,True,True
1864,104,orchid_engine,51,373,319,210,291,373,ac7a6128ffd85322,True,True,True,True,True,True
1872,105,lichen_bridge,50,375,308,218,354,375,71c7907b172517ca,True,True,True,True,True,True
1880,105,glass_harbor,50,377,310,204,335,377,04fe702e2ad42b0b,True,True,True,True,True,True
1888,105,orchid_engine,52,378,323,214,294,378,8d6299e0d541102e,True,True,True,True,True,True
1896,106,lichen_bridge,51,380,312,222,359,380,a30ec5538fbb762f,True,True,True,True,True,True
1904,106,glass_harbor,51,381,314,206,339,381,6af00ded27cbd64e,True,True,True,True,True,True
1912,107,moss_ward,50,382,324,215,340,382,c5bf304266a98f32,True,True,True,True,True,True
1920,107,lichen_bridge,52,385,316,226,364,385,146e4f5aa1d4c34e,True,True,True,True,True,True
1928,108,cinder_garden,52,387,222,336,343,387,705a720dfa0166bd,True,True,True,True,True,True
1936,108,moss_ward,51,387,328,218,345,387,bbdc9fe954be7d5e,True,True,True,True,True,True
1944,109,orchid_engine,53,389,334,222,304,389,b3f86ec9c265590a,True,True,True,True,True,True
1952,109,cinder_garden,53,392,226,341,348,392,0761f2b939931ee0,True,True,True,True,True,True
1960,109,moss_ward,52,392,333,221,350,392,298e90c89553ac48,True,True,True,True,True,True
1968,110,orchid_engine,54,394,336,225,307,394,b8755f41c7a89aa6,True,True,True,True,True,True
1976,110,cinder_garden,54,396,229,345,352,396,da786d4b369fec47,True,True,True,True,True,True
1984,111,glass_harbor,52,397,328,217,353,397,c83d732aa2f4e1c7,True,True,True,True,True,True
1992,111,orchid_engine,55,399,340,228,311,399,c5ea363bdc8c554f,True,True,True,True,True,True
2000,112,lichen_bridge,53,401,329,236,379,401,80b1fcc4d97c2f4d,True,True,True,True,True,True
2008,112,glass_harbor,53,402,332,220,358,402,6c9a96756bf0e0f5,True,True,True,True,True,True
2016,113,moss_ward,53,403,342,228,359,403,b793871dabcb8464,True,True,True,True,True,True
2024,113,lichen_bridge,54,406,331,240,383,406,b3fb60a60bb6b66e,True,True,True,True,True,True
2032,113,glass_harbor,54,407,337,223,363,407,649ac3ead0a00588,True,True,True,True,True,True
2040,114,moss_ward,54,408,345,232,364,408,4f1c50402ab9346e,True,True,True,True,True,True
2048,114,lichen_bridge,55,410,334,243,387,410,afe51958821ecfc7,True,True,True,True,True,True
2056,115,cinder_garden,55,412,239,361,366,412,2912306bc7ea58b4,True,True,True,True,True,True
2064,115,moss_ward,55,413,348,236,367,413,3fe8f2c2d51924a2,True,True,True,True,True,True
2072,116,orchid_engine,56,415,353,238,323,415,aec7741ba31835de,True,True,True,True,True,True
2080,116,cinder_garden,56,417,242,366,369,417,a04d9cad60e5a8a1,True,True,True,True,True,True
2088,117,glass_harbor,55,418,347,230,372,418,8581730e89754b4b,True,True,True,True,True,True
2096,117,orchid_engine,57,420,358,241,328,420,de48ae63ecfdcfd0,True,True,True,True,True,True
2104,117,cinder_garden,57,422,246,371,374,422,4051cb2a17e44fdb,True,True,True,True,True,True
2112,118,glass_harbor,56,423,352,232,377,423,cf96309855986e1f,True,True,True,True,True,True
2120,118,orchid_engine,58,424,362,243,332,424,274ecbf68c1b833c,True,True,True,True,True,True
2128,119,lichen_bridge,56,426,347,254,402,426,c29f3c19547bde31,True,True,True,True,True,True
2136,119,glass_harbor,57,428,357,235,380,428,5e2639b2772045da,True,True,True,True,True,True
2144,120,moss_ward,56,429,362,246,382,429,98790d67702ceb90,True,True,True,True,True,True
2152,120,lichen_bridge,57,431,352,258,407,431,fd8cc6fd68e4f82e,True,True,True,True,True,True
2160,121,cinder_garden,58,433,256,382,384,433,da56fd459cb2ecce,True,True,True,True,True,True
2168,121,moss_ward,57,434,366,250,386,434,2ebc8a01fe6c5efb,True,True,True,True,True,True
2176,121,lichen_bridge,58,436,356,262,412,436,17a7f6cc1a9d53d9,True,True,True,True,True,True
2184,122,cinder_garden,59,438,260,387,388,438,b77f45b35e73e5dd,True,True,True,True,True,True
2192,122,moss_ward,58,438,369,252,390,438,3ff9ea3117a2a760,True,True,True,True,True,True
2200,123,orchid_engine,59,440,377,255,344,440,a0bf519f7714edb8,True,True,True,True,True,True
