tick_id,day,settlement_id,snapshot_key,reload_index,inventory_count,routine_count,handoff_count,consent_sequence_count,inventory_memory_count,checksum,restored_routines_visible,restored_handoffs_visible,restored_consent_visible,restored_inventory_trust_visible,replay_exportable
444,25,repair_ring,ssrm.v45.snapshot.repair_ring.25.12,15,4,3,75,49,48,v45-029630,True,True,True,True,True
449,25,orchard,ssrm.v45.snapshot.orchard.25.17,9,4,3,50,46,54,v45-810856,True,True,True,True,True
450,26,riverbend,ssrm.v45.snapshot.riverbend.26.0,9,4,3,51,47,54,v45-886127,True,True,True,True,True
467,26,repair_ring,ssrm.v45.snapshot.repair_ring.26.17,16,4,3,78,51,48,v45-030934,True,True,True,True,True
468,27,roofward,ssrm.v45.snapshot.roofward.27.0,9,4,3,51,49,50,v45-843686,True,True,True,True,True
481,27,archive,ssrm.v45.snapshot.archive.27.13,15,4,3,81,49,55,v45-833961,True,True,True,True,True
485,27,riverbend,ssrm.v45.snapshot.riverbend.27.17,10,4,3,54,50,55,v45-929965,True,True,True,True,True
486,28,archive,ssrm.v45.snapshot.archive.28.0,16,4,3,82,49,55,v45-811421,True,True,True,True,True
503,28,roofward,ssrm.v45.snapshot.roofward.28.17,10,4,3,55,53,50,v45-887875,True,True,True,True,True
504,29,signal,ssrm.v45.snapshot.signal.29.0,9,4,3,55,53,63,v45-743093,True,True,True,True,True
518,29,repair_ring,ssrm.v45.snapshot.repair_ring.29.14,17,4,3,87,58,52,v45-032279,True,True,True,True,True
521,29,archive,ssrm.v45.snapshot.archive.29.17,17,4,3,87,52,56,v45-837968,True,True,True,True,True
522,30,orchard,ssrm.v45.snapshot.orchard.30.0,10,4,3,60,56,56,v45-803752,True,True,True,True,True
539,30,signal,ssrm.v45.snapshot.signal.30.17,10,4,3,59,57,65,v45-788118,True,True,True,True,True
540,31,repair_ring,ssrm.v45.snapshot.repair_ring.31.0,18,4,3,91,61,52,v45-000031,True,True,True,True,True
555,31,archive,ssrm.v45.snapshot.archive.31.15,18,4,3,93,57,58,v45-836257,True,True,True,True,True
557,31,orchard,ssrm.v45.snapshot.orchard.31.17,11,4,3,63,59,57,v45-833480,True,True,True,True,True
558,32,riverbend,ssrm.v45.snapshot.riverbend.32.0,11,4,3,61,56,60,v45-902861,True,True,True,True,True
575,32,repair_ring,ssrm.v45.snapshot.repair_ring.32.17,19,4,3,96,63,52,v45-030014,True,True,True,True,True
576,33,roofward,ssrm.v45.snapshot.roofward.33.0,11,4,3,65,63,52,v45-862660,True,True,True,True,True
592,33,repair_ring,ssrm.v45.snapshot.repair_ring.33.16,20,4,3,99,66,53,v45-029593,True,True,True,True,True
593,33,riverbend,ssrm.v45.snapshot.riverbend.33.17,12,4,3,65,59,61,v45-933170,True,True,True,True,True
594,34,archive,ssrm.v45.snapshot.archive.34.0,19,4,3,100,62,61,v45-825823,True,True,True,True,True
611,34,roofward,ssrm.v45.snapshot.roofward.34.17,12,4,3,68,65,52,v45-891538,True,True,True,True,True
612,35,signal,ssrm.v45.snapshot.signal.35.0,11,4,3,69,67,71,v45-764697,True,True,True,True,True
629,35,archive,ssrm.v45.snapshot.archive.35.17,20,4,3,105,65,62,v45-852467,True,True,True,True,True
630,36,orchard,ssrm.v45.snapshot.orchard.36.0,12,4,3,70,65,62,v45-806383,True,True,True,True,True
647,36,signal,ssrm.v45.snapshot.signal.36.17,12,4,3,72,69,72,v45-789855,True,True,True,True,True
648,37,repair_ring,ssrm.v45.snapshot.repair_ring.37.0,21,4,3,109,70,54,v45-023215,True,True,True,True,True
665,37,orchard,ssrm.v45.snapshot.orchard.37.17,13,4,3,74,68,63,v45-836563,True,True,True,True,True
666,38,riverbend,ssrm.v45.snapshot.riverbend.38.0,13,4,3,75,69,63,v45-911895,True,True,True,True,True
683,38,repair_ring,ssrm.v45.snapshot.repair_ring.38.17,22,4,3,114,74,54,v45-050055,True,True,True,True,True
684,39,roofward,ssrm.v45.snapshot.roofward.39.0,13,4,3,75,72,56,v45-868504,True,True,True,True,True
701,39,riverbend,ssrm.v45.snapshot.riverbend.39.17,14,4,3,78,72,64,v45-937650,True,True,True,True,True
702,40,archive,ssrm.v45.snapshot.archive.40.0,21,4,3,118,71,64,v45-826796,True,True,True,True,True
703,40,signal,ssrm.v45.snapshot.signal.40.1,13,4,3,77,74,74,v45-764276,True,True,True,True,True
719,40,roofward,ssrm.v45.snapshot.roofward.40.17,14,4,3,79,76,56,v45-894757,True,True,True,True,True
720,41,signal,ssrm.v45.snapshot.signal.41.0,14,4,3,79,76,75,v45-766983,True,True,True,True,True
737,41,archive,ssrm.v45.snapshot.archive.41.17,22,4,3,123,74,65,v45-853409,True,True,True,True,True
738,42,orchard,ssrm.v45.snapshot.orchard.42.0,14,4,3,84,78,65,v45-811389,True,True,True,True,True
740,42,riverbend,ssrm.v45.snapshot.riverbend.42.2,15,4,3,82,75,67,v45-911023,True,True,True,True,True
755,42,signal,ssrm.v45.snapshot.signal.42.17,15,4,3,83,80,77,v45-789878,True,True,True,True,True
756,43,repair_ring,ssrm.v45.snapshot.repair_ring.43.0,23,4,3,127,84,58,v45-026917,True,True,True,True,True
773,43,orchard,ssrm.v45.snapshot.orchard.43.17,15,4,3,87,81,66,v45-837035,True,True,True,True,True
774,44,riverbend,ssrm.v45.snapshot.riverbend.44.0,16,4,3,85,78,69,v45-915114,True,True,True,True,True
777,44,signal,ssrm.v45.snapshot.signal.44.3,16,4,3,86,83,79,v45-770551,True,True,True,True,True
791,44,repair_ring,ssrm.v45.snapshot.repair_ring.44.17,24,4,3,132,86,58,v45-052848,True,True,True,True,True
792,45,roofward,ssrm.v45.snapshot.roofward.45.0,15,4,3,89,86,58,v45-873518,True,True,True,True,True
809,45,riverbend,ssrm.v45.snapshot.riverbend.45.17,17,4,3,89,81,70,v45-937192,True,True,True,True,True
810,46,archive,ssrm.v45.snapshot.archive.46.0,23,4,3,136,84,70,v45-830792,True,True,True,True,True
814,46,riverbend,ssrm.v45.snapshot.riverbend.46.4,18,4,3,90,82,70,v45-910925,True,True,True,True,True
827,46,roofward,ssrm.v45.snapshot.roofward.46.17,16,4,3,92,88,58,v45-898339,True,True,True,True,True
828,47,signal,ssrm.v45.snapshot.signal.47.0,17,4,3,93,90,83,v45-766903,True,True,True,True,True
845,47,archive,ssrm.v45.snapshot.archive.47.17,24,4,3,141,87,71,v45-857408,True,True,True,True,True
846,48,orchard,ssrm.v45.snapshot.orchard.48.0,16,4,3,94,87,71,v45-814020,True,True,True,True,True
851,48,signal,ssrm.v45.snapshot.signal.48.5,18,4,3,95,91,83,v45-771365,True,True,True,True,True
863,48,signal,ssrm.v45.snapshot.signal.48.17,19,4,3,96,92,84,v45-796571,True,True,True,True,True
864,49,repair_ring,ssrm.v45.snapshot.repair_ring.49.0,25,4,3,145,93,60,v45-027265,True,True,True,True,True
881,49,orchard,ssrm.v45.snapshot.orchard.49.17,17,4,3,98,90,72,v45-840118,True,True,True,True,True
882,50,riverbend,ssrm.v45.snapshot.riverbend.50.0,19,4,3,99,91,72,v45-912355,True,True,True,True,True
888,50,riverbend,ssrm.v45.snapshot.riverbend.50.6,20,4,3,100,92,72,v45-926384,True,True,True,True,True
899,50,repair_ring,ssrm.v45.snapshot.repair_ring.50.17,26,4,3,150,97,60,v45-050087,True,True,True,True,True
900,51,roofward,ssrm.v45.snapshot.roofward.51.0,17,4,3,99,95,62,v45-871242,True,True,True,True,True
917,51,riverbend,ssrm.v45.snapshot.riverbend.51.17,21,4,3,102,94,72,v45-952235,True,True,True,True,True
918,52,archive,ssrm.v45.snapshot.archive.52.0,25,4,3,154,93,72,v45-831271,True,True,True,True,True
925,52,signal,ssrm.v45.snapshot.signal.52.7,20,4,3,102,98,87,v45-789020,True,True,True,True,True
935,52,roofward,ssrm.v45.snapshot.roofward.52.17,18,4,3,103,99,62,v45-915552,True,True,True,True,True
936,53,signal,ssrm.v45.snapshot.signal.53.0,21,4,3,103,99,87,v45-787706,True,True,True,True,True
953,53,archive,ssrm.v45.snapshot.archive.53.17,26,4,3,159,96,72,v45-861510,True,True,True,True,True
954,54,orchard,ssrm.v45.snapshot.orchard.54.0,18,4,3,108,100,72,v45-850115,True,True,True,True,True
962,54,riverbend,ssrm.v45.snapshot.riverbend.54.8,22,4,3,107,98,72,v45-935878,True,True,True,True,True
971,54,signal,ssrm.v45.snapshot.signal.54.17,22,4,3,107,103,89,v45-832759,True,True,True,True,True
972,55,repair_ring,ssrm.v45.snapshot.repair_ring.55.0,27,4,3,163,107,64,v45-049175,True,True,True,True,True
989,55,orchard,ssrm.v45.snapshot.orchard.55.17,19,4,3,111,103,72,v45-875411,True,True,True,True,True
990,56,riverbend,ssrm.v45.snapshot.riverbend.56.0,23,4,3,109,100,72,v45-949472,True,True,True,True,True
999,56,signal,ssrm.v45.snapshot.signal.56.9,23,4,3,111,106,91,v45-808287,True,True,True,True,True
1007,56,repair_ring,ssrm.v45.snapshot.repair_ring.56.17,28,4,3,168,109,64,v45-079267,True,True,True,True,True
1008,57,roofward,ssrm.v45.snapshot.roofward.57.0,19,4,3,113,109,64,v45-912368,True,True,True,True,True
1025,57,riverbend,ssrm.v45.snapshot.riverbend.57.17,24,4,3,113,103,72,v45-975330,True,True,True,True,True
1026,58,archive,ssrm.v45.snapshot.archive.58.0,27,4,3,172,106,72,v45-854692,True,True,True,True,True
1036,58,riverbend,ssrm.v45.snapshot.riverbend.58.10,25,4,3,114,105,72,v45-974463,True,True,True,True,True
1043,58,roofward,ssrm.v45.snapshot.roofward.58.17,20,4,3,116,111,64,v45-933181,True,True,True,True,True
1044,59,signal,ssrm.v45.snapshot.signal.59.0,24,4,3,117,113,95,v45-809691,True,True,True,True,True
1061,59,archive,ssrm.v45.snapshot.archive.59.17,28,4,3,177,109,72,v45-884979,True,True,True,True,True
1062,60,orchard,ssrm.v45.snapshot.orchard.60.0,20,4,3,118,109,72,v45-850203,True,True,True,True,True
1073,60,signal,ssrm.v45.snapshot.signal.60.11,25,4,3,120,115,96,v45-828292,True,True,True,True,True
1079,60,signal,ssrm.v45.snapshot.signal.60.17,26,4,3,120,115,96,v45-831410,True,True,True,True,True
1080,61,repair_ring,ssrm.v45.snapshot.repair_ring.61.0,29,4,3,181,116,66,v45-049660,True,True,True,True,True
1097,61,orchard,ssrm.v45.snapshot.orchard.61.17,21,4,3,122,112,72,v45-871841,True,True,True,True,True
1098,62,riverbend,ssrm.v45.snapshot.riverbend.62.0,26,4,3,123,113,72,v45-949499,True,True,True,True,True
1110,62,riverbend,ssrm.v45.snapshot.riverbend.62.12,27,4,3,125,115,72,v45-975402,True,True,True,True,True
1115,62,repair_ring,ssrm.v45.snapshot.repair_ring.62.17,30,4,3,186,120,66,v45-072450,True,True,True,True,True
1116,63,roofward,ssrm.v45.snapshot.roofward.63.0,21,4,3,123,118,68,v45-910182,True,True,True,True,True
1133,63,riverbend,ssrm.v45.snapshot.riverbend.63.17,28,4,3,126,116,72,v45-979452,True,True,True,True,True
1134,64,archive,ssrm.v45.snapshot.archive.64.0,29,4,3,190,115,72,v45-854255,True,True,True,True,True
1147,64,signal,ssrm.v45.snapshot.signal.64.13,27,4,3,126,121,99,v45-834566,True,True,True,True,True
1151,64,roofward,ssrm.v45.snapshot.roofward.64.17,22,4,3,127,122,68,v45-936414,True,True,True,True,True
1152,65,signal,ssrm.v45.snapshot.signal.65.0,28,4,3,127,122,99,v45-812433,True,True,True,True,True
1169,65,archive,ssrm.v45.snapshot.archive.65.17,30,4,3,195,118,72,v45-880502,True,True,True,True,True
1170,66,orchard,ssrm.v45.snapshot.orchard.66.0,22,4,3,132,122,72,v45-849665,True,True,True,True,True
1184,66,riverbend,ssrm.v45.snapshot.riverbend.66.14,29,4,3,131,121,72,v45-976236,True,True,True,True,True
1187,66,signal,ssrm.v45.snapshot.signal.66.17,29,4,3,131,126,101,v45-853435,True,True,True,True,True
1188,67,repair_ring,ssrm.v45.snapshot.repair_ring.67.0,31,4,3,199,130,70,v45-049122,True,True,True,True,True
1205,67,orchard,ssrm.v45.snapshot.orchard.67.17,23,4,3,135,125,72,v45-879035,True,True,True,True,True
1206,68,riverbend,ssrm.v45.snapshot.riverbend.68.0,30,4,3,133,122,72,v45-950370,True,True,True,True,True
1221,68,signal,ssrm.v45.snapshot.signal.68.15,30,4,3,136,130,103,v45-850743,True,True,True,True,True
1223,68,repair_ring,ssrm.v45.snapshot.repair_ring.68.17,32,4,3,204,132,70,v45-070992,True,True,True,True,True
1224,69,roofward,ssrm.v45.snapshot.roofward.69.0,23,4,3,137,132,70,v45-910957,True,True,True,True,True
1241,69,riverbend,ssrm.v45.snapshot.riverbend.69.17,31,4,3,137,125,72,v45-980323,True,True,True,True,True
1242,70,archive,ssrm.v45.snapshot.archive.70.0,31,4,3,208,128,72,v45-851618,True,True,True,True,True
1258,70,riverbend,ssrm.v45.snapshot.riverbend.70.16,32,4,3,139,128,72,v45-979052,True,True,True,True,True
1259,70,roofward,ssrm.v45.snapshot.roofward.70.17,24,4,3,140,134,70,v45-931854,True,True,True,True,True
1260,71,signal,ssrm.v45.snapshot.signal.71.0,31,4,3,141,136,107,v45-826451,True,True,True,True,True
1277,71,archive,ssrm.v45.snapshot.archive.71.17,32,4,3,213,131,72,v45-873712,True,True,True,True,True
1278,72,orchard,ssrm.v45.snapshot.orchard.72.0,24,4,3,142,131,72,v45-849681,True,True,True,True,True
1295,72,signal,ssrm.v45.snapshot.signal.72.17,32,4,3,144,138,108,v45-855813,True,True,True,True,True
1296,73,repair_ring,ssrm.v45.snapshot.repair_ring.73.0,33,4,3,217,139,72,v45-049652,True,True,True,True,True
1313,73,orchard,ssrm.v45.snapshot.orchard.73.17,25,4,3,146,134,72,v45-879507,True,True,True,True,True
1314,74,riverbend,ssrm.v45.snapshot.riverbend.74.0,33,4,3,147,135,72,v45-954484,True,True,True,True,True
1331,74,repair_ring,ssrm.v45.snapshot.repair_ring.74.17,34,4,3,222,143,72,v45-072403,True,True,True,True,True
1332,75,roofward,ssrm.v45.snapshot.roofward.75.0,25,4,3,147,141,74,v45-912813,True,True,True,True,True
1349,75,riverbend,ssrm.v45.snapshot.riverbend.75.17,34,4,3,150,138,72,v45-979898,True,True,True,True,True
1350,76,archive,ssrm.v45.snapshot.archive.76.0,33,4,3,226,137,72,v45-855169,True,True,True,True,True
1367,76,roofward,ssrm.v45.snapshot.roofward.76.17,26,4,3,151,145,74,v45-939084,True,True,True,True,True
1368,77,signal,ssrm.v45.snapshot.signal.77.0,33,4,3,151,145,108,v45-830905,True,True,True,True,True
1369,77,orchard,ssrm.v45.snapshot.orchard.77.1,26,4,3,154,142,72,v45-855503,True,True,True,True,True
1385,77,archive,ssrm.v45.snapshot.archive.77.17,34,4,3,231,140,72,v45-877265,True,True,True,True,True
1386,78,orchard,ssrm.v45.snapshot.orchard.78.0,27,4,3,156,144,72,v45-857765,True,True,True,True,True
1403,78,signal,ssrm.v45.snapshot.signal.78.17,34,4,3,155,149,108,v45-861175,True,True,True,True,True
1404,79,repair_ring,ssrm.v45.snapshot.repair_ring.79.0,35,4,3,235,153,76,v45-053246,True,True,True,True,True
1406,79,roofward,ssrm.v45.snapshot.roofward.79.2,27,4,3,157,150,75,v45-917290,True,True,True,True,True
1421,79,orchard,ssrm.v45.snapshot.orchard.79.17,28,4,3,159,147,72,v45-887150,True,True,True,True,True
1422,80,riverbend,ssrm.v45.snapshot.riverbend.80.0,35,4,3,157,144,72,v45-954500,True,True,True,True,True
1439,80,repair_ring,ssrm.v45.snapshot.repair_ring.80.17,36,4,3,240,155,76,v45-075203,True,True,True,True,True
1440,81,roofward,ssrm.v45.snapshot.roofward.81.0,28,4,3,161,155,76,v45-914217,True,True,True,True,True
1443,81,orchard,ssrm.v45.snapshot.orchard.81.3,29,4,3,161,148,72,v45-857352,True,True,True,True,True
1457,81,riverbend,ssrm.v45.snapshot.riverbend.81.17,36,4,3,161,147,72,v45-980372,True,True,True,True,True
1458,82,archive,ssrm.v45.snapshot.archive.82.0,35,4,3,244,150,72,v45-852451,True,True,True,True,True
1475,82,roofward,ssrm.v45.snapshot.roofward.82.17,29,4,3,164,157,76,v45-943211,True,True,True,True,True
1476,83,signal,ssrm.v45.snapshot.signal.83.0,35,4,3,165,159,108,v45-835000,True,True,True,True,True
1480,83,roofward,ssrm.v45.snapshot.roofward.83.4,30,4,3,164,158,77,v45-916935,True,True,True,True,True
1493,83,archive,ssrm.v45.snapshot.archive.83.17,36,4,3,249,153,72,v45-882736,True,True,True,True,True
1494,84,orchard,ssrm.v45.snapshot.orchard.84.0,30,4,3,166,153,72,v45-854196,True,True,True,True,True
1511,84,signal,ssrm.v45.snapshot.signal.84.17,36,4,3,168,161,108,v45-859813,True,True,True,True,True
1512,85,repair_ring,ssrm.v45.snapshot.repair_ring.85.0,37,4,3,253,162,78,v45-053731,True,True,True,True,True
1517,85,orchard,ssrm.v45.snapshot.orchard.85.5,31,4,3,169,155,72,v45-859580,True,True,True,True,True
1529,85,orchard,ssrm.v45.snapshot.orchard.85.17,32,4,3,170,156,72,v45-880400,True,True,True,True,True
1530,86,riverbend,ssrm.v45.snapshot.riverbend.86.0,37,4,3,171,157,72,v45-958083,True,True,True,True,True
1547,86,repair_ring,ssrm.v45.snapshot.repair_ring.86.17,38,4,3,258,166,78,v45-084752,True,True,True,True,True
1548,87,roofward,ssrm.v45.snapshot.roofward.87.0,31,4,3,171,164,80,v45-912336,True,True,True,True,True
1554,87,roofward,ssrm.v45.snapshot.roofward.87.6,32,4,3,172,165,80,v45-916371,True,True,True,True,True
1565,87,riverbend,ssrm.v45.snapshot.riverbend.87.17,38,4,3,174,160,72,v45-983466,True,True,True,True,True
1566,88,archive,ssrm.v45.snapshot.archive.88.0,37,4,3,262,159,72,v45-860107,True,True,True,True,True
1583,88,roofward,ssrm.v45.snapshot.roofward.88.17,33,4,3,175,168,80,v45-943140,True,True,True,True,True
1584,89,signal,ssrm.v45.snapshot.signal.89.0,37,4,3,175,168,108,v45-838995,True,True,True,True,True
1591,89,orchard,ssrm.v45.snapshot.orchard.89.7,33,4,3,178,164,72,v45-863136,True,True,True,True,True
1601,89,archive,ssrm.v45.snapshot.archive.89.17,38,4,3,267,162,72,v45-886289,True,True,True,True,True
1602,90,orchard,ssrm.v45.snapshot.orchard.90.0,34,4,3,180,166,72,v45-854671,True,True,True,True,True
1619,90,signal,ssrm.v45.snapshot.signal.90.17,38,4,3,179,172,108,v45-861196,True,True,True,True,True
1620,91,repair_ring,ssrm.v45.snapshot.repair_ring.91.0,39,4,3,271,176,82,v45-053274,True,True,True,True,True
1628,91,roofward,ssrm.v45.snapshot.roofward.91.8,34,4,3,181,174,82,v45-916858,True,True,True,True,True
1637,91,orchard,ssrm.v45.snapshot.orchard.91.17,35,4,3,183,169,72,v45-884055,True,True,True,True,True
1638,92,riverbend,ssrm.v45.snapshot.riverbend.92.0,39,4,3,181,166,72,v45-958099,True,True,True,True,True
1655,92,repair_ring,ssrm.v45.snapshot.repair_ring.92.17,40,4,3,276,178,82,v45-079297,True,True,True,True,True
1656,93,roofward,ssrm.v45.snapshot.roofward.93.0,35,4,3,185,178,82,v45-918267,True,True,True,True,True
1665,93,orchard,ssrm.v45.snapshot.orchard.93.9,36,4,3,186,171,72,v45-861788,True,True,True,True,True
1673,93,riverbend,ssrm.v45.snapshot.riverbend.93.17,40,4,3,185,169,72,v45-984012,True,True,True,True,True
1674,94,archive,ssrm.v45.snapshot.archive.94.0,39,4,3,280,172,72,v45-857389,True,True,True,True,True
1691,94,roofward,ssrm.v45.snapshot.roofward.94.17,36,4,3,188,180,82,v45-943144,True,True,True,True,True
1692,95,signal,ssrm.v45.snapshot.signal.95.0,39,4,3,189,182,108,v45-838994,True,True,True,True,True
1702,95,roofward,ssrm.v45.snapshot.roofward.95.10,37,4,3,189,182,83,v45-942740,True,True,True,True,True
1709,95,archive,ssrm.v45.snapshot.archive.95.17,40,4,3,285,175,72,v45-883640,True,True,True,True,True
1710,96,orchard,ssrm.v45.snapshot.orchard.96.0,37,4,3,190,175,72,v45-859123,True,True,True,True,True
1727,96,signal,ssrm.v45.snapshot.signal.96.17,40,4,3,192,184,108,v45-859816,True,True,True,True,True
1728,97,repair_ring,ssrm.v45.snapshot.repair_ring.97.0,41,4,3,289,185,84,v45-057819,True,True,True,True,True
1739,97,orchard,ssrm.v45.snapshot.orchard.97.11,38,4,3,193,177,72,v45-885378,True,True,True,True,True
1745,97,orchard,ssrm.v45.snapshot.orchard.97.17,39,4,3,194,178,72,v45-889413,True,True,True,True,True
1746,98,riverbend,ssrm.v45.snapshot.riverbend.98.0,41,4,3,195,179,72,v45-961718,True,True,True,True,True
