tick_id,day,settlement_id,resident_id,partner_id,requested_rest_minutes,workload_before,workload_after,fatigue_before,fatigue_after,autonomy_respected,refusal_or_delay,visible_rest_marker,recovery_path_open,schedule_tradeoff_recorded
105,6,cinder_garden,Wren,Juno,40,0.412,0.388,0.2808,0.2448,True,short pause negotiated,True,True,True
108,7,glass_harbor,Nia,Oren,50,0.42,0.396,0.1492,0.1132,True,short pause negotiated,True,True,True
111,7,orchid_engine,Eli,Bea,25,0.416,0.392,0.31536,0.27936,True,short pause negotiated,True,True,True
114,7,cinder_garden,Vale,Wren,40,0.446,0.422,0.33144,0.29544,True,short pause negotiated,True,True,True
117,7,moss_ward,Fay,Milo,15,0.444,0.42,0.32544,0.28944,True,short pause negotiated,True,True,True
120,7,lichen_bridge,Kio,Luma,30,0.426,0.408,0.1252,0.0952,True,delayed with named relief time,True,True,True
123,7,glass_harbor,Sera,Nia,45,0.412,0.388,0.2808,0.2448,True,short pause negotiated,True,True,True
126,8,moss_ward,Ari,Fay,15,0.424,0.4,0.1408,0.1048,True,short pause negotiated,True,True,True
129,8,lichen_bridge,Sol,Kio,30,0.42,0.396,0.351,0.315,True,short pause negotiated,True,True,True
132,8,glass_harbor,Puck,Sera,45,0.444,0.42,0.2161,0.1801,True,short pause negotiated,True,True,True
135,8,orchid_engine,Cai,Dax,20,0.448,0.424,0.35136,0.31536,True,short pause negotiated,True,True,True
138,8,cinder_garden,Juno,Pax,35,0.412,0.388,0.2568,0.2208,True,short pause negotiated,True,True,True
141,8,moss_ward,Tala,Ari,50,0.392,0.368,0.27936,0.24336,True,short pause negotiated,True,True,True
144,9,orchid_engine,Bea,Cai,20,0.404,0.386,0.0864,0.0564,True,delayed with named relief time,True,True,True
147,9,cinder_garden,Wren,Juno,35,0.4,0.376,0.35208,0.31608,True,short pause negotiated,True,True,True
150,9,moss_ward,Milo,Tala,50,0.444,0.42,0.21568,0.17968,True,short pause negotiated,True,True,True
153,9,lichen_bridge,Luma,Rin,25,0.452,0.428,0.378,0.342,True,short pause negotiated,True,True,True
156,9,glass_harbor,Nia,Oren,40,0.404,0.38,0.1564,0.1204,True,short pause negotiated,True,True,True
159,9,orchid_engine,Eli,Bea,15,0.396,0.372,0.315,0.279,True,short pause negotiated,True,True,True
162,10,lichen_bridge,Kio,Luma,25,0.42,0.396,0.12,0.084,True,short pause negotiated,True,True,True
165,10,glass_harbor,Sera,Nia,40,0.4,0.376,0.35238,0.31638,True,short pause negotiated,True,True,True
168,10,orchid_engine,Dax,Eli,15,0.448,0.43,0.317,0.287,True,delayed with named relief time,True,True,True
171,10,cinder_garden,Pax,Vale,30,0.456,0.432,0.40572,0.36972,True,short pause negotiated,True,True,True
174,10,moss_ward,Ari,Fay,45,0.408,0.384,0.078,0.042,True,short pause negotiated,True,True,True
177,10,lichen_bridge,Sol,Kio,20,0.4,0.376,0.35208,0.31608,True,short pause negotiated,True,True,True
180,11,cinder_garden,Juno,Pax,30,0.4,0.376,0.2865,0.2505,True,short pause negotiated,True,True,True
183,11,moss_ward,Tala,Ari,45,0.38,0.356,0.3546,0.3186,True,short pause negotiated,True,True,True
186,11,lichen_bridge,Rin,Sol,20,0.434,0.41,0.31958,0.28358,True,short pause negotiated,True,True,True
189,11,glass_harbor,Oren,Puck,35,0.436,0.412,0.39882,0.36282,True,short pause negotiated,True,True,True
192,11,orchid_engine,Bea,Cai,50,0.394,0.376,0.1005,0.0705,True,delayed with named relief time,True,True,True
195,11,cinder_garden,Wren,Juno,25,0.38,0.356,0.3546,0.3186,True,short pause negotiated,True,True,True
198,12,glass_harbor,Nia,Oren,35,0.392,0.368,0.1179,0.0819,True,short pause negotiated,True,True,True
201,12,orchid_engine,Eli,Bea,50,0.384,0.36,0.39456,0.35856,True,short pause negotiated,True,True,True
204,12,cinder_garden,Vale,Wren,25,0.438,0.414,0.42312,0.38712,True,short pause negotiated,True,True,True
207,12,moss_ward,Fay,Milo,40,0.44,0.416,0.4284,0.3924,True,short pause negotiated,True,True,True
210,12,lichen_bridge,Kio,Luma,15,0.404,0.38,0.1296,0.0936,True,short pause negotiated,True,True,True
213,12,glass_harbor,Sera,Nia,30,0.38,0.356,0.3549,0.3189,True,short pause negotiated,True,True,True
216,13,moss_ward,Ari,Fay,40,0.396,0.378,0.1119,0.0819,True,delayed with named relief time,True,True,True
219,13,lichen_bridge,Sol,Kio,15,0.388,0.364,0.43536,0.39936,True,short pause negotiated,True,True,True
222,13,glass_harbor,Puck,Sera,30,0.436,0.412,0.24534,0.20934,True,short pause negotiated,True,True,True
225,13,orchid_engine,Cai,Dax,45,0.444,0.42,0.45936,0.42336,True,short pause negotiated,True,True,True
228,13,cinder_garden,Juno,Pax,20,0.384,0.36,0.2976,0.2616,True,short pause negotiated,True,True,True
231,13,moss_ward,Tala,Ari,35,0.36,0.336,0.35826,0.32226,True,short pause negotiated,True,True,True
234,14,orchid_engine,Bea,Cai,45,0.388,0.364,0.0731,0.0371,True,short pause negotiated,True,True,True
237,14,cinder_garden,Wren,Juno,20,0.368,0.344,0.4419,0.4059,True,short pause negotiated,True,True,True
240,14,moss_ward,Milo,Tala,35,0.436,0.418,0.24192,0.21192,True,delayed with named relief time,True,True,True
243,14,lichen_bridge,Luma,Rin,50,0.43,0.406,0.4905,0.4545,True,short pause negotiated,True,True,True
246,14,glass_harbor,Nia,Oren,25,0.376,0.352,0.0614,0.0254,True,short pause negotiated,True,True,True
249,14,orchid_engine,Eli,Bea,40,0.364,0.34,0.39966,0.36366,True,short pause negotiated,True,True,True
252,15,lichen_bridge,Kio,Luma,50,0.392,0.368,0.0983,0.0623,True,short pause negotiated,True,True,True
255,15,glass_harbor,Sera,Nia,25,0.368,0.344,0.4428,0.4068,True,short pause negotiated,True,True,True
258,15,orchid_engine,Dax,Eli,40,0.446,0.422,0.28428,0.24828,True,short pause negotiated,True,True,True
261,15,cinder_garden,Pax,Vale,15,0.452,0.428,0.52332,0.48732,True,short pause negotiated,True,True,True
264,15,moss_ward,Ari,Fay,30,0.386,0.368,0.0626,0.0326,True,delayed with named relief time,True,True,True
267,15,lichen_bridge,Sol,Kio,45,0.368,0.344,0.4419,0.4059,True,short pause negotiated,True,True,True
270,16,cinder_garden,Juno,Pax,15,0.372,0.348,0.339,0.303,True,short pause negotiated,True,True,True
273,16,moss_ward,Tala,Ari,30,0.348,0.324,0.44988,0.41388,True,short pause negotiated,True,True,True
276,16,lichen_bridge,Rin,Sol,45,0.426,0.402,0.2853,0.2493,True,short pause negotiated,True,True,True
279,16,glass_harbor,Oren,Puck,20,0.396,0.372,0.52242,0.48642,True,short pause negotiated,True,True,True
282,16,orchid_engine,Bea,Cai,35,0.372,0.348,0.0896,0.0536,True,short pause negotiated,True,True,True
285,16,cinder_garden,Wren,Juno,50,0.348,0.324,0.44988,0.41388,True,short pause negotiated,True,True,True
288,17,glass_harbor,Nia,Oren,20,0.364,0.346,0.1055,0.0755,True,delayed with named relief time,True,True,True
289,17,cinder_garden,Pax,Vale,25,0.436,0.412,0.5559,0.5199,True,short pause negotiated,True,True,True
291,17,orchid_engine,Eli,Bea,35,0.334,0.31,0.49494,0.45894,True,short pause negotiated,True,True,True
294,17,cinder_garden,Vale,Wren,50,0.43,0.406,0.53358,0.49758,True,short pause negotiated,True,True,True
297,17,moss_ward,Fay,Milo,25,0.364,0.34,0.5565,0.5205,True,short pause negotiated,True,True,True
300,17,lichen_bridge,Kio,Luma,40,0.376,0.352,0.1163,0.0803,True,short pause negotiated,True,True,True
301,17,orchid_engine,Cai,Dax,45,0.4,0.376,0.5568,0.5208,True,short pause negotiated,True,True,True
303,17,glass_harbor,Sera,Nia,15,0.348,0.324,0.45078,0.41478,True,short pause negotiated,True,True,True
305,17,lichen_bridge,Luma,Rin,25,0.364,0.34,0.5559,0.5199,True,short pause negotiated,True,True,True
306,18,moss_ward,Ari,Fay,25,0.38,0.356,0.0751,0.0391,True,short pause negotiated,True,True,True
307,18,glass_harbor,Oren,Puck,30,0.344,0.32,0.55746,0.52146,True,short pause negotiated,True,True,True
309,18,lichen_bridge,Sol,Kio,40,0.32,0.296,0.5394,0.5034,True,short pause negotiated,True,True,True
311,18,moss_ward,Fay,Milo,50,0.326,0.302,0.55626,0.52026,True,short pause negotiated,True,True,True
312,18,glass_harbor,Puck,Sera,15,0.428,0.41,0.29444,0.26444,True,delayed with named relief time,True,True,True
315,18,orchid_engine,Cai,Dax,30,0.362,0.338,0.55686,0.52086,True,short pause negotiated,True,True,True
318,18,cinder_garden,Juno,Pax,45,0.356,0.332,0.3585,0.3225,True,short pause negotiated,True,True,True
319,18,lichen_bridge,Luma,Rin,50,0.326,0.302,0.55566,0.51966,True,short pause negotiated,True,True,True
321,18,moss_ward,Tala,Ari,20,0.328,0.304,0.45864,0.42264,True,short pause negotiated,True,True,True
323,18,cinder_garden,Pax,Vale,30,0.416,0.392,0.55566,0.51966,True,short pause negotiated,True,True,True
324,19,orchid_engine,Bea,Cai,30,0.36,0.336,0.0688,0.0328,True,short pause negotiated,True,True,True
325,19,moss_ward,Fay,Milo,35,0.288,0.264,0.55638,0.52038,True,short pause negotiated,True,True,True
327,19,cinder_garden,Wren,Juno,45,0.336,0.312,0.54816,0.51216,True,short pause negotiated,True,True,True
329,19,orchid_engine,Cai,Dax,15,0.324,0.3,0.55698,0.52098,True,short pause negotiated,True,True,True
330,19,moss_ward,Milo,Tala,20,0.434,0.41,0.36312,0.32712,True,short pause negotiated,True,True,True
333,19,lichen_bridge,Luma,Rin,35,0.288,0.264,0.55578,0.51978,True,short pause negotiated,True,True,True
336,19,glass_harbor,Nia,Oren,50,0.354,0.336,0.0634,0.0334,True,delayed with named relief time,True,True,True
337,19,cinder_garden,Pax,Vale,15,0.396,0.372,0.55578,0.51978,True,short pause negotiated,True,True,True
339,19,orchid_engine,Eli,Bea,25,0.314,0.29,0.5037,0.4677,True,short pause negotiated,True,True,True
341,19,glass_harbor,Oren,Puck,35,0.306,0.282,0.55758,0.52158,True,short pause negotiated,True,True,True
342,20,lichen_bridge,Kio,Luma,35,0.364,0.34,0.0976,0.0616,True,short pause negotiated,True,True,True
343,20,orchid_engine,Cai,Dax,40,0.286,0.262,0.5571,0.5211,True,short pause negotiated,True,True,True
345,20,glass_harbor,Sera,Nia,50,0.3,0.276,0.54906,0.51306,True,short pause negotiated,True,True,True
347,20,lichen_bridge,Luma,Rin,20,0.25,0.226,0.5559,0.5199,True,short pause negotiated,True,True,True
348,20,orchid_engine,Dax,Eli,25,0.438,0.414,0.33416,0.29816,True,short pause negotiated,True,True,True
351,20,cinder_garden,Pax,Vale,40,0.376,0.352,0.5559,0.5199,True,short pause negotiated,True,True,True
354,20,moss_ward,Ari,Fay,15,0.364,0.34,0.0982,0.0622,True,short pause negotiated,True,True,True
355,20,glass_harbor,Oren,Puck,20,0.268,0.244,0.5577,0.5217,True,short pause negotiated,True,True,True
356,20,cinder_garden,Vale,Wren,25,0.414,0.39,0.57756,0.54156,True,short pause negotiated,True,True,True
357,20,lichen_bridge,Sol,Kio,30,0.282,0.258,0.54816,0.51216,True,short pause negotiated,True,True,True
359,20,moss_ward,Fay,Milo,40,0.25,0.226,0.5565,0.5205,True,short pause negotiated,True,True,True
360,21,cinder_garden,Juno,Pax,40,0.344,0.326,0.4125,0.3825,True,delayed with named relief time,True,True,True
361,21,lichen_bridge,Luma,Rin,45,0.212,0.188,0.55602,0.52002,True,short pause negotiated,True,True,True
363,21,moss_ward,Tala,Ari,15,0.262,0.238,0.55692,0.52092,True,short pause negotiated,True,True,True
365,21,cinder_garden,Pax,Vale,25,0.356,0.332,0.55602,0.52002,True,short pause negotiated,True,True,True
366,21,lichen_bridge,Rin,Sol,30,0.418,0.394,0.338,0.302,True,short pause negotiated,True,True,True
367,21,orchid_engine,Eli,Bea,35,0.262,0.238,0.55722,0.52122,True,short pause negotiated,True,True,True
369,21,glass_harbor,Oren,Puck,45,0.23,0.206,0.51782,0.48182,True,short pause negotiated,True,True,True
370,21,cinder_garden,Vale,Wren,50,0.394,0.37,0.582,0.546,True,short pause negotiated,True,True,True
371,21,lichen_bridge,Sol,Kio,15,0.244,0.22,0.55692,0.52092,True,short pause negotiated,True,True,True
372,21,orchid_engine,Bea,Cai,20,0.344,0.32,0.0237,0.0,True,short pause negotiated,True,True,True
373,21,moss_ward,Fay,Milo,25,0.212,0.188,0.55662,0.52062,True,short pause negotiated,True,True,True
375,21,cinder_garden,Wren,Juno,35,0.316,0.292,0.55692,0.52092,True,short pause negotiated,True,True,True
377,21,orchid_engine,Cai,Dax,45,0.248,0.224,0.55722,0.52122,True,short pause negotiated,True,True,True
378,22,glass_harbor,Nia,Oren,45,0.348,0.324,0.0861,0.0501,True,short pause negotiated,True,True,True
379,22,cinder_garden,Pax,Vale,50,0.336,0.312,0.55614,0.52014,True,short pause negotiated,True,True,True
381,22,orchid_engine,Eli,Bea,20,0.224,0.2,0.56598,0.52998,True,short pause negotiated,True,True,True
384,22,cinder_garden,Vale,Wren,35,0.374,0.356,0.58644,0.55644,True,delayed with named relief time,True,True,True
385,22,lichen_bridge,Sol,Kio,40,0.206,0.182,0.56568,0.52968,True,short pause negotiated,True,True,True
387,22,moss_ward,Fay,Milo,50,0.18,0.18,0.55674,0.52074,True,short pause negotiated,True,True,True
389,22,cinder_garden,Wren,Juno,20,0.296,0.272,0.56568,0.52968,True,short pause negotiated,True,True,True
390,22,lichen_bridge,Kio,Luma,25,0.348,0.324,0.054,0.018,True,short pause negotiated,True,True,True
391,22,orchid_engine,Cai,Dax,30,0.21,0.186,0.55734,0.52134,True,short pause negotiated,True,True,True
393,22,glass_harbor,Sera,Nia,40,0.262,0.238,0.55782,0.52182,True,short pause negotiated,True,True,True
395,22,lichen_bridge,Luma,Rin,50,0.18,0.18,0.55614,0.52014,True,short pause negotiated,True,True,True
396,23,moss_ward,Ari,Fay,50,0.352,0.328,0.0867,0.0507,True,short pause negotiated,True,True,True
397,23,glass_harbor,Oren,Puck,15,0.18,0.18,0.55406,0.51806,True,short pause negotiated,True,True,True
398,23,cinder_garden,Vale,Wren,20,0.36,0.336,0.59688,0.56088,True,short pause negotiated,True,True,True
399,23,lichen_bridge,Sol,Kio,25,0.18,0.18,0.57444,0.53844,True,short pause negotiated,True,True,True
401,23,moss_ward,Fay,Milo,35,0.18,0.18,0.55686,0.52086,True,short pause negotiated,True,True,True
402,23,glass_harbor,Puck,Sera,40,0.426,0.402,0.4262,0.3902,True,short pause negotiated,True,True,True
403,23,cinder_garden,Wren,Juno,45,0.276,0.252,0.57444,0.53844,True,short pause negotiated,True,True,True
405,23,orchid_engine,Cai,Dax,15,0.18,0.18,0.55746,0.52146,True,short pause negotiated,True,True,True
407,23,glass_harbor,Sera,Nia,25,0.224,0.2,0.56658,0.53058,True,short pause negotiated,True,True,True
408,23,cinder_garden,Juno,Pax,30,0.334,0.316,0.4458,0.4158,True,delayed with named relief time,True,True,True
409,23,lichen_bridge,Luma,Rin,35,0.18,0.18,0.55626,0.52026,True,short pause negotiated,True,True,True
411,23,moss_ward,Tala,Ari,45,0.224,0.2,0.56568,0.52968,True,short pause negotiated,True,True,True
413,23,cinder_garden,Pax,Vale,15,0.316,0.292,0.55626,0.52026,True,short pause negotiated,True,True,True
414,24,orchid_engine,Bea,Cai,15,0.332,0.308,0.0954,0.0594,True,short pause negotiated,True,True,True
415,24,moss_ward,Fay,Milo,20,0.18,0.18,0.55698,0.52098,True,short pause negotiated,True,True,True
417,24,cinder_garden,Wren,Juno,30,0.256,0.232,0.5832,0.5472,True,short pause negotiated,True,True,True
419,24,orchid_engine,Cai,Dax,40,0.18,0.18,0.55758,0.52158,True,short pause negotiated,True,True,True
420,24,moss_ward,Milo,Tala,45,0.426,0.402,0.34888,0.31288,True,short pause negotiated,True,True,True
421,24,glass_harbor,Sera,Nia,50,0.186,0.18,0.57534,0.53934,True,short pause negotiated,True,True,True
423,24,lichen_bridge,Luma,Rin,20,0.18,0.18,0.55638,0.52038,True,short pause negotiated,True,True,True
425,24,moss_ward,Tala,Ari,30,0.186,0.18,0.57444,0.53844,True,short pause negotiated,True,True,True
426,24,glass_harbor,Nia,Oren,35,0.332,0.308,0.1137,0.0777,True,short pause negotiated,True,True,True
427,24,cinder_garden,Pax,Vale,40,0.296,0.272,0.55638,0.52038,True,short pause negotiated,True,True,True
429,24,orchid_engine,Eli,Bea,50,0.186,0.18,0.57474,0.53874,True,short pause negotiated,True,True,True
431,24,glass_harbor,Oren,Puck,20,0.18,0.18,0.55418,0.51818,True,short pause negotiated,True,True,True
432,25,lichen_bridge,Kio,Luma,20,0.336,0.318,0.1134,0.0834,True,delayed with named relief time,True,True,True
433,25,orchid_engine,Cai,Dax,25,0.18,0.18,0.5577,0.5217,True,short pause negotiated,True,True,True
435,25,glass_harbor,Sera,Nia,35,0.18,0.18,0.5841,0.5481,True,short pause negotiated,True,True,True
438,25,orchid_engine,Dax,Eli,50,0.43,0.406,0.38992,0.35392,True,short pause negotiated,True,True,True
439,25,moss_ward,Tala,Ari,15,0.18,0.18,0.5832,0.5472,True,short pause negotiated,True,True,True
441,25,cinder_garden,Pax,Vale,25,0.276,0.252,0.5565,0.5205,True,short pause negotiated,True,True,True
443,25,orchid_engine,Eli,Bea,35,0.18,0.18,0.5835,0.5475,True,short pause negotiated,True,True,True
444,25,moss_ward,Ari,Fay,40,0.336,0.312,0.1143,0.0783,True,short pause negotiated,True,True,True
446,25,cinder_garden,Vale,Wren,50,0.34,0.316,0.60132,0.56532,True,short pause negotiated,True,True,True
447,25,lichen_bridge,Sol,Kio,15,0.18,0.18,0.5832,0.5472,True,short pause negotiated,True,True,True
450,26,cinder_garden,Juno,Pax,25,0.328,0.304,0.5112,0.4752,True,short pause negotiated,True,True,True
453,26,moss_ward,Tala,Ari,40,0.18,0.18,0.59196,0.55596,True,short pause negotiated,True,True,True
455,26,cinder_garden,Pax,Vale,50,0.256,0.232,0.55662,0.52062,True,short pause negotiated,True,True,True
456,26,lichen_bridge,Rin,Sol,15,0.41,0.392,0.39376,0.36376,True,delayed with named relief time,True,True,True
459,26,glass_harbor,Oren,Puck,30,0.18,0.18,0.52042,0.48442,True,short pause negotiated,True,True,True
460,26,cinder_garden,Vale,Wren,35,0.32,0.296,0.60576,0.56976,True,short pause negotiated,True,True,True
461,26,lichen_bridge,Sol,Kio,40,0.18,0.18,0.59196,0.55596,True,short pause negotiated,True,True,True
462,26,orchid_engine,Bea,Cai,45,0.316,0.292,0.053,0.017,True,short pause negotiated,True,True,True
465,26,cinder_garden,Wren,Juno,20,0.236,0.212,0.59196,0.55596,True,short pause negotiated,True,True,True
467,26,orchid_engine,Cai,Dax,30,0.18,0.18,0.55782,0.52182,True,short pause negotiated,True,True,True
468,27,glass_harbor,Nia,Oren,30,0.32,0.296,0.1031,0.0671,True,short pause negotiated,True,True,True
469,27,cinder_garden,Pax,Vale,35,0.236,0.212,0.55674,0.52074,True,short pause negotiated,True,True,True
471,27,orchid_engine,Eli,Bea,45,0.18,0.18,0.56702,0.53102,True,short pause negotiated,True,True,True
474,27,cinder_garden,Vale,Wren,20,0.3,0.276,0.6102,0.5742,True,short pause negotiated,True,True,True
475,27,lichen_bridge,Sol,Kio,25,0.18,0.18,0.60072,0.56472,True,short pause negotiated,True,True,True
477,27,moss_ward,Fay,Milo,35,0.18,0.18,0.55934,0.52334,True,short pause negotiated,True,True,True
479,27,cinder_garden,Wren,Juno,45,0.216,0.192,0.60072,0.56472,True,short pause negotiated,True,True,True
480,27,lichen_bridge,Kio,Luma,50,0.326,0.308,0.077,0.047,True,delayed with named relief time,True,True,True
481,27,orchid_engine,Cai,Dax,15,0.18,0.18,0.55794,0.52194,True,short pause negotiated,True,True,True
483,27,glass_harbor,Sera,Nia,25,0.18,0.18,0.52286,0.48686,True,short pause negotiated,True,True,True
485,27,lichen_bridge,Luma,Rin,35,0.18,0.18,0.55874,0.52274,True,short pause negotiated,True,True,True
486,28,moss_ward,Ari,Fay,35,0.324,0.3,0.1037,0.0677,True,short pause negotiated,True,True,True
487,28,glass_harbor,Oren,Puck,40,0.18,0.18,0.55666,0.52066,True,short pause negotiated,True,True,True
488,28,cinder_garden,Vale,Wren,45,0.28,0.262,0.61464,0.58464,True,delayed with named relief time,True,True,True
489,28,lichen_bridge,Sol,Kio,50,0.18,0.18,0.60948,0.57348,True,short pause negotiated,True,True,True
491,28,moss_ward,Fay,Milo,20,0.18,0.18,0.55946,0.52346,True,short pause negotiated,True,True,True
492,28,glass_harbor,Puck,Sera,25,0.418,0.394,0.41196,0.37596,True,short pause negotiated,True,True,True
493,28,cinder_garden,Wren,Juno,30,0.196,0.18,0.60948,0.57348,True,short pause negotiated,True,True,True
495,28,orchid_engine,Cai,Dax,40,0.18,0.18,0.51806,0.48206,True,short pause negotiated,True,True,True
498,28,cinder_garden,Juno,Pax,15,0.312,0.288,0.5388,0.5028,True,short pause negotiated,True,True,True
499,28,lichen_bridge,Luma,Rin,20,0.18,0.18,0.55886,0.52286,True,short pause negotiated,True,True,True
501,28,moss_ward,Tala,Ari,30,0.18,0.18,0.60072,0.56472,True,short pause negotiated,True,True,True
503,28,cinder_garden,Pax,Vale,40,0.216,0.192,0.55686,0.52086,True,short pause negotiated,True,True,True
504,29,orchid_engine,Bea,Cai,40,0.304,0.286,0.0724,0.0424,True,delayed with named relief time,True,True,True
507,29,cinder_garden,Wren,Juno,15,0.184,0.18,0.61824,0.58224,True,short pause negotiated,True,True,True
510,29,moss_ward,Milo,Tala,30,0.418,0.394,0.40464,0.36864,True,short pause negotiated,True,True,True
511,29,glass_harbor,Sera,Nia,35,0.18,0.18,0.57638,0.54038,True,short pause negotiated,True,True,True
513,29,lichen_bridge,Luma,Rin,45,0.18,0.18,0.51898,0.48298,True,short pause negotiated,True,True,True
515,29,moss_ward,Tala,Ari,15,0.18,0.18,0.60948,0.57348,True,short pause negotiated,True,True,True
516,29,glass_harbor,Nia,Oren,20,0.304,0.28,0.1307,0.0947,True,short pause negotiated,True,True,True
517,29,cinder_garden,Pax,Vale,25,0.196,0.18,0.55698,0.52098,True,short pause negotiated,True,True,True
519,29,orchid_engine,Eli,Bea,35,0.18,0.18,0.57578,0.53978,True,short pause negotiated,True,True,True
522,30,lichen_bridge,Kio,Luma,45,0.32,0.296,0.1024,0.0664,True,short pause negotiated,True,True,True
523,30,orchid_engine,Cai,Dax,50,0.18,0.18,0.5543,0.5183,True,short pause negotiated,True,True,True
525,30,glass_harbor,Sera,Nia,20,0.18,0.18,0.58514,0.54914,True,short pause negotiated,True,True,True
526,30,cinder_garden,Juno,Pax,25,0.296,0.272,0.5664,0.5304,True,short pause negotiated,True,True,True
528,30,orchid_engine,Dax,Eli,35,0.422,0.404,0.51568,0.48568,True,delayed with named relief time,True,True,True
529,30,moss_ward,Tala,Ari,40,0.18,0.18,0.61824,0.58224,True,short pause negotiated,True,True,True
531,30,cinder_garden,Pax,Vale,50,0.184,0.18,0.5571,0.5211,True,short pause negotiated,True,True,True
533,30,orchid_engine,Eli,Bea,20,0.18,0.18,0.58454,0.54854,True,short pause negotiated,True,True,True
534,30,moss_ward,Ari,Fay,25,0.308,0.284,0.0613,0.0253,True,short pause negotiated,True,True,True
536,30,cinder_garden,Vale,Wren,35,0.266,0.226,0.62508,0.56508,True,rest granted before duty resumes,True,True,True
537,30,lichen_bridge,Sol,Kio,40,0.18,0.18,0.61824,0.58224,True,short pause negotiated,True,True,True
540,31,cinder_garden,Juno,Pax,50,0.276,0.252,0.5622,0.5262,True,short pause negotiated,True,True,True
541,31,lichen_bridge,Luma,Rin,15,0.18,0.18,0.55522,0.51922,True,short pause negotiated,True,True,True
