tick_id,day,settlement_id,resident_id,object_id,owner_id,object_use,action,permission_state,location_before,location_after,carried_after,relationship_before,relationship_after,queue_before,queue_after,consequence_label,consequence_visible,bounded_consequence,rollback_available
60,4,roofward,Fay,brass hinge,Fay,repair,request_permission,granted,sun sill,sun sill,False,0.676,0.686,0.365,0.361,permission negotiated,True,True,True
63,4,orchard,Mara,market token,Mara,trade,move_forward,observed,satchel shed,satchel shed,False,0.659,0.66,0.362,0.361,ambient ownership awareness,True,True,True
66,4,roofward,Fay,sun lens,Fay,craft,move_forward,observed,glass stair,glass stair,False,0.689,0.69,0.361,0.36,ambient ownership awareness,True,True,True
69,4,orchard,Mara,apple wrap,shared,care,drop_object,returning,mud row,mud row,False,0.66,0.662,0.361,0.361,empty-hand drop gesture,True,True,True
70,4,repair_ring,Juno,insulated tongs,Juno,repair,request_permission,granted,wire bench,wire bench,False,0.674,0.684,0.347,0.343,permission negotiated,True,True,True
72,5,archive,Toma,ink ribbon,Toma,craft,approach_resident,observed,spool room,spool room,False,0.667,0.667,0.363,0.369,attention cost,True,True,True
73,5,signal,Milo,signal lens,Milo,craft,drop_object,returning,lantern walk,lantern walk,False,0.658,0.66,0.364,0.364,empty-hand drop gesture,True,True,True
74,5,orchard,Mara,apple wrap,shared,care,request_permission,granted,mud row,mud row,False,0.674,0.684,0.361,0.357,permission negotiated,True,True,True
75,5,repair_ring,Juno,insulated tongs,Juno,repair,wait_respectfully,observed,wire bench,wire bench,False,0.687,0.693,0.343,0.333,respectful pressure reduction,True,True,True
76,5,riverbend,Lio,ridge lantern,Lio,signal,drop_object,returning,wet crossing,wet crossing,False,0.719,0.721,0.345,0.345,empty-hand drop gesture,True,True,True
77,5,roofward,Fay,brass hinge,Fay,repair,request_permission,granted,sun sill,sun sill,False,0.693,0.703,0.36,0.356,permission negotiated,True,True,True
78,5,archive,Toma,clean cloth,shared,care,wait_respectfully,observed,ink niche,ink niche,False,0.67,0.676,0.369,0.359,respectful pressure reduction,True,True,True
81,5,repair_ring,Juno,bell gauge,Juno,diagnostic,turn_right,observed,wire bench,wire bench,False,0.711,0.712,0.333,0.332,ambient ownership awareness,True,True,True
84,5,archive,Toma,ink ribbon,Toma,craft,turn_right,observed,spool room,spool room,False,0.694,0.695,0.359,0.358,ambient ownership awareness,True,True,True
86,5,orchard,Mara,apple wrap,shared,care,drop_object,returning,mud row,mud row,False,0.69,0.692,0.357,0.357,empty-hand drop gesture,True,True,True
87,5,repair_ring,Juno,insulated tongs,Juno,repair,request_permission,granted,wire bench,wire bench,False,0.712,0.722,0.332,0.328,permission negotiated,True,True,True
89,5,roofward,Fay,brass hinge,Fay,repair,drop_object,returning,sun sill,sun sill,False,0.703,0.705,0.356,0.356,empty-hand drop gesture,True,True,True
90,6,signal,Milo,signal lens,Milo,craft,drop_object,returning,lantern walk,lantern walk,False,0.674,0.676,0.36,0.36,empty-hand drop gesture,True,True,True
91,6,orchard,Mara,apple wrap,shared,care,request_permission,granted,mud row,mud row,False,0.695,0.705,0.357,0.353,permission negotiated,True,True,True
93,6,riverbend,Lio,ridge lantern,Lio,signal,drop_object,returning,wet crossing,wet crossing,False,0.741,0.743,0.341,0.341,empty-hand drop gesture,True,True,True
94,6,roofward,Fay,brass hinge,Fay,repair,request_permission,granted,sun sill,sun sill,False,0.717,0.727,0.356,0.352,permission negotiated,True,True,True
96,6,signal,Milo,mast rope,Milo,repair,listen_memory,observed,arrival court,arrival court,False,0.679,0.685,0.36,0.35,respectful pressure reduction,True,True,True
99,6,riverbend,Lio,dry shawl,shared,care,listen_memory,observed,dry ridge,dry ridge,False,0.743,0.749,0.341,0.331,respectful pressure reduction,True,True,True
102,6,signal,Milo,signal lens,Milo,craft,approach_resident,observed,lantern walk,lantern walk,False,0.693,0.693,0.35,0.356,attention cost,True,True,True
103,6,orchard,Mara,apple wrap,shared,care,drop_object,returning,mud row,mud row,False,0.705,0.707,0.353,0.353,empty-hand drop gesture,True,True,True
104,6,repair_ring,Juno,insulated tongs,Juno,repair,request_permission,granted,wire bench,wire bench,False,0.749,0.759,0.318,0.314,permission negotiated,True,True,True
105,6,riverbend,Lio,ridge lantern,Lio,signal,approach_resident,observed,wet crossing,wet crossing,False,0.757,0.757,0.331,0.337,attention cost,True,True,True
106,6,roofward,Fay,brass hinge,Fay,repair,drop_object,returning,sun sill,sun sill,False,0.733,0.735,0.352,0.352,empty-hand drop gesture,True,True,True
107,6,archive,Toma,clean cloth,shared,care,request_permission,granted,ink niche,ink niche,False,0.722,0.732,0.348,0.344,permission negotiated,True,True,True
108,7,orchard,Mara,apple wrap,shared,care,request_permission,granted,mud row,mud row,False,0.707,0.717,0.353,0.349,permission negotiated,True,True,True
110,7,riverbend,Lio,ridge lantern,Lio,signal,drop_object,returning,wet crossing,wet crossing,False,0.757,0.759,0.337,0.337,empty-hand drop gesture,True,True,True
111,7,roofward,Fay,brass hinge,Fay,repair,request_permission,granted,sun sill,sun sill,False,0.75,0.76,0.352,0.348,permission negotiated,True,True,True
114,7,orchard,Mara,market token,Mara,trade,move_forward,observed,satchel shed,satchel shed,False,0.72,0.721,0.349,0.348,ambient ownership awareness,True,True,True
117,7,roofward,Fay,sun lens,Fay,craft,move_forward,observed,glass stair,glass stair,False,0.76,0.761,0.348,0.347,ambient ownership awareness,True,True,True
120,7,orchard,Mara,apple wrap,shared,care,drop_object,returning,mud row,mud row,False,0.724,0.726,0.348,0.348,empty-hand drop gesture,True,True,True
121,7,repair_ring,Juno,insulated tongs,Juno,repair,request_permission,granted,wire bench,wire bench,False,0.786,0.796,0.304,0.3,permission negotiated,True,True,True
123,7,roofward,Fay,brass hinge,Fay,repair,drop_object,returning,sun sill,sun sill,False,0.761,0.763,0.347,0.347,empty-hand drop gesture,True,True,True
124,7,archive,Toma,clean cloth,shared,care,request_permission,granted,ink niche,ink niche,False,0.759,0.769,0.334,0.33,permission negotiated,True,True,True
126,8,repair_ring,Juno,insulated tongs,Juno,repair,wait_respectfully,observed,wire bench,wire bench,False,0.796,0.802,0.3,0.29,respectful pressure reduction,True,True,True
127,8,riverbend,Lio,ridge lantern,Lio,signal,drop_object,returning,wet crossing,wet crossing,False,0.779,0.781,0.333,0.333,empty-hand drop gesture,True,True,True
128,8,roofward,Fay,brass hinge,Fay,repair,request_permission,granted,sun sill,sun sill,False,0.775,0.785,0.347,0.343,permission negotiated,True,True,True
129,8,archive,Toma,clean cloth,shared,care,wait_respectfully,observed,ink niche,ink niche,False,0.772,0.778,0.33,0.32,respectful pressure reduction,True,True,True
132,8,repair_ring,Juno,bell gauge,Juno,diagnostic,turn_right,observed,wire bench,wire bench,False,0.82,0.821,0.29,0.289,ambient ownership awareness,True,True,True
135,8,archive,Toma,ink ribbon,Toma,craft,turn_right,observed,spool room,spool room,False,0.796,0.797,0.32,0.319,ambient ownership awareness,True,True,True
137,8,orchard,Mara,apple wrap,shared,care,drop_object,returning,mud row,mud row,False,0.729,0.731,0.348,0.348,empty-hand drop gesture,True,True,True
138,8,repair_ring,Juno,insulated tongs,Juno,repair,request_permission,granted,wire bench,wire bench,False,0.824,0.834,0.289,0.285,permission negotiated,True,True,True
140,8,roofward,Fay,brass hinge,Fay,repair,drop_object,returning,sun sill,sun sill,False,0.791,0.793,0.343,0.343,empty-hand drop gesture,True,True,True
141,8,archive,Toma,clean cloth,shared,care,request_permission,granted,ink niche,ink niche,False,0.797,0.807,0.319,0.315,permission negotiated,True,True,True
144,9,riverbend,Lio,ridge lantern,Lio,signal,drop_object,returning,wet crossing,wet crossing,False,0.795,0.797,0.329,0.329,empty-hand drop gesture,True,True,True
145,9,roofward,Fay,brass hinge,Fay,repair,request_permission,granted,sun sill,sun sill,False,0.796,0.806,0.343,0.339,permission negotiated,True,True,True
147,9,signal,Milo,mast rope,Milo,repair,listen_memory,observed,arrival court,arrival court,False,0.775,0.781,0.328,0.318,respectful pressure reduction,True,True,True
150,9,riverbend,Lio,dry shawl,shared,care,listen_memory,observed,dry ridge,dry ridge,False,0.8,0.806,0.329,0.319,respectful pressure reduction,True,True,True
153,9,signal,Milo,signal lens,Milo,craft,approach_resident,observed,lantern walk,lantern walk,False,0.789,0.789,0.318,0.324,attention cost,True,True,True
154,9,orchard,Mara,apple wrap,shared,care,drop_object,returning,mud row,mud row,False,0.748,0.75,0.338,0.338,empty-hand drop gesture,True,True,True
155,9,repair_ring,Juno,insulated tongs,Juno,repair,request_permission,granted,wire bench,wire bench,False,0.837,0.847,0.285,0.281,permission negotiated,True,True,True
156,9,riverbend,Lio,ridge lantern,Lio,signal,approach_resident,observed,wet crossing,wet crossing,False,0.814,0.814,0.319,0.325,attention cost,True,True,True
157,9,roofward,Fay,brass hinge,Fay,repair,drop_object,returning,sun sill,sun sill,False,0.806,0.808,0.339,0.339,empty-hand drop gesture,True,True,True
158,9,archive,Toma,clean cloth,shared,care,request_permission,granted,ink niche,ink niche,False,0.834,0.844,0.305,0.301,permission negotiated,True,True,True
159,9,signal,Milo,mast rope,Milo,repair,wait_respectfully,observed,arrival court,arrival court,False,0.789,0.795,0.324,0.314,respectful pressure reduction,True,True,True
162,10,roofward,Fay,brass hinge,Fay,repair,request_permission,granted,sun sill,sun sill,False,0.808,0.818,0.339,0.335,permission negotiated,True,True,True
165,10,orchard,Mara,market token,Mara,trade,move_forward,observed,satchel shed,satchel shed,False,0.767,0.768,0.328,0.327,ambient ownership awareness,True,True,True
168,10,roofward,Fay,sun lens,Fay,craft,move_forward,observed,glass stair,glass stair,False,0.821,0.822,0.335,0.334,ambient ownership awareness,True,True,True
171,10,orchard,Mara,apple wrap,shared,care,drop_object,returning,mud row,mud row,False,0.768,0.77,0.327,0.327,empty-hand drop gesture,True,True,True
172,10,repair_ring,Juno,insulated tongs,Juno,repair,request_permission,granted,wire bench,wire bench,False,0.85,0.86,0.281,0.277,permission negotiated,True,True,True
174,10,roofward,Fay,brass hinge,Fay,repair,drop_object,returning,sun sill,sun sill,False,0.825,0.827,0.334,0.334,empty-hand drop gesture,True,True,True
175,10,archive,Toma,clean cloth,shared,care,request_permission,granted,ink niche,ink niche,False,0.871,0.881,0.291,0.287,permission negotiated,True,True,True
177,10,orchard,Mara,market token,Mara,trade,listen_memory,observed,satchel shed,satchel shed,False,0.77,0.776,0.327,0.317,respectful pressure reduction,True,True,True
180,11,archive,Toma,clean cloth,shared,care,wait_respectfully,observed,ink niche,ink niche,False,0.881,0.887,0.287,0.277,respectful pressure reduction,True,True,True
183,11,repair_ring,Juno,bell gauge,Juno,diagnostic,turn_right,observed,wire bench,wire bench,False,0.866,0.867,0.277,0.276,ambient ownership awareness,True,True,True
186,11,archive,Toma,ink ribbon,Toma,craft,turn_right,observed,spool room,spool room,False,0.905,0.906,0.277,0.276,ambient ownership awareness,True,True,True
188,11,orchard,Mara,apple wrap,shared,care,drop_object,returning,mud row,mud row,False,0.787,0.789,0.317,0.317,empty-hand drop gesture,True,True,True
189,11,repair_ring,Juno,insulated tongs,Juno,repair,request_permission,granted,wire bench,wire bench,False,0.867,0.877,0.276,0.272,permission negotiated,True,True,True
191,11,roofward,Fay,brass hinge,Fay,repair,drop_object,returning,sun sill,sun sill,False,0.83,0.832,0.334,0.334,empty-hand drop gesture,True,True,True
192,11,archive,Toma,clean cloth,shared,care,request_permission,granted,ink niche,ink niche,False,0.909,0.919,0.276,0.272,permission negotiated,True,True,True
195,11,repair_ring,Juno,bell gauge,Juno,diagnostic,move_forward,observed,wire bench,wire bench,False,0.877,0.878,0.272,0.271,ambient ownership awareness,True,True,True
198,12,signal,Milo,mast rope,Milo,repair,listen_memory,observed,arrival court,arrival court,False,0.892,0.898,0.286,0.276,respectful pressure reduction,True,True,True
201,12,riverbend,Lio,dry shawl,shared,care,listen_memory,observed,dry ridge,dry ridge,False,0.896,0.902,0.297,0.287,respectful pressure reduction,True,True,True
204,12,signal,Milo,signal lens,Milo,craft,approach_resident,observed,lantern walk,lantern walk,False,0.906,0.906,0.276,0.282,attention cost,True,True,True
205,12,orchard,Mara,apple wrap,shared,care,drop_object,returning,mud row,mud row,False,0.806,0.808,0.307,0.307,empty-hand drop gesture,True,True,True
206,12,repair_ring,Juno,insulated tongs,Juno,repair,request_permission,granted,wire bench,wire bench,False,0.881,0.891,0.271,0.267,permission negotiated,True,True,True
207,12,riverbend,Lio,ridge lantern,Lio,signal,approach_resident,observed,wet crossing,wet crossing,False,0.91,0.91,0.287,0.293,attention cost,True,True,True
208,12,roofward,Fay,brass hinge,Fay,repair,drop_object,returning,sun sill,sun sill,False,0.849,0.851,0.324,0.324,empty-hand drop gesture,True,True,True
209,12,archive,Toma,clean cloth,shared,care,request_permission,granted,ink niche,ink niche,False,0.922,0.932,0.272,0.268,permission negotiated,True,True,True
210,12,signal,Milo,mast rope,Milo,repair,wait_respectfully,observed,arrival court,arrival court,False,0.909,0.915,0.282,0.272,respectful pressure reduction,True,True,True
213,12,riverbend,Lio,dry shawl,shared,care,wait_respectfully,observed,dry ridge,dry ridge,False,0.91,0.916,0.293,0.283,respectful pressure reduction,True,True,True
216,13,orchard,Mara,market token,Mara,trade,move_forward,observed,satchel shed,satchel shed,False,0.822,0.823,0.297,0.296,ambient ownership awareness,True,True,True
219,13,roofward,Fay,sun lens,Fay,craft,move_forward,observed,glass stair,glass stair,False,0.868,0.869,0.314,0.313,ambient ownership awareness,True,True,True
222,13,orchard,Mara,apple wrap,shared,care,drop_object,returning,mud row,mud row,False,0.826,0.828,0.296,0.296,empty-hand drop gesture,True,True,True
223,13,repair_ring,Juno,insulated tongs,Juno,repair,request_permission,granted,wire bench,wire bench,False,0.897,0.907,0.267,0.263,permission negotiated,True,True,True
225,13,roofward,Fay,brass hinge,Fay,repair,drop_object,returning,sun sill,sun sill,False,0.869,0.871,0.313,0.313,empty-hand drop gesture,True,True,True
226,13,archive,Toma,clean cloth,shared,care,request_permission,granted,ink niche,ink niche,False,0.935,0.945,0.268,0.264,permission negotiated,True,True,True
228,13,orchard,Mara,market token,Mara,trade,listen_memory,observed,satchel shed,satchel shed,False,0.831,0.837,0.296,0.286,respectful pressure reduction,True,True,True
231,13,roofward,Fay,sun lens,Fay,craft,listen_memory,observed,glass stair,glass stair,False,0.871,0.877,0.313,0.303,respectful pressure reduction,True,True,True
234,14,repair_ring,Juno,bell gauge,Juno,diagnostic,turn_right,observed,wire bench,wire bench,False,0.907,0.908,0.263,0.262,ambient ownership awareness,True,True,True
237,14,archive,Toma,ink ribbon,Toma,craft,turn_right,observed,spool room,spool room,False,0.951,0.952,0.264,0.263,ambient ownership awareness,True,True,True
239,14,orchard,Mara,apple wrap,shared,care,drop_object,returning,mud row,mud row,False,0.845,0.847,0.286,0.286,empty-hand drop gesture,True,True,True
240,14,repair_ring,Juno,insulated tongs,Juno,repair,request_permission,granted,wire bench,wire bench,False,0.911,0.921,0.262,0.258,permission negotiated,True,True,True
242,14,roofward,Fay,brass hinge,Fay,repair,drop_object,returning,sun sill,sun sill,False,0.888,0.89,0.303,0.303,empty-hand drop gesture,True,True,True
243,14,archive,Toma,clean cloth,shared,care,request_permission,granted,ink niche,ink niche,False,0.952,0.962,0.263,0.259,permission negotiated,True,True,True
246,14,repair_ring,Juno,bell gauge,Juno,diagnostic,move_forward,observed,wire bench,wire bench,False,0.924,0.925,0.258,0.257,ambient ownership awareness,True,True,True
249,14,archive,Toma,ink ribbon,Toma,craft,move_forward,observed,spool room,spool room,False,0.962,0.963,0.259,0.258,ambient ownership awareness,True,True,True
252,15,riverbend,Lio,dry shawl,shared,care,listen_memory,observed,dry ridge,dry ridge,False,0.98,0.98,0.255,0.245,respectful pressure reduction,True,True,True
255,15,signal,Milo,signal lens,Milo,craft,approach_resident,observed,lantern walk,lantern walk,False,0.98,0.98,0.264,0.27,attention cost,True,True,True
256,15,orchard,Mara,apple wrap,shared,care,drop_object,returning,mud row,mud row,False,0.861,0.863,0.282,0.282,empty-hand drop gesture,True,True,True
257,15,repair_ring,Juno,insulated tongs,Juno,repair,request_permission,granted,wire bench,wire bench,False,0.928,0.938,0.257,0.253,permission negotiated,True,True,True
258,15,riverbend,Lio,ridge lantern,Lio,signal,approach_resident,observed,wet crossing,wet crossing,False,0.98,0.98,0.245,0.251,attention cost,True,True,True
259,15,roofward,Fay,brass hinge,Fay,repair,drop_object,returning,sun sill,sun sill,False,0.907,0.909,0.293,0.293,empty-hand drop gesture,True,True,True
260,15,archive,Toma,clean cloth,shared,care,request_permission,granted,ink niche,ink niche,False,0.966,0.976,0.258,0.254,permission negotiated,True,True,True
261,15,signal,Milo,mast rope,Milo,repair,wait_respectfully,observed,arrival court,arrival court,False,0.98,0.98,0.27,0.26,respectful pressure reduction,True,True,True
264,15,riverbend,Lio,dry shawl,shared,care,wait_respectfully,observed,dry ridge,dry ridge,False,0.98,0.98,0.251,0.241,respectful pressure reduction,True,True,True
267,15,signal,Milo,signal lens,Milo,craft,turn_right,observed,lantern walk,lantern walk,False,0.98,0.98,0.26,0.259,ambient ownership awareness,True,True,True
269,15,repair_ring,Juno,insulated tongs,Juno,repair,drop_object,returning,wire bench,wire bench,False,0.938,0.94,0.253,0.253,empty-hand drop gesture,True,True,True
270,16,roofward,Fay,sun lens,Fay,craft,move_forward,observed,glass stair,glass stair,False,0.923,0.924,0.283,0.282,ambient ownership awareness,True,True,True
273,16,orchard,Mara,apple wrap,shared,care,drop_object,returning,mud row,mud row,False,0.883,0.885,0.278,0.278,empty-hand drop gesture,True,True,True
274,16,repair_ring,Juno,insulated tongs,Juno,repair,request_permission,granted,wire bench,wire bench,False,0.94,0.95,0.253,0.249,permission negotiated,True,True,True
276,16,roofward,Fay,brass hinge,Fay,repair,drop_object,returning,sun sill,sun sill,False,0.927,0.929,0.282,0.282,empty-hand drop gesture,True,True,True
277,16,archive,Toma,clean cloth,shared,care,request_permission,granted,ink niche,ink niche,False,0.98,0.98,0.254,0.25,permission negotiated,True,True,True
279,16,orchard,Mara,market token,Mara,trade,listen_memory,observed,satchel shed,satchel shed,False,0.885,0.891,0.278,0.268,respectful pressure reduction,True,True,True
282,16,roofward,Fay,sun lens,Fay,craft,listen_memory,observed,glass stair,glass stair,False,0.932,0.938,0.282,0.272,respectful pressure reduction,True,True,True
285,16,orchard,Mara,apple wrap,shared,care,approach_resident,observed,mud row,mud row,False,0.899,0.899,0.268,0.274,attention cost,True,True,True
286,16,repair_ring,Juno,insulated tongs,Juno,repair,drop_object,returning,wire bench,wire bench,False,0.956,0.958,0.249,0.249,empty-hand drop gesture,True,True,True
288,17,archive,Toma,ink ribbon,Toma,craft,turn_right,observed,spool room,spool room,False,0.98,0.98,0.25,0.249,ambient ownership awareness,True,True,True
290,17,orchard,Mara,apple wrap,shared,care,drop_object,returning,mud row,mud row,False,0.899,0.901,0.274,0.274,empty-hand drop gesture,True,True,True
291,17,repair_ring,Juno,insulated tongs,Juno,repair,request_permission,granted,wire bench,wire bench,False,0.961,0.971,0.249,0.245,permission negotiated,True,True,True
293,17,roofward,Fay,brass hinge,Fay,repair,drop_object,returning,sun sill,sun sill,False,0.946,0.948,0.272,0.272,empty-hand drop gesture,True,True,True
294,17,archive,Toma,clean cloth,shared,care,request_permission,granted,ink niche,ink niche,False,0.98,0.98,0.249,0.245,permission negotiated,True,True,True
297,17,repair_ring,Juno,bell gauge,Juno,diagnostic,move_forward,observed,wire bench,wire bench,False,0.971,0.972,0.245,0.244,ambient ownership awareness,True,True,True
300,17,archive,Toma,ink ribbon,Toma,craft,move_forward,observed,spool room,spool room,False,0.98,0.98,0.245,0.244,ambient ownership awareness,True,True,True
303,17,repair_ring,Juno,insulated tongs,Juno,repair,drop_object,returning,wire bench,wire bench,False,0.972,0.974,0.244,0.244,empty-hand drop gesture,True,True,True
306,18,signal,Milo,signal lens,Milo,craft,approach_resident,observed,lantern walk,lantern walk,False,0.98,0.98,0.251,0.257,attention cost,True,True,True
307,18,orchard,Mara,apple wrap,shared,care,drop_object,returning,mud row,mud row,False,0.921,0.923,0.27,0.27,empty-hand drop gesture,True,True,True
308,18,repair_ring,Juno,insulated tongs,Juno,repair,request_permission,granted,wire bench,wire bench,False,0.974,0.98,0.244,0.24,permission negotiated,True,True,True
309,18,riverbend,Lio,ridge lantern,Lio,signal,approach_resident,observed,wet crossing,wet crossing,False,0.98,0.98,0.233,0.239,attention cost,True,True,True
310,18,roofward,Fay,brass hinge,Fay,repair,drop_object,returning,sun sill,sun sill,False,0.962,0.964,0.268,0.268,empty-hand drop gesture,True,True,True
311,18,archive,Toma,clean cloth,shared,care,request_permission,granted,ink niche,ink niche,False,0.98,0.98,0.244,0.24,permission negotiated,True,True,True
312,18,signal,Milo,mast rope,Milo,repair,wait_respectfully,observed,arrival court,arrival court,False,0.98,0.98,0.257,0.247,respectful pressure reduction,True,True,True
315,18,riverbend,Lio,dry shawl,shared,care,wait_respectfully,observed,dry ridge,dry ridge,False,0.98,0.98,0.239,0.229,respectful pressure reduction,True,True,True
318,18,signal,Milo,signal lens,Milo,craft,turn_right,observed,lantern walk,lantern walk,False,0.98,0.98,0.247,0.246,ambient ownership awareness,True,True,True
320,18,repair_ring,Juno,insulated tongs,Juno,repair,drop_object,returning,wire bench,wire bench,False,0.98,0.98,0.24,0.246,object attention registered,True,True,True
321,18,riverbend,Lio,ridge lantern,Lio,signal,turn_right,observed,wet crossing,wet crossing,False,0.98,0.98,0.229,0.228,ambient ownership awareness,True,True,True
323,18,archive,Toma,clean cloth,shared,care,drop_object,returning,ink niche,ink niche,False,0.98,0.98,0.24,0.246,object attention registered,True,True,True
324,19,orchard,Mara,apple wrap,shared,care,drop_object,returning,mud row,mud row,False,0.937,0.939,0.266,0.266,empty-hand drop gesture,True,True,True
325,19,repair_ring,Juno,insulated tongs,Juno,repair,request_permission,granted,wire bench,wire bench,False,0.98,0.98,0.246,0.242,permission negotiated,True,True,True
327,19,roofward,Fay,brass hinge,Fay,repair,drop_object,returning,sun sill,sun sill,False,0.98,0.98,0.264,0.27,object attention registered,True,True,True
328,19,archive,Toma,clean cloth,shared,care,request_permission,granted,ink niche,ink niche,False,0.98,0.98,0.246,0.242,permission negotiated,True,True,True
330,19,orchard,Mara,market token,Mara,trade,listen_memory,observed,satchel shed,satchel shed,False,0.942,0.948,0.266,0.256,respectful pressure reduction,True,True,True
333,19,roofward,Fay,sun lens,Fay,craft,listen_memory,observed,glass stair,glass stair,False,0.98,0.98,0.27,0.26,respectful pressure reduction,True,True,True
336,19,orchard,Mara,apple wrap,shared,care,approach_resident,observed,mud row,mud row,False,0.956,0.956,0.256,0.262,attention cost,True,True,True
