tick,day,scene_id,focus_agent,free_move_visible,dialogue_prompt_visible,inventory_panel_visible,reaction_state_visible,reload_restore_visible,local_storage_state_visible,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
94,6,v22-scene-d06,Keth,1,1,1,1,1,1,1.42,33.599816,Keth offers a proximity prompt,1
95,6,v22-scene-d06,Keth,1,1,1,1,1,1,1.44,182.94258,Keth offers a proximity prompt,1
96,7,v22-scene-d07,Keth,1,1,1,1,0,1,1.42,305.045344,Keth offers a proximity prompt,1
97,7,v22-scene-d07,Keth,1,0,1,1,1,1,1.42,81.448108,inventory stays visible around path cord,1
98,7,v22-scene-d07,Keth,1,1,0,1,0,1,1.37,219.800872,Keth softens after inventory ceremony,1
99,7,v22-scene-d07,Keth,1,1,1,1,1,1,1.42,358.333636,Keth offers a proximity prompt,1
100,7,v22-scene-d07,Keth,1,1,1,1,1,1,1.42,136.0964,Keth offers a proximity prompt,1
101,7,v22-scene-d07,Keth,1,1,1,1,1,1,1.42,273.859164,Keth offers a proximity prompt,1
102,7,v22-scene-d07,Keth,1,1,1,1,0,1,1.42,51.621928,Keth offers a proximity prompt,1
103,7,v22-scene-d07,Keth,1,0,1,1,0,1,1.42,188.024692,inventory stays visible around path cord,1
104,7,v22-scene-d07,Keth,1,0,1,1,1,1,1.42,325.787456,inventory stays visible around path cord,1
105,7,v22-scene-d07,Keth,1,0,1,1,0,1,1.42,103.55022,inventory stays visible around path cord,1
106,7,v22-scene-d07,Keth,1,1,1,1,0,1,1.42,242.672984,Keth offers a proximity prompt,1
107,7,v22-scene-d07,Keth,1,1,1,1,0,1,1.42,20.435748,Keth offers a proximity prompt,1
108,7,v22-scene-d07,Keth,1,1,1,1,0,1,1.42,158.878512,Keth softens after inventory ceremony,1
109,7,v22-scene-d07,Keth,1,1,1,1,0,1,1.42,296.641276,Keth softens after inventory ceremony,1
110,7,v22-scene-d07,Keth,1,1,1,1,1,1,1.42,74.40404,Keth softens after inventory ceremony,1
111,7,v22-scene-d07,Keth,1,0,1,1,0,1,1.42,210.126804,inventory stays visible around path cord,1
112,8,v22-scene-d08,Keth,1,1,1,1,0,1,1.42,345.169568,Keth offers a proximity prompt,1
113,8,v22-scene-d08,Keth,1,1,1,1,0,1,1.42,123.612332,Keth softens after inventory ceremony,1
114,8,v22-scene-d08,Keth,1,1,1,1,0,1,1.42,260.695096,Keth offers a proximity prompt,1
115,8,v22-scene-d08,Keth,1,0,1,1,0,1,1.42,37.09786,inventory stays visible around path cord,1
116,8,v22-scene-d08,Keth,1,0,1,1,0,1,1.42,174.860624,inventory stays visible around path cord,1
117,8,v22-scene-d08,Keth,1,0,1,1,0,1,1.42,312.623388,inventory stays visible around path cord,1
118,8,v22-scene-d08,Keth,1,1,1,1,0,1,1.42,91.746152,Keth offers a proximity prompt,1
119,8,v22-scene-d08,Keth,1,0,1,1,0,1,1.42,228.148916,inventory stays visible around path cord,1
120,8,v22-scene-d08,Keth,1,1,1,1,0,1,1.42,7.27168,Keth offers a proximity prompt,1
121,8,v22-scene-d08,Keth,1,1,1,1,1,1,1.42,145.034444,Keth offers a proximity prompt,1
122,8,v22-scene-d08,Keth,1,1,1,1,1,1,1.42,283.477208,Keth softens after inventory ceremony,1
123,8,v22-scene-d08,Keth,1,1,1,1,1,1,1.42,60.559972,Keth offers a proximity prompt,1
124,8,v22-scene-d08,Keth,1,1,1,1,0,1,1.42,199.002736,Keth softens after inventory ceremony,1
125,8,v22-scene-d08,Keth,1,0,1,1,0,1,1.42,334.7255,inventory stays visible around path cord,1
126,8,v22-scene-d08,Keth,1,1,1,1,0,1,1.42,113.848264,Keth offers a proximity prompt,1
127,8,v22-scene-d08,Keth,1,0,0,1,0,1,1.37,248.801028,avatar free-moves through the scene,1
128,9,v22-scene-d09,Keth,1,0,1,1,0,1,1.42,23.933792,inventory stays visible around path cord,1
129,9,v22-scene-d09,Keth,1,0,1,1,0,1,1.42,161.696556,inventory stays visible around path cord,1
130,9,v22-scene-d09,Keth,1,1,1,1,1,1,1.42,300.81932,Keth offers a proximity prompt,1
131,9,v22-scene-d09,Keth,1,0,1,1,0,1,1.42,77.222084,inventory stays visible around path cord,1
132,9,v22-scene-d09,Keth,1,1,1,1,1,0,1.42,216.344848,Keth offers a proximity prompt,1
133,9,v22-scene-d09,Keth,1,1,1,1,1,1,1.42,354.107612,Keth offers a proximity prompt,1
134,9,v22-scene-d09,Keth,1,0,1,1,0,1,1.42,130.510376,inventory stays visible around path cord,1
135,9,v22-scene-d09,Keth,1,1,1,1,0,1,1.42,269.63314,Keth offers a proximity prompt,1
136,9,v22-scene-d09,Keth,1,1,1,1,0,1,1.42,47.395904,Keth offers a proximity prompt,1
137,9,v22-scene-d09,Keth,1,1,1,1,0,1,1.42,185.158668,Keth offers a proximity prompt,1
138,9,v22-scene-d09,Keth,1,1,1,1,0,1,1.42,323.601432,Keth softens after inventory ceremony,1
139,9,v22-scene-d09,Keth,1,0,1,1,0,1,1.42,99.324196,inventory stays visible around path cord,1
140,9,v22-scene-d09,Keth,1,0,1,1,0,1,1.42,237.08696,inventory stays visible around path cord,1
141,9,v22-scene-d09,Keth,1,0,0,1,0,1,1.37,13.399724,avatar free-moves through the scene,1
142,9,v22-scene-d09,Keth,1,0,1,1,0,1,1.42,152.612488,inventory stays visible around path cord,1
143,9,v22-scene-d09,Keth,1,1,1,1,1,1,1.42,292.415252,Keth softens after inventory ceremony,1
144,10,v22-scene-d10,Keth,1,1,1,1,1,1,1.42,66.098016,Keth softens after inventory ceremony,1
145,10,v22-scene-d10,Keth,1,1,1,1,1,1,1.42,203.18078,Keth offers a proximity prompt,1
146,10,v22-scene-d10,Keth,1,0,1,1,0,1,1.42,339.583544,inventory stays visible around path cord,1
147,10,v22-scene-d10,Keth,1,0,1,1,1,1,1.42,117.346308,inventory stays visible around path cord,1
148,10,v22-scene-d10,Keth,1,0,1,1,0,1,1.42,255.109072,inventory stays visible around path cord,1
149,10,v22-scene-d10,Keth,1,0,1,1,0,1,1.42,32.871836,inventory stays visible around path cord,1
150,10,v22-scene-d10,Keth,1,1,1,1,1,1,1.42,172.6746,Keth softens after inventory ceremony,1
151,10,v22-scene-d10,Keth,1,1,1,1,0,1,1.42,309.757364,Keth offers a proximity prompt,1
152,10,v22-scene-d10,Keth,1,1,1,1,1,1,1.42,88.200128,Keth softens after inventory ceremony,1
153,10,v22-scene-d10,Keth,1,1,1,1,0,1,1.42,225.962892,Keth softens after inventory ceremony,1
154,10,v22-scene-d10,Keth,1,1,1,1,1,1,1.42,3.045656,Keth offers a proximity prompt,1
155,10,v22-scene-d10,Keth,1,0,1,1,0,1,1.42,139.44842,inventory stays visible around path cord,1
156,10,v22-scene-d10,Keth,1,1,0,1,1,1,1.37,277.121184,Keth offers a proximity prompt,1
157,10,v22-scene-d10,Keth,1,0,1,1,0,1,1.42,54.973948,inventory stays visible around path cord,1
158,10,v22-scene-d10,Keth,1,0,1,1,1,1,1.42,192.736712,inventory stays visible around path cord,1
159,10,v22-scene-d10,Keth,1,0,0,1,0,1,1.37,329.049476,avatar free-moves through the scene,1
160,11,v22-scene-d11,Keth,1,0,1,1,0,0,1.42,104.18224,inventory stays visible around path cord,1
161,11,v22-scene-d11,Keth,1,0,1,1,0,1,1.42,241.945004,inventory stays visible around path cord,1
162,11,v22-scene-d11,Keth,1,1,1,1,0,1,1.42,21.747768,Keth softens after inventory ceremony,1
163,11,v22-scene-d11,Keth,1,1,1,1,1,1,1.42,158.830532,Keth offers a proximity prompt,1
164,11,v22-scene-d11,Keth,1,0,0,1,0,1,1.37,293.783296,avatar free-moves through the scene,1
165,11,v22-scene-d11,Keth,1,0,1,1,1,1,1.42,72.99606,inventory stays visible around path cord,1
166,11,v22-scene-d11,Keth,1,1,1,1,1,1,1.42,212.798824,Keth softens after inventory ceremony,1
167,11,v22-scene-d11,Keth,1,1,1,1,1,1,1.42,349.881588,Keth offers a proximity prompt,1
168,11,v22-scene-d11,Keth,1,1,1,1,0,1,1.42,127.644352,Keth offers a proximity prompt,1
169,11,v22-scene-d11,Keth,1,0,1,1,0,1,1.42,264.047116,inventory stays visible around path cord,1
170,11,v22-scene-d11,Keth,1,0,1,1,0,1,1.42,41.80988,inventory stays visible around path cord,1
171,11,v22-scene-d11,Keth,1,1,1,1,0,1,1.42,180.932644,Keth offers a proximity prompt,1
172,11,v22-scene-d11,Keth,1,0,1,1,1,1,1.42,317.335408,inventory stays visible around path cord,1
173,11,v22-scene-d11,Keth,1,0,1,1,0,1,1.42,95.098172,inventory stays visible around path cord,1
174,11,v22-scene-d11,Keth,1,1,1,1,1,1,1.42,234.900936,Keth softens after inventory ceremony,1
175,11,v22-scene-d11,Keth,1,0,1,1,0,1,1.42,10.6237,inventory stays visible around path cord,1
176,12,v22-scene-d12,Keth,1,0,1,1,1,1,1.42,144.306464,inventory stays visible around path cord,1
177,12,v22-scene-d12,Keth,1,1,1,1,1,1,1.42,284.109228,Keth softens after inventory ceremony,1
178,12,v22-scene-d12,Keth,1,0,1,1,0,1,1.42,59.831992,inventory stays visible around path cord,1
179,12,v22-scene-d12,Keth,1,1,1,1,1,1,1.42,198.954756,Keth offers a proximity prompt,1
180,12,v22-scene-d12,Keth,1,1,1,1,0,1,1.42,337.39752,Keth softens after inventory ceremony,1
181,12,v22-scene-d12,Keth,1,1,1,1,0,1,1.42,114.480284,Keth offers a proximity prompt,1
182,12,v22-scene-d12,Keth,1,0,1,1,0,1,1.42,250.883048,inventory stays visible around path cord,1
183,12,v22-scene-d12,Keth,1,1,1,1,1,1,1.42,30.685812,Keth softens after inventory ceremony,1
184,12,v22-scene-d12,Keth,1,1,1,1,0,1,1.42,167.768576,Keth offers a proximity prompt,1
185,12,v22-scene-d12,Keth,1,1,0,1,0,1,1.39,316.34134,Keth softens after inventory ceremony,1
186,12,v22-scene-d12,Keth,1,1,1,1,1,1,1.42,83.294104,Keth offers a proximity prompt,1
187,12,v22-scene-d12,Keth,1,1,1,1,1,1,1.44,233.316868,Keth softens after inventory ceremony,1
188,12,v22-scene-d12,Keth,1,1,1,1,1,1,1.44,10.399632,Keth offers a proximity prompt,1
189,12,v22-scene-d12,Keth,1,1,1,1,0,1,1.44,148.842396,Keth softens after inventory ceremony,1
190,12,v22-scene-d12,Keth,1,0,1,1,0,1,1.42,272.98516,inventory stays visible around path cord,1
191,12,v22-scene-d12,Keth,1,0,1,1,0,1,1.42,50.747924,inventory stays visible around path cord,1
192,13,v22-scene-d13,Keth,1,1,1,1,1,1,1.42,186.470688,Keth softens after inventory ceremony,1
193,13,v22-scene-d13,Keth,1,1,1,1,0,1,1.42,323.553452,Keth offers a proximity prompt,1
194,13,v22-scene-d13,Keth,1,1,1,1,0,1,1.42,101.316216,Keth offers a proximity prompt,1
195,13,v22-scene-d13,Keth,1,1,1,1,0,1,1.42,239.75898,Keth softens after inventory ceremony,1
196,13,v22-scene-d13,Keth,1,1,1,1,1,1,1.42,17.521744,Keth softens after inventory ceremony,1
197,13,v22-scene-d13,Keth,1,1,1,1,0,1,1.42,155.284508,Keth softens after inventory ceremony,1
198,13,v22-scene-d13,Keth,1,1,1,1,1,1,1.42,293.047272,Keth softens after inventory ceremony,1
199,13,v22-scene-d13,Keth,1,1,1,1,0,1,1.42,70.130036,Keth offers a proximity prompt,1
200,13,v22-scene-d13,Keth,1,1,1,1,1,1,1.42,207.8928,Keth offers a proximity prompt,1
201,13,v22-scene-d13,Keth,1,1,1,1,0,1,1.44,357.915564,Keth softens after inventory ceremony,1
202,13,v22-scene-d13,Keth,1,1,1,1,0,1,1.42,123.418328,Keth offers a proximity prompt,1
203,13,v22-scene-d13,Keth,1,1,1,1,0,1,1.42,261.181092,Keth offers a proximity prompt,1
204,13,v22-scene-d13,Keth,1,0,1,1,1,1,1.42,37.583856,inventory stays visible around path cord,1
205,13,v22-scene-d13,Keth,1,1,1,1,0,1,1.42,176.70662,Keth offers a proximity prompt,1
206,13,v22-scene-d13,Keth,1,1,1,1,0,1,1.42,314.469384,Keth offers a proximity prompt,1
207,13,v22-scene-d13,Keth,1,1,1,1,1,1,1.44,104.492148,Keth softens after inventory ceremony,1
208,14,v22-scene-d14,Keth,1,1,1,1,0,1,1.44,237.494912,Keth offers a proximity prompt,1
209,14,v22-scene-d14,Keth,1,1,1,1,1,1,1.44,15.257676,Keth offers a proximity prompt,1
210,14,v22-scene-d14,Keth,1,1,1,1,0,1,1.44,153.02044,Keth offers a proximity prompt,1
211,14,v22-scene-d14,Keth,1,1,1,1,0,1,1.44,290.783204,Keth offers a proximity prompt,1
212,14,v22-scene-d14,Keth,1,1,1,1,0,1,1.42,56.965968,Keth offers a proximity prompt,1
213,14,v22-scene-d14,Keth,1,1,1,1,0,1,1.42,195.408732,Keth softens after inventory ceremony,1
214,14,v22-scene-d14,Keth,1,1,0,1,0,1,1.37,331.041496,Keth offers a proximity prompt,1
215,14,v22-scene-d14,Keth,1,1,1,1,0,1,1.42,110.25426,Keth offers a proximity prompt,1
216,14,v22-scene-d14,Keth,1,1,1,1,1,1,1.42,248.017024,Keth offers a proximity prompt,1
217,14,v22-scene-d14,Keth,1,1,1,1,0,1,1.42,25.779788,Keth offers a proximity prompt,1
218,14,v22-scene-d14,Keth,1,1,1,1,0,1,1.42,163.542552,Keth offers a proximity prompt,1
219,14,v22-scene-d14,Keth,1,1,1,1,0,1,1.42,301.305316,Keth offers a proximity prompt,1
220,14,v22-scene-d14,Keth,1,1,1,1,1,1,1.42,79.06808,Keth offers a proximity prompt,1
221,14,v22-scene-d14,Keth,1,0,1,1,0,0,1.44,227.050844,inventory stays visible around path cord,1
222,14,v22-scene-d14,Keth,1,1,1,1,0,1,1.44,6.173608,Keth offers a proximity prompt,1
223,14,v22-scene-d14,Keth,1,1,1,1,1,1,1.44,144.616372,Keth softens after inventory ceremony,1
224,15,v22-scene-d15,Keth,1,1,1,1,0,1,1.44,277.619136,Keth offers a proximity prompt,1
225,15,v22-scene-d15,Keth,1,1,1,1,0,1,1.46,66.9619,Keth offers a proximity prompt,1
226,15,v22-scene-d15,Keth,1,1,1,1,0,1,1.46,204.724664,Keth offers a proximity prompt,1
227,15,v22-scene-d15,Keth,1,1,1,1,0,1,1.46,342.487428,Keth offers a proximity prompt,1
228,15,v22-scene-d15,Keth,1,1,1,1,0,1,1.44,108.670192,Keth offers a proximity prompt,1
229,15,v22-scene-d15,Keth,1,1,1,1,1,1,1.42,234.852956,Keth offers a proximity prompt,1
230,15,v22-scene-d15,Keth,1,1,1,1,0,1,1.42,13.29572,Keth softens after inventory ceremony,1
231,15,v22-scene-d15,Keth,1,1,1,1,1,1,1.42,150.378484,Keth offers a proximity prompt,1
232,15,v22-scene-d15,Keth,1,1,1,1,1,1,1.42,288.821248,Keth softens after inventory ceremony,1
233,15,v22-scene-d15,Keth,1,1,1,1,0,1,1.42,65.904012,Keth offers a proximity prompt,1
234,15,v22-scene-d15,Keth,1,1,1,1,1,1,1.44,215.926776,Keth softens after inventory ceremony,1
235,15,v22-scene-d15,Keth,1,0,1,1,0,1,1.44,351.64954,inventory stays visible around path cord,1
236,15,v22-scene-d15,Keth,1,1,1,1,0,1,1.46,142.352304,Keth offers a proximity prompt,1
237,15,v22-scene-d15,Keth,1,1,1,1,0,1,1.46,280.115068,Keth offers a proximity prompt,1
238,15,v22-scene-d15,Keth,1,1,1,1,1,1,1.46,58.557832,Keth softens after inventory ceremony,1
239,15,v22-scene-d15,Sova,1,1,1,1,1,1,1.46,196.320596,Sova softens after inventory ceremony,1
240,16,v22-scene-d16,Sova,1,1,1,1,1,1,1.46,330.00336,Sova softens after inventory ceremony,1
241,16,v22-scene-d16,Keth,1,1,1,1,0,1,1.46,107.086124,Keth offers a proximity prompt,1
242,16,v22-scene-d16,Keth,1,1,1,1,1,1,1.44,233.948888,Keth softens after inventory ceremony,1
243,16,v22-scene-d16,Keth,1,1,0,1,0,1,1.39,10.261652,Keth softens after inventory ceremony,1
244,16,v22-scene-d16,Keth,1,1,1,1,1,1,1.42,137.894416,Keth softens after inventory ceremony,1
245,16,v22-scene-d16,Keth,1,1,1,1,0,1,1.42,274.97718,Keth offers a proximity prompt,1
246,16,v22-scene-d16,Keth,1,1,1,1,1,1,1.42,53.419944,Keth softens after inventory ceremony,1
247,16,v22-scene-d16,Keth,1,1,1,1,1,1,1.42,191.182708,Keth softens after inventory ceremony,1
248,16,v22-scene-d16,Keth,1,1,1,1,0,1,1.42,328.945472,Keth softens after inventory ceremony,1
249,16,v22-scene-d16,Keth,1,1,1,1,0,1,1.42,106.028236,Keth offers a proximity prompt,1
250,16,v22-scene-d16,Sova,1,1,1,1,0,1,1.42,243.791,Sova offers a proximity prompt,1
251,16,v22-scene-d16,Sova,1,1,1,1,0,1,1.42,21.553764,Sova offers a proximity prompt,1
252,16,v22-scene-d16,Sova,1,0,1,1,1,1,1.42,157.956528,inventory stays visible around ember bowl,1
253,16,v22-scene-d16,Sova,1,1,1,1,1,1,1.42,297.079292,Sova offers a proximity prompt,1
254,16,v22-scene-d16,Sova,1,1,1,1,0,1,1.42,74.842056,Sova offers a proximity prompt,1
255,16,v22-scene-d16,Sova,1,1,1,1,0,1,1.42,212.60482,Sova offers a proximity prompt,1
256,17,v22-scene-d17,Sova,1,1,1,1,0,1,1.42,346.967584,Sova softens after inventory ceremony,1
257,17,v22-scene-d17,Sova,1,1,1,1,0,1,1.42,124.050348,Sova offers a proximity prompt,1
258,17,v22-scene-d17,Keth,1,1,1,1,0,1,1.42,261.813112,Keth offers a proximity prompt,1
