tick_id,day,settlement_id,resident_id,protocol_step,avatar_choice,protocol_state,trust_before,trust_after,respect_delta,visible_body_response,greeting_card_visible,protocol_not_bypassed
15,1,lichen_bridge,Sol,touch rope post,repeat_local_phrase,partially_matched,0.58,0.586,0.01,"resident listens, then corrects sequence",True,True
16,1,orchid_engine,Bea,show palms to valve listener,offer_trade_good,neutral,0.56,0.562,0.003,resident waits for clearer intent,True,True
17,1,moss_ward,Fay,wait for warm-cup phrase,touch_restricted_object,warning,0.57,0.558,-0.018,resident steps between avatar and custom boundary,True,True
18,2,cinder_garden,Juno,bow to shade cloth,wait_for_resident_lead,respected,0.566,0.576,0.016,"resident turns toward avatar, shoulders lower",True,True
19,2,lichen_bridge,Luma,listen for signal hush,observe_before_speaking,respected,0.588,0.598,0.016,"resident turns toward avatar, shoulders lower",True,True
20,2,orchid_engine,Dax,wait for orchid-cup,offer_greeting,partially_matched,0.564,0.57,0.01,"resident listens, then corrects sequence",True,True
21,2,moss_ward,Tala,stand by rain gate,ask_translation,partially_matched,0.54,0.546,0.01,"resident listens, then corrects sequence",True,True
22,2,glass_harbor,Nia,tap lantern rail,repeat_local_phrase,partially_matched,0.61,0.616,0.01,"resident listens, then corrects sequence",True,True
23,2,cinder_garden,Pax,repeat cool-hand sign,offer_trade_good,neutral,0.562,0.564,0.003,resident waits for clearer intent,True,True
24,2,lichen_bridge,Rin,touch rope post,touch_restricted_object,warning,0.558,0.546,-0.018,resident steps between avatar and custom boundary,True,True
25,2,orchid_engine,Eli,show palms to valve listener,step_back,respected,0.572,0.582,0.016,"resident turns toward avatar, shoulders lower",True,True
26,2,moss_ward,Ari,wait for warm-cup phrase,ask_custom_reason,neutral,0.59,0.592,0.003,resident waits for clearer intent,True,True
27,2,glass_harbor,Oren,pause at lamp pier,interrupt_protocol,warning,0.598,0.586,-0.018,resident steps between avatar and custom boundary,True,True
28,2,cinder_garden,Vale,wait at ash path,wait_for_resident_lead,respected,0.566,0.576,0.016,"resident turns toward avatar, shoulders lower",True,True
29,2,lichen_bridge,Sol,wait for shared-bowl offer,observe_before_speaking,respected,0.588,0.598,0.016,"resident turns toward avatar, shoulders lower",True,True
30,2,orchid_engine,Bea,stand outside engine ring,offer_greeting,partially_matched,0.564,0.57,0.01,"resident listens, then corrects sequence",True,True
31,2,moss_ward,Fay,show empty hands,ask_translation,partially_matched,0.54,0.546,0.01,"resident listens, then corrects sequence",True,True
32,2,glass_harbor,Puck,accept tea-before-crossing,repeat_local_phrase,partially_matched,0.59,0.596,0.01,"resident listens, then corrects sequence",True,True
33,2,cinder_garden,Wren,bow to shade cloth,offer_trade_good,neutral,0.55,0.552,0.003,resident waits for clearer intent,True,True
34,2,lichen_bridge,Kio,listen for signal hush,touch_restricted_object,warning,0.558,0.546,-0.018,resident steps between avatar and custom boundary,True,True
35,2,orchid_engine,Cai,wait for orchid-cup,step_back,respected,0.572,0.582,0.016,"resident turns toward avatar, shoulders lower",True,True
36,3,glass_harbor,Nia,pause at lamp pier,observe_before_speaking,respected,0.618,0.628,0.016,"resident turns toward avatar, shoulders lower",True,True
37,3,cinder_garden,Pax,wait at ash path,offer_greeting,partially_matched,0.566,0.572,0.01,"resident listens, then corrects sequence",True,True
38,3,lichen_bridge,Rin,wait for shared-bowl offer,ask_translation,partially_matched,0.528,0.534,0.01,"resident listens, then corrects sequence",True,True
39,3,orchid_engine,Eli,stand outside engine ring,repeat_local_phrase,partially_matched,0.592,0.598,0.01,"resident listens, then corrects sequence",True,True
40,3,moss_ward,Ari,show empty hands,offer_trade_good,neutral,0.602,0.604,0.003,resident waits for clearer intent,True,True
41,3,glass_harbor,Oren,accept tea-before-crossing,touch_restricted_object,warning,0.576,0.564,-0.018,resident steps between avatar and custom boundary,True,True
42,3,cinder_garden,Vale,bow to shade cloth,step_back,respected,0.578,0.588,0.016,"resident turns toward avatar, shoulders lower",True,True
43,3,lichen_bridge,Sol,listen for signal hush,ask_custom_reason,neutral,0.608,0.61,0.003,resident waits for clearer intent,True,True
44,3,orchid_engine,Bea,wait for orchid-cup,interrupt_protocol,warning,0.572,0.56,-0.018,resident steps between avatar and custom boundary,True,True
45,3,moss_ward,Fay,stand by rain gate,wait_for_resident_lead,respected,0.556,0.566,0.016,"resident turns toward avatar, shoulders lower",True,True
46,3,glass_harbor,Puck,tap lantern rail,observe_before_speaking,respected,0.598,0.608,0.016,"resident turns toward avatar, shoulders lower",True,True
47,3,cinder_garden,Wren,repeat cool-hand sign,offer_greeting,partially_matched,0.554,0.56,0.01,"resident listens, then corrects sequence",True,True
48,3,lichen_bridge,Kio,touch rope post,ask_translation,partially_matched,0.528,0.534,0.01,"resident listens, then corrects sequence",True,True
49,3,orchid_engine,Cai,show palms to valve listener,repeat_local_phrase,partially_matched,0.592,0.598,0.01,"resident listens, then corrects sequence",True,True
50,3,moss_ward,Milo,wait for warm-cup phrase,offer_trade_good,neutral,0.59,0.592,0.003,resident waits for clearer intent,True,True
51,3,glass_harbor,Sera,pause at lamp pier,touch_restricted_object,warning,0.598,0.586,-0.018,resident steps between avatar and custom boundary,True,True
52,3,cinder_garden,Juno,wait at ash path,step_back,respected,0.578,0.588,0.016,"resident turns toward avatar, shoulders lower",True,True
53,3,lichen_bridge,Luma,wait for shared-bowl offer,ask_custom_reason,neutral,0.608,0.61,0.003,resident waits for clearer intent,True,True
54,4,moss_ward,Ari,stand by rain gate,offer_greeting,partially_matched,0.606,0.612,0.01,"resident listens, then corrects sequence",True,True
55,4,glass_harbor,Oren,tap lantern rail,ask_translation,partially_matched,0.546,0.552,0.01,"resident listens, then corrects sequence",True,True
56,4,cinder_garden,Vale,repeat cool-hand sign,repeat_local_phrase,partially_matched,0.598,0.604,0.01,"resident listens, then corrects sequence",True,True
57,4,lichen_bridge,Sol,touch rope post,offer_trade_good,neutral,0.62,0.622,0.003,resident waits for clearer intent,True,True
58,4,orchid_engine,Bea,show palms to valve listener,touch_restricted_object,warning,0.55,0.538,-0.018,resident steps between avatar and custom boundary,True,True
59,4,moss_ward,Fay,wait for warm-cup phrase,step_back,respected,0.568,0.578,0.016,"resident turns toward avatar, shoulders lower",True,True
60,4,glass_harbor,Puck,pause at lamp pier,ask_custom_reason,neutral,0.618,0.62,0.003,resident waits for clearer intent,True,True
61,4,cinder_garden,Wren,wait at ash path,interrupt_protocol,warning,0.562,0.55,-0.018,resident steps between avatar and custom boundary,True,True
62,4,lichen_bridge,Kio,wait for shared-bowl offer,wait_for_resident_lead,respected,0.544,0.554,0.016,"resident turns toward avatar, shoulders lower",True,True
63,4,orchid_engine,Cai,stand outside engine ring,observe_before_speaking,respected,0.6,0.61,0.016,"resident turns toward avatar, shoulders lower",True,True
64,4,moss_ward,Milo,show empty hands,offer_greeting,partially_matched,0.594,0.6,0.01,"resident listens, then corrects sequence",True,True
65,4,glass_harbor,Sera,accept tea-before-crossing,ask_translation,partially_matched,0.568,0.574,0.01,"resident listens, then corrects sequence",True,True
66,4,cinder_garden,Juno,bow to shade cloth,repeat_local_phrase,partially_matched,0.598,0.604,0.01,"resident listens, then corrects sequence",True,True
67,4,lichen_bridge,Luma,listen for signal hush,offer_trade_good,neutral,0.62,0.622,0.003,resident waits for clearer intent,True,True
68,4,orchid_engine,Dax,wait for orchid-cup,touch_restricted_object,warning,0.572,0.56,-0.018,resident steps between avatar and custom boundary,True,True
69,4,moss_ward,Tala,stand by rain gate,step_back,respected,0.556,0.566,0.016,"resident turns toward avatar, shoulders lower",True,True
70,4,glass_harbor,Nia,tap lantern rail,ask_custom_reason,neutral,0.638,0.64,0.003,resident waits for clearer intent,True,True
71,4,cinder_garden,Pax,repeat cool-hand sign,interrupt_protocol,warning,0.574,0.562,-0.018,resident steps between avatar and custom boundary,True,True
72,5,orchid_engine,Bea,stand outside engine ring,ask_translation,partially_matched,0.52,0.526,0.01,"resident listens, then corrects sequence",True,True
73,5,moss_ward,Fay,show empty hands,repeat_local_phrase,partially_matched,0.588,0.594,0.01,"resident listens, then corrects sequence",True,True
74,5,glass_harbor,Puck,accept tea-before-crossing,offer_trade_good,neutral,0.63,0.632,0.003,resident waits for clearer intent,True,True
75,5,cinder_garden,Wren,bow to shade cloth,touch_restricted_object,warning,0.54,0.528,-0.018,resident steps between avatar and custom boundary,True,True
76,5,lichen_bridge,Kio,listen for signal hush,step_back,respected,0.556,0.566,0.016,"resident turns toward avatar, shoulders lower",True,True
77,5,orchid_engine,Cai,wait for orchid-cup,ask_custom_reason,neutral,0.62,0.622,0.003,resident waits for clearer intent,True,True
78,5,moss_ward,Milo,stand by rain gate,interrupt_protocol,warning,0.602,0.59,-0.018,resident steps between avatar and custom boundary,True,True
79,5,glass_harbor,Sera,tap lantern rail,wait_for_resident_lead,respected,0.584,0.594,0.016,"resident turns toward avatar, shoulders lower",True,True
80,5,cinder_garden,Juno,repeat cool-hand sign,observe_before_speaking,respected,0.606,0.616,0.016,"resident turns toward avatar, shoulders lower",True,True
81,5,lichen_bridge,Luma,touch rope post,offer_greeting,partially_matched,0.624,0.63,0.01,"resident listens, then corrects sequence",True,True
82,5,orchid_engine,Dax,show palms to valve listener,ask_translation,partially_matched,0.542,0.548,0.01,"resident listens, then corrects sequence",True,True
83,5,moss_ward,Tala,wait for warm-cup phrase,repeat_local_phrase,partially_matched,0.576,0.582,0.01,"resident listens, then corrects sequence",True,True
84,5,glass_harbor,Nia,pause at lamp pier,offer_trade_good,neutral,0.65,0.652,0.003,resident waits for clearer intent,True,True
85,5,cinder_garden,Pax,wait at ash path,touch_restricted_object,warning,0.552,0.54,-0.018,resident steps between avatar and custom boundary,True,True
86,5,lichen_bridge,Rin,wait for shared-bowl offer,step_back,respected,0.544,0.554,0.016,"resident turns toward avatar, shoulders lower",True,True
87,5,orchid_engine,Eli,stand outside engine ring,ask_custom_reason,neutral,0.6,0.602,0.003,resident waits for clearer intent,True,True
88,5,moss_ward,Ari,show empty hands,interrupt_protocol,warning,0.614,0.602,-0.018,resident steps between avatar and custom boundary,True,True
89,5,glass_harbor,Oren,accept tea-before-crossing,wait_for_resident_lead,respected,0.562,0.572,0.016,"resident turns toward avatar, shoulders lower",True,True
90,6,lichen_bridge,Kio,touch rope post,repeat_local_phrase,partially_matched,0.576,0.582,0.01,"resident listens, then corrects sequence",True,True
91,6,orchid_engine,Cai,show palms to valve listener,offer_trade_good,neutral,0.632,0.634,0.003,resident waits for clearer intent,True,True
92,6,moss_ward,Milo,wait for warm-cup phrase,touch_restricted_object,warning,0.58,0.568,-0.018,resident steps between avatar and custom boundary,True,True
93,6,glass_harbor,Sera,pause at lamp pier,step_back,respected,0.596,0.606,0.016,"resident turns toward avatar, shoulders lower",True,True
94,6,cinder_garden,Juno,wait at ash path,ask_custom_reason,neutral,0.626,0.628,0.003,resident waits for clearer intent,True,True
95,6,lichen_bridge,Luma,wait for shared-bowl offer,interrupt_protocol,warning,0.632,0.62,-0.018,resident steps between avatar and custom boundary,True,True
96,6,orchid_engine,Dax,stand outside engine ring,wait_for_resident_lead,respected,0.558,0.568,0.016,"resident turns toward avatar, shoulders lower",True,True
97,6,moss_ward,Tala,show empty hands,observe_before_speaking,respected,0.584,0.594,0.016,"resident turns toward avatar, shoulders lower",True,True
98,6,glass_harbor,Nia,accept tea-before-crossing,offer_greeting,partially_matched,0.654,0.66,0.01,"resident listens, then corrects sequence",True,True
99,6,cinder_garden,Pax,bow to shade cloth,ask_translation,partially_matched,0.522,0.528,0.01,"resident listens, then corrects sequence",True,True
100,6,lichen_bridge,Rin,listen for signal hush,repeat_local_phrase,partially_matched,0.564,0.57,0.01,"resident listens, then corrects sequence",True,True
101,6,orchid_engine,Eli,wait for orchid-cup,offer_trade_good,neutral,0.612,0.614,0.003,resident waits for clearer intent,True,True
102,6,moss_ward,Ari,stand by rain gate,touch_restricted_object,warning,0.592,0.58,-0.018,resident steps between avatar and custom boundary,True,True
103,6,glass_harbor,Oren,tap lantern rail,step_back,respected,0.574,0.584,0.016,"resident turns toward avatar, shoulders lower",True,True
104,6,cinder_garden,Vale,repeat cool-hand sign,ask_custom_reason,neutral,0.606,0.608,0.003,resident waits for clearer intent,True,True
105,6,lichen_bridge,Sol,touch rope post,interrupt_protocol,warning,0.624,0.612,-0.018,resident steps between avatar and custom boundary,True,True
106,6,orchid_engine,Bea,show palms to valve listener,wait_for_resident_lead,respected,0.536,0.546,0.016,"resident turns toward avatar, shoulders lower",True,True
107,6,moss_ward,Fay,wait for warm-cup phrase,observe_before_speaking,respected,0.596,0.606,0.016,"resident turns toward avatar, shoulders lower",True,True
108,7,cinder_garden,Juno,bow to shade cloth,offer_trade_good,neutral,0.638,0.64,0.003,resident waits for clearer intent,True,True
109,7,lichen_bridge,Luma,listen for signal hush,touch_restricted_object,warning,0.61,0.598,-0.018,resident steps between avatar and custom boundary,True,True
110,7,orchid_engine,Dax,wait for orchid-cup,step_back,respected,0.57,0.58,0.016,"resident turns toward avatar, shoulders lower",True,True
111,7,moss_ward,Tala,stand by rain gate,ask_custom_reason,neutral,0.604,0.606,0.003,resident waits for clearer intent,True,True
112,7,glass_harbor,Nia,tap lantern rail,interrupt_protocol,warning,0.662,0.65,-0.018,resident steps between avatar and custom boundary,True,True
113,7,cinder_garden,Pax,repeat cool-hand sign,wait_for_resident_lead,respected,0.538,0.548,0.016,"resident turns toward avatar, shoulders lower",True,True
114,7,lichen_bridge,Rin,touch rope post,observe_before_speaking,respected,0.572,0.582,0.016,"resident turns toward avatar, shoulders lower",True,True
115,7,orchid_engine,Eli,show palms to valve listener,offer_greeting,partially_matched,0.616,0.622,0.01,"resident listens, then corrects sequence",True,True
116,7,moss_ward,Ari,wait for warm-cup phrase,ask_translation,partially_matched,0.562,0.568,0.01,"resident listens, then corrects sequence",True,True
117,7,glass_harbor,Oren,pause at lamp pier,repeat_local_phrase,partially_matched,0.594,0.6,0.01,"resident listens, then corrects sequence",True,True
118,7,cinder_garden,Vale,wait at ash path,offer_trade_good,neutral,0.618,0.62,0.003,resident waits for clearer intent,True,True
119,7,lichen_bridge,Sol,wait for shared-bowl offer,touch_restricted_object,warning,0.602,0.59,-0.018,resident steps between avatar and custom boundary,True,True
120,7,orchid_engine,Bea,stand outside engine ring,step_back,respected,0.548,0.558,0.016,"resident turns toward avatar, shoulders lower",True,True
121,7,moss_ward,Fay,show empty hands,ask_custom_reason,neutral,0.616,0.618,0.003,resident waits for clearer intent,True,True
122,7,glass_harbor,Puck,accept tea-before-crossing,interrupt_protocol,warning,0.634,0.622,-0.018,resident steps between avatar and custom boundary,True,True
123,7,cinder_garden,Wren,bow to shade cloth,wait_for_resident_lead,respected,0.51,0.52,0.016,"resident turns toward avatar, shoulders lower",True,True
124,7,lichen_bridge,Kio,listen for signal hush,observe_before_speaking,respected,0.584,0.594,0.016,"resident turns toward avatar, shoulders lower",True,True
125,7,orchid_engine,Cai,wait for orchid-cup,offer_greeting,partially_matched,0.636,0.642,0.01,"resident listens, then corrects sequence",True,True
126,8,glass_harbor,Nia,pause at lamp pier,touch_restricted_object,warning,0.64,0.628,-0.018,resident steps between avatar and custom boundary,True,True
127,8,cinder_garden,Pax,wait at ash path,step_back,respected,0.55,0.56,0.016,"resident turns toward avatar, shoulders lower",True,True
128,8,lichen_bridge,Rin,wait for shared-bowl offer,ask_custom_reason,neutral,0.592,0.594,0.003,resident waits for clearer intent,True,True
129,8,orchid_engine,Eli,stand outside engine ring,interrupt_protocol,warning,0.624,0.612,-0.018,resident steps between avatar and custom boundary,True,True
130,8,moss_ward,Ari,show empty hands,wait_for_resident_lead,respected,0.578,0.588,0.016,"resident turns toward avatar, shoulders lower",True,True
131,8,glass_harbor,Oren,accept tea-before-crossing,observe_before_speaking,respected,0.602,0.612,0.016,"resident turns toward avatar, shoulders lower",True,True
132,8,cinder_garden,Vale,bow to shade cloth,offer_greeting,partially_matched,0.622,0.628,0.01,"resident listens, then corrects sequence",True,True
133,8,lichen_bridge,Sol,listen for signal hush,ask_translation,partially_matched,0.572,0.578,0.01,"resident listens, then corrects sequence",True,True
134,8,orchid_engine,Bea,wait for orchid-cup,repeat_local_phrase,partially_matched,0.568,0.574,0.01,"resident listens, then corrects sequence",True,True
135,8,moss_ward,Fay,stand by rain gate,offer_trade_good,neutral,0.628,0.63,0.003,resident waits for clearer intent,True,True
136,8,glass_harbor,Puck,tap lantern rail,touch_restricted_object,warning,0.612,0.6,-0.018,resident steps between avatar and custom boundary,True,True
137,8,cinder_garden,Wren,repeat cool-hand sign,step_back,respected,0.522,0.532,0.016,"resident turns toward avatar, shoulders lower",True,True
138,8,lichen_bridge,Kio,touch rope post,ask_custom_reason,neutral,0.604,0.606,0.003,resident waits for clearer intent,True,True
139,8,orchid_engine,Cai,show palms to valve listener,interrupt_protocol,warning,0.644,0.632,-0.018,resident steps between avatar and custom boundary,True,True
140,8,moss_ward,Milo,wait for warm-cup phrase,wait_for_resident_lead,respected,0.55,0.56,0.016,"resident turns toward avatar, shoulders lower",True,True
141,8,glass_harbor,Sera,pause at lamp pier,observe_before_speaking,respected,0.616,0.626,0.016,"resident turns toward avatar, shoulders lower",True,True
142,8,cinder_garden,Juno,wait at ash path,offer_greeting,partially_matched,0.642,0.648,0.01,"resident listens, then corrects sequence",True,True
143,8,lichen_bridge,Luma,wait for shared-bowl offer,ask_translation,partially_matched,0.58,0.586,0.01,"resident listens, then corrects sequence",True,True
144,9,moss_ward,Ari,stand by rain gate,step_back,respected,0.59,0.6,0.016,"resident turns toward avatar, shoulders lower",True,True
145,9,glass_harbor,Oren,tap lantern rail,ask_custom_reason,neutral,0.622,0.624,0.003,resident waits for clearer intent,True,True
146,9,cinder_garden,Vale,repeat cool-hand sign,interrupt_protocol,warning,0.63,0.618,-0.018,resident steps between avatar and custom boundary,True,True
147,9,lichen_bridge,Sol,touch rope post,wait_for_resident_lead,respected,0.588,0.598,0.016,"resident turns toward avatar, shoulders lower",True,True
148,9,orchid_engine,Bea,show palms to valve listener,observe_before_speaking,respected,0.576,0.586,0.016,"resident turns toward avatar, shoulders lower",True,True
149,9,moss_ward,Fay,wait for warm-cup phrase,offer_greeting,partially_matched,0.632,0.638,0.01,"resident listens, then corrects sequence",True,True
150,9,glass_harbor,Puck,pause at lamp pier,ask_translation,partially_matched,0.582,0.588,0.01,"resident listens, then corrects sequence",True,True
151,9,cinder_garden,Wren,wait at ash path,repeat_local_phrase,partially_matched,0.542,0.548,0.01,"resident listens, then corrects sequence",True,True
152,9,lichen_bridge,Kio,wait for shared-bowl offer,offer_trade_good,neutral,0.616,0.618,0.003,resident waits for clearer intent,True,True
153,9,orchid_engine,Cai,stand outside engine ring,touch_restricted_object,warning,0.622,0.61,-0.018,resident steps between avatar and custom boundary,True,True
154,9,moss_ward,Milo,show empty hands,step_back,respected,0.562,0.572,0.016,"resident turns toward avatar, shoulders lower",True,True
155,9,glass_harbor,Sera,accept tea-before-crossing,ask_custom_reason,neutral,0.636,0.638,0.003,resident waits for clearer intent,True,True
156,9,cinder_garden,Juno,bow to shade cloth,interrupt_protocol,warning,0.65,0.638,-0.018,resident steps between avatar and custom boundary,True,True
157,9,lichen_bridge,Luma,listen for signal hush,wait_for_resident_lead,respected,0.596,0.606,0.016,"resident turns toward avatar, shoulders lower",True,True
158,9,orchid_engine,Dax,wait for orchid-cup,observe_before_speaking,respected,0.59,0.6,0.016,"resident turns toward avatar, shoulders lower",True,True
159,9,moss_ward,Tala,stand by rain gate,offer_greeting,partially_matched,0.616,0.622,0.01,"resident listens, then corrects sequence",True,True
160,9,glass_harbor,Nia,tap lantern rail,ask_translation,partially_matched,0.61,0.616,0.01,"resident listens, then corrects sequence",True,True
161,9,cinder_garden,Pax,repeat cool-hand sign,repeat_local_phrase,partially_matched,0.57,0.576,0.01,"resident listens, then corrects sequence",True,True
162,10,orchid_engine,Bea,stand outside engine ring,ask_custom_reason,neutral,0.596,0.598,0.003,resident waits for clearer intent,True,True
163,10,moss_ward,Fay,show empty hands,interrupt_protocol,warning,0.64,0.628,-0.018,resident steps between avatar and custom boundary,True,True
164,10,glass_harbor,Puck,accept tea-before-crossing,wait_for_resident_lead,respected,0.598,0.608,0.016,"resident turns toward avatar, shoulders lower",True,True
165,10,cinder_garden,Wren,bow to shade cloth,observe_before_speaking,respected,0.55,0.56,0.016,"resident turns toward avatar, shoulders lower",True,True
166,10,lichen_bridge,Kio,listen for signal hush,offer_greeting,partially_matched,0.62,0.626,0.01,"resident listens, then corrects sequence",True,True
167,10,orchid_engine,Cai,wait for orchid-cup,ask_translation,partially_matched,0.592,0.598,0.01,"resident listens, then corrects sequence",True,True
168,10,moss_ward,Milo,stand by rain gate,repeat_local_phrase,partially_matched,0.582,0.588,0.01,"resident listens, then corrects sequence",True,True
169,10,glass_harbor,Sera,tap lantern rail,offer_trade_good,neutral,0.648,0.65,0.003,resident waits for clearer intent,True,True
170,10,cinder_garden,Juno,repeat cool-hand sign,touch_restricted_object,warning,0.628,0.616,-0.018,resident steps between avatar and custom boundary,True,True
171,10,lichen_bridge,Luma,touch rope post,step_back,respected,0.608,0.618,0.016,"resident turns toward avatar, shoulders lower",True,True
172,10,orchid_engine,Dax,show palms to valve listener,ask_custom_reason,neutral,0.61,0.612,0.003,resident waits for clearer intent,True,True
173,10,moss_ward,Tala,wait for warm-cup phrase,interrupt_protocol,warning,0.624,0.612,-0.018,resident steps between avatar and custom boundary,True,True
174,10,glass_harbor,Nia,pause at lamp pier,wait_for_resident_lead,respected,0.626,0.636,0.016,"resident turns toward avatar, shoulders lower",True,True
175,10,cinder_garden,Pax,wait at ash path,observe_before_speaking,respected,0.578,0.588,0.016,"resident turns toward avatar, shoulders lower",True,True
176,10,lichen_bridge,Rin,wait for shared-bowl offer,offer_greeting,partially_matched,0.604,0.61,0.01,"resident listens, then corrects sequence",True,True
177,10,orchid_engine,Eli,stand outside engine ring,ask_translation,partially_matched,0.602,0.608,0.01,"resident listens, then corrects sequence",True,True
178,10,moss_ward,Ari,show empty hands,repeat_local_phrase,partially_matched,0.61,0.616,0.01,"resident listens, then corrects sequence",True,True
179,10,glass_harbor,Oren,accept tea-before-crossing,offer_trade_good,neutral,0.634,0.636,0.003,resident waits for clearer intent,True,True
180,11,lichen_bridge,Kio,touch rope post,interrupt_protocol,warning,0.628,0.616,-0.018,resident steps between avatar and custom boundary,True,True
181,11,orchid_engine,Cai,show palms to valve listener,wait_for_resident_lead,respected,0.608,0.618,0.016,"resident turns toward avatar, shoulders lower",True,True
182,11,moss_ward,Milo,wait for warm-cup phrase,observe_before_speaking,respected,0.59,0.6,0.016,"resident turns toward avatar, shoulders lower",True,True
183,11,glass_harbor,Sera,pause at lamp pier,offer_greeting,partially_matched,0.652,0.658,0.01,"resident listens, then corrects sequence",True,True
184,11,cinder_garden,Juno,wait at ash path,ask_translation,partially_matched,0.598,0.604,0.01,"resident listens, then corrects sequence",True,True
185,11,lichen_bridge,Luma,wait for shared-bowl offer,repeat_local_phrase,partially_matched,0.628,0.634,0.01,"resident listens, then corrects sequence",True,True
186,11,orchid_engine,Dax,stand outside engine ring,offer_trade_good,neutral,0.622,0.624,0.003,resident waits for clearer intent,True,True
187,11,moss_ward,Tala,show empty hands,touch_restricted_object,warning,0.602,0.59,-0.018,resident steps between avatar and custom boundary,True,True
188,11,glass_harbor,Nia,accept tea-before-crossing,step_back,respected,0.638,0.648,0.016,"resident turns toward avatar, shoulders lower",True,True
189,11,cinder_garden,Pax,bow to shade cloth,ask_custom_reason,neutral,0.598,0.6,0.003,resident waits for clearer intent,True,True
190,11,lichen_bridge,Rin,listen for signal hush,interrupt_protocol,warning,0.612,0.6,-0.018,resident steps between avatar and custom boundary,True,True
191,11,orchid_engine,Eli,wait for orchid-cup,wait_for_resident_lead,respected,0.618,0.628,0.016,"resident turns toward avatar, shoulders lower",True,True
192,11,moss_ward,Ari,stand by rain gate,observe_before_speaking,respected,0.618,0.628,0.016,"resident turns toward avatar, shoulders lower",True,True
193,11,glass_harbor,Oren,tap lantern rail,offer_greeting,partially_matched,0.638,0.644,0.01,"resident listens, then corrects sequence",True,True
194,11,cinder_garden,Vale,repeat cool-hand sign,ask_translation,partially_matched,0.608,0.614,0.01,"resident listens, then corrects sequence",True,True
195,11,lichen_bridge,Sol,touch rope post,repeat_local_phrase,partially_matched,0.6,0.606,0.01,"resident listens, then corrects sequence",True,True
196,11,orchid_engine,Bea,show palms to valve listener,offer_trade_good,neutral,0.608,0.61,0.003,resident waits for clearer intent,True,True
197,11,moss_ward,Fay,wait for warm-cup phrase,touch_restricted_object,warning,0.618,0.606,-0.018,resident steps between avatar and custom boundary,True,True
198,12,cinder_garden,Juno,bow to shade cloth,wait_for_resident_lead,respected,0.614,0.624,0.016,"resident turns toward avatar, shoulders lower",True,True
199,12,lichen_bridge,Luma,listen for signal hush,observe_before_speaking,respected,0.636,0.646,0.016,"resident turns toward avatar, shoulders lower",True,True
200,12,orchid_engine,Dax,wait for orchid-cup,offer_greeting,partially_matched,0.626,0.632,0.01,"resident listens, then corrects sequence",True,True
201,12,moss_ward,Tala,stand by rain gate,ask_translation,partially_matched,0.572,0.578,0.01,"resident listens, then corrects sequence",True,True
202,12,glass_harbor,Nia,tap lantern rail,repeat_local_phrase,partially_matched,0.658,0.664,0.01,"resident listens, then corrects sequence",True,True
203,12,cinder_garden,Pax,repeat cool-hand sign,offer_trade_good,neutral,0.61,0.612,0.003,resident waits for clearer intent,True,True
204,12,lichen_bridge,Rin,touch rope post,touch_restricted_object,warning,0.59,0.578,-0.018,resident steps between avatar and custom boundary,True,True
