tick,day,lineage,agent,avatar_memory_carried,autonomous_memory_written,trust_carry,boundary_pressure_carry,reputation_carry,schedule_carry,memory_referenced_without_avatar_prompt,private_workspace_sealed
11,1,Orchardline,Ori,day 1 Ori did share_resource while avatar was absent_saved; trust=0.71; boundary=0.35,day 1 Ori did route_patrol while avatar was present_passive; trust=0.71; boundary=0.35,0.706,0.348,0.63,evening:route_patrol,False,True
12,1,Rainline,Vonn,day 1 Vonn did maintain_tool while avatar was present_passive; trust=0.72; boundary=0.36,day 1 Vonn did archive_update while avatar was absent_saved; trust=0.72; boundary=0.37,0.72,0.366,0.655,evening:archive_update,True,True
13,1,Hearthline,Sova,day 1 Sova did boundary_review while avatar was idle_nearby; trust=0.62; boundary=0.30,day 1 Sova did work_project while avatar was present_passive; trust=0.62; boundary=0.30,0.616,0.296,0.55,evening:work_project,False,True
14,1,Routeline,Keth,day 1 Keth did boundary_review while avatar was absent_saved; trust=0.64; boundary=0.31,day 1 Keth did work_project while avatar was idle_nearby; trust=0.64; boundary=0.31,0.636,0.308,0.57,evening:work_project,True,True
15,2,Ledgerline,Nari,day 1 Nari did archive_update while avatar was idle_nearby; trust=0.68; boundary=0.34,day 2 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,0.68,0.336,0.615,morning:maintain_tool,True,True
16,2,Orchardline,Ori,day 1 Ori did route_patrol while avatar was present_passive; trust=0.71; boundary=0.35,day 2 Ori did share_resource while avatar was idle_nearby; trust=0.71; boundary=0.35,0.712,0.348,0.63,morning:share_resource,True,True
17,2,Rainline,Vonn,day 1 Vonn did archive_update while avatar was absent_saved; trust=0.72; boundary=0.37,day 2 Vonn did maintain_tool while avatar was present_passive; trust=0.72; boundary=0.37,0.72,0.369,0.655,morning:maintain_tool,False,True
18,2,Hearthline,Sova,day 1 Sova did work_project while avatar was present_passive; trust=0.62; boundary=0.30,day 2 Sova did boundary_review while avatar was absent_saved; trust=0.61; boundary=0.29,0.612,0.292,0.55,morning:boundary_review,True,True
19,2,Routeline,Keth,day 1 Keth did work_project while avatar was idle_nearby; trust=0.64; boundary=0.31,day 2 Keth did boundary_review while avatar was present_passive; trust=0.63; boundary=0.30,0.632,0.304,0.57,midday:boundary_review,False,True
20,2,Marketline,Melo,day 1 Melo did weather_watch while avatar was absent_saved; trust=0.67; boundary=0.32,day 2 Melo did weather_watch while avatar was idle_nearby; trust=0.67; boundary=0.32,0.666,0.324,0.59,midday:weather_watch,True,True
21,2,Ledgerline,Nari,day 2 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,day 2 Nari did archive_update while avatar was absent_saved; trust=0.68; boundary=0.34,0.68,0.336,0.62,midday:archive_update,True,True
22,2,Orchardline,Ori,day 2 Ori did share_resource while avatar was idle_nearby; trust=0.71; boundary=0.35,day 2 Ori did route_patrol while avatar was absent_saved; trust=0.71; boundary=0.35,0.712,0.348,0.63,midday:route_patrol,True,True
23,2,Rainline,Vonn,day 2 Vonn did maintain_tool while avatar was present_passive; trust=0.72; boundary=0.37,day 2 Vonn did archive_update while avatar was idle_nearby; trust=0.72; boundary=0.37,0.72,0.372,0.66,midday:archive_update,True,True
24,2,Hearthline,Sova,day 2 Sova did boundary_review while avatar was absent_saved; trust=0.61; boundary=0.29,day 2 Sova did work_project while avatar was present_passive; trust=0.61; boundary=0.29,0.612,0.292,0.55,evening:work_project,False,True
25,2,Routeline,Keth,day 2 Keth did boundary_review while avatar was present_passive; trust=0.63; boundary=0.30,day 2 Keth did work_project while avatar was absent_saved; trust=0.63; boundary=0.30,0.632,0.304,0.57,evening:work_project,True,True
26,2,Marketline,Melo,day 2 Melo did weather_watch while avatar was idle_nearby; trust=0.67; boundary=0.32,day 2 Melo did agent_checkin while avatar was present_passive; trust=0.67; boundary=0.32,0.672,0.324,0.59,evening:agent_checkin,False,True
27,2,Ledgerline,Nari,day 2 Nari did archive_update while avatar was absent_saved; trust=0.68; boundary=0.34,day 2 Nari did maintain_tool while avatar was idle_nearby; trust=0.68; boundary=0.34,0.68,0.336,0.62,evening:maintain_tool,True,True
28,2,Orchardline,Ori,day 2 Ori did route_patrol while avatar was absent_saved; trust=0.71; boundary=0.35,day 2 Ori did share_resource while avatar was absent_saved; trust=0.72; boundary=0.35,0.718,0.348,0.63,evening:share_resource,True,True
29,3,Hearthline,Sova,day 2 Sova did work_project while avatar was present_passive; trust=0.61; boundary=0.29,day 3 Sova did boundary_review while avatar was idle_nearby; trust=0.61; boundary=0.29,0.608,0.288,0.55,morning:boundary_review,True,True
30,3,Routeline,Keth,day 2 Keth did work_project while avatar was absent_saved; trust=0.63; boundary=0.30,day 3 Keth did boundary_review while avatar was present_passive; trust=0.63; boundary=0.30,0.628,0.3,0.57,morning:boundary_review,False,True
31,3,Marketline,Melo,day 2 Melo did agent_checkin while avatar was present_passive; trust=0.67; boundary=0.32,day 3 Melo did weather_watch while avatar was absent_saved; trust=0.67; boundary=0.32,0.672,0.324,0.59,morning:weather_watch,True,True
32,3,Ledgerline,Nari,day 2 Nari did maintain_tool while avatar was idle_nearby; trust=0.68; boundary=0.34,day 3 Nari did archive_update while avatar was present_passive; trust=0.68; boundary=0.34,0.68,0.336,0.625,morning:archive_update,False,True
33,3,Orchardline,Ori,day 2 Ori did share_resource while avatar was absent_saved; trust=0.72; boundary=0.35,day 3 Ori did route_patrol while avatar was idle_nearby; trust=0.72; boundary=0.35,0.718,0.348,0.63,midday:route_patrol,True,True
34,3,Rainline,Vonn,day 2 Vonn did archive_update while avatar was idle_nearby; trust=0.72; boundary=0.37,day 3 Vonn did archive_update while avatar was absent_saved; trust=0.72; boundary=0.37,0.72,0.372,0.665,midday:archive_update,True,True
35,3,Hearthline,Sova,day 3 Sova did boundary_review while avatar was idle_nearby; trust=0.61; boundary=0.29,day 3 Sova did work_project while avatar was absent_saved; trust=0.61; boundary=0.29,0.608,0.288,0.55,midday:work_project,True,True
36,3,Routeline,Keth,day 3 Keth did boundary_review while avatar was present_passive; trust=0.63; boundary=0.30,day 3 Keth did work_project while avatar was idle_nearby; trust=0.63; boundary=0.30,0.628,0.3,0.57,midday:work_project,True,True
37,3,Marketline,Melo,day 3 Melo did weather_watch while avatar was absent_saved; trust=0.67; boundary=0.32,day 3 Melo did agent_checkin while avatar was present_passive; trust=0.68; boundary=0.32,0.678,0.324,0.59,midday:agent_checkin,False,True
38,3,Ledgerline,Nari,day 3 Nari did archive_update while avatar was present_passive; trust=0.68; boundary=0.34,day 3 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,0.68,0.336,0.625,evening:maintain_tool,True,True
39,3,Orchardline,Ori,day 3 Ori did route_patrol while avatar was idle_nearby; trust=0.72; boundary=0.35,day 3 Ori did share_resource while avatar was present_passive; trust=0.72; boundary=0.35,0.724,0.348,0.63,evening:share_resource,False,True
40,3,Rainline,Vonn,day 3 Vonn did archive_update while avatar was absent_saved; trust=0.72; boundary=0.37,day 3 Vonn did maintain_tool while avatar was idle_nearby; trust=0.72; boundary=0.37,0.72,0.372,0.665,evening:maintain_tool,True,True
41,3,Hearthline,Sova,day 3 Sova did work_project while avatar was absent_saved; trust=0.61; boundary=0.29,day 3 Sova did boundary_review while avatar was absent_saved; trust=0.60; boundary=0.28,0.604,0.284,0.55,evening:boundary_review,True,True
42,3,Routeline,Keth,day 3 Keth did work_project while avatar was idle_nearby; trust=0.63; boundary=0.30,day 3 Keth did boundary_review while avatar was absent_saved; trust=0.62; boundary=0.30,0.624,0.296,0.57,evening:boundary_review,True,True
43,4,Ledgerline,Nari,day 3 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,day 4 Nari did archive_update while avatar was present_passive; trust=0.68; boundary=0.34,0.68,0.336,0.63,morning:archive_update,False,True
44,4,Orchardline,Ori,day 3 Ori did share_resource while avatar was present_passive; trust=0.72; boundary=0.35,day 4 Ori did route_patrol while avatar was absent_saved; trust=0.72; boundary=0.35,0.724,0.348,0.63,morning:route_patrol,True,True
45,4,Rainline,Vonn,day 3 Vonn did maintain_tool while avatar was idle_nearby; trust=0.72; boundary=0.37,day 4 Vonn did archive_update while avatar was present_passive; trust=0.72; boundary=0.37,0.72,0.372,0.67,morning:archive_update,False,True
46,4,Hearthline,Sova,day 3 Sova did boundary_review while avatar was absent_saved; trust=0.60; boundary=0.28,day 4 Sova did work_project while avatar was idle_nearby; trust=0.60; boundary=0.28,0.604,0.284,0.55,morning:work_project,True,True
47,4,Routeline,Keth,day 3 Keth did boundary_review while avatar was absent_saved; trust=0.62; boundary=0.30,day 4 Keth did work_project while avatar was absent_saved; trust=0.62; boundary=0.30,0.624,0.296,0.57,midday:work_project,True,True
48,4,Marketline,Melo,day 3 Melo did agent_checkin while avatar was present_passive; trust=0.68; boundary=0.32,day 4 Melo did agent_checkin while avatar was absent_saved; trust=0.68; boundary=0.32,0.684,0.324,0.59,midday:agent_checkin,True,True
49,4,Ledgerline,Nari,day 4 Nari did archive_update while avatar was present_passive; trust=0.68; boundary=0.34,day 4 Nari did maintain_tool while avatar was idle_nearby; trust=0.68; boundary=0.34,0.68,0.336,0.63,midday:maintain_tool,True,True
50,4,Orchardline,Ori,day 4 Ori did route_patrol while avatar was absent_saved; trust=0.72; boundary=0.35,day 4 Ori did share_resource while avatar was present_passive; trust=0.73; boundary=0.35,0.73,0.348,0.63,midday:share_resource,False,True
51,4,Rainline,Vonn,day 4 Vonn did archive_update while avatar was present_passive; trust=0.72; boundary=0.37,day 4 Vonn did maintain_tool while avatar was absent_saved; trust=0.72; boundary=0.37,0.72,0.372,0.67,midday:maintain_tool,True,True
52,4,Hearthline,Sova,day 4 Sova did work_project while avatar was idle_nearby; trust=0.60; boundary=0.28,day 4 Sova did boundary_review while avatar was present_passive; trust=0.60; boundary=0.28,0.6,0.28,0.55,evening:boundary_review,False,True
53,4,Routeline,Keth,day 4 Keth did work_project while avatar was absent_saved; trust=0.62; boundary=0.30,day 4 Keth did boundary_review while avatar was idle_nearby; trust=0.62; boundary=0.29,0.62,0.292,0.57,evening:boundary_review,True,True
54,4,Marketline,Melo,day 4 Melo did agent_checkin while avatar was absent_saved; trust=0.68; boundary=0.32,day 4 Melo did weather_watch while avatar was absent_saved; trust=0.68; boundary=0.32,0.684,0.324,0.59,evening:weather_watch,True,True
55,4,Ledgerline,Nari,day 4 Nari did maintain_tool while avatar was idle_nearby; trust=0.68; boundary=0.34,day 4 Nari did archive_update while avatar was absent_saved; trust=0.68; boundary=0.34,0.68,0.336,0.635,evening:archive_update,True,True
56,4,Orchardline,Ori,day 4 Ori did share_resource while avatar was present_passive; trust=0.73; boundary=0.35,day 4 Ori did route_patrol while avatar was idle_nearby; trust=0.73; boundary=0.35,0.73,0.348,0.63,evening:route_patrol,True,True
57,5,Hearthline,Sova,day 4 Sova did boundary_review while avatar was present_passive; trust=0.60; boundary=0.28,day 5 Sova did work_project while avatar was absent_saved; trust=0.60; boundary=0.28,0.6,0.28,0.55,morning:work_project,True,True
58,5,Routeline,Keth,day 4 Keth did boundary_review while avatar was idle_nearby; trust=0.62; boundary=0.29,day 5 Keth did work_project while avatar was present_passive; trust=0.62; boundary=0.29,0.62,0.292,0.57,morning:work_project,False,True
59,5,Marketline,Melo,day 4 Melo did weather_watch while avatar was absent_saved; trust=0.68; boundary=0.32,day 5 Melo did agent_checkin while avatar was idle_nearby; trust=0.69; boundary=0.32,0.69,0.324,0.59,morning:agent_checkin,True,True
60,5,Ledgerline,Nari,day 4 Nari did archive_update while avatar was absent_saved; trust=0.68; boundary=0.34,day 5 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,0.68,0.336,0.635,morning:maintain_tool,True,True
61,5,Orchardline,Ori,day 4 Ori did route_patrol while avatar was idle_nearby; trust=0.73; boundary=0.35,day 5 Ori did share_resource while avatar was absent_saved; trust=0.74; boundary=0.35,0.736,0.348,0.63,midday:share_resource,True,True
62,5,Rainline,Vonn,day 4 Vonn did maintain_tool while avatar was absent_saved; trust=0.72; boundary=0.37,day 5 Vonn did maintain_tool while avatar was idle_nearby; trust=0.72; boundary=0.38,0.72,0.375,0.67,midday:maintain_tool,True,True
63,5,Hearthline,Sova,day 5 Sova did work_project while avatar was absent_saved; trust=0.60; boundary=0.28,day 5 Sova did boundary_review while avatar was present_passive; trust=0.60; boundary=0.28,0.596,0.276,0.55,midday:boundary_review,False,True
64,5,Routeline,Keth,day 5 Keth did work_project while avatar was present_passive; trust=0.62; boundary=0.29,day 5 Keth did boundary_review while avatar was absent_saved; trust=0.62; boundary=0.29,0.616,0.288,0.57,midday:boundary_review,True,True
65,5,Marketline,Melo,day 5 Melo did agent_checkin while avatar was idle_nearby; trust=0.69; boundary=0.32,day 5 Melo did weather_watch while avatar was present_passive; trust=0.69; boundary=0.32,0.69,0.324,0.59,midday:weather_watch,False,True
66,5,Ledgerline,Nari,day 5 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,day 5 Nari did archive_update while avatar was idle_nearby; trust=0.68; boundary=0.34,0.68,0.336,0.64,evening:archive_update,True,True
67,5,Orchardline,Ori,day 5 Ori did share_resource while avatar was absent_saved; trust=0.74; boundary=0.35,day 5 Ori did route_patrol while avatar was absent_saved; trust=0.74; boundary=0.35,0.736,0.348,0.63,evening:route_patrol,True,True
68,5,Rainline,Vonn,day 5 Vonn did maintain_tool while avatar was idle_nearby; trust=0.72; boundary=0.38,day 5 Vonn did archive_update while avatar was absent_saved; trust=0.72; boundary=0.38,0.72,0.378,0.675,evening:archive_update,True,True
69,5,Hearthline,Sova,day 5 Sova did boundary_review while avatar was present_passive; trust=0.60; boundary=0.28,day 5 Sova did work_project while avatar was idle_nearby; trust=0.60; boundary=0.28,0.596,0.276,0.55,evening:work_project,True,True
70,5,Routeline,Keth,day 5 Keth did boundary_review while avatar was absent_saved; trust=0.62; boundary=0.29,day 5 Keth did work_project while avatar was present_passive; trust=0.62; boundary=0.29,0.616,0.288,0.57,evening:work_project,False,True
71,6,Ledgerline,Nari,day 5 Nari did archive_update while avatar was idle_nearby; trust=0.68; boundary=0.34,day 6 Nari did maintain_tool while avatar was present_passive; trust=0.68; boundary=0.34,0.68,0.336,0.64,morning:maintain_tool,False,True
72,6,Orchardline,Ori,day 5 Ori did route_patrol while avatar was absent_saved; trust=0.74; boundary=0.35,day 6 Ori did share_resource while avatar was idle_nearby; trust=0.74; boundary=0.35,0.742,0.348,0.63,morning:share_resource,True,True
73,6,Rainline,Vonn,day 5 Vonn did archive_update while avatar was absent_saved; trust=0.72; boundary=0.38,day 6 Vonn did maintain_tool while avatar was absent_saved; trust=0.72; boundary=0.38,0.72,0.381,0.675,morning:maintain_tool,True,True
74,6,Hearthline,Sova,day 5 Sova did work_project while avatar was idle_nearby; trust=0.60; boundary=0.28,day 6 Sova did boundary_review while avatar was absent_saved; trust=0.59; boundary=0.27,0.592,0.272,0.55,morning:boundary_review,True,True
75,6,Routeline,Keth,day 5 Keth did work_project while avatar was present_passive; trust=0.62; boundary=0.29,day 6 Keth did boundary_review while avatar was idle_nearby; trust=0.61; boundary=0.28,0.612,0.284,0.57,midday:boundary_review,True,True
76,6,Marketline,Melo,day 5 Melo did weather_watch while avatar was present_passive; trust=0.69; boundary=0.32,day 6 Melo did weather_watch while avatar was present_passive; trust=0.69; boundary=0.32,0.69,0.324,0.59,midday:weather_watch,False,True
77,6,Ledgerline,Nari,day 6 Nari did maintain_tool while avatar was present_passive; trust=0.68; boundary=0.34,day 6 Nari did archive_update while avatar was absent_saved; trust=0.68; boundary=0.34,0.68,0.336,0.645,midday:archive_update,True,True
78,6,Orchardline,Ori,day 6 Ori did share_resource while avatar was idle_nearby; trust=0.74; boundary=0.35,day 6 Ori did route_patrol while avatar was present_passive; trust=0.74; boundary=0.35,0.742,0.348,0.63,midday:route_patrol,False,True
79,6,Rainline,Vonn,day 6 Vonn did maintain_tool while avatar was absent_saved; trust=0.72; boundary=0.38,day 6 Vonn did archive_update while avatar was idle_nearby; trust=0.72; boundary=0.38,0.72,0.384,0.68,midday:archive_update,True,True
80,6,Hearthline,Sova,day 6 Sova did boundary_review while avatar was absent_saved; trust=0.59; boundary=0.27,day 6 Sova did work_project while avatar was absent_saved; trust=0.59; boundary=0.27,0.592,0.272,0.55,evening:work_project,True,True
81,6,Routeline,Keth,day 6 Keth did boundary_review while avatar was idle_nearby; trust=0.61; boundary=0.28,day 6 Keth did work_project while avatar was absent_saved; trust=0.61; boundary=0.28,0.612,0.284,0.57,evening:work_project,True,True
82,6,Marketline,Melo,day 6 Melo did weather_watch while avatar was present_passive; trust=0.69; boundary=0.32,day 6 Melo did agent_checkin while avatar was idle_nearby; trust=0.70; boundary=0.32,0.696,0.324,0.59,evening:agent_checkin,True,True
83,6,Ledgerline,Nari,day 6 Nari did archive_update while avatar was absent_saved; trust=0.68; boundary=0.34,day 6 Nari did maintain_tool while avatar was present_passive; trust=0.68; boundary=0.34,0.68,0.336,0.645,evening:maintain_tool,False,True
84,6,Orchardline,Ori,day 6 Ori did route_patrol while avatar was present_passive; trust=0.74; boundary=0.35,day 6 Ori did share_resource while avatar was absent_saved; trust=0.75; boundary=0.35,0.748,0.348,0.63,evening:share_resource,True,True
85,7,Hearthline,Sova,day 6 Sova did work_project while avatar was absent_saved; trust=0.59; boundary=0.27,day 7 Sova did boundary_review while avatar was idle_nearby; trust=0.59; boundary=0.27,0.588,0.268,0.55,morning:boundary_review,True,True
86,7,Routeline,Keth,day 6 Keth did work_project while avatar was absent_saved; trust=0.61; boundary=0.28,day 7 Keth did boundary_review while avatar was absent_saved; trust=0.61; boundary=0.28,0.608,0.28,0.57,morning:boundary_review,True,True
87,7,Marketline,Melo,day 6 Melo did agent_checkin while avatar was idle_nearby; trust=0.70; boundary=0.32,day 7 Melo did weather_watch while avatar was absent_saved; trust=0.70; boundary=0.32,0.696,0.324,0.59,morning:weather_watch,True,True
88,7,Ledgerline,Nari,day 6 Nari did maintain_tool while avatar was present_passive; trust=0.68; boundary=0.34,day 7 Nari did archive_update while avatar was idle_nearby; trust=0.68; boundary=0.34,0.68,0.336,0.65,morning:archive_update,True,True
89,7,Orchardline,Ori,day 6 Ori did share_resource while avatar was absent_saved; trust=0.75; boundary=0.35,day 7 Ori did route_patrol while avatar was present_passive; trust=0.75; boundary=0.35,0.748,0.348,0.63,midday:route_patrol,False,True
90,7,Rainline,Vonn,day 6 Vonn did archive_update while avatar was idle_nearby; trust=0.72; boundary=0.38,day 7 Vonn did archive_update while avatar was absent_saved; trust=0.72; boundary=0.39,0.72,0.387,0.685,midday:archive_update,True,True
91,7,Hearthline,Sova,day 7 Sova did boundary_review while avatar was idle_nearby; trust=0.59; boundary=0.27,day 7 Sova did work_project while avatar was present_passive; trust=0.59; boundary=0.27,0.588,0.268,0.55,midday:work_project,False,True
92,7,Routeline,Keth,day 7 Keth did boundary_review while avatar was absent_saved; trust=0.61; boundary=0.28,day 7 Keth did work_project while avatar was idle_nearby; trust=0.61; boundary=0.28,0.608,0.28,0.57,midday:work_project,True,True
93,7,Marketline,Melo,day 7 Melo did weather_watch while avatar was absent_saved; trust=0.70; boundary=0.32,day 7 Melo did agent_checkin while avatar was absent_saved; trust=0.70; boundary=0.32,0.702,0.324,0.59,midday:agent_checkin,True,True
94,7,Ledgerline,Nari,day 7 Nari did archive_update while avatar was idle_nearby; trust=0.68; boundary=0.34,day 7 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,0.68,0.336,0.65,evening:maintain_tool,True,True
95,7,Orchardline,Ori,day 7 Ori did route_patrol while avatar was present_passive; trust=0.75; boundary=0.35,day 7 Ori did share_resource while avatar was idle_nearby; trust=0.75; boundary=0.35,0.754,0.348,0.63,evening:share_resource,True,True
96,7,Rainline,Vonn,day 7 Vonn did archive_update while avatar was absent_saved; trust=0.72; boundary=0.39,day 7 Vonn did maintain_tool while avatar was present_passive; trust=0.72; boundary=0.39,0.72,0.39,0.685,evening:maintain_tool,False,True
97,7,Hearthline,Sova,day 7 Sova did work_project while avatar was present_passive; trust=0.59; boundary=0.27,day 7 Sova did boundary_review while avatar was absent_saved; trust=0.58; boundary=0.26,0.584,0.264,0.55,evening:boundary_review,True,True
98,7,Routeline,Keth,day 7 Keth did work_project while avatar was idle_nearby; trust=0.61; boundary=0.28,day 7 Keth did boundary_review while avatar was present_passive; trust=0.60; boundary=0.28,0.604,0.276,0.57,evening:boundary_review,False,True
99,8,Ledgerline,Nari,day 7 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,day 8 Nari did archive_update while avatar was absent_saved; trust=0.68; boundary=0.34,0.68,0.336,0.655,morning:archive_update,True,True
100,8,Orchardline,Ori,day 7 Ori did share_resource while avatar was idle_nearby; trust=0.75; boundary=0.35,day 8 Ori did route_patrol while avatar was absent_saved; trust=0.75; boundary=0.35,0.754,0.348,0.63,morning:route_patrol,True,True
101,8,Rainline,Vonn,day 7 Vonn did maintain_tool while avatar was present_passive; trust=0.72; boundary=0.39,day 8 Vonn did archive_update while avatar was idle_nearby; trust=0.72; boundary=0.39,0.72,0.39,0.69,morning:archive_update,True,True
102,8,Hearthline,Sova,day 7 Sova did boundary_review while avatar was absent_saved; trust=0.58; boundary=0.26,day 8 Sova did work_project while avatar was present_passive; trust=0.58; boundary=0.26,0.584,0.264,0.55,morning:work_project,False,True
103,8,Routeline,Keth,day 7 Keth did boundary_review while avatar was present_passive; trust=0.60; boundary=0.28,day 8 Keth did work_project while avatar was absent_saved; trust=0.60; boundary=0.28,0.604,0.276,0.57,midday:work_project,True,True
104,8,Marketline,Melo,day 7 Melo did agent_checkin while avatar was absent_saved; trust=0.70; boundary=0.32,day 8 Melo did agent_checkin while avatar was present_passive; trust=0.71; boundary=0.32,0.708,0.324,0.59,midday:agent_checkin,False,True
105,8,Ledgerline,Nari,day 8 Nari did archive_update while avatar was absent_saved; trust=0.68; boundary=0.34,day 8 Nari did maintain_tool while avatar was idle_nearby; trust=0.68; boundary=0.34,0.68,0.336,0.655,midday:maintain_tool,True,True
106,8,Orchardline,Ori,day 8 Ori did route_patrol while avatar was absent_saved; trust=0.75; boundary=0.35,day 8 Ori did share_resource while avatar was absent_saved; trust=0.76; boundary=0.35,0.76,0.348,0.63,midday:share_resource,True,True
107,8,Rainline,Vonn,day 8 Vonn did archive_update while avatar was idle_nearby; trust=0.72; boundary=0.39,day 8 Vonn did maintain_tool while avatar was absent_saved; trust=0.72; boundary=0.39,0.72,0.39,0.69,midday:maintain_tool,True,True
108,8,Hearthline,Sova,day 8 Sova did work_project while avatar was present_passive; trust=0.58; boundary=0.26,day 8 Sova did boundary_review while avatar was idle_nearby; trust=0.58; boundary=0.26,0.58,0.26,0.55,evening:boundary_review,True,True
109,8,Routeline,Keth,day 8 Keth did work_project while avatar was absent_saved; trust=0.60; boundary=0.28,day 8 Keth did boundary_review while avatar was present_passive; trust=0.60; boundary=0.27,0.6,0.272,0.57,evening:boundary_review,False,True
110,8,Marketline,Melo,day 8 Melo did agent_checkin while avatar was present_passive; trust=0.71; boundary=0.32,day 8 Melo did weather_watch while avatar was absent_saved; trust=0.71; boundary=0.32,0.708,0.324,0.59,evening:weather_watch,True,True
111,8,Ledgerline,Nari,day 8 Nari did maintain_tool while avatar was idle_nearby; trust=0.68; boundary=0.34,day 8 Nari did archive_update while avatar was present_passive; trust=0.68; boundary=0.34,0.68,0.336,0.66,evening:archive_update,False,True
112,8,Orchardline,Ori,day 8 Ori did share_resource while avatar was absent_saved; trust=0.76; boundary=0.35,day 8 Ori did route_patrol while avatar was idle_nearby; trust=0.76; boundary=0.35,0.76,0.348,0.63,evening:route_patrol,True,True
113,9,Hearthline,Sova,day 8 Sova did boundary_review while avatar was idle_nearby; trust=0.58; boundary=0.26,day 9 Sova did work_project while avatar was absent_saved; trust=0.58; boundary=0.26,0.58,0.26,0.55,morning:work_project,True,True
114,9,Routeline,Keth,day 8 Keth did boundary_review while avatar was present_passive; trust=0.60; boundary=0.27,day 9 Keth did work_project while avatar was idle_nearby; trust=0.60; boundary=0.27,0.6,0.272,0.57,morning:work_project,True,True
115,9,Marketline,Melo,day 8 Melo did weather_watch while avatar was absent_saved; trust=0.71; boundary=0.32,day 9 Melo did agent_checkin while avatar was present_passive; trust=0.71; boundary=0.32,0.714,0.324,0.59,morning:agent_checkin,False,True
116,9,Ledgerline,Nari,day 8 Nari did archive_update while avatar was present_passive; trust=0.68; boundary=0.34,day 9 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,0.68,0.336,0.66,morning:maintain_tool,True,True
117,9,Orchardline,Ori,day 8 Ori did route_patrol while avatar was idle_nearby; trust=0.76; boundary=0.35,day 9 Ori did share_resource while avatar was present_passive; trust=0.77; boundary=0.35,0.766,0.348,0.63,midday:share_resource,False,True
118,9,Rainline,Vonn,day 8 Vonn did maintain_tool while avatar was absent_saved; trust=0.72; boundary=0.39,day 9 Vonn did maintain_tool while avatar was idle_nearby; trust=0.72; boundary=0.39,0.72,0.39,0.69,midday:maintain_tool,True,True
119,9,Hearthline,Sova,day 9 Sova did work_project while avatar was absent_saved; trust=0.58; boundary=0.26,day 9 Sova did boundary_review while avatar was absent_saved; trust=0.58; boundary=0.26,0.576,0.256,0.55,midday:boundary_review,True,True
