exchange_id,year,seller_household,buyer_household,good,need_addressed,price_token,fairness_score,reciprocity_memory,sensory_marker,consequence
market_8_wheelwright_to_ledgerkin,8,wheelwright,ledgerkin,copper vane service,waterwheel continuity,ni-lo-2,0.837,Ledgerkin owes return-care to Wheelwright if scarcity repeats,"river spray, copper tang, wheel pulse",trust ledger updates and household need pressure decreases
market_55_westkeepers_to_wheelwright,55,westkeepers,wheelwright,dry bridge token,safe passage,ka-ni-3,0.858,Wheelwright owes return-care to Westkeepers if scarcity repeats,"chalk dust, warm metal, echoing steps",trust ledger updates and household need pressure decreases
market_55_mossgarden_to_westkeepers,55,mossgarden,westkeepers,warm seed cake,hunger and comfort,mu-ka-3,0.858,Westkeepers owes return-care to Mossgarden if scarcity repeats,"wet moss, seed oil, low humming",trust ledger updates and household need pressure decreases
market_55_ledgerkin_to_mossgarden,55,ledgerkin,mossgarden,fair-count thread,memory of exchange,lo-mu-3,0.858,Mossgarden owes return-care to Ledgerkin if scarcity repeats,"coin-clicks, wool thread, dry wood",trust ledger updates and household need pressure decreases
market_55_redstair_to_ledgerkin,55,redstair,ledgerkin,witness shell hour,dispute repair,sa-lo-3,0.858,Ledgerkin owes return-care to Redstair if scarcity repeats,"cool clay, shell resonance, still air",trust ledger updates and household need pressure decreases
market_55_wheelwright_to_redstair,55,wheelwright,redstair,copper vane service,waterwheel continuity,ni-sa-3,0.858,Redstair owes return-care to Wheelwright if scarcity repeats,"river spray, copper tang, wheel pulse",trust ledger updates and household need pressure decreases
market_377_westkeepers_to_westkeepers,377,westkeepers,westkeepers,dry bridge token,safe passage,ka-ka-4,0.844,Westkeepers owes return-care to Westkeepers if scarcity repeats,"chalk dust, warm metal, echoing steps",trust ledger updates and household need pressure decreases
market_377_mossgarden_to_mossgarden,377,mossgarden,mossgarden,warm seed cake,hunger and comfort,mu-mu-4,0.844,Mossgarden owes return-care to Mossgarden if scarcity repeats,"wet moss, seed oil, low humming",trust ledger updates and household need pressure decreases
market_377_ledgerkin_to_ledgerkin,377,ledgerkin,ledgerkin,fair-count thread,memory of exchange,lo-lo-4,0.844,Ledgerkin owes return-care to Ledgerkin if scarcity repeats,"coin-clicks, wool thread, dry wood",trust ledger updates and household need pressure decreases
market_377_redstair_to_redstair,377,redstair,redstair,witness shell hour,dispute repair,sa-sa-4,0.844,Redstair owes return-care to Redstair if scarcity repeats,"cool clay, shell resonance, still air",trust ledger updates and household need pressure decreases
market_377_wheelwright_to_wheelwright,377,wheelwright,wheelwright,copper vane service,waterwheel continuity,ni-ni-4,0.844,Wheelwright owes return-care to Wheelwright if scarcity repeats,"river spray, copper tang, wheel pulse",trust ledger updates and household need pressure decreases
market_987_westkeepers_to_mossgarden,987,westkeepers,mossgarden,dry bridge token,safe passage,ka-mu-5,0.9,Mossgarden owes return-care to Westkeepers if scarcity repeats,"chalk dust, warm metal, echoing steps",trust ledger updates and household need pressure decreases
market_987_mossgarden_to_ledgerkin,987,mossgarden,ledgerkin,warm seed cake,hunger and comfort,mu-lo-5,0.9,Ledgerkin owes return-care to Mossgarden if scarcity repeats,"wet moss, seed oil, low humming",trust ledger updates and household need pressure decreases
market_987_ledgerkin_to_redstair,987,ledgerkin,redstair,fair-count thread,memory of exchange,lo-sa-5,0.9,Redstair owes return-care to Ledgerkin if scarcity repeats,"coin-clicks, wool thread, dry wood",trust ledger updates and household need pressure decreases
market_987_redstair_to_wheelwright,987,redstair,wheelwright,witness shell hour,dispute repair,sa-ni-5,0.9,Wheelwright owes return-care to Redstair if scarcity repeats,"cool clay, shell resonance, still air",trust ledger updates and household need pressure decreases
market_987_wheelwright_to_westkeepers,987,wheelwright,westkeepers,copper vane service,waterwheel continuity,ni-ka-5,0.9,Westkeepers owes return-care to Wheelwright if scarcity repeats,"river spray, copper tang, wheel pulse",trust ledger updates and household need pressure decreases
market_1597_westkeepers_to_ledgerkin,1597,westkeepers,ledgerkin,dry bridge token,safe passage,ka-lo-6,0.921,Ledgerkin owes return-care to Westkeepers if scarcity repeats,"chalk dust, warm metal, echoing steps",trust ledger updates and household need pressure decreases
market_1597_mossgarden_to_redstair,1597,mossgarden,redstair,warm seed cake,hunger and comfort,mu-sa-6,0.921,Redstair owes return-care to Mossgarden if scarcity repeats,"wet moss, seed oil, low humming",trust ledger updates and household need pressure decreases
market_1597_ledgerkin_to_wheelwright,1597,ledgerkin,wheelwright,fair-count thread,memory of exchange,lo-ni-6,0.921,Wheelwright owes return-care to Ledgerkin if scarcity repeats,"coin-clicks, wool thread, dry wood",trust ledger updates and household need pressure decreases
market_1597_redstair_to_westkeepers,1597,redstair,westkeepers,witness shell hour,dispute repair,sa-ka-6,0.921,Westkeepers owes return-care to Redstair if scarcity repeats,"cool clay, shell resonance, still air",trust ledger updates and household need pressure decreases
market_1597_wheelwright_to_mossgarden,1597,wheelwright,mossgarden,copper vane service,waterwheel continuity,ni-mu-6,0.921,Mossgarden owes return-care to Wheelwright if scarcity repeats,"river spray, copper tang, wheel pulse",trust ledger updates and household need pressure decreases
market_2584_westkeepers_to_redstair,2584,westkeepers,redstair,dry bridge token,safe passage,ka-sa-7,0.942,Redstair owes return-care to Westkeepers if scarcity repeats,"chalk dust, warm metal, echoing steps",trust ledger updates and household need pressure decreases
market_2584_mossgarden_to_wheelwright,2584,mossgarden,wheelwright,warm seed cake,hunger and comfort,mu-ni-7,0.942,Wheelwright owes return-care to Mossgarden if scarcity repeats,"wet moss, seed oil, low humming",trust ledger updates and household need pressure decreases
market_2584_ledgerkin_to_westkeepers,2584,ledgerkin,westkeepers,fair-count thread,memory of exchange,lo-ka-7,0.942,Westkeepers owes return-care to Ledgerkin if scarcity repeats,"coin-clicks, wool thread, dry wood",trust ledger updates and household need pressure decreases
market_2584_redstair_to_mossgarden,2584,redstair,mossgarden,witness shell hour,dispute repair,sa-mu-7,0.942,Mossgarden owes return-care to Redstair if scarcity repeats,"cool clay, shell resonance, still air",trust ledger updates and household need pressure decreases
market_2584_wheelwright_to_ledgerkin,2584,wheelwright,ledgerkin,copper vane service,waterwheel continuity,ni-lo-7,0.942,Ledgerkin owes return-care to Wheelwright if scarcity repeats,"river spray, copper tang, wheel pulse",trust ledger updates and household need pressure decreases
market_4181_westkeepers_to_wheelwright,4181,westkeepers,wheelwright,dry bridge token,safe passage,ka-ni-8,0.963,Wheelwright owes return-care to Westkeepers if scarcity repeats,"chalk dust, warm metal, echoing steps",trust ledger updates and household need pressure decreases
market_4181_mossgarden_to_westkeepers,4181,mossgarden,westkeepers,warm seed cake,hunger and comfort,mu-ka-8,0.963,Westkeepers owes return-care to Mossgarden if scarcity repeats,"wet moss, seed oil, low humming",trust ledger updates and household need pressure decreases
market_4181_ledgerkin_to_mossgarden,4181,ledgerkin,mossgarden,fair-count thread,memory of exchange,lo-mu-8,0.963,Mossgarden owes return-care to Ledgerkin if scarcity repeats,"coin-clicks, wool thread, dry wood",trust ledger updates and household need pressure decreases
market_4181_redstair_to_ledgerkin,4181,redstair,ledgerkin,witness shell hour,dispute repair,sa-lo-8,0.963,Ledgerkin owes return-care to Redstair if scarcity repeats,"cool clay, shell resonance, still air",trust ledger updates and household need pressure decreases
market_4181_wheelwright_to_redstair,4181,wheelwright,redstair,copper vane service,waterwheel continuity,ni-sa-8,0.963,Redstair owes return-care to Wheelwright if scarcity repeats,"river spray, copper tang, wheel pulse",trust ledger updates and household need pressure decreases
