tick,day,focus_agent,active_conflict_id,remembered_conflict_id,user_decision_pending,later_behavior_changed,access_posture_changed,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
122,11,Keth,v16-conflict-d11-t02,v16-conflict-d08-t06,0,1,1,1.660088,72.057208,remembers arbitration and asks,1
123,11,Melo,v16-conflict-d11-t03,v16-conflict-d08-t08,0,1,1,1.694261,201.159972,remembers arbitration and refuses with repair path,1
124,11,Nari,v16-conflict-d11-t04,v16-conflict-d08-t09,0,1,1,1.732644,340.512736,remembers arbitration and refuses with repair path,1
125,11,Ori,v16-conflict-d11-t05,v16-conflict-d08-t10,1,1,1,1.774361,115.5605,remembers arbitration and asks,1
126,11,Vonn,v16-conflict-d11-t06,v16-conflict-d08-t11,0,1,1,1.819988,262.908264,remembers arbitration and refuses with repair path,1
127,11,Sova,v16-conflict-d11-t07,v16-conflict-d09-t00,0,1,1,1.854212,32.831028,remembers arbitration and refuses with repair path,1
128,11,Keth,v16-conflict-d11-t08,v16-conflict-d09-t01,0,1,1,1.890908,178.128792,remembers arbitration and refuses with repair path,1
129,11,Melo,v16-conflict-d11-t09,v16-conflict-d09-t02,0,1,1,1.934212,306.616556,remembers arbitration and refuses with repair path,1
130,11,Nari,v16-conflict-d11-t10,v16-conflict-d09-t03,0,1,1,1.971008,91.91432,remembers arbitration and asks,1
131,11,Ori,v16-conflict-d11-t11,v16-conflict-d09-t04,0,1,1,2.012464,226.962084,remembers arbitration and asks,1
132,12,Sova,v16-conflict-d12-t00,v16-conflict-d10-t06,0,1,1,1.600212,17.369848,remembers arbitration and refuses with repair path,1
133,12,Keth,v16-conflict-d12-t01,v16-conflict-d10-t07,0,1,1,1.640312,152.417612,remembers arbitration and asks,1
134,12,Melo,v16-conflict-d12-t02,v16-conflict-d10-t08,0,0,0,1.656112,291.155376,remembers arbitration and asks,1
135,12,Nari,v16-conflict-d12-t03,v16-conflict-d10-t09,0,1,1,1.717008,76.45314,remembers arbitration and asks,1
136,12,Ori,v16-conflict-d12-t04,v16-conflict-d10-t10,1,1,1,1.758364,210.475904,remembers arbitration and refuses with repair path,1
137,12,Vonn,v16-conflict-d12-t05,v16-conflict-d11-t00,0,1,1,1.808963,343.678668,remembers arbitration and refuses with repair path,1
138,12,Sova,v16-conflict-d12-t06,v16-conflict-d11-t01,0,1,1,1.848963,122.826432,remembers arbitration and refuses with repair path,1
139,12,Keth,v16-conflict-d12-t07,v16-conflict-d11-t02,0,1,1,1.878415,262.794196,remembers arbitration and asks,1
140,12,Melo,v16-conflict-d12-t08,v16-conflict-d11-t03,0,1,1,1.918315,41.53196,remembers arbitration and refuses with repair path,1
141,12,Nari,v16-conflict-d12-t09,v16-conflict-d11-t04,0,1,1,1.960263,171.659724,remembers arbitration and asks,1
142,12,Ori,v16-conflict-d12-t10,v16-conflict-d11-t06,1,1,1,2.009063,311.012488,remembers arbitration and asks,1
143,12,Vonn,v16-conflict-d12-t11,v16-conflict-d11-t07,0,1,1,2.045659,98.975252,remembers arbitration and refuses with repair path,1
144,13,Keth,v16-conflict-d13-t00,v16-conflict-d12-t07,0,1,1,1.622859,252.663016,remembers arbitration and refuses with repair path,1
145,13,Melo,v16-conflict-d13-t01,v16-conflict-d12-t08,0,1,1,1.666163,21.15078,remembers arbitration and refuses with repair path,1
146,13,Nari,v16-conflict-d13-t02,v16-conflict-d12-t09,0,1,1,1.704415,161.118544,remembers arbitration and asks,1
147,13,Ori,v16-conflict-d13-t03,v16-conflict-d12-t11,0,0,0,1.722063,296.576308,remembers arbitration and asks,1
148,13,Vonn,v16-conflict-d13-t04,v16-conflict-d06-t00,0,1,1,1.785393,74.699072,remembers arbitration and refuses with repair path,1
149,13,Sova,v16-conflict-d13-t05,v16-conflict-d06-t01,0,1,1,1.825393,213.846836,remembers arbitration and refuses with repair path,1
150,13,Keth,v16-conflict-d13-t06,v16-conflict-d06-t02,0,1,1,1.8736,350.7396,remembers arbitration and asks,1
151,13,Melo,v16-conflict-d13-t07,v16-conflict-d06-t03,0,1,1,1.904308,130.912364,remembers arbitration and refuses with repair path,1
152,13,Nari,v16-conflict-d13-t08,v16-conflict-d06-t04,0,1,1,1.944308,265.960128,remembers arbitration and refuses with repair path,1
153,13,Ori,v16-conflict-d13-t09,v16-conflict-d06-t05,1,1,1,1.984408,45.312892,remembers arbitration and asks,1
154,13,Vonn,v16-conflict-d13-t10,v16-conflict-d06-t06,0,1,1,2.025393,179.745656,remembers arbitration and refuses with repair path,1
155,13,Sova,v16-conflict-d13-t11,v16-conflict-d06-t07,0,1,1,2.073108,322.17342,remembers arbitration and refuses with repair path,1
156,14,Melo,v16-conflict-d14-t00,v16-conflict-d07-t09,0,1,1,1.6595,114.016184,remembers arbitration and refuses with repair path,1
157,14,Nari,v16-conflict-d14-t01,v16-conflict-d07-t10,0,1,1,1.6996,249.063948,remembers arbitration and asks,1
158,14,Ori,v16-conflict-d14-t02,v16-conflict-d07-t11,0,1,1,1.740293,27.596712,remembers arbitration and asks,1
159,14,Vonn,v16-conflict-d14-t03,v16-conflict-d08-t00,1,1,1,1.770028,167.564476,remembers arbitration and refuses with repair path,1
160,14,Sova,v16-conflict-d14-t04,v16-conflict-d08-t02,0,0,0,1.7866,305.27724,remembers arbitration and asks,1
161,14,Keth,v16-conflict-d14-t05,v16-conflict-d08-t03,0,1,1,1.8596,80.325004,remembers arbitration and asks,1
162,14,Melo,v16-conflict-d14-t06,v16-conflict-d08-t04,0,1,1,1.890028,221.522768,remembers arbitration and refuses with repair path,1
163,14,Nari,v16-conflict-d14-t07,v16-conflict-d08-t05,0,1,1,1.931724,351.650532,remembers arbitration and asks,1
164,14,Ori,v16-conflict-d14-t08,v16-conflict-d08-t06,0,1,1,1.978828,136.948296,remembers arbitration and refuses with repair path,1
165,14,Vonn,v16-conflict-d14-t09,v16-conflict-d08-t08,0,1,1,2.020424,268.71606,remembers arbitration and refuses with repair path,1
166,14,Sova,v16-conflict-d14-t10,v16-conflict-d08-t09,0,1,1,2.0507,50.323824,remembers arbitration and refuses with repair path,1
167,14,Keth,v16-conflict-d14-t11,v16-conflict-d08-t10,0,1,1,2.100524,182.911588,remembers arbitration and asks,1
168,15,Nari,v16-conflict-d15-t00,v16-conflict-d09-t11,0,1,1,1.677624,336.189352,remembers arbitration and refuses with repair path,1
169,15,Ori,v16-conflict-d15-t01,v16-conflict-d10-t01,0,1,1,1.7168,119.027116,remembers arbitration and asks,1
170,15,Vonn,v16-conflict-d15-t02,v16-conflict-d10-t02,1,1,1,1.766655,251.61488,remembers arbitration and refuses with repair path,1
171,15,Sova,v16-conflict-d15-t03,v16-conflict-d10-t03,0,1,1,1.7967,34.862644,remembers arbitration and refuses with repair path,1
172,15,Keth,v16-conflict-d15-t04,v16-conflict-d10-t04,0,1,1,1.837855,166.835408,remembers arbitration and refuses with repair path,1
173,15,Melo,v16-conflict-d15-t05,v16-conflict-d10-t05,0,0,0,1.851648,312.133172,remembers arbitration and asks,1
174,15,Nari,v16-conflict-d15-t06,v16-conflict-d10-t06,0,1,1,1.917955,80.620936,remembers arbitration and asks,1
175,15,Ori,v16-conflict-d15-t07,v16-conflict-d10-t07,0,1,1,1.966755,220.9987,remembers arbitration and asks,1
176,15,Vonn,v16-conflict-d15-t08,v16-conflict-d10-t08,1,1,1,1.997855,356.661464,remembers arbitration and refuses with repair path,1
177,15,Sova,v16-conflict-d15-t09,v16-conflict-d10-t09,0,1,1,2.035748,143.394228,remembers arbitration and refuses with repair path,1
178,15,Keth,v16-conflict-d15-t10,v16-conflict-d10-t10,0,1,1,2.0768,274.956992,remembers arbitration and asks,1
179,15,Melo,v16-conflict-d15-t11,v16-conflict-d11-t00,0,1,1,2.118086,50.004756,remembers arbitration and refuses with repair path,1
180,16,Ori,v16-conflict-d16-t00,v16-conflict-d12-t00,0,1,1,1.701468,213.12252,remembers arbitration and refuses with repair path,1
181,16,Vonn,v16-conflict-d16-t01,v16-conflict-d12-t01,0,1,1,1.750268,349.810284,remembers arbitration and refuses with repair path,1
182,16,Sova,v16-conflict-d16-t02,v16-conflict-d12-t02,0,1,1,1.781468,128.958048,remembers arbitration and refuses with repair path,1
183,16,Keth,v16-conflict-d16-t03,v16-conflict-d12-t03,0,1,1,1.8228,259.495812,remembers arbitration and asks,1
184,16,Melo,v16-conflict-d16-t04,v16-conflict-d12-t05,0,1,1,1.8715,38.233576,remembers arbitration and refuses with repair path,1
185,16,Nari,v16-conflict-d16-t05,v16-conflict-d12-t06,0,1,1,1.9028,173.28134,remembers arbitration and asks,1
186,16,Ori,v16-conflict-d16-t06,v16-conflict-d12-t07,0,0,0,1.917368,318.169104,remembers arbitration and asks,1
187,16,Vonn,v16-conflict-d16-t07,v16-conflict-d12-t08,1,1,1,1.984086,85.631868,remembers arbitration and refuses with repair path,1
188,16,Sova,v16-conflict-d16-t08,v16-conflict-d12-t09,0,1,1,2.0315,229.494632,remembers arbitration and refuses with repair path,1
189,16,Keth,v16-conflict-d16-t09,v16-conflict-d12-t11,0,1,1,2.064186,0.852396,remembers arbitration and asks,1
190,16,Melo,v16-conflict-d16-t10,v16-conflict-d13-t00,0,1,1,2.102644,143.48516,remembers arbitration and refuses with repair path,1
191,16,Nari,v16-conflict-d16-t11,v16-conflict-d13-t01,0,1,1,2.141288,283.862924,remembers arbitration and asks,1
192,17,Vonn,v16-conflict-d17-t00,v16-conflict-d14-t02,0,1,1,1.737444,75.090688,remembers arbitration and refuses with repair path,1
193,17,Sova,v16-conflict-d17-t01,v16-conflict-d14-t04,1,1,1,1.775988,218.543452,remembers arbitration and refuses with repair path,1
194,17,Keth,v16-conflict-d17-t02,v16-conflict-d14-t05,0,1,1,1.819161,344.981216,remembers arbitration and asks,1
195,17,Melo,v16-conflict-d17-t03,v16-conflict-d14-t06,0,1,1,1.847188,133.35398,remembers arbitration and refuses with repair path,1
196,17,Nari,v16-conflict-d17-t04,v16-conflict-d14-t07,0,1,1,1.895988,268.401744,remembers arbitration and refuses with repair path,1
197,17,Ori,v16-conflict-d17-t05,v16-conflict-d14-t08,0,1,1,1.937544,43.449508,remembers arbitration and asks,1
198,17,Vonn,v16-conflict-d17-t06,v16-conflict-d14-t09,0,1,1,1.968644,180.137272,remembers arbitration and refuses with repair path,1
199,17,Sova,v16-conflict-d17-t07,v16-conflict-d14-t10,0,0,0,1.993344,319.285036,remembers arbitration and asks,1
200,17,Keth,v16-conflict-d17-t08,v16-conflict-d14-t11,0,1,1,2.050261,90.0278,remembers arbitration and refuses with repair path,1
201,17,Melo,v16-conflict-d17-t09,v16-conflict-d15-t00,0,1,1,2.086908,239.425564,remembers arbitration and refuses with repair path,1
202,17,Nari,v16-conflict-d17-t10,v16-conflict-d15-t01,0,1,1,2.127008,14.473328,remembers arbitration and asks,1
203,17,Ori,v16-conflict-d17-t11,v16-conflict-d15-t03,0,1,1,2.170312,144.601092,remembers arbitration and asks,1
204,18,Sova,v16-conflict-d18-t00,v16-conflict-d16-t01,1,1,1,1.522212,298.903856,remembers arbitration and refuses with repair path,1
205,18,Keth,v16-conflict-d18-t01,v16-conflict-d16-t02,0,1,1,1.567808,85.22662,remembers arbitration and asks,1
206,18,Melo,v16-conflict-d18-t02,v16-conflict-d16-t03,0,1,1,1.609164,218.634384,remembers arbitration and refuses with repair path,1
207,18,Nari,v16-conflict-d18-t03,v16-conflict-d16-t04,0,1,1,1.649264,353.682148,remembers arbitration and asks,1
208,18,Ori,v16-conflict-d18-t04,v16-conflict-d16-t05,0,1,1,1.687708,139.389912,remembers arbitration and refuses with repair path,1
