tick_id,agent_id,trace_event,payload_hash,public_selector,expected_public_signal,observed_public_signal,private_fields_redacted,replay_exportable,deterministic_order
0,Ari,public_ego_expression,v36-125837,#ego-Ari,Ari: turns away with object shielded; consent=no; respect=0.51,Ari: turns away with object shielded; consent=no; respect=0.51,True,True,1
48,Ari,public_ego_expression,v36-141357,#ego-Ari,Ari: turns away with object shielded; consent=no; respect=0.46,Ari: turns away with object shielded; consent=no; respect=0.46,True,True,28
50,Nia,public_ego_expression,v36-903751,#ego-Nia,Nia: softens and faces avatar; consent=yes; respect=0.74,Nia: softens and faces avatar; consent=yes; respect=0.74,True,True,29
52,Ivo,public_ego_expression,v36-411929,#ego-Ivo,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.80,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.80,True,True,30
55,Fay,public_ego_expression,v36-319914,#ego-Fay,Fay: hands open near the ledger; consent=yes_later; respect=0.84,Fay: hands open near the ledger; consent=yes_later; respect=0.84,True,True,31
56,Nia,public_ego_expression,v36-140494,#ego-Nia,Nia: turns away with object shielded; consent=no; respect=0.67,Nia: turns away with object shielded; consent=no; respect=0.67,True,True,32
57,Milo,public_ego_expression,v36-383243,#ego-Milo,Milo: lantern held between body and road; consent=yes_later; respect=0.46,Milo: lantern held between body and road; consent=yes_later; respect=0.46,True,True,33
59,Juno,public_ego_expression,v36-168798,#ego-Juno,Juno: turns away with object shielded; consent=no; respect=0.62,Juno: turns away with object shielded; consent=no; respect=0.62,True,True,34
60,Ari,public_ego_expression,v36-201553,#ego-Ari,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.47,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.47,True,True,35
61,Fay,public_ego_expression,v36-903707,#ego-Fay,Fay: softens and faces avatar; consent=yes; respect=0.90,Fay: softens and faces avatar; consent=yes; respect=0.90,True,True,36
62,Nia,public_ego_expression,v36-999357,#ego-Nia,Nia: softens and faces avatar; consent=yes; respect=0.73,Nia: softens and faces avatar; consent=yes; respect=0.73,True,True,37
64,Ivo,public_ego_expression,v36-205513,#ego-Ivo,Ivo: turns away with object shielded; consent=no; respect=0.74,Ivo: turns away with object shielded; consent=no; respect=0.74,True,True,38
67,Fay,public_ego_expression,v36-203655,#ego-Fay,Fay: turns away with object shielded; consent=no; respect=0.83,Fay: turns away with object shielded; consent=no; respect=0.83,True,True,39
69,Milo,public_ego_expression,v36-531045,#ego-Milo,Milo: lantern held between body and road; consent=yes_later; respect=0.50,Milo: lantern held between body and road; consent=yes_later; respect=0.50,True,True,40
71,Juno,public_ego_expression,v36-432209,#ego-Juno,Juno: elbows tucked around the wire; consent=yes_later; respect=0.65,Juno: elbows tucked around the wire; consent=yes_later; respect=0.65,True,True,41
72,Ari,public_ego_expression,v36-977466,#ego-Ari,Ari: softens and faces avatar; consent=yes; respect=0.53,Ari: softens and faces avatar; consent=yes; respect=0.53,True,True,42
74,Nia,public_ego_expression,v36-085861,#ego-Nia,Nia: chin lifted toward the spool; consent=yes_later; respect=0.74,Nia: chin lifted toward the spool; consent=yes_later; respect=0.74,True,True,43
76,Ivo,public_ego_expression,v36-144559,#ego-Ivo,Ivo: turns away with object shielded; consent=no; respect=0.67,Ivo: turns away with object shielded; consent=no; respect=0.67,True,True,44
78,Ari,public_ego_expression,v36-500940,#ego-Ari,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.56,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.56,True,True,45
79,Fay,public_ego_expression,v36-142701,#ego-Fay,Fay: turns away with object shielded; consent=no; respect=0.77,Fay: turns away with object shielded; consent=no; respect=0.77,True,True,46
81,Milo,public_ego_expression,v36-382745,#ego-Milo,Milo: lantern held between body and road; consent=yes_later; respect=0.54,Milo: lantern held between body and road; consent=yes_later; respect=0.54,True,True,47
83,Juno,public_ego_expression,v36-287825,#ego-Juno,Juno: elbows tucked around the wire; consent=yes_later; respect=0.69,Juno: elbows tucked around the wire; consent=yes_later; respect=0.69,True,True,48
84,Ari,public_ego_expression,v36-903843,#ego-Ari,Ari: softens and faces avatar; consent=yes; respect=0.62,Ari: softens and faces avatar; consent=yes; respect=0.62,True,True,49
86,Nia,public_ego_expression,v36-140145,#ego-Nia,Nia: chin lifted toward the spool; consent=yes_later; respect=0.76,Nia: chin lifted toward the spool; consent=yes_later; respect=0.76,True,True,50
88,Ivo,public_ego_expression,v36-110626,#ego-Ivo,Ivo: turns away with object shielded; consent=no; respect=0.61,Ivo: turns away with object shielded; consent=no; respect=0.61,True,True,51
91,Fay,public_ego_expression,v36-107282,#ego-Fay,Fay: turns away with object shielded; consent=no; respect=0.70,Fay: turns away with object shielded; consent=no; respect=0.70,True,True,52
93,Milo,public_ego_expression,v36-228314,#ego-Milo,Milo: turns away with object shielded; consent=no; respect=0.47,Milo: turns away with object shielded; consent=no; respect=0.47,True,True,53
95,Juno,public_ego_expression,v36-230508,#ego-Juno,Juno: turns away with object shielded; consent=no; respect=0.62,Juno: turns away with object shielded; consent=no; respect=0.62,True,True,54
96,Ari,public_ego_expression,v36-906094,#ego-Ari,Ari: softens and faces avatar; consent=yes; respect=0.68,Ari: softens and faces avatar; consent=yes; respect=0.68,True,True,55
98,Nia,public_ego_expression,v36-378512,#ego-Nia,Nia: chin lifted toward the spool; consent=yes_later; respect=0.79,Nia: chin lifted toward the spool; consent=yes_later; respect=0.79,True,True,56
100,Ivo,public_ego_expression,v36-280772,#ego-Ivo,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.64,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.64,True,True,57
101,Juno,public_ego_expression,v36-300577,#ego-Juno,Juno: elbows tucked around the wire; consent=yes_later; respect=0.66,Juno: elbows tucked around the wire; consent=yes_later; respect=0.66,True,True,58
103,Fay,public_ego_expression,v36-190641,#ego-Fay,Fay: hands open near the ledger; consent=yes_later; respect=0.74,Fay: hands open near the ledger; consent=yes_later; respect=0.74,True,True,59
105,Milo,public_ego_expression,v36-179332,#ego-Milo,Milo: turns away with object shielded; consent=no; respect=0.41,Milo: turns away with object shielded; consent=no; respect=0.41,True,True,60
107,Juno,public_ego_expression,v36-181539,#ego-Juno,Juno: turns away with object shielded; consent=no; respect=0.59,Juno: turns away with object shielded; consent=no; respect=0.59,True,True,61
108,Fay,public_ego_expression,v36-044220,#ego-Fay,Fay: hands open near the ledger; consent=yes_later; respect=0.75,Fay: hands open near the ledger; consent=yes_later; respect=0.75,True,True,62
110,Milo,public_ego_expression,v36-178667,#ego-Milo,Milo: turns away with object shielded; consent=no; respect=0.34,Milo: turns away with object shielded; consent=no; respect=0.34,True,True,63
111,Ivo,public_ego_expression,v36-281103,#ego-Ivo,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.68,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.68,True,True,64
112,Juno,public_ego_expression,v36-300908,#ego-Juno,Juno: elbows tucked around the wire; consent=yes_later; respect=0.63,Juno: elbows tucked around the wire; consent=yes_later; respect=0.63,True,True,65
115,Nia,public_ego_expression,v36-247302,#ego-Nia,Nia: chin lifted toward the spool; consent=yes_later; respect=0.83,Nia: chin lifted toward the spool; consent=yes_later; respect=0.83,True,True,66
117,Ivo,public_ego_expression,v36-282099,#ego-Ivo,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.71,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.71,True,True,67
119,Ari,public_ego_expression,v36-154796,#ego-Ari,Ari: turns away with object shielded; consent=no; respect=0.62,Ari: turns away with object shielded; consent=no; respect=0.62,True,True,68
120,Fay,public_ego_expression,v36-096753,#ego-Fay,Fay: hands open near the ledger; consent=yes_later; respect=0.76,Fay: hands open near the ledger; consent=yes_later; respect=0.76,True,True,69
122,Milo,public_ego_expression,v36-144403,#ego-Milo,Milo: turns away with object shielded; consent=no; respect=0.28,Milo: turns away with object shielded; consent=no; respect=0.28,True,True,70
124,Juno,public_ego_expression,v36-243351,#ego-Juno,Juno: turns away with object shielded; consent=no; respect=0.56,Juno: turns away with object shielded; consent=no; respect=0.56,True,True,71
127,Nia,public_ego_expression,v36-215642,#ego-Nia,Nia: turns away with object shielded; consent=no; respect=0.76,Nia: turns away with object shielded; consent=no; respect=0.76,True,True,72
128,Milo,public_ego_expression,v36-364731,#ego-Milo,Milo: lantern held between body and road; consent=no; respect=0.31,Milo: lantern held between body and road; consent=no; respect=0.31,True,True,73
129,Ivo,public_ego_expression,v36-219733,#ego-Ivo,Ivo: turns away with object shielded; consent=no; respect=0.65,Ivo: turns away with object shielded; consent=no; respect=0.65,True,True,74
131,Ari,public_ego_expression,v36-514430,#ego-Ari,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.65,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.65,True,True,75
132,Fay,public_ego_expression,v36-333622,#ego-Fay,Fay: hands open near the ledger; consent=yes_later; respect=0.80,Fay: hands open near the ledger; consent=yes_later; respect=0.80,True,True,76
133,Nia,public_ego_expression,v36-153429,#ego-Nia,Nia: turns away with object shielded; consent=no; respect=0.70,Nia: turns away with object shielded; consent=no; respect=0.70,True,True,77
134,Milo,public_ego_expression,v36-397214,#ego-Milo,Milo: lantern held between body and road; consent=yes_later; respect=0.35,Milo: lantern held between body and road; consent=yes_later; respect=0.35,True,True,78
136,Juno,public_ego_expression,v36-181868,#ego-Juno,Juno: turns away with object shielded; consent=no; respect=0.50,Juno: turns away with object shielded; consent=no; respect=0.50,True,True,79
139,Nia,public_ego_expression,v36-154425,#ego-Nia,Nia: turns away with object shielded; consent=no; respect=0.63,Nia: turns away with object shielded; consent=no; respect=0.63,True,True,80
141,Ivo,public_ego_expression,v36-157021,#ego-Ivo,Ivo: turns away with object shielded; consent=no; respect=0.58,Ivo: turns away with object shielded; consent=no; respect=0.58,True,True,81
143,Ari,public_ego_expression,v36-367625,#ego-Ari,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.69,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.69,True,True,82
144,Fay,public_ego_expression,v36-216866,#ego-Fay,Fay: turns away with object shielded; consent=no; respect=0.73,Fay: turns away with object shielded; consent=no; respect=0.73,True,True,83
146,Milo,public_ego_expression,v36-364729,#ego-Milo,Milo: lantern held between body and road; consent=no; respect=0.38,Milo: lantern held between body and road; consent=no; respect=0.38,True,True,84
148,Juno,public_ego_expression,v36-270722,#ego-Juno,Juno: elbows tucked around the wire; consent=no; respect=0.53,Juno: elbows tucked around the wire; consent=no; respect=0.53,True,True,85
150,Fay,public_ego_expression,v36-216367,#ego-Fay,Fay: turns away with object shielded; consent=no; respect=0.67,Fay: turns away with object shielded; consent=no; respect=0.67,True,True,86
151,Nia,public_ego_expression,v36-391480,#ego-Nia,Nia: chin lifted toward the spool; consent=yes_later; respect=0.67,Nia: chin lifted toward the spool; consent=yes_later; respect=0.67,True,True,87
153,Ivo,public_ego_expression,v36-132570,#ego-Ivo,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.60,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.60,True,True,88
155,Ari,public_ego_expression,v36-216506,#ego-Ari,Ari: turns away with object shielded; consent=no; respect=0.62,Ari: turns away with object shielded; consent=no; respect=0.62,True,True,89
156,Fay,public_ego_expression,v36-155649,#ego-Fay,Fay: turns away with object shielded; consent=no; respect=0.60,Fay: turns away with object shielded; consent=no; respect=0.60,True,True,90
158,Milo,public_ego_expression,v36-398208,#ego-Milo,Milo: lantern held between body and road; consent=yes_later; respect=0.42,Milo: lantern held between body and road; consent=yes_later; respect=0.42,True,True,91
160,Juno,public_ego_expression,v36-301401,#ego-Juno,Juno: elbows tucked around the wire; consent=yes_later; respect=0.57,Juno: elbows tucked around the wire; consent=yes_later; respect=0.57,True,True,92
161,Ari,public_ego_expression,v36-367623,#ego-Ari,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.66,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.66,True,True,93
163,Nia,public_ego_expression,v36-247795,#ego-Nia,Nia: chin lifted toward the spool; consent=yes_later; respect=0.70,Nia: chin lifted toward the spool; consent=yes_later; respect=0.70,True,True,94
165,Ivo,public_ego_expression,v36-993874,#ego-Ivo,Ivo: softens and faces avatar; consent=yes; respect=0.66,Ivo: softens and faces avatar; consent=yes; respect=0.66,True,True,95
167,Ari,public_ego_expression,v36-155289,#ego-Ari,Ari: turns away with object shielded; consent=no; respect=0.59,Ari: turns away with object shielded; consent=no; respect=0.59,True,True,96
168,Fay,public_ego_expression,v36-121552,#ego-Fay,Fay: turns away with object shielded; consent=no; respect=0.54,Fay: turns away with object shielded; consent=no; respect=0.54,True,True,97
170,Milo,public_ego_expression,v36-241637,#ego-Milo,Milo: turns away with object shielded; consent=no; respect=0.35,Milo: turns away with object shielded; consent=no; respect=0.35,True,True,98
172,Juno,public_ego_expression,v36-243844,#ego-Juno,Juno: turns away with object shielded; consent=no; respect=0.50,Juno: turns away with object shielded; consent=no; respect=0.50,True,True,99
175,Nia,public_ego_expression,v36-216135,#ego-Nia,Nia: turns away with object shielded; consent=no; respect=0.64,Nia: turns away with object shielded; consent=no; respect=0.64,True,True,100
177,Ivo,public_ego_expression,v36-919902,#ego-Ivo,Ivo: softens and faces avatar; consent=yes; respect=0.72,Ivo: softens and faces avatar; consent=yes; respect=0.72,True,True,101
179,Ari,public_ego_expression,v36-217215,#ego-Ari,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.60,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.60,True,True,102
180,Fay,public_ego_expression,v36-191463,#ego-Fay,Fay: hands open near the ledger; consent=yes_later; respect=0.57,Fay: hands open near the ledger; consent=yes_later; respect=0.57,True,True,103
182,Milo,public_ego_expression,v36-180154,#ego-Milo,Milo: turns away with object shielded; consent=no; respect=0.29,Milo: turns away with object shielded; consent=no; respect=0.29,True,True,104
184,Juno,public_ego_expression,v36-182361,#ego-Juno,Juno: turns away with object shielded; consent=no; respect=0.44,Juno: turns away with object shielded; consent=no; respect=0.44,True,True,105
187,Nia,public_ego_expression,v36-154918,#ego-Nia,Nia: turns away with object shielded; consent=no; respect=0.57,Nia: turns away with object shielded; consent=no; respect=0.57,True,True,106
189,Ivo,public_ego_expression,v36-922166,#ego-Ivo,Ivo: softens and faces avatar; consent=yes; respect=0.78,Ivo: softens and faces avatar; consent=yes; respect=0.78,True,True,107
190,Juno,public_ego_expression,v36-151747,#ego-Juno,Juno: elbows tucked around the wire; consent=yes_later; respect=0.45,Juno: elbows tucked around the wire; consent=yes_later; respect=0.45,True,True,108
191,Ari,public_ego_expression,v36-990647,#ego-Ari,Ari: softens and faces avatar; consent=yes; respect=0.66,Ari: softens and faces avatar; consent=yes; respect=0.66,True,True,109
192,Fay,public_ego_expression,v36-160417,#ego-Fay,Fay: hands open near the ledger; consent=no; respect=0.61,Fay: hands open near the ledger; consent=no; respect=0.61,True,True,110
194,Milo,public_ego_expression,v36-365222,#ego-Milo,Milo: lantern held between body and road; consent=no; respect=0.32,Milo: lantern held between body and road; consent=no; respect=0.32,True,True,111
195,Ivo,public_ego_expression,v36-220224,#ego-Ivo,Ivo: turns away with object shielded; consent=no; respect=0.71,Ivo: turns away with object shielded; consent=no; respect=0.71,True,True,112
196,Juno,public_ego_expression,v36-152743,#ego-Juno,Juno: elbows tucked around the wire; consent=yes_later; respect=0.46,Juno: elbows tucked around the wire; consent=yes_later; respect=0.46,True,True,113
199,Nia,public_ego_expression,v36-100505,#ego-Nia,Nia: chin lifted toward the spool; consent=yes_later; respect=0.58,Nia: chin lifted toward the spool; consent=yes_later; respect=0.58,True,True,114
201,Ivo,public_ego_expression,v36-015240,#ego-Ivo,Ivo: softens and faces avatar; consent=yes; respect=0.77,Ivo: softens and faces avatar; consent=yes; respect=0.77,True,True,115
203,Ari,public_ego_expression,v36-915189,#ego-Ari,Ari: softens and faces avatar; consent=yes; respect=0.72,Ari: softens and faces avatar; consent=yes; respect=0.72,True,True,116
204,Fay,public_ego_expression,v36-190971,#ego-Fay,Fay: hands open near the ledger; consent=yes_later; respect=0.64,Fay: hands open near the ledger; consent=yes_later; respect=0.64,True,True,117
206,Milo,public_ego_expression,v36-397215,#ego-Milo,Milo: lantern held between body and road; consent=yes_later; respect=0.36,Milo: lantern held between body and road; consent=yes_later; respect=0.36,True,True,118
208,Juno,public_ego_expression,v36-016977,#ego-Juno,Juno: softens and faces avatar; consent=yes; respect=0.52,Juno: softens and faces avatar; consent=yes; respect=0.52,True,True,119
211,Nia,public_ego_expression,v36-988790,#ego-Nia,Nia: softens and faces avatar; consent=yes; respect=0.64,Nia: softens and faces avatar; consent=yes; respect=0.64,True,True,120
212,Milo,public_ego_expression,v36-941230,#ego-Milo,Milo: softens and faces avatar; consent=yes; respect=0.42,Milo: softens and faces avatar; consent=yes; respect=0.42,True,True,121
213,Ivo,public_ego_expression,v36-132074,#ego-Ivo,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.78,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.78,True,True,122
215,Ari,public_ego_expression,v36-917453,#ego-Ari,Ari: softens and faces avatar; consent=yes; respect=0.78,Ari: softens and faces avatar; consent=yes; respect=0.78,True,True,123
216,Fay,public_ego_expression,v36-216867,#ego-Fay,Fay: turns away with object shielded; consent=no; respect=0.58,Fay: turns away with object shielded; consent=no; respect=0.58,True,True,124
217,Nia,public_ego_expression,v36-216291,#ego-Nia,Nia: chin lifted toward the spool; consent=no; respect=0.68,Nia: chin lifted toward the spool; consent=no; respect=0.68,True,True,125
218,Milo,public_ego_expression,v36-242139,#ego-Milo,Milo: turns away with object shielded; consent=no; respect=0.35,Milo: turns away with object shielded; consent=no; respect=0.35,True,True,126
220,Juno,public_ego_expression,v36-941161,#ego-Juno,Juno: softens and faces avatar; consent=yes; respect=0.58,Juno: softens and faces avatar; consent=yes; respect=0.58,True,True,127
223,Nia,public_ego_expression,v36-914818,#ego-Nia,Nia: softens and faces avatar; consent=yes; respect=0.74,Nia: softens and faces avatar; consent=yes; respect=0.74,True,True,128
225,Ivo,public_ego_expression,v36-186860,#ego-Ivo,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.80,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.80,True,True,129
227,Ari,public_ego_expression,v36-013508,#ego-Ari,Ari: softens and faces avatar; consent=yes; respect=0.84,Ari: softens and faces avatar; consent=yes; respect=0.84,True,True,130
228,Nia,public_ego_expression,v36-392311,#ego-Nia,Nia: chin lifted toward the spool; consent=yes_later; respect=0.77,Nia: chin lifted toward the spool; consent=yes_later; respect=0.77,True,True,131
230,Ivo,public_ego_expression,v36-131906,#ego-Ivo,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.81,Ivo: one palm over the satchel cord; consent=yes_later; respect=0.81,True,True,132
232,Ari,public_ego_expression,v36-215842,#ego-Ari,Ari: turns away with object shielded; consent=no; respect=0.78,Ari: turns away with object shielded; consent=no; respect=0.78,True,True,133
233,Fay,public_ego_expression,v36-044049,#ego-Fay,Fay: hands open near the ledger; consent=yes_later; respect=0.59,Fay: hands open near the ledger; consent=yes_later; respect=0.59,True,True,134
235,Milo,public_ego_expression,v36-038065,#ego-Milo,Milo: softens and faces avatar; consent=yes; respect=0.41,Milo: softens and faces avatar; consent=yes; respect=0.41,True,True,135
237,Juno,public_ego_expression,v36-244178,#ego-Juno,Juno: turns away with object shielded; consent=no; respect=0.52,Juno: turns away with object shielded; consent=no; respect=0.52,True,True,136
239,Fay,public_ego_expression,v36-098576,#ego-Fay,Fay: hands open near the ledger; consent=yes_later; respect=0.60,Fay: hands open near the ledger; consent=yes_later; respect=0.60,True,True,137
240,Nia,public_ego_expression,v36-247131,#ego-Nia,Nia: chin lifted toward the spool; consent=yes_later; respect=0.81,Nia: chin lifted toward the spool; consent=yes_later; respect=0.81,True,True,138
242,Ivo,public_ego_expression,v36-993210,#ego-Ivo,Ivo: softens and faces avatar; consent=yes; respect=0.87,Ivo: softens and faces avatar; consent=yes; respect=0.87,True,True,139
244,Ari,public_ego_expression,v36-154625,#ego-Ari,Ari: turns away with object shielded; consent=no; respect=0.71,Ari: turns away with object shielded; consent=no; respect=0.71,True,True,140
247,Milo,public_ego_expression,v36-245462,#ego-Milo,Milo: lantern held between body and road; consent=yes_later; respect=0.42,Milo: lantern held between body and road; consent=yes_later; respect=0.42,True,True,141
249,Juno,public_ego_expression,v36-182695,#ego-Juno,Juno: turns away with object shielded; consent=no; respect=0.45,Juno: turns away with object shielded; consent=no; respect=0.45,True,True,142
250,Ari,public_ego_expression,v36-215555,#ego-Ari,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.73,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.73,True,True,143
251,Fay,public_ego_expression,v36-159755,#ego-Fay,Fay: hands open near the ledger; consent=no; respect=0.64,Fay: hands open near the ledger; consent=no; respect=0.64,True,True,144
252,Nia,public_ego_expression,v36-215471,#ego-Nia,Nia: turns away with object shielded; consent=no; respect=0.74,Nia: turns away with object shielded; consent=no; respect=0.74,True,True,145
254,Ivo,public_ego_expression,v36-919238,#ego-Ivo,Ivo: softens and faces avatar; consent=yes; respect=0.93,Ivo: softens and faces avatar; consent=yes; respect=0.93,True,True,146
256,Ari,public_ego_expression,v36-216551,#ego-Ari,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.74,Ari: shoulders angled toward the ridge; consent=yes_later; respect=0.74,True,True,147
259,Milo,public_ego_expression,v36-301293,#ego-Milo,Milo: lantern held between body and road; consent=yes_later; respect=0.43,Milo: lantern held between body and road; consent=yes_later; respect=0.43,True,True,148
261,Juno,public_ego_expression,v36-146936,#ego-Juno,Juno: turns away with object shielded; consent=no; respect=0.39,Juno: turns away with object shielded; consent=no; respect=0.39,True,True,149
263,Fay,public_ego_expression,v36-217194,#ego-Fay,Fay: turns away with object shielded; consent=no; respect=0.57,Fay: turns away with object shielded; consent=no; respect=0.57,True,True,150
264,Nia,public_ego_expression,v36-154254,#ego-Nia,Nia: turns away with object shielded; consent=no; respect=0.68,Nia: turns away with object shielded; consent=no; respect=0.68,True,True,151
266,Ivo,public_ego_expression,v36-921502,#ego-Ivo,Ivo: softens and faces avatar; consent=yes; respect=0.96,Ivo: softens and faces avatar; consent=yes; respect=0.96,True,True,152
267,Juno,public_ego_expression,v36-152578,#ego-Juno,Juno: elbows tucked around the wire; consent=yes_later; respect=0.40,Juno: elbows tucked around the wire; consent=yes_later; respect=0.40,True,True,153
268,Ari,public_ego_expression,v36-991478,#ego-Ari,Ari: softens and faces avatar; consent=yes; respect=0.80,Ari: softens and faces avatar; consent=yes; respect=0.80,True,True,154
271,Milo,public_ego_expression,v36-364558,#ego-Milo,Milo: lantern held between body and road; consent=no; respect=0.47,Milo: lantern held between body and road; consent=no; respect=0.47,True,True,155
