generation,year,settlement_id,memory_key,event_summary,remembered_by,trust_norm,ownership_norm,consent_norm,storage_medium,survives_to_avatar_entry
21,630,repair_ring,memory:repair_ring:021,Generation 21 preserved safe repair space through child naming using water clocks.,repair kinship of repair_ring,0.54717,0.644,0.5215,bronze ledger / spoken ritual,True
22,660,riverbend,memory:riverbend:022,Generation 22 preserved dry crossing through seasonal repair using water clocks.,route council of riverbend,0.550248,0.548,0.52216,cedar ledger / spoken ritual,True
22,660,roofward,memory:roofward:022,Generation 22 preserved herb preservation through object blessing using water clocks.,memory house of roofward,0.551464,0.568,0.52504,glass ledger / spoken ritual,True
22,660,archive,memory:archive:022,Generation 22 preserved signal memory through boundary asking using water clocks.,repair kinship of archive,0.552048,0.588,0.52216,inkstone ledger / spoken ritual,True
22,660,signal,memory:signal:022,Generation 22 preserved path visibility through grief return using water clocks.,route council of signal,0.550564,0.608,0.52504,copper ledger / spoken ritual,True
22,660,orchard,memory:orchard:022,Generation 22 preserved dry seed continuity through child naming using water clocks.,memory house of orchard,0.551148,0.628,0.52216,clay ledger / spoken ritual,True
22,660,repair_ring,memory:repair_ring:022,Generation 22 preserved safe repair space through trade witness using water clocks.,repair kinship of repair_ring,0.552364,0.648,0.52504,bronze ledger / spoken ritual,True
23,690,riverbend,memory:riverbend:023,Generation 23 preserved dry crossing through object blessing using water clocks.,route council of riverbend,0.555442,0.552,0.5257,cedar ledger / spoken ritual,True
23,690,roofward,memory:roofward:023,Generation 23 preserved herb preservation through boundary asking using water clocks.,memory house of roofward,0.556659,0.572,0.52858,glass ledger / spoken ritual,True
23,690,archive,memory:archive:023,Generation 23 preserved signal memory through grief return using water clocks.,repair kinship of archive,0.557242,0.592,0.5257,inkstone ledger / spoken ritual,True
23,690,signal,memory:signal:023,Generation 23 preserved path visibility through child naming using water clocks.,route council of signal,0.555759,0.612,0.52858,copper ledger / spoken ritual,True
23,690,orchard,memory:orchard:023,Generation 23 preserved dry seed continuity through trade witness using water clocks.,memory house of orchard,0.556342,0.632,0.5257,clay ledger / spoken ritual,True
23,690,repair_ring,memory:repair_ring:023,Generation 23 preserved safe repair space through avatar waiting myth using water clocks.,repair kinship of repair_ring,0.557559,0.652,0.52858,bronze ledger / spoken ritual,True
24,720,riverbend,memory:riverbend:024,Generation 24 preserved dry crossing through boundary asking using water clocks.,route council of riverbend,0.56127,0.556,0.535,cedar ledger / spoken ritual,True
24,720,roofward,memory:roofward:024,Generation 24 preserved herb preservation through grief return using water clocks.,memory house of roofward,0.561853,0.576,0.53212,glass ledger / spoken ritual,True
24,720,archive,memory:archive:024,Generation 24 preserved signal memory through child naming using water clocks.,repair kinship of archive,0.56307,0.596,0.535,inkstone ledger / spoken ritual,True
24,720,signal,memory:signal:024,Generation 24 preserved path visibility through trade witness using water clocks.,route council of signal,0.560953,0.616,0.53212,copper ledger / spoken ritual,True
24,720,orchard,memory:orchard:024,Generation 24 preserved dry seed continuity through avatar waiting myth using water clocks.,memory house of orchard,0.56217,0.636,0.535,clay ledger / spoken ritual,True
24,720,repair_ring,memory:repair_ring:024,Generation 24 preserved safe repair space through founding vow using water clocks.,repair kinship of repair_ring,0.562753,0.656,0.53212,bronze ledger / spoken ritual,True
25,750,riverbend,memory:riverbend:025,Generation 25 preserved dry crossing through grief return using water clocks.,route council of riverbend,0.566464,0.56,0.53854,cedar ledger / spoken ritual,True
25,750,roofward,memory:roofward:025,Generation 25 preserved herb preservation through child naming using water clocks.,memory house of roofward,0.567048,0.58,0.53566,glass ledger / spoken ritual,True
25,750,archive,memory:archive:025,Generation 25 preserved signal memory through trade witness using water clocks.,repair kinship of archive,0.568264,0.6,0.53854,inkstone ledger / spoken ritual,True
25,750,signal,memory:signal:025,Generation 25 preserved path visibility through avatar waiting myth using water clocks.,route council of signal,0.566148,0.62,0.53566,copper ledger / spoken ritual,True
25,750,orchard,memory:orchard:025,Generation 25 preserved dry seed continuity through founding vow using water clocks.,memory house of orchard,0.567364,0.64,0.53854,clay ledger / spoken ritual,True
25,750,repair_ring,memory:repair_ring:025,Generation 25 preserved safe repair space through seasonal repair using water clocks.,repair kinship of repair_ring,0.567948,0.66,0.53566,bronze ledger / spoken ritual,True
26,780,riverbend,memory:riverbend:026,Generation 26 preserved dry crossing through child naming using water clocks.,route council of riverbend,0.571659,0.564,0.54208,cedar ledger / spoken ritual,True
26,780,roofward,memory:roofward:026,Generation 26 preserved herb preservation through trade witness using water clocks.,memory house of roofward,0.572242,0.584,0.5392,glass ledger / spoken ritual,True
26,780,archive,memory:archive:026,Generation 26 preserved signal memory through avatar waiting myth using water clocks.,repair kinship of archive,0.573459,0.604,0.54208,inkstone ledger / spoken ritual,True
26,780,signal,memory:signal:026,Generation 26 preserved path visibility through founding vow using water clocks.,route council of signal,0.571342,0.624,0.5392,copper ledger / spoken ritual,True
26,780,orchard,memory:orchard:026,Generation 26 preserved dry seed continuity through seasonal repair using water clocks.,memory house of orchard,0.572559,0.644,0.54208,clay ledger / spoken ritual,True
26,780,repair_ring,memory:repair_ring:026,Generation 26 preserved safe repair space through object blessing using water clocks.,repair kinship of repair_ring,0.573142,0.664,0.5392,bronze ledger / spoken ritual,True
27,810,riverbend,memory:riverbend:027,Generation 27 preserved dry crossing through trade witness using water clocks.,route council of riverbend,0.576853,0.568,0.54562,cedar ledger / spoken ritual,True
27,810,roofward,memory:roofward:027,Generation 27 preserved herb preservation through avatar waiting myth using water clocks.,memory house of roofward,0.57807,0.588,0.5485,glass ledger / spoken ritual,True
27,810,archive,memory:archive:027,Generation 27 preserved signal memory through founding vow using water clocks.,repair kinship of archive,0.578653,0.608,0.54562,inkstone ledger / spoken ritual,True
27,810,signal,memory:signal:027,Generation 27 preserved path visibility through seasonal repair using water clocks.,route council of signal,0.57717,0.628,0.5485,copper ledger / spoken ritual,True
27,810,orchard,memory:orchard:027,Generation 27 preserved dry seed continuity through object blessing using water clocks.,memory house of orchard,0.577753,0.648,0.54562,clay ledger / spoken ritual,True
27,810,repair_ring,memory:repair_ring:027,Generation 27 preserved safe repair space through boundary asking using water clocks.,repair kinship of repair_ring,0.57897,0.668,0.5485,bronze ledger / spoken ritual,True
28,840,riverbend,memory:riverbend:028,Generation 28 preserved dry crossing through avatar waiting myth using water clocks.,route council of riverbend,0.582048,0.572,0.54916,cedar ledger / spoken ritual,True
28,840,roofward,memory:roofward:028,Generation 28 preserved herb preservation through founding vow using water clocks.,memory house of roofward,0.583264,0.592,0.55204,glass ledger / spoken ritual,True
28,840,archive,memory:archive:028,Generation 28 preserved signal memory through seasonal repair using water clocks.,repair kinship of archive,0.583848,0.612,0.54916,inkstone ledger / spoken ritual,True
28,840,signal,memory:signal:028,Generation 28 preserved path visibility through object blessing using water clocks.,route council of signal,0.582364,0.632,0.55204,copper ledger / spoken ritual,True
28,840,orchard,memory:orchard:028,Generation 28 preserved dry seed continuity through boundary asking using water clocks.,memory house of orchard,0.582948,0.652,0.54916,clay ledger / spoken ritual,True
28,840,repair_ring,memory:repair_ring:028,Generation 28 preserved safe repair space through grief return using water clocks.,repair kinship of repair_ring,0.584164,0.672,0.55204,bronze ledger / spoken ritual,True
29,870,riverbend,memory:riverbend:029,Generation 29 preserved dry crossing through founding vow using water clocks.,route council of riverbend,0.587242,0.576,0.5527,cedar ledger / spoken ritual,True
