tick_id,day,route_id,avatar_action,intervention_available,intervention_taken,helps_recovery,creates_tradeoff,visible_consequence,consent_boundary,recovery_delta
0,1,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
50,4,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
51,4,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
52,4,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
53,4,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
54,4,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
55,4,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
56,5,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
57,5,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
58,5,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
59,5,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
60,5,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
61,5,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
62,5,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
63,5,signal_orchard,dim relay for caravan,False,False,False,False,none,public route aid only; no private workspace inspection,0.0
64,5,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
65,5,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
66,5,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
67,5,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
68,5,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
69,5,signal_orchard,dim relay for caravan,False,False,False,False,none,public route aid only; no private workspace inspection,0.0
70,6,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
71,6,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
72,6,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
73,6,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
74,6,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
75,6,signal_orchard,dim relay for caravan,False,False,False,False,none,public route aid only; no private workspace inspection,0.0
76,6,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
77,6,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
78,6,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
79,6,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
80,6,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
81,6,signal_orchard,dim relay for caravan,False,False,False,False,none,public route aid only; no private workspace inspection,0.0
82,6,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
83,6,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
84,7,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
85,7,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
86,7,signal_orchard,dim relay for caravan,False,False,False,False,none,public route aid only; no private workspace inspection,0.0
87,7,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
88,7,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
89,7,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
90,7,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
91,7,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
92,7,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
93,7,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
94,7,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
95,7,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
96,7,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
97,7,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
98,8,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
99,8,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
100,8,central_repair_ring,queue repair token,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
101,8,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
102,8,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
103,8,archive_signal,pin public notice board,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
104,8,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
105,8,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
106,8,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
107,8,riverbend_roofward,place temporary bridge marker,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
108,8,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
109,8,archive_signal,pin public notice board,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
110,8,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
111,8,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
112,9,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
113,9,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
114,9,roofward_archive,open shade cloth cache,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
115,9,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
116,9,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
117,9,orchard_riverbend,lay dry stepping mats,True,True,False,False,available,public route aid only; no private workspace inspection,0.0
118,9,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
119,9,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
120,9,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
121,9,archive_signal,pin public notice board,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
122,9,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
123,9,orchard_riverbend,lay dry stepping mats,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
124,9,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
125,9,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
126,10,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
127,10,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
128,10,signal_orchard,dim relay for caravan,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
129,10,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
130,10,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
131,10,riverbend_roofward,place temporary bridge marker,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
132,10,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
133,10,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
134,10,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
135,10,orchard_riverbend,lay dry stepping mats,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
136,10,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
137,10,riverbend_roofward,place temporary bridge marker,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
138,10,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
139,10,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
140,11,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
141,11,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
142,11,central_repair_ring,queue repair token,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
143,11,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
144,11,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
145,11,archive_signal,pin public notice board,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
146,11,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
147,11,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
148,11,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
149,11,riverbend_roofward,place temporary bridge marker,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
150,11,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
151,11,archive_signal,pin public notice board,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
152,11,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
153,11,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
154,12,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
155,12,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
156,12,roofward_archive,open shade cloth cache,True,True,False,False,available,public route aid only; no private workspace inspection,0.0
157,12,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
158,12,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
159,12,orchard_riverbend,lay dry stepping mats,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
160,12,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
161,12,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
162,12,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
163,12,archive_signal,pin public notice board,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
164,12,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
165,12,orchard_riverbend,lay dry stepping mats,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
166,12,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
167,12,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
168,13,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
169,13,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
170,13,signal_orchard,dim relay for caravan,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
171,13,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
172,13,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
173,13,riverbend_roofward,place temporary bridge marker,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
174,13,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
175,13,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
176,13,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
177,13,orchard_riverbend,lay dry stepping mats,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
178,13,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
179,13,riverbend_roofward,place temporary bridge marker,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
180,13,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
181,13,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
182,14,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
183,14,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
184,14,riverbend_roofward,place temporary bridge marker,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
185,14,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
186,14,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
187,14,signal_orchard,dim relay for caravan,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
188,14,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
189,14,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
190,14,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
191,14,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
192,14,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
193,14,signal_orchard,dim relay for caravan,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
194,14,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
195,14,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
196,15,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
197,15,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
198,15,archive_signal,pin public notice board,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
199,15,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
200,15,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
201,15,central_repair_ring,queue repair token,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
202,15,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
203,15,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
204,15,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
205,15,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
206,15,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
207,15,central_repair_ring,queue repair token,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
208,15,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
209,15,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
210,16,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
211,16,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
212,16,orchard_riverbend,lay dry stepping mats,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
213,16,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
214,16,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
215,16,roofward_archive,open shade cloth cache,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
216,16,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
217,16,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
218,16,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
219,16,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
220,16,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
221,16,roofward_archive,open shade cloth cache,True,True,False,False,available,public route aid only; no private workspace inspection,0.0
222,16,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
223,16,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
224,17,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
225,17,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
226,17,riverbend_roofward,place temporary bridge marker,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
227,17,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
228,17,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
229,17,signal_orchard,dim relay for caravan,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
230,17,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
231,17,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
232,17,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
233,17,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
234,17,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
235,17,signal_orchard,dim relay for caravan,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
236,17,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
237,17,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
238,18,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
239,18,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
240,18,archive_signal,pin public notice board,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
241,18,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
242,18,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
243,18,central_repair_ring,queue repair token,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
244,18,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
245,18,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
246,18,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
247,18,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
248,18,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
249,18,central_repair_ring,queue repair token,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
250,18,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
251,18,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
252,19,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
253,19,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
254,19,orchard_riverbend,lay dry stepping mats,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
255,19,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
256,19,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
257,19,roofward_archive,open shade cloth cache,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
258,19,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
259,19,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
260,19,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
261,19,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
262,19,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
263,19,roofward_archive,open shade cloth cache,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
264,19,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
265,19,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
266,20,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
267,20,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
268,20,riverbend_roofward,place temporary bridge marker,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
269,20,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
270,20,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
271,20,signal_orchard,dim relay for caravan,True,True,True,False,recovery improves,public route aid only; no private workspace inspection,0.055
272,20,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
273,20,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
274,20,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
275,20,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
276,20,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
