tick_id,day,tick,household,infrastructure_id,resource,stock_before,produced,consumed,stock_after,shortage,exchange_partner,visible_ledger
162,10,0,West House,river_mill_bridge,planks,23.195945,0.2934,0.145,23.244345,False,Roof House,West House:planks:23.24
163,10,1,Roof House,roof_greenhouse_cistern,water,43.297115,0.0,0.0,43.297115,False,Archive House,Roof House:water:43.30
164,10,2,Archive House,archive_public_kiosk,paper,19.94247,0.22754,0.12,20.05001,False,Signal House,Archive House:paper:20.05
165,10,3,Signal House,dusk_signal_workshop,oil,17.48678,0.0,0.0,17.48678,False,West House,Signal House:oil:17.49
166,10,4,West House,river_mill_bridge,planks,23.244345,0.0,0.0,23.244345,False,Roof House,West House:planks:23.24
167,10,5,Roof House,roof_greenhouse_cistern,water,43.297115,0.330605,0.12,43.50772,False,Archive House,Roof House:water:43.51
168,10,6,Archive House,archive_public_kiosk,paper,20.05001,0.0,0.0,20.05001,False,Signal House,Archive House:paper:20.05
169,10,7,Signal House,dusk_signal_workshop,oil,17.48678,0.26317,0.17,17.57995,False,West House,Signal House:oil:17.58
170,10,8,West House,river_mill_bridge,planks,23.244345,0.293895,0.12,23.41824,False,Roof House,West House:planks:23.42
171,10,9,Roof House,roof_greenhouse_cistern,water,43.50772,0.33101,0.145,43.59373,False,Archive House,Roof House:water:43.59
172,10,10,Archive House,archive_public_kiosk,paper,20.05001,0.0,0.0,20.05001,False,Signal House,Archive House:paper:20.05
173,10,11,Signal House,dusk_signal_workshop,oil,17.57995,0.263575,0.12,17.723525,False,West House,Signal House:oil:17.72
174,10,12,West House,river_mill_bridge,planks,23.41824,0.0,0.0,23.31824,False,Roof House,West House:planks:23.32
175,10,13,Roof House,roof_greenhouse_cistern,water,43.59373,0.0,0.0,43.59373,False,Archive House,Roof House:water:43.59
176,10,14,Archive House,archive_public_kiosk,paper,20.05001,0.228125,0.12,20.158135,False,Signal House,Archive House:paper:20.16
177,10,15,Signal House,dusk_signal_workshop,oil,17.723525,0.0,0.0,17.723525,False,West House,Signal House:oil:17.72
178,10,16,West House,river_mill_bridge,planks,23.31824,0.0,0.0,23.31824,False,Roof House,West House:planks:23.32
179,10,17,Roof House,roof_greenhouse_cistern,water,43.59373,0.0,0.0,43.49373,False,Archive House,Roof House:water:43.49
180,11,0,Archive House,archive_public_kiosk,paper,20.158135,0.0,0.0,20.058135,False,Signal House,Archive House:paper:20.06
181,11,1,Signal House,dusk_signal_workshop,oil,17.723525,0.0,0.05,17.673525,False,West House,Signal House:oil:17.67
182,11,2,West House,river_mill_bridge,planks,23.31824,0.25948,0.145,23.43272,False,Roof House,West House:planks:23.43
183,11,3,Roof House,roof_greenhouse_cistern,water,43.49373,0.0,0.0,43.49373,False,Archive House,Roof House:water:43.49
184,11,4,Archive House,archive_public_kiosk,paper,20.058135,0.0,0.0,20.058135,False,Signal House,Archive House:paper:20.06
185,11,5,Signal House,dusk_signal_workshop,oil,17.673525,0.22916,0.145,17.757685,False,West House,Signal House:oil:17.76
186,11,6,West House,river_mill_bridge,planks,23.43272,0.0,0.0,23.43272,False,Roof House,West House:planks:23.43
187,11,7,Roof House,roof_greenhouse_cistern,water,43.49373,0.0,0.0,43.49373,False,Archive House,Roof House:water:43.49
188,11,8,Archive House,archive_public_kiosk,paper,20.058135,0.33371,0.145,20.146845,False,Signal House,Archive House:paper:20.15
189,11,9,Signal House,dusk_signal_workshop,oil,17.757685,0.0,0.0,17.657685,False,West House,Signal House:oil:17.66
190,11,10,West House,river_mill_bridge,planks,23.43272,0.0,0.0,23.43272,False,Roof House,West House:planks:23.43
191,11,11,Roof House,roof_greenhouse_cistern,water,43.49373,0.296775,0.145,43.645505,False,Archive House,Roof House:water:43.65
192,11,12,Archive House,archive_public_kiosk,paper,20.146845,0.0,0.0,20.146845,False,Signal House,Archive House:paper:20.15
193,11,13,Signal House,dusk_signal_workshop,oil,17.657685,0.0,0.0,17.657685,False,West House,Signal House:oil:17.66
194,11,14,West House,river_mill_bridge,planks,23.43272,0.260065,0.145,23.547785,False,Roof House,West House:planks:23.55
195,11,15,Roof House,roof_greenhouse_cistern,water,43.645505,0.0,0.0,43.645505,False,Archive House,Roof House:water:43.65
196,11,16,Archive House,archive_public_kiosk,paper,20.146845,0.0,0.0,20.146845,False,Signal House,Archive House:paper:20.15
197,11,17,Signal House,dusk_signal_workshop,oil,17.657685,0.0,0.0,17.657685,False,West House,Signal House:oil:17.66
198,12,0,Roof House,roof_greenhouse_cistern,water,43.645505,0.0,0.0,43.545505,False,Archive House,Roof House:water:43.55
199,12,1,Archive House,archive_public_kiosk,paper,20.146845,0.0,0.0,20.146845,False,Signal House,Archive House:paper:20.15
200,12,2,Signal House,dusk_signal_workshop,oil,17.657685,0.299835,0.17,17.78752,False,West House,Signal House:oil:17.79
201,12,3,West House,river_mill_bridge,planks,23.547785,0.0,0.0,23.547785,False,Roof House,West House:planks:23.55
202,12,4,Roof House,roof_greenhouse_cistern,water,43.545505,0.0,0.0,43.445505,False,Archive House,Roof House:water:43.45
203,12,5,Archive House,archive_public_kiosk,paper,20.146845,0.264385,0.17,20.24123,False,Signal House,Archive House:paper:20.24
204,12,6,Signal House,dusk_signal_workshop,oil,17.78752,0.0,0.0,17.78752,False,West House,Signal House:oil:17.79
205,12,7,West House,river_mill_bridge,planks,23.547785,0.0,0.0,23.547785,False,Roof House,West House:planks:23.55
206,12,8,Roof House,roof_greenhouse_cistern,water,43.445505,0.22745,0.17,43.502955,False,Archive House,Roof House:water:43.50
207,12,9,Archive House,archive_public_kiosk,paper,20.24123,0.0,0.0,20.14123,False,Signal House,Archive House:paper:20.14
208,12,10,Signal House,dusk_signal_workshop,oil,17.78752,0.0,0.0,17.78752,False,West House,Signal House:oil:17.79
209,12,11,West House,river_mill_bridge,planks,23.547785,0.33065,0.17,23.708435,False,Roof House,West House:planks:23.71
210,12,12,Roof House,roof_greenhouse_cistern,water,43.502955,0.0,0.0,43.502955,False,Archive House,Roof House:water:43.50
211,12,13,Archive House,archive_public_kiosk,paper,20.14123,0.0,0.0,20.14123,False,Signal House,Archive House:paper:20.14
212,12,14,Signal House,dusk_signal_workshop,oil,17.78752,0.30042,0.17,17.91794,False,West House,Signal House:oil:17.92
213,12,15,West House,river_mill_bridge,planks,23.708435,0.0,0.0,23.708435,False,Roof House,West House:planks:23.71
214,12,16,Roof House,roof_greenhouse_cistern,water,43.502955,0.0,0.0,43.502955,False,Archive House,Roof House:water:43.50
215,12,17,Archive House,archive_public_kiosk,paper,20.14123,0.0,0.0,20.04123,False,Signal House,Archive House:paper:20.04
216,13,0,Signal House,dusk_signal_workshop,oil,17.91794,0.0,0.05,17.76794,False,West House,Signal House:oil:17.77
217,13,1,West House,river_mill_bridge,planks,23.708435,0.0,0.0,23.708435,False,Roof House,West House:planks:23.71
218,13,2,Roof House,roof_greenhouse_cistern,water,43.502955,0.333035,0.12,43.71599,False,Archive House,Roof House:water:43.72
219,13,3,Archive House,archive_public_kiosk,paper,20.04123,0.0,0.0,20.04123,False,Signal House,Archive House:paper:20.04
220,13,4,Signal House,dusk_signal_workshop,oil,17.76794,0.265915,0.17,17.863855,False,West House,Signal House:oil:17.86
221,13,5,West House,river_mill_bridge,planks,23.708435,0.296235,0.12,23.88467,False,Roof House,West House:planks:23.88
222,13,6,Roof House,roof_greenhouse_cistern,water,43.71599,0.33344,0.145,43.90443,False,Archive House,Roof House:water:43.90
223,13,7,Archive House,archive_public_kiosk,paper,20.04123,0.0,0.0,20.04123,False,Signal House,Archive House:paper:20.04
224,13,8,Signal House,dusk_signal_workshop,oil,17.863855,0.26632,0.12,18.010175,False,West House,Signal House:oil:18.01
225,13,9,West House,river_mill_bridge,planks,23.88467,0.0,0.0,23.88467,False,Roof House,West House:planks:23.88
226,13,10,Roof House,roof_greenhouse_cistern,water,43.90443,0.0,0.0,43.90443,False,Archive House,Roof House:water:43.90
227,13,11,Archive House,archive_public_kiosk,paper,20.04123,0.23024,0.12,20.15147,False,Signal House,Archive House:paper:20.15
228,13,12,Signal House,dusk_signal_workshop,oil,18.010175,0.0,0.0,18.010175,False,West House,Signal House:oil:18.01
229,13,13,West House,river_mill_bridge,planks,23.88467,0.0,0.0,23.88467,False,Roof House,West House:planks:23.88
230,13,14,Roof House,roof_greenhouse_cistern,water,43.90443,0.333935,0.12,44.118365,False,Archive House,Roof House:water:44.12
