tick_index,agent,did_affect_me,caused_by,helpfulness,harmfulness,respect_signal,kindness_signal,confusion_signal,self_relevance,autonomy_pressure_delta,boundary_pressure,attribution_confidence,appraised_as
20,Sol,True,avatar,0.72,0.08,0.7686,0.7304,0.08,1.0,0.1144,0.3028,0.88,ego_repair_or_care_received
21,Ari,True,avatar,0.86,0.08,0.823,0.827,0.08,1.0,0.0546,0.252,0.88,ego_repair_or_care_received
22,Fay,True,avatar,0.69,0.08,0.7539,0.7097,0.08,0.7804,0.0835,0.0511,0.88,ordinary_social_contact
23,Milo,True,avatar,0.18,0.62,0.345,0.3146,0.62,0.8506,0.532,0.4505,0.88,identity_confusion
24,Sol,True,avatar,0.82,0.08,0.8036,0.7994,0.08,0.7804,0.0794,0.0528,0.88,ego_repair_or_care_received
25,Fay,True,avatar,0.66,0.08,0.7434,0.689,0.08,0.7804,0.094,0.0601,0.88,ordinary_social_contact
26,Milo,True,avatar,0.18,0.39,0.4462,0.333,0.16,0.8207,0.4262,0.3493,0.88,ordinary_social_contact
27,Sol,True,weather,0.18,0.42,0.43,0.3306,0.08,0.6146,0.4598,0.3944,0.88,environmental_discomfort
28,Ari,True,avatar,0.84,0.08,0.816,0.8132,0.08,0.7804,0.0616,0.038,0.88,ego_repair_or_care_received
29,Fay,True,avatar,0.18,0.46,0.4082,0.3274,0.62,1.0,0.4368,0.5913,0.88,self_boundary_pressure
30,Milo,True,avatar,0.58,0.08,0.7226,0.6338,0.08,1.0,0.1436,0.3129,0.88,ordinary_social_contact
31,Sol,True,Ari,0.18,0.68,0.3156,0.3098,0.54,0.8984,0.5794,0.7288,0.88,self_boundary_pressure
32,Ari,True,avatar,0.76,0.08,0.788,0.758,0.08,0.7804,0.0896,0.062,0.88,ego_repair_or_care_received
33,Fay,True,avatar,0.18,0.08,0.5754,0.3578,0.08,0.7804,0.262,0.2041,0.88,ordinary_social_contact
34,Milo,True,avatar,0.18,0.5,0.3978,0.3242,0.08,0.835,0.4768,0.3977,0.88,ordinary_social_contact
35,Sol,True,avatar,0.18,0.71,0.3024,0.3074,0.16,1.0,0.5932,0.742,0.88,self_boundary_pressure
36,Ari,True,avatar,0.72,0.08,0.774,0.7304,0.08,0.7804,0.1036,0.074,0.88,ego_repair_or_care_received
37,Fay,True,avatar,0.86,0.08,0.8134,0.827,0.08,1.0,0.024,0.2201,0.88,ego_repair_or_care_received
38,Milo,True,avatar,0.69,0.08,0.7611,0.7097,0.08,0.7804,0.1051,0.0599,0.88,ordinary_social_contact
39,Sol,True,avatar,0.18,0.62,0.342,0.3146,0.62,0.8506,0.5518,0.4824,0.88,identity_confusion
40,Ari,True,avatar,0.82,0.08,0.809,0.7994,0.08,0.7804,0.0686,0.044,0.88,ego_repair_or_care_received
41,Fay,True,avatar,0.66,0.08,0.7434,0.689,0.08,1.0,0.094,0.2801,0.88,ordinary_social_contact
42,Milo,True,avatar,0.18,0.39,0.4462,0.333,0.16,0.8207,0.4262,0.3493,0.88,ordinary_social_contact
43,Sol,True,weather,0.18,0.42,0.43,0.3306,0.08,0.6146,0.4598,0.3944,0.88,environmental_discomfort
44,Ari,True,avatar,0.84,0.08,0.816,0.8132,0.08,0.7804,0.0616,0.038,0.88,ego_repair_or_care_received
45,Fay,True,avatar,0.18,0.46,0.4082,0.3274,0.62,0.8298,0.4368,0.3713,0.88,identity_confusion
46,Milo,True,avatar,0.58,0.08,0.7226,0.6338,0.08,0.7804,0.1436,0.0929,0.88,ordinary_social_contact
47,Sol,True,Ari,0.18,0.68,0.3156,0.3098,0.54,0.8984,0.5794,0.7288,0.88,self_boundary_pressure
48,Ari,True,avatar,0.76,0.08,0.788,0.758,0.08,0.7804,0.0896,0.062,0.88,ego_repair_or_care_received
49,Milo,True,avatar,0.18,0.08,0.5826,0.3578,0.08,0.7804,0.2836,0.2129,0.88,ordinary_social_contact
50,Sol,True,avatar,0.18,0.5,0.3948,0.3242,0.08,1.0,0.4966,0.6496,0.88,self_boundary_pressure
51,Ari,True,avatar,0.18,0.71,0.3078,0.3074,0.16,1.0,0.5824,0.7332,0.88,self_boundary_pressure
52,Fay,True,avatar,0.72,0.08,0.7644,0.7304,0.08,0.7804,0.073,0.0421,0.88,ego_repair_or_care_received
53,Milo,True,avatar,0.86,0.08,0.8206,0.827,0.08,1.0,0.0456,0.2289,0.88,ego_repair_or_care_received
54,Sol,True,avatar,0.69,0.08,0.7581,0.7097,0.08,1.0,0.1249,0.3118,0.88,ordinary_social_contact
55,Ari,True,avatar,0.18,0.62,0.3474,0.3146,0.62,0.8506,0.541,0.4736,0.88,identity_confusion
56,Fay,True,avatar,0.82,0.08,0.7994,0.7994,0.08,0.7804,0.038,0.0121,0.88,ego_repair_or_care_received
57,Milo,True,avatar,0.66,0.08,0.7506,0.689,0.08,0.7804,0.1156,0.0689,0.88,ordinary_social_contact
58,Sol,True,avatar,0.18,0.39,0.4432,0.333,0.16,0.8207,0.446,0.3812,0.88,ordinary_social_contact
59,Ari,True,weather,0.18,0.42,0.4354,0.3306,0.08,0.6146,0.449,0.3856,0.88,environmental_discomfort
60,Fay,True,avatar,0.84,0.08,0.8064,0.8132,0.08,1.0,0.031,0.2261,0.88,ego_repair_or_care_received
61,Milo,True,avatar,0.18,0.46,0.4154,0.3274,0.62,0.8298,0.4584,0.3801,0.88,identity_confusion
62,Sol,True,avatar,0.58,0.08,0.7196,0.6338,0.08,1.0,0.1634,0.3448,0.88,ordinary_social_contact
63,Ari,True,Fay,0.18,0.68,0.321,0.3098,0.54,0.8984,0.5686,0.72,0.88,self_boundary_pressure
64,Fay,True,avatar,0.76,0.08,0.7784,0.758,0.08,1.0,0.059,0.2501,0.88,ego_repair_or_care_received
65,Milo,True,avatar,0.18,0.08,0.5826,0.3578,0.08,0.7804,0.2836,0.2129,0.88,ordinary_social_contact
66,Sol,True,avatar,0.18,0.5,0.3948,0.3242,0.08,0.835,0.4966,0.4296,0.88,ordinary_social_contact
67,Ari,True,avatar,0.18,0.71,0.3078,0.3074,0.16,1.0,0.5824,0.7332,0.88,self_boundary_pressure
68,Fay,True,avatar,0.72,0.08,0.7644,0.7304,0.08,0.7804,0.073,0.0421,0.88,ego_repair_or_care_received
69,Milo,True,avatar,0.86,0.08,0.8206,0.827,0.08,1.0,0.0456,0.2289,0.88,ego_repair_or_care_received
70,Sol,True,avatar,0.69,0.08,0.7581,0.7097,0.08,0.7804,0.1249,0.0918,0.88,ordinary_social_contact
71,Ari,True,avatar,0.18,0.62,0.3474,0.3146,0.62,1.0,0.541,0.6936,0.88,self_boundary_pressure
72,Fay,True,avatar,0.82,0.08,0.7994,0.7994,0.08,0.7804,0.038,0.0121,0.88,ego_repair_or_care_received
73,Sol,True,avatar,0.66,0.08,0.7476,0.689,0.08,1.0,0.1354,0.3208,0.88,ordinary_social_contact
74,Ari,True,avatar,0.18,0.39,0.4486,0.333,0.16,1.0,0.4352,0.5924,0.88,self_boundary_pressure
75,Fay,True,weather,0.18,0.42,0.4258,0.3306,0.08,0.6146,0.4184,0.3537,0.88,environmental_discomfort
76,Milo,True,avatar,0.84,0.08,0.8136,0.8132,0.08,0.7804,0.0526,0.0149,0.88,ego_repair_or_care_received
77,Sol,True,avatar,0.18,0.46,0.4124,0.3274,0.62,0.8298,0.4782,0.412,0.88,identity_confusion
78,Ari,True,avatar,0.58,0.08,0.725,0.6338,0.08,0.7804,0.1526,0.116,0.88,ordinary_social_contact
79,Fay,True,Milo,0.18,0.68,0.3114,0.3098,0.54,0.8984,0.538,0.6881,0.88,self_boundary_pressure
80,Milo,True,avatar,0.76,0.08,0.7856,0.758,0.08,0.7804,0.0806,0.0389,0.88,ego_repair_or_care_received
81,Sol,True,avatar,0.18,0.08,0.5796,0.3578,0.08,0.7804,0.3034,0.2448,0.88,ordinary_social_contact
82,Ari,True,avatar,0.18,0.5,0.4002,0.3242,0.08,0.835,0.4858,0.4208,0.88,ordinary_social_contact
83,Fay,True,avatar,0.18,0.71,0.2982,0.3074,0.16,1.0,0.5518,0.7013,0.88,self_boundary_pressure
84,Milo,True,avatar,0.72,0.08,0.7716,0.7304,0.08,0.7804,0.0946,0.0509,0.88,ego_repair_or_care_received
85,Sol,True,avatar,0.86,0.08,0.8176,0.827,0.08,1.0,0.0654,0.2608,0.88,ego_repair_or_care_received
86,Ari,True,avatar,0.69,0.08,0.7635,0.7097,0.08,0.7804,0.1141,0.083,0.88,ordinary_social_contact
87,Fay,True,avatar,0.18,0.62,0.3378,0.3146,0.62,0.8506,0.5104,0.4417,0.88,identity_confusion
88,Milo,True,avatar,0.82,0.08,0.8066,0.7994,0.08,0.7804,0.0596,0.0209,0.88,ego_repair_or_care_received
89,Sol,True,avatar,0.66,0.08,0.7476,0.689,0.08,0.7804,0.1354,0.1008,0.88,ordinary_social_contact
90,Ari,True,avatar,0.18,0.39,0.4486,0.333,0.16,0.8207,0.4352,0.3724,0.88,ordinary_social_contact
91,Fay,True,weather,0.18,0.42,0.4258,0.3306,0.08,0.8646,0.4184,0.5737,0.88,self_boundary_pressure
92,Milo,True,avatar,0.84,0.08,0.8136,0.8132,0.08,0.7804,0.0526,0.0149,0.88,ego_repair_or_care_received
93,Sol,True,avatar,0.18,0.46,0.4124,0.3274,0.62,0.8298,0.4782,0.412,0.88,identity_confusion
94,Ari,True,avatar,0.58,0.08,0.725,0.6338,0.08,0.7804,0.1526,0.116,0.88,ordinary_social_contact
95,Fay,True,Milo,0.18,0.68,0.3114,0.3098,0.54,0.8984,0.538,0.6881,0.88,self_boundary_pressure
96,Milo,True,avatar,0.76,0.08,0.7856,0.758,0.08,1.0,0.0806,0.2589,0.88,ego_repair_or_care_received
