tick,day,ceremony_id,scene_id,object_name,object_x,object_y,ceremony_phase_before,ceremony_phase_after,persisted_to_storage,restored_from_storage,owner_preserved,ceremony_state_score
18,2,v21-ceremony-d02-t03,v21-scene-d02,tally beads,6.484778,5.225402,repair,restored,1,1,1,1.0
19,2,v21-ceremony-d02-t04,v21-scene-d02,ink ledger,4.610168,5.395487,idle,prompt,1,0,1,1.0
20,2,v21-ceremony-d02-t05,v21-scene-d02,sap hook,8.043126,5.865698,approach,restored,1,1,1,1.0
21,2,v21-ceremony-d02-t06,v21-scene-d02,listening shell,3.782337,4.136859,prompt,prompt,1,0,1,1.0
22,2,v21-ceremony-d02-t07,v21-scene-d02,ember bowl,4.62624,2.90977,handoff,prompt,1,0,1,1.0
23,2,v21-ceremony-d02-t08,v21-scene-d02,path cord,7.573083,3.285182,marked,prompt,1,0,1,1.0
24,2,v21-ceremony-d02-t09,v21-scene-d02,tally beads,6.721,5.063776,restored,prompt,1,0,1,1.0
25,2,v21-ceremony-d02-t10,v21-scene-d02,ink ledger,4.868079,5.246145,repair,prompt,1,0,1,1.0
26,2,v21-ceremony-d02-t11,v21-scene-d02,sap hook,8.312444,5.732777,idle,idle,0,0,1,0.705
27,2,v21-ceremony-d02-t12,v21-scene-d02,listening shell,4.052326,4.024045,approach,prompt,1,0,1,1.0
28,2,v21-ceremony-d02-t13,v21-scene-d02,ember bowl,4.886136,2.820188,prompt,prompt,1,0,1,1.0
29,2,v21-ceremony-d02-t14,v21-scene-d02,path cord,7.812525,3.221315,handoff,prompt,1,0,1,1.0
30,3,v21-ceremony-d03-t00,v21-scene-d03,ink ledger,5.030441,5.227394,restored,handoff,1,0,1,1.0
31,3,v21-ceremony-d03-t01,v21-scene-d03,sap hook,8.43917,5.738256,repair,repair,0,0,1,0.75
32,3,v21-ceremony-d03-t02,v21-scene-d03,listening shell,4.138364,4.053601,idle,prompt,1,0,1,1.0
33,3,v21-ceremony-d03-t03,v21-scene-d03,ember bowl,4.928056,2.873003,approach,prompt,0,0,1,0.75
34,3,v21-ceremony-d03-t04,v21-scene-d03,path cord,7.808655,3.295924,prompt,handoff,1,0,1,1.0
35,3,v21-ceremony-d03-t05,v21-scene-d03,tally beads,6.880937,5.12173,handoff,prompt,1,0,1,1.0
36,3,v21-ceremony-d03-t06,v21-scene-d03,ink ledger,4.946004,5.349705,marked,prompt,1,0,1,1.0
37,3,v21-ceremony-d03-t07,v21-scene-d03,sap hook,8.305251,5.879074,restored,prompt,1,0,1,1.0
38,3,v21-ceremony-d03-t08,v21-scene-d03,listening shell,3.960302,4.209023,repair,prompt,1,0,1,1.0
39,3,v21-ceremony-d03-t09,v21-scene-d03,ember bowl,4.712949,3.038722,idle,prompt,1,0,1,1.0
40,3,v21-ceremony-d03-t10,v21-scene-d03,path cord,7.56508,3.467347,approach,handoff,1,0,1,1.0
41,3,v21-ceremony-d03-t11,v21-scene-d03,tally beads,6.618603,5.294106,prompt,prompt,1,1,1,1.0
42,3,v21-ceremony-d03-t12,v21-scene-d03,ink ledger,4.675371,5.518258,handoff,prompt,1,0,1,1.0
43,3,v21-ceremony-d03-t13,v21-scene-d03,sap hook,8.037107,6.039131,marked,prompt,1,0,1,1.0
44,3,v21-ceremony-d03-t14,v21-scene-d03,listening shell,3.705338,4.356149,restored,restored,1,1,1,1.0
45,4,v21-ceremony-d04-t00,v21-scene-d04,path cord,7.381329,3.56884,idle,prompt,1,0,1,1.0
46,4,v21-ceremony-d04-t01,v21-scene-d04,tally beads,6.466038,5.376851,approach,restored,1,1,1,1.0
47,4,v21-ceremony-d04-t02,v21-scene-d04,ink ledger,4.560074,5.579962,prompt,restored,1,1,1,1.0
48,4,v21-ceremony-d04-t03,v21-scene-d04,sap hook,7.963675,6.078084,handoff,prompt,1,0,0,0.75
49,4,v21-ceremony-d04-t04,v21-scene-d04,listening shell,3.676698,4.371272,marked,prompt,1,0,1,1.0
50,4,v21-ceremony-d04-t05,v21-scene-d04,ember bowl,4.498623,3.159713,restored,prompt,1,0,1,1.0
51,4,v21-ceremony-d04-t06,v21-scene-d04,path cord,7.428576,3.543728,repair,prompt,1,0,1,1.0
52,4,v21-ceremony-d04-t07,v21-scene-d04,tally beads,6.565364,5.323759,idle,prompt,1,0,1,1.0
53,4,v21-ceremony-d04-t08,v21-scene-d04,ink ledger,4.707519,5.500361,approach,prompt,1,0,1,1.0
54,4,v21-ceremony-d04-t09,v21-scene-d04,sap hook,8.153361,5.974181,prompt,prompt,1,0,1,1.0
55,4,v21-ceremony-d04-t10,v21-scene-d04,listening shell,3.901062,4.245946,handoff,prompt,1,0,1,1.0
56,4,v21-ceremony-d04-t11,v21-scene-d04,ember bowl,4.748721,3.016437,marked,prompt,1,0,1,1.0
57,4,v21-ceremony-d04-t12,v21-scene-d04,path cord,7.694438,3.386473,restored,prompt,1,0,1,1.0
58,4,v21-ceremony-d04-t13,v21-scene-d04,tally beads,6.83639,5.156883,repair,prompt,1,0,1,1.0
59,4,v21-ceremony-d04-t14,v21-scene-d04,ink ledger,4.972904,5.328489,idle,prompt,1,0,1,1.0
60,5,v21-ceremony-d05-t00,v21-scene-d05,listening shell,4.102525,4.102076,prompt,prompt,1,0,1,1.0
61,5,v21-ceremony-d05-t01,v21-scene-d05,ember bowl,4.924072,2.878377,handoff,restored,1,1,1,1.0
62,5,v21-ceremony-d05-t02,v21-scene-d05,path cord,7.836686,3.258049,marked,prompt,1,0,1,1.0
63,5,v21-ceremony-d05-t03,v21-scene-d05,tally beads,6.939864,5.041655,restored,prompt,1,0,1,1.0
64,5,v21-ceremony-d05-t04,v21-scene-d05,ink ledger,5.03348,5.229649,repair,prompt,0,0,1,0.75
65,5,v21-ceremony-d05-t05,v21-scene-d05,sap hook,8.417787,5.722364,idle,prompt,1,0,1,1.0
66,5,v21-ceremony-d05-t06,v21-scene-d05,listening shell,4.093412,4.020002,approach,approach,0,0,1,0.75
67,5,v21-ceremony-d05-t07,v21-scene-d05,ember bowl,4.861326,2.822628,prompt,prompt,1,0,1,1.0
68,5,v21-ceremony-d05-t08,v21-scene-d05,path cord,7.722809,3.23017,handoff,prompt,1,0,1,1.0
69,5,v21-ceremony-d05-t09,v21-scene-d05,tally beads,6.779396,5.042419,marked,restored,1,1,1,1.0
70,5,v21-ceremony-d05-t10,v21-scene-d05,ink ledger,4.832817,5.259034,restored,prompt,1,0,1,1.0
71,5,v21-ceremony-d05-t11,v21-scene-d05,sap hook,8.18493,5.779557,repair,repair,0,0,1,0.75
72,5,v21-ceremony-d05-t12,v21-scene-d05,listening shell,3.837644,4.103417,idle,handoff,1,0,1,1.0
73,5,v21-ceremony-d05-t13,v21-scene-d05,ember bowl,4.592844,2.929954,approach,prompt,1,0,1,1.0
74,5,v21-ceremony-d05-t14,v21-scene-d05,path cord,7.452315,3.358432,prompt,prompt,1,0,1,1.0
75,6,v21-ceremony-d06-t00,v21-scene-d06,ink ledger,4.617675,5.388062,marked,prompt,1,0,1,1.0
76,6,v21-ceremony-d06-t01,v21-scene-d06,sap hook,7.990303,5.918023,restored,handoff,1,0,1,1.0
77,6,v21-ceremony-d06-t02,v21-scene-d06,listening shell,3.671291,4.247485,repair,prompt,1,0,1,1.0
78,6,v21-ceremony-d06-t03,v21-scene-d06,ember bowl,4.461397,3.07563,idle,handoff,1,0,1,1.0
79,6,v21-ceremony-d06-t04,v21-scene-d06,path cord,7.361016,3.50168,approach,prompt,1,0,1,1.0
80,6,v21-ceremony-d06-t05,v21-scene-d06,tally beads,6.470162,5.324911,prompt,restored,1,1,1,1.0
81,6,v21-ceremony-d06-t06,v21-scene-d06,ink ledger,4.588471,5.544681,handoff,prompt,1,0,1,1.0
82,6,v21-ceremony-d06-t07,v21-scene-d06,sap hook,8.015212,6.060441,marked,prompt,1,1,1,1.0
83,6,v21-ceremony-d06-t08,v21-scene-d06,listening shell,3.749321,4.371755,restored,prompt,1,0,1,1.0
84,6,v21-ceremony-d06-t09,v21-scene-d06,ember bowl,4.589437,3.178309,repair,prompt,1,0,1,1.0
85,6,v21-ceremony-d06-t10,v21-scene-d06,path cord,7.533961,3.579922,idle,prompt,1,0,1,1.0
86,6,v21-ceremony-d06-t11,v21-scene-d06,tally beads,6.681117,5.376548,approach,prompt,1,0,1,1.0
87,6,v21-ceremony-d06-t12,v21-scene-d06,ink ledger,4.829026,5.568281,prompt,prompt,1,0,1,1.0
88,6,v21-ceremony-d06-t13,v21-scene-d06,sap hook,8.275779,6.055351,handoff,handoff,1,0,1,1.0
89,6,v21-ceremony-d06-t14,v21-scene-d06,listening shell,4.019509,4.338115,marked,prompt,1,0,1,1.0
90,7,v21-ceremony-d07-t00,v21-scene-d07,path cord,7.758476,3.517052,repair,handoff,1,0,1,1.0
91,7,v21-ceremony-d07-t01,v21-scene-d07,tally beads,6.891125,5.292745,idle,prompt,1,0,0,0.75
92,7,v21-ceremony-d07-t02,v21-scene-d07,ink ledger,5.016154,5.465867,approach,prompt,1,0,1,1.0
93,7,v21-ceremony-d07-t03,v21-scene-d07,sap hook,8.432565,5.937164,prompt,prompt,1,0,1,1.0
94,7,v21-ceremony-d07-t04,v21-scene-d07,listening shell,4.139705,4.207431,handoff,prompt,1,0,1,1.0
95,7,v21-ceremony-d07-t05,v21-scene-d07,ember bowl,4.937289,2.977492,marked,prompt,0,0,1,0.75
96,7,v21-ceremony-d07-t06,v21-scene-d07,path cord,7.825413,3.348177,restored,prompt,1,0,1,1.0
97,7,v21-ceremony-d07-t07,v21-scene-d07,tally beads,6.90455,5.120299,repair,handoff,1,0,1,1.0
98,7,v21-ceremony-d07-t08,v21-scene-d07,ink ledger,4.975533,5.294628,idle,prompt,1,0,1,1.0
99,7,v21-ceremony-d07-t09,v21-scene-d07,sap hook,8.339517,5.771879,approach,prompt,1,0,1,1.0
100,7,v21-ceremony-d07-t10,v21-scene-d07,listening shell,3.99794,4.052679,prompt,prompt,1,0,1,1.0
101,7,v21-ceremony-d07-t11,v21-scene-d07,ember bowl,4.752458,2.837563,handoff,restored,1,1,1,1.0
102,7,v21-ceremony-d07-t12,v21-scene-d07,path cord,7.604884,3.226948,marked,prompt,1,0,1,1.0
103,7,v21-ceremony-d07-t13,v21-scene-d07,tally beads,6.657116,5.02113,restored,prompt,1,0,1,1.0
104,7,v21-ceremony-d07-t14,v21-scene-d07,ink ledger,4.711058,5.220268,repair,prompt,1,0,1,1.0
105,8,v21-ceremony-d08-t00,v21-scene-d08,listening shell,3.768545,4.024387,approach,prompt,1,0,1,1.0
106,8,v21-ceremony-d08-t01,v21-scene-d08,ember bowl,4.531273,2.833374,prompt,handoff,1,0,1,1.0
107,8,v21-ceremony-d08-t02,v21-scene-d08,path cord,7.400728,3.246978,handoff,prompt,1,0,1,1.0
108,8,v21-ceremony-d08-t03,v21-scene-d08,tally beads,6.478127,5.064822,marked,prompt,1,0,1,1.0
109,8,v21-ceremony-d08-t04,v21-scene-d08,ink ledger,4.564371,5.286413,restored,prompt,1,0,1,1.0
110,8,v21-ceremony-d08-t05,v21-scene-d08,sap hook,7.960009,5.811152,repair,handoff,1,0,1,1.0
111,8,v21-ceremony-d08-t06,v21-scene-d08,listening shell,3.665215,4.138353,idle,idle,0,0,1,0.705
112,8,v21-ceremony-d08-t07,v21-scene-d08,ember bowl,4.479781,2.967263,approach,prompt,1,0,1,1.0
113,8,v21-ceremony-d08-t08,v21-scene-d08,path cord,7.403127,3.39708,prompt,prompt,1,0,1,1.0
114,8,v21-ceremony-d08-t09,v21-scene-d08,tally beads,6.534321,5.226978,handoff,prompt,1,0,1,1.0
115,8,v21-ceremony-d08-t10,v21-scene-d08,ink ledger,4.67212,5.456128,marked,handoff,1,0,1,1.0
116,8,v21-ceremony-d08-t11,v21-scene-d08,sap hook,8.115017,5.983723,restored,restored,1,1,1,1.0
117,8,v21-ceremony-d08-t12,v21-scene-d08,listening shell,3.861303,4.308997,repair,handoff,1,0,1,1.0
118,8,v21-ceremony-d08-t13,v21-scene-d08,ember bowl,4.709131,3.131251,idle,restored,1,1,1,1.0
119,8,v21-ceremony-d08-t14,v21-scene-d08,path cord,7.656595,3.549867,approach,prompt,1,0,1,1.0
120,9,v21-ceremony-d09-t00,v21-scene-d09,ink ledger,4.901803,5.56433,handoff,prompt,1,0,1,1.0
121,9,v21-ceremony-d09-t01,v21-scene-d09,sap hook,8.342952,6.074239,marked,marked,1,0,1,1.0
122,9,v21-ceremony-d09-t02,v21-scene-d09,listening shell,4.078402,4.379319,restored,restored,1,1,1,1.0
123,9,v21-ceremony-d09-t03,v21-scene-d09,ember bowl,4.90674,3.179429,repair,prompt,1,1,1,1.0
124,9,v21-ceremony-d09-t04,v21-scene-d09,path cord,7.826836,3.574567,idle,handoff,1,0,1,1.0
125,9,v21-ceremony-d09-t05,v21-scene-d09,tally beads,6.937889,5.364867,approach,prompt,1,0,1,1.0
126,9,v21-ceremony-d09-t06,v21-scene-d09,ink ledger,5.039457,5.550598,prompt,prompt,0,0,1,0.75
127,9,v21-ceremony-d09-t07,v21-scene-d09,sap hook,8.43148,6.032155,handoff,prompt,1,0,1,1.0
128,9,v21-ceremony-d09-t08,v21-scene-d09,listening shell,4.114274,4.31005,marked,prompt,1,0,1,1.0
129,9,v21-ceremony-d09-t09,v21-scene-d09,ember bowl,4.888525,3.084895,restored,prompt,1,0,1,1.0
130,9,v21-ceremony-d09-t10,v21-scene-d09,path cord,7.755261,3.457387,repair,handoff,1,0,1,1.0
131,9,v21-ceremony-d09-t11,v21-scene-d09,tally beads,6.815806,5.228289,idle,prompt,1,0,1,1.0
132,9,v21-ceremony-d09-t12,v21-scene-d09,ink ledger,4.871735,5.398407,approach,prompt,1,0,1,1.0
133,9,v21-ceremony-d09-t13,v21-scene-d09,sap hook,8.224805,5.868569,prompt,prompt,1,0,1,1.0
134,9,v21-ceremony-d09-t14,v21-scene-d09,listening shell,3.876885,4.139602,handoff,prompt,1,0,0,0.75
135,10,v21-ceremony-d10-t00,v21-scene-d10,path cord,7.529887,3.312309,restored,prompt,1,0,1,1.0
136,10,v21-ceremony-d10-t01,v21-scene-d10,tally beads,6.585684,5.087446,repair,prompt,1,0,1,1.0
137,10,v21-ceremony-d10-t02,v21-scene-d10,ink ledger,4.646038,5.265702,idle,prompt,1,0,1,1.0
138,10,v21-ceremony-d10-t03,v21-scene-d10,sap hook,8.01253,5.74768,approach,prompt,1,0,1,1.0
139,10,v21-ceremony-d10-t04,v21-scene-d10,listening shell,3.686497,4.03388,prompt,prompt,1,0,1,1.0
140,10,v21-ceremony-d10-t05,v21-scene-d10,ember bowl,4.468975,2.824683,handoff,prompt,1,0,1,1.0
141,10,v21-ceremony-d10-t06,v21-scene-d10,path cord,7.360663,3.220345,marked,prompt,1,0,1,1.0
142,10,v21-ceremony-d10-t07,v21-scene-d10,tally beads,6.461893,5.020986,restored,prompt,1,0,1,1.0
143,10,v21-ceremony-d10-t08,v21-scene-d10,ink ledger,4.572615,5.226588,repair,prompt,1,0,1,1.0
144,10,v21-ceremony-d10-t09,v21-scene-d10,sap hook,7.992402,5.736996,idle,prompt,1,0,1,1.0
145,10,v21-ceremony-d10-t10,v21-scene-d10,listening shell,3.720466,4.051921,approach,prompt,1,0,1,1.0
146,10,v21-ceremony-d10-t11,v21-scene-d10,ember bowl,4.555687,2.87095,prompt,prompt,1,0,1,1.0
147,10,v21-ceremony-d10-t12,v21-scene-d10,path cord,7.496662,3.293556,handoff,prompt,1,0,1,1.0
148,10,v21-ceremony-d10-t13,v21-scene-d10,tally beads,6.641756,5.119111,marked,prompt,1,0,1,1.0
149,10,v21-ceremony-d10-t14,v21-scene-d10,ink ledger,4.789172,5.346908,restored,prompt,1,0,1,1.0
150,11,v21-ceremony-d11-t00,v21-scene-d11,listening shell,3.93702,4.176177,idle,prompt,1,0,1,1.0
151,11,v21-ceremony-d11-t01,v21-scene-d11,ember bowl,4.783392,3.006105,approach,handoff,1,0,1,1.0
152,11,v21-ceremony-d11-t02,v21-scene-d11,path cord,7.72644,3.435865,prompt,prompt,1,0,1,1.0
153,11,v21-ceremony-d11-t03,v21-scene-d11,tally beads,6.864447,5.264631,handoff,handoff,1,0,1,1.0
154,11,v21-ceremony-d11-t04,v21-scene-d11,ink ledger,4.995897,5.491605,marked,restored,1,1,1,1.0
155,11,v21-ceremony-d11-t05,v21-scene-d11,sap hook,8.419538,6.016041,restored,prompt,1,0,1,1.0
156,11,v21-ceremony-d11-t06,v21-scene-d11,listening shell,4.134427,4.337261,repair,handoff,1,0,1,1.0
157,11,v21-ceremony-d11-t07,v21-scene-d11,ember bowl,4.93997,3.154676,idle,prompt,0,0,1,0.75
158,11,v21-ceremony-d11-t08,v21-scene-d11,path cord,7.835946,3.567806,approach,prompt,1,0,1,1.0
159,11,v21-ceremony-d11-t09,v21-scene-d11,tally beads,6.922515,5.376284,prompt,prompt,1,0,1,1.0
160,11,v21-ceremony-d11-t10,v21-scene-d11,ink ledger,5.000214,5.579878,handoff,restored,1,1,1,1.0
161,11,v21-ceremony-d11-t11,v21-scene-d11,sap hook,8.36993,6.078486,marked,prompt,1,0,1,1.0
162,11,v21-ceremony-d11-t12,v21-scene-d11,listening shell,4.032872,4.372148,restored,prompt,1,0,1,1.0
163,11,v21-ceremony-d11-t13,v21-scene-d11,ember bowl,4.790517,3.161039,repair,prompt,1,0,1,1.0
164,11,v21-ceremony-d11-t14,v21-scene-d11,path cord,7.644554,3.545467,idle,prompt,1,1,1,1.0
165,12,v21-ceremony-d12-t00,v21-scene-d12,ink ledger,4.796814,5.525863,prompt,prompt,1,0,1,1.0
166,12,v21-ceremony-d12-t01,v21-scene-d12,sap hook,8.149201,6.002772,handoff,prompt,1,0,1,1.0
167,12,v21-ceremony-d12-t02,v21-scene-d12,listening shell,3.803613,4.276832,marked,restored,1,1,1,1.0
168,12,v21-ceremony-d12-t03,v21-scene-d12,ember bowl,4.561868,3.048763,restored,prompt,1,0,1,1.0
169,12,v21-ceremony-d12-t04,v21-scene-d12,path cord,7.42563,3.419343,repair,prompt,1,0,1,1.0
170,12,v21-ceremony-d12-t05,v21-scene-d12,tally beads,6.496343,5.189386,idle,prompt,1,0,1,1.0
171,12,v21-ceremony-d12-t06,v21-scene-d12,ink ledger,4.575176,5.359724,approach,approach,0,0,1,0.75
172,12,v21-ceremony-d12-t07,v21-scene-d12,sap hook,7.962971,5.831178,prompt,prompt,1,0,1,1.0
173,12,v21-ceremony-d12-t08,v21-scene-d12,listening shell,3.660217,4.104539,handoff,prompt,1,0,1,1.0
174,12,v21-ceremony-d12-t09,v21-scene-d12,ember bowl,4.467021,2.880546,marked,restored,1,1,1,1.0
175,12,v21-ceremony-d12-t10,v21-scene-d12,path cord,7.383114,3.259863,restored,prompt,1,0,1,1.0
176,12,v21-ceremony-d12-t11,v21-scene-d12,tally beads,6.507853,5.043064,repair,repair,0,0,1,0.75
177,12,v21-ceremony-d12-t12,v21-scene-d12,ink ledger,4.640253,5.230614,idle,prompt,1,0,0,0.75
178,12,v21-ceremony-d12-t13,v21-scene-d12,sap hook,8.079021,5.722859,approach,prompt,1,0,1,1.0
179,12,v21-ceremony-d12-t14,v21-scene-d12,listening shell,3.822612,4.020013,prompt,prompt,1,0,1,1.0
180,13,v21-ceremony-d13-t00,v21-scene-d13,path cord,7.569289,3.222154,marked,prompt,1,0,1,1.0
181,13,v21-ceremony-d13-t01,v21-scene-d13,tally beads,6.71719,5.029225,restored,restored,1,1,1,1.0
182,13,v21-ceremony-d13-t02,v21-scene-d13,ink ledger,4.864405,5.241028,repair,prompt,1,0,1,1.0
183,13,v21-ceremony-d13-t03,v21-scene-d13,sap hook,8.309053,5.757237,idle,handoff,1,0,1,1.0
184,13,v21-ceremony-d13-t04,v21-scene-d13,listening shell,4.049353,4.077403,approach,handoff,1,0,1,1.0
185,13,v21-ceremony-d13-t05,v21-scene-d13,ember bowl,4.883699,2.900966,prompt,prompt,1,0,1,1.0
186,13,v21-ceremony-d13-t06,v21-scene-d13,path cord,7.810722,3.327273,handoff,restored,1,1,1,1.0
187,13,v21-ceremony-d13-t07,v21-scene-d13,tally beads,6.929344,5.155596,marked,handoff,1,0,1,1.0
188,13,v21-ceremony-d13-t08,v21-scene-d13,ink ledger,5.038822,5.38515,restored,prompt,0,0,1,0.75
189,13,v21-ceremony-d13-t09,v21-scene-d13,sap hook,8.43878,5.915115,repair,prompt,1,0,1,1.0
190,13,v21-ceremony-d13-t10,v21-scene-d13,listening shell,4.129218,4.244662,idle,handoff,1,0,1,1.0
191,13,v21-ceremony-d13-t11,v21-scene-d13,ember bowl,4.910518,3.07297,approach,prompt,1,0,1,1.0
192,13,v21-ceremony-d13-t12,v21-scene-d13,path cord,7.783425,3.499257,prompt,prompt,1,0,1,1.0
193,13,v21-ceremony-d13-t13,v21-scene-d13,tally beads,6.849019,5.322792,handoff,prompt,1,0,1,1.0
194,13,v21-ceremony-d13-t14,v21-scene-d13,ink ledger,4.908673,5.542925,marked,handoff,1,0,1,1.0
195,14,v21-ceremony-d14-t00,v21-scene-d14,listening shell,3.963994,4.359097,repair,prompt,1,0,1,1.0
196,14,v21-ceremony-d14-t01,v21-scene-d14,ember bowl,4.716764,3.170859,idle,idle,0,0,1,0.705
197,14,v21-ceremony-d14-t02,v21-scene-d14,path cord,7.568866,3.577887,approach,prompt,1,0,1,1.0
198,14,v21-ceremony-d14-t03,v21-scene-d14,tally beads,6.622209,5.379984,prompt,prompt,1,0,1,1.0
199,14,v21-ceremony-d14-t04,v21-scene-d14,ink ledger,4.678653,5.577094,handoff,prompt,1,0,1,1.0
200,14,v21-ceremony-d14-t05,v21-scene-d14,sap hook,8.039935,6.069295,marked,prompt,1,0,1,1.0
201,14,v21-ceremony-d14-t06,v21-scene-d14,listening shell,3.707598,4.356805,restored,restored,1,1,1,1.0
202,14,v21-ceremony-d14-t07,v21-scene-d14,ember bowl,4.482932,3.139969,repair,prompt,1,0,1,1.0
203,14,v21-ceremony-d14-t08,v21-scene-d14,path cord,7.366919,3.519255,idle,handoff,1,0,1,1.0
204,14,v21-ceremony-d14-t09,v21-scene-d14,tally beads,6.460199,5.295235,approach,handoff,1,0,1,1.0
205,14,v21-ceremony-d14-t10,v21-scene-d14,ink ledger,4.563039,5.468576,prompt,handoff,1,1,1,1.0
206,14,v21-ceremony-d14-t11,v21-scene-d14,sap hook,7.975325,5.940016,handoff,handoff,1,0,1,1.0
207,14,v21-ceremony-d14-t12,v21-scene-d14,listening shell,3.696569,4.210348,marked,restored,1,1,1,1.0
208,14,v21-ceremony-d14-t13,v21-scene-d14,ember bowl,4.525923,2.980392,restored,prompt,1,0,1,1.0
209,14,v21-ceremony-d14-t14,v21-scene-d14,path cord,7.462217,3.350981,repair,restored,1,1,1,1.0
210,15,v21-ceremony-d15-t00,v21-scene-d15,ink ledger,4.704004,5.322927,approach,prompt,1,0,1,1.0
211,15,v21-ceremony-d15-t01,v21-scene-d15,sap hook,8.149617,5.79701,prompt,prompt,1,0,1,1.0
212,15,v21-ceremony-d15-t02,v21-scene-d15,listening shell,3.89724,4.073946,handoff,prompt,1,0,1,1.0
213,15,v21-ceremony-d15-t03,v21-scene-d15,ember bowl,4.744972,2.854377,marked,prompt,1,0,1,1.0
214,15,v21-ceremony-d15-t04,v21-scene-d15,path cord,7.690912,3.238843,restored,prompt,1,0,1,1.0
215,15,v21-ceremony-d15-t05,v21-scene-d15,tally beads,6.833227,5.027775,repair,restored,1,1,1,1.0
216,15,v21-ceremony-d15-t06,v21-scene-d15,ink ledger,4.970231,5.22148,idle,idle,0,0,1,0.705
217,15,v21-ceremony-d15-t07,v21-scene-d15,sap hook,8.400448,5.720132,approach,prompt,1,0,1,1.0
218,15,v21-ceremony-d15-t08,v21-scene-d15,listening shell,4.122674,4.02377,prompt,handoff,1,0,1,1.0
219,15,v21-ceremony-d15-t09,v21-scene-d15,ember bowl,4.936023,2.832291,handoff,prompt,0,0,1,0.75
220,15,v21-ceremony-d15-t10,v21-scene-d15,path cord,7.839962,3.24546,marked,prompt,1,0,0,0.75
221,15,v21-ceremony-d15-t11,v21-scene-d15,tally beads,6.934335,5.062912,restored,prompt,1,0,1,1.0
222,15,v21-ceremony-d15-t12,v21-scene-d15,ink ledger,5.019366,5.284163,repair,prompt,1,0,1,1.0
223,15,v21-ceremony-d15-t13,v21-scene-d15,sap hook,8.395651,5.808625,idle,prompt,1,0,1,1.0
224,15,v21-ceremony-d15-t14,v21-scene-d15,listening shell,4.064136,4.135618,approach,prompt,1,0,1,1.0
225,16,v21-ceremony-d16-t00,v21-scene-d16,path cord,7.726077,3.364396,handoff,prompt,1,0,1,1.0
226,16,v21-ceremony-d16-t01,v21-scene-d16,tally beads,6.782993,5.194161,marked,prompt,1,0,1,1.0
227,16,v21-ceremony-d16-t02,v21-scene-d16,ink ledger,4.836599,5.424087,restored,prompt,1,0,1,1.0
228,16,v21-ceremony-d16-t03,v21-scene-d16,sap hook,8.188747,5.953346,repair,prompt,1,0,1,1.0
229,16,v21-ceremony-d16-t04,v21-scene-d16,listening shell,3.841343,4.281127,idle,handoff,1,0,1,1.0
230,16,v21-ceremony-d16-t05,v21-scene-d16,ember bowl,4.596277,3.106659,approach,restored,1,1,1,1.0
231,16,v21-ceremony-d16-t06,v21-scene-d16,path cord,7.455347,3.529235,prompt,prompt,1,0,1,1.0
232,16,v21-ceremony-d16-t07,v21-scene-d16,tally beads,6.520184,5.34823,handoff,handoff,1,0,1,1.0
