tick,day,replay_id,scene_id,includes_free_move_vector,includes_proximity_dialogue,includes_inventory_transaction,includes_agent_reaction_state,includes_reload_snapshot,deterministic_order,replay_integrity_score
52,4,v22-replay-0052,v22-scene-d04,1,1,1,1,1,1,0.928571
53,4,v22-replay-0053,v22-scene-d04,1,1,1,1,1,1,1.0
54,4,v22-replay-0054,v22-scene-d04,1,1,1,1,1,1,1.0
55,4,v22-replay-0055,v22-scene-d04,1,1,1,1,1,1,1.0
56,4,v22-replay-0056,v22-scene-d04,1,1,1,1,1,1,0.928571
57,4,v22-replay-0057,v22-scene-d04,1,1,1,0,1,1,0.87619
58,4,v22-replay-0058,v22-scene-d04,1,1,1,1,1,1,0.964286
59,4,v22-replay-0059,v22-scene-d04,1,1,1,1,1,1,1.0
60,4,v22-replay-0060,v22-scene-d04,1,1,1,1,1,1,1.0
61,4,v22-replay-0061,v22-scene-d04,1,1,1,1,1,1,0.892857
62,4,v22-replay-0062,v22-scene-d04,1,1,1,1,1,1,1.0
63,4,v22-replay-0063,v22-scene-d04,1,1,1,1,1,1,1.0
64,5,v22-replay-0064,v22-scene-d05,1,1,1,1,1,1,1.0
65,5,v22-replay-0065,v22-scene-d05,1,1,1,1,1,1,0.964286
66,5,v22-replay-0066,v22-scene-d05,1,False,1,1,0,1,0.809524
67,5,v22-replay-0067,v22-scene-d05,1,1,1,1,1,1,1.0
68,5,v22-replay-0068,v22-scene-d05,1,1,1,1,1,1,1.0
69,5,v22-replay-0069,v22-scene-d05,1,1,1,1,1,1,1.0
70,5,v22-replay-0070,v22-scene-d05,1,1,1,1,1,1,0.904762
71,5,v22-replay-0071,v22-scene-d05,1,1,1,1,1,1,1.0
72,5,v22-replay-0072,v22-scene-d05,1,1,1,1,1,1,0.928571
73,5,v22-replay-0073,v22-scene-d05,1,1,1,1,1,1,1.0
74,5,v22-replay-0074,v22-scene-d05,1,1,1,1,1,1,1.0
75,5,v22-replay-0075,v22-scene-d05,1,1,1,1,1,1,1.0
76,5,v22-replay-0076,v22-scene-d05,1,1,1,1,1,1,1.0
77,5,v22-replay-0077,v22-scene-d05,1,1,1,1,1,1,0.904762
78,5,v22-replay-0078,v22-scene-d05,1,1,1,1,1,1,1.0
79,5,v22-replay-0079,v22-scene-d05,1,1,1,1,1,1,1.0
80,6,v22-replay-0080,v22-scene-d06,1,False,1,1,1,1,0.964286
81,6,v22-replay-0081,v22-scene-d06,1,1,1,1,1,1,1.0
82,6,v22-replay-0082,v22-scene-d06,1,1,1,1,1,1,1.0
83,6,v22-replay-0083,v22-scene-d06,1,1,1,1,1,1,0.904762
84,6,v22-replay-0084,v22-scene-d06,1,1,1,1,1,1,1.0
85,6,v22-replay-0085,v22-scene-d06,1,1,1,1,1,1,1.0
86,6,v22-replay-0086,v22-scene-d06,1,1,1,1,1,1,0.904762
87,6,v22-replay-0087,v22-scene-d06,1,1,1,1,1,1,0.928571
88,6,v22-replay-0088,v22-scene-d06,1,1,1,1,1,1,1.0
89,6,v22-replay-0089,v22-scene-d06,1,1,1,1,1,1,0.892857
90,6,v22-replay-0090,v22-scene-d06,1,1,1,1,1,1,1.0
91,6,v22-replay-0091,v22-scene-d06,1,1,1,1,1,1,1.0
92,6,v22-replay-0092,v22-scene-d06,1,1,1,1,1,1,0.928571
93,6,v22-replay-0093,v22-scene-d06,1,1,1,1,1,1,0.940476
94,6,v22-replay-0094,v22-scene-d06,1,1,1,1,1,1,1.0
95,6,v22-replay-0095,v22-scene-d06,1,1,1,1,1,1,1.0
96,7,v22-replay-0096,v22-scene-d07,1,1,1,1,1,1,1.0
97,7,v22-replay-0097,v22-scene-d07,1,False,1,1,1,1,0.964286
98,7,v22-replay-0098,v22-scene-d07,1,1,1,0,1,1,0.947619
99,7,v22-replay-0099,v22-scene-d07,1,1,1,1,1,1,0.904762
100,7,v22-replay-0100,v22-scene-d07,1,1,1,1,1,1,1.0
101,7,v22-replay-0101,v22-scene-d07,1,1,1,1,1,1,0.904762
102,7,v22-replay-0102,v22-scene-d07,1,1,1,1,1,1,0.928571
103,7,v22-replay-0103,v22-scene-d07,1,True,1,1,1,1,1.0
104,7,v22-replay-0104,v22-scene-d07,1,True,1,1,1,1,1.0
105,7,v22-replay-0105,v22-scene-d07,1,True,1,1,1,1,0.928571
106,7,v22-replay-0106,v22-scene-d07,1,1,1,1,1,1,0.928571
107,7,v22-replay-0107,v22-scene-d07,1,1,1,1,1,1,0.904762
108,7,v22-replay-0108,v22-scene-d07,1,1,1,1,1,1,1.0
109,7,v22-replay-0109,v22-scene-d07,1,1,1,1,1,1,0.892857
110,7,v22-replay-0110,v22-scene-d07,1,1,1,1,1,1,1.0
111,7,v22-replay-0111,v22-scene-d07,1,False,1,1,1,1,0.869048
112,8,v22-replay-0112,v22-scene-d08,1,1,1,1,1,1,1.0
113,8,v22-replay-0113,v22-scene-d08,1,1,1,1,1,1,0.869048
114,8,v22-replay-0114,v22-scene-d08,1,1,1,1,1,1,1.0
115,8,v22-replay-0115,v22-scene-d08,1,True,1,1,1,1,0.904762
116,8,v22-replay-0116,v22-scene-d08,1,True,1,1,1,1,0.97619
117,8,v22-replay-0117,v22-scene-d08,1,True,1,1,1,1,1.0
118,8,v22-replay-0118,v22-scene-d08,1,1,1,1,1,1,0.928571
119,8,v22-replay-0119,v22-scene-d08,1,True,1,1,1,1,1.0
120,8,v22-replay-0120,v22-scene-d08,1,1,1,1,1,1,0.940476
121,8,v22-replay-0121,v22-scene-d08,1,1,1,1,1,1,0.892857
122,8,v22-replay-0122,v22-scene-d08,1,1,1,1,1,1,1.0
123,8,v22-replay-0123,v22-scene-d08,1,1,1,1,1,1,0.940476
124,8,v22-replay-0124,v22-scene-d08,1,1,1,1,1,1,0.928571
125,8,v22-replay-0125,v22-scene-d08,1,True,1,1,1,1,0.904762
126,8,v22-replay-0126,v22-scene-d08,1,1,1,1,1,1,0.904762
127,8,v22-replay-0127,v22-scene-d08,1,True,1,1,1,1,0.928571
128,9,v22-replay-0128,v22-scene-d09,1,True,1,1,1,1,1.0
129,9,v22-replay-0129,v22-scene-d09,1,True,1,1,1,1,0.928571
130,9,v22-replay-0130,v22-scene-d09,1,1,1,1,1,1,1.0
131,9,v22-replay-0131,v22-scene-d09,1,True,1,1,1,1,0.97619
132,9,v22-replay-0132,v22-scene-d09,1,1,1,1,0,1,0.77381
133,9,v22-replay-0133,v22-scene-d09,1,1,1,1,1,1,0.964286
134,9,v22-replay-0134,v22-scene-d09,1,True,1,1,1,1,1.0
135,9,v22-replay-0135,v22-scene-d09,1,1,1,1,1,1,1.0
136,9,v22-replay-0136,v22-scene-d09,1,1,1,1,1,1,0.97619
137,9,v22-replay-0137,v22-scene-d09,1,1,1,1,1,1,0.964286
138,9,v22-replay-0138,v22-scene-d09,1,1,1,1,1,1,1.0
139,9,v22-replay-0139,v22-scene-d09,1,True,1,0,1,1,0.87619
140,9,v22-replay-0140,v22-scene-d09,1,True,1,1,1,1,0.964286
141,9,v22-replay-0141,v22-scene-d09,1,True,0,1,1,1,0.97619
142,9,v22-replay-0142,v22-scene-d09,1,True,1,1,1,1,1.0
143,9,v22-replay-0143,v22-scene-d09,1,1,1,1,1,1,0.993571
144,10,v22-replay-0144,v22-scene-d10,1,1,1,1,1,1,0.993571
145,10,v22-replay-0145,v22-scene-d10,1,1,1,1,1,1,0.957857
146,10,v22-replay-0146,v22-scene-d10,1,True,1,1,1,1,0.904762
147,10,v22-replay-0147,v22-scene-d10,1,True,1,1,1,1,1.0
148,10,v22-replay-0148,v22-scene-d10,1,True,1,1,1,1,0.928571
149,10,v22-replay-0149,v22-scene-d10,1,True,1,1,1,1,1.0
150,10,v22-replay-0150,v22-scene-d10,1,1,1,1,1,1,1.0
151,10,v22-replay-0151,v22-scene-d10,1,1,1,1,1,1,1.0
152,10,v22-replay-0152,v22-scene-d10,1,1,1,1,1,1,0.922143
153,10,v22-replay-0153,v22-scene-d10,1,1,1,1,1,1,0.957857
154,10,v22-replay-0154,v22-scene-d10,1,1,1,1,1,1,0.993571
155,10,v22-replay-0155,v22-scene-d10,1,True,1,1,1,1,0.928571
156,10,v22-replay-0156,v22-scene-d10,1,1,1,1,1,1,0.993571
157,10,v22-replay-0157,v22-scene-d10,1,True,1,1,1,1,0.940476
158,10,v22-replay-0158,v22-scene-d10,1,True,1,1,1,1,1.0
159,10,v22-replay-0159,v22-scene-d10,1,True,0,1,1,1,1.0
160,11,v22-replay-0160,v22-scene-d11,1,True,1,1,0,1,0.952381
161,11,v22-replay-0161,v22-scene-d11,1,True,1,1,1,1,0.97619
162,11,v22-replay-0162,v22-scene-d11,1,1,1,1,1,1,0.964286
163,11,v22-replay-0163,v22-scene-d11,1,1,1,1,1,1,0.940476
164,11,v22-replay-0164,v22-scene-d11,1,True,0,1,1,1,1.0
165,11,v22-replay-0165,v22-scene-d11,1,True,1,1,1,1,0.904762
166,11,v22-replay-0166,v22-scene-d11,1,1,1,1,1,1,1.0
167,11,v22-replay-0167,v22-scene-d11,1,1,1,1,1,1,0.892857
168,11,v22-replay-0168,v22-scene-d11,1,1,1,1,1,1,0.904762
169,11,v22-replay-0169,v22-scene-d11,1,True,1,1,1,1,1.0
170,11,v22-replay-0170,v22-scene-d11,1,True,1,1,1,1,1.0
171,11,v22-replay-0171,v22-scene-d11,1,1,1,1,1,1,0.928571
172,11,v22-replay-0172,v22-scene-d11,1,True,1,1,1,1,1.0
173,11,v22-replay-0173,v22-scene-d11,1,True,1,1,1,1,1.0
174,11,v22-replay-0174,v22-scene-d11,1,1,1,1,1,1,1.0
175,11,v22-replay-0175,v22-scene-d11,1,True,1,1,1,1,0.928571
176,12,v22-replay-0176,v22-scene-d12,1,True,1,1,1,1,0.904762
177,12,v22-replay-0177,v22-scene-d12,1,1,1,1,1,1,0.928571
178,12,v22-replay-0178,v22-scene-d12,1,True,1,1,1,1,1.0
179,12,v22-replay-0179,v22-scene-d12,1,1,1,1,1,1,0.904762
180,12,v22-replay-0180,v22-scene-d12,1,1,1,0,1,1,0.947619
181,12,v22-replay-0181,v22-scene-d12,1,1,1,1,1,1,0.964286
182,12,v22-replay-0182,v22-scene-d12,1,True,1,1,1,1,1.0
183,12,v22-replay-0183,v22-scene-d12,1,1,1,1,1,1,1.0
184,12,v22-replay-0184,v22-scene-d12,1,1,1,1,1,1,1.0
185,12,v22-replay-0185,v22-scene-d12,1,1,1,1,1,1,1.0
186,12,v22-replay-0186,v22-scene-d12,1,1,1,1,1,1,1.0
187,12,v22-replay-0187,v22-scene-d12,1,1,1,1,1,1,1.0
188,12,v22-replay-0188,v22-scene-d12,1,1,1,1,1,1,1.0
189,12,v22-replay-0189,v22-scene-d12,1,1,1,1,1,1,1.0
190,12,v22-replay-0190,v22-scene-d12,1,False,1,1,1,1,0.869048
191,12,v22-replay-0191,v22-scene-d12,1,True,1,1,1,1,0.97619
192,13,v22-replay-0192,v22-scene-d13,1,1,1,1,1,1,1.0
193,13,v22-replay-0193,v22-scene-d13,1,1,1,1,1,1,0.964286
194,13,v22-replay-0194,v22-scene-d13,1,1,1,1,1,1,0.940476
195,13,v22-replay-0195,v22-scene-d13,1,1,1,1,1,1,1.0
196,13,v22-replay-0196,v22-scene-d13,1,1,1,1,1,1,1.0
197,13,v22-replay-0197,v22-scene-d13,1,1,1,1,1,1,0.904762
198,13,v22-replay-0198,v22-scene-d13,1,1,1,1,1,1,1.0
199,13,v22-replay-0199,v22-scene-d13,1,1,1,1,1,1,1.0
200,13,v22-replay-0200,v22-scene-d13,1,1,1,1,1,1,1.0
201,13,v22-replay-0201,v22-scene-d13,1,1,1,1,1,1,1.0
202,13,v22-replay-0202,v22-scene-d13,1,1,1,1,1,1,1.0
203,13,v22-replay-0203,v22-scene-d13,1,1,1,1,1,1,0.928571
204,13,v22-replay-0204,v22-scene-d13,1,False,1,1,1,1,0.964286
205,13,v22-replay-0205,v22-scene-d13,1,1,1,1,1,1,0.964286
206,13,v22-replay-0206,v22-scene-d13,1,1,1,1,1,1,1.0
207,13,v22-replay-0207,v22-scene-d13,1,1,1,1,1,1,0.940476
208,14,v22-replay-0208,v22-scene-d14,1,1,1,1,1,1,1.0
209,14,v22-replay-0209,v22-scene-d14,1,1,1,1,1,1,1.0
210,14,v22-replay-0210,v22-scene-d14,1,1,1,1,1,1,1.0
211,14,v22-replay-0211,v22-scene-d14,1,1,1,1,1,1,1.0
212,14,v22-replay-0212,v22-scene-d14,1,1,1,1,1,1,1.0
213,14,v22-replay-0213,v22-scene-d14,1,1,1,1,1,1,0.928571
214,14,v22-replay-0214,v22-scene-d14,1,1,0,1,1,1,1.0
215,14,v22-replay-0215,v22-scene-d14,1,1,1,1,1,1,1.0
216,14,v22-replay-0216,v22-scene-d14,1,1,1,1,1,1,1.0
217,14,v22-replay-0217,v22-scene-d14,1,1,1,1,1,1,0.964286
218,14,v22-replay-0218,v22-scene-d14,1,1,1,1,1,1,0.928571
219,14,v22-replay-0219,v22-scene-d14,1,1,1,1,1,1,1.0
220,14,v22-replay-0220,v22-scene-d14,1,1,1,1,1,1,1.0
221,14,v22-replay-0221,v22-scene-d14,1,False,1,0,0,1,0.888095
222,14,v22-replay-0222,v22-scene-d14,1,1,1,1,1,1,0.97619
223,14,v22-replay-0223,v22-scene-d14,1,1,1,1,1,1,1.0
224,15,v22-replay-0224,v22-scene-d15,1,1,1,1,1,1,1.0
225,15,v22-replay-0225,v22-scene-d15,1,1,1,1,1,1,0.97619
226,15,v22-replay-0226,v22-scene-d15,1,1,1,1,1,1,0.904762
227,15,v22-replay-0227,v22-scene-d15,1,1,1,1,1,1,1.0
228,15,v22-replay-0228,v22-scene-d15,1,1,1,1,1,1,1.0
229,15,v22-replay-0229,v22-scene-d15,1,1,1,1,1,1,0.928571
230,15,v22-replay-0230,v22-scene-d15,1,1,1,1,1,1,0.928571
231,15,v22-replay-0231,v22-scene-d15,1,1,1,1,1,1,0.833333
232,15,v22-replay-0232,v22-scene-d15,1,1,1,1,1,1,1.0
233,15,v22-replay-0233,v22-scene-d15,1,1,1,1,1,1,0.964286
234,15,v22-replay-0234,v22-scene-d15,1,1,1,1,1,1,0.97619
235,15,v22-replay-0235,v22-scene-d15,1,False,1,1,1,1,0.928571
236,15,v22-replay-0236,v22-scene-d15,1,1,1,1,1,1,1.0
237,15,v22-replay-0237,v22-scene-d15,1,1,1,1,1,1,0.904762
238,15,v22-replay-0238,v22-scene-d15,1,1,1,1,1,1,1.0
239,15,v22-replay-0239,v22-scene-d15,1,1,1,1,1,1,0.97619
240,16,v22-replay-0240,v22-scene-d16,1,1,1,1,1,1,0.97619
241,16,v22-replay-0241,v22-scene-d16,1,1,1,1,1,1,1.0
242,16,v22-replay-0242,v22-scene-d16,1,1,1,1,1,1,1.0
243,16,v22-replay-0243,v22-scene-d16,1,1,1,1,1,1,1.0
244,16,v22-replay-0244,v22-scene-d16,1,1,1,1,1,1,1.0
245,16,v22-replay-0245,v22-scene-d16,1,1,1,1,1,1,0.869048
246,16,v22-replay-0246,v22-scene-d16,1,1,1,1,1,1,0.964286
247,16,v22-replay-0247,v22-scene-d16,1,1,1,1,1,1,0.928571
248,16,v22-replay-0248,v22-scene-d16,1,1,1,1,1,1,0.928571
249,16,v22-replay-0249,v22-scene-d16,1,1,1,1,1,1,0.940476
250,16,v22-replay-0250,v22-scene-d16,1,1,1,1,1,1,0.97619
251,16,v22-replay-0251,v22-scene-d16,1,1,1,1,1,1,1.0
252,16,v22-replay-0252,v22-scene-d16,1,False,1,1,1,1,0.964286
253,16,v22-replay-0253,v22-scene-d16,1,1,1,1,1,1,0.964286
254,16,v22-replay-0254,v22-scene-d16,1,1,1,1,1,1,0.97619
255,16,v22-replay-0255,v22-scene-d16,1,1,1,1,1,1,1.0
256,17,v22-replay-0256,v22-scene-d17,1,1,1,1,1,1,0.97619
257,17,v22-replay-0257,v22-scene-d17,1,1,1,1,1,1,0.892857
258,17,v22-replay-0258,v22-scene-d17,1,1,1,1,1,1,0.928571
259,17,v22-replay-0259,v22-scene-d17,1,1,1,1,1,1,1.0
260,17,v22-replay-0260,v22-scene-d17,1,1,1,1,1,1,0.940476
261,17,v22-replay-0261,v22-scene-d17,1,1,1,1,1,1,0.940476
262,17,v22-replay-0262,v22-scene-d17,1,1,1,0,1,1,0.947619
263,17,v22-replay-0263,v22-scene-d17,1,1,1,1,1,1,1.0
264,17,v22-replay-0264,v22-scene-d17,1,1,1,1,1,1,0.928571
265,17,v22-replay-0265,v22-scene-d17,1,1,1,1,1,1,0.97619
266,17,v22-replay-0266,v22-scene-d17,1,False,1,1,1,1,0.904762
267,17,v22-replay-0267,v22-scene-d17,1,1,1,1,1,1,1.0
268,17,v22-replay-0268,v22-scene-d17,1,1,1,1,0,1,0.845238
269,17,v22-replay-0269,v22-scene-d17,1,1,1,1,1,1,0.869048
270,17,v22-replay-0270,v22-scene-d17,1,1,1,1,1,1,0.904762
271,17,v22-replay-0271,v22-scene-d17,1,1,1,1,1,1,0.97619
272,18,v22-replay-0272,v22-scene-d18,1,1,1,1,1,1,0.904762
273,18,v22-replay-0273,v22-scene-d18,1,1,1,1,1,1,0.964286
274,18,v22-replay-0274,v22-scene-d18,1,1,1,1,1,1,1.0
275,18,v22-replay-0275,v22-scene-d18,1,1,1,1,1,1,0.928571
276,18,v22-replay-0276,v22-scene-d18,1,1,1,1,1,1,0.928571
277,18,v22-replay-0277,v22-scene-d18,1,1,1,1,1,1,1.0
278,18,v22-replay-0278,v22-scene-d18,1,1,1,1,1,1,1.0
279,18,v22-replay-0279,v22-scene-d18,1,1,1,1,1,1,1.0
280,18,v22-replay-0280,v22-scene-d18,1,1,1,1,1,1,1.0
281,18,v22-replay-0281,v22-scene-d18,1,1,1,1,1,1,1.0
282,18,v22-replay-0282,v22-scene-d18,1,1,1,1,1,1,1.0
283,18,v22-replay-0283,v22-scene-d18,1,False,1,1,1,1,0.964286
284,18,v22-replay-0284,v22-scene-d18,1,1,1,1,1,1,0.904762
285,18,v22-replay-0285,v22-scene-d18,1,1,1,1,1,1,1.0
286,18,v22-replay-0286,v22-scene-d18,1,1,1,1,1,1,0.904762
287,18,v22-replay-0287,v22-scene-d18,1,1,1,1,1,1,0.97619
288,19,v22-replay-0288,v22-scene-d19,1,1,1,1,1,1,1.0
289,19,v22-replay-0289,v22-scene-d19,1,1,1,1,1,1,0.964286
290,19,v22-replay-0290,v22-scene-d19,1,1,1,1,1,1,1.0
291,19,v22-replay-0291,v22-scene-d19,1,1,1,1,1,1,0.928571
292,19,v22-replay-0292,v22-scene-d19,1,1,1,1,1,1,0.928571
293,19,v22-replay-0293,v22-scene-d19,1,1,1,1,1,1,0.928571
294,19,v22-replay-0294,v22-scene-d19,1,1,1,1,1,1,1.0
295,19,v22-replay-0295,v22-scene-d19,1,1,1,1,1,1,1.0
296,19,v22-replay-0296,v22-scene-d19,1,1,1,1,1,1,1.0
297,19,v22-replay-0297,v22-scene-d19,1,False,1,1,1,1,0.964286
298,19,v22-replay-0298,v22-scene-d19,1,1,1,1,1,1,0.928571
299,19,v22-replay-0299,v22-scene-d19,1,1,1,1,1,1,1.0
300,19,v22-replay-0300,v22-scene-d19,1,1,1,1,1,1,1.0
301,19,v22-replay-0301,v22-scene-d19,1,1,1,1,1,1,0.940476
302,19,v22-replay-0302,v22-scene-d19,1,1,1,1,1,1,0.928571
303,19,v22-replay-0303,v22-scene-d19,1,1,1,0,1,1,0.911905
304,20,v22-replay-0304,v22-scene-d20,1,1,1,1,1,1,1.0
305,20,v22-replay-0305,v22-scene-d20,1,1,1,1,1,1,0.869048
306,20,v22-replay-0306,v22-scene-d20,1,1,1,1,1,1,0.904762
307,20,v22-replay-0307,v22-scene-d20,1,True,1,1,1,1,1.0
308,20,v22-replay-0308,v22-scene-d20,1,True,1,1,0,1,0.916667
309,20,v22-replay-0309,v22-scene-d20,1,1,1,1,1,1,0.964286
310,20,v22-replay-0310,v22-scene-d20,1,1,1,1,1,1,1.0
311,20,v22-replay-0311,v22-scene-d20,1,1,1,1,1,1,1.0
312,20,v22-replay-0312,v22-scene-d20,1,1,1,1,1,1,0.928571
313,20,v22-replay-0313,v22-scene-d20,1,1,1,1,1,1,0.964286
314,20,v22-replay-0314,v22-scene-d20,1,False,1,1,1,1,0.892857
315,20,v22-replay-0315,v22-scene-d20,1,1,1,1,1,1,0.904762
316,20,v22-replay-0316,v22-scene-d20,1,1,1,1,1,1,1.0
317,20,v22-replay-0317,v22-scene-d20,1,1,1,1,1,1,0.964286
318,20,v22-replay-0318,v22-scene-d20,1,1,1,1,1,1,0.97619
319,20,v22-replay-0319,v22-scene-d20,1,True,1,1,1,1,1.0
320,21,v22-replay-0320,v22-scene-d21,1,True,1,1,1,1,0.964286
321,21,v22-replay-0321,v22-scene-d21,1,True,1,1,1,1,0.97619
322,21,v22-replay-0322,v22-scene-d21,1,1,1,1,1,1,1.0
323,21,v22-replay-0323,v22-scene-d21,1,1,1,1,1,1,0.904762
324,21,v22-replay-0324,v22-scene-d21,1,1,1,1,1,1,1.0
325,21,v22-replay-0325,v22-scene-d21,1,1,1,1,1,1,0.892857
326,21,v22-replay-0326,v22-scene-d21,1,1,1,1,1,1,1.0
327,21,v22-replay-0327,v22-scene-d21,1,1,1,1,1,1,0.904762
328,21,v22-replay-0328,v22-scene-d21,1,False,1,1,1,1,0.940476
329,21,v22-replay-0329,v22-scene-d21,1,1,1,1,1,1,0.964286
330,21,v22-replay-0330,v22-scene-d21,1,1,1,1,1,1,1.0
331,21,v22-replay-0331,v22-scene-d21,1,1,1,1,1,1,1.0
332,21,v22-replay-0332,v22-scene-d21,1,True,1,1,1,1,1.0
333,21,v22-replay-0333,v22-scene-d21,1,True,1,1,1,1,1.0
334,21,v22-replay-0334,v22-scene-d21,1,1,1,1,1,1,0.928571
335,21,v22-replay-0335,v22-scene-d21,1,1,1,1,1,1,0.964286
336,22,v22-replay-0336,v22-scene-d22,1,1,1,1,1,1,0.928571
337,22,v22-replay-0337,v22-scene-d22,1,1,1,1,1,1,0.964286
338,22,v22-replay-0338,v22-scene-d22,1,1,1,1,1,1,0.904762
339,22,v22-replay-0339,v22-scene-d22,1,1,1,1,1,1,0.928571
340,22,v22-replay-0340,v22-scene-d22,1,1,1,1,1,1,0.928571
341,22,v22-replay-0341,v22-scene-d22,1,1,1,1,1,1,0.869048
342,22,v22-replay-0342,v22-scene-d22,1,1,1,1,1,1,0.869048
343,22,v22-replay-0343,v22-scene-d22,1,1,1,1,1,1,0.904762
344,22,v22-replay-0344,v22-scene-d22,1,1,1,0,1,1,0.87619
345,22,v22-replay-0345,v22-scene-d22,1,False,1,1,1,1,0.940476
346,22,v22-replay-0346,v22-scene-d22,1,1,1,1,1,1,0.904762
347,22,v22-replay-0347,v22-scene-d22,1,1,1,1,1,1,1.0
348,22,v22-replay-0348,v22-scene-d22,1,1,1,1,0,1,0.809524
349,22,v22-replay-0349,v22-scene-d22,1,1,1,1,1,1,0.940476
350,22,v22-replay-0350,v22-scene-d22,1,1,1,1,1,1,0.928571
351,22,v22-replay-0351,v22-scene-d22,1,1,1,1,1,1,0.97619
352,23,v22-replay-0352,v22-scene-d23,1,1,1,1,1,1,0.928571
353,23,v22-replay-0353,v22-scene-d23,1,1,1,1,1,1,0.964286
354,23,v22-replay-0354,v22-scene-d23,1,1,1,1,1,1,1.0
355,23,v22-replay-0355,v22-scene-d23,1,1,1,1,1,1,1.0
356,23,v22-replay-0356,v22-scene-d23,1,True,0,1,1,1,0.97619
357,23,v22-replay-0357,v22-scene-d23,1,True,1,1,1,1,1.0
