tick,day,speaker,listener,bystander,action,consequence,speaker_trust_delta,listener_trust_delta,bystander_trust_delta,group_mood_before,group_mood_after,replayable,not_overdriven
46,3,Fay,Ari,Milo,interrupt warning,debt is marked paid,0.006,0.014,0.006,0.611737,0.620537,True,True
47,3,Milo,Fay,Sera,comfort after failure,guardedness rises,0.018,-0.012,-0.008,0.615989,0.618289,True,True
48,3,Sera,Milo,Tovan,return resource,group mood steadies,0.006,0.014,0.006,0.620155,0.628955,True,True
49,3,Tovan,Sera,Nia,ask for distance,debt is marked paid,-0.011,0.014,0.006,0.62423,0.62538,True,True
50,3,Nia,Tovan,Ari,repair together,guardedness rises,0.006,-0.012,-0.008,0.628211,0.625111,True,True
51,3,Ari,Nia,Fay,share tool,group mood steadies,0.018,0.014,0.006,0.632095,0.646295,True,True
52,3,Fay,Ari,Milo,interrupt warning,debt is marked paid,0.006,0.014,0.006,0.635879,0.644679,True,True
53,3,Milo,Fay,Sera,comfort after failure,guardedness rises,0.018,-0.012,-0.008,0.639558,0.641858,True,True
54,4,Sera,Milo,Tovan,return resource,work slows but recovers,0.006,-0.012,0.006,0.579887,0.579587,True,True
55,4,Tovan,Sera,Nia,ask for distance,trust warms,-0.011,0.014,0.006,0.584632,0.585782,True,True
56,4,Nia,Tovan,Ari,repair together,bystander learns caution,0.006,-0.012,0.006,0.589319,0.589019,True,True
57,4,Ari,Nia,Fay,share tool,work slows but recovers,0.018,-0.012,0.006,0.593944,0.599044,True,True
58,4,Fay,Ari,Milo,interrupt warning,trust warms,0.006,0.014,0.006,0.598502,0.607302,True,True
59,4,Milo,Fay,Sera,comfort after failure,bystander learns caution,0.018,-0.012,0.006,0.60299,0.60809,True,True
60,4,Sera,Milo,Tovan,return resource,work slows but recovers,0.006,-0.012,0.006,0.607403,0.607103,True,True
61,4,Tovan,Sera,Nia,ask for distance,trust warms,-0.011,0.014,0.006,0.611737,0.612887,True,True
62,4,Nia,Tovan,Ari,repair together,bystander learns caution,0.006,-0.012,0.006,0.615989,0.615689,True,True
63,4,Ari,Nia,Fay,share tool,work slows but recovers,0.018,-0.012,0.006,0.620155,0.625255,True,True
64,4,Fay,Ari,Milo,interrupt warning,trust warms,0.006,0.014,0.006,0.62423,0.63303,True,True
65,4,Milo,Fay,Sera,comfort after failure,bystander learns caution,0.018,-0.012,0.006,0.628211,0.633311,True,True
66,4,Sera,Milo,Tovan,return resource,work slows but recovers,0.006,-0.012,0.006,0.632095,0.631795,True,True
67,4,Tovan,Sera,Nia,ask for distance,trust warms,-0.011,0.014,0.006,0.635879,0.637029,True,True
68,4,Nia,Tovan,Ari,repair together,bystander learns caution,0.006,-0.012,0.006,0.639558,0.639258,True,True
69,4,Ari,Nia,Fay,share tool,work slows but recovers,0.018,-0.012,0.006,0.643129,0.648229,True,True
70,4,Fay,Ari,Milo,interrupt warning,trust warms,0.006,0.014,0.006,0.646589,0.655389,True,True
71,4,Milo,Fay,Sera,comfort after failure,bystander learns caution,0.018,-0.012,0.006,0.649936,0.655036,True,True
72,5,Sera,Milo,Tovan,return resource,debt is marked paid,0.006,0.014,0.006,0.593944,0.602744,True,True
73,5,Tovan,Sera,Nia,ask for distance,guardedness rises,-0.011,-0.012,-0.008,0.598502,0.587752,True,True
74,5,Nia,Tovan,Ari,repair together,group mood steadies,0.006,0.014,0.006,0.60299,0.61179,True,True
75,5,Ari,Nia,Fay,share tool,debt is marked paid,0.018,0.014,0.006,0.607403,0.621603,True,True
76,5,Fay,Ari,Milo,interrupt warning,guardedness rises,0.006,-0.012,-0.008,0.611737,0.608637,True,True
77,5,Milo,Fay,Sera,comfort after failure,group mood steadies,0.018,0.014,0.006,0.615989,0.630189,True,True
78,5,Sera,Milo,Tovan,return resource,debt is marked paid,0.006,0.014,0.006,0.620155,0.628955,True,True
79,5,Tovan,Sera,Nia,ask for distance,guardedness rises,-0.011,-0.012,-0.008,0.62423,0.61348,True,True
80,5,Nia,Tovan,Ari,repair together,group mood steadies,0.006,0.014,0.006,0.628211,0.637011,True,True
81,5,Ari,Nia,Fay,share tool,debt is marked paid,0.018,0.014,0.006,0.632095,0.646295,True,True
82,5,Fay,Ari,Milo,interrupt warning,guardedness rises,0.006,-0.012,-0.008,0.635879,0.632779,True,True
83,5,Milo,Fay,Sera,comfort after failure,group mood steadies,0.018,0.014,0.006,0.639558,0.653758,True,True
84,5,Sera,Milo,Tovan,return resource,debt is marked paid,0.006,0.014,0.006,0.643129,0.651929,True,True
85,5,Tovan,Sera,Nia,ask for distance,guardedness rises,-0.011,-0.012,-0.008,0.646589,0.635839,True,True
86,5,Nia,Tovan,Ari,repair together,group mood steadies,0.006,0.014,0.006,0.649936,0.658736,True,True
87,5,Ari,Nia,Fay,share tool,debt is marked paid,0.018,0.014,0.006,0.653166,0.667366,True,True
88,5,Fay,Ari,Milo,interrupt warning,guardedness rises,0.006,-0.012,-0.008,0.656275,0.653175,True,True
89,5,Milo,Fay,Sera,comfort after failure,group mood steadies,0.018,0.014,0.006,0.659263,0.673463,True,True
90,6,Sera,Milo,Tovan,return resource,trust warms,0.006,0.014,0.006,0.607403,0.616203,True,True
91,6,Tovan,Sera,Nia,ask for distance,bystander learns caution,-0.011,-0.012,0.006,0.611737,0.603787,True,True
92,6,Nia,Tovan,Ari,repair together,work slows but recovers,0.006,-0.012,0.006,0.615989,0.615689,True,True
93,6,Ari,Nia,Fay,share tool,trust warms,0.018,0.014,0.006,0.620155,0.634355,True,True
94,6,Fay,Ari,Milo,interrupt warning,bystander learns caution,0.006,-0.012,0.006,0.62423,0.62393,True,True
95,6,Milo,Fay,Sera,comfort after failure,work slows but recovers,0.018,-0.012,0.006,0.628211,0.633311,True,True
96,6,Sera,Milo,Tovan,return resource,trust warms,0.006,0.014,0.006,0.632095,0.640895,True,True
97,6,Tovan,Sera,Nia,ask for distance,bystander learns caution,-0.011,-0.012,0.006,0.635879,0.627929,True,True
98,6,Nia,Tovan,Ari,repair together,work slows but recovers,0.006,-0.012,0.006,0.639558,0.639258,True,True
99,6,Ari,Nia,Fay,share tool,trust warms,0.018,0.014,0.006,0.643129,0.657329,True,True
100,6,Fay,Ari,Milo,interrupt warning,bystander learns caution,0.006,-0.012,0.006,0.646589,0.646289,True,True
101,6,Milo,Fay,Sera,comfort after failure,work slows but recovers,0.018,-0.012,0.006,0.649936,0.655036,True,True
102,6,Sera,Milo,Tovan,return resource,trust warms,0.006,0.014,0.006,0.653166,0.661966,True,True
103,6,Tovan,Sera,Nia,ask for distance,bystander learns caution,-0.011,-0.012,0.006,0.656275,0.648325,True,True
104,6,Nia,Tovan,Ari,repair together,work slows but recovers,0.006,-0.012,0.006,0.659263,0.658963,True,True
105,6,Ari,Nia,Fay,share tool,trust warms,0.018,0.014,0.006,0.662124,0.676324,True,True
106,6,Fay,Ari,Milo,interrupt warning,bystander learns caution,0.006,-0.012,0.006,0.664858,0.664558,True,True
107,6,Milo,Fay,Sera,comfort after failure,work slows but recovers,0.018,-0.012,0.006,0.667462,0.672562,True,True
108,7,Sera,Milo,Tovan,return resource,guardedness rises,0.006,-0.012,-0.008,0.620155,0.617055,True,True
109,7,Tovan,Sera,Nia,ask for distance,group mood steadies,-0.011,0.014,0.006,0.62423,0.62538,True,True
110,7,Nia,Tovan,Ari,repair together,debt is marked paid,0.006,0.014,0.006,0.628211,0.637011,True,True
111,7,Ari,Nia,Fay,share tool,guardedness rises,0.018,-0.012,-0.008,0.632095,0.634395,True,True
112,7,Fay,Ari,Milo,interrupt warning,group mood steadies,0.006,0.014,0.006,0.635879,0.644679,True,True
113,7,Milo,Fay,Sera,comfort after failure,debt is marked paid,0.018,0.014,0.006,0.639558,0.653758,True,True
114,7,Sera,Milo,Tovan,return resource,guardedness rises,0.006,-0.012,-0.008,0.643129,0.640029,True,True
115,7,Tovan,Sera,Nia,ask for distance,group mood steadies,-0.011,0.014,0.006,0.646589,0.647739,True,True
116,7,Nia,Tovan,Ari,repair together,debt is marked paid,0.006,0.014,0.006,0.649936,0.658736,True,True
117,7,Ari,Nia,Fay,share tool,guardedness rises,0.018,-0.012,-0.008,0.653166,0.655466,True,True
118,7,Fay,Ari,Milo,interrupt warning,group mood steadies,0.006,0.014,0.006,0.656275,0.665075,True,True
119,7,Milo,Fay,Sera,comfort after failure,debt is marked paid,0.018,0.014,0.006,0.659263,0.673463,True,True
120,7,Sera,Milo,Tovan,return resource,guardedness rises,0.006,-0.012,-0.008,0.662124,0.659024,True,True
121,7,Tovan,Sera,Nia,ask for distance,group mood steadies,-0.011,0.014,0.006,0.664858,0.666008,True,True
122,7,Nia,Tovan,Ari,repair together,debt is marked paid,0.006,0.014,0.006,0.667462,0.676262,True,True
123,7,Ari,Nia,Fay,share tool,guardedness rises,0.018,-0.012,-0.008,0.669933,0.672233,True,True
124,7,Fay,Ari,Milo,interrupt warning,group mood steadies,0.006,0.014,0.006,0.672269,0.681069,True,True
125,7,Milo,Fay,Sera,comfort after failure,debt is marked paid,0.018,0.014,0.006,0.674468,0.688668,True,True
126,8,Sera,Milo,Tovan,return resource,bystander learns caution,0.006,-0.012,0.006,0.632095,0.631795,True,True
127,8,Tovan,Sera,Nia,ask for distance,work slows but recovers,-0.011,-0.012,0.006,0.635879,0.627929,True,True
128,8,Nia,Tovan,Ari,repair together,trust warms,0.006,0.014,0.006,0.639558,0.648358,True,True
129,8,Ari,Nia,Fay,share tool,bystander learns caution,0.018,-0.012,0.006,0.643129,0.648229,True,True
130,8,Fay,Ari,Milo,interrupt warning,work slows but recovers,0.006,-0.012,0.006,0.646589,0.646289,True,True
131,8,Milo,Fay,Sera,comfort after failure,trust warms,0.018,0.014,0.006,0.649936,0.664136,True,True
132,8,Sera,Milo,Tovan,return resource,bystander learns caution,0.006,-0.012,0.006,0.653166,0.652866,True,True
133,8,Tovan,Sera,Nia,ask for distance,work slows but recovers,-0.011,-0.012,0.006,0.656275,0.648325,True,True
134,8,Nia,Tovan,Ari,repair together,trust warms,0.006,0.014,0.006,0.659263,0.668063,True,True
135,8,Ari,Nia,Fay,share tool,bystander learns caution,0.018,-0.012,0.006,0.662124,0.667224,True,True
136,8,Fay,Ari,Milo,interrupt warning,work slows but recovers,0.006,-0.012,0.006,0.664858,0.664558,True,True
137,8,Milo,Fay,Sera,comfort after failure,trust warms,0.018,0.014,0.006,0.667462,0.681662,True,True
138,8,Sera,Milo,Tovan,return resource,bystander learns caution,0.006,-0.012,0.006,0.669933,0.669633,True,True
139,8,Tovan,Sera,Nia,ask for distance,work slows but recovers,-0.011,-0.012,0.006,0.672269,0.664319,True,True
140,8,Nia,Tovan,Ari,repair together,trust warms,0.006,0.014,0.006,0.674468,0.683268,True,True
141,8,Ari,Nia,Fay,share tool,bystander learns caution,0.018,-0.012,0.006,0.676528,0.681628,True,True
142,8,Fay,Ari,Milo,interrupt warning,work slows but recovers,0.006,-0.012,0.006,0.678447,0.678147,True,True
143,8,Milo,Fay,Sera,comfort after failure,trust warms,0.018,0.014,0.006,0.680223,0.694423,True,True
144,9,Sera,Milo,Tovan,return resource,group mood steadies,0.006,0.014,0.006,0.643129,0.651929,True,True
145,9,Tovan,Sera,Nia,ask for distance,debt is marked paid,-0.011,0.014,0.006,0.646589,0.647739,True,True
146,9,Nia,Tovan,Ari,repair together,guardedness rises,0.006,-0.012,-0.008,0.649936,0.646836,True,True
147,9,Ari,Nia,Fay,share tool,group mood steadies,0.018,0.014,0.006,0.653166,0.667366,True,True
148,9,Fay,Ari,Milo,interrupt warning,debt is marked paid,0.006,0.014,0.006,0.656275,0.665075,True,True
149,9,Milo,Fay,Sera,comfort after failure,guardedness rises,0.018,-0.012,-0.008,0.659263,0.661563,True,True
150,9,Sera,Milo,Tovan,return resource,group mood steadies,0.006,0.014,0.006,0.662124,0.670924,True,True
151,9,Tovan,Sera,Nia,ask for distance,debt is marked paid,-0.011,0.014,0.006,0.664858,0.666008,True,True
152,9,Nia,Tovan,Ari,repair together,guardedness rises,0.006,-0.012,-0.008,0.667462,0.664362,True,True
153,9,Ari,Nia,Fay,share tool,group mood steadies,0.018,0.014,0.006,0.669933,0.684133,True,True
154,9,Fay,Ari,Milo,interrupt warning,debt is marked paid,0.006,0.014,0.006,0.672269,0.681069,True,True
155,9,Milo,Fay,Sera,comfort after failure,guardedness rises,0.018,-0.012,-0.008,0.674468,0.676768,True,True
156,9,Sera,Milo,Tovan,return resource,group mood steadies,0.006,0.014,0.006,0.676528,0.685328,True,True
157,9,Tovan,Sera,Nia,ask for distance,debt is marked paid,-0.011,0.014,0.006,0.678447,0.679597,True,True
158,9,Nia,Tovan,Ari,repair together,guardedness rises,0.006,-0.012,-0.008,0.680223,0.677123,True,True
159,9,Ari,Nia,Fay,share tool,group mood steadies,0.018,0.014,0.006,0.681855,0.696055,True,True
160,9,Fay,Ari,Milo,interrupt warning,debt is marked paid,0.006,0.014,0.006,0.683342,0.692142,True,True
161,9,Milo,Fay,Sera,comfort after failure,guardedness rises,0.018,-0.012,-0.008,0.684682,0.686982,True,True
162,10,Sera,Milo,Tovan,return resource,work slows but recovers,0.006,-0.012,0.006,0.653166,0.652866,True,True
163,10,Tovan,Sera,Nia,ask for distance,trust warms,-0.011,0.014,0.006,0.656275,0.657425,True,True
164,10,Nia,Tovan,Ari,repair together,bystander learns caution,0.006,-0.012,0.006,0.659263,0.658963,True,True
165,10,Ari,Nia,Fay,share tool,work slows but recovers,0.018,-0.012,0.006,0.662124,0.667224,True,True
166,10,Fay,Ari,Milo,interrupt warning,trust warms,0.006,0.014,0.006,0.664858,0.673658,True,True
167,10,Milo,Fay,Sera,comfort after failure,bystander learns caution,0.018,-0.012,0.006,0.667462,0.672562,True,True
168,10,Sera,Milo,Tovan,return resource,work slows but recovers,0.006,-0.012,0.006,0.669933,0.669633,True,True
169,10,Tovan,Sera,Nia,ask for distance,trust warms,-0.011,0.014,0.006,0.672269,0.673419,True,True
170,10,Nia,Tovan,Ari,repair together,bystander learns caution,0.006,-0.012,0.006,0.674468,0.674168,True,True
171,10,Ari,Nia,Fay,share tool,work slows but recovers,0.018,-0.012,0.006,0.676528,0.681628,True,True
172,10,Fay,Ari,Milo,interrupt warning,trust warms,0.006,0.014,0.006,0.678447,0.687247,True,True
173,10,Milo,Fay,Sera,comfort after failure,bystander learns caution,0.018,-0.012,0.006,0.680223,0.685323,True,True
174,10,Sera,Milo,Tovan,return resource,work slows but recovers,0.006,-0.012,0.006,0.681855,0.681555,True,True
175,10,Tovan,Sera,Nia,ask for distance,trust warms,-0.011,0.014,0.006,0.683342,0.684492,True,True
176,10,Nia,Tovan,Ari,repair together,bystander learns caution,0.006,-0.012,0.006,0.684682,0.684382,True,True
177,10,Ari,Nia,Fay,share tool,work slows but recovers,0.018,-0.012,0.006,0.685873,0.690973,True,True
178,10,Fay,Ari,Milo,interrupt warning,trust warms,0.006,0.014,0.006,0.686915,0.695715,True,True
179,10,Milo,Fay,Sera,comfort after failure,bystander learns caution,0.018,-0.012,0.006,0.687807,0.692907,True,True
180,11,Sera,Milo,Tovan,return resource,debt is marked paid,0.006,0.014,0.006,0.662124,0.670924,True,True
181,11,Tovan,Sera,Nia,ask for distance,guardedness rises,-0.011,-0.012,-0.008,0.664858,0.654108,True,True
182,11,Nia,Tovan,Ari,repair together,group mood steadies,0.006,0.014,0.006,0.667462,0.676262,True,True
183,11,Ari,Nia,Fay,share tool,debt is marked paid,0.018,0.014,0.006,0.669933,0.684133,True,True
184,11,Fay,Ari,Milo,interrupt warning,guardedness rises,0.006,-0.012,-0.008,0.672269,0.669169,True,True
185,11,Milo,Fay,Sera,comfort after failure,group mood steadies,0.018,0.014,0.006,0.674468,0.688668,True,True
186,11,Sera,Milo,Tovan,return resource,debt is marked paid,0.006,0.014,0.006,0.676528,0.685328,True,True
187,11,Tovan,Sera,Nia,ask for distance,guardedness rises,-0.011,-0.012,-0.008,0.678447,0.667697,True,True
188,11,Nia,Tovan,Ari,repair together,group mood steadies,0.006,0.014,0.006,0.680223,0.689023,True,True
189,11,Ari,Nia,Fay,share tool,debt is marked paid,0.018,0.014,0.006,0.681855,0.696055,True,True
190,11,Fay,Ari,Milo,interrupt warning,guardedness rises,0.006,-0.012,-0.008,0.683342,0.680242,True,True
191,11,Milo,Fay,Sera,comfort after failure,group mood steadies,0.018,0.014,0.006,0.684682,0.698882,True,True
192,11,Sera,Milo,Tovan,return resource,debt is marked paid,0.006,0.014,0.006,0.685873,0.694673,True,True
193,11,Tovan,Sera,Nia,ask for distance,guardedness rises,-0.011,-0.012,-0.008,0.686915,0.676165,True,True
194,11,Nia,Tovan,Ari,repair together,group mood steadies,0.006,0.014,0.006,0.687807,0.696607,True,True
195,11,Ari,Nia,Fay,share tool,debt is marked paid,0.018,0.014,0.006,0.688548,0.702748,True,True
196,11,Fay,Ari,Milo,interrupt warning,guardedness rises,0.006,-0.012,-0.008,0.689137,0.686037,True,True
197,11,Milo,Fay,Sera,comfort after failure,group mood steadies,0.018,0.014,0.006,0.689574,0.703774,True,True
198,12,Sera,Milo,Tovan,return resource,trust warms,0.006,0.014,0.006,0.669933,0.678733,True,True
199,12,Tovan,Sera,Nia,ask for distance,bystander learns caution,-0.011,-0.012,0.006,0.672269,0.664319,True,True
200,12,Nia,Tovan,Ari,repair together,work slows but recovers,0.006,-0.012,0.006,0.674468,0.674168,True,True
201,12,Ari,Nia,Fay,share tool,trust warms,0.018,0.014,0.006,0.676528,0.690728,True,True
202,12,Fay,Ari,Milo,interrupt warning,bystander learns caution,0.006,-0.012,0.006,0.678447,0.678147,True,True
203,12,Milo,Fay,Sera,comfort after failure,work slows but recovers,0.018,-0.012,0.006,0.680223,0.685323,True,True
204,12,Sera,Milo,Tovan,return resource,trust warms,0.006,0.014,0.006,0.681855,0.690655,True,True
205,12,Tovan,Sera,Nia,ask for distance,bystander learns caution,-0.011,-0.012,0.006,0.683342,0.675392,True,True
206,12,Nia,Tovan,Ari,repair together,work slows but recovers,0.006,-0.012,0.006,0.684682,0.684382,True,True
207,12,Ari,Nia,Fay,share tool,trust warms,0.018,0.014,0.006,0.685873,0.700073,True,True
208,12,Fay,Ari,Milo,interrupt warning,bystander learns caution,0.006,-0.012,0.006,0.686915,0.686615,True,True
209,12,Milo,Fay,Sera,comfort after failure,work slows but recovers,0.018,-0.012,0.006,0.687807,0.692907,True,True
210,12,Sera,Milo,Tovan,return resource,trust warms,0.006,0.014,0.006,0.688548,0.697348,True,True
211,12,Tovan,Sera,Nia,ask for distance,bystander learns caution,-0.011,-0.012,0.006,0.689137,0.681187,True,True
212,12,Nia,Tovan,Ari,repair together,work slows but recovers,0.006,-0.012,0.006,0.689574,0.689274,True,True
213,12,Ari,Nia,Fay,share tool,trust warms,0.018,0.014,0.006,0.689859,0.704059,True,True
214,12,Fay,Ari,Milo,interrupt warning,bystander learns caution,0.006,-0.012,0.006,0.68999,0.68969,True,True
215,12,Milo,Fay,Sera,comfort after failure,work slows but recovers,0.018,-0.012,0.006,0.689969,0.695069,True,True
216,13,Sera,Milo,Tovan,return resource,guardedness rises,0.006,-0.012,-0.008,0.676528,0.673428,True,True
217,13,Tovan,Sera,Nia,ask for distance,group mood steadies,-0.011,0.014,0.006,0.678447,0.679597,True,True
218,13,Nia,Tovan,Ari,repair together,debt is marked paid,0.006,0.014,0.006,0.680223,0.689023,True,True
219,13,Ari,Nia,Fay,share tool,guardedness rises,0.018,-0.012,-0.008,0.681855,0.684155,True,True
220,13,Fay,Ari,Milo,interrupt warning,group mood steadies,0.006,0.014,0.006,0.683342,0.692142,True,True
221,13,Milo,Fay,Sera,comfort after failure,debt is marked paid,0.018,0.014,0.006,0.684682,0.698882,True,True
222,13,Sera,Milo,Tovan,return resource,guardedness rises,0.006,-0.012,-0.008,0.685873,0.682773,True,True
223,13,Tovan,Sera,Nia,ask for distance,group mood steadies,-0.011,0.014,0.006,0.686915,0.688065,True,True
224,13,Nia,Tovan,Ari,repair together,debt is marked paid,0.006,0.014,0.006,0.687807,0.696607,True,True
225,13,Ari,Nia,Fay,share tool,guardedness rises,0.018,-0.012,-0.008,0.688548,0.690848,True,True
226,13,Fay,Ari,Milo,interrupt warning,group mood steadies,0.006,0.014,0.006,0.689137,0.697937,True,True
227,13,Milo,Fay,Sera,comfort after failure,debt is marked paid,0.018,0.014,0.006,0.689574,0.703774,True,True
228,13,Sera,Milo,Tovan,return resource,guardedness rises,0.006,-0.012,-0.008,0.689859,0.686759,True,True
229,13,Tovan,Sera,Nia,ask for distance,group mood steadies,-0.011,0.014,0.006,0.68999,0.69114,True,True
230,13,Nia,Tovan,Ari,repair together,debt is marked paid,0.006,0.014,0.006,0.689969,0.698769,True,True
231,13,Ari,Nia,Fay,share tool,guardedness rises,0.018,-0.012,-0.008,0.689794,0.692094,True,True
232,13,Fay,Ari,Milo,interrupt warning,group mood steadies,0.006,0.014,0.006,0.689467,0.698267,True,True
233,13,Milo,Fay,Sera,comfort after failure,debt is marked paid,0.018,0.014,0.006,0.688987,0.703187,True,True
234,14,Sera,Milo,Tovan,return resource,bystander learns caution,0.006,-0.012,0.006,0.681855,0.681555,True,True
235,14,Tovan,Sera,Nia,ask for distance,work slows but recovers,-0.011,-0.012,0.006,0.683342,0.675392,True,True
236,14,Nia,Tovan,Ari,repair together,trust warms,0.006,0.014,0.006,0.684682,0.693482,True,True
237,14,Ari,Nia,Fay,share tool,bystander learns caution,0.018,-0.012,0.006,0.685873,0.690973,True,True
238,14,Fay,Ari,Milo,interrupt warning,work slows but recovers,0.006,-0.012,0.006,0.686915,0.686615,True,True
239,14,Milo,Fay,Sera,comfort after failure,trust warms,0.018,0.014,0.006,0.687807,0.702007,True,True
240,14,Sera,Milo,Tovan,return resource,bystander learns caution,0.006,-0.012,0.006,0.688548,0.688248,True,True
241,14,Tovan,Sera,Nia,ask for distance,work slows but recovers,-0.011,-0.012,0.006,0.689137,0.681187,True,True
242,14,Nia,Tovan,Ari,repair together,trust warms,0.006,0.014,0.006,0.689574,0.698374,True,True
243,14,Ari,Nia,Fay,share tool,bystander learns caution,0.018,-0.012,0.006,0.689859,0.694959,True,True
244,14,Fay,Ari,Milo,interrupt warning,work slows but recovers,0.006,-0.012,0.006,0.68999,0.68969,True,True
245,14,Milo,Fay,Sera,comfort after failure,trust warms,0.018,0.014,0.006,0.689969,0.704169,True,True
246,14,Sera,Milo,Tovan,return resource,bystander learns caution,0.006,-0.012,0.006,0.689794,0.689494,True,True
