tick_index,agent,circadian_phase,wake_pressure,sleep_debt,sleep_quality,rest_recovery,dream_memory_sorting,fatigue_next_tick,rhythm_vibration_hz,flower_phase_deg,sleep_state
72,Sol,0.68795,0.636288,0.120492,0.315247,0.08,0.167287,0.228378,2.232674,309.589008,awake_active
73,Ari,0.994482,0.838528,0.142164,0.315097,0.08,0.167265,0.242801,2.376654,90.286772,awake_active
74,Fay,0.973884,0.814873,0.063163,0.468092,0.08,0.190214,0.148775,2.520522,232.434536,awake_active
75,Milo,0.999078,0.835553,0.080264,0.343951,0.08,0.171593,0.17896,2.6839,14.8723,awake_active
76,Sol,0.960525,0.828474,0.139892,0.36,0.08,0.174,0.205529,2.231101,139.620064,awake_active
77,Ari,0.902032,0.797107,0.161564,0.36,0.08,0.174,0.219833,2.323064,280.317828,awake_active
78,Fay,0.947856,0.804313,0.100695,0.26934,0.08,0.160401,0.251884,2.473792,62.465592,awake_active
79,Milo,0.874362,0.762066,0.137115,0.227745,0.08,0.154162,0.229059,2.62409,204.903356,awake_active
80,Sol,0.96333,0.835701,0.16207,0.466111,0.08,0.189917,0.215631,2.190492,329.65112,awake_active
81,Ari,0.574077,0.592648,0.183449,0.467575,0.08,0.190136,0.228575,2.237988,110.348884,steady_wakefulness
82,Fay,0.65948,0.630262,0.062495,0.36,0.26,0.174,0.154447,2.365735,252.496648,awake_active
83,Milo,0.53035,0.557816,0.200654,0.314305,0.08,0.167146,0.282036,2.545101,34.934412,steady_wakefulness
84,Sol,0.694723,0.670002,0.183923,0.467734,0.08,0.19016,0.228761,2.123828,159.682176,awake_active
85,Ari,0.202729,0.361112,0.205544,0.466524,0.08,0.189979,0.243995,2.161154,300.37994,steady_wakefulness
86,Fay,0.277682,0.375215,0.0275,0.343974,0.26,0.171596,0.144118,2.288448,82.527704,steady_wakefulness
87,Milo,0.168559,0.344061,0.162454,0.36,0.26,0.174,0.22042,2.449547,224.965468,steady_wakefulness
88,Sol,0.31205,0.43121,0.221987,0.266682,0.08,0.160002,0.334055,2.060467,349.713232,steady_wakefulness
89,Ari,0.005518,0.0,0.073727,0.696775,0.470194,0.224516,0.180229,2.006118,130.410996,deep_recovery_sleep
90,Fay,0.026116,0.0,0.0,0.654543,0.626544,0.218181,0.085214,2.140119,272.55876,deep_recovery_sleep
91,Milo,0.000922,0.0,0.0,0.893332,0.580266,0.254,0.054979,2.321953,54.996524,deep_recovery_sleep
92,Sol,0.039475,0.0,0.054819,0.79,0.5224,0.8185,0.09348,1.897177,179.744288,deep_recovery_sleep
93,Ari,0.097968,0.0,0.0,0.79,0.5224,0.8185,0.0573,2.013215,320.442052,deep_recovery_sleep
94,Fay,0.052144,0.0,0.0,0.745156,0.497287,0.231773,0.093026,2.184908,102.589816,deep_recovery_sleep
95,Milo,0.125638,0.0,0.0,0.893321,0.76026,0.253998,0.054987,2.31577,245.02758,deep_recovery_sleep
96,Sol,0.03667,0.0,0.0,0.777769,0.515551,0.236665,0.067044,1.928909,9.775344,deep_recovery_sleep
97,Ari,0.425923,0.452591,0.0194,0.36,0.08,0.174,0.126004,2.226724,173.473108,steady_wakefulness
98,Fay,0.34052,0.397933,0.037504,0.26948,0.08,0.160422,0.210067,2.385145,315.620872,steady_wakefulness
99,Milo,0.46965,0.480576,0.057111,0.226443,0.08,0.153966,0.177294,2.584208,98.058636,steady_wakefulness
100,Sol,0.305277,0.375377,0.022547,0.464263,0.08,0.189639,0.125018,2.132214,222.8064,steady_wakefulness
101,Ari,0.797271,0.695685,0.042074,0.463629,0.08,0.189544,0.138411,2.323924,3.504164,awake_active
102,Fay,0.722318,0.652784,0.056904,0.36,0.08,0.174,0.150757,2.485646,145.651928,awake_active
103,Milo,0.831441,0.728113,0.120007,0.317522,0.08,0.167628,0.226245,2.683123,288.089692,awake_active
104,Sol,0.68795,0.626602,0.044374,0.467869,0.08,0.19018,0.136551,2.231267,52.837456,awake_active
105,Ari,0.994482,0.828249,0.064663,0.464057,0.08,0.189609,0.152979,2.395517,193.53522,awake_active
106,Fay,0.973884,0.819219,0.078928,0.34688,0.08,0.172032,0.175745,2.562673,335.682984,awake_active
107,Milo,0.999078,0.853012,0.139407,0.36,0.08,0.174,0.205209,2.748363,118.120748,awake_active
108,Sol,0.960525,0.80716,0.082072,0.268505,0.08,0.160276,0.240258,2.305516,242.868512,awake_active
109,Ari,0.902032,0.775406,0.102427,0.268181,0.08,0.160227,0.253951,2.414641,23.566276,awake_active
110,Fay,0.947856,0.808728,0.136583,0.223725,0.08,0.153559,0.23191,2.586858,165.71404,awake_active
111,Milo,0.874362,0.778626,0.161297,0.467552,0.08,0.190133,0.213973,2.753822,308.151804,awake_active
112,Sol,0.96333,0.819511,0.101472,0.36,0.08,0.174,0.180172,2.325047,72.899568,awake_active
113,Ari,0.574077,0.576089,0.064227,0.36,0.26,0.174,0.15559,2.349933,213.597332,steady_wakefulness
114,Fay,0.65948,0.64031,0.142908,0.312377,0.26,0.166857,0.245459,2.523496,355.745096,awake_active
115,Milo,0.53035,0.564587,0.183289,0.467041,0.08,0.190056,0.228895,2.707276,138.18286,steady_wakefulness
116,Sol,0.694723,0.653035,0.123395,0.347388,0.08,0.172108,0.204689,2.283408,262.930624,awake_active
117,Ari,0.202729,0.32773,0.086257,0.346849,0.08,0.172027,0.180606,2.317202,43.628388,steady_wakefulness
118,Fay,0.277682,0.397731,0.104708,0.36,0.26,0.174,0.182307,2.454323,185.776152,steady_wakefulness
119,Milo,0.168559,0.339199,0.220601,0.270439,0.08,0.160566,0.330146,2.636817,328.213916,steady_wakefulness
120,Sol,0.31205,0.414262,0.180273,0.22761,0.08,0.154141,0.257651,2.205264,92.96168,steady_wakefulness
121,Ari,0.005518,0.0,0.0,0.654273,0.626393,0.218141,0.08543,2.116794,233.659444,deep_recovery_sleep
122,Fay,0.026116,0.0,0.0,0.898092,0.582931,0.254714,0.051187,2.274863,15.807208,deep_recovery_sleep
123,Milo,0.000922,0.0,0.053433,0.79,0.5224,0.8185,0.092566,2.445384,158.244972,deep_recovery_sleep
124,Sol,0.039475,0.0,0.064746,0.746116,0.497825,0.231917,0.134993,1.998974,282.992736,deep_recovery_sleep
125,Ari,0.097968,0.0,0.0,0.742746,0.495938,0.231412,0.094946,2.098189,63.6905,deep_recovery_sleep
126,Fay,0.052144,0.0,0.0,0.896658,0.762129,0.254499,0.052329,2.199035,205.838264,deep_recovery_sleep
127,Milo,0.125638,0.0,0.0,0.773221,0.513004,0.235983,0.070667,2.402696,348.276028,deep_recovery_sleep
128,Sol,0.03667,0.0,0.0,0.79,0.5224,0.8185,0.0573,1.950057,113.023792,deep_recovery_sleep
129,Ari,0.425923,0.452591,0.037541,0.269294,0.08,0.160394,0.21024,2.228715,276.721556,steady_wakefulness
130,Fay,0.34052,0.397933,0.056849,0.227757,0.08,0.154164,0.176073,2.366716,58.86932,steady_wakefulness
131,Milo,0.46965,0.480576,0.021918,0.467409,0.08,0.190111,0.122097,2.545647,201.307084,steady_wakefulness
132,Sol,0.305277,0.375377,0.0194,0.36,0.08,0.174,0.126004,2.074122,326.054848,steady_wakefulness
133,Ari,0.797271,0.700765,0.056941,0.36,0.08,0.174,0.150781,2.248326,106.752612,awake_active
134,Fay,0.722318,0.658201,0.119897,0.316756,0.08,0.167513,0.226783,2.392695,248.900376,awake_active
135,Milo,0.831441,0.718259,0.043834,0.467422,0.08,0.190113,0.136551,2.570854,31.33814,awake_active
136,Sol,0.68795,0.62572,0.04187,0.344649,0.08,0.171697,0.153064,2.106733,156.085904,awake_active
137,Ari,0.994482,0.832412,0.079329,0.345061,0.08,0.171759,0.177459,2.259792,296.783668,awake_active
138,Fay,0.973884,0.836857,0.139297,0.36,0.08,0.174,0.205136,2.419746,78.931432,awake_active
139,Milo,0.999078,0.831683,0.081984,0.266248,0.08,0.159937,0.241999,2.588987,221.369196,awake_active
140,Sol,0.960525,0.806459,0.098664,0.228031,0.08,0.154205,0.203453,2.145215,346.11696,awake_active
141,Ari,0.902032,0.779513,0.137035,0.223469,0.08,0.15352,0.232413,2.252434,126.814724,awake_active
142,Fay,0.947856,0.825631,0.161457,0.466202,0.08,0.18993,0.215154,2.427048,268.962488,awake_active
143,Milo,0.874362,0.762547,0.101384,0.36,0.08,0.174,0.180114,2.58889,51.400252,awake_active
144,Sol,0.96333,0.824157,0.162285,0.313897,0.08,0.167085,0.257037,2.169326,176.148016,awake_active
145,Ari,0.574077,0.585779,0.200597,0.314194,0.08,0.167129,0.282086,2.234819,316.84578,steady_wakefulness
146,Fay,0.65948,0.647275,0.125597,0.468299,0.26,0.190245,0.189816,2.384816,98.993544,awake_active
147,Milo,0.53035,0.547812,0.123354,0.347153,0.08,0.172073,0.204848,2.574994,241.431308,steady_wakefulness
148,Sol,0.694723,0.670062,0.124085,0.36,0.26,0.174,0.195096,2.13979,6.179072,awake_active
149,Ari,0.202729,0.365914,0.162397,0.36,0.26,0.174,0.220382,2.19366,146.876836,steady_wakefulness
150,Fay,0.277682,0.392884,0.105953,0.267221,0.26,0.160083,0.257043,2.370689,289.0246,steady_wakefulness
151,Milo,0.168559,0.322417,0.180946,0.224037,0.08,0.153606,0.260942,2.568821,71.462364,steady_wakefulness
152,Sol,0.31205,0.414455,0.145991,0.467468,0.08,0.19012,0.203938,2.160269,196.210128,steady_wakefulness
153,Ari,0.005518,0.0,0.0,0.895923,0.581717,0.254388,0.052915,2.099769,336.907892,deep_recovery_sleep
154,Fay,0.026116,0.0,0.0,0.79,0.5224,0.8185,0.0573,2.281052,119.055656,deep_recovery_sleep
155,Milo,0.000922,0.0,0.065584,0.74568,0.497581,0.231852,0.135894,2.465579,261.49342,deep_recovery_sleep
156,Sol,0.039475,0.0,0.0,0.89597,0.761743,0.254395,0.052877,1.987385,26.241184,deep_recovery_sleep
157,Ari,0.097968,0.0,0.0,0.892945,0.760049,0.253942,0.055287,2.106194,166.938948,deep_recovery_sleep
158,Fay,0.052144,0.0,0.0,0.77548,0.514269,0.236322,0.068868,2.317956,309.086712,deep_recovery_sleep
159,Milo,0.125638,0.0,0.0,0.79,0.5224,0.8185,0.0573,2.492913,91.524476,deep_recovery_sleep
160,Sol,0.03667,0.0,0.0,0.700546,0.472306,0.225082,0.128565,2.06715,216.27224,deep_recovery_sleep
161,Ari,0.425923,0.452591,0.057761,0.223195,0.08,0.153479,0.18031,2.351273,19.970004,steady_wakefulness
162,Fay,0.34052,0.397933,0.022578,0.464108,0.08,0.189616,0.125162,2.501843,162.117768,steady_wakefulness
163,Milo,0.46965,0.480576,0.0194,0.36,0.08,0.174,0.126004,2.691234,304.555532,steady_wakefulness
164,Sol,0.305277,0.375377,0.063331,0.315347,0.08,0.167302,0.190572,2.227898,69.303296,steady_wakefulness
165,Ari,0.797271,0.706427,0.120979,0.315908,0.08,0.167386,0.228173,2.409136,210.00106,awake_active
166,Fay,0.722318,0.648605,0.044821,0.465788,0.08,0.189868,0.138504,2.553447,352.148824,awake_active
167,Milo,0.831441,0.717554,0.041269,0.347653,0.08,0.172148,0.150274,2.734319,134.586588,awake_active
168,Sol,0.68795,0.638021,0.082731,0.36,0.08,0.174,0.167802,2.271264,259.334352,awake_active
169,Ari,0.994482,0.850343,0.140379,0.36,0.08,0.174,0.20585,2.421241,40.032116,awake_active
170,Fay,0.973884,0.815836,0.082323,0.269491,0.08,0.160424,0.239638,2.565846,182.17988,awake_active
171,Milo,0.999078,0.830965,0.098619,0.225249,0.08,0.153787,0.20564,2.730423,324.617644,awake_active
172,Sol,0.960525,0.8179,0.104609,0.467609,0.08,0.190141,0.176514,2.277986,89.365408,awake_active
173,Ari,0.902032,0.796607,0.162449,0.466653,0.08,0.189998,0.215449,2.373075,230.063172,awake_active
174,Fay,0.947856,0.809678,0.101723,0.36,0.08,0.174,0.180337,2.525223,12.210936,awake_active
175,Milo,0.874362,0.767205,0.162159,0.3143,0.08,0.167145,0.256633,2.674815,154.6487,awake_active
176,Sol,0.96333,0.825822,0.127275,0.463668,0.08,0.18955,0.194613,2.236484,279.396464,awake_active
177,Ari,0.574077,0.592895,0.185127,0.463608,0.08,0.189541,0.232843,2.284026,60.094228,steady_wakefulness
178,Fay,0.65948,0.630549,0.066387,0.345676,0.26,0.171851,0.168427,2.408884,202.241992,awake_active
179,Milo,0.53035,0.564829,0.123959,0.36,0.26,0.174,0.195013,2.553758,344.679756,steady_wakefulness
180,Sol,0.694723,0.66026,0.164859,0.269081,0.08,0.160362,0.294439,2.157011,109.42752,awake_active
181,Ari,0.202729,0.361582,0.222661,0.269332,0.08,0.1604,0.332388,2.191845,250.125284,steady_wakefulness
182,Fay,0.277682,0.376305,0.066017,0.225851,0.26,0.153878,0.183643,2.314059,32.273048,steady_wakefulness
183,Milo,0.168559,0.322587,0.146092,0.466335,0.08,0.18995,0.204907,2.496982,174.710812,steady_wakefulness
184,Sol,0.31205,0.425872,0.126659,0.36,0.26,0.174,0.196795,2.040732,299.458576,steady_wakefulness
185,Ari,0.005518,0.0,0.055493,0.79,0.5224,0.8185,0.093925,2.004424,80.15634,deep_recovery_sleep
186,Fay,0.026116,0.0,0.0,0.745378,0.497412,0.231807,0.092849,2.164809,222.304104,deep_recovery_sleep
187,Milo,0.000922,0.0,0.0,0.896012,0.761767,0.254402,0.052844,2.28445,4.741868,deep_recovery_sleep
188,Sol,0.039475,0.0,0.0,0.777929,0.51564,0.236689,0.066917,1.887357,129.489632,deep_recovery_sleep
189,Ari,0.097968,0.0,0.0,0.777885,0.515616,0.236683,0.066951,1.997368,270.187396,deep_recovery_sleep
190,Fay,0.052144,0.0,0.0,0.79,0.5224,0.8185,0.0573,2.157555,52.33516,deep_recovery_sleep
191,Milo,0.125638,0.0,0.0,0.695985,0.469752,0.224398,0.132199,2.339819,194.772924,deep_recovery_sleep
192,Sol,0.03667,0.0,0.0,0.653142,0.625759,0.217971,0.08633,1.875861,319.520688,deep_recovery_sleep
193,Ari,0.425923,0.452591,0.022089,0.466553,0.08,0.189983,0.122892,2.189063,123.218452,steady_wakefulness
194,Fay,0.34052,0.397933,0.0194,0.36,0.08,0.174,0.126004,2.343622,265.366216,steady_wakefulness
195,Milo,0.46965,0.480576,0.063277,0.315614,0.08,0.167342,0.190324,2.539471,47.80398,steady_wakefulness
196,Sol,0.305277,0.375377,0.022252,0.465742,0.08,0.189861,0.123645,2.084961,172.551744,steady_wakefulness
197,Ari,0.797271,0.696439,0.043992,0.467486,0.08,0.190123,0.136605,2.275058,313.249508,awake_active
198,Fay,0.722318,0.647715,0.041491,0.346546,0.08,0.171982,0.151302,2.434486,95.397272,awake_active
199,Milo,0.831441,0.72984,0.082677,0.36,0.08,0.174,0.167767,2.633224,237.835036,awake_active
200,Sol,0.68795,0.626519,0.060538,0.265567,0.08,0.159835,0.228387,2.181522,2.5828,awake_active
201,Ari,0.994482,0.828786,0.081998,0.266973,0.08,0.160046,0.24143,2.347236,143.280564,awake_active
202,Fay,0.973884,0.814903,0.099295,0.222978,0.08,0.153447,0.207895,2.515408,285.428328,awake_active
203,Milo,0.999078,0.84256,0.105308,0.463844,0.08,0.189577,0.179974,2.702554,67.866092,awake_active
204,Sol,0.960525,0.811687,0.079938,0.36,0.08,0.174,0.165959,2.266486,192.613856,awake_active
205,Ari,0.902032,0.78026,0.101398,0.36,0.08,0.174,0.180122,2.379793,333.31162,awake_active
206,Fay,0.947856,0.81443,0.162267,0.317141,0.08,0.167571,0.25444,2.556867,115.459384,awake_active
207,Milo,0.874362,0.769078,0.127887,0.464105,0.08,0.189616,0.194669,2.725633,257.897148,awake_active
208,Sol,0.96333,0.818914,0.102371,0.344835,0.08,0.171725,0.192847,2.304391,22.644912,awake_active
209,Ari,0.574077,0.575801,0.124049,0.343741,0.08,0.171561,0.208026,2.36763,163.342676,steady_wakefulness
210,Fay,0.65948,0.647502,0.124067,0.36,0.26,0.174,0.195084,2.516552,305.49044,awake_active
211,Milo,0.53035,0.555233,0.165725,0.267809,0.08,0.160171,0.296024,2.702938,87.928204,steady_wakefulness
212,Sol,0.694723,0.653287,0.160036,0.223675,0.08,0.153551,0.24743,2.287465,212.675968,awake_active
213,Ari,0.202729,0.34448,0.181265,0.22592,0.08,0.153888,0.259652,2.331108,353.373732,steady_wakefulness
214,Fay,0.277682,0.392455,0.088506,0.466805,0.26,0.190021,0.166526,2.469443,135.521496,steady_wakefulness
215,Milo,0.168559,0.334281,0.127525,0.36,0.26,0.174,0.197367,2.625422,277.95926,steady_wakefulness
216,Sol,0.31205,0.424522,0.223631,0.314027,0.08,0.167104,0.297421,2.235069,42.707024,steady_wakefulness
217,Ari,0.005518,0.0,0.065504,0.746733,0.498171,0.23201,0.135002,2.172454,183.404788,deep_recovery_sleep
218,Fay,0.026116,0.0,0.0,0.894708,0.761037,0.254206,0.053882,2.279907,325.552552,deep_recovery_sleep
219,Milo,0.000922,0.0,0.0,0.778174,0.515777,0.236726,0.066721,2.487622,107.990316,deep_recovery_sleep
220,Sol,0.039475,0.0,0.056463,0.79,0.5224,0.8185,0.094565,2.0389,232.73808,deep_recovery_sleep
221,Ari,0.097968,0.0,0.0,0.79,0.5224,0.8185,0.0573,2.140387,13.435844,deep_recovery_sleep
222,Fay,0.052144,0.0,0.0,0.699989,0.471994,0.224998,0.129009,2.300098,155.583608,deep_recovery_sleep
223,Milo,0.125638,0.0,0.0,0.65415,0.626324,0.218123,0.085527,2.432254,298.021372,deep_recovery_sleep
224,Sol,0.03667,0.0,0.0,0.897262,0.582467,0.254589,0.051848,1.989538,62.769136,deep_recovery_sleep
225,Ari,0.425923,0.452591,0.0194,0.36,0.08,0.174,0.126004,2.27856,226.4669,steady_wakefulness
226,Fay,0.34052,0.397933,0.063171,0.316145,0.08,0.167422,0.189831,2.415335,8.614664,steady_wakefulness
227,Milo,0.46965,0.480576,0.022414,0.464928,0.08,0.189739,0.124401,2.592282,151.052428,steady_wakefulness
228,Sol,0.305277,0.375377,0.022655,0.343727,0.08,0.171559,0.141116,2.118045,275.800192,steady_wakefulness
229,Ari,0.797271,0.695685,0.042006,0.34397,0.08,0.171596,0.153694,2.287734,56.497956,awake_active
230,Fay,0.722318,0.659971,0.082571,0.36,0.08,0.174,0.167697,2.42958,198.64572,awake_active
231,Milo,0.831441,0.718398,0.059661,0.270769,0.08,0.160615,0.223663,2.60278,341.083484,awake_active
232,Sol,0.68795,0.626632,0.07967,0.226926,0.08,0.154039,0.191798,2.133732,105.831248,awake_active
233,Ari,0.994482,0.82823,0.099719,0.223434,0.08,0.153515,0.207812,2.280156,246.529012,awake_active
234,Fay,0.973884,0.826406,0.105048,0.464615,0.08,0.189692,0.179189,2.432882,28.676776,awake_active
235,Milo,0.999078,0.836115,0.079061,0.36,0.08,0.174,0.16538,2.599309,171.11454,awake_active
236,Sol,0.960525,0.817043,0.143563,0.312534,0.08,0.16688,0.245766,2.150657,295.862304,awake_active
237,Ari,0.902032,0.785222,0.162906,0.316066,0.08,0.16741,0.255718,2.250521,76.560068,awake_active
238,Fay,0.947856,0.816041,0.12752,0.46464,0.08,0.189696,0.194,2.415536,218.707832,awake_active
239,Milo,0.874362,0.761729,0.10116,0.346501,0.08,0.171975,0.19072,2.57322,1.145596,awake_active
240,Sol,0.96333,0.836729,0.162963,0.36,0.08,0.174,0.220755,2.150757,125.89336,awake_active
241,Ari,0.574077,0.593023,0.124706,0.36,0.26,0.174,0.195506,2.177167,266.591124,steady_wakefulness
242,Fay,0.65948,0.637773,0.107208,0.27056,0.26,0.160584,0.255211,2.350786,48.738888,awake_active
