tick,day,scene_id,agent,sound_rate_hz,movement_rate_hz,object_resonance_hz,temperature_c,wetness,comfort_delta,pain_pressure,sensory_bound_to_consequence,flower_phase
39,3,v23-scene-d03,Ori,1.29,1.35,2.26,17.23,0.11,0.08,0.02,1,51.442796
40,3,v23-scene-d03,Melo,1.44,1.37,2.87,17.23,0.11,0.08,0.02,1,198.83056
41,3,v23-scene-d03,Sova,1.45,1.37,2.87,18.28,0.11,0.08,0.02,1,336.508324
42,3,v23-scene-d03,Nari,1.46,1.32,2.74,17.23,0.11,0.12,0.02,1,111.206088
43,3,v23-scene-d03,Sova,1.47,1.37,3.04,18.28,0.11,0.04,0.02,1,253.733852
44,3,v23-scene-d03,Vonn,1.48,1.37,2.22,16.48,0.27,0.16,0.02,1,22.391616
45,3,v23-scene-d03,Keth,1.43,1.18,2.0,17.23,0.11,0.04,0.02,1,150.73938
46,3,v23-scene-d03,Nari,1.36,1.35,2.0,17.23,0.11,0.08,0.02,1,292.327144
47,3,v23-scene-d03,Melo,1.51,1.37,2.61,17.23,0.11,0.16,0.02,1,79.714908
48,4,v23-scene-d04,Sova,1.36,1.39,2.61,18.29,0.11,0.12,0.02,1,215.292672
49,4,v23-scene-d04,Melo,1.31,1.3,2.78,17.24,0.11,0.04,0.02,1,351.030436
50,4,v23-scene-d04,Nari,1.38,1.37,2.87,17.24,0.11,0.08,0.02,1,132.8882
51,4,v23-scene-d04,Ori,1.25,1.18,2.65,17.24,0.11,0.04,0.02,0,259.875964
52,4,v23-scene-d04,Keth,1.26,1.35,2.91,17.24,0.11,0.08,0.02,1,45.683728
53,4,v23-scene-d04,Nari,1.44,1.39,3.0,17.24,0.11,-0.09,0.08,1,188.481492
54,4,v23-scene-d04,Melo,1.42,1.32,2.35,17.24,0.11,0.12,0.02,1,316.329256
55,4,v23-scene-d04,Sova,1.43,1.37,2.61,18.29,0.11,0.08,0.02,1,98.41702
56,4,v23-scene-d04,Keth,1.44,1.37,2.35,17.24,0.11,0.16,0.02,1,233.234784
57,4,v23-scene-d04,Vonn,1.39,1.35,2.65,16.49,0.27,0.08,0.02,1,12.572548
58,4,v23-scene-d04,Vonn,1.49,1.32,2.22,17.24,0.11,-0.09,0.08,1,146.120312
59,4,v23-scene-d04,Ori,1.33,1.18,2.52,17.24,0.11,0.04,0.02,0,279.868076
60,4,v23-scene-d04,Vonn,1.51,1.39,2.48,17.24,0.11,0.05,0.05,1,66.50584
61,4,v23-scene-d04,Sova,1.49,1.37,2.22,18.29,0.11,0.08,0.02,1,200.193604
62,4,v23-scene-d04,Vonn,1.5,1.37,2.74,17.24,0.11,0.08,0.02,1,343.591368
63,4,v23-scene-d04,Sova,1.51,1.37,2.48,18.29,0.11,0.08,0.02,1,118.409132
64,5,v23-scene-d05,Nari,1.39,1.39,2.09,17.25,0.15,0.05,0.05,1,250.206896
65,5,v23-scene-d05,Vonn,1.37,1.37,3.13,17.25,0.15,0.16,0.02,1,38.19466
66,5,v23-scene-d05,Nari,1.32,1.37,2.35,17.25,0.15,0.16,0.02,1,166.272424
67,5,v23-scene-d05,Sova,1.39,1.37,2.74,18.3,0.15,0.08,0.02,1,309.260188
68,5,v23-scene-d05,Vonn,1.4,1.37,3.0,16.5,0.31,0.16,0.02,1,89.797952
69,5,v23-scene-d05,Keth,1.27,1.23,2.78,17.25,0.15,0.08,0.02,0,218.335716
70,5,v23-scene-d05,Vonn,1.42,1.37,2.09,16.5,0.31,0.16,0.02,1,355.14348
71,5,v23-scene-d05,Melo,1.43,1.37,2.22,17.25,0.15,0.08,0.02,1,134.251244
72,5,v23-scene-d05,Vonn,1.44,1.37,2.35,16.5,0.31,0.08,0.02,1,273.359008
73,5,v23-scene-d05,Melo,1.39,1.35,2.39,17.25,0.15,0.08,0.02,1,49.836772
74,5,v23-scene-d05,Melo,1.4,1.35,2.52,17.25,0.15,0.08,0.02,1,188.944536
75,5,v23-scene-d05,Nari,1.47,1.37,2.61,17.25,0.15,0.16,0.02,1,329.2523
76,5,v23-scene-d05,Nari,1.48,1.37,2.48,17.25,0.15,0.16,0.02,1,105.500064
77,5,v23-scene-d05,Vonn,1.43,1.35,2.26,17.25,0.15,0.08,0.02,1,239.117828
78,5,v23-scene-d05,Ori,1.44,1.2,2.74,17.25,0.15,0.04,0.02,1,17.425592
79,5,v23-scene-d05,Ori,1.54,1.39,2.87,17.25,0.15,-0.09,0.08,1,163.953356
80,6,v23-scene-d06,Sova,1.36,1.37,2.09,18.31,0.11,0.08,0.02,1,289.20112
81,6,v23-scene-d06,Vonn,1.37,1.32,2.35,16.51,0.27,0.04,0.02,1,68.188884
82,6,v23-scene-d06,Sova,1.38,1.32,2.35,18.31,0.11,0.12,0.02,1,205.866648
83,6,v23-scene-d06,Sova,1.25,1.35,2.65,18.31,0.11,0.08,0.02,1,345.394412
84,6,v23-scene-d06,Vonn,1.4,1.39,2.09,17.26,0.11,0.12,0.02,1,120.532176
85,6,v23-scene-d06,Nari,1.35,1.35,2.39,17.26,0.11,0.08,0.02,1,259.24994
86,6,v23-scene-d06,Sova,1.42,1.37,2.87,18.31,0.11,0.08,0.02,1,43.847704
87,6,v23-scene-d06,Melo,1.43,1.37,3.13,17.26,0.11,0.16,0.02,1,184.385468
88,6,v23-scene-d06,Ori,1.47,1.39,2.87,17.26,0.11,-0.09,0.11,0,320.333232
89,6,v23-scene-d06,Melo,1.39,1.35,2.13,17.26,0.11,0.08,0.02,1,87.100996
90,6,v23-scene-d06,Vonn,1.46,1.37,2.87,17.26,0.11,0.08,0.02,1,234.55876
91,6,v23-scene-d06,Sova,1.47,1.32,2.61,18.31,0.11,0.04,0.02,1,7.826524
92,6,v23-scene-d06,Sova,1.48,1.32,2.48,18.31,0.11,0.12,0.02,1,144.074288
93,6,v23-scene-d06,Ori,1.52,1.39,2.35,17.26,0.11,0.05,0.05,1,283.002052
94,6,v23-scene-d06,Sova,1.5,1.37,2.74,18.31,0.11,0.16,0.02,1,63.839816
95,6,v23-scene-d06,Vonn,1.45,1.37,3.0,16.51,0.27,0.08,0.02,1,203.35758
96,7,v23-scene-d07,Ori,1.36,1.37,2.74,17.27,0.11,0.16,0.02,1,336.475344
97,7,v23-scene-d07,Melo,1.31,1.3,2.0,17.27,0.11,0.04,0.02,1,102.823108
98,7,v23-scene-d07,Nari,1.38,1.37,3.0,17.27,0.11,0.16,0.02,1,254.690872
99,7,v23-scene-d07,Sova,1.39,1.37,2.22,18.32,0.11,0.16,0.02,1,23.788636
100,7,v23-scene-d07,Vonn,1.4,1.37,2.48,16.52,0.27,0.08,0.02,1,164.3264
101,7,v23-scene-d07,Keth,1.27,1.23,2.26,17.27,0.11,0.08,0.02,0,292.864164
102,7,v23-scene-d07,Sova,1.42,1.32,2.87,18.32,0.11,0.12,0.02,1,82.421928
103,7,v23-scene-d07,Vonn,1.43,1.39,2.22,17.27,0.11,0.04,0.02,1,215.119692
104,7,v23-scene-d07,Vonn,1.44,1.39,3.0,16.52,0.27,0.12,0.02,1,1.377456
105,7,v23-scene-d07,Sova,1.39,1.3,2.91,18.32,0.11,0.04,0.02,1,134.25522
106,7,v23-scene-d07,Ori,1.32,1.35,2.78,17.27,0.11,0.08,0.02,1,270.692984
107,7,v23-scene-d07,Vonn,1.47,1.37,2.74,17.27,0.11,0.16,0.02,1,50.930748
108,7,v23-scene-d07,Nari,1.48,1.37,3.13,17.27,0.11,0.16,0.02,1,192.898512
109,7,v23-scene-d07,Vonn,1.43,1.35,2.91,17.27,0.11,0.08,0.02,1,326.516276
110,7,v23-scene-d07,Nari,1.5,1.37,2.22,17.27,0.11,0.08,0.02,1,98.24404
111,7,v23-scene-d07,Keth,1.51,1.32,2.48,17.27,0.11,0.04,0.02,1,237.231804
112,8,v23-scene-d08,Keth,1.36,1.32,2.61,17.28,0.11,0.04,0.02,1,13.619568
113,8,v23-scene-d08,Vonn,1.31,1.35,2.91,16.53,0.27,0.08,0.02,1,154.507332
114,8,v23-scene-d08,Sova,1.38,1.37,3.0,18.33,0.11,0.08,0.02,1,294.815096
115,8,v23-scene-d08,Sova,1.39,1.37,2.22,18.33,0.11,0.16,0.02,1,63.91286
116,8,v23-scene-d08,Melo,1.4,1.32,2.22,17.28,0.11,0.12,0.02,1,200.040624
117,8,v23-scene-d08,Sova,1.35,1.3,2.39,18.33,0.11,0.04,0.02,1,337.948388
118,8,v23-scene-d08,Sova,1.42,1.32,2.35,18.33,0.11,0.12,0.02,1,116.826152
119,8,v23-scene-d08,Keth,1.43,1.39,2.35,17.28,0.11,0.12,0.02,1,256.673916
120,8,v23-scene-d08,Melo,1.3,1.35,2.65,17.28,0.11,0.08,0.02,1,34.03168
121,8,v23-scene-d08,Ori,1.31,1.35,2.39,17.28,0.11,0.08,0.02,1,168.849444
122,8,v23-scene-d08,Nari,1.46,1.39,2.87,17.28,0.11,0.12,0.02,1,315.427208
123,8,v23-scene-d08,Ori,1.33,1.35,2.65,17.28,0.11,0.08,0.02,1,87.064972
124,8,v23-scene-d08,Sova,1.42,1.37,3.13,18.33,0.11,0.16,0.02,1,232.002736
125,8,v23-scene-d08,Vonn,1.43,1.35,2.13,16.53,0.27,0.08,0.02,0,358.0605
126,8,v23-scene-d08,Nari,1.5,1.37,2.22,17.28,0.11,0.08,0.02,1,138.368264
127,8,v23-scene-d08,Melo,1.51,1.32,2.48,17.28,0.11,0.04,0.02,1,277.356028
128,9,v23-scene-d09,Nari,1.36,1.37,2.22,17.29,0.11,0.16,0.02,1,51.003792
129,9,v23-scene-d09,Keth,1.37,1.37,2.48,17.29,0.11,0.16,0.02,1,191.541556
130,9,v23-scene-d09,Melo,1.38,1.37,2.87,17.29,0.11,0.16,0.02,1,333.50932
131,9,v23-scene-d09,Keth,1.25,1.23,2.65,17.29,0.11,0.08,0.02,0,102.047084
132,9,v23-scene-d09,Keth,1.4,1.25,2.87,17.29,0.11,0.08,0.02,1,245.144848
133,9,v23-scene-d09,Sova,1.35,1.3,3.04,18.34,0.11,0.04,0.02,1,25.222612
134,9,v23-scene-d09,Keth,1.42,1.39,3.13,17.29,0.11,0.04,0.02,1,167.700376
135,9,v23-scene-d09,Nari,1.43,1.37,2.22,17.29,0.11,0.08,0.02,1,294.74814
136,9,v23-scene-d09,Keth,1.38,1.37,2.13,17.29,0.11,0.04,0.02,1,70.415904
137,9,v23-scene-d09,Nari,1.39,1.35,2.39,17.29,0.11,0.08,0.02,1,210.333668
138,9,v23-scene-d09,Ori,1.46,1.37,2.35,17.29,0.11,0.16,0.02,1,349.211432
139,9,v23-scene-d09,Sova,1.47,1.32,2.74,18.34,0.11,0.12,0.02,1,129.629196
140,9,v23-scene-d09,Keth,1.48,1.32,2.74,17.29,0.11,0.04,0.02,1,267.30696
141,9,v23-scene-d09,Ori,1.35,1.35,2.65,17.29,0.11,0.08,0.02,1,42.544724
142,9,v23-scene-d09,Nari,1.5,1.37,2.87,17.29,0.11,0.08,0.02,1,185.642488
143,9,v23-scene-d09,Nari,1.51,1.37,2.09,17.29,0.11,0.16,0.02,1,314.740252
144,10,v23-scene-d10,Sova,1.36,1.37,2.22,18.35,0.15,0.16,0.02,1,91.128016
145,10,v23-scene-d10,Keth,1.37,1.32,2.22,17.3,0.15,0.12,0.02,1,227.25578
146,10,v23-scene-d10,Vonn,1.38,1.37,3.13,17.3,0.15,0.08,0.02,1,16.493544
147,10,v23-scene-d10,Melo,1.39,1.37,2.74,17.3,0.15,0.08,0.02,1,149.881308
148,10,v23-scene-d10,Keth,1.4,1.37,2.61,17.3,0.15,0.08,0.02,1,286.129072
149,10,v23-scene-d10,Keth,1.41,1.39,2.74,17.3,0.15,0.12,0.02,1,65.856836
150,10,v23-scene-d10,Melo,1.42,1.37,3.13,17.3,0.15,0.08,0.02,1,207.2046
151,10,v23-scene-d10,Melo,1.43,1.37,2.09,17.3,0.15,0.08,0.02,1,333.442364
152,10,v23-scene-d10,Sova,1.44,1.32,2.09,18.35,0.15,0.04,0.02,1,109.570128
153,10,v23-scene-d10,Keth,1.39,1.37,2.09,17.3,0.15,0.16,0.02,1,247.777892
154,10,v23-scene-d10,Ori,1.32,1.35,2.0,17.3,0.15,0.08,0.02,1,22.485656
155,10,v23-scene-d10,Sova,1.47,1.37,2.74,18.35,0.15,0.08,0.02,1,171.30342
156,10,v23-scene-d10,Sova,1.51,1.39,2.61,18.35,0.15,-0.09,0.08,1,308.681184
157,10,v23-scene-d10,Vonn,1.35,1.37,2.78,16.55,0.31,0.04,0.02,1,84.718948
158,10,v23-scene-d10,Sova,1.53,1.39,2.87,18.35,0.15,-0.03,0.05,1,226.896712
159,10,v23-scene-d10,Melo,1.51,1.32,3.13,17.3,0.15,0.12,0.02,1,4.754476
160,11,v23-scene-d11,Keth,1.36,1.2,3.0,17.31,0.11,0.12,0.02,1,134.56224
161,11,v23-scene-d11,Melo,1.31,1.3,2.13,17.31,0.11,0.04,0.02,1,264.750004
162,11,v23-scene-d11,Vonn,1.38,1.39,2.35,16.56,0.27,0.12,0.02,0,48.657768
163,11,v23-scene-d11,Vonn,1.39,1.37,3.0,17.31,0.11,0.08,0.02,1,192.865532
164,11,v23-scene-d11,Nari,1.4,1.37,2.22,17.31,0.11,0.16,0.02,1,321.963296
165,11,v23-scene-d11,Vonn,1.41,1.39,2.09,17.31,0.11,0.04,0.02,1,98.83106
166,11,v23-scene-d11,Nari,1.42,1.37,2.48,17.31,0.11,0.08,0.02,1,240.178824
167,11,v23-scene-d11,Vonn,1.43,1.37,2.26,17.31,0.11,0.04,0.02,1,15.436588
168,11,v23-scene-d11,Ori,1.44,1.37,2.74,17.31,0.11,0.08,0.02,1,158.394352
169,11,v23-scene-d11,Sova,1.45,1.39,3.13,18.36,0.11,0.12,0.02,1,300.982116
170,11,v23-scene-d11,Ori,1.46,1.39,3.0,17.31,0.11,0.12,0.02,1,77.22988
171,11,v23-scene-d11,Sova,1.47,1.37,2.22,18.36,0.11,0.16,0.02,1,205.707644
172,11,v23-scene-d11,Ori,1.48,1.37,2.09,17.31,0.11,0.16,0.02,1,341.955408
173,11,v23-scene-d11,Vonn,1.52,1.39,3.13,17.31,0.11,-0.09,0.08,1,132.203172
174,11,v23-scene-d11,Melo,1.5,1.32,2.74,17.31,0.11,0.04,0.02,1,262.910936
175,11,v23-scene-d11,Keth,1.51,1.32,2.61,17.31,0.11,0.04,0.02,1,39.1587
176,12,v23-scene-d12,Melo,1.36,1.32,3.0,17.32,0.11,0.12,0.02,1,178.406464
177,12,v23-scene-d12,Keth,1.31,1.23,2.78,17.32,0.11,0.08,0.02,1,309.854228
178,12,v23-scene-d12,Keth,1.38,1.25,3.0,17.32,0.11,0.08,0.02,1,91.591992
179,12,v23-scene-d12,Nari,1.39,1.37,3.0,17.32,0.11,0.08,0.02,1,232.989756
180,12,v23-scene-d12,Sova,1.4,1.37,2.22,18.37,0.11,0.16,0.02,1,2.08752
181,12,v23-scene-d12,Ori,1.27,1.35,2.0,17.32,0.11,0.08,0.02,1,134.345284
182,12,v23-scene-d12,Nari,1.36,1.37,2.48,17.32,0.11,0.08,0.02,1,279.283048
183,12,v23-scene-d12,Nari,1.43,1.39,2.35,17.32,0.11,0.12,0.02,1,57.170812
184,12,v23-scene-d12,Keth,1.44,1.32,2.61,17.32,0.11,0.04,0.02,1,195.538576
185,12,v23-scene-d12,Keth,1.48,1.32,2.74,17.32,0.11,-0.09,0.08,1,335.15634
186,12,v23-scene-d12,Vonn,1.49,1.39,2.48,17.32,0.11,-0.09,0.11,1,112.144104
187,12,v23-scene-d12,Sova,1.47,1.37,2.22,18.37,0.11,0.16,0.02,1,245.831868
188,12,v23-scene-d12,Ori,1.34,1.35,2.91,17.32,0.11,0.08,0.02,1,28.099632
189,12,v23-scene-d12,Melo,1.43,1.35,2.26,17.32,0.11,0.08,0.02,1,159.987396
190,12,v23-scene-d12,Keth,1.5,1.32,2.22,17.32,0.11,0.12,0.05,1,297.31516
191,12,v23-scene-d12,Keth,1.51,1.32,2.35,17.32,0.11,0.04,0.02,1,76.422924
192,13,v23-scene-d13,Sova,1.36,1.37,2.87,18.38,0.11,0.16,0.02,1,218.650688
193,13,v23-scene-d13,Ori,1.23,1.35,2.39,17.33,0.11,0.08,0.02,1,348.048452
194,13,v23-scene-d13,Sova,1.24,1.35,3.04,18.38,0.11,0.08,0.02,1,132.876216
195,13,v23-scene-d13,Nari,1.39,1.37,3.0,17.33,0.11,0.08,0.02,1,273.11398
196,13,v23-scene-d13,Nari,1.43,1.39,2.87,17.33,0.11,-0.03,0.05,1,50.491744
197,13,v23-scene-d13,Vonn,1.44,1.39,2.74,17.33,0.11,0.05,0.05,1,186.739508
198,13,v23-scene-d13,Keth,1.45,1.37,2.0,17.33,0.11,-0.09,0.08,1,315.657272
199,13,v23-scene-d13,Ori,1.29,1.35,2.0,17.33,0.11,0.08,0.02,0,89.825036
200,13,v23-scene-d13,Nari,1.44,1.39,2.22,17.33,0.11,0.12,0.02,1,233.5428
201,13,v23-scene-d13,Ori,1.31,1.35,2.26,17.33,0.11,0.08,0.02,1,8.040564
202,13,v23-scene-d13,Melo,1.46,1.37,2.87,17.33,0.11,0.16,0.02,1,155.428328
203,13,v23-scene-d13,Nari,1.47,1.37,2.87,17.33,0.11,0.16,0.02,1,293.106092
204,13,v23-scene-d13,Ori,1.48,1.32,2.74,17.33,0.11,0.12,0.02,1,67.803856
205,13,v23-scene-d13,Nari,1.43,1.35,3.04,17.33,0.11,0.08,0.02,1,208.69162
206,13,v23-scene-d13,Sova,1.5,1.37,2.35,18.38,0.11,0.16,0.02,1,340.419384
207,13,v23-scene-d13,Vonn,1.51,1.37,2.87,17.33,0.11,0.16,0.02,1,123.817148
208,14,v23-scene-d14,Keth,1.39,1.32,2.22,17.34,0.11,-0.09,0.11,1,250.584912
209,14,v23-scene-d14,Melo,1.31,1.35,2.52,17.34,0.11,0.08,0.02,1,30.962676
210,14,v23-scene-d14,Keth,1.38,1.32,2.48,17.34,0.11,0.12,0.05,1,168.29044
211,14,v23-scene-d14,Ori,1.25,1.35,2.39,17.34,0.11,0.08,0.02,1,303.528204
212,14,v23-scene-d14,Melo,1.4,1.32,3.0,17.34,0.11,0.12,0.02,1,89.365968
213,14,v23-scene-d14,Vonn,1.35,1.35,3.04,16.59,0.27,0.08,0.02,1,227.393732
214,14,v23-scene-d14,Keth,1.42,1.32,3.0,17.34,0.11,0.12,0.02,1,4.721496
215,14,v23-scene-d14,Nari,1.43,1.37,3.0,17.34,0.11,0.16,0.02,1,143.94926
216,14,v23-scene-d14,Sova,1.44,1.37,2.22,18.39,0.11,0.08,0.02,1,273.047024
217,14,v23-scene-d14,Ori,1.31,1.3,2.0,17.34,0.11,0.04,0.02,1,43.754788
218,14,v23-scene-d14,Vonn,1.32,1.35,3.04,17.34,0.11,0.08,0.02,1,194.422552
219,14,v23-scene-d14,Nari,1.47,1.37,2.35,17.34,0.11,0.16,0.02,1,327.510316
220,14,v23-scene-d14,Melo,1.48,1.37,2.87,17.34,0.11,0.16,0.02,1,110.90808
221,14,v23-scene-d14,Sova,1.43,1.35,3.04,18.39,0.11,0.08,0.02,1,248.815844
222,14,v23-scene-d14,Nari,1.5,1.37,3.0,17.34,0.11,0.16,0.02,1,27.693608
223,14,v23-scene-d14,Nari,1.51,1.37,2.87,17.34,0.11,0.16,0.02,1,163.941372
224,15,v23-scene-d15,Melo,1.36,1.37,2.22,17.35,0.15,0.16,0.02,1,291.749136
225,15,v23-scene-d15,Ori,1.23,1.35,3.04,17.35,0.15,0.08,0.02,1,75.4469
226,15,v23-scene-d15,Sova,1.38,1.32,2.61,18.4,0.15,0.12,0.02,1,209.844664
227,15,v23-scene-d15,Keth,1.39,1.32,2.35,17.35,0.15,0.04,0.02,1,344.662428
228,15,v23-scene-d15,Melo,1.4,1.37,2.74,17.35,0.15,0.16,0.02,1,128.180192
229,15,v23-scene-d15,Melo,1.35,1.35,2.78,17.35,0.15,0.08,0.02,1,264.657956
230,15,v23-scene-d15,Melo,1.42,1.37,3.0,17.35,0.15,0.08,0.02,1,46.39572
231,15,v23-scene-d15,Nari,1.29,1.35,2.91,17.35,0.15,0.08,0.02,1,180.083484
232,15,v23-scene-d15,Vonn,1.44,1.37,2.09,16.6,0.31,0.08,0.02,1,311.741248
233,15,v23-scene-d15,Vonn,1.45,1.39,2.74,17.35,0.15,0.04,0.02,1,97.189012
234,15,v23-scene-d15,Ori,1.46,1.32,3.13,17.35,0.15,0.04,0.02,1,236.986776
235,15,v23-scene-d15,Keth,1.47,1.32,2.22,17.35,0.15,0.12,0.02,1,4.65454
236,15,v23-scene-d15,Keth,1.48,1.32,2.35,17.35,0.15,0.12,0.02,0,143.762304
237,15,v23-scene-d15,Vonn,1.49,1.39,2.09,17.35,0.15,0.12,0.02,1,280.750068
238,15,v23-scene-d15,Vonn,1.5,1.37,2.87,16.6,0.31,0.16,0.02,1,66.387832
239,15,v23-scene-d15,Sova,1.51,1.37,2.87,18.4,0.15,0.08,0.02,1,204.065596
240,16,v23-scene-d16,Melo,1.3,1.39,3.13,17.36,0.11,0.12,0.02,1,341.48336
241,16,v23-scene-d16,Sova,1.31,1.3,2.13,18.41,0.11,0.04,0.02,1,105.371124
242,16,v23-scene-d16,Keth,1.38,1.32,3.13,17.36,0.11,0.04,0.02,1,255.688888
243,16,v23-scene-d16,Nari,1.39,1.37,3.13,17.36,0.11,0.16,0.02,1,34.916652
244,16,v23-scene-d16,Melo,1.4,1.37,2.48,17.36,0.11,0.08,0.02,1,165.444416
245,16,v23-scene-d16,Keth,1.41,1.32,2.35,17.36,0.11,0.04,0.02,1,300.14218
246,16,v23-scene-d16,Ori,1.42,1.39,2.35,17.36,0.11,0.12,0.02,1,79.989944
247,16,v23-scene-d16,Melo,1.43,1.37,2.87,17.36,0.11,0.08,0.02,1,222.767708
248,16,v23-scene-d16,Ori,1.44,1.37,2.61,17.36,0.11,0.16,0.02,1,357.585472
249,16,v23-scene-d16,Nari,1.39,1.35,2.65,17.36,0.11,0.08,0.02,1,134.063236
250,16,v23-scene-d16,Nari,1.46,1.32,3.13,17.36,0.11,0.04,0.02,1,277.111
251,16,v23-scene-d16,Keth,1.5,1.32,3.13,17.36,0.11,-0.09,0.08,1,55.298764
252,16,v23-scene-d16,Melo,1.48,1.32,2.35,17.36,0.11,0.04,0.02,1,183.886528
253,16,v23-scene-d16,Keth,1.49,1.32,2.22,17.36,0.11,0.12,0.05,1,320.134292
254,16,v23-scene-d16,Vonn,1.5,1.37,3.13,17.36,0.11,0.16,0.02,1,109.372056
255,16,v23-scene-d16,Melo,1.51,1.39,2.74,17.36,0.11,0.12,0.02,1,243.37982
256,17,v23-scene-d17,Nari,1.39,1.32,2.48,17.37,0.11,-0.09,0.08,1,13.817584
257,17,v23-scene-d17,Keth,1.37,1.32,2.74,17.37,0.11,0.04,0.02,1,153.845348
258,17,v23-scene-d17,Sova,1.38,1.32,2.09,18.42,0.11,0.12,0.02,1,284.373112
259,17,v23-scene-d17,Vonn,1.39,1.37,2.61,17.37,0.11,0.08,0.02,1,69.320876
260,17,v23-scene-d17,Sova,1.34,1.35,2.26,18.42,0.11,0.08,0.02,1,201.50864
261,17,v23-scene-d17,Nari,1.41,1.39,2.22,17.37,0.11,0.12,0.05,1,341.006404
262,17,v23-scene-d17,Sova,1.42,1.32,2.61,18.42,0.11,0.12,0.02,1,120.804168
263,17,v23-scene-d17,Keth,1.43,1.32,2.35,17.37,0.11,0.12,0.02,1,255.621932
