day,actor,kind,note,material,amount,material_delta,project_id,project_progress_before,project_progress_after,object_id,object_condition_before,object_condition_after,debt_id,debt_status,trade_fair,refused,labor_requested,labor_accepted,scarcity_blocked,ownership_preserved,consequence,private_workspace_sealed,frequency_rate_hz,flower_ring,claim_boundary
20,Ari,invest,Ari adds the last resin but remains short one copper clip.,,0,"invest {""dry_resin"": 1} into ari_west_brace",ari_west_brace,0.430,0.500,,,,,,True,False,False,,False,True,project progress was coupled to owner-held materials and labor,True,8.522,34,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
21,Milo,partial_repay,"Milo offers lamp oil as partial repayment; Ari accepts it as partial, not settled.",lamp_oil,1,partial repay 0 lamp_oil; original copper_clip debt remains open,,,,,,,milo_owes_ari_clip,partial,True,False,False,,False,True,partial repayment helped but did not erase original debt,True,3.397,12,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
22,Fay,gift,Fay gifts a cloth sleeve so Milo does not over-grip the map edge.,soft_cloth,1,gift 1 soft_cloth Fay->Milo,,,,,,,,,True,False,False,,False,True,gift increased care reputation without creating debt,True,2.472,8,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
23,Milo,wear,Map fold softens despite careful handling.,,0,none,,,,folded_map,0.880,0.826,,,True,False,False,,False,True,object wear reduced condition and became repair pressure,True,3.630,13,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
24,Milo,repair_object,Milo patches the map edge with his own vellum; ownership never transfers.,,0,none,,,,folded_map,0.826,0.871,,,True,False,False,,False,True,object repair improved condition but did not reset wear history,True,6.907,27,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
25,Fay,invest,Fay finishes the comfort kit shelf with her chosen label.,,0,"invest {""dry_wood"": 1, ""soft_cloth"": 1} into fay_comfort_kit",fay_comfort_kit,0.590,0.660,,,,,,True,False,False,,False,True,project progress was coupled to owner-held materials and labor,True,6.434,25,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
26,Ari,labor_request,Fay refuses late brace-polish labor and Ari accepts without grievance.,,0,labor terms recorded; no material moved,,,,,,,,,True,False,True,False,False,True,labor refusal preserved autonomy and did not punish the agent,True,1.318,3,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
27,Avatar,gift,Avatar gifts a copper clip without demanding labor in return.,copper_clip,1,gift 1 copper_clip Avatar->Ari,,,,,,,,,True,False,False,,False,True,gift increased care reputation without creating debt,True,8.302,33,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
28,Ari,invest,Ari completes the brace calibration using the no-strings clip gift.,,0,"invest {""copper_clip"": 1} into ari_west_brace",ari_west_brace,0.500,0.690,,,,,,True,False,False,,False,True,project progress was coupled to owner-held materials and labor,True,2.001,6,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
29,Milo,scarcity,Milo pauses archive expansion because map vellum is gone.,map_vellum,0,scarcity check map_vellum=0,,,,,,,,,True,False,False,,False,True,scarcity pressure marked future project limits,True,3.642,13,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
30,Milo,invest,Milo can review the archive but cannot expand it without vellum.,,0,none,milo_route_archive,0.620,0.620,,,,,,True,False,False,,True,True,project review happened but scarcity blocked expansion,True,4.341,16,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
31,Fay,settlement_review,Fay confirms avatar debt was repaid and keeps stove-corner access ordinary.,,0,none,,,,,,,,,True,False,False,,False,True,settlement review preserved debt and access consequences,True,8.057,32,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
32,Ari,settlement_review,Ari leaves Milo's copper-clip debt open after accepting partial lamp-oil repayment.,,0,none,,,,,,,,,True,False,False,,False,True,settlement review preserved debt and access consequences,True,1.310,3,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
33,Milo,labor_request,Milo accepts avatar lamp labor with object boundary intact.,,0,labor terms recorded; no material moved,,,,,,,,,True,False,True,True,False,True,avatar labor accepted under agent-owned object terms,True,1.554,4,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
34,Fay,gift,Fay gifts herbs for Ari's rest corner after the brace is finished.,herb_bundle,1,gift 1 herb_bundle Fay->Ari,,,,,,,,,True,False,False,,False,True,gift increased care reputation without creating debt,True,8.527,34,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
35,Ari,arc_review,"Ari recognizes fair gift, open debt, and accepted refusals as separate reputation facts.",,0,none,,,,,,,,,True,False,False,,False,True,"arc review separated gift, debt, refusal, and trade reputations",True,3.186,11,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
