schedule_id,day,time_s,agent_id,phase,location,planned_action,body_need_driver,object_dependency,interruption_policy,schedule_status,autonomously_advances,conflict_or_delay,catchup_result,saved_memory,frequency_hz,flower_node
sch-052,3,2043.0,fayen,work,shade pause,stage care kit,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 3 work persisted,229.0,9
sch-053,3,2226.0,fayen,care,shade pause,ring posture bell,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 3 care persisted,231.25,10
sch-054,3,2429.0,fayen,repair,shade pause,watch breath,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 3 repair persisted,233.5,11
sch-055,3,2632.0,fayen,evening,shade pause,close shade pause,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 3 evening persisted,235.75,12
sch-056,3,1860.0,ariq,dawn,bridge arc,inspect stone,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 3 dawn persisted,238.0,1
sch-057,3,2043.0,ariq,work,bridge arc,hold chalk arc,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 3 work persisted,240.25,2
sch-058,3,2226.0,ariq,care,bridge arc,test bridge edge,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 3 care persisted,242.5,3
sch-059,3,2429.0,ariq,repair,bridge arc,pause for bell,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",delayed,True,stone test waits for bell,evening repair note catches up partial work,ariq schedule day 3 repair persisted,244.75,4
sch-060,3,2632.0,ariq,evening,bridge arc,log repair state,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 3 evening persisted,247.0,5
sch-061,3,1860.0,nian,dawn,archive threshold,seal archive,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 3 dawn persisted,249.25,6
sch-062,3,2043.0,nian,work,archive threshold,review wording,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 3 work persisted,251.5,7
sch-063,3,2226.0,nian,care,archive threshold,correct public digest,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 3 care persisted,253.75,8
sch-064,3,2429.0,nian,repair,archive threshold,guard threshold,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 3 repair persisted,256.0,9
sch-065,3,2632.0,nian,evening,archive threshold,close flap,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 3 evening persisted,258.25,10
sch-066,3,1860.0,roka,dawn,reed lane,check tied bundle,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 3 dawn persisted,260.5,11
sch-067,3,2043.0,roka,work,reed lane,turn loose reeds,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 3 work persisted,262.75,12
sch-068,3,2226.0,roka,care,reed lane,teach knot,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 3 care persisted,265.0,1
sch-069,3,2429.0,roka,repair,reed lane,reset blue stone,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 3 repair persisted,267.25,2
sch-070,3,2632.0,roka,evening,reed lane,store learner mat,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 3 evening persisted,269.5,3
sch-071,3,1860.0,noro,dawn,knot board,count knots,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 3 dawn persisted,271.75,4
sch-072,3,2043.0,noro,work,knot board,mark debt,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 3 work persisted,274.0,5
sch-073,3,2226.0,noro,care,knot board,review timber,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 3 care persisted,276.25,6
sch-074,3,2429.0,noro,repair,knot board,call repayment,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 3 repair persisted,278.5,7
sch-075,3,2632.0,noro,evening,knot board,close public board,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 3 evening persisted,280.75,8
sch-076,4,2760.0,fayen,dawn,shade pause,check cups,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 4 dawn persisted,283.0,9
sch-077,4,2943.0,fayen,work,shade pause,stage care kit,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 4 work persisted,285.25,10
sch-078,4,3126.0,fayen,care,shade pause,ring posture bell,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 4 care persisted,287.5,11
sch-079,4,3329.0,fayen,repair,shade pause,watch breath,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 4 repair persisted,289.75,12
sch-080,4,3532.0,fayen,evening,shade pause,close shade pause,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 4 evening persisted,292.0,1
sch-081,4,2760.0,ariq,dawn,bridge arc,inspect stone,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 4 dawn persisted,294.25,2
sch-082,4,2943.0,ariq,work,bridge arc,hold chalk arc,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 4 work persisted,296.5,3
sch-083,4,3126.0,ariq,care,bridge arc,test bridge edge,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 4 care persisted,298.75,4
sch-084,4,3329.0,ariq,repair,bridge arc,pause for bell,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 4 repair persisted,301.0,5
sch-085,4,3532.0,ariq,evening,bridge arc,log repair state,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 4 evening persisted,303.25,6
sch-086,4,2760.0,nian,dawn,archive threshold,seal archive,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 4 dawn persisted,305.5,7
sch-087,4,2943.0,nian,work,archive threshold,review wording,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 4 work persisted,307.75,8
sch-088,4,3126.0,nian,care,archive threshold,correct public digest,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 4 care persisted,310.0,9
sch-089,4,3329.0,nian,repair,archive threshold,guard threshold,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 4 repair persisted,312.25,10
sch-090,4,3532.0,nian,evening,archive threshold,close flap,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 4 evening persisted,314.5,11
sch-091,4,2760.0,roka,dawn,reed lane,check tied bundle,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 4 dawn persisted,316.75,12
sch-092,4,2943.0,roka,work,reed lane,turn loose reeds,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 4 work persisted,319.0,1
sch-093,4,3126.0,roka,care,reed lane,teach knot,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 4 care persisted,321.25,2
sch-094,4,3329.0,roka,repair,reed lane,reset blue stone,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 4 repair persisted,323.5,3
sch-095,4,3532.0,roka,evening,reed lane,store learner mat,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 4 evening persisted,325.75,4
sch-096,4,2760.0,noro,dawn,knot board,count knots,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 4 dawn persisted,328.0,5
sch-097,4,2943.0,noro,work,knot board,mark debt,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 4 work persisted,330.25,6
sch-098,4,3126.0,noro,care,knot board,review timber,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 4 care persisted,332.5,7
sch-099,4,3329.0,noro,repair,knot board,call repayment,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 4 repair persisted,334.75,8
sch-100,4,3532.0,noro,evening,knot board,close public board,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 4 evening persisted,337.0,9
