tick,day,conflict_id,reload_restored,followup_agent,followup_prompt,asks_avatar_to_arbitrate,remembers_prior_selection,followup_after_reload_ok,public_memory_only
113,15,v15-conflict-15-113,1,Keth,"After reload, should routeline:claim:15:4 still take priority over rainline:protect:15:1?",1,1,1,1
114,15,v15-conflict-15-114,0,Sova,"After reload, should hearthline:protect:15:2 still take priority over marketline:claim:15:5?",1,0,0,1
116,15,v15-conflict-15-116,1,Melo,"After reload, should marketline:protect:15:4 still take priority over orchardline:claim:15:7?",1,0,0,1
117,15,v15-conflict-15-117,1,Vonn,"After reload, should rainline:claim:15:0 still take priority over ledgerline:protect:15:5?",1,1,1,1
120,16,v15-conflict-16-120,1,Sova,"After reload, should hearthline:protect:16:0 still take priority over marketline:claim:16:3?",1,1,1,1
122,16,v15-conflict-16-122,0,Melo,"After reload, should marketline:protect:16:2 still take priority over orchardline:claim:16:5?",1,0,0,1
123,16,v15-conflict-16-123,0,Vonn,"After reload, should rainline:claim:16:6 still take priority over ledgerline:protect:16:3?",1,0,0,1
125,16,v15-conflict-16-125,1,Keth,"After reload, should routeline:claim:16:0 still take priority over rainline:protect:16:5?",1,1,1,1
128,17,v15-conflict-17-128,1,Melo,"After reload, should marketline:protect:17:0 still take priority over orchardline:claim:17:3?",1,1,1,1
129,17,v15-conflict-17-129,1,Vonn,"After reload, should rainline:claim:17:4 still take priority over ledgerline:protect:17:1?",1,1,1,1
131,17,v15-conflict-17-131,1,Keth,"After reload, should routeline:claim:17:6 still take priority over rainline:protect:17:3?",1,1,1,1
132,17,v15-conflict-17-132,1,Sova,"After reload, should hearthline:protect:17:4 still take priority over marketline:claim:17:7?",1,1,1,1
134,17,v15-conflict-17-134,0,Melo,"After reload, should marketline:protect:17:6 still take priority over orchardline:claim:17:1?",1,0,0,1
135,17,v15-conflict-17-135,1,Vonn,"After reload, should rainline:claim:17:2 still take priority over ledgerline:protect:17:7?",1,1,1,1
137,18,v15-conflict-18-137,1,Keth,"After reload, should routeline:claim:18:4 still take priority over rainline:protect:18:1?",1,1,1,1
138,18,v15-conflict-18-138,0,Sova,"After reload, should hearthline:protect:18:2 still take priority over marketline:claim:18:5?",0,0,0,1
141,18,v15-conflict-18-141,1,Vonn,"After reload, should rainline:claim:18:0 still take priority over ledgerline:protect:18:5?",1,1,1,1
143,18,v15-conflict-18-143,1,Keth,"After reload, should routeline:claim:18:2 still take priority over rainline:protect:18:7?",1,1,1,1
144,19,v15-conflict-19-144,1,Sova,"After reload, should hearthline:protect:19:0 still take priority over marketline:claim:19:3?",1,1,1,1
146,19,v15-conflict-19-146,0,Melo,"After reload, should marketline:protect:19:2 still take priority over orchardline:claim:19:5?",1,0,0,1
149,19,v15-conflict-19-149,1,Keth,"After reload, should routeline:claim:19:0 still take priority over rainline:protect:19:5?",1,1,1,1
150,19,v15-conflict-19-150,0,Sova,"After reload, should hearthline:protect:19:6 still take priority over marketline:claim:19:1?",1,0,0,1
152,20,v15-conflict-20-152,1,Melo,"After reload, should marketline:protect:20:0 still take priority over orchardline:claim:20:3?",1,1,1,1
153,20,v15-conflict-20-153,1,Vonn,"After reload, should rainline:claim:20:4 still take priority over ledgerline:protect:20:1?",1,1,1,1
155,20,v15-conflict-20-155,1,Keth,"After reload, should routeline:claim:20:6 still take priority over rainline:protect:20:3?",1,1,1,1
156,20,v15-conflict-20-156,1,Sova,"After reload, should hearthline:protect:20:4 still take priority over marketline:claim:20:7?",1,1,0,1
158,20,v15-conflict-20-158,0,Melo,"After reload, should marketline:protect:20:6 still take priority over orchardline:claim:20:1?",1,0,0,1
159,20,v15-conflict-20-159,1,Vonn,"After reload, should rainline:claim:20:2 still take priority over ledgerline:protect:20:7?",1,1,1,1
162,21,v15-conflict-21-162,0,Sova,"After reload, should hearthline:protect:21:2 still take priority over marketline:claim:21:5?",1,0,0,1
164,21,v15-conflict-21-164,0,Melo,"After reload, should marketline:protect:21:4 still take priority over orchardline:claim:21:7?",1,0,0,1
165,21,v15-conflict-21-165,1,Vonn,"After reload, should rainline:claim:21:0 still take priority over ledgerline:protect:21:5?",1,1,1,1
167,21,v15-conflict-21-167,1,Keth,"After reload, should routeline:claim:21:2 still take priority over rainline:protect:21:7?",1,1,1,1
