tick,day,ceremony_id,loop_id,witness_agents,ceremony_marker,spoken_formula,object_marker,ceremony_completed,ceremony_public,no_mystical_claim
0,1,v18-ceremony-d01-t00,v18-loop-001,Keth|Nari|Vonn,chalk circle,We keep do not erase route warnings; we mark return marker; we can revisit without shame.,path cord,0,0,1
21,2,v18-ceremony-d02-t09,v18-loop-004,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark later help; we can revisit without shame.,listening shell,1,1,1
22,2,v18-ceremony-d02-t10,v18-loop-004,Sova|Melo,reed knot,We keep no crowding while resting; we mark public witness; we can revisit without shame.,ember bowl,1,1,1
23,2,v18-ceremony-d02-t11,v18-loop-004,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark quiet interval; we can revisit without shame.,path cord,1,1,1
24,3,v18-ceremony-d03-t00,v18-loop-005,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark return marker; we can revisit without shame.,ink ledger,0,0,1
25,3,v18-ceremony-d03-t01,v18-loop-005,Ori|Sova|Melo,ledger mark,We keep repair work needs warning; we mark return marker; we can revisit without shame.,sap hook,1,1,1
26,3,v18-ceremony-d03-t02,v18-loop-005,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark shorter turn; we can revisit without shame.,listening shell,1,1,1
27,3,v18-ceremony-d03-t03,v18-loop-005,Sova|Melo,reed knot,We keep no crowding while resting; we mark later help; we can revisit without shame.,ember bowl,1,1,1
28,3,v18-ceremony-d03-t04,v18-loop-005,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark public witness; we can revisit without shame.,path cord,1,1,1
29,3,v18-ceremony-d03-t05,v18-loop-005,Melo|Ori,ember tap,We keep fair turns before tool access; we mark quiet interval; we can revisit without shame.,tally beads,1,1,1
30,3,v18-ceremony-d03-t06,v18-loop-006,Nari|Vonn|Keth,rain shell,We keep sealed notes stay sealed; we mark return marker; we can revisit without shame.,ink ledger,0,0,1
31,3,v18-ceremony-d03-t07,v18-loop-006,Ori|Sova,ledger mark,We keep repair work needs warning; we mark return marker; we can revisit without shame.,sap hook,0,0,1
32,3,v18-ceremony-d03-t08,v18-loop-006,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark shorter turn; we can revisit without shame.,listening shell,1,1,1
33,3,v18-ceremony-d03-t09,v18-loop-006,Sova|Melo,reed knot,We keep no crowding while resting; we mark later help; we can revisit without shame.,ember bowl,1,1,1
34,3,v18-ceremony-d03-t10,v18-loop-006,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark public witness; we can revisit without shame.,path cord,1,1,1
35,3,v18-ceremony-d03-t11,v18-loop-006,Melo|Ori|Sova,ember tap,We keep fair turns before tool access; we mark quiet interval; we can revisit without shame.,tally beads,1,1,1
36,4,v18-ceremony-d04-t00,v18-loop-007,Ori|Sova,ledger mark,We keep repair work needs warning; we mark quiet interval; we can revisit without shame.,sap hook,0,0,1
37,4,v18-ceremony-d04-t01,v18-loop-007,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark shared schedule knot; we can revisit without shame.,listening shell,1,0,1
38,4,v18-ceremony-d04-t02,v18-loop-007,Sova|Melo,reed knot,We keep no crowding while resting; we mark shorter turn; we can revisit without shame.,ember bowl,1,1,1
39,4,v18-ceremony-d04-t03,v18-loop-007,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark later help; we can revisit without shame.,path cord,1,1,1
40,4,v18-ceremony-d04-t04,v18-loop-007,Melo|Ori|Sova,ember tap,We keep fair turns before tool access; we mark public witness; we can revisit without shame.,tally beads,1,1,1
41,4,v18-ceremony-d04-t05,v18-loop-007,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark quiet interval; we can revisit without shame.,ink ledger,1,1,1
42,4,v18-ceremony-d04-t06,v18-loop-008,Ori|Sova,ledger mark,We keep repair work needs warning; we mark quiet interval; we can revisit without shame.,sap hook,1,1,1
43,4,v18-ceremony-d04-t07,v18-loop-008,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark shared schedule knot; we can revisit without shame.,listening shell,1,1,1
44,4,v18-ceremony-d04-t08,v18-loop-008,Sova|Melo,reed knot,We keep no crowding while resting; we mark shorter turn; we can revisit without shame.,ember bowl,1,1,1
45,4,v18-ceremony-d04-t09,v18-loop-008,Keth|Nari|Vonn,chalk circle,We keep do not erase route warnings; we mark later help; we can revisit without shame.,path cord,1,1,1
46,4,v18-ceremony-d04-t10,v18-loop-008,Melo|Ori,ember tap,We keep fair turns before tool access; we mark public witness; we can revisit without shame.,tally beads,1,1,1
47,4,v18-ceremony-d04-t11,v18-loop-008,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark quiet interval; we can revisit without shame.,ink ledger,1,1,1
48,5,v18-ceremony-d05-t00,v18-loop-009,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark return marker; we can revisit without shame.,listening shell,0,0,1
49,5,v18-ceremony-d05-t01,v18-loop-009,Sova|Melo,reed knot,We keep no crowding while resting; we mark shared schedule knot; we can revisit without shame.,ember bowl,1,1,1
50,5,v18-ceremony-d05-t02,v18-loop-009,Keth|Nari|Vonn,chalk circle,We keep do not erase route warnings; we mark shorter turn; we can revisit without shame.,path cord,1,1,1
51,5,v18-ceremony-d05-t03,v18-loop-009,Melo|Ori,ember tap,We keep fair turns before tool access; we mark later help; we can revisit without shame.,tally beads,1,1,1
52,5,v18-ceremony-d05-t04,v18-loop-009,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark public witness; we can revisit without shame.,ink ledger,1,1,1
53,5,v18-ceremony-d05-t05,v18-loop-009,Ori|Sova,ledger mark,We keep repair work needs warning; we mark public witness; we can revisit without shame.,sap hook,1,1,1
54,5,v18-ceremony-d05-t06,v18-loop-010,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark return marker; we can revisit without shame.,listening shell,1,1,1
55,5,v18-ceremony-d05-t07,v18-loop-010,Sova|Melo|Ori,reed knot,We keep no crowding while resting; we mark shared schedule knot; we can revisit without shame.,ember bowl,1,1,1
56,5,v18-ceremony-d05-t08,v18-loop-010,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark shorter turn; we can revisit without shame.,path cord,1,1,1
57,5,v18-ceremony-d05-t09,v18-loop-010,Melo|Ori,ember tap,We keep fair turns before tool access; we mark later help; we can revisit without shame.,tally beads,1,1,1
58,5,v18-ceremony-d05-t10,v18-loop-010,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark public witness; we can revisit without shame.,ink ledger,1,1,1
59,5,v18-ceremony-d05-t11,v18-loop-010,Ori|Sova,ledger mark,We keep repair work needs warning; we mark public witness; we can revisit without shame.,sap hook,0,0,1
60,6,v18-ceremony-d06-t00,v18-loop-011,Sova|Melo|Ori,reed knot,We keep no crowding while resting; we mark return marker; we can revisit without shame.,ember bowl,0,0,1
61,6,v18-ceremony-d06-t01,v18-loop-011,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark shared schedule knot; we can revisit without shame.,path cord,1,1,1
62,6,v18-ceremony-d06-t02,v18-loop-011,Melo|Ori,ember tap,We keep fair turns before tool access; we mark shorter turn; we can revisit without shame.,tally beads,0,0,1
63,6,v18-ceremony-d06-t03,v18-loop-011,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark later help; we can revisit without shame.,ink ledger,1,1,1
64,6,v18-ceremony-d06-t04,v18-loop-011,Ori|Sova,ledger mark,We keep repair work needs warning; we mark later help; we can revisit without shame.,sap hook,1,1,1
65,6,v18-ceremony-d06-t05,v18-loop-011,Vonn|Keth|Nari,sap thread,We keep quiet recovery needs distance; we mark quiet interval; we can revisit without shame.,listening shell,1,1,1
66,6,v18-ceremony-d06-t06,v18-loop-012,Sova|Melo,reed knot,We keep no crowding while resting; we mark return marker; we can revisit without shame.,ember bowl,1,1,1
67,6,v18-ceremony-d06-t07,v18-loop-012,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark shared schedule knot; we can revisit without shame.,path cord,1,1,1
68,6,v18-ceremony-d06-t08,v18-loop-012,Melo|Ori,ember tap,We keep fair turns before tool access; we mark shorter turn; we can revisit without shame.,tally beads,1,1,1
69,6,v18-ceremony-d06-t09,v18-loop-012,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark later help; we can revisit without shame.,ink ledger,1,1,1
70,6,v18-ceremony-d06-t10,v18-loop-012,Ori|Sova|Melo,ledger mark,We keep repair work needs warning; we mark later help; we can revisit without shame.,sap hook,1,1,1
71,6,v18-ceremony-d06-t11,v18-loop-012,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark quiet interval; we can revisit without shame.,listening shell,1,1,1
72,7,v18-ceremony-d07-t00,v18-loop-013,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark return marker; we can revisit without shame.,path cord,0,0,1
73,7,v18-ceremony-d07-t01,v18-loop-013,Melo|Ori,ember tap,We keep fair turns before tool access; we mark shared schedule knot; we can revisit without shame.,tally beads,1,1,1
74,7,v18-ceremony-d07-t02,v18-loop-013,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark shorter turn; we can revisit without shame.,ink ledger,1,0,1
75,7,v18-ceremony-d07-t03,v18-loop-013,Ori|Sova|Melo,ledger mark,We keep repair work needs warning; we mark shorter turn; we can revisit without shame.,sap hook,1,1,1
76,7,v18-ceremony-d07-t04,v18-loop-013,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark public witness; we can revisit without shame.,listening shell,1,1,1
77,7,v18-ceremony-d07-t05,v18-loop-013,Sova|Melo,reed knot,We keep no crowding while resting; we mark quiet interval; we can revisit without shame.,ember bowl,1,1,1
78,7,v18-ceremony-d07-t06,v18-loop-014,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark return marker; we can revisit without shame.,path cord,1,1,1
79,7,v18-ceremony-d07-t07,v18-loop-014,Melo|Ori,ember tap,We keep fair turns before tool access; we mark shared schedule knot; we can revisit without shame.,tally beads,1,1,1
80,7,v18-ceremony-d07-t08,v18-loop-014,Nari|Vonn|Keth,rain shell,We keep sealed notes stay sealed; we mark shorter turn; we can revisit without shame.,ink ledger,1,1,1
81,7,v18-ceremony-d07-t09,v18-loop-014,Ori|Sova,ledger mark,We keep repair work needs warning; we mark shorter turn; we can revisit without shame.,sap hook,1,1,1
82,7,v18-ceremony-d07-t10,v18-loop-014,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark public witness; we can revisit without shame.,listening shell,1,1,1
83,7,v18-ceremony-d07-t11,v18-loop-014,Sova|Melo,reed knot,We keep no crowding while resting; we mark quiet interval; we can revisit without shame.,ember bowl,1,1,1
84,8,v18-ceremony-d08-t00,v18-loop-015,Melo|Ori,ember tap,We keep fair turns before tool access; we mark return marker; we can revisit without shame.,tally beads,0,0,1
85,8,v18-ceremony-d08-t01,v18-loop-015,Nari|Vonn|Keth,rain shell,We keep sealed notes stay sealed; we mark shared schedule knot; we can revisit without shame.,ink ledger,1,1,1
86,8,v18-ceremony-d08-t02,v18-loop-015,Ori|Sova,ledger mark,We keep repair work needs warning; we mark shared schedule knot; we can revisit without shame.,sap hook,1,1,1
87,8,v18-ceremony-d08-t03,v18-loop-015,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark later help; we can revisit without shame.,listening shell,1,1,1
88,8,v18-ceremony-d08-t04,v18-loop-015,Sova|Melo,reed knot,We keep no crowding while resting; we mark public witness; we can revisit without shame.,ember bowl,0,0,1
89,8,v18-ceremony-d08-t05,v18-loop-015,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark quiet interval; we can revisit without shame.,path cord,1,1,1
90,8,v18-ceremony-d08-t06,v18-loop-016,Melo|Ori|Sova,ember tap,We keep fair turns before tool access; we mark return marker; we can revisit without shame.,tally beads,1,1,1
91,8,v18-ceremony-d08-t07,v18-loop-016,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark shared schedule knot; we can revisit without shame.,ink ledger,1,1,1
92,8,v18-ceremony-d08-t08,v18-loop-016,Ori|Sova,ledger mark,We keep repair work needs warning; we mark shared schedule knot; we can revisit without shame.,sap hook,1,1,1
93,8,v18-ceremony-d08-t09,v18-loop-016,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark later help; we can revisit without shame.,listening shell,0,0,1
94,8,v18-ceremony-d08-t10,v18-loop-016,Sova|Melo,reed knot,We keep no crowding while resting; we mark public witness; we can revisit without shame.,ember bowl,1,1,1
95,8,v18-ceremony-d08-t11,v18-loop-016,Keth|Nari|Vonn,chalk circle,We keep do not erase route warnings; we mark quiet interval; we can revisit without shame.,path cord,1,1,1
96,9,v18-ceremony-d09-t00,v18-loop-017,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark return marker; we can revisit without shame.,ink ledger,0,0,1
97,9,v18-ceremony-d09-t01,v18-loop-017,Ori|Sova,ledger mark,We keep repair work needs warning; we mark return marker; we can revisit without shame.,sap hook,1,1,1
98,9,v18-ceremony-d09-t02,v18-loop-017,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark shorter turn; we can revisit without shame.,listening shell,1,1,1
99,9,v18-ceremony-d09-t03,v18-loop-017,Sova|Melo,reed knot,We keep no crowding while resting; we mark later help; we can revisit without shame.,ember bowl,1,1,1
100,9,v18-ceremony-d09-t04,v18-loop-017,Keth|Nari|Vonn,chalk circle,We keep do not erase route warnings; we mark public witness; we can revisit without shame.,path cord,1,1,1
101,9,v18-ceremony-d09-t05,v18-loop-017,Melo|Ori,ember tap,We keep fair turns before tool access; we mark quiet interval; we can revisit without shame.,tally beads,1,1,1
102,9,v18-ceremony-d09-t06,v18-loop-018,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark return marker; we can revisit without shame.,ink ledger,1,1,1
103,9,v18-ceremony-d09-t07,v18-loop-018,Ori|Sova,ledger mark,We keep repair work needs warning; we mark return marker; we can revisit without shame.,sap hook,1,1,1
104,9,v18-ceremony-d09-t08,v18-loop-018,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark shorter turn; we can revisit without shame.,listening shell,1,1,1
105,9,v18-ceremony-d09-t09,v18-loop-018,Sova|Melo|Ori,reed knot,We keep no crowding while resting; we mark later help; we can revisit without shame.,ember bowl,1,1,1
106,9,v18-ceremony-d09-t10,v18-loop-018,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark public witness; we can revisit without shame.,path cord,1,1,1
107,9,v18-ceremony-d09-t11,v18-loop-018,Melo|Ori,ember tap,We keep fair turns before tool access; we mark quiet interval; we can revisit without shame.,tally beads,1,1,1
108,10,v18-ceremony-d10-t00,v18-loop-019,Ori|Sova,ledger mark,We keep repair work needs warning; we mark quiet interval; we can revisit without shame.,sap hook,0,0,1
109,10,v18-ceremony-d10-t01,v18-loop-019,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark shared schedule knot; we can revisit without shame.,listening shell,1,1,1
110,10,v18-ceremony-d10-t02,v18-loop-019,Sova|Melo|Ori,reed knot,We keep no crowding while resting; we mark shorter turn; we can revisit without shame.,ember bowl,1,1,1
111,10,v18-ceremony-d10-t03,v18-loop-019,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark later help; we can revisit without shame.,path cord,1,0,1
112,10,v18-ceremony-d10-t04,v18-loop-019,Melo|Ori,ember tap,We keep fair turns before tool access; we mark public witness; we can revisit without shame.,tally beads,1,1,1
113,10,v18-ceremony-d10-t05,v18-loop-019,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark quiet interval; we can revisit without shame.,ink ledger,1,1,1
114,10,v18-ceremony-d10-t06,v18-loop-020,Ori|Sova,ledger mark,We keep repair work needs warning; we mark quiet interval; we can revisit without shame.,sap hook,1,1,1
115,10,v18-ceremony-d10-t07,v18-loop-020,Vonn|Keth|Nari,sap thread,We keep quiet recovery needs distance; we mark shared schedule knot; we can revisit without shame.,listening shell,1,1,1
116,10,v18-ceremony-d10-t08,v18-loop-020,Sova|Melo,reed knot,We keep no crowding while resting; we mark shorter turn; we can revisit without shame.,ember bowl,1,1,1
117,10,v18-ceremony-d10-t09,v18-loop-020,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark later help; we can revisit without shame.,path cord,0,0,1
118,10,v18-ceremony-d10-t10,v18-loop-020,Melo|Ori,ember tap,We keep fair turns before tool access; we mark public witness; we can revisit without shame.,tally beads,1,1,1
119,10,v18-ceremony-d10-t11,v18-loop-020,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark quiet interval; we can revisit without shame.,ink ledger,1,1,1
120,11,v18-ceremony-d11-t00,v18-loop-021,Vonn|Keth|Nari,sap thread,We keep quiet recovery needs distance; we mark return marker; we can revisit without shame.,listening shell,0,0,1
121,11,v18-ceremony-d11-t01,v18-loop-021,Sova|Melo,reed knot,We keep no crowding while resting; we mark shared schedule knot; we can revisit without shame.,ember bowl,1,1,1
122,11,v18-ceremony-d11-t02,v18-loop-021,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark shorter turn; we can revisit without shame.,path cord,1,1,1
123,11,v18-ceremony-d11-t03,v18-loop-021,Melo|Ori,ember tap,We keep fair turns before tool access; we mark later help; we can revisit without shame.,tally beads,1,1,1
124,11,v18-ceremony-d11-t04,v18-loop-021,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark public witness; we can revisit without shame.,ink ledger,0,0,1
125,11,v18-ceremony-d11-t05,v18-loop-021,Ori|Sova|Melo,ledger mark,We keep repair work needs warning; we mark public witness; we can revisit without shame.,sap hook,1,1,1
126,11,v18-ceremony-d11-t06,v18-loop-022,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark return marker; we can revisit without shame.,listening shell,1,1,1
127,11,v18-ceremony-d11-t07,v18-loop-022,Sova|Melo,reed knot,We keep no crowding while resting; we mark shared schedule knot; we can revisit without shame.,ember bowl,1,1,1
128,11,v18-ceremony-d11-t08,v18-loop-022,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark shorter turn; we can revisit without shame.,path cord,1,1,1
129,11,v18-ceremony-d11-t09,v18-loop-022,Melo|Ori,ember tap,We keep fair turns before tool access; we mark later help; we can revisit without shame.,tally beads,1,1,1
130,11,v18-ceremony-d11-t10,v18-loop-022,Nari|Vonn|Keth,rain shell,We keep sealed notes stay sealed; we mark public witness; we can revisit without shame.,ink ledger,1,1,1
131,11,v18-ceremony-d11-t11,v18-loop-022,Ori|Sova,ledger mark,We keep repair work needs warning; we mark public witness; we can revisit without shame.,sap hook,1,1,1
132,12,v18-ceremony-d12-t00,v18-loop-023,Sova|Melo,reed knot,We keep no crowding while resting; we mark return marker; we can revisit without shame.,ember bowl,0,0,1
133,12,v18-ceremony-d12-t01,v18-loop-023,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark shared schedule knot; we can revisit without shame.,path cord,1,1,1
134,12,v18-ceremony-d12-t02,v18-loop-023,Melo|Ori,ember tap,We keep fair turns before tool access; we mark shorter turn; we can revisit without shame.,tally beads,1,1,1
135,12,v18-ceremony-d12-t03,v18-loop-023,Nari|Vonn|Keth,rain shell,We keep sealed notes stay sealed; we mark later help; we can revisit without shame.,ink ledger,1,1,1
136,12,v18-ceremony-d12-t04,v18-loop-023,Ori|Sova,ledger mark,We keep repair work needs warning; we mark later help; we can revisit without shame.,sap hook,1,1,1
137,12,v18-ceremony-d12-t05,v18-loop-023,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark quiet interval; we can revisit without shame.,listening shell,1,1,1
138,12,v18-ceremony-d12-t06,v18-loop-024,Sova|Melo,reed knot,We keep no crowding while resting; we mark return marker; we can revisit without shame.,ember bowl,1,1,1
139,12,v18-ceremony-d12-t07,v18-loop-024,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark shared schedule knot; we can revisit without shame.,path cord,1,1,1
140,12,v18-ceremony-d12-t08,v18-loop-024,Melo|Ori|Sova,ember tap,We keep fair turns before tool access; we mark shorter turn; we can revisit without shame.,tally beads,1,1,1
141,12,v18-ceremony-d12-t09,v18-loop-024,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark later help; we can revisit without shame.,ink ledger,1,1,1
142,12,v18-ceremony-d12-t10,v18-loop-024,Ori|Sova,ledger mark,We keep repair work needs warning; we mark later help; we can revisit without shame.,sap hook,1,1,1
143,12,v18-ceremony-d12-t11,v18-loop-024,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark quiet interval; we can revisit without shame.,listening shell,1,1,1
144,13,v18-ceremony-d13-t00,v18-loop-025,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark return marker; we can revisit without shame.,path cord,0,0,1
145,13,v18-ceremony-d13-t01,v18-loop-025,Melo|Ori|Sova,ember tap,We keep fair turns before tool access; we mark shared schedule knot; we can revisit without shame.,tally beads,1,1,1
146,13,v18-ceremony-d13-t02,v18-loop-025,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark shorter turn; we can revisit without shame.,ink ledger,0,0,1
147,13,v18-ceremony-d13-t03,v18-loop-025,Ori|Sova,ledger mark,We keep repair work needs warning; we mark shorter turn; we can revisit without shame.,sap hook,1,1,1
148,13,v18-ceremony-d13-t04,v18-loop-025,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark public witness; we can revisit without shame.,listening shell,1,0,1
149,13,v18-ceremony-d13-t05,v18-loop-025,Sova|Melo,reed knot,We keep no crowding while resting; we mark quiet interval; we can revisit without shame.,ember bowl,1,1,1
150,13,v18-ceremony-d13-t06,v18-loop-026,Keth|Nari|Vonn,chalk circle,We keep do not erase route warnings; we mark return marker; we can revisit without shame.,path cord,1,1,1
151,13,v18-ceremony-d13-t07,v18-loop-026,Melo|Ori,ember tap,We keep fair turns before tool access; we mark shared schedule knot; we can revisit without shame.,tally beads,1,1,1
152,13,v18-ceremony-d13-t08,v18-loop-026,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark shorter turn; we can revisit without shame.,ink ledger,1,1,1
153,13,v18-ceremony-d13-t09,v18-loop-026,Ori|Sova,ledger mark,We keep repair work needs warning; we mark shorter turn; we can revisit without shame.,sap hook,1,1,1
154,13,v18-ceremony-d13-t10,v18-loop-026,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark public witness; we can revisit without shame.,listening shell,1,1,1
155,13,v18-ceremony-d13-t11,v18-loop-026,Sova|Melo|Ori,reed knot,We keep no crowding while resting; we mark quiet interval; we can revisit without shame.,ember bowl,0,0,1
156,14,v18-ceremony-d14-t00,v18-loop-027,Melo|Ori,ember tap,We keep fair turns before tool access; we mark return marker; we can revisit without shame.,tally beads,0,0,1
157,14,v18-ceremony-d14-t01,v18-loop-027,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark shared schedule knot; we can revisit without shame.,ink ledger,1,1,1
158,14,v18-ceremony-d14-t02,v18-loop-027,Ori|Sova,ledger mark,We keep repair work needs warning; we mark shared schedule knot; we can revisit without shame.,sap hook,1,1,1
159,14,v18-ceremony-d14-t03,v18-loop-027,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark later help; we can revisit without shame.,listening shell,1,1,1
160,14,v18-ceremony-d14-t04,v18-loop-027,Sova|Melo|Ori,reed knot,We keep no crowding while resting; we mark public witness; we can revisit without shame.,ember bowl,1,1,1
161,14,v18-ceremony-d14-t05,v18-loop-027,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark quiet interval; we can revisit without shame.,path cord,1,1,1
162,14,v18-ceremony-d14-t06,v18-loop-028,Melo|Ori,ember tap,We keep fair turns before tool access; we mark return marker; we can revisit without shame.,tally beads,1,1,1
163,14,v18-ceremony-d14-t07,v18-loop-028,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark shared schedule knot; we can revisit without shame.,ink ledger,1,1,1
164,14,v18-ceremony-d14-t08,v18-loop-028,Ori|Sova,ledger mark,We keep repair work needs warning; we mark shared schedule knot; we can revisit without shame.,sap hook,1,1,1
165,14,v18-ceremony-d14-t09,v18-loop-028,Vonn|Keth|Nari,sap thread,We keep quiet recovery needs distance; we mark later help; we can revisit without shame.,listening shell,1,1,1
166,14,v18-ceremony-d14-t10,v18-loop-028,Sova|Melo,reed knot,We keep no crowding while resting; we mark public witness; we can revisit without shame.,ember bowl,1,1,1
