tick_id,day,season,route_id,sight_cue,sound_cue,smell_cue,temperature_cue,wetness_cue,body_cue,rhythm_marker,sensory_bound_to_route
77,6,spring_rain,central_repair_ring,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
78,6,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
79,6,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
80,6,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
81,6,spring_rain,signal_orchard,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
82,6,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
83,6,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,ambient-rate,True
84,7,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
85,7,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
86,7,spring_rain,signal_orchard,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
87,7,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
88,7,spring_rain,central_repair_ring,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
89,7,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
90,7,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
91,7,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
92,7,spring_rain,signal_orchard,blocked route sign,guild hammer stop,wet rope,cool damp,soaked,braced waiting,flower-node,True
93,7,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
94,7,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
95,7,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
96,7,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
97,7,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,ambient-rate,True
98,8,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
99,8,spring_rain,orchard_riverbend,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
100,8,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
101,8,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
102,8,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
103,8,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
104,8,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
105,8,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
106,8,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
107,8,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
108,8,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
109,8,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
110,8,spring_rain,signal_orchard,blocked route sign,guild hammer stop,wet rope,cool damp,soaked,braced waiting,flower-node,True
111,8,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,ambient-rate,True
112,9,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
113,9,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
114,9,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
115,9,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
116,9,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
117,9,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
118,9,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
119,9,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
120,9,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
121,9,spring_rain,archive_signal,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
122,9,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
123,9,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
124,9,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
125,9,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,ambient-rate,True
126,10,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
127,10,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
128,10,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
129,10,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
130,10,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
131,10,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
132,10,spring_rain,roofward_archive,caravan markers,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
133,10,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
134,10,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
135,10,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
136,10,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
137,10,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
138,10,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
139,10,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,ambient-rate,True
140,11,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
141,11,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
142,11,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
143,11,spring_rain,riverbend_roofward,blocked route sign,guild hammer stop,wet rope,cool damp,soaked,braced waiting,caravan-pulse,True
144,11,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
145,11,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
146,11,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
147,11,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
148,11,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,flower-node,True
149,11,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
150,11,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
151,11,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
152,11,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
153,11,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,ambient-rate,True
154,12,spring_rain,central_repair_ring,caravan markers,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,flower-node,True
155,12,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
156,12,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
157,12,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
158,12,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
159,12,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
160,12,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
161,12,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
162,12,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
163,12,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
164,12,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
165,12,spring_rain,orchard_riverbend,caravan markers,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
166,12,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,flower-node,True
167,12,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,ambient-rate,True
168,13,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
169,13,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
170,13,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
171,13,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
172,13,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,flower-node,True
173,13,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
174,13,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
175,13,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
176,13,spring_rain,signal_orchard,blocked route sign,guild hammer stop,wet rope,cool damp,soaked,tired caravan pace,flower-node,True
177,13,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
178,13,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
179,13,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
180,13,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
181,13,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,ambient-rate,True
182,14,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,flower-node,True
183,14,spring_rain,central_repair_ring,caravan markers,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
184,14,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
185,14,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
186,14,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,flower-node,True
187,14,spring_rain,signal_orchard,caravan markers,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
188,14,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
189,14,spring_rain,central_repair_ring,caravan markers,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
190,14,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
191,14,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
192,14,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
193,14,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
194,14,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,flower-node,True
195,14,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,ambient-rate,True
196,15,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
197,15,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
198,15,spring_rain,archive_signal,caravan markers,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
199,15,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
200,15,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,flower-node,True
201,15,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
202,15,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,caravan-pulse,True
203,15,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
204,15,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,flower-node,True
205,15,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
206,15,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
207,15,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
208,15,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,steady carrying,flower-node,True
209,15,spring_rain,roofward_archive,caravan markers,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,ambient-rate,True
210,16,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,flower-node,True
211,16,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
212,16,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
213,16,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
214,16,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,flower-node,True
215,16,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
216,16,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
217,16,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
218,16,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,flower-node,True
219,16,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
220,16,spring_rain,riverbend_roofward,caravan markers,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
221,16,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
222,16,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,flower-node,True
223,16,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,ambient-rate,True
224,17,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,flower-node,True
225,17,spring_rain,central_repair_ring,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
226,17,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
227,17,spring_rain,roofward_archive,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
228,17,spring_rain,archive_signal,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,flower-node,True
229,17,spring_rain,signal_orchard,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
230,17,spring_rain,orchard_riverbend,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
231,17,spring_rain,central_repair_ring,caravan markers,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,caravan-pulse,True
232,17,spring_rain,riverbend_roofward,detour flags,wheel rattle,wet rope,cool damp,soaked,tired caravan pace,flower-node,True
