seed,mutation_id,parent_practice_id,hint_id,interpretation_id,local_name,origin_household,status,adoption_count,maintenance_cost,risk_flags,not_predeclared_unlock,wrong_interpretation_still_useful
36281,36281-AHM-010-1,36281-EPG-010,36281-AHD-010,36281-AHI-010-1,dry keeping habit around edge-shame/quiet-doubt schedule conflict practice,house_1,practical,1,2,ordinary upkeep,True,True
36281,36281-AHM-010-2,36281-EPG-010,36281-AHD-010,36281-AHI-010-2,storm-thread avoidance around edge-shame/quiet-doubt schedule conflict practice,house_2,taboo,0,2,failed ancestor,True,False
36307,36307-AHM-011-1,36307-EPG-011,36307-AHD-011,36307-AHI-011-1,storm-thread avoidance around safe-gap/half-sign safety limit practice,house_3,taboo,0,2,failed ancestor,True,False
36307,36307-AHM-011-3,36307-EPG-011,36307-AHD-011,36307-AHI-011-3,quiet sign waiting around safe-gap/half-sign safety limit practice,house_1,ritualized,1,3,failed ancestor,True,False
36307,36307-AHM-012-2,36307-EPG-012,36307-AHD-012,36307-AHI-012-2,dry keeping habit around safe-gap/half-sign schedule conflict practice,house_0,practical,1,2,ordinary upkeep,True,True
36307,36307-AHM-012-3,36307-EPG-012,36307-AHD-012,36307-AHI-012-3,storm-thread avoidance around safe-gap/half-sign schedule conflict practice,house_1,taboo,0,2,failed ancestor,True,False
36319,36319-AHM-013-1,36319-EPG-013,36319-AHD-013,36319-AHI-013-1,quiet sign waiting around fiber-rise/edge-shame safety limit practice,house_3,ritualized,1,3,failed ancestor,True,False
36319,36319-AHM-013-3,36319-EPG-013,36319-AHD-013,36319-AHI-013-3,dry keeping habit around fiber-rise/edge-shame safety limit practice,house_1,practical,1,2,ordinary upkeep,True,True
36319,36319-AHM-014-1,36319-EPG-014,36319-AHD-014,36319-AHI-014-1,storm-thread avoidance around fiber-rise/edge-shame schedule conflict practice,house_3,taboo,0,2,failed ancestor,True,False
36319,36319-AHM-014-3,36319-EPG-014,36319-AHD-014,36319-AHI-014-3,quiet sign waiting around fiber-rise/edge-shame schedule conflict practice,house_1,ritualized,1,3,failed ancestor,True,False
36343,36343-AHM-015-1,36343-EPG-015,36343-AHD-015,36343-AHI-015-1,storm-thread avoidance around smoke-bound/tool-anger safety limit practice,house_3,taboo,0,2,failed ancestor,True,False
36343,36343-AHM-015-3,36343-EPG-015,36343-AHD-015,36343-AHI-015-3,quiet sign waiting around smoke-bound/tool-anger safety limit practice,house_1,ritualized,1,3,failed ancestor,True,False
36343,36343-AHM-016-2,36343-EPG-016,36343-AHD-016,36343-AHI-016-2,dry keeping habit around smoke-bound/tool-anger schedule conflict practice,house_0,practical,1,2,ordinary upkeep,True,True
36343,36343-AHM-016-3,36343-EPG-016,36343-AHD-016,36343-AHI-016-3,storm-thread avoidance around smoke-bound/tool-anger schedule conflict practice,house_1,taboo,0,2,failed ancestor,True,False
