tick_index,agent,rolling_valence,rolling_arousal,rolling_control,rolling_safety,embodied_stress_load,recovery_momentum,affect_memory_charge,dominant_long_mood,private_history_note
1,Ari,0.566599,0.397141,0.687688,0.607617,0.299678,0.227264,0.221136,steady_continuity,private: Ari carries steady_continuity from day 1; stress=0.30; recovery=0.23; charge=0.22
14,Fay,0.598803,0.475218,0.776514,0.67877,0.27868,0.27472,0.165167,steady_continuity,private: Fay carries steady_continuity from day 1; stress=0.28; recovery=0.27; charge=0.17
15,Milo,0.574163,0.513677,0.79128,0.623481,0.322472,0.253298,0.189473,steady_continuity,private: Milo carries steady_continuity from day 1; stress=0.32; recovery=0.25; charge=0.19
16,Sol,0.610675,0.501005,0.778869,0.676995,0.30586,0.285631,0.14831,steady_continuity,private: Sol carries steady_continuity from day 1; stress=0.31; recovery=0.29; charge=0.15
17,Ari,0.5913,0.527485,0.783632,0.652884,0.345939,0.274355,0.178774,steady_continuity,private: Ari carries steady_continuity from day 1; stress=0.35; recovery=0.27; charge=0.18
18,Fay,0.580281,0.514732,0.796003,0.618192,0.336405,0.290617,0.159222,steady_continuity,private: Fay carries steady_continuity from day 1; stress=0.34; recovery=0.29; charge=0.16
19,Milo,0.60253,0.496628,0.808828,0.672208,0.288769,0.301907,0.170984,steady_continuity,private: Milo carries steady_continuity from day 1; stress=0.29; recovery=0.30; charge=0.17
20,Sol,0.650708,0.483499,0.810068,0.720313,0.249436,0.390837,0.11644,steady_continuity,private: Sol carries steady_continuity from day 1; stress=0.25; recovery=0.39; charge=0.12
21,Ari,0.63308,0.47813,0.810528,0.700617,0.283708,0.383169,0.146947,steady_continuity,private: Ari carries steady_continuity from day 1; stress=0.28; recovery=0.38; charge=0.15
22,Fay,0.56356,0.528687,0.799009,0.572611,0.387168,0.301428,0.175089,steady_continuity,private: Fay carries steady_continuity from day 1; stress=0.39; recovery=0.30; charge=0.18
23,Milo,0.622826,0.464549,0.821744,0.70821,0.267938,0.334961,0.149227,steady_continuity,private: Milo carries steady_continuity from day 1; stress=0.27; recovery=0.33; charge=0.15
24,Sol,0.625256,0.459723,0.828241,0.704804,0.266654,0.334633,0.104086,steady_continuity,private: Sol carries steady_continuity from day 1; stress=0.27; recovery=0.33; charge=0.10
25,Ari,0.633811,0.395527,0.828856,0.704922,0.25321,0.390474,0.123669,steady_continuity,private: Ari carries steady_continuity from day 1; stress=0.25; recovery=0.39; charge=0.12
26,Fay,0.631177,0.430395,0.822503,0.65232,0.27621,0.438525,0.137379,steady_continuity,private: Fay carries steady_continuity from day 1; stress=0.28; recovery=0.44; charge=0.14
27,Milo,0.594098,0.450066,0.804985,0.646784,0.34103,0.319728,0.181872,steady_continuity,private: Milo carries steady_continuity from day 1; stress=0.34; recovery=0.32; charge=0.18
28,Sol,0.622318,0.42628,0.844342,0.652231,0.288398,0.382871,0.093938,steady_continuity,private: Sol carries steady_continuity from day 1; stress=0.29; recovery=0.38; charge=0.09
29,Ari,0.634555,0.377932,0.846665,0.655311,0.265909,0.420924,0.102948,steady_continuity,private: Ari carries steady_continuity from day 1; stress=0.27; recovery=0.42; charge=0.10
30,Fay,0.682842,0.355599,0.83973,0.717773,0.187823,0.498688,0.094436,steady_continuity,private: Fay carries steady_continuity from day 1; stress=0.19; recovery=0.50; charge=0.09
31,Milo,0.655712,0.371429,0.830835,0.7088,0.241136,0.450969,0.137204,steady_continuity,private: Milo carries steady_continuity from day 1; stress=0.24; recovery=0.45; charge=0.14
32,Sol,0.611445,0.412089,0.849193,0.612175,0.307564,0.356064,0.104174,steady_continuity,private: Sol carries steady_continuity from day 1; stress=0.31; recovery=0.36; charge=0.10
33,Ari,0.664893,0.380815,0.860123,0.705022,0.211809,0.415892,0.078344,steady_continuity,private: Ari carries steady_continuity from day 2; stress=0.21; recovery=0.42; charge=0.08
34,Fay,0.662542,0.359347,0.850125,0.70996,0.195614,0.407972,0.071484,steady_continuity,private: Fay carries steady_continuity from day 2; stress=0.20; recovery=0.41; charge=0.07
35,Milo,0.677164,0.378423,0.849737,0.742661,0.200801,0.436323,0.096352,steady_continuity,private: Milo carries steady_continuity from day 2; stress=0.20; recovery=0.44; charge=0.10
36,Sol,0.581523,0.463264,0.833077,0.569685,0.366646,0.278988,0.153125,steady_continuity,private: Sol carries steady_continuity from day 2; stress=0.37; recovery=0.28; charge=0.15
37,Ari,0.621012,0.466474,0.840551,0.638867,0.30234,0.319671,0.117619,steady_continuity,private: Ari carries steady_continuity from day 2; stress=0.30; recovery=0.32; charge=0.12
38,Fay,0.625634,0.433306,0.85685,0.642661,0.264428,0.314285,0.070258,steady_continuity,private: Fay carries steady_continuity from day 2; stress=0.26; recovery=0.31; charge=0.07
39,Milo,0.690856,0.406438,0.857441,0.767493,0.18143,0.426364,0.0688,steady_continuity,private: Milo carries steady_continuity from day 2; stress=0.18; recovery=0.43; charge=0.07
40,Sol,0.624417,0.45774,0.855677,0.639833,0.279586,0.319376,0.131502,steady_continuity,private: Sol carries steady_continuity from day 2; stress=0.28; recovery=0.32; charge=0.13
41,Ari,0.653164,0.477254,0.859329,0.691266,0.23783,0.34704,0.093837,steady_continuity,private: Ari carries steady_continuity from day 2; stress=0.24; recovery=0.35; charge=0.09
42,Fay,0.592602,0.508472,0.849874,0.590607,0.327994,0.250578,0.097796,steady_continuity,private: Fay carries steady_continuity from day 2; stress=0.33; recovery=0.25; charge=0.10
43,Milo,0.699956,0.437262,0.862299,0.785549,0.171065,0.419591,0.045731,steady_continuity,private: Milo carries steady_continuity from day 2; stress=0.17; recovery=0.42; charge=0.05
44,Sol,0.614636,0.471702,0.865722,0.649374,0.26727,0.286039,0.123735,steady_continuity,private: Sol carries steady_continuity from day 2; stress=0.27; recovery=0.29; charge=0.12
45,Ari,0.635406,0.483442,0.866837,0.6875,0.240521,0.304851,0.086681,steady_continuity,private: Ari carries steady_continuity from day 2; stress=0.24; recovery=0.30; charge=0.09
46,Fay,0.628996,0.507634,0.860582,0.653582,0.261756,0.300057,0.085193,steady_continuity,private: Fay carries steady_continuity from day 2; stress=0.26; recovery=0.30; charge=0.09
47,Milo,0.640157,0.516838,0.836415,0.695641,0.291245,0.322186,0.090052,steady_continuity,private: Milo carries steady_continuity from day 2; stress=0.29; recovery=0.32; charge=0.09
48,Sol,0.58552,0.53288,0.871784,0.595085,0.322808,0.231371,0.13001,steady_continuity,private: Sol carries steady_continuity from day 2; stress=0.32; recovery=0.23; charge=0.13
49,Ari,0.600305,0.520813,0.870955,0.623235,0.306291,0.244163,0.095457,steady_continuity,private: Ari carries steady_continuity from day 2; stress=0.31; recovery=0.24; charge=0.10
50,Fay,0.670489,0.485599,0.863138,0.706633,0.208574,0.400647,0.066221,steady_continuity,private: Fay carries steady_continuity from day 2; stress=0.21; recovery=0.40; charge=0.07
51,Milo,0.67727,0.484226,0.852795,0.736615,0.229411,0.415694,0.062997,steady_continuity,private: Milo carries steady_continuity from day 2; stress=0.23; recovery=0.42; charge=0.06
52,Sol,0.558492,0.569861,0.865003,0.552794,0.376675,0.194196,0.158944,steady_continuity,private: Sol carries steady_continuity from day 2; stress=0.38; recovery=0.19; charge=0.16
53,Ari,0.568507,0.534864,0.861539,0.573449,0.368272,0.202895,0.129482,steady_continuity,private: Ari carries steady_continuity from day 2; stress=0.37; recovery=0.20; charge=0.13
54,Fay,0.703548,0.446995,0.867019,0.747307,0.167537,0.469048,0.03686,steady_continuity,private: Fay carries steady_continuity from day 2; stress=0.17; recovery=0.47; charge=0.04
55,Milo,0.649662,0.450194,0.859994,0.71935,0.242812,0.351536,0.054754,steady_continuity,private: Milo carries steady_continuity from day 2; stress=0.24; recovery=0.35; charge=0.05
56,Sol,0.616022,0.512117,0.876987,0.62948,0.287501,0.328661,0.136432,steady_continuity,private: Sol carries steady_continuity from day 2; stress=0.29; recovery=0.33; charge=0.14
57,Ari,0.638739,0.435028,0.875656,0.654955,0.254629,0.371522,0.103419,steady_continuity,private: Ari carries steady_continuity from day 2; stress=0.25; recovery=0.37; charge=0.10
58,Fay,0.668668,0.436996,0.843092,0.683432,0.241034,0.410869,0.066738,steady_continuity,private: Fay carries steady_continuity from day 2; stress=0.24; recovery=0.41; charge=0.07
59,Milo,0.645263,0.418837,0.868311,0.665498,0.261438,0.394485,0.047566,steady_continuity,private: Milo carries steady_continuity from day 2; stress=0.26; recovery=0.39; charge=0.05
60,Sol,0.671222,0.417859,0.88427,0.70036,0.195501,0.423588,0.104646,steady_continuity,private: Sol carries steady_continuity from day 2; stress=0.20; recovery=0.42; charge=0.10
61,Ari,0.688487,0.359453,0.883113,0.719719,0.173148,0.452972,0.069889,steady_continuity,private: Ari carries steady_continuity from day 2; stress=0.17; recovery=0.45; charge=0.07
62,Fay,0.716643,0.361627,0.859569,0.73944,0.163903,0.512945,0.025406,steady_continuity,private: Fay carries steady_continuity from day 2; stress=0.16; recovery=0.51; charge=0.03
63,Milo,0.6299,0.406658,0.86482,0.622806,0.28652,0.3639,0.062554,steady_continuity,private: Milo carries steady_continuity from day 2; stress=0.29; recovery=0.36; charge=0.06
64,Sol,0.724346,0.337718,0.890802,0.758712,0.132941,0.555264,0.055814,settled_after_care,private: Sol carries settled_after_care from day 2; stress=0.13; recovery=0.56; charge=0.06
65,Ari,0.667216,0.366094,0.888714,0.711444,0.183847,0.376885,0.05032,steady_continuity,private: Ari carries steady_continuity from day 3; stress=0.18; recovery=0.38; charge=0.05
66,Fay,0.728917,0.361044,0.871442,0.768795,0.134557,0.478466,0.0,steady_continuity,private: Fay carries steady_continuity from day 3; stress=0.13; recovery=0.48; charge=0.00
67,Milo,0.596649,0.467554,0.842557,0.578348,0.349507,0.284316,0.116061,steady_continuity,private: Milo carries steady_continuity from day 3; stress=0.35; recovery=0.28; charge=0.12
68,Sol,0.67329,0.39348,0.894532,0.679806,0.218483,0.414444,0.040137,steady_continuity,private: Sol carries steady_continuity from day 3; stress=0.22; recovery=0.41; charge=0.04
69,Ari,0.629487,0.441881,0.891296,0.643813,0.255102,0.293146,0.051973,steady_continuity,private: Ari carries steady_continuity from day 3; stress=0.26; recovery=0.29; charge=0.05
70,Fay,0.735992,0.38399,0.874957,0.790262,0.121582,0.455021,0.0,steady_continuity,private: Fay carries steady_continuity from day 3; stress=0.12; recovery=0.46; charge=0.00
71,Milo,0.637085,0.468107,0.860726,0.647019,0.264929,0.322999,0.098471,steady_continuity,private: Milo carries steady_continuity from day 3; stress=0.26; recovery=0.32; charge=0.10
72,Sol,0.629371,0.462654,0.884104,0.619042,0.294582,0.318686,0.062118,steady_continuity,private: Sol carries steady_continuity from day 3; stress=0.29; recovery=0.32; charge=0.06
73,Ari,0.595465,0.51617,0.87958,0.591506,0.321894,0.236203,0.083815,steady_continuity,private: Ari carries steady_continuity from day 3; stress=0.32; recovery=0.24; charge=0.08
74,Fay,0.740336,0.415241,0.877423,0.805817,0.114774,0.439078,0.0,steady_continuity,private: Fay carries steady_continuity from day 3; stress=0.11; recovery=0.44; charge=0.00
75,Milo,0.62554,0.480777,0.86777,0.655458,0.253983,0.288503,0.093923,steady_continuity,private: Milo carries steady_continuity from day 3; stress=0.25; recovery=0.29; charge=0.09
76,Sol,0.657679,0.47341,0.892581,0.675484,0.236528,0.34637,0.047669,steady_continuity,private: Sol carries steady_continuity from day 3; stress=0.24; recovery=0.35; charge=0.05
77,Ari,0.63121,0.510881,0.887146,0.65429,0.257458,0.290282,0.074008,steady_continuity,private: Ari carries steady_continuity from day 3; stress=0.26; recovery=0.29; charge=0.07
78,Fay,0.676779,0.500908,0.848802,0.714046,0.238228,0.335437,0.042756,steady_continuity,private: Fay carries steady_continuity from day 3; stress=0.24; recovery=0.34; charge=0.04
79,Milo,0.595468,0.533401,0.873054,0.600366,0.308976,0.233046,0.100946,steady_continuity,private: Milo carries steady_continuity from day 3; stress=0.31; recovery=0.23; charge=0.10
80,Sol,0.676689,0.484407,0.893176,0.717261,0.204402,0.365196,0.036563,steady_continuity,private: Sol carries steady_continuity from day 3; stress=0.20; recovery=0.37; charge=0.04
81,Ari,0.655932,0.491607,0.887614,0.700831,0.22044,0.327056,0.06359,steady_continuity,private: Ari carries steady_continuity from day 3; stress=0.22; recovery=0.33; charge=0.06
82,Fay,0.710887,0.476253,0.862289,0.753622,0.179419,0.424705,0.016341,steady_continuity,private: Fay carries steady_continuity from day 3; stress=0.18; recovery=0.42; charge=0.02
83,Milo,0.567078,0.561081,0.862888,0.557458,0.365174,0.195335,0.134572,steady_continuity,private: Milo carries steady_continuity from day 3; stress=0.37; recovery=0.20; charge=0.13
84,Sol,0.690032,0.4783,0.893684,0.748048,0.184358,0.377997,0.022647,steady_continuity,private: Sol carries steady_continuity from day 3; stress=0.18; recovery=0.38; charge=0.02
85,Ari,0.673326,0.457646,0.887018,0.735185,0.198046,0.352062,0.050058,steady_continuity,private: Ari carries steady_continuity from day 3; stress=0.20; recovery=0.35; charge=0.05
86,Fay,0.697362,0.438754,0.86727,0.741679,0.179719,0.424608,0.002479,steady_continuity,private: Fay carries steady_continuity from day 3; stress=0.18; recovery=0.42; charge=0.00
87,Milo,0.623813,0.497056,0.873355,0.633682,0.276617,0.329436,0.114711,steady_continuity,private: Milo carries steady_continuity from day 3; stress=0.28; recovery=0.33; charge=0.11
88,Sol,0.633008,0.516931,0.862719,0.667686,0.299687,0.293902,0.075025,steady_continuity,private: Sol carries steady_continuity from day 3; stress=0.30; recovery=0.29; charge=0.08
89,Ari,0.642313,0.445262,0.859961,0.672476,0.270356,0.331205,0.090186,steady_continuity,private: Ari carries steady_continuity from day 3; stress=0.27; recovery=0.33; charge=0.09
90,Fay,0.683404,0.410315,0.871906,0.683489,0.213216,0.444151,0.0,steady_continuity,private: Fay carries steady_continuity from day 3; stress=0.21; recovery=0.44; charge=0.00
91,Milo,0.677252,0.406556,0.879016,0.703719,0.1881,0.424118,0.085585,steady_continuity,private: Milo carries steady_continuity from day 3; stress=0.19; recovery=0.42; charge=0.09
92,Sol,0.688319,0.421578,0.878669,0.72626,0.205261,0.433407,0.045614,steady_continuity,private: Sol carries steady_continuity from day 3; stress=0.21; recovery=0.43; charge=0.05
93,Ari,0.696877,0.367826,0.876471,0.731223,0.183842,0.458774,0.052876,steady_continuity,private: Ari carries steady_continuity from day 3; stress=0.18; recovery=0.46; charge=0.05
94,Fay,0.658464,0.400346,0.864363,0.636292,0.253888,0.39764,0.015663,steady_continuity,private: Fay carries steady_continuity from day 3; stress=0.25; recovery=0.40; charge=0.02
95,Milo,0.728837,0.329684,0.883257,0.761196,0.127908,0.555445,0.040459,settled_after_care,private: Milo carries settled_after_care from day 3; stress=0.13; recovery=0.56; charge=0.04
96,Sol,0.684556,0.352445,0.887415,0.728873,0.178231,0.424907,0.024654,steady_continuity,private: Sol carries steady_continuity from day 3; stress=0.18; recovery=0.42; charge=0.02
97,Ari,0.714093,0.37034,0.888368,0.762632,0.148115,0.44163,0.018979,steady_continuity,private: Ari carries steady_continuity from day 4; stress=0.15; recovery=0.44; charge=0.02
98,Fay,0.61842,0.45517,0.84064,0.588482,0.325901,0.307259,0.069902,steady_continuity,private: Fay carries steady_continuity from day 4; stress=0.33; recovery=0.31; charge=0.07
99,Milo,0.676673,0.396372,0.886181,0.681669,0.215003,0.414567,0.026853,steady_continuity,private: Milo carries steady_continuity from day 4; stress=0.22; recovery=0.41; charge=0.03
100,Sol,0.70339,0.354863,0.892096,0.760791,0.150237,0.4186,0.006002,steady_continuity,private: Sol carries steady_continuity from day 4; stress=0.15; recovery=0.42; charge=0.01
101,Ari,0.724552,0.395617,0.890585,0.785622,0.132109,0.429972,0.0,steady_continuity,private: Ari carries steady_continuity from day 4; stress=0.13; recovery=0.43; charge=0.00
102,Fay,0.65345,0.452864,0.856307,0.654639,0.248796,0.3386,0.056502,steady_continuity,private: Fay carries steady_continuity from day 4; stress=0.25; recovery=0.34; charge=0.06
103,Milo,0.63212,0.472248,0.875957,0.620452,0.291354,0.318769,0.049526,steady_continuity,private: Milo carries steady_continuity from day 4; stress=0.29; recovery=0.32; charge=0.05
104,Sol,0.716767,0.37743,0.896414,0.784184,0.132295,0.414312,0.0,steady_continuity,private: Sol carries steady_continuity from day 4; stress=0.13; recovery=0.41; charge=0.00
105,Ari,0.731347,0.425771,0.891844,0.8023,0.12353,0.422045,0.0,steady_continuity,private: Ari carries steady_continuity from day 4; stress=0.12; recovery=0.42; charge=0.00
106,Fay,0.638121,0.467468,0.862587,0.661206,0.241825,0.299112,0.054983,steady_continuity,private: Fay carries steady_continuity from day 4; stress=0.24; recovery=0.30; charge=0.05
107,Milo,0.659765,0.482692,0.883732,0.676554,0.23428,0.346427,0.03692,steady_continuity,private: Milo carries steady_continuity from day 4; stress=0.23; recovery=0.35; charge=0.04
108,Sol,0.659928,0.472931,0.868948,0.698286,0.248413,0.318596,0.046181,steady_continuity,private: Sol carries steady_continuity from day 4; stress=0.25; recovery=0.32; charge=0.05
109,Ari,0.669858,0.506541,0.86339,0.711364,0.244783,0.323855,0.045346,steady_continuity,private: Ari carries steady_continuity from day 4; stress=0.24; recovery=0.32; charge=0.05
110,Fay,0.604595,0.528056,0.864673,0.60469,0.30208,0.24026,0.069017,steady_continuity,private: Fay carries steady_continuity from day 4; stress=0.30; recovery=0.24; charge=0.07
111,Milo,0.67841,0.486277,0.884349,0.718083,0.202278,0.365234,0.026641,steady_continuity,private: Milo carries steady_continuity from day 4; stress=0.20; recovery=0.37; charge=0.03
112,Sol,0.682441,0.480356,0.882174,0.735878,0.200953,0.34631,0.029823,steady_continuity,private: Sol carries steady_continuity from day 4; stress=0.20; recovery=0.35; charge=0.03
113,Ari,0.705613,0.475873,0.877437,0.751568,0.184065,0.416829,0.019883,steady_continuity,private: Ari carries steady_continuity from day 4; stress=0.18; recovery=0.42; charge=0.02
114,Fay,0.59047,0.555405,0.854323,0.567095,0.34452,0.267185,0.099165,steady_continuity,private: Fay carries steady_continuity from day 4; stress=0.34; recovery=0.27; charge=0.10
115,Milo,0.691296,0.470857,0.884069,0.74868,0.183091,0.378023,0.014591,steady_continuity,private: Milo carries steady_continuity from day 4; stress=0.18; recovery=0.38; charge=0.01
116,Sol,0.657773,0.473877,0.886816,0.721023,0.21395,0.304354,0.028438,steady_continuity,private: Sol carries steady_continuity from day 4; stress=0.21; recovery=0.30; charge=0.03
117,Ari,0.676889,0.442954,0.88249,0.733719,0.198617,0.352308,0.013667,steady_continuity,private: Ari carries steady_continuity from day 4; stress=0.20; recovery=0.35; charge=0.01
118,Fay,0.644128,0.497361,0.865375,0.642353,0.25629,0.378294,0.077795,steady_continuity,private: Fay carries steady_continuity from day 4; stress=0.26; recovery=0.38; charge=0.08
119,Milo,0.634336,0.502902,0.854202,0.668195,0.297339,0.29392,0.066153,steady_continuity,private: Milo carries steady_continuity from day 4; stress=0.30; recovery=0.29; charge=0.07
120,Sol,0.61756,0.498685,0.888959,0.648461,0.286497,0.243825,0.04266,steady_continuity,private: Sol carries steady_continuity from day 4; stress=0.29; recovery=0.24; charge=0.04
121,Ari,0.668021,0.413517,0.887469,0.677515,0.226171,0.394966,0.009113,steady_continuity,private: Ari carries steady_continuity from day 4; stress=0.23; recovery=0.39; charge=0.01
122,Fay,0.692553,0.405859,0.871815,0.710296,0.174277,0.457716,0.047409,steady_continuity,private: Fay carries steady_continuity from day 4; stress=0.17; recovery=0.46; charge=0.05
123,Milo,0.689381,0.411056,0.869566,0.726676,0.203514,0.433419,0.038022,steady_continuity,private: Milo carries steady_continuity from day 4; stress=0.20; recovery=0.43; charge=0.04
124,Sol,0.606073,0.466437,0.881644,0.608417,0.310391,0.261495,0.071551,steady_continuity,private: Sol carries steady_continuity from day 4; stress=0.31; recovery=0.26; charge=0.07
125,Ari,0.646675,0.403217,0.879382,0.631775,0.263632,0.364005,0.029063,steady_continuity,private: Ari carries steady_continuity from day 4; stress=0.26; recovery=0.36; charge=0.03
126,Fay,0.740358,0.328511,0.876108,0.76618,0.118508,0.578555,0.003571,settled_after_care,private: Fay carries settled_after_care from day 4; stress=0.12; recovery=0.58; charge=0.00
127,Milo,0.684878,0.345439,0.876132,0.729115,0.178806,0.424556,0.020737,steady_continuity,private: Milo carries steady_continuity from day 4; stress=0.18; recovery=0.42; charge=0.02
128,Sol,0.669697,0.383707,0.894233,0.683179,0.211066,0.41137,0.045689,steady_continuity,private: Sol carries steady_continuity from day 4; stress=0.21; recovery=0.41; charge=0.05
129,Ari,0.609562,0.462,0.856083,0.585093,0.332597,0.284387,0.084274,steady_continuity,private: Ari carries steady_continuity from day 5; stress=0.33; recovery=0.28; charge=0.08
130,Fay,0.685436,0.388248,0.878319,0.685414,0.208116,0.430281,0.0,steady_continuity,private: Fay carries steady_continuity from day 5; stress=0.21; recovery=0.43; charge=0.00
131,Milo,0.703923,0.358026,0.882079,0.760988,0.149442,0.418362,0.001098,steady_continuity,private: Milo carries steady_continuity from day 5; stress=0.15; recovery=0.42; charge=0.00
132,Sol,0.693708,0.375688,0.90319,0.726599,0.166627,0.409396,0.018644,steady_continuity,private: Sol carries steady_continuity from day 5; stress=0.17; recovery=0.41; charge=0.02
133,Ari,0.646804,0.462065,0.872139,0.652096,0.253353,0.323047,0.070579,steady_continuity,private: Ari carries steady_continuity from day 5; stress=0.25; recovery=0.32; charge=0.07
134,Fay,0.638634,0.460341,0.866775,0.623263,0.286931,0.329455,0.025977,steady_continuity,private: Fay carries steady_continuity from day 5; stress=0.29; recovery=0.33; charge=0.03
135,Milo,0.717156,0.387668,0.885997,0.784345,0.131854,0.41415,0.0,steady_continuity,private: Milo carries steady_continuity from day 5; stress=0.13; recovery=0.41; charge=0.00
136,Sol,0.669908,0.39351,0.903589,0.716103,0.182712,0.347253,0.012177,steady_continuity,private: Sol carries steady_continuity from day 5; stress=0.18; recovery=0.35; charge=0.01
137,Ari,0.632966,0.475794,0.878019,0.659289,0.245615,0.288536,0.069126,steady_continuity,private: Ari carries steady_continuity from day 5; stress=0.25; recovery=0.29; charge=0.07
138,Fay,0.664655,0.472388,0.873849,0.678665,0.231261,0.353694,0.016256,steady_continuity,private: Fay carries steady_continuity from day 5; stress=0.23; recovery=0.35; charge=0.02
139,Milo,0.660035,0.48307,0.857541,0.698409,0.248906,0.318486,0.047385,steady_continuity,private: Milo carries steady_continuity from day 5; stress=0.25; recovery=0.32; charge=0.05
140,Sol,0.630613,0.471677,0.903737,0.64681,0.256226,0.272996,0.022101,steady_continuity,private: Sol carries steady_continuity from day 5; stress=0.26; recovery=0.27; charge=0.02
141,Ari,0.600685,0.531859,0.880389,0.603241,0.304797,0.233069,0.081957,steady_continuity,private: Ari carries steady_continuity from day 5; stress=0.30; recovery=0.23; charge=0.08
142,Fay,0.681958,0.48277,0.873426,0.719662,0.200722,0.370176,0.009468,steady_continuity,private: Fay carries steady_continuity from day 5; stress=0.20; recovery=0.37; charge=0.01
143,Milo,0.682526,0.483119,0.870871,0.735972,0.201279,0.346235,0.030873,steady_continuity,private: Milo carries steady_continuity from day 5; stress=0.20; recovery=0.35; charge=0.03
144,Sol,0.595245,0.537495,0.889457,0.593251,0.325275,0.222501,0.061431,steady_continuity,private: Sol carries steady_continuity from day 5; stress=0.33; recovery=0.22; charge=0.06
145,Ari,0.570984,0.56232,0.869599,0.559616,0.362366,0.195351,0.1185,steady_continuity,private: Ari carries steady_continuity from day 5; stress=0.36; recovery=0.20; charge=0.12
146,Fay,0.710767,0.466046,0.874792,0.756257,0.16494,0.448327,0.0,steady_continuity,private: Fay carries steady_continuity from day 5; stress=0.16; recovery=0.45; charge=0.00
147,Milo,0.657819,0.467044,0.875502,0.721095,0.21425,0.304304,0.02947,steady_continuity,private: Milo carries steady_continuity from day 5; stress=0.21; recovery=0.30; charge=0.03
148,Sol,0.646779,0.507076,0.896991,0.661486,0.245311,0.347909,0.048087,steady_continuity,private: Sol carries steady_continuity from day 5; stress=0.25; recovery=0.35; charge=0.05
149,Ari,0.626745,0.499843,0.87964,0.635302,0.274702,0.329446,0.101122,steady_continuity,private: Ari carries steady_continuity from day 5; stress=0.27; recovery=0.33; charge=0.10
150,Fay,0.66811,0.495393,0.845903,0.681694,0.263299,0.408671,0.039751,steady_continuity,private: Fay carries steady_continuity from day 5; stress=0.26; recovery=0.41; charge=0.04
151,Milo,0.617265,0.486349,0.876367,0.648498,0.288045,0.24379,0.045508,steady_continuity,private: Milo carries steady_continuity from day 5; stress=0.29; recovery=0.24; charge=0.05
152,Sol,0.669399,0.473625,0.897394,0.707165,0.208143,0.366242,0.036613,steady_continuity,private: Sol carries steady_continuity from day 5; stress=0.21; recovery=0.37; charge=0.04
153,Ari,0.679486,0.408142,0.885951,0.704974,0.186797,0.424329,0.072821,steady_continuity,private: Ari carries steady_continuity from day 5; stress=0.19; recovery=0.42; charge=0.07
154,Fay,0.716224,0.405425,0.861677,0.738136,0.179043,0.51145,0.005124,steady_continuity,private: Fay carries steady_continuity from day 5; stress=0.18; recovery=0.51; charge=0.01
155,Milo,0.605766,0.457269,0.869266,0.608417,0.311704,0.261437,0.07431,steady_continuity,private: Milo carries steady_continuity from day 5; stress=0.31; recovery=0.26; charge=0.07
156,Sol,0.722983,0.37947,0.900784,0.763821,0.141537,0.516298,0.004174,steady_continuity,private: Sol carries steady_continuity from day 5; stress=0.14; recovery=0.52; charge=0.00
