tick,day,snapshot_id,scene_id,storage_key,stores_reaction_memory,stores_consequence_schedule,stores_request_queue,stores_access_gates,stores_inventory_owners,stores_replay_cursor,snapshot_integrity
55,4,v23-snapshot-0055,v23-scene-d04,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
56,4,v23-snapshot-0056,v23-scene-d04,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
57,4,v23-snapshot-0057,v23-scene-d04,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
58,4,v23-snapshot-0058,v23-scene-d04,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
59,4,v23-snapshot-0059,v23-scene-d04,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,1,1,1,1,0.833333
60,4,v23-snapshot-0060,v23-scene-d04,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
61,4,v23-snapshot-0061,v23-scene-d04,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
62,4,v23-snapshot-0062,v23-scene-d04,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,0,1,0.833333
63,4,v23-snapshot-0063,v23-scene-d04,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
64,5,v23-snapshot-0064,v23-scene-d05,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
65,5,v23-snapshot-0065,v23-scene-d05,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
66,5,v23-snapshot-0066,v23-scene-d05,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
67,5,v23-snapshot-0067,v23-scene-d05,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
68,5,v23-snapshot-0068,v23-scene-d05,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
69,5,v23-snapshot-0069,v23-scene-d05,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,0,1,1,1,0.666667
70,5,v23-snapshot-0070,v23-scene-d05,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,0,0.833333
71,5,v23-snapshot-0071,v23-scene-d05,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
72,5,v23-snapshot-0072,v23-scene-d05,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
73,5,v23-snapshot-0073,v23-scene-d05,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
74,5,v23-snapshot-0074,v23-scene-d05,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
75,5,v23-snapshot-0075,v23-scene-d05,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
76,5,v23-snapshot-0076,v23-scene-d05,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
77,5,v23-snapshot-0077,v23-scene-d05,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
78,5,v23-snapshot-0078,v23-scene-d05,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,1,1,1,1,0.833333
79,5,v23-snapshot-0079,v23-scene-d05,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
80,6,v23-snapshot-0080,v23-scene-d06,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
81,6,v23-snapshot-0081,v23-scene-d06,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,1,1,1,1,0.833333
82,6,v23-snapshot-0082,v23-scene-d06,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
83,6,v23-snapshot-0083,v23-scene-d06,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
84,6,v23-snapshot-0084,v23-scene-d06,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
85,6,v23-snapshot-0085,v23-scene-d06,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
86,6,v23-snapshot-0086,v23-scene-d06,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
87,6,v23-snapshot-0087,v23-scene-d06,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
88,6,v23-snapshot-0088,v23-scene-d06,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
89,6,v23-snapshot-0089,v23-scene-d06,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
90,6,v23-snapshot-0090,v23-scene-d06,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
91,6,v23-snapshot-0091,v23-scene-d06,ssrm_browser_world_v23_object_dialogue_request_consequence,0,1,1,1,1,1,0.833333
92,6,v23-snapshot-0092,v23-scene-d06,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
93,6,v23-snapshot-0093,v23-scene-d06,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
94,6,v23-snapshot-0094,v23-scene-d06,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
95,6,v23-snapshot-0095,v23-scene-d06,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
96,7,v23-snapshot-0096,v23-scene-d07,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
97,7,v23-snapshot-0097,v23-scene-d07,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,0,1,1,0.666667
98,7,v23-snapshot-0098,v23-scene-d07,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
99,7,v23-snapshot-0099,v23-scene-d07,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
100,7,v23-snapshot-0100,v23-scene-d07,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
101,7,v23-snapshot-0101,v23-scene-d07,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,0,1,1,1,0.666667
102,7,v23-snapshot-0102,v23-scene-d07,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
103,7,v23-snapshot-0103,v23-scene-d07,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
104,7,v23-snapshot-0104,v23-scene-d07,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
105,7,v23-snapshot-0105,v23-scene-d07,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
106,7,v23-snapshot-0106,v23-scene-d07,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
107,7,v23-snapshot-0107,v23-scene-d07,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
108,7,v23-snapshot-0108,v23-scene-d07,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
109,7,v23-snapshot-0109,v23-scene-d07,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,0,1,0.666667
110,7,v23-snapshot-0110,v23-scene-d07,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
111,7,v23-snapshot-0111,v23-scene-d07,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
112,8,v23-snapshot-0112,v23-scene-d08,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
113,8,v23-snapshot-0113,v23-scene-d08,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
114,8,v23-snapshot-0114,v23-scene-d08,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
115,8,v23-snapshot-0115,v23-scene-d08,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
116,8,v23-snapshot-0116,v23-scene-d08,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
117,8,v23-snapshot-0117,v23-scene-d08,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
118,8,v23-snapshot-0118,v23-scene-d08,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,1,1,1,1,0.833333
119,8,v23-snapshot-0119,v23-scene-d08,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
120,8,v23-snapshot-0120,v23-scene-d08,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
121,8,v23-snapshot-0121,v23-scene-d08,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
122,8,v23-snapshot-0122,v23-scene-d08,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
123,8,v23-snapshot-0123,v23-scene-d08,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,0,0.833333
124,8,v23-snapshot-0124,v23-scene-d08,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
125,8,v23-snapshot-0125,v23-scene-d08,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
126,8,v23-snapshot-0126,v23-scene-d08,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
127,8,v23-snapshot-0127,v23-scene-d08,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
128,9,v23-snapshot-0128,v23-scene-d09,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
129,9,v23-snapshot-0129,v23-scene-d09,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
130,9,v23-snapshot-0130,v23-scene-d09,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
131,9,v23-snapshot-0131,v23-scene-d09,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,1,1,1,1,0.833333
132,9,v23-snapshot-0132,v23-scene-d09,ssrm_browser_world_v23_object_dialogue_request_consequence,0,0,1,1,1,1,0.666667
133,9,v23-snapshot-0133,v23-scene-d09,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
134,9,v23-snapshot-0134,v23-scene-d09,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
135,9,v23-snapshot-0135,v23-scene-d09,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
136,9,v23-snapshot-0136,v23-scene-d09,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
137,9,v23-snapshot-0137,v23-scene-d09,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
138,9,v23-snapshot-0138,v23-scene-d09,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
139,9,v23-snapshot-0139,v23-scene-d09,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
140,9,v23-snapshot-0140,v23-scene-d09,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,0,1,1,0.833333
141,9,v23-snapshot-0141,v23-scene-d09,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
142,9,v23-snapshot-0142,v23-scene-d09,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
143,9,v23-snapshot-0143,v23-scene-d09,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
144,10,v23-snapshot-0144,v23-scene-d10,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
145,10,v23-snapshot-0145,v23-scene-d10,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
146,10,v23-snapshot-0146,v23-scene-d10,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
147,10,v23-snapshot-0147,v23-scene-d10,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
148,10,v23-snapshot-0148,v23-scene-d10,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
149,10,v23-snapshot-0149,v23-scene-d10,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
150,10,v23-snapshot-0150,v23-scene-d10,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
151,10,v23-snapshot-0151,v23-scene-d10,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
152,10,v23-snapshot-0152,v23-scene-d10,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
153,10,v23-snapshot-0153,v23-scene-d10,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
154,10,v23-snapshot-0154,v23-scene-d10,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
155,10,v23-snapshot-0155,v23-scene-d10,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,1,1,1,1,0.833333
156,10,v23-snapshot-0156,v23-scene-d10,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,0,1,0.833333
157,10,v23-snapshot-0157,v23-scene-d10,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
158,10,v23-snapshot-0158,v23-scene-d10,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
159,10,v23-snapshot-0159,v23-scene-d10,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
160,11,v23-snapshot-0160,v23-scene-d11,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,0,1,1,1,0.666667
161,11,v23-snapshot-0161,v23-scene-d11,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
162,11,v23-snapshot-0162,v23-scene-d11,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
163,11,v23-snapshot-0163,v23-scene-d11,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
164,11,v23-snapshot-0164,v23-scene-d11,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
165,11,v23-snapshot-0165,v23-scene-d11,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
166,11,v23-snapshot-0166,v23-scene-d11,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
167,11,v23-snapshot-0167,v23-scene-d11,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
168,11,v23-snapshot-0168,v23-scene-d11,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
169,11,v23-snapshot-0169,v23-scene-d11,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
170,11,v23-snapshot-0170,v23-scene-d11,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
171,11,v23-snapshot-0171,v23-scene-d11,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
172,11,v23-snapshot-0172,v23-scene-d11,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
173,11,v23-snapshot-0173,v23-scene-d11,ssrm_browser_world_v23_object_dialogue_request_consequence,0,1,1,1,1,1,0.833333
174,11,v23-snapshot-0174,v23-scene-d11,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
175,11,v23-snapshot-0175,v23-scene-d11,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
176,12,v23-snapshot-0176,v23-scene-d12,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,0,0.833333
177,12,v23-snapshot-0177,v23-scene-d12,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,0,1,1,1,0.666667
178,12,v23-snapshot-0178,v23-scene-d12,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,1,1,1,1,0.833333
179,12,v23-snapshot-0179,v23-scene-d12,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
180,12,v23-snapshot-0180,v23-scene-d12,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
181,12,v23-snapshot-0181,v23-scene-d12,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
182,12,v23-snapshot-0182,v23-scene-d12,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
183,12,v23-snapshot-0183,v23-scene-d12,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,0,1,1,0.833333
184,12,v23-snapshot-0184,v23-scene-d12,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
185,12,v23-snapshot-0185,v23-scene-d12,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
186,12,v23-snapshot-0186,v23-scene-d12,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
187,12,v23-snapshot-0187,v23-scene-d12,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
188,12,v23-snapshot-0188,v23-scene-d12,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
189,12,v23-snapshot-0189,v23-scene-d12,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
190,12,v23-snapshot-0190,v23-scene-d12,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
191,12,v23-snapshot-0191,v23-scene-d12,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
192,13,v23-snapshot-0192,v23-scene-d13,ssrm_browser_world_v23_object_dialogue_request_consequence,1,0,1,1,1,1,0.833333
193,13,v23-snapshot-0193,v23-scene-d13,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
194,13,v23-snapshot-0194,v23-scene-d13,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
195,13,v23-snapshot-0195,v23-scene-d13,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
196,13,v23-snapshot-0196,v23-scene-d13,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
197,13,v23-snapshot-0197,v23-scene-d13,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
198,13,v23-snapshot-0198,v23-scene-d13,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
199,13,v23-snapshot-0199,v23-scene-d13,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
200,13,v23-snapshot-0200,v23-scene-d13,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
201,13,v23-snapshot-0201,v23-scene-d13,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
202,13,v23-snapshot-0202,v23-scene-d13,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
203,13,v23-snapshot-0203,v23-scene-d13,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,0,1,0.833333
204,13,v23-snapshot-0204,v23-scene-d13,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
205,13,v23-snapshot-0205,v23-scene-d13,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,0,1,1,1,0.833333
206,13,v23-snapshot-0206,v23-scene-d13,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
207,13,v23-snapshot-0207,v23-scene-d13,ssrm_browser_world_v23_object_dialogue_request_consequence,1,1,1,1,1,1,1.0
