tick_index,agent,energy,fatigue,hunger,thirst,temperature_c,wetness,pain,comfort,safety,breath_rate,movement_effort,rest_debt,injury_degradation,posture
56,Fay,0.666625,0.333375,0.2,0.16,21.362795,0.0,0.0,0.86,0.818,14.565,0.243341,0.100018,0.0,softened stance
57,Milo,0.48442,0.51558,0.252,0.17,20.498341,0.05,0.21,0.62,0.704,16.682,0.31256,0.336544,0.1099,low shoulders
58,Sol,0.533315,0.506685,0.264,0.18,20.529232,0.05,0.12,0.54,0.5085,17.15025,0.30097,0.332808,0.0428,low shoulders
59,Ari,0.443194,0.556806,0.276,0.22,16.854986,0.4,0.14,0.5,0.581,16.6505,0.393193,0.353858,0.0466,low shoulders
60,Fay,0.663903,0.336097,0.248,0.2,21.4752,0.0,0.0,0.86,0.818,14.565,0.243858,0.101161,0.0,softened stance
61,Milo,0.535253,0.504747,0.3,0.21,20.589559,0.05,0.12,0.54,0.524,17.034,0.300602,0.331994,0.0428,low shoulders
62,Sol,0.537032,0.462968,0.312,0.22,20.59784,0.05,0.04,0.67,0.6885,15.62425,0.283864,0.314447,0.0276,low shoulders
63,Ari,0.489009,0.510991,0.324,0.23,20.599912,0.15,0.21,0.62,0.691,16.7795,0.334688,0.334616,0.1099,low shoulders
64,Fay,0.670945,0.329055,0.296,0.24,21.495743,0.0,0.0,0.86,0.818,14.565,0.24252,0.098203,0.0,softened stance
65,Milo,0.542605,0.457395,0.348,0.25,20.5854,0.05,0.04,0.67,0.704,15.508,0.282805,0.312106,0.0276,active balanced stance
66,Sol,0.453762,0.546238,0.36,0.29,16.869042,0.4,0.14,0.5,0.5785,16.66925,0.391185,0.34942,0.0466,low shoulders
67,Ari,0.494211,0.545789,0.372,0.27,20.546925,0.05,0.29,0.49,0.511,18.3055,0.3271,0.349231,0.1251,protective curl
68,Fay,0.673775,0.326225,0.344,0.28,21.419395,0.0,0.0,0.86,0.818,14.565,0.241983,0.097015,0.0,softened stance
69,Milo,0.672311,0.327689,0.14,0.29,21.386881,0.0,0.0,0.86,0.824,14.52,0.242261,0.097629,0.0,softened stance
70,Sol,0.539718,0.460282,0.192,0.3,20.44989,0.05,0.04,0.67,0.6885,15.62425,0.283354,0.313318,0.0276,low shoulders
71,Ari,0.535941,0.504059,0.204,0.31,20.408999,0.05,0.12,0.54,0.511,17.1315,0.300471,0.331705,0.0428,low shoulders
72,Fay,0.66097,0.33903,0.176,0.32,21.264847,0.0,0.0,0.86,0.818,14.565,0.244416,0.102393,0.0,softened stance
73,Sol,0.474844,0.525156,0.228,0.13,20.318123,0.05,0.21,0.62,0.6885,16.79825,0.31438,0.340566,0.1099,low shoulders
74,Ari,0.517648,0.522352,0.24,0.14,20.269556,0.05,0.12,0.54,0.511,17.1315,0.303947,0.339388,0.0428,low shoulders
75,Fay,0.419509,0.580491,0.252,0.18,16.519903,0.4,0.14,0.5,0.588,16.598,0.397693,0.363806,0.0466,low shoulders
76,Milo,0.630592,0.369408,0.224,0.16,21.06994,0.0,0.0,0.86,0.824,14.52,0.250188,0.115151,0.0,softened stance
77,Sol,0.491094,0.548906,0.276,0.17,20.120445,0.05,0.12,0.54,0.5085,17.15025,0.308992,0.350541,0.0428,low shoulders
78,Ari,0.481233,0.518767,0.288,0.18,20.072192,0.15,0.04,0.67,0.691,15.6055,0.317466,0.337882,0.0276,low shoulders
79,Fay,0.421243,0.578757,0.3,0.19,20.025934,0.05,0.21,0.62,0.698,16.727,0.324564,0.363078,0.1099,low shoulders
80,Milo,0.591363,0.408637,0.272,0.2,20.882392,0.0,0.0,0.86,0.824,14.52,0.257641,0.131628,0.0,softened stance
81,Sol,0.451827,0.548173,0.324,0.21,19.942245,0.05,0.04,0.67,0.6885,15.62425,0.300053,0.350233,0.0276,low shoulders
82,Ari,0.352857,0.647143,0.336,0.25,16.206121,0.4,0.14,0.5,0.581,16.6505,0.410357,0.3918,0.0466,low shoulders
83,Fay,0.384649,0.655351,0.348,0.23,19.874582,0.05,0.29,0.49,0.518,18.253,0.347917,0.395247,0.1251,protective curl
84,Milo,0.557373,0.442627,0.32,0.24,20.748122,0.0,0.0,0.86,0.824,14.52,0.264099,0.145903,0.0,softened stance
85,Sol,0.551158,0.448842,0.332,0.25,20.727152,0.0,0.0,0.86,0.8085,14.63625,0.26528,0.148514,0.0,softened stance
86,Ari,0.416093,0.583907,0.384,0.26,19.812001,0.05,0.04,0.67,0.691,15.6055,0.306842,0.365241,0.0276,low shoulders
87,Fay,0.41222,0.62778,0.18,0.27,19.802904,0.05,0.12,0.54,0.518,17.079,0.323978,0.383668,0.0428,low shoulders
88,Milo,0.539535,0.460465,0.152,0.28,20.700004,0.0,0.0,0.86,0.824,14.52,0.267488,0.153395,0.0,low shoulders
89,Sol,0.357984,0.642016,0.204,0.29,19.803346,0.05,0.21,0.62,0.6885,16.79825,0.336583,0.389647,0.1099,low shoulders
90,Ari,0.40747,0.63253,0.216,0.3,19.812877,0.15,0.12,0.54,0.511,17.1315,0.347881,0.385662,0.0428,low shoulders
91,Fay,0.317855,0.682145,0.228,0.34,16.128449,0.4,0.14,0.5,0.588,16.598,0.417008,0.406501,0.0466,low shoulders
92,Milo,0.538963,0.461037,0.2,0.32,20.749819,0.0,0.0,0.86,0.824,14.52,0.267597,0.153636,0.0,low shoulders
93,Sol,0.410591,0.629409,0.252,0.13,19.876654,0.05,0.12,0.54,0.5085,17.15025,0.324288,0.384352,0.0428,low shoulders
94,Ari,0.412514,0.587486,0.264,0.14,19.908534,0.05,0.04,0.67,0.691,15.6055,0.307522,0.366744,0.0276,low shoulders
95,Fay,0.364496,0.635504,0.276,0.15,19.944963,0.05,0.21,0.62,0.698,16.727,0.335346,0.386912,0.1099,low shoulders
96,Milo,0.546299,0.453701,0.248,0.16,20.885371,0.0,0.0,0.86,0.824,14.52,0.266203,0.150554,0.0,softened stance
