seed,row_id,row_type,source_practice_id,source_concern_id,source_proposal_id,hidden_law_exposed_to_resident,avatar_direct_install
36263,36263-AHB-008-2,divergence_branch,36263-EPG-008,VBC-008,VBP-008,False,False
36263,36263-AHB-008-3,divergence_branch,36263-EPG-008,VBC-008,VBP-008,False,False
36281,36281-AHD-009,hint_event,36281-EPG-009,VBC-009,VBP-009,False,False
36281,36281-AHB-009-1,divergence_branch,36281-EPG-009,VBC-009,VBP-009,False,False
36281,36281-AHB-009-2,divergence_branch,36281-EPG-009,VBC-009,VBP-009,False,False
36281,36281-AHB-009-3,divergence_branch,36281-EPG-009,VBC-009,VBP-009,False,False
36281,36281-AHD-010,hint_event,36281-EPG-010,VBC-010,VBP-010,False,False
36281,36281-AHB-010-1,divergence_branch,36281-EPG-010,VBC-010,VBP-010,False,False
36281,36281-AHB-010-2,divergence_branch,36281-EPG-010,VBC-010,VBP-010,False,False
36281,36281-AHB-010-3,divergence_branch,36281-EPG-010,VBC-010,VBP-010,False,False
36307,36307-AHD-011,hint_event,36307-EPG-011,VBC-011,VBP-011,False,False
36307,36307-AHB-011-1,divergence_branch,36307-EPG-011,VBC-011,VBP-011,False,False
36307,36307-AHB-011-2,divergence_branch,36307-EPG-011,VBC-011,VBP-011,False,False
36307,36307-AHB-011-3,divergence_branch,36307-EPG-011,VBC-011,VBP-011,False,False
36307,36307-AHD-012,hint_event,36307-EPG-012,VBC-012,VBP-012,False,False
36307,36307-AHB-012-1,divergence_branch,36307-EPG-012,VBC-012,VBP-012,False,False
36307,36307-AHB-012-2,divergence_branch,36307-EPG-012,VBC-012,VBP-012,False,False
36307,36307-AHB-012-3,divergence_branch,36307-EPG-012,VBC-012,VBP-012,False,False
36319,36319-AHD-013,hint_event,36319-EPG-013,VBC-013,VBP-013,False,False
36319,36319-AHB-013-1,divergence_branch,36319-EPG-013,VBC-013,VBP-013,False,False
36319,36319-AHB-013-2,divergence_branch,36319-EPG-013,VBC-013,VBP-013,False,False
36319,36319-AHB-013-3,divergence_branch,36319-EPG-013,VBC-013,VBP-013,False,False
36319,36319-AHD-014,hint_event,36319-EPG-014,VBC-014,VBP-014,False,False
36319,36319-AHB-014-1,divergence_branch,36319-EPG-014,VBC-014,VBP-014,False,False
36319,36319-AHB-014-2,divergence_branch,36319-EPG-014,VBC-014,VBP-014,False,False
36319,36319-AHB-014-3,divergence_branch,36319-EPG-014,VBC-014,VBP-014,False,False
36343,36343-AHD-015,hint_event,36343-EPG-015,VBC-015,VBP-015,False,False
36343,36343-AHB-015-1,divergence_branch,36343-EPG-015,VBC-015,VBP-015,False,False
36343,36343-AHB-015-2,divergence_branch,36343-EPG-015,VBC-015,VBP-015,False,False
36343,36343-AHB-015-3,divergence_branch,36343-EPG-015,VBC-015,VBP-015,False,False
36343,36343-AHD-016,hint_event,36343-EPG-016,VBC-016,VBP-016,False,False
36343,36343-AHB-016-1,divergence_branch,36343-EPG-016,VBC-016,VBP-016,False,False
36343,36343-AHB-016-2,divergence_branch,36343-EPG-016,VBC-016,VBP-016,False,False
36343,36343-AHB-016-3,divergence_branch,36343-EPG-016,VBC-016,VBP-016,False,False
