tick,day,replay_id,loop_id,includes_turn_sequence,includes_counteroffers,includes_body_world_expression,includes_ceremony,includes_later_recall,deterministic_order,replay_integrity_score
110,10,v18-replay-d10-t02,v18-loop-019,1,1,1,1,1,1,1.0
111,10,v18-replay-d10-t03,v18-loop-019,1,1,1,1,1,1,1.0
112,10,v18-replay-d10-t04,v18-loop-019,1,1,1,1,1,1,1.0
113,10,v18-replay-d10-t05,v18-loop-019,1,1,1,1,1,1,1.0
114,10,v18-replay-d10-t06,v18-loop-020,1,1,1,1,1,1,1.0
115,10,v18-replay-d10-t07,v18-loop-020,1,1,1,1,1,1,1.0
116,10,v18-replay-d10-t08,v18-loop-020,1,1,1,1,1,1,1.0
117,10,v18-replay-d10-t09,v18-loop-020,1,1,0,0,1,1,0.94
118,10,v18-replay-d10-t10,v18-loop-020,1,1,1,1,1,1,1.0
119,10,v18-replay-d10-t11,v18-loop-020,1,1,1,1,1,1,1.0
120,11,v18-replay-d11-t00,v18-loop-021,1,1,0,1,0,1,0.936667
121,11,v18-replay-d11-t01,v18-loop-021,1,1,1,1,1,1,1.0
122,11,v18-replay-d11-t02,v18-loop-021,1,1,1,1,1,1,1.0
123,11,v18-replay-d11-t03,v18-loop-021,1,1,1,1,1,1,1.0
124,11,v18-replay-d11-t04,v18-loop-021,1,1,0,1,1,1,0.966667
125,11,v18-replay-d11-t05,v18-loop-021,1,1,1,1,1,1,1.0
126,11,v18-replay-d11-t06,v18-loop-022,1,1,1,1,1,1,1.0
127,11,v18-replay-d11-t07,v18-loop-022,1,1,1,1,1,1,1.0
128,11,v18-replay-d11-t08,v18-loop-022,1,1,1,1,1,1,1.0
129,11,v18-replay-d11-t09,v18-loop-022,1,1,1,1,1,1,1.0
130,11,v18-replay-d11-t10,v18-loop-022,1,1,1,1,1,1,1.0
131,11,v18-replay-d11-t11,v18-loop-022,1,1,0,1,1,1,0.966667
132,12,v18-replay-d12-t00,v18-loop-023,1,1,1,1,1,1,1.0
133,12,v18-replay-d12-t01,v18-loop-023,1,1,1,1,1,1,1.0
134,12,v18-replay-d12-t02,v18-loop-023,1,1,1,1,1,1,1.0
135,12,v18-replay-d12-t03,v18-loop-023,1,1,1,1,1,1,1.0
136,12,v18-replay-d12-t04,v18-loop-023,1,1,1,1,1,1,1.0
137,12,v18-replay-d12-t05,v18-loop-023,1,1,1,1,1,1,1.0
138,12,v18-replay-d12-t06,v18-loop-024,1,1,1,1,1,1,1.0
139,12,v18-replay-d12-t07,v18-loop-024,1,1,1,1,0,1,0.97
140,12,v18-replay-d12-t08,v18-loop-024,1,1,1,1,1,1,1.0
141,12,v18-replay-d12-t09,v18-loop-024,1,1,1,1,1,1,1.0
142,12,v18-replay-d12-t10,v18-loop-024,1,1,1,1,1,1,1.0
143,12,v18-replay-d12-t11,v18-loop-024,1,1,1,1,1,1,1.0
144,13,v18-replay-d13-t00,v18-loop-025,1,1,1,1,1,1,1.0
145,13,v18-replay-d13-t01,v18-loop-025,1,1,1,1,1,1,1.0
146,13,v18-replay-d13-t02,v18-loop-025,1,1,0,0,1,1,0.94
147,13,v18-replay-d13-t03,v18-loop-025,1,1,1,1,1,1,1.0
148,13,v18-replay-d13-t04,v18-loop-025,1,1,1,1,1,1,1.0
149,13,v18-replay-d13-t05,v18-loop-025,1,1,1,1,1,1,1.0
150,13,v18-replay-d13-t06,v18-loop-026,1,1,1,1,1,1,1.0
151,13,v18-replay-d13-t07,v18-loop-026,1,1,1,1,1,1,1.0
152,13,v18-replay-d13-t08,v18-loop-026,1,1,1,1,1,1,1.0
153,13,v18-replay-d13-t09,v18-loop-026,1,1,0,1,1,1,0.966667
154,13,v18-replay-d13-t10,v18-loop-026,1,1,1,1,1,1,1.0
155,13,v18-replay-d13-t11,v18-loop-026,1,1,1,1,1,1,1.0
156,14,v18-replay-d14-t00,v18-loop-027,1,0,1,1,1,1,0.963333
157,14,v18-replay-d14-t01,v18-loop-027,1,1,1,1,1,1,1.0
158,14,v18-replay-d14-t02,v18-loop-027,1,1,1,1,0,1,0.97
159,14,v18-replay-d14-t03,v18-loop-027,1,1,1,1,1,1,1.0
160,14,v18-replay-d14-t04,v18-loop-027,1,1,0,1,1,1,0.966667
161,14,v18-replay-d14-t05,v18-loop-027,1,1,1,1,1,1,1.0
162,14,v18-replay-d14-t06,v18-loop-028,1,1,1,1,1,1,1.0
163,14,v18-replay-d14-t07,v18-loop-028,1,1,1,1,1,1,1.0
164,14,v18-replay-d14-t08,v18-loop-028,1,1,1,1,1,1,1.0
165,14,v18-replay-d14-t09,v18-loop-028,1,1,1,1,1,1,1.0
166,14,v18-replay-d14-t10,v18-loop-028,1,1,1,1,1,1,1.0
167,14,v18-replay-d14-t11,v18-loop-028,1,1,1,1,1,1,1.0
168,15,v18-replay-d15-t00,v18-loop-029,1,1,1,1,1,1,1.0
169,15,v18-replay-d15-t01,v18-loop-029,1,1,1,1,1,1,1.0
170,15,v18-replay-d15-t02,v18-loop-029,1,1,1,1,1,1,1.0
171,15,v18-replay-d15-t03,v18-loop-029,1,1,1,1,1,1,1.0
172,15,v18-replay-d15-t04,v18-loop-029,1,1,1,1,1,1,1.0
173,15,v18-replay-d15-t05,v18-loop-029,1,1,1,1,1,1,1.0
174,15,v18-replay-d15-t06,v18-loop-030,1,1,1,1,1,1,1.0
175,15,v18-replay-d15-t07,v18-loop-030,1,1,0,0,1,1,0.94
176,15,v18-replay-d15-t08,v18-loop-030,1,1,1,1,1,1,1.0
177,15,v18-replay-d15-t09,v18-loop-030,1,1,1,1,0,1,0.97
178,15,v18-replay-d15-t10,v18-loop-030,1,1,1,1,1,1,1.0
179,15,v18-replay-d15-t11,v18-loop-030,1,1,1,1,1,1,1.0
180,16,v18-replay-d16-t00,v18-loop-031,1,1,1,1,1,1,1.0
181,16,v18-replay-d16-t01,v18-loop-031,1,1,1,1,1,1,1.0
182,16,v18-replay-d16-t02,v18-loop-031,1,1,0,1,1,1,0.966667
183,16,v18-replay-d16-t03,v18-loop-031,1,1,1,1,1,1,1.0
184,16,v18-replay-d16-t04,v18-loop-031,1,1,1,1,1,1,1.0
185,16,v18-replay-d16-t05,v18-loop-031,1,1,1,1,1,1,1.0
186,16,v18-replay-d16-t06,v18-loop-032,1,1,1,1,1,1,1.0
187,16,v18-replay-d16-t07,v18-loop-032,1,1,1,1,1,1,1.0
188,16,v18-replay-d16-t08,v18-loop-032,1,1,1,1,1,1,1.0
189,16,v18-replay-d16-t09,v18-loop-032,1,1,0,1,1,1,0.966667
190,16,v18-replay-d16-t10,v18-loop-032,1,1,1,1,1,1,1.0
191,16,v18-replay-d16-t11,v18-loop-032,1,1,1,1,1,1,1.0
192,17,v18-replay-d17-t00,v18-loop-033,1,1,1,1,1,1,1.0
193,17,v18-replay-d17-t01,v18-loop-033,1,1,1,1,1,1,1.0
194,17,v18-replay-d17-t02,v18-loop-033,1,1,1,1,1,1,1.0
195,17,v18-replay-d17-t03,v18-loop-033,1,1,1,1,1,1,1.0
196,17,v18-replay-d17-t04,v18-loop-033,1,1,1,1,0,1,0.97
197,17,v18-replay-d17-t05,v18-loop-033,1,1,1,1,1,1,1.0
198,17,v18-replay-d17-t06,v18-loop-034,1,1,1,1,1,1,1.0
199,17,v18-replay-d17-t07,v18-loop-034,1,1,1,1,1,1,1.0
200,17,v18-replay-d17-t08,v18-loop-034,1,1,1,1,1,1,1.0
201,17,v18-replay-d17-t09,v18-loop-034,1,1,1,1,1,1,1.0
202,17,v18-replay-d17-t10,v18-loop-034,1,1,1,1,1,1,1.0
203,17,v18-replay-d17-t11,v18-loop-034,1,1,1,1,1,1,1.0
204,18,v18-replay-d18-t00,v18-loop-035,1,1,0,1,1,1,0.966667
205,18,v18-replay-d18-t01,v18-loop-035,1,1,1,1,0,1,0.97
206,18,v18-replay-d18-t02,v18-loop-035,1,1,1,1,0,1,0.97
207,18,v18-replay-d18-t03,v18-loop-035,1,1,1,1,0,1,0.97
208,18,v18-replay-d18-t04,v18-loop-035,1,1,1,1,1,1,1.0
209,18,v18-replay-d18-t05,v18-loop-035,1,1,1,1,0,1,0.97
210,18,v18-replay-d18-t06,v18-loop-036,1,1,1,1,0,1,0.97
211,18,v18-replay-d18-t07,v18-loop-036,1,1,0,1,0,1,0.936667
212,18,v18-replay-d18-t08,v18-loop-036,1,1,1,1,1,1,1.0
213,18,v18-replay-d18-t09,v18-loop-036,1,1,1,1,1,1,1.0
214,18,v18-replay-d18-t10,v18-loop-036,1,1,1,1,1,1,1.0
215,18,v18-replay-d18-t11,v18-loop-036,1,1,1,1,0,1,0.97
216,19,v18-replay-d19-t00,v18-loop-037,1,1,1,1,1,1,1.0
217,19,v18-replay-d19-t01,v18-loop-037,1,1,1,1,0,1,0.97
218,19,v18-replay-d19-t02,v18-loop-037,1,1,0,1,0,1,0.936667
219,19,v18-replay-d19-t03,v18-loop-037,1,1,1,1,1,1,1.0
220,19,v18-replay-d19-t04,v18-loop-037,1,1,1,1,1,1,1.0
221,19,v18-replay-d19-t05,v18-loop-037,1,1,1,1,1,1,1.0
222,19,v18-replay-d19-t06,v18-loop-038,1,1,1,1,1,1,1.0
223,19,v18-replay-d19-t07,v18-loop-038,1,1,1,1,1,1,1.0
224,19,v18-replay-d19-t08,v18-loop-038,1,0,1,1,1,1,0.963333
225,19,v18-replay-d19-t09,v18-loop-038,1,1,1,1,1,1,1.0
226,19,v18-replay-d19-t10,v18-loop-038,1,1,1,1,1,1,1.0
227,19,v18-replay-d19-t11,v18-loop-038,1,1,1,1,1,1,1.0
228,20,v18-replay-d20-t00,v18-loop-039,1,1,1,1,1,1,1.0
229,20,v18-replay-d20-t01,v18-loop-039,1,1,1,1,1,1,1.0
230,20,v18-replay-d20-t02,v18-loop-039,1,1,1,1,1,1,1.0
231,20,v18-replay-d20-t03,v18-loop-039,1,1,1,1,1,1,1.0
232,20,v18-replay-d20-t04,v18-loop-039,1,1,1,1,1,1,1.0
233,20,v18-replay-d20-t05,v18-loop-039,1,1,0,0,1,1,0.94
234,20,v18-replay-d20-t06,v18-loop-040,1,1,1,1,0,1,0.97
235,20,v18-replay-d20-t07,v18-loop-040,1,1,1,1,1,1,1.0
236,20,v18-replay-d20-t08,v18-loop-040,1,1,1,1,1,1,1.0
237,20,v18-replay-d20-t09,v18-loop-040,1,1,1,1,1,1,1.0
238,20,v18-replay-d20-t10,v18-loop-040,1,1,1,1,1,1,1.0
239,20,v18-replay-d20-t11,v18-loop-040,1,1,1,1,1,1,1.0
240,21,v18-replay-d21-t00,v18-loop-041,1,1,0,1,1,1,0.966667
241,21,v18-replay-d21-t01,v18-loop-041,1,1,1,1,1,1,1.0
242,21,v18-replay-d21-t02,v18-loop-041,1,1,1,1,1,1,1.0
243,21,v18-replay-d21-t03,v18-loop-041,1,1,1,1,1,1,1.0
244,21,v18-replay-d21-t04,v18-loop-041,1,1,1,1,1,1,1.0
245,21,v18-replay-d21-t05,v18-loop-041,1,1,1,1,1,1,1.0
246,21,v18-replay-d21-t06,v18-loop-042,1,1,1,1,1,1,1.0
247,21,v18-replay-d21-t07,v18-loop-042,1,1,0,1,1,1,0.966667
248,21,v18-replay-d21-t08,v18-loop-042,1,1,1,1,1,1,1.0
249,21,v18-replay-d21-t09,v18-loop-042,1,1,1,1,1,1,1.0
250,21,v18-replay-d21-t10,v18-loop-042,1,1,1,1,1,1,1.0
251,21,v18-replay-d21-t11,v18-loop-042,1,1,1,1,1,1,1.0
252,22,v18-replay-d22-t00,v18-loop-043,1,1,1,1,1,1,1.0
253,22,v18-replay-d22-t01,v18-loop-043,1,1,1,1,0,1,0.97
254,22,v18-replay-d22-t02,v18-loop-043,1,1,1,1,1,1,1.0
255,22,v18-replay-d22-t03,v18-loop-043,1,1,1,1,1,1,1.0
256,22,v18-replay-d22-t04,v18-loop-043,1,1,1,1,1,1,1.0
257,22,v18-replay-d22-t05,v18-loop-043,1,1,1,1,1,1,1.0
258,22,v18-replay-d22-t06,v18-loop-044,1,1,1,1,1,1,1.0
259,22,v18-replay-d22-t07,v18-loop-044,1,1,1,1,1,1,1.0
260,22,v18-replay-d22-t08,v18-loop-044,1,1,1,1,1,1,1.0
261,22,v18-replay-d22-t09,v18-loop-044,1,1,1,1,1,1,1.0
262,22,v18-replay-d22-t10,v18-loop-044,1,1,0,0,1,1,0.94
263,22,v18-replay-d22-t11,v18-loop-044,1,1,1,1,1,1,1.0
264,23,v18-replay-d23-t00,v18-loop-045,1,1,1,1,1,1,1.0
265,23,v18-replay-d23-t01,v18-loop-045,1,1,1,1,1,1,1.0
266,23,v18-replay-d23-t02,v18-loop-045,1,1,1,1,1,1,1.0
267,23,v18-replay-d23-t03,v18-loop-045,1,1,1,1,1,1,1.0
268,23,v18-replay-d23-t04,v18-loop-045,1,1,1,1,1,1,1.0
269,23,v18-replay-d23-t05,v18-loop-045,1,1,0,1,1,1,0.966667
270,23,v18-replay-d23-t06,v18-loop-046,1,1,1,1,1,1,1.0
271,23,v18-replay-d23-t07,v18-loop-046,1,1,1,1,1,1,1.0
272,23,v18-replay-d23-t08,v18-loop-046,1,1,1,1,0,1,0.97
273,23,v18-replay-d23-t09,v18-loop-046,1,1,1,1,1,1,1.0
274,23,v18-replay-d23-t10,v18-loop-046,1,1,1,1,1,1,1.0
275,23,v18-replay-d23-t11,v18-loop-046,1,1,1,1,1,1,1.0
276,24,v18-replay-d24-t00,v18-loop-047,1,1,0,1,1,1,0.966667
277,24,v18-replay-d24-t01,v18-loop-047,1,1,1,1,1,1,1.0
278,24,v18-replay-d24-t02,v18-loop-047,1,1,1,1,1,1,1.0
279,24,v18-replay-d24-t03,v18-loop-047,1,1,1,1,1,1,1.0
280,24,v18-replay-d24-t04,v18-loop-047,1,1,1,1,1,1,1.0
281,24,v18-replay-d24-t05,v18-loop-047,1,1,1,1,1,1,1.0
282,24,v18-replay-d24-t06,v18-loop-048,1,1,1,1,1,1,1.0
283,24,v18-replay-d24-t07,v18-loop-048,1,1,1,1,1,1,1.0
284,24,v18-replay-d24-t08,v18-loop-048,1,1,1,1,1,1,1.0
285,24,v18-replay-d24-t09,v18-loop-048,1,1,1,1,1,1,1.0
286,24,v18-replay-d24-t10,v18-loop-048,1,1,1,1,1,1,1.0
287,24,v18-replay-d24-t11,v18-loop-048,1,1,1,1,1,1,1.0
