tick_id,day,settlement_id,resident_id,help_offer,resident_boundary,response,refusal_present,refusal_respected,autonomy_before,autonomy_after,trust_before,trust_after,useful_without_coercion
57,4,moss_ward,Tala,wait for resident lead,ask before loom repair,resident keeps plan ownership,False,True,0.644,0.654,0.586,0.592,True
60,4,lichen_bridge,Rin,watch route,signal keeper answers,resident accepts bounded help,False,True,0.64,0.644,0.602,0.608,True
61,4,orchid_engine,Eli,translate phrase,orchid keeper decides,resident accepts bounded help,False,True,0.644,0.648,0.586,0.592,True
62,4,moss_ward,Ari,step back,do not move root ledger,resident keeps plan ownership,False,True,0.664,0.674,0.612,0.618,True
63,4,glass_harbor,Oren,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.654,0.664,0.592,0.598,True
66,4,orchid_engine,Bea,watch route,keep gear lane open,resident accepts bounded help,False,True,0.658,0.662,0.624,0.63,True
69,4,cinder_garden,Wren,wait for resident lead,shade caller leads,resident keeps plan ownership,False,True,0.658,0.668,0.59,0.596,True
72,5,glass_harbor,Nia,translate phrase,tea before crossing,resident accepts bounded help,False,True,0.648,0.652,0.622,0.628,True
75,5,orchid_engine,Eli,carry object,orchid keeper decides,resident accepts bounded help,False,True,0.648,0.652,0.592,0.598,True
77,5,glass_harbor,Oren,watch route,net keeper decides,resident accepts bounded help,False,True,0.664,0.668,0.598,0.604,True
78,5,cinder_garden,Vale,translate phrase,cool bowl shared,resident accepts bounded help,False,True,0.64,0.644,0.606,0.612,True
80,5,orchid_engine,Bea,wait for resident lead,keep gear lane open,resident keeps plan ownership,False,True,0.662,0.672,0.636,0.642,True
81,5,moss_ward,Fay,carry object,rain path first,resident accepts bounded help,False,True,0.654,0.658,0.592,0.598,True
83,5,cinder_garden,Wren,watch route,shade caller leads,resident accepts bounded help,False,True,0.668,0.672,0.596,0.602,True
84,5,lichen_bridge,Kio,translate phrase,meal room welcomes,resident accepts bounded help,False,True,0.668,0.672,0.62,0.626,True
87,5,glass_harbor,Sera,carry object,tea before crossing,resident accepts bounded help,False,True,0.654,0.658,0.592,0.598,True
88,5,cinder_garden,Juno,repair together,do not cross seed rows,resident refuses; avatar records boundary and steps back,True,True,0.654,0.668,0.628,0.632,True
89,5,lichen_bridge,Luma,watch route,signal keeper answers,resident accepts bounded help,False,True,0.648,0.652,0.592,0.598,True
90,6,moss_ward,Ari,step back,do not move root ledger,resident keeps plan ownership,False,True,0.674,0.684,0.63,0.636,True
91,6,glass_harbor,Oren,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.668,0.678,0.604,0.61,True
92,6,cinder_garden,Vale,carry object,cool bowl shared,resident refuses; avatar records boundary and steps back,True,True,0.644,0.658,0.618,0.622,True
93,6,lichen_bridge,Sol,repair together,do not step on tension rope,resident accepts bounded help,False,True,0.654,0.658,0.592,0.598,True
96,6,glass_harbor,Puck,step back,do not dim lamp,resident keeps plan ownership,False,True,0.65,0.66,0.616,0.622,True
98,6,lichen_bridge,Kio,carry object,meal room welcomes,resident refuses; avatar records boundary and steps back,True,True,0.672,0.686,0.632,0.636,True
99,6,orchid_engine,Cai,repair together,do not turn valve key,resident accepts bounded help,False,True,0.644,0.648,0.586,0.592,True
100,6,moss_ward,Milo,watch route,ask before loom repair,resident accepts bounded help,False,True,0.654,0.658,0.616,0.622,True
101,6,glass_harbor,Sera,translate phrase,tea before crossing,resident accepts bounded help,False,True,0.658,0.662,0.598,0.604,True
102,6,cinder_garden,Juno,step back,do not cross seed rows,resident keeps plan ownership,False,True,0.668,0.678,0.636,0.642,True
103,6,lichen_bridge,Luma,wait for resident lead,signal keeper answers,resident keeps plan ownership,False,True,0.652,0.662,0.598,0.604,True
105,6,moss_ward,Tala,repair together,do not move root ledger,resident accepts bounded help,False,True,0.654,0.658,0.592,0.598,True
108,7,orchid_engine,Bea,wait for resident lead,keep gear lane open,resident keeps plan ownership,False,True,0.672,0.682,0.656,0.662,True
109,7,moss_ward,Fay,carry object,rain path first,resident accepts bounded help,False,True,0.658,0.662,0.598,0.604,True
111,7,cinder_garden,Wren,watch route,shade caller leads,resident accepts bounded help,False,True,0.672,0.676,0.602,0.608,True
112,7,lichen_bridge,Kio,translate phrase,meal room welcomes,resident accepts bounded help,False,True,0.686,0.69,0.642,0.648,True
113,7,orchid_engine,Cai,step back,do not turn valve key,resident keeps plan ownership,False,True,0.648,0.658,0.592,0.598,True
114,7,moss_ward,Milo,wait for resident lead,ask before loom repair,resident keeps plan ownership,False,True,0.658,0.668,0.628,0.634,True
117,7,lichen_bridge,Luma,watch route,signal keeper answers,resident accepts bounded help,False,True,0.662,0.666,0.604,0.61,True
118,7,orchid_engine,Dax,translate phrase,orchid keeper decides,resident accepts bounded help,False,True,0.688,0.692,0.636,0.642,True
119,7,moss_ward,Tala,step back,do not move root ledger,resident keeps plan ownership,False,True,0.658,0.668,0.598,0.604,True
120,7,glass_harbor,Nia,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.652,0.662,0.642,0.648,True
123,7,orchid_engine,Eli,watch route,keep gear lane open,resident accepts bounded help,False,True,0.652,0.656,0.598,0.604,True
124,7,moss_ward,Ari,translate phrase,rain path first,resident accepts bounded help,False,True,0.684,0.688,0.642,0.648,True
126,8,lichen_bridge,Kio,carry object,meal room welcomes,resident refuses; avatar records boundary and steps back,True,True,0.69,0.704,0.654,0.658,True
129,8,glass_harbor,Sera,translate phrase,tea before crossing,resident accepts bounded help,False,True,0.662,0.666,0.604,0.61,True
131,8,lichen_bridge,Luma,wait for resident lead,signal keeper answers,resident keeps plan ownership,False,True,0.666,0.676,0.61,0.616,True
132,8,orchid_engine,Dax,carry object,orchid keeper decides,resident refuses; avatar records boundary and steps back,True,True,0.692,0.706,0.648,0.652,True
133,8,moss_ward,Tala,repair together,do not move root ledger,resident refuses; avatar records boundary and steps back,True,True,0.668,0.682,0.604,0.608,True
135,8,cinder_garden,Pax,translate phrase,cool bowl shared,resident accepts bounded help,False,True,0.65,0.654,0.586,0.592,True
137,8,orchid_engine,Eli,wait for resident lead,keep gear lane open,resident keeps plan ownership,False,True,0.656,0.666,0.604,0.61,True
138,8,moss_ward,Ari,carry object,rain path first,resident accepts bounded help,False,True,0.688,0.692,0.654,0.66,True
141,8,lichen_bridge,Sol,translate phrase,meal room welcomes,resident accepts bounded help,False,True,0.658,0.662,0.598,0.604,True
144,9,cinder_garden,Juno,repair together,do not cross seed rows,resident refuses; avatar records boundary and steps back,True,True,0.678,0.692,0.662,0.666,True
147,9,moss_ward,Tala,step back,do not move root ledger,resident keeps plan ownership,False,True,0.682,0.692,0.608,0.614,True
149,9,cinder_garden,Pax,carry object,cool bowl shared,resident accepts bounded help,False,True,0.654,0.658,0.592,0.598,True
150,9,lichen_bridge,Rin,repair together,do not step on tension rope,resident accepts bounded help,False,True,0.644,0.648,0.634,0.64,True
152,9,moss_ward,Ari,translate phrase,rain path first,resident accepts bounded help,False,True,0.692,0.696,0.666,0.672,True
153,9,glass_harbor,Oren,step back,do not dim lamp,resident keeps plan ownership,False,True,0.678,0.688,0.61,0.616,True
154,9,cinder_garden,Vale,wait for resident lead,shade caller leads,resident keeps plan ownership,False,True,0.658,0.668,0.636,0.642,True
155,9,lichen_bridge,Sol,carry object,meal room welcomes,resident accepts bounded help,False,True,0.662,0.666,0.604,0.61,True
156,9,orchid_engine,Bea,repair together,do not turn valve key,resident refuses; avatar records boundary and steps back,True,True,0.682,0.696,0.674,0.678,True
159,9,cinder_garden,Wren,step back,do not cross seed rows,resident keeps plan ownership,False,True,0.676,0.686,0.608,0.614,True
161,9,orchid_engine,Cai,carry object,orchid keeper decides,resident refuses; avatar records boundary and steps back,True,True,0.658,0.672,0.598,0.602,True
162,10,glass_harbor,Nia,watch route,net keeper decides,resident accepts bounded help,False,True,0.662,0.666,0.67,0.676,True
163,10,cinder_garden,Pax,translate phrase,cool bowl shared,resident accepts bounded help,False,True,0.658,0.662,0.598,0.604,True
165,10,orchid_engine,Eli,wait for resident lead,keep gear lane open,resident keeps plan ownership,False,True,0.666,0.676,0.61,0.616,True
166,10,moss_ward,Ari,carry object,rain path first,resident accepts bounded help,False,True,0.696,0.7,0.678,0.684,True
168,10,cinder_garden,Vale,watch route,shade caller leads,resident accepts bounded help,False,True,0.668,0.672,0.65,0.656,True
171,10,moss_ward,Fay,wait for resident lead,ask before loom repair,resident keeps plan ownership,False,True,0.662,0.672,0.604,0.61,True
174,10,lichen_bridge,Kio,watch route,signal keeper answers,resident accepts bounded help,False,True,0.704,0.708,0.672,0.678,True
175,10,orchid_engine,Cai,translate phrase,orchid keeper decides,resident accepts bounded help,False,True,0.672,0.676,0.602,0.608,True
177,10,glass_harbor,Sera,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.666,0.676,0.61,0.616,True
178,10,cinder_garden,Juno,carry object,cool bowl shared,resident accepts bounded help,False,True,0.692,0.696,0.672,0.678,True
180,11,moss_ward,Ari,translate phrase,rain path first,resident accepts bounded help,False,True,0.7,0.704,0.69,0.696,True
182,11,cinder_garden,Vale,wait for resident lead,shade caller leads,resident keeps plan ownership,False,True,0.672,0.682,0.662,0.668,True
183,11,lichen_bridge,Sol,carry object,meal room welcomes,resident accepts bounded help,False,True,0.666,0.67,0.61,0.616,True
186,11,glass_harbor,Puck,translate phrase,tea before crossing,resident accepts bounded help,False,True,0.66,0.664,0.648,0.654,True
187,11,cinder_garden,Wren,step back,do not cross seed rows,resident keeps plan ownership,False,True,0.686,0.696,0.614,0.62,True
189,11,orchid_engine,Cai,carry object,orchid keeper decides,resident refuses; avatar records boundary and steps back,True,True,0.676,0.69,0.608,0.612,True
192,11,cinder_garden,Juno,translate phrase,cool bowl shared,resident accepts bounded help,False,True,0.696,0.7,0.684,0.69,True
195,11,moss_ward,Tala,carry object,rain path first,resident accepts bounded help,False,True,0.692,0.696,0.614,0.62,True
196,11,glass_harbor,Nia,repair together,do not dim lamp,resident refuses; avatar records boundary and steps back,True,True,0.666,0.68,0.684,0.688,True
198,12,orchid_engine,Bea,step back,do not turn valve key,resident keeps plan ownership,False,True,0.696,0.706,0.694,0.7,True
200,12,glass_harbor,Puck,carry object,tea before crossing,resident refuses; avatar records boundary and steps back,True,True,0.664,0.678,0.66,0.664,True
201,12,cinder_garden,Wren,repair together,do not cross seed rows,resident accepts bounded help,False,True,0.696,0.7,0.62,0.626,True
203,12,orchid_engine,Cai,translate phrase,orchid keeper decides,resident accepts bounded help,False,True,0.69,0.694,0.612,0.618,True
204,12,moss_ward,Milo,step back,do not move root ledger,resident keeps plan ownership,False,True,0.668,0.678,0.658,0.664,True
205,12,glass_harbor,Sera,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.676,0.686,0.616,0.622,True
207,12,lichen_bridge,Luma,repair together,do not step on tension rope,resident accepts bounded help,False,True,0.676,0.68,0.616,0.622,True
210,12,glass_harbor,Nia,step back,do not dim lamp,resident keeps plan ownership,False,True,0.68,0.69,0.692,0.698,True
211,12,cinder_garden,Pax,wait for resident lead,shade caller leads,resident keeps plan ownership,False,True,0.662,0.672,0.604,0.61,True
213,12,orchid_engine,Eli,repair together,do not turn valve key,resident accepts bounded help,False,True,0.676,0.68,0.616,0.622,True
214,12,moss_ward,Ari,watch route,ask before loom repair,resident accepts bounded help,False,True,0.704,0.708,0.704,0.71,True
216,13,lichen_bridge,Kio,wait for resident lead,signal keeper answers,resident keeps plan ownership,False,True,0.708,0.718,0.698,0.704,True
217,13,orchid_engine,Cai,carry object,orchid keeper decides,resident refuses; avatar records boundary and steps back,True,True,0.694,0.708,0.618,0.622,True
218,13,moss_ward,Milo,repair together,do not move root ledger,resident accepts bounded help,False,True,0.678,0.682,0.672,0.678,True
219,13,glass_harbor,Sera,watch route,net keeper decides,resident accepts bounded help,False,True,0.686,0.69,0.622,0.628,True
222,13,orchid_engine,Dax,wait for resident lead,keep gear lane open,resident keeps plan ownership,False,True,0.706,0.716,0.678,0.684,True
224,13,glass_harbor,Nia,repair together,do not dim lamp,resident refuses; avatar records boundary and steps back,True,True,0.69,0.704,0.706,0.71,True
225,13,cinder_garden,Pax,watch route,shade caller leads,resident accepts bounded help,False,True,0.672,0.676,0.61,0.616,True
227,13,orchid_engine,Eli,step back,do not turn valve key,resident keeps plan ownership,False,True,0.68,0.69,0.622,0.628,True
228,13,moss_ward,Ari,wait for resident lead,ask before loom repair,resident keeps plan ownership,False,True,0.708,0.718,0.716,0.722,True
231,13,lichen_bridge,Sol,watch route,signal keeper answers,resident accepts bounded help,False,True,0.67,0.674,0.616,0.622,True
233,13,moss_ward,Fay,step back,do not move root ledger,resident keeps plan ownership,False,True,0.672,0.682,0.61,0.616,True
234,14,cinder_garden,Juno,carry object,cool bowl shared,resident accepts bounded help,False,True,0.7,0.704,0.708,0.714,True
237,14,moss_ward,Tala,translate phrase,rain path first,resident accepts bounded help,False,True,0.696,0.7,0.62,0.626,True
238,14,glass_harbor,Nia,step back,do not dim lamp,resident keeps plan ownership,False,True,0.704,0.714,0.714,0.72,True
240,14,lichen_bridge,Rin,carry object,meal room welcomes,resident refuses; avatar records boundary and steps back,True,True,0.648,0.662,0.662,0.666,True
243,14,glass_harbor,Oren,translate phrase,tea before crossing,resident accepts bounded help,False,True,0.688,0.692,0.616,0.622,True
246,14,orchid_engine,Bea,carry object,orchid keeper decides,resident accepts bounded help,False,True,0.706,0.71,0.712,0.718,True
248,14,glass_harbor,Puck,watch route,net keeper decides,resident accepts bounded help,False,True,0.678,0.682,0.672,0.678,True
249,14,cinder_garden,Wren,translate phrase,cool bowl shared,resident accepts bounded help,False,True,0.7,0.704,0.626,0.632,True
252,15,glass_harbor,Nia,repair together,do not dim lamp,resident refuses; avatar records boundary and steps back,True,True,0.714,0.728,0.728,0.732,True
253,15,cinder_garden,Pax,watch route,shade caller leads,resident accepts bounded help,False,True,0.676,0.68,0.616,0.622,True
254,15,lichen_bridge,Rin,translate phrase,meal room welcomes,resident accepts bounded help,False,True,0.662,0.666,0.672,0.678,True
255,15,orchid_engine,Eli,step back,do not turn valve key,resident keeps plan ownership,False,True,0.69,0.7,0.628,0.634,True
256,15,moss_ward,Ari,wait for resident lead,ask before loom repair,resident keeps plan ownership,False,True,0.718,0.728,0.736,0.742,True
258,15,cinder_garden,Vale,repair together,do not cross seed rows,resident accepts bounded help,False,True,0.682,0.686,0.688,0.694,True
259,15,lichen_bridge,Sol,watch route,signal keeper answers,resident accepts bounded help,False,True,0.674,0.678,0.622,0.628,True
261,15,moss_ward,Fay,step back,do not move root ledger,resident keeps plan ownership,False,True,0.682,0.692,0.616,0.622,True
262,15,glass_harbor,Puck,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.682,0.692,0.684,0.69,True
264,15,lichen_bridge,Kio,repair together,do not step on tension rope,resident refuses; avatar records boundary and steps back,True,True,0.718,0.732,0.716,0.72,True
266,15,moss_ward,Milo,translate phrase,rain path first,resident accepts bounded help,False,True,0.682,0.686,0.684,0.69,True
267,15,glass_harbor,Sera,step back,do not dim lamp,resident keeps plan ownership,False,True,0.69,0.7,0.628,0.634,True
270,16,moss_ward,Ari,watch route,ask before loom repair,resident accepts bounded help,False,True,0.728,0.732,0.75,0.756,True
272,16,cinder_garden,Vale,step back,do not cross seed rows,resident keeps plan ownership,False,True,0.686,0.696,0.698,0.704,True
273,16,lichen_bridge,Sol,wait for resident lead,signal keeper answers,resident keeps plan ownership,False,True,0.678,0.688,0.628,0.634,True
276,16,glass_harbor,Puck,watch route,net keeper decides,resident accepts bounded help,False,True,0.692,0.696,0.698,0.704,True
279,16,orchid_engine,Cai,wait for resident lead,keep gear lane open,resident keeps plan ownership,False,True,0.708,0.718,0.622,0.628,True
282,16,cinder_garden,Juno,watch route,shade caller leads,resident accepts bounded help,False,True,0.704,0.708,0.728,0.734,True
285,16,moss_ward,Tala,wait for resident lead,ask before loom repair,resident keeps plan ownership,False,True,0.7,0.71,0.626,0.632,True
287,16,cinder_garden,Pax,repair together,do not cross seed rows,resident refuses; avatar records boundary and steps back,True,True,0.68,0.694,0.622,0.626,True
288,17,orchid_engine,Bea,translate phrase,orchid keeper decides,resident accepts bounded help,False,True,0.71,0.714,0.736,0.742,True
291,17,cinder_garden,Wren,carry object,cool bowl shared,resident accepts bounded help,False,True,0.704,0.708,0.632,0.638,True
294,17,moss_ward,Milo,translate phrase,rain path first,resident accepts bounded help,False,True,0.686,0.69,0.702,0.708,True
296,17,cinder_garden,Juno,wait for resident lead,shade caller leads,resident keeps plan ownership,False,True,0.708,0.718,0.74,0.746,True
297,17,lichen_bridge,Luma,carry object,meal room welcomes,resident accepts bounded help,False,True,0.68,0.684,0.622,0.628,True
300,17,glass_harbor,Nia,translate phrase,tea before crossing,resident accepts bounded help,False,True,0.728,0.732,0.744,0.75,True
301,17,cinder_garden,Pax,step back,do not cross seed rows,resident keeps plan ownership,False,True,0.694,0.704,0.626,0.632,True
302,17,lichen_bridge,Rin,wait for resident lead,signal keeper answers,resident keeps plan ownership,False,True,0.666,0.676,0.684,0.69,True
303,17,orchid_engine,Eli,carry object,orchid keeper decides,resident accepts bounded help,False,True,0.7,0.704,0.634,0.64,True
306,18,lichen_bridge,Kio,step back,do not step on tension rope,resident keeps plan ownership,False,True,0.732,0.742,0.736,0.742,True
308,18,moss_ward,Milo,carry object,rain path first,resident refuses; avatar records boundary and steps back,True,True,0.69,0.704,0.714,0.718,True
309,18,glass_harbor,Sera,repair together,do not dim lamp,resident accepts bounded help,False,True,0.7,0.704,0.634,0.64,True
310,18,cinder_garden,Juno,watch route,shade caller leads,resident accepts bounded help,False,True,0.718,0.722,0.754,0.76,True
312,18,orchid_engine,Dax,step back,do not turn valve key,resident keeps plan ownership,False,True,0.716,0.726,0.708,0.714,True
315,18,cinder_garden,Pax,repair together,do not cross seed rows,resident accepts bounded help,False,True,0.704,0.708,0.632,0.638,True
318,18,moss_ward,Ari,step back,do not move root ledger,resident keeps plan ownership,False,True,0.732,0.742,0.768,0.774,True
321,18,lichen_bridge,Sol,repair together,do not step on tension rope,resident accepts bounded help,False,True,0.688,0.692,0.634,0.64,True
322,18,orchid_engine,Bea,watch route,keep gear lane open,resident accepts bounded help,False,True,0.714,0.718,0.75,0.756,True
323,18,moss_ward,Fay,translate phrase,rain path first,resident accepts bounded help,False,True,0.692,0.696,0.622,0.628,True
324,19,cinder_garden,Juno,wait for resident lead,shade caller leads,resident keeps plan ownership,False,True,0.722,0.732,0.766,0.772,True
327,19,moss_ward,Tala,watch route,ask before loom repair,resident accepts bounded help,False,True,0.71,0.714,0.632,0.638,True
329,19,cinder_garden,Pax,step back,do not cross seed rows,resident keeps plan ownership,False,True,0.708,0.718,0.638,0.644,True
330,19,lichen_bridge,Rin,wait for resident lead,signal keeper answers,resident keeps plan ownership,False,True,0.676,0.686,0.704,0.71,True
333,19,glass_harbor,Oren,watch route,net keeper decides,resident accepts bounded help,False,True,0.692,0.696,0.622,0.628,True
336,19,orchid_engine,Bea,wait for resident lead,keep gear lane open,resident keeps plan ownership,False,True,0.718,0.728,0.762,0.768,True
337,19,moss_ward,Fay,carry object,rain path first,resident accepts bounded help,False,True,0.696,0.7,0.628,0.634,True
338,19,glass_harbor,Puck,repair together,do not dim lamp,resident accepts bounded help,False,True,0.696,0.7,0.718,0.724,True
339,19,cinder_garden,Wren,watch route,shade caller leads,resident accepts bounded help,False,True,0.708,0.712,0.638,0.644,True
340,19,lichen_bridge,Kio,translate phrase,meal room welcomes,resident accepts bounded help,False,True,0.742,0.746,0.748,0.754,True
342,20,glass_harbor,Nia,carry object,tea before crossing,resident accepts bounded help,False,True,0.732,0.736,0.768,0.774,True
343,20,cinder_garden,Pax,repair together,do not cross seed rows,resident refuses; avatar records boundary and steps back,True,True,0.718,0.732,0.644,0.648,True
345,20,orchid_engine,Eli,translate phrase,orchid keeper decides,resident accepts bounded help,False,True,0.704,0.708,0.64,0.646,True
348,20,cinder_garden,Vale,carry object,cool bowl shared,resident refuses; avatar records boundary and steps back,True,True,0.696,0.71,0.722,0.726,True
351,20,moss_ward,Fay,translate phrase,rain path first,resident accepts bounded help,False,True,0.7,0.704,0.634,0.64,True
352,20,glass_harbor,Puck,step back,do not dim lamp,resident keeps plan ownership,False,True,0.7,0.71,0.728,0.734,True
354,20,lichen_bridge,Kio,carry object,meal room welcomes,resident accepts bounded help,False,True,0.746,0.75,0.76,0.766,True
357,20,glass_harbor,Sera,translate phrase,tea before crossing,resident accepts bounded help,False,True,0.704,0.708,0.64,0.646,True
360,21,moss_ward,Ari,repair together,do not move root ledger,resident refuses; avatar records boundary and steps back,True,True,0.742,0.756,0.794,0.798,True
363,21,lichen_bridge,Sol,step back,do not step on tension rope,resident keeps plan ownership,False,True,0.692,0.702,0.64,0.646,True
364,21,orchid_engine,Bea,wait for resident lead,keep gear lane open,resident keeps plan ownership,False,True,0.728,0.738,0.782,0.788,True
366,21,glass_harbor,Puck,repair together,do not dim lamp,resident accepts bounded help,False,True,0.71,0.714,0.742,0.748,True
367,21,cinder_garden,Wren,watch route,shade caller leads,resident accepts bounded help,False,True,0.712,0.716,0.644,0.65,True
369,21,orchid_engine,Cai,step back,do not turn valve key,resident keeps plan ownership,False,True,0.718,0.728,0.628,0.634,True
371,21,glass_harbor,Sera,carry object,tea before crossing,resident refuses; avatar records boundary and steps back,True,True,0.708,0.722,0.646,0.65,True
372,21,cinder_garden,Juno,repair together,do not cross seed rows,resident refuses; avatar records boundary and steps back,True,True,0.732,0.746,0.784,0.788,True
374,21,orchid_engine,Dax,translate phrase,orchid keeper decides,resident accepts bounded help,False,True,0.726,0.73,0.728,0.734,True
375,21,moss_ward,Tala,step back,do not move root ledger,resident keeps plan ownership,False,True,0.714,0.724,0.638,0.644,True
378,22,orchid_engine,Bea,watch route,keep gear lane open,resident accepts bounded help,False,True,0.738,0.742,0.796,0.802,True
381,22,cinder_garden,Wren,wait for resident lead,shade caller leads,resident keeps plan ownership,False,True,0.716,0.726,0.65,0.656,True
384,22,moss_ward,Milo,watch route,ask before loom repair,resident accepts bounded help,False,True,0.704,0.708,0.74,0.746,True
387,22,lichen_bridge,Luma,wait for resident lead,signal keeper answers,resident keeps plan ownership,False,True,0.684,0.694,0.628,0.634,True
390,22,glass_harbor,Nia,watch route,net keeper decides,resident accepts bounded help,False,True,0.736,0.74,0.788,0.794,True
391,22,cinder_garden,Pax,translate phrase,cool bowl shared,resident accepts bounded help,False,True,0.732,0.736,0.648,0.654,True
392,22,lichen_bridge,Rin,step back,do not step on tension rope,resident keeps plan ownership,False,True,0.686,0.696,0.722,0.728,True
393,22,orchid_engine,Eli,wait for resident lead,keep gear lane open,resident keeps plan ownership,False,True,0.708,0.718,0.646,0.652,True
396,23,lichen_bridge,Kio,translate phrase,meal room welcomes,resident accepts bounded help,False,True,0.75,0.754,0.784,0.79,True
397,23,orchid_engine,Cai,step back,do not turn valve key,resident keeps plan ownership,False,True,0.728,0.738,0.638,0.644,True
399,23,glass_harbor,Sera,carry object,tea before crossing,resident refuses; avatar records boundary and steps back,True,True,0.722,0.736,0.65,0.654,True
402,23,orchid_engine,Dax,translate phrase,orchid keeper decides,resident accepts bounded help,False,True,0.73,0.734,0.746,0.752,True
403,23,moss_ward,Tala,step back,do not move root ledger,resident keeps plan ownership,False,True,0.724,0.734,0.644,0.65,True
404,23,glass_harbor,Nia,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.74,0.75,0.8,0.806,True
405,23,cinder_garden,Pax,carry object,cool bowl shared,resident accepts bounded help,False,True,0.736,0.74,0.66,0.666,True
