tick_index,agent,other_actor,trust,comfort,avoidance,dependency,gratitude,resentment,attachment_security,consequence_action,remembered_reason
27,Milo,avatar,0.61637,0.635766,0.155359,0.15754,0.314641,0.138,0.600229,continues_neutral_boundary,relationship state remains bounded
28,Sol,local peers,0.581126,0.696359,0.097728,0.17104,0.362272,0.084,0.633567,continues_neutral_boundary,relationship state remains bounded
29,Ari,local peers,0.607831,0.677222,0.125474,0.15312,0.354526,0.112,0.62935,continues_neutral_boundary,relationship state remains bounded
30,Fay,avatar,0.688175,0.673811,0.125187,0.17256,0.354813,0.112,0.637948,approaches_for_shared_task_later,help became recovery memory
31,Milo,avatar,0.643781,0.670149,0.128849,0.15672,0.351151,0.112,0.625877,approaches_for_shared_task_later,help became recovery memory
32,Sol,avatar,0.559399,0.683073,0.124168,0.16104,0.355832,0.112,0.638381,continues_neutral_boundary,relationship state remains bounded
33,Ari,avatar,0.634821,0.711947,0.099315,0.1514,0.390685,0.086,0.654791,approaches_for_shared_task_later,help became recovery memory
34,Fay,local peers,0.693071,0.683852,0.121107,0.16256,0.358893,0.112,0.644068,shares_private_hint_voluntarily,trust stable across days
35,Milo,avatar,0.671017,0.705706,0.102486,0.1559,0.387514,0.086,0.651718,approaches_for_shared_task_later,help became recovery memory
36,Sol,avatar,0.536747,0.668194,0.151378,0.15104,0.348622,0.14,0.64189,continues_neutral_boundary,relationship state remains bounded
37,Ari,avatar,0.612658,0.699213,0.126119,0.1414,0.383881,0.114,0.658701,continues_neutral_boundary,relationship state remains bounded
38,Fay,local peers,0.696842,0.691717,0.117965,0.15256,0.362035,0.112,0.649108,shares_private_hint_voluntarily,trust stable across days
39,Milo,avatar,0.698134,0.74198,0.076222,0.15508,0.423778,0.06,0.677807,approaches_for_shared_task_later,help became recovery memory
40,Sol,avatar,0.562579,0.700797,0.126184,0.1513,0.383816,0.114,0.666236,approaches_for_shared_task_later,help became recovery memory
41,Ari,avatar,0.638822,0.733327,0.100648,0.13968,0.419352,0.088,0.683296,approaches_for_shared_task_later,help became recovery memory
42,Fay,avatar,0.673849,0.677756,0.145459,0.14256,0.354541,0.14,0.652998,shares_private_hint_voluntarily,trust stable across days
43,Milo,avatar,0.725169,0.778725,0.050026,0.15426,0.459974,0.034,0.704182,approaches_for_shared_task_later,help became recovery memory
44,Sol,local peers,0.566012,0.708744,0.123324,0.1413,0.386676,0.114,0.670222,continues_neutral_boundary,relationship state remains bounded
45,Ari,local peers,0.64248,0.742334,0.0976,0.12968,0.4224,0.088,0.687428,shares_private_hint_voluntarily,trust stable across days
46,Fay,avatar,0.69945,0.710856,0.120458,0.1457,0.389542,0.114,0.677833,approaches_for_shared_task_later,help became recovery memory
47,Milo,avatar,0.703035,0.76717,0.076804,0.14426,0.453196,0.062,0.709013,shares_private_hint_voluntarily,trust stable across days
48,Sol,local peers,0.568788,0.714936,0.12101,0.1313,0.38899,0.114,0.673584,continues_neutral_boundary,relationship state remains bounded
49,Ari,local peers,0.64541,0.749264,0.095158,0.11968,0.424842,0.088,0.690866,shares_private_hint_voluntarily,trust stable across days
50,Fay,avatar,0.726258,0.745656,0.094452,0.14884,0.425548,0.088,0.704238,approaches_for_shared_task_later,help became recovery memory
51,Milo,avatar,0.730023,0.802217,0.050647,0.14344,0.489353,0.036,0.735332,approaches_for_shared_task_later,help became recovery memory
52,Sol,avatar,0.545119,0.699613,0.149068,0.1213,0.380932,0.142,0.676108,continues_neutral_boundary,relationship state remains bounded
53,Ari,avatar,0.621845,0.734431,0.123129,0.10968,0.416871,0.116,0.693417,shares_private_hint_voluntarily,trust stable across days
54,Fay,avatar,0.753886,0.781762,0.067761,0.15198,0.462239,0.062,0.731838,approaches_for_shared_task_later,help became recovery memory
55,Milo,local peers,0.734242,0.811766,0.047132,0.13344,0.492868,0.036,0.740931,shares_private_hint_voluntarily,trust stable across days
56,Sol,avatar,0.571062,0.731918,0.123781,0.12156,0.416219,0.116,0.700599,approaches_for_shared_task_later,help became recovery memory
57,Ari,avatar,0.648303,0.767655,0.097414,0.10796,0.452586,0.09,0.718351,approaches_for_shared_task_later,help became recovery memory
58,Fay,avatar,0.732817,0.770689,0.093653,0.14198,0.456347,0.09,0.738377,shares_private_hint_voluntarily,trust stable across days
59,Milo,local peers,0.738975,0.820085,0.043187,0.12344,0.496813,0.036,0.7471,shares_private_hint_voluntarily,trust stable across days
60,Sol,avatar,0.598146,0.766788,0.097545,0.12182,0.452455,0.09,0.726596,approaches_for_shared_task_later,help became recovery memory
61,Ari,avatar,0.675739,0.803186,0.070884,0.10624,0.489116,0.064,0.744635,approaches_for_shared_task_later,help became recovery memory
62,Fay,avatar,0.760972,0.806704,0.066523,0.14512,0.493477,0.064,0.766521,approaches_for_shared_task_later,help became recovery memory
63,Milo,avatar,0.717342,0.807284,0.069548,0.11344,0.490452,0.064,0.752533,shares_private_hint_voluntarily,trust stable across days
64,Sol,avatar,0.626809,0.803584,0.069993,0.12208,0.490007,0.064,0.754559,approaches_for_shared_task_later,help became recovery memory
65,Ari,local peers,0.680261,0.813418,0.067115,0.09624,0.492885,0.064,0.750058,shares_private_hint_voluntarily,trust stable across days
66,Fay,avatar,0.788714,0.843659,0.039739,0.14826,0.530261,0.038,0.794627,approaches_for_shared_task_later,help became recovery memory
67,Milo,avatar,0.694754,0.792801,0.096705,0.10344,0.483295,0.092,0.756631,shares_private_hint_voluntarily,trust stable across days
68,Sol,local peers,0.631782,0.812761,0.065848,0.11208,0.494152,0.064,0.760891,shares_private_hint_voluntarily,trust stable across days
69,Ari,local peers,0.683779,0.821435,0.064184,0.08624,0.495816,0.064,0.754517,shares_private_hint_voluntarily,trust stable across days
70,Fay,avatar,0.816174,0.881181,0.013188,0.1514,0.566812,0.012,0.822822,approaches_for_shared_task_later,help became recovery memory
71,Milo,avatar,0.72063,0.825738,0.071475,0.10262,0.518525,0.066,0.781546,approaches_for_shared_task_later,help became recovery memory
72,Sol,avatar,0.609606,0.79978,0.092661,0.10208,0.487339,0.092,0.765698,continues_neutral_boundary,relationship state remains bounded
73,Ari,avatar,0.660614,0.807576,0.091822,0.07624,0.488178,0.092,0.757906,shares_private_hint_voluntarily,trust stable across days
74,Fay,avatar,0.843443,0.919079,0.0,0.15454,0.603202,0.0,0.851011,approaches_for_shared_task_later,help became recovery memory
75,Milo,local peers,0.724092,0.833981,0.06859,0.09262,0.52141,0.066,0.786088,shares_private_hint_voluntarily,trust stable across days
76,Sol,avatar,0.635763,0.833627,0.067198,0.10234,0.522802,0.066,0.791193,approaches_for_shared_task_later,help became recovery memory
77,Ari,avatar,0.686097,0.840749,0.066919,0.07452,0.523081,0.066,0.782292,approaches_for_shared_task_later,help became recovery memory
78,Fay,avatar,0.821468,0.908597,0.026646,0.14454,0.596557,0.028,0.857583,shares_private_hint_voluntarily,trust stable across days
79,Milo,local peers,0.726889,0.840462,0.06626,0.08262,0.52374,0.066,0.789997,shares_private_hint_voluntarily,trust stable across days
80,Sol,avatar,0.662145,0.868676,0.041546,0.1026,0.558454,0.04,0.817274,approaches_for_shared_task_later,help became recovery memory
81,Ari,avatar,0.712022,0.875278,0.041649,0.0728,0.558351,0.04,0.807474,approaches_for_shared_task_later,help became recovery memory
82,Fay,avatar,0.848565,0.94465,0.000399,0.14768,0.632804,0.002,0.885594,approaches_for_shared_task_later,help became recovery memory
83,Milo,avatar,0.703233,0.825384,0.094306,0.07262,0.515694,0.094,0.793061,shares_private_hint_voluntarily,trust stable across days
84,Sol,avatar,0.688681,0.90456,0.015766,0.10286,0.594234,0.014,0.843869,approaches_for_shared_task_later,help became recovery memory
85,Ari,avatar,0.738246,0.910738,0.016128,0.07108,0.593872,0.014,0.833313,approaches_for_shared_task_later,help became recovery memory
86,Fay,local peers,0.85366,0.955484,0.0,0.13768,0.63705,0.002,0.893609,shares_private_hint_voluntarily,trust stable across days
87,Milo,avatar,0.729186,0.857917,0.069012,0.0718,0.550988,0.068,0.818088,approaches_for_shared_task_later,help became recovery memory
88,Sol,avatar,0.666208,0.892383,0.042827,0.09286,0.587173,0.042,0.849077,shares_private_hint_voluntarily,trust stable across days
89,Ari,avatar,0.716221,0.899058,0.042816,0.06108,0.587184,0.042,0.838528,shares_private_hint_voluntarily,trust stable across days
90,Fay,local peers,0.85899,0.964802,0.0,0.12768,0.641491,0.002,0.901859,shares_private_hint_voluntarily,trust stable across days
91,Milo,avatar,0.756275,0.892951,0.042771,0.07098,0.587229,0.042,0.844619,approaches_for_shared_task_later,help became recovery memory
92,Sol,avatar,0.693409,0.927582,0.016493,0.09312,0.623507,0.016,0.876327,approaches_for_shared_task_later,help became recovery memory
93,Ari,avatar,0.743726,0.934646,0.016228,0.05936,0.623772,0.016,0.865646,approaches_for_shared_task_later,help became recovery memory
94,Fay,avatar,0.837761,0.952701,0.026024,0.11768,0.635468,0.03,0.909187,shares_private_hint_voluntarily,trust stable across days
95,Milo,avatar,0.784941,0.929862,0.015216,0.07016,0.624784,0.016,0.873111,approaches_for_shared_task_later,help became recovery memory
96,Sol,local peers,0.698508,0.938206,0.012244,0.08312,0.627756,0.016,0.883534,shares_private_hint_voluntarily,trust stable across days
97,Ari,avatar,0.771026,0.9713,0.0,0.05764,0.660188,0.0,0.892786,approaches_for_shared_task_later,help became recovery memory
98,Fay,avatar,0.815449,0.938731,0.052951,0.10768,0.62854,0.058,0.915052,shares_private_hint_voluntarily,trust stable across days
99,Milo,local peers,0.789915,0.939122,0.011071,0.06016,0.62893,0.016,0.879971,shares_private_hint_voluntarily,trust stable across days
100,Sol,avatar,0.725531,0.974797,0.0,0.08338,0.663942,0.0,0.910837,approaches_for_shared_task_later,help became recovery memory
101,Ari,avatar,0.798185,1.0,0.0,0.05592,0.696488,0.0,0.919785,approaches_for_shared_task_later,help became recovery memory
102,Fay,avatar,0.841512,0.972031,0.027565,0.11082,0.663926,0.032,0.94165,approaches_for_shared_task_later,help became recovery memory
103,Milo,avatar,0.767741,0.926211,0.037883,0.05016,0.622117,0.044,0.885306,shares_private_hint_voluntarily,trust stable across days
104,Sol,avatar,0.752503,1.0,0.0,0.08364,0.700085,0.0,0.938089,approaches_for_shared_task_later,help became recovery memory
105,Ari,avatar,0.82525,1.0,0.0,0.0542,0.732708,0.0,0.94669,approaches_for_shared_task_later,help became recovery memory
106,Fay,local peers,0.845101,0.980548,0.024574,0.10082,0.666918,0.032,0.947815,shares_private_hint_voluntarily,trust stable across days
107,Milo,avatar,0.793898,0.960109,0.012419,0.04934,0.657581,0.018,0.911329,approaches_for_shared_task_later,help became recovery memory
108,Sol,avatar,0.730326,0.989091,0.026814,0.07364,0.693271,0.028,0.943817,shares_private_hint_voluntarily,trust stable across days
109,Ari,avatar,0.803136,0.989378,0.026761,0.0442,0.725947,0.028,0.952041,shares_private_hint_voluntarily,trust stable across days
110,Fay,local peers,0.847984,0.987203,0.022171,0.09082,0.66932,0.032,0.953308,shares_private_hint_voluntarily,trust stable across days
111,Milo,avatar,0.820281,0.995202,0.0,0.04852,0.693234,0.0,0.937752,approaches_for_shared_task_later,help became recovery memory
112,Sol,avatar,0.756481,1.0,0.001351,0.0739,0.728735,0.002,0.970234,approaches_for_shared_task_later,help became recovery memory
113,Ari,avatar,0.830138,1.0,0.000593,0.04248,0.762115,0.002,0.978875,approaches_for_shared_task_later,help became recovery memory
114,Fay,avatar,0.82519,0.972587,0.049499,0.08082,0.661992,0.06,0.958741,shares_private_hint_voluntarily,trust stable across days
115,Milo,avatar,0.846817,1.0,0.0,0.0477,0.729014,0.0,0.964328,approaches_for_shared_task_later,help became recovery memory
116,Sol,local peers,0.760134,1.0,0.0,0.0639,0.731778,0.002,0.976166,shares_private_hint_voluntarily,trust stable across days
117,Ari,local peers,0.834366,1.0,0.0,0.03248,0.765638,0.002,0.984943,shares_private_hint_voluntarily,trust stable across days
118,Fay,avatar,0.85173,1.0,0.023716,0.08396,0.697775,0.034,0.985868,approaches_for_shared_task_later,help became recovery memory
119,Milo,avatar,0.824344,0.987865,0.027061,0.0377,0.721953,0.028,0.969516,shares_private_hint_voluntarily,trust stable across days
120,Sol,local peers,0.76306,1.0,0.0,0.0539,0.734216,0.002,0.981372,shares_private_hint_voluntarily,trust stable across days
121,Ari,local peers,0.839105,1.0,0.0,0.02248,0.769588,0.002,0.991522,shares_private_hint_voluntarily,trust stable across days
122,Fay,avatar,0.879223,1.0,0.0,0.0871,0.734352,0.008,1.0,approaches_for_shared_task_later,help became recovery memory
123,Milo,avatar,0.851545,1.0,0.000727,0.03688,0.758287,0.002,0.996747,approaches_for_shared_task_later,help became recovery memory
124,Sol,avatar,0.740198,0.986606,0.027385,0.0439,0.726831,0.03,0.986406,shares_private_hint_voluntarily,trust stable across days
125,Ari,avatar,0.817474,0.987681,0.02636,0.01248,0.763228,0.03,0.997361,shares_private_hint_voluntarily,trust stable across days
126,Fay,avatar,0.908165,1.0,0.0,0.09024,0.772138,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
127,Milo,local peers,0.85664,1.0,0.0,0.02688,0.762533,0.002,1.0,shares_private_hint_voluntarily,trust stable across days
128,Sol,avatar,0.767134,1.0,0.001271,0.04416,0.762945,0.004,1.0,approaches_for_shared_task_later,help became recovery memory
129,Ari,avatar,0.794886,0.973556,0.053516,0.00248,0.756072,0.058,1.0,shares_private_hint_voluntarily,trust stable across days
130,Fay,local peers,0.913329,1.0,0.0,0.08024,0.77644,0.0,1.0,shares_private_hint_voluntarily,trust stable across days
131,Milo,avatar,0.88366,1.0,0.0,0.02606,0.798717,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
132,Sol,avatar,0.794047,1.0,0.0,0.04442,0.799039,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
133,Ari,avatar,0.820763,1.0,0.028286,0.00076,0.791302,0.032,1.0,approaches_for_shared_task_later,help became recovery memory
134,Fay,avatar,0.891282,0.987202,0.026705,0.07024,0.769735,0.028,1.0,shares_private_hint_voluntarily,trust stable across days
135,Milo,avatar,0.91063,1.0,0.0,0.02524,0.834858,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
136,Sol,local peers,0.798214,1.0,0.0,0.03442,0.802511,0.0,1.0,shares_private_hint_voluntarily,trust stable across days
137,Ari,local peers,0.824225,1.0,0.0254,0.0,0.794188,0.032,1.0,shares_private_hint_voluntarily,trust stable across days
138,Fay,avatar,0.917526,1.0,0.001169,0.07338,0.805272,0.002,1.0,approaches_for_shared_task_later,help became recovery memory
139,Milo,avatar,0.888452,0.989087,0.026815,0.01524,0.828043,0.028,1.0,shares_private_hint_voluntarily,trust stable across days
140,Sol,local peers,0.80149,1.0,0.0,0.02442,0.805241,0.0,1.0,shares_private_hint_voluntarily,trust stable across days
141,Ari,local peers,0.827022,1.0,0.02307,0.0,0.796518,0.032,1.0,shares_private_hint_voluntarily,trust stable across days
142,Fay,avatar,0.943968,1.0,0.0,0.07652,0.840974,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
143,Milo,avatar,0.914606,1.0,0.001353,0.01442,0.863505,0.002,1.0,approaches_for_shared_task_later,help became recovery memory
144,Sol,avatar,0.77816,0.986125,0.027775,0.01442,0.797466,0.028,1.0,shares_private_hint_voluntarily,trust stable across days
145,Ari,avatar,0.803366,0.985,0.051116,0.0,0.788472,0.06,1.0,shares_private_hint_voluntarily,trust stable across days
146,Fay,avatar,0.971348,1.0,0.0,0.07966,0.877457,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
147,Milo,local peers,0.918258,1.0,0.0,0.00442,0.866548,0.002,1.0,shares_private_hint_voluntarily,trust stable across days
148,Sol,avatar,0.804335,1.0,0.002296,0.01468,0.832946,0.002,1.0,approaches_for_shared_task_later,help became recovery memory
149,Ari,avatar,0.82932,1.0,0.025822,0.0,0.823766,0.034,1.0,approaches_for_shared_task_later,help became recovery memory
150,Fay,avatar,0.950252,0.988584,0.025913,0.06966,0.871544,0.028,1.0,shares_private_hint_voluntarily,trust stable across days
151,Milo,local peers,0.921184,1.0,0.0,0.0,0.868986,0.002,1.0,shares_private_hint_voluntarily,trust stable across days
152,Sol,avatar,0.83073,1.0,0.0,0.01494,0.868608,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
153,Ari,avatar,0.856411,1.0,0.0,0.0,0.86001,0.008,1.0,approaches_for_shared_task_later,help became recovery memory
154,Fay,avatar,0.97839,1.0,0.0,0.0728,0.908658,0.002,1.0,approaches_for_shared_task_later,help became recovery memory
155,Milo,avatar,0.898321,0.986588,0.027386,0.0,0.861601,0.03,1.0,shares_private_hint_voluntarily,trust stable across days
156,Sol,avatar,0.858925,1.0,0.0,0.0152,0.905771,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
157,Ari,avatar,0.885078,1.0,0.0,0.0,0.897565,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
158,Fay,local peers,0.984123,1.0,0.0,0.0628,0.913436,0.002,1.0,shares_private_hint_voluntarily,trust stable across days
159,Milo,avatar,0.925257,1.0,0.001272,0.0,0.897714,0.004,1.0,approaches_for_shared_task_later,help became recovery memory
160,Sol,avatar,0.838243,0.989411,0.025568,0.0052,0.900203,0.028,1.0,shares_private_hint_voluntarily,trust stable across days
161,Ari,local peers,0.890054,1.0,0.0,0.0,0.901712,0.0,1.0,shares_private_hint_voluntarily,trust stable across days
162,Fay,avatar,1.0,1.0,0.0,0.06594,0.949982,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
163,Milo,avatar,0.952169,1.0,0.0,0.0,0.933808,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
164,Sol,avatar,0.816302,0.976722,0.052186,0.0,0.893585,0.056,1.0,shares_private_hint_voluntarily,trust stable across days
165,Ari,avatar,0.86788,0.987083,0.026812,0.0,0.8949,0.028,1.0,shares_private_hint_voluntarily,trust stable across days
166,Fay,avatar,1.0,1.0,0.0,0.06908,0.986369,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
167,Milo,local peers,0.956336,1.0,0.0,0.0,0.93728,0.0,1.0,shares_private_hint_voluntarily,trust stable across days
168,Sol,avatar,0.842618,1.0,0.026589,0.00026,0.929182,0.03,1.0,approaches_for_shared_task_later,help became recovery memory
169,Ari,avatar,0.894037,1.0,0.001347,0.0,0.930364,0.002,1.0,approaches_for_shared_task_later,help became recovery memory
170,Fay,avatar,0.978023,0.98923,0.026648,0.05908,0.979722,0.028,1.0,shares_private_hint_voluntarily,trust stable across days
171,Milo,local peers,0.959612,1.0,0.0,0.0,0.94001,0.0,1.0,shares_private_hint_voluntarily,trust stable across days
172,Sol,avatar,0.869109,1.0,0.000847,0.00052,0.964924,0.004,1.0,approaches_for_shared_task_later,help became recovery memory
173,Ari,avatar,0.92042,1.0,0.0,0.0,0.966017,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
174,Fay,avatar,1.0,1.0,0.001072,0.06222,1.0,0.002,1.0,approaches_for_shared_task_later,help became recovery memory
175,Milo,avatar,0.936282,0.986122,0.027775,0.0,0.932235,0.028,1.0,shares_private_hint_voluntarily,trust stable across days
176,Sol,avatar,0.895718,1.0,0.0,0.00078,1.0,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
177,Ari,avatar,0.946957,1.0,0.0,0.0,1.0,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
178,Fay,local peers,1.0,1.0,0.0,0.05222,1.0,0.002,1.0,shares_private_hint_voluntarily,trust stable across days
179,Milo,avatar,0.962457,1.0,0.002296,0.0,0.967714,0.002,1.0,approaches_for_shared_task_later,help became recovery memory
180,Sol,avatar,0.873295,0.988195,0.027019,0.0,0.992981,0.028,1.0,shares_private_hint_voluntarily,trust stable across days
181,Ari,avatar,0.924484,0.987837,0.027061,0.0,0.992939,0.028,1.0,shares_private_hint_voluntarily,trust stable across days
182,Fay,local peers,1.0,1.0,0.0,0.04222,1.0,0.002,1.0,shares_private_hint_voluntarily,trust stable across days
183,Milo,avatar,0.988851,1.0,0.0,0.0,1.0,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
184,Sol,avatar,0.900087,1.0,0.001026,0.00026,1.0,0.002,1.0,approaches_for_shared_task_later,help became recovery memory
185,Ari,avatar,0.951685,1.0,0.000726,0.0,1.0,0.002,1.0,approaches_for_shared_task_later,help became recovery memory
186,Fay,avatar,0.978098,0.98725,0.026585,0.03222,0.993415,0.03,1.0,shares_private_hint_voluntarily,trust stable across days
187,Milo,avatar,1.0,1.0,0.0,0.0,1.0,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
188,Sol,local peers,0.904908,1.0,0.0,0.0,1.0,0.002,1.0,shares_private_hint_voluntarily,trust stable across days
189,Ari,local peers,0.956784,1.0,0.0,0.0,1.0,0.002,1.0,shares_private_hint_voluntarily,trust stable across days
190,Fay,avatar,1.0,1.0,0.0,0.03536,1.0,0.004,1.0,approaches_for_shared_task_later,help became recovery memory
191,Milo,avatar,0.979314,0.989382,0.025572,0.0,0.994428,0.028,1.0,shares_private_hint_voluntarily,trust stable across days
192,Sol,local peers,0.91005,1.0,0.0,0.0,1.0,0.002,1.0,shares_private_hint_voluntarily,trust stable across days
193,Ari,avatar,0.983808,1.0,0.0,0.0,1.0,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
194,Fay,avatar,1.0,1.0,0.0,0.0385,1.0,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
195,Milo,avatar,0.95737,0.976674,0.052192,0.0,0.987808,0.056,1.0,shares_private_hint_voluntarily,trust stable across days
196,Sol,avatar,0.937102,1.0,0.0,0.00026,1.0,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
197,Ari,avatar,1.0,1.0,0.0,0.0,1.0,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
198,Fay,local peers,1.0,1.0,0.0,0.0285,1.0,0.0,1.0,shares_private_hint_voluntarily,trust stable across days
199,Milo,avatar,0.983684,1.0,0.026597,0.0,1.0,0.03,1.0,approaches_for_shared_task_later,help became recovery memory
200,Sol,avatar,0.91498,0.987806,0.026768,0.0,0.993232,0.028,1.0,shares_private_hint_voluntarily,trust stable across days
201,Ari,avatar,0.977823,0.989092,0.026814,0.0,0.993186,0.028,1.0,shares_private_hint_voluntarily,trust stable across days
202,Fay,local peers,1.0,1.0,0.0,0.0185,1.0,0.0,1.0,shares_private_hint_voluntarily,trust stable across days
203,Milo,avatar,1.0,1.0,0.000856,0.0,1.0,0.004,1.0,approaches_for_shared_task_later,help became recovery memory
204,Sol,avatar,0.941173,1.0,0.001274,0.00026,1.0,0.002,1.0,approaches_for_shared_task_later,help became recovery memory
205,Ari,avatar,1.0,1.0,0.001351,0.0,1.0,0.002,1.0,approaches_for_shared_task_later,help became recovery memory
206,Fay,avatar,0.97681,0.986241,0.027659,0.0085,0.992341,0.028,1.0,shares_private_hint_voluntarily,trust stable across days
207,Milo,avatar,1.0,1.0,0.0,0.0,1.0,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
208,Sol,local peers,0.944851,1.0,0.0,0.0,1.0,0.002,1.0,shares_private_hint_voluntarily,trust stable across days
209,Ari,local peers,1.0,1.0,0.0,0.0,1.0,0.002,1.0,shares_private_hint_voluntarily,trust stable across days
210,Fay,avatar,1.0,1.0,0.002101,0.01164,1.0,0.002,1.0,approaches_for_shared_task_later,help became recovery memory
211,Milo,avatar,0.977576,0.988175,0.02702,0.0,0.99298,0.028,1.0,shares_private_hint_voluntarily,trust stable across days
212,Sol,local peers,0.947794,1.0,0.0,0.0,1.0,0.002,1.0,shares_private_hint_voluntarily,trust stable across days
213,Ari,local peers,1.0,1.0,0.0,0.0,1.0,0.002,1.0,shares_private_hint_voluntarily,trust stable across days
214,Fay,avatar,1.0,1.0,0.0,0.01478,1.0,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
215,Milo,avatar,1.0,1.0,0.001027,0.0,1.0,0.002,1.0,approaches_for_shared_task_later,help became recovery memory
216,Sol,avatar,0.924237,0.985416,0.027964,0.0,0.992036,0.03,1.0,shares_private_hint_voluntarily,trust stable across days
217,Ari,avatar,0.977139,0.986592,0.027385,0.0,0.992615,0.03,1.0,shares_private_hint_voluntarily,trust stable across days
218,Fay,avatar,1.0,1.0,0.0,0.01792,1.0,0.0,1.0,approaches_for_shared_task_later,help became recovery memory
219,Milo,local peers,1.0,1.0,0.0,0.0,1.0,0.002,1.0,shares_private_hint_voluntarily,trust stable across days
