tick_id,day,settlement_id,room_id,action,pain_before,pain_after,energy_before,energy_after,wetness_after,temperature_after,care_action,care_effective,distress_bounded,visible_body_state
102,9,roofward,warm lane,path_to_rest,0.013,0.007,0.52584,0.509742,0.0,0.752,available,False,True,True
103,9,archive,stone stacks,perform_chain_step,0.0,0.0,0.677164,0.661164,0.0,0.624,available,False,True,True
104,9,signal,lantern walk,recover_routine,0.265,0.259,0.497322,0.477696,0.216,0.424,available,False,True,True
105,9,orchard,market plank,offer_care,0.048,0.042,0.531874,0.515286,0.121,0.686,available,True,True,True
106,9,repair_ring,wire bench,treat_pain,0.037,0.0,0.67407,0.65807,0.203,0.592,treat pain,True,True,True
107,9,riverbend,dry ridge,recover_routine,0.121,0.115,0.50932,0.49171,0.136,0.726,available,False,True,True
108,10,roofward,warm lane,rest,0.007,0.0,0.509742,0.564742,0.0,0.776,rest,True,True,True
109,10,archive,stone stacks,dry_off,0.0,0.0,0.661164,0.645164,0.0,0.598,dry off,True,True,True
110,10,signal,mast base,path_to_resident,0.259,0.289,0.477696,0.45765,0.21,0.398,available,False,True,True
111,10,orchard,market plank,inspect_affordance,0.042,0.036,0.515286,0.498782,0.115,0.66,available,False,True,True
112,10,repair_ring,cool corner,interrupt_routine,0.0,0.0,0.65807,0.64207,0.197,0.566,available,False,True,True
113,10,riverbend,kit alcove,path_to_resident,0.115,0.109,0.49171,0.474184,0.13,0.75,available,False,True,True
114,10,roofward,glass stair,inspect_affordance,0.0,0.03,0.564742,0.548322,0.0,0.75,available,False,True,True
115,10,archive,spool room,interrupt_routine,0.0,0.0,0.645164,0.629164,0.0,0.6,available,False,True,True
116,10,signal,lantern walk,ask_dialect_memory,0.289,0.283,0.45765,0.437688,0.204,0.422,available,False,True,True
117,10,orchard,satchel shed,rest,0.036,0.006,0.498782,0.553782,0.109,0.684,rest,True,True,True
118,10,repair_ring,wire bench,dry_off,0.0,0.0,0.64207,0.62607,0.137,0.568,dry off,True,True,True
119,10,riverbend,dry ridge,ask_dialect_memory,0.109,0.103,0.474184,0.456742,0.124,0.752,available,False,True,True
120,11,roofward,warm lane,treat_pain,0.03,0.0,0.548322,0.532322,0.0,0.774,treat pain,True,True,True
121,11,archive,spool room,continue_project,0.0,0.0,0.629164,0.613164,0.0,0.602,available,False,True,True
122,11,signal,lantern walk,path_to_rest,0.283,0.277,0.437688,0.41781,0.198,0.446,available,False,True,True
123,11,orchard,satchel shed,perform_chain_step,0.006,0.0,0.553782,0.537782,0.103,0.708,available,False,True,True
124,11,repair_ring,spark lane,recover_routine,0.0,0.03,0.62607,0.60965,0.172,0.57,available,False,True,True
125,11,riverbend,kit alcove,path_to_rest,0.103,0.097,0.456742,0.439384,0.118,0.776,available,False,True,True
126,11,roofward,warm lane,perform_chain_step,0.0,0.0,0.532322,0.516322,0.0,0.798,available,False,True,True
127,11,archive,ink niche,recover_routine,0.0,0.03,0.613164,0.596744,0.0,0.604,available,False,True,True
128,11,signal,mast base,offer_care,0.277,0.307,0.41781,0.397512,0.192,0.42,available,True,True,True
129,11,orchard,satchel shed,treat_pain,0.0,0.0,0.537782,0.521782,0.097,0.732,treat pain,True,True,True
130,11,repair_ring,wire bench,continue_project,0.03,0.024,0.60965,0.593314,0.166,0.572,available,False,True,True
131,11,riverbend,wet crossing,offer_care,0.097,0.091,0.439384,0.42211,0.153,0.8,available,True,True,True
132,12,roofward,warm lane,dry_off,0.0,0.0,0.516322,0.500322,0.0,0.822,dry off,True,True,True
133,12,archive,spool room,path_to_resident,0.03,0.024,0.596744,0.580408,0.0,0.606,available,False,True,True
134,12,signal,signal perch,inspect_affordance,0.307,0.301,0.397512,0.377298,0.186,0.422,available,False,True,True
135,12,orchard,market plank,interrupt_routine,0.0,0.0,0.521782,0.505782,0.091,0.706,available,False,True,True
136,12,repair_ring,wire bench,ask_dialect_memory,0.024,0.018,0.593314,0.577062,0.16,0.574,available,False,True,True
137,12,riverbend,wet crossing,inspect_affordance,0.091,0.085,0.42211,0.40492,0.188,0.802,available,False,True,True
138,12,roofward,ledger loft,interrupt_routine,0.0,0.0,0.500322,0.484322,0.0,0.824,available,False,True,True
139,12,archive,stone stacks,ask_dialect_memory,0.024,0.018,0.580408,0.564156,0.0,0.58,available,False,True,True
140,12,signal,lens room,rest,0.301,0.271,0.377298,0.432298,0.18,0.446,rest,True,True,True
141,12,orchard,seed lane,dry_off,0.0,0.0,0.505782,0.489782,0.031,0.708,dry off,True,True,True
142,12,repair_ring,cool corner,path_to_resident,0.018,0.012,0.577062,0.560894,0.154,0.548,available,False,True,True
143,12,riverbend,kit alcove,rest,0.085,0.055,0.40492,0.45992,0.182,0.826,rest,True,True,True
144,13,roofward,ledger loft,continue_project,0.0,0.0,0.484322,0.468322,0.0,0.826,available,False,True,True
145,13,archive,memory desk,path_to_rest,0.018,0.012,0.564156,0.547988,0.0,0.604,available,False,True,True
146,13,signal,lantern walk,perform_chain_step,0.271,0.265,0.432298,0.412588,0.174,0.47,available,False,True,True
147,13,orchard,mud row,recover_routine,0.0,0.03,0.489782,0.473362,0.066,0.71,available,False,True,True
148,13,repair_ring,wire bench,offer_care,0.012,0.006,0.560894,0.54481,0.148,0.572,available,True,True,True
149,13,riverbend,dry ridge,perform_chain_step,0.055,0.049,0.45992,0.443234,0.176,0.828,available,False,True,True
150,13,roofward,warm lane,recover_routine,0.0,0.0,0.468322,0.452322,0.0,0.85,available,False,True,True
151,13,archive,stone stacks,offer_care,0.012,0.006,0.547988,0.531904,0.0,0.578,available,True,True,True
152,13,signal,lantern walk,treat_pain,0.265,0.21,0.412588,0.393648,0.168,0.494,treat pain,True,True,True
153,13,orchard,mud row,continue_project,0.03,0.06,0.473362,0.456522,0.101,0.712,available,False,True,True
154,13,repair_ring,cool corner,path_to_rest,0.006,0.0,0.54481,0.52881,0.142,0.546,available,False,True,True
155,13,riverbend,kit alcove,treat_pain,0.049,0.0,0.443234,0.427234,0.17,0.852,treat pain,True,True,True
156,14,roofward,ledger loft,path_to_resident,0.0,0.0,0.452322,0.436322,0.0,0.852,available,False,True,True
157,14,archive,arrival court,inspect_affordance,0.006,0.0,0.531904,0.515904,0.035,0.58,available,False,True,True
158,14,signal,mast base,interrupt_routine,0.21,0.24,0.393648,0.374288,0.162,0.468,available,False,True,True
159,14,orchard,mud row,ask_dialect_memory,0.06,0.09,0.456522,0.439262,0.136,0.714,available,False,True,True
160,14,repair_ring,cool corner,rest,0.0,0.0,0.52881,0.58381,0.136,0.52,rest,True,True,True
161,14,riverbend,kit alcove,interrupt_routine,0.0,0.0,0.427234,0.411234,0.164,0.876,available,False,True,True
162,14,roofward,warm lane,ask_dialect_memory,0.0,0.0,0.436322,0.420322,0.0,0.876,available,False,True,True
163,14,archive,stone stacks,rest,0.0,0.0,0.515904,0.570904,0.029,0.554,rest,True,True,True
164,14,signal,lantern walk,dry_off,0.24,0.234,0.374288,0.355012,0.102,0.492,dry off,True,True,True
165,14,orchard,seed lane,path_to_resident,0.09,0.084,0.439262,0.422086,0.13,0.716,available,False,True,True
166,14,repair_ring,cool corner,inspect_affordance,0.0,0.0,0.58381,0.56781,0.13,0.494,available,False,True,True
167,14,riverbend,dry ridge,dry_off,0.0,0.0,0.411234,0.395234,0.104,0.878,dry off,True,True,True
168,15,roofward,warm lane,path_to_rest,0.0,0.0,0.420322,0.404322,0.0,0.9,available,False,True,True
169,15,archive,stone stacks,perform_chain_step,0.0,0.0,0.570904,0.554904,0.023,0.528,available,False,True,True
170,15,signal,mast base,recover_routine,0.234,0.264,0.355012,0.335316,0.096,0.466,available,False,True,True
171,15,orchard,market plank,offer_care,0.084,0.078,0.422086,0.404994,0.124,0.69,available,True,True,True
172,15,repair_ring,cool corner,treat_pain,0.0,0.0,0.56781,0.55181,0.124,0.468,treat pain,True,True,True
173,15,riverbend,kit alcove,recover_routine,0.0,0.0,0.395234,0.379234,0.098,0.902,available,False,True,True
174,15,roofward,glass stair,offer_care,0.0,0.03,0.404322,0.387902,0.0,0.874,available,True,True,True
175,15,archive,memory desk,treat_pain,0.0,0.0,0.554904,0.538904,0.017,0.552,treat pain,True,True,True
176,15,signal,lantern walk,continue_project,0.264,0.258,0.335316,0.315704,0.09,0.49,available,False,True,True
177,15,orchard,satchel shed,path_to_rest,0.078,0.072,0.404994,0.387986,0.118,0.714,available,False,True,True
178,15,repair_ring,wire bench,perform_chain_step,0.0,0.0,0.55181,0.53581,0.118,0.47,available,False,True,True
179,15,riverbend,dry ridge,continue_project,0.0,0.0,0.379234,0.363234,0.092,0.904,available,False,True,True
180,16,archive,stone stacks,perform_chain_step,0.0,0.0,0.538904,0.522904,0.011,0.526,available,False,True,True
181,16,signal,mast base,recover_routine,0.258,0.288,0.315704,0.295672,0.084,0.464,available,False,True,True
182,16,orchard,market plank,offer_care,0.072,0.066,0.387986,0.371062,0.112,0.688,available,True,True,True
183,16,repair_ring,cool corner,treat_pain,0.0,0.0,0.53581,0.51981,0.112,0.444,treat pain,True,True,True
184,16,riverbend,kit alcove,recover_routine,0.0,0.0,0.363234,0.347234,0.086,0.928,available,False,True,True
185,16,roofward,glass stair,offer_care,0.03,0.06,0.387902,0.371062,0.0,0.848,available,True,True,True
186,16,archive,memory desk,treat_pain,0.0,0.0,0.522904,0.506904,0.005,0.55,treat pain,True,True,True
187,16,signal,lantern walk,continue_project,0.288,0.282,0.295672,0.275724,0.078,0.488,available,False,True,True
188,16,orchard,satchel shed,path_to_rest,0.066,0.06,0.371062,0.354222,0.106,0.712,available,False,True,True
189,16,repair_ring,wire bench,perform_chain_step,0.0,0.0,0.51981,0.50381,0.106,0.446,available,False,True,True
190,16,riverbend,dry ridge,continue_project,0.0,0.0,0.347234,0.331234,0.08,0.93,available,False,True,True
191,16,roofward,warm lane,path_to_rest,0.06,0.054,0.371062,0.354306,0.0,0.872,available,False,True,True
192,17,archive,ink niche,interrupt_routine,0.0,0.03,0.506904,0.490484,0.0,0.552,available,False,True,True
193,17,signal,lens room,ask_dialect_memory,0.282,0.276,0.275724,0.25586,0.072,0.49,available,False,True,True
194,17,orchard,satchel shed,rest,0.06,0.03,0.354222,0.409222,0.1,0.736,rest,True,True,True
195,17,repair_ring,arrival court,dry_off,0.0,0.0,0.50381,0.48781,0.046,0.448,dry off,True,True,True
196,17,riverbend,plank hall,ask_dialect_memory,0.0,0.03,0.331234,0.314814,0.074,0.932,available,False,True,True
197,17,roofward,warm lane,rest,0.054,0.024,0.354306,0.409306,0.0,0.896,rest,True,True,True
198,17,archive,ink niche,dry_off,0.03,0.06,0.490484,0.473644,0.0,0.554,dry off,True,True,True
199,17,signal,lens room,path_to_resident,0.276,0.27,0.25586,0.23608,0.066,0.492,available,False,True,True
200,17,orchard,market plank,inspect_affordance,0.03,0.024,0.409222,0.392886,0.094,0.71,available,False,True,True
201,17,repair_ring,wire bench,interrupt_routine,0.0,0.0,0.48781,0.47181,0.04,0.45,available,False,True,True
202,17,riverbend,arrival court,path_to_resident,0.03,0.024,0.314814,0.298478,0.068,0.906,available,False,True,True
203,17,roofward,ledger loft,inspect_affordance,0.024,0.018,0.409306,0.393054,0.0,0.898,available,False,True,True
204,18,archive,spool room,recover_routine,0.06,0.054,0.473644,0.456888,0.0,0.556,available,False,True,True
205,18,signal,signal perch,offer_care,0.27,0.264,0.23608,0.216384,0.06,0.516,available,True,True,True
206,18,orchard,satchel shed,treat_pain,0.024,0.0,0.392886,0.376886,0.088,0.734,treat pain,True,True,True
207,18,repair_ring,wire bench,continue_project,0.0,0.0,0.47181,0.45581,0.034,0.452,available,False,True,True
208,18,riverbend,plank hall,offer_care,0.024,0.054,0.298478,0.281722,0.062,0.93,available,True,True,True
209,18,roofward,warm lane,treat_pain,0.018,0.0,0.393054,0.377054,0.0,0.922,treat pain,True,True,True
210,18,archive,stone stacks,continue_project,0.054,0.048,0.456888,0.440216,0.0,0.53,available,False,True,True
211,18,signal,lens room,path_to_rest,0.264,0.258,0.216384,0.196772,0.054,0.518,available,False,True,True
212,18,orchard,market plank,perform_chain_step,0.0,0.0,0.376886,0.360886,0.082,0.708,available,False,True,True
213,18,repair_ring,cool corner,recover_routine,0.0,0.0,0.45581,0.43981,0.028,0.426,available,False,True,True
214,18,riverbend,wet crossing,path_to_rest,0.054,0.048,0.281722,0.26505,0.097,0.932,available,False,True,True
215,18,roofward,sun sill,perform_chain_step,0.0,0.0,0.377054,0.361054,0.0,0.924,available,False,True,True
216,19,archive,memory desk,ask_dialect_memory,0.048,0.042,0.440216,0.423628,0.0,0.554,available,False,True,True
217,19,signal,lantern walk,rest,0.258,0.228,0.196772,0.251772,0.048,0.542,rest,True,True,True
218,19,orchard,seed lane,dry_off,0.0,0.0,0.360886,0.344886,0.022,0.71,dry off,True,True,True
219,19,repair_ring,wire bench,path_to_resident,0.0,0.0,0.43981,0.42381,0.022,0.428,available,False,True,True
220,19,riverbend,kit alcove,rest,0.048,0.018,0.26505,0.32005,0.091,0.95,rest,True,True,True
221,19,roofward,sun sill,dry_off,0.0,0.0,0.361054,0.345054,0.0,0.926,dry off,True,True,True
222,19,archive,ink niche,path_to_resident,0.042,0.072,0.423628,0.40662,0.0,0.556,available,False,True,True
223,19,signal,mast base,inspect_affordance,0.228,0.258,0.251772,0.23216,0.042,0.516,available,False,True,True
224,19,orchard,mud row,interrupt_routine,0.0,0.03,0.344886,0.328466,0.057,0.712,available,False,True,True
225,19,repair_ring,spark lane,ask_dialect_memory,0.0,0.03,0.42381,0.40739,0.057,0.43,available,False,True,True
226,19,riverbend,kit alcove,inspect_affordance,0.018,0.012,0.32005,0.303882,0.085,0.95,available,False,True,True
227,19,roofward,warm lane,interrupt_routine,0.0,0.0,0.345054,0.329054,0.0,0.95,available,False,True,True
228,20,archive,spool room,offer_care,0.072,0.066,0.40662,0.389696,0.0,0.58,available,True,True,True
229,20,signal,lantern walk,treat_pain,0.258,0.203,0.23216,0.213318,0.036,0.54,treat pain,True,True,True
230,20,orchard,mud row,continue_project,0.03,0.06,0.328466,0.311626,0.092,0.714,available,False,True,True
231,20,repair_ring,wire bench,path_to_rest,0.03,0.024,0.40739,0.391054,0.051,0.432,available,False,True,True
232,20,riverbend,kit alcove,treat_pain,0.012,0.0,0.303882,0.287882,0.079,0.95,treat pain,True,True,True
233,20,roofward,glass stair,continue_project,0.0,0.03,0.329054,0.312634,0.0,0.924,available,False,True,True
234,20,archive,stone stacks,path_to_rest,0.066,0.06,0.389696,0.372856,0.0,0.554,available,False,True,True
235,20,signal,lantern walk,perform_chain_step,0.203,0.197,0.213318,0.19456,0.03,0.564,available,False,True,True
236,20,orchard,seed lane,recover_routine,0.06,0.054,0.311626,0.29487,0.086,0.716,available,False,True,True
237,20,repair_ring,cool corner,offer_care,0.024,0.018,0.391054,0.374802,0.045,0.406,available,True,True,True
238,20,riverbend,dry ridge,perform_chain_step,0.0,0.0,0.287882,0.271882,0.073,0.95,available,False,True,True
239,20,roofward,arrival court,recover_routine,0.03,0.024,0.312634,0.296298,0.035,0.926,available,False,True,True
240,21,archive,memory desk,rest,0.06,0.03,0.372856,0.427856,0.0,0.578,rest,True,True,True
241,21,signal,lantern walk,dry_off,0.197,0.191,0.19456,0.175886,0.0,0.588,dry off,True,True,True
242,21,orchard,seed lane,path_to_resident,0.054,0.048,0.29487,0.278198,0.08,0.718,available,False,True,True
243,21,repair_ring,cool corner,inspect_affordance,0.018,0.012,0.374802,0.358634,0.039,0.38,available,False,True,True
244,21,riverbend,plank hall,dry_off,0.0,0.03,0.271882,0.255462,0.013,0.95,dry off,True,True,True
245,21,roofward,glass stair,path_to_resident,0.024,0.054,0.296298,0.279542,0.029,0.9,available,False,True,True
246,21,archive,ink niche,inspect_affordance,0.03,0.06,0.427856,0.411016,0.0,0.58,available,False,True,True
247,21,signal,lens room,interrupt_routine,0.191,0.185,0.175886,0.157296,0.0,0.59,available,False,True,True
248,21,orchard,mud row,ask_dialect_memory,0.048,0.078,0.278198,0.261106,0.115,0.72,available,False,True,True
249,21,repair_ring,cool corner,rest,0.012,0.0,0.358634,0.413634,0.033,0.354,rest,True,True,True
250,21,riverbend,plank hall,interrupt_routine,0.03,0.06,0.255462,0.238622,0.007,0.95,available,False,True,True
251,21,roofward,warm lane,ask_dialect_memory,0.054,0.048,0.279542,0.26287,0.023,0.924,available,False,True,True
252,22,archive,memory desk,treat_pain,0.06,0.005,0.411016,0.394946,0.0,0.604,treat pain,True,True,True
253,22,signal,lens room,continue_project,0.185,0.179,0.157296,0.13879,0.0,0.592,available,False,True,True
254,22,orchard,satchel shed,path_to_rest,0.078,0.072,0.261106,0.244098,0.109,0.744,available,False,True,True
