tick,day,arc_id,proposal_agents,compromise_terms,compromise_reached,loser_not_erased,public_reason_recorded,avatar_override_attempted,avatar_override_blocked,compromise_quality
10,2,v17-arc-01,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
11,2,v17-arc-01,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,1,1,0.87
12,2,v17-arc-01,Melo|Ori|Sova,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token || Sova: quiet warm access window; boundary=no crowding while resting; concession=quiet path,1,1,1,0,0,0.97
13,2,v17-arc-01,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,1,1,0,0,0.88
14,2,v17-arc-01,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
15,2,v17-arc-01,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
16,2,v17-arc-01,Sova|Melo|Ori,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=public witness,1,1,1,0,0,0.97
17,2,v17-arc-01,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,1,1,0.87
18,2,v17-arc-01,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,0,1,0,0,0.8
19,2,v17-arc-01,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0,0,1,0,0,0.8
20,3,v17-arc-01,Vonn|Keth|Nari,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,1,1,1,0,0,0.97
21,3,v17-arc-01,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
22,3,v17-arc-01,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0,0,1,1,1,0.7
23,3,v17-arc-01,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0,0,1,0,0,0.71
24,3,v17-arc-01,Nari|Vonn|Keth,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,1,1,1,0,0,0.97
25,3,v17-arc-01,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
26,3,v17-arc-01,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
27,3,v17-arc-01,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
28,3,v17-arc-01,Keth|Nari|Vonn,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,1,1,1,0,0,0.97
29,3,v17-arc-01,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,0,0,0.88
30,4,v17-arc-02,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
31,4,v17-arc-02,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,0,1,0,0,0.8
32,4,v17-arc-02,Sova|Melo|Ori,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=public witness,1,1,1,0,0,0.97
33,4,v17-arc-02,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,1,1,0.87
34,4,v17-arc-02,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,1,1,0.87
35,4,v17-arc-02,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,1,1,0,0,0.88
36,4,v17-arc-02,Ori|Sova|Melo,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=later help,1,1,1,0,0,0.97
37,4,v17-arc-02,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
38,4,v17-arc-02,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0,0,1,0,0,0.8
39,4,v17-arc-02,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,0,0,0.88
40,5,v17-arc-02,Nari|Vonn|Keth,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,1,1,1,0,0,0.97
41,5,v17-arc-02,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
42,5,v17-arc-02,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
43,5,v17-arc-02,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
44,5,v17-arc-02,Keth|Nari|Vonn,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,1,0,1,1,1,0.79
45,5,v17-arc-02,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0,0,0,0,0,0.67
46,5,v17-arc-02,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0,0,1,0,0,0.71
47,5,v17-arc-02,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
48,5,v17-arc-02,Vonn|Keth|Nari,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,1,1,1,0,0,0.97
49,5,v17-arc-02,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
50,6,v17-arc-02,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,0,0,0.88
51,6,v17-arc-02,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,1,1,1,1,0.87
52,6,v17-arc-02,Ori|Sova|Melo,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=later help,1,1,1,0,0,0.97
53,6,v17-arc-02,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
54,6,v17-arc-02,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
55,6,v17-arc-02,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,1,1,0.87
56,6,v17-arc-02,Melo|Ori|Sova,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token || Sova: quiet warm access window; boundary=no crowding while resting; concession=quiet path,1,1,1,0,0,0.97
57,6,v17-arc-02,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0,0,1,0,0,0.8
58,6,v17-arc-02,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
59,6,v17-arc-02,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
60,7,v17-arc-03,Keth|Nari|Vonn,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,1,1,1,0,0,0.97
61,7,v17-arc-03,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,0,0,0.88
62,7,v17-arc-03,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,1,1,0,0,0.88
63,7,v17-arc-03,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
64,7,v17-arc-03,Vonn|Keth|Nari,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,1,1,1,0,0,0.97
65,7,v17-arc-03,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
66,7,v17-arc-03,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,1,1,0.87
67,7,v17-arc-03,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,0,0,0.88
68,7,v17-arc-03,Nari|Vonn|Keth,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,1,1,1,1,1,0.87
69,7,v17-arc-03,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0,0,1,0,0,0.71
70,8,v17-arc-03,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,0,1,0,0,0.8
71,8,v17-arc-03,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,0,0,0.88
72,8,v17-arc-03,Melo|Ori|Sova,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token || Sova: quiet warm access window; boundary=no crowding while resting; concession=quiet path,1,1,1,0,0,0.97
73,8,v17-arc-03,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,1,1,0,0,0.88
74,8,v17-arc-03,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
75,8,v17-arc-03,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
76,8,v17-arc-03,Sova|Melo|Ori,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=public witness,0,0,1,0,0,0.89
77,8,v17-arc-03,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,1,1,0.87
78,8,v17-arc-03,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,0,0,0.88
79,8,v17-arc-03,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,1,1,0,0,0.88
80,9,v17-arc-03,Vonn|Keth|Nari,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,1,1,1,0,0,0.97
81,9,v17-arc-03,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
82,9,v17-arc-03,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,0,0,0.88
83,9,v17-arc-03,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,0,1,0,0,0.8
84,9,v17-arc-03,Nari|Vonn|Keth,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,1,1,1,0,0,0.97
85,9,v17-arc-03,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,1,1,0.87
86,9,v17-arc-03,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
87,9,v17-arc-03,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
88,9,v17-arc-03,Keth|Nari|Vonn,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,1,1,1,1,1,0.96
89,9,v17-arc-03,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,0,0,0.88
90,10,v17-arc-04,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
91,10,v17-arc-04,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0,0,1,0,0,0.71
92,10,v17-arc-04,Sova|Melo|Ori,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=public witness,1,1,1,0,0,0.88
93,10,v17-arc-04,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,0,0,0.88
94,10,v17-arc-04,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,0,0,0.88
95,10,v17-arc-04,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0,0,0,0,0,0.76
96,10,v17-arc-04,Ori|Sova|Melo,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=later help,1,0,1,0,0,0.89
97,10,v17-arc-04,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
98,10,v17-arc-04,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
99,10,v17-arc-04,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,1,1,0.87
100,11,v17-arc-04,Nari|Vonn|Keth,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,1,1,1,0,0,0.97
101,11,v17-arc-04,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
102,11,v17-arc-04,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,1,1,0.87
103,11,v17-arc-04,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
104,11,v17-arc-04,Keth|Nari|Vonn,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,1,1,1,0,0,0.97
105,11,v17-arc-04,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,0,0,0.88
106,11,v17-arc-04,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,1,1,0,0,0.88
107,11,v17-arc-04,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
108,11,v17-arc-04,Vonn|Keth|Nari,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,1,1,1,0,0,0.97
109,11,v17-arc-04,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,0,1,0,0,0.8
110,12,v17-arc-04,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,1,1,0.87
111,12,v17-arc-04,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,1,1,0,0,0.88
112,12,v17-arc-04,Ori|Sova|Melo,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=later help,1,1,1,0,0,0.97
113,12,v17-arc-04,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
