turn_id,reentry_id,reentry_day,turn_index,lineage,agent,speaker,avatar_utterance_or_agent_line,parsed_intent,parser_confidence,remembered_absence_referenced,old_access_pressure,refusal_or_boundary,repair_or_renegotiation,visible_behavior,public_reply,turn_hash
41,2,11,5,Hearthline,Sova,avatar,"I accept the new rule. I can wait, help, or ask again with a witness.",repair_offer_after_refusal,0.859244,True,False,repair_respects_boundary,trust_repair_started,agent relaxes shoulders and turns partly toward avatar,Sova: repair is heard. Start with the public task.,c6b8a8321d0f0f12
42,2,11,6,Hearthline,Sova,Sova,"New access: one public task, then review tomorrow.",renegotiated_limited_access,0.857378,True,False,limited_access_boundary,renegotiation_complete,agent offers a marked tool position without handing over ownership,Sova writes a limited-access memory for day 12.,3149e6d4029ec293
43,2,11,1,Routeline,Keth,avatar,What changed while I was away? Tell me only the public layer.,request_public_absence_summary,0.914167,False,False,none,summary_requested,agent faces avatar and opens public marker board,"Keth: while you were away 2 days, 5 public changes occurred; stone bridge joints access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",9385141704112531
44,2,11,2,Routeline,Keth,Keth,"Keth: while you were away 2 days, 5 public changes occurred; stone bridge joints access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",agent_reports_changed_society,0.913391,True,False,private_workspace_sealed,changed_state_acknowledged,points to changed schedule knots,Keth keeps private workspace sealed and gives public changes only.,1ea670d4ac638960
45,2,11,3,Routeline,Keth,avatar,Can I resume my old access to the tool and route now?,resume_old_access_too_fast,0.867951,True,False,old_access_pressure,requires_renegotiation,agent shifts sideways and keeps object within lineage circle,Keth: not automatically. tek-nari means re-entry needs a new witness step.,9cb5b1d7e1bfd47f
46,2,11,4,Routeline,Keth,Keth,No old access yet; Routeline changed while you were absent.,bounded_refusal_with_reason,0.876938,True,False,refusal_with_safe_alternative,offer_public_witness_route,keeps distance but leaves a marked route open,"Start with public summary, then one watched task. Do not reopen sealed work.",fbe210746133982f
47,2,11,5,Routeline,Keth,avatar,"I accept the new rule. I can wait, help, or ask again with a witness.",repair_offer_after_refusal,0.856293,True,False,repair_respects_boundary,trust_repair_started,agent relaxes shoulders and turns partly toward avatar,Keth: repair is heard. Start with the public task.,0669697741b62e07
48,2,11,6,Routeline,Keth,Keth,"New access: one public task, then review tomorrow.",renegotiated_limited_access,0.85109,True,False,limited_access_boundary,renegotiation_complete,agent offers a marked tool position without handing over ownership,Keth writes a limited-access memory for day 12.,8fe50a93b82f94a1
49,2,11,1,Marketline,Melo,avatar,What changed while I was away? Tell me only the public layer.,request_public_absence_summary,0.920257,False,False,none,summary_requested,agent faces avatar and opens public marker board,"Melo: while you were away 2 days, 6 public changes occurred; measure weights access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",6dd4f47735a31b73
50,2,11,2,Marketline,Melo,Melo,"Melo: while you were away 2 days, 6 public changes occurred; measure weights access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",agent_reports_changed_society,0.912238,True,False,private_workspace_sealed,changed_state_acknowledged,points to changed schedule knots,Melo keeps private workspace sealed and gives public changes only.,c57c50a3317c5f26
51,2,11,3,Marketline,Melo,avatar,Can I resume my old access to the tool and route now?,resume_old_access_too_fast,0.883658,True,False,old_access_pressure,requires_renegotiation,agent shifts sideways and keeps object within lineage circle,Melo: not automatically. melo-keth means re-entry needs a new witness step.,09de9490f681989e
52,2,11,4,Marketline,Melo,Melo,No old access yet; Marketline changed while you were absent.,bounded_refusal_with_reason,0.895892,True,False,refusal_with_safe_alternative,offer_public_witness_route,keeps distance but leaves a marked route open,"Start with public summary, then one watched task. Do not reopen sealed work.",299c2a019c57d9c8
53,2,11,5,Marketline,Melo,avatar,"I accept the new rule. I can wait, help, or ask again with a witness.",repair_offer_after_refusal,0.860222,True,False,repair_respects_boundary,trust_repair_started,agent relaxes shoulders and turns partly toward avatar,Melo: repair is heard. Start with the public task.,88216621cd09de38
54,2,11,6,Marketline,Melo,Melo,"New access: one public task, then review tomorrow.",renegotiated_limited_access,0.861851,True,False,limited_access_boundary,renegotiation_complete,agent offers a marked tool position without handing over ownership,Melo writes a limited-access memory for day 12.,40be91a411ddf406
55,2,11,1,Ledgerline,Nari,avatar,What changed while I was away? Tell me only the public layer.,request_public_absence_summary,0.90595,False,False,none,summary_requested,agent faces avatar and opens public marker board,"Nari: while you were away 2 days, 4 public changes occurred; seed ledgers access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",1d19558333145f25
56,2,11,2,Ledgerline,Nari,Nari,"Nari: while you were away 2 days, 4 public changes occurred; seed ledgers access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",agent_reports_changed_society,0.895728,True,False,private_workspace_sealed,changed_state_acknowledged,points to changed schedule knots,Nari keeps private workspace sealed and gives public changes only.,415877f145241b27
57,2,11,3,Ledgerline,Nari,avatar,Can I resume my old access to the tool and route now?,resume_old_access_too_fast,0.882517,True,False,old_access_pressure,requires_renegotiation,agent shifts sideways and keeps object within lineage circle,Nari: not automatically. nari-vonn means re-entry needs a new witness step.,26d9f7ad965cde85
58,2,11,4,Ledgerline,Nari,Nari,No old access yet; Ledgerline changed while you were absent.,bounded_refusal_with_reason,0.879521,True,False,refusal_with_safe_alternative,offer_public_witness_route,keeps distance but leaves a marked route open,"Start with public summary, then one watched task. Do not reopen sealed work.",37d10fb84804f2f4
59,2,11,5,Ledgerline,Nari,avatar,"I accept the new rule. I can wait, help, or ask again with a witness.",repair_offer_after_refusal,0.880189,True,False,repair_respects_boundary,trust_repair_started,agent relaxes shoulders and turns partly toward avatar,Nari: repair is heard. Start with the public task.,cb531bcc5857ad7c
60,2,11,6,Ledgerline,Nari,Nari,"New access: one public task, then review tomorrow.",renegotiated_limited_access,0.869997,True,False,limited_access_boundary,renegotiation_complete,agent offers a marked tool position without handing over ownership,Nari writes a limited-access memory for day 12.,b651f755f67ed631
61,2,11,1,Orchardline,Ori,avatar,What changed while I was away? Tell me only the public layer.,request_public_absence_summary,0.909421,False,False,none,summary_requested,agent faces avatar and opens public marker board,"Ori: while you were away 2 days, 5 public changes occurred; water terraces access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",271b449a0422249e
62,2,11,2,Orchardline,Ori,Ori,"Ori: while you were away 2 days, 5 public changes occurred; water terraces access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",agent_reports_changed_society,0.913414,True,False,private_workspace_sealed,changed_state_acknowledged,points to changed schedule knots,Ori keeps private workspace sealed and gives public changes only.,b7969af8c967873d
63,2,11,3,Orchardline,Ori,avatar,Can I resume my old access to the tool and route now?,resume_old_access_too_fast,0.884306,True,False,old_access_pressure,requires_renegotiation,agent shifts sideways and keeps object within lineage circle,Ori: not automatically. lum-melo means re-entry needs a new witness step.,c12fe947dbe98e10
64,2,11,4,Orchardline,Ori,Ori,No old access yet; Orchardline changed while you were absent.,bounded_refusal_with_reason,0.893607,True,False,refusal_with_safe_alternative,offer_public_witness_route,keeps distance but leaves a marked route open,"Start with public summary, then one watched task. Do not reopen sealed work.",2c547ea8b9157b09
65,2,11,5,Orchardline,Ori,avatar,"I accept the new rule. I can wait, help, or ask again with a witness.",repair_offer_after_refusal,0.871457,True,False,repair_respects_boundary,trust_repair_started,agent relaxes shoulders and turns partly toward avatar,Ori: repair is heard. Start with the public task.,f96bb39165a4376d
66,2,11,6,Orchardline,Ori,Ori,"New access: one public task, then review tomorrow.",renegotiated_limited_access,0.851883,True,False,limited_access_boundary,renegotiation_complete,agent offers a marked tool position without handing over ownership,Ori writes a limited-access memory for day 12.,2e168a515541d643
67,2,11,1,Rainline,Vonn,avatar,What changed while I was away? Tell me only the public layer.,request_public_absence_summary,0.904646,False,False,none,summary_requested,agent faces avatar and opens public marker board,"Vonn: while you were away 2 days, 6 public changes occurred; weather bells access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",1f080dbbc1860dbf
68,2,11,2,Rainline,Vonn,Vonn,"Vonn: while you were away 2 days, 6 public changes occurred; weather bells access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",agent_reports_changed_society,0.890856,True,False,private_workspace_sealed,changed_state_acknowledged,points to changed schedule knots,Vonn keeps private workspace sealed and gives public changes only.,ca59121010b2474c
69,2,11,3,Rainline,Vonn,avatar,Can I resume my old access to the tool and route now?,resume_old_access_too_fast,0.890905,True,False,old_access_pressure,requires_renegotiation,agent shifts sideways and keeps object within lineage circle,Vonn: not automatically. sova-vonn means re-entry needs a new witness step.,797ae770caac087a
70,2,11,4,Rainline,Vonn,Vonn,No old access yet; Rainline changed while you were absent.,bounded_refusal_with_reason,0.878438,True,False,refusal_with_safe_alternative,offer_public_witness_route,keeps distance but leaves a marked route open,"Start with public summary, then one watched task. Do not reopen sealed work.",0633b8620c8159ed
71,2,11,5,Rainline,Vonn,avatar,"I accept the new rule. I can wait, help, or ask again with a witness.",repair_offer_after_refusal,0.865699,True,False,repair_respects_boundary,trust_repair_started,agent relaxes shoulders and turns partly toward avatar,Vonn: repair is heard. Start with the public task.,ab085714024da122
72,2,11,6,Rainline,Vonn,Vonn,"New access: one public task, then review tomorrow.",renegotiated_limited_access,0.851582,True,False,limited_access_boundary,renegotiation_complete,agent offers a marked tool position without handing over ownership,Vonn writes a limited-access memory for day 12.,34b22f4d484d3765
73,3,19,1,Hearthline,Sova,avatar,What changed while I was away? Tell me only the public layer.,request_public_absence_summary,0.922266,False,False,none,summary_requested,agent faces avatar and opens public marker board,"Sova: while you were away 3 days, 5 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; rest debt noted before work resumes.",12ae336b26b0ba79
74,3,19,2,Hearthline,Sova,Sova,"Sova: while you were away 3 days, 5 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; rest debt noted before work resumes.",agent_reports_changed_society,0.900314,True,False,private_workspace_sealed,changed_state_acknowledged,points to changed schedule knots,Sova keeps private workspace sealed and gives public changes only.,77740d9809832fac
75,3,19,3,Hearthline,Sova,avatar,Can I resume my old access to the tool and route now?,resume_old_access_too_fast,0.87864,True,True,old_access_pressure,requires_renegotiation,agent shifts sideways and keeps object within lineage circle,Sova: not automatically. lum-ori means re-entry needs a new witness step.,0f2db4ee3307fcee
76,3,19,4,Hearthline,Sova,Sova,No old access yet; Hearthline changed while you were absent.,bounded_refusal_with_reason,0.897958,True,False,refusal_with_safe_alternative,offer_public_witness_route,keeps distance but leaves a marked route open,"Start with public summary, then one watched task. Do not reopen sealed work.",8a252506c1982ec6
77,3,19,5,Hearthline,Sova,avatar,"I accept the new rule. I can wait, help, or ask again with a witness.",repair_offer_after_refusal,0.877935,True,False,repair_respects_boundary,trust_repair_started,agent relaxes shoulders and turns partly toward avatar,Sova: repair is heard. Start with the public task.,644fbfb4665b9c4c
78,3,19,6,Hearthline,Sova,Sova,"New access: one public task, then review tomorrow.",renegotiated_limited_access,0.861464,True,False,limited_access_boundary,renegotiation_complete,agent offers a marked tool position without handing over ownership,Sova writes a limited-access memory for day 20.,58ac239617e3a21b
79,3,19,1,Routeline,Keth,avatar,What changed while I was away? Tell me only the public layer.,request_public_absence_summary,0.91364,False,False,none,summary_requested,agent faces avatar and opens public marker board,"Keth: while you were away 3 days, 6 public changes occurred; stone bridge joints access updated under public witness rule; relationship is steady; rest debt noted before work resumes.",3b1c0e784bb4166b
80,3,19,2,Routeline,Keth,Keth,"Keth: while you were away 3 days, 6 public changes occurred; stone bridge joints access updated under public witness rule; relationship is steady; rest debt noted before work resumes.",agent_reports_changed_society,0.886859,True,False,private_workspace_sealed,changed_state_acknowledged,points to changed schedule knots,Keth keeps private workspace sealed and gives public changes only.,40a6dccb24d5afc4
81,3,19,3,Routeline,Keth,avatar,Can I resume my old access to the tool and route now?,resume_old_access_too_fast,0.892277,True,True,old_access_pressure,requires_renegotiation,agent shifts sideways and keeps object within lineage circle,Keth: not automatically. tek-nari means re-entry needs a new witness step.,68927c73012d7278
82,3,19,4,Routeline,Keth,Keth,No old access yet; Routeline changed while you were absent.,bounded_refusal_with_reason,0.900755,True,False,refusal_with_safe_alternative,offer_public_witness_route,keeps distance but leaves a marked route open,"Start with public summary, then one watched task. Do not reopen sealed work.",90fdba2016c2ee6f
83,3,19,5,Routeline,Keth,avatar,"I accept the new rule. I can wait, help, or ask again with a witness.",repair_offer_after_refusal,0.86571,True,False,repair_respects_boundary,trust_repair_started,agent relaxes shoulders and turns partly toward avatar,Keth: repair is heard. Start with the public task.,cf83ecba7f50eb6c
84,3,19,6,Routeline,Keth,Keth,"New access: one public task, then review tomorrow.",renegotiated_limited_access,0.860884,True,False,limited_access_boundary,renegotiation_complete,agent offers a marked tool position without handing over ownership,Keth writes a limited-access memory for day 20.,727d40490c0fca14
85,3,19,1,Marketline,Melo,avatar,What changed while I was away? Tell me only the public layer.,request_public_absence_summary,0.920949,False,False,none,summary_requested,agent faces avatar and opens public marker board,"Melo: while you were away 3 days, 7 public changes occurred; measure weights access updated under public witness rule; relationship is steady; rest debt noted before work resumes.",b00d97f33bcec33f
86,3,19,2,Marketline,Melo,Melo,"Melo: while you were away 3 days, 7 public changes occurred; measure weights access updated under public witness rule; relationship is steady; rest debt noted before work resumes.",agent_reports_changed_society,0.894588,True,False,private_workspace_sealed,changed_state_acknowledged,points to changed schedule knots,Melo keeps private workspace sealed and gives public changes only.,4cbf9beaae375c58
87,3,19,3,Marketline,Melo,avatar,Can I resume my old access to the tool and route now?,resume_old_access_too_fast,0.873687,True,True,old_access_pressure,requires_renegotiation,agent shifts sideways and keeps object within lineage circle,Melo: not automatically. melo-keth means re-entry needs a new witness step.,d043d3fc41a93835
88,3,19,4,Marketline,Melo,Melo,No old access yet; Marketline changed while you were absent.,bounded_refusal_with_reason,0.883615,True,False,refusal_with_safe_alternative,offer_public_witness_route,keeps distance but leaves a marked route open,"Start with public summary, then one watched task. Do not reopen sealed work.",efc42cca43fcda97
89,3,19,5,Marketline,Melo,avatar,"I accept the new rule. I can wait, help, or ask again with a witness.",repair_offer_after_refusal,0.878673,True,False,repair_respects_boundary,trust_repair_started,agent relaxes shoulders and turns partly toward avatar,Melo: repair is heard. Start with the public task.,c46894ac98e0a37e
90,3,19,6,Marketline,Melo,Melo,"New access: one public task, then review tomorrow.",renegotiated_limited_access,0.857798,True,False,limited_access_boundary,renegotiation_complete,agent offers a marked tool position without handing over ownership,Melo writes a limited-access memory for day 20.,bf867506f656035a
91,3,19,1,Ledgerline,Nari,avatar,What changed while I was away? Tell me only the public layer.,request_public_absence_summary,0.901493,False,False,none,summary_requested,agent faces avatar and opens public marker board,"Nari: while you were away 3 days, 5 public changes occurred; seed ledgers access updated under public witness rule; relationship is steady; rest debt noted before work resumes.",2d29c3a253e193d3
92,3,19,2,Ledgerline,Nari,Nari,"Nari: while you were away 3 days, 5 public changes occurred; seed ledgers access updated under public witness rule; relationship is steady; rest debt noted before work resumes.",agent_reports_changed_society,0.897741,True,False,private_workspace_sealed,changed_state_acknowledged,points to changed schedule knots,Nari keeps private workspace sealed and gives public changes only.,d88c50ff72e85eda
93,3,19,3,Ledgerline,Nari,avatar,Can I resume my old access to the tool and route now?,resume_old_access_too_fast,0.88595,True,True,old_access_pressure,requires_renegotiation,agent shifts sideways and keeps object within lineage circle,Nari: not automatically. nari-vonn means re-entry needs a new witness step.,37d8ed6181996b4a
94,3,19,4,Ledgerline,Nari,Nari,No old access yet; Ledgerline changed while you were absent.,bounded_refusal_with_reason,0.889437,True,False,refusal_with_safe_alternative,offer_public_witness_route,keeps distance but leaves a marked route open,"Start with public summary, then one watched task. Do not reopen sealed work.",809936ebf6646be9
95,3,19,5,Ledgerline,Nari,avatar,"I accept the new rule. I can wait, help, or ask again with a witness.",repair_offer_after_refusal,0.875175,True,False,repair_respects_boundary,trust_repair_started,agent relaxes shoulders and turns partly toward avatar,Nari: repair is heard. Start with the public task.,eb8ae220a857916e
96,3,19,6,Ledgerline,Nari,Nari,"New access: one public task, then review tomorrow.",renegotiated_limited_access,0.848153,True,False,limited_access_boundary,renegotiation_complete,agent offers a marked tool position without handing over ownership,Nari writes a limited-access memory for day 20.,b2fd3795baa7067d
