tick,day,absent_ticks,resident,offscreen_task,progress_before,progress_after,resource_delta,changed_without_avatar,visible_on_return
60,4,35,Tovan,carry water,0.10252,0.11052,0,True,True
61,4,36,Nia,dry cloaks,0.121248,0.129248,0,True,True
62,4,6,Ari,map safe route,0.127895,0.135895,0,True,True
63,4,7,Fay,rest after rain,0.11635,0.12435,0,True,True
64,4,8,Milo,recover focus,0.097228,0.105228,0,True,True
65,4,9,Sera,repair awning,0.088108,0.096108,0,True,True
66,4,10,Tovan,sort herbs,0.097377,0.105377,0,True,True
67,4,11,Nia,carry water,0.116511,0.124511,0,True,True
68,4,12,Ari,dry cloaks,0.12792,0.13592,0,True,True
69,4,13,Fay,map safe route,0.121114,0.129114,0,True,True
70,4,14,Milo,rest after rain,0.10235,0.11035,0,True,True
71,4,15,Sera,recover focus,0.08888,0.09688,0,True,True
72,5,16,Tovan,sort herbs,0.135135,0.143135,0,True,True
73,5,17,Nia,carry water,0.151965,0.159965,0,True,True
74,5,18,Ari,dry cloaks,0.153321,0.161321,0,True,True
75,5,19,Fay,map safe route,0.137958,0.145958,0,True,True
76,5,20,Milo,rest after rain,0.119999,0.127999,0,True,True
77,5,21,Sera,recover focus,0.115957,0.123957,0,True,True
78,5,22,Tovan,repair awning,0.129547,0.137547,0,True,True
79,5,23,Nia,sort herbs,0.148275,0.156275,0,True,True
80,5,24,Ari,carry water,0.154922,0.162922,0,True,True
81,5,25,Fay,dry cloaks,0.143378,0.151378,0,True,True
82,5,26,Milo,map safe route,0.124255,0.132255,0,True,True
83,5,27,Sera,rest after rain,0.115135,0.123135,0,True,True
84,5,28,Tovan,recover focus,0.124404,0.132404,0,True,True
85,5,29,Nia,repair awning,0.143538,0.151538,0,True,True
86,5,30,Ari,sort herbs,0.154947,0.162947,0,True,True
87,5,31,Fay,carry water,0.148141,0.156141,0,True,True
88,5,32,Milo,dry cloaks,0.129377,0.137377,0,True,True
89,5,33,Sera,map safe route,0.115907,0.123907,0,True,True
90,6,34,Tovan,recover focus,0.162162,0.170162,0,True,True
91,6,35,Nia,repair awning,0.178992,0.186992,0,True,True
92,6,36,Ari,sort herbs,0.180348,0.188348,0,True,True
93,6,6,Fay,carry water,0.164985,0.172985,0,True,True
94,6,7,Milo,dry cloaks,0.147026,0.155026,0,True,True
95,6,8,Sera,map safe route,0.142984,0.150984,0,True,True
96,6,9,Tovan,rest after rain,0.156574,0.164574,0,True,True
97,6,10,Nia,recover focus,0.175302,0.183302,0,True,True
98,6,11,Ari,repair awning,0.181949,0.189949,0,True,True
99,6,12,Fay,sort herbs,0.170405,0.178405,0,True,True
100,6,13,Milo,carry water,0.151282,0.159282,0,True,True
101,6,14,Sera,dry cloaks,0.142162,0.150162,0,True,True
102,6,15,Tovan,map safe route,0.151431,0.159431,0,True,True
103,6,16,Nia,rest after rain,0.170566,0.178566,0,True,True
104,6,17,Ari,recover focus,0.181974,0.189974,0,True,True
105,6,18,Fay,repair awning,0.175168,0.183168,0,True,True
106,6,19,Milo,sort herbs,0.156404,0.164404,0,True,True
107,6,20,Sera,carry water,0.142934,0.150934,0,True,True
108,7,21,Tovan,map safe route,0.189189,0.197189,0,True,True
109,7,22,Nia,rest after rain,0.206019,0.214019,0,True,True
110,7,23,Ari,recover focus,0.207375,0.215375,0,True,True
111,7,24,Fay,repair awning,0.192012,0.200012,0,True,True
112,7,25,Milo,sort herbs,0.174053,0.182053,0,True,True
113,7,26,Sera,carry water,0.170011,0.178011,0,True,True
114,7,27,Tovan,dry cloaks,0.183601,0.191601,0,True,True
115,7,28,Nia,map safe route,0.202329,0.210329,0,True,True
116,7,29,Ari,rest after rain,0.208976,0.216976,0,True,True
117,7,30,Fay,recover focus,0.197432,0.205432,0,True,True
118,7,31,Milo,repair awning,0.178309,0.186309,0,True,True
119,7,32,Sera,sort herbs,0.169189,0.177189,0,True,True
120,7,33,Tovan,carry water,0.178458,0.186458,0,True,True
121,7,34,Nia,dry cloaks,0.197593,0.205593,0,True,True
122,7,35,Ari,map safe route,0.209001,0.217001,0,True,True
123,7,36,Fay,rest after rain,0.202195,0.210195,0,True,True
124,7,6,Milo,recover focus,0.183431,0.191431,0,True,True
125,7,7,Sera,repair awning,0.169961,0.177961,0,True,True
126,8,8,Tovan,carry water,0.216216,0.224216,0,True,True
127,8,9,Nia,dry cloaks,0.233046,0.241046,0,True,True
128,8,10,Ari,map safe route,0.234402,0.242402,0,True,True
129,8,11,Fay,rest after rain,0.219039,0.227039,0,True,True
130,8,12,Milo,recover focus,0.20108,0.20908,0,True,True
131,8,13,Sera,repair awning,0.197038,0.205038,0,True,True
132,8,14,Tovan,sort herbs,0.210628,0.218628,0,True,True
133,8,15,Nia,carry water,0.229356,0.237356,0,True,True
134,8,16,Ari,dry cloaks,0.236003,0.244003,0,True,True
135,8,17,Fay,map safe route,0.224459,0.232459,0,True,True
136,8,18,Milo,rest after rain,0.205336,0.213336,0,True,True
137,8,19,Sera,recover focus,0.196216,0.204216,0,True,True
138,8,20,Tovan,repair awning,0.205485,0.213485,0,True,True
139,8,21,Nia,sort herbs,0.22462,0.23262,0,True,True
140,8,22,Ari,carry water,0.236028,0.244028,0,True,True
141,8,23,Fay,dry cloaks,0.229222,0.237222,0,True,True
142,8,24,Milo,map safe route,0.210458,0.218458,0,True,True
143,8,25,Sera,rest after rain,0.196988,0.204988,0,True,True
144,9,26,Tovan,repair awning,0.243243,0.251243,0,True,True
145,9,27,Nia,sort herbs,0.260073,0.268073,0,True,True
146,9,28,Ari,carry water,0.261429,0.269429,0,True,True
147,9,29,Fay,dry cloaks,0.246066,0.254066,0,True,True
148,9,30,Milo,map safe route,0.228107,0.236107,0,True,True
149,9,31,Sera,rest after rain,0.224065,0.232065,0,True,True
150,9,32,Tovan,recover focus,0.237655,0.245655,0,True,True
151,9,33,Nia,repair awning,0.256383,0.264383,0,True,True
152,9,34,Ari,sort herbs,0.26303,0.27103,0,True,True
153,9,35,Fay,carry water,0.251486,0.259486,0,True,True
154,9,36,Milo,dry cloaks,0.232363,0.240363,0,True,True
155,9,6,Sera,map safe route,0.223243,0.231243,0,True,True
156,9,7,Tovan,rest after rain,0.232512,0.240512,0,True,True
157,9,8,Nia,recover focus,0.251647,0.259647,0,True,True
158,9,9,Ari,repair awning,0.263055,0.271055,0,True,True
159,9,10,Fay,sort herbs,0.256249,0.264249,0,True,True
160,9,11,Milo,carry water,0.237485,0.245485,0,True,True
161,9,12,Sera,dry cloaks,0.224015,0.232015,0,True,True
162,10,13,Tovan,rest after rain,0.27027,0.27827,0,True,True
163,10,14,Nia,recover focus,0.2871,0.2951,0,True,True
164,10,15,Ari,repair awning,0.288456,0.296456,0,True,True
165,10,16,Fay,sort herbs,0.273093,0.281093,0,True,True
166,10,17,Milo,carry water,0.255134,0.263134,0,True,True
167,10,18,Sera,dry cloaks,0.251092,0.259092,0,True,True
168,10,19,Tovan,map safe route,0.264682,0.272682,0,True,True
169,10,20,Nia,rest after rain,0.28341,0.29141,0,True,True
170,10,21,Ari,recover focus,0.290057,0.298057,0,True,True
171,10,22,Fay,repair awning,0.278513,0.286513,0,True,True
172,10,23,Milo,sort herbs,0.25939,0.26739,0,True,True
173,10,24,Sera,carry water,0.25027,0.25827,0,True,True
174,10,25,Tovan,dry cloaks,0.259539,0.267539,0,True,True
175,10,26,Nia,map safe route,0.278674,0.286674,0,True,True
176,10,27,Ari,rest after rain,0.290082,0.298082,0,True,True
177,10,28,Fay,recover focus,0.283276,0.291276,0,True,True
178,10,29,Milo,repair awning,0.264512,0.272512,0,True,True
179,10,30,Sera,sort herbs,0.251042,0.259042,0,True,True
180,11,31,Tovan,dry cloaks,0.297297,0.305297,0,True,True
181,11,32,Nia,map safe route,0.314127,0.322127,0,True,True
182,11,33,Ari,rest after rain,0.315483,0.323483,0,True,True
183,11,34,Fay,recover focus,0.30012,0.30812,0,True,True
184,11,35,Milo,repair awning,0.282161,0.290161,0,True,True
185,11,36,Sera,sort herbs,0.278119,0.286119,0,True,True
186,11,6,Tovan,carry water,0.291709,0.299709,0,True,True
187,11,7,Nia,dry cloaks,0.310437,0.318437,0,True,True
188,11,8,Ari,map safe route,0.317084,0.325084,0,True,True
189,11,9,Fay,rest after rain,0.30554,0.31354,0,True,True
190,11,10,Milo,recover focus,0.286417,0.294417,0,True,True
191,11,11,Sera,repair awning,0.277297,0.285297,0,True,True
192,11,12,Tovan,sort herbs,0.286566,0.294566,0,True,True
193,11,13,Nia,carry water,0.305701,0.313701,0,True,True
194,11,14,Ari,dry cloaks,0.317109,0.325109,0,True,True
195,11,15,Fay,map safe route,0.310303,0.318303,0,True,True
196,11,16,Milo,rest after rain,0.291539,0.299539,0,True,True
197,11,17,Sera,recover focus,0.278069,0.286069,0,True,True
198,12,18,Tovan,sort herbs,0.324324,0.332324,0,True,True
199,12,19,Nia,carry water,0.341154,0.349154,0,True,True
200,12,20,Ari,dry cloaks,0.34251,0.35051,0,True,True
201,12,21,Fay,map safe route,0.327147,0.335147,0,True,True
202,12,22,Milo,rest after rain,0.309188,0.317188,0,True,True
203,12,23,Sera,recover focus,0.305146,0.313146,0,True,True
204,12,24,Tovan,repair awning,0.318736,0.326736,0,True,True
205,12,25,Nia,sort herbs,0.337464,0.345464,0,True,True
206,12,26,Ari,carry water,0.344111,0.352111,0,True,True
207,12,27,Fay,dry cloaks,0.332567,0.340567,0,True,True
208,12,28,Milo,map safe route,0.313444,0.321444,0,True,True
209,12,29,Sera,rest after rain,0.304325,0.312325,0,True,True
210,12,30,Tovan,recover focus,0.313593,0.321593,0,True,True
211,12,31,Nia,repair awning,0.332728,0.340728,0,True,True
212,12,32,Ari,sort herbs,0.344136,0.352136,0,True,True
213,12,33,Fay,carry water,0.33733,0.34533,0,True,True
214,12,34,Milo,dry cloaks,0.318566,0.326566,0,True,True
215,12,35,Sera,map safe route,0.305096,0.313096,0,True,True
216,13,36,Tovan,recover focus,0.351351,0.359351,0,True,True
217,13,6,Nia,repair awning,0.368181,0.376181,0,True,True
218,13,7,Ari,sort herbs,0.369537,0.377537,0,True,True
219,13,8,Fay,carry water,0.354174,0.362174,0,True,True
220,13,9,Milo,dry cloaks,0.336215,0.344215,0,True,True
221,13,10,Sera,map safe route,0.332173,0.340173,0,True,True
222,13,11,Tovan,rest after rain,0.345763,0.353763,0,True,True
223,13,12,Nia,recover focus,0.364491,0.372491,0,True,True
224,13,13,Ari,repair awning,0.371139,0.379139,0,True,True
225,13,14,Fay,sort herbs,0.359594,0.367594,0,True,True
226,13,15,Milo,carry water,0.340471,0.348471,0,True,True
227,13,16,Sera,dry cloaks,0.331352,0.339352,0,True,True
228,13,17,Tovan,map safe route,0.34062,0.34862,0,True,True
229,13,18,Nia,rest after rain,0.359755,0.367755,0,True,True
230,13,19,Ari,recover focus,0.371163,0.379163,0,True,True
231,13,20,Fay,repair awning,0.364357,0.372357,0,True,True
232,13,21,Milo,sort herbs,0.345593,0.353593,0,True,True
233,13,22,Sera,carry water,0.332123,0.340123,0,True,True
234,14,23,Tovan,map safe route,0.378378,0.386378,0,True,True
235,14,24,Nia,rest after rain,0.395208,0.403208,0,True,True
236,14,25,Ari,recover focus,0.396564,0.404564,0,True,True
237,14,26,Fay,repair awning,0.381201,0.389201,0,True,True
238,14,27,Milo,sort herbs,0.363242,0.371242,0,True,True
239,14,28,Sera,carry water,0.3592,0.3672,0,True,True
240,14,29,Tovan,dry cloaks,0.37279,0.38079,0,True,True
241,14,30,Nia,map safe route,0.391518,0.399518,0,True,True
242,14,31,Ari,rest after rain,0.398166,0.406166,0,True,True
243,14,32,Fay,recover focus,0.386621,0.394621,0,True,True
244,14,33,Milo,repair awning,0.367498,0.375498,0,True,True
245,14,34,Sera,sort herbs,0.358379,0.366379,0,True,True
246,14,35,Tovan,carry water,0.367647,0.375647,0,True,True
247,14,36,Nia,dry cloaks,0.386782,0.394782,0,True,True
248,14,6,Ari,map safe route,0.398191,0.406191,0,True,True
249,14,7,Fay,rest after rain,0.391384,0.399384,0,True,True
250,14,8,Milo,recover focus,0.37262,0.38062,0,True,True
251,14,9,Sera,repair awning,0.35915,0.36715,0,True,True
252,15,10,Tovan,carry water,0.405405,0.413405,0,True,True
253,15,11,Nia,dry cloaks,0.422235,0.430235,0,True,True
254,15,12,Ari,map safe route,0.423591,0.431591,0,True,True
255,15,13,Fay,rest after rain,0.408228,0.416228,0,True,True
256,15,14,Milo,recover focus,0.390269,0.398269,0,True,True
257,15,15,Sera,repair awning,0.386227,0.394227,0,True,True
258,15,16,Tovan,sort herbs,0.399817,0.407817,0,True,True
259,15,17,Nia,carry water,0.418545,0.426545,0,True,True
260,15,18,Ari,dry cloaks,0.425193,0.433193,0,True,True
261,15,19,Fay,map safe route,0.413648,0.421648,0,True,True
262,15,20,Milo,rest after rain,0.394525,0.402525,0,True,True
263,15,21,Sera,recover focus,0.385406,0.393406,0,True,True
264,15,22,Tovan,repair awning,0.394674,0.402674,0,True,True
265,15,23,Nia,sort herbs,0.413809,0.421809,0,True,True
266,15,24,Ari,carry water,0.425218,0.433218,0,True,True
267,15,25,Fay,dry cloaks,0.418411,0.426411,0,True,True
268,15,26,Milo,map safe route,0.399647,0.407647,0,True,True
269,15,27,Sera,rest after rain,0.386177,0.394177,0,True,True
270,16,28,Tovan,repair awning,0.432432,0.440432,0,True,True
271,16,29,Nia,sort herbs,0.449262,0.457262,0,True,True
272,16,30,Ari,carry water,0.450618,0.458618,0,True,True
273,16,31,Fay,dry cloaks,0.435255,0.443255,0,True,True
274,16,32,Milo,map safe route,0.417296,0.425296,0,True,True
275,16,33,Sera,rest after rain,0.413254,0.421254,0,True,True
276,16,34,Tovan,recover focus,0.426844,0.434844,0,True,True
277,16,35,Nia,repair awning,0.445572,0.453572,0,True,True
278,16,36,Ari,sort herbs,0.45222,0.46022,0,True,True
279,16,6,Fay,carry water,0.440675,0.448675,0,True,True
280,16,7,Milo,dry cloaks,0.421552,0.429552,0,True,True
281,16,8,Sera,map safe route,0.412433,0.420433,0,True,True
282,16,9,Tovan,rest after rain,0.421701,0.429701,0,True,True
283,16,10,Nia,recover focus,0.440836,0.448836,0,True,True
284,16,11,Ari,repair awning,0.452245,0.460245,0,True,True
285,16,12,Fay,sort herbs,0.445438,0.453438,0,True,True
286,16,13,Milo,carry water,0.426674,0.434674,0,True,True
287,16,14,Sera,dry cloaks,0.413204,0.421204,0,True,True
288,17,15,Tovan,rest after rain,0.459459,0.467459,0,True,True
289,17,16,Nia,recover focus,0.476289,0.484289,0,True,True
290,17,17,Ari,repair awning,0.477645,0.485645,0,True,True
291,17,18,Fay,sort herbs,0.462282,0.470282,0,True,True
292,17,19,Milo,carry water,0.444323,0.452323,0,True,True
293,17,20,Sera,dry cloaks,0.440281,0.448281,0,True,True
294,17,21,Tovan,map safe route,0.453871,0.461871,0,True,True
295,17,22,Nia,rest after rain,0.472599,0.480599,0,True,True
296,17,23,Ari,recover focus,0.479247,0.487247,0,True,True
297,17,24,Fay,repair awning,0.467702,0.475702,0,True,True
298,17,25,Milo,sort herbs,0.448579,0.456579,0,True,True
299,17,26,Sera,carry water,0.43946,0.44746,0,True,True
300,17,27,Tovan,dry cloaks,0.448728,0.456728,0,True,True
301,17,28,Nia,map safe route,0.467863,0.475863,0,True,True
302,17,29,Ari,rest after rain,0.479272,0.487272,0,True,True
303,17,30,Fay,recover focus,0.472465,0.480465,0,True,True
304,17,31,Milo,repair awning,0.453701,0.461701,0,True,True
305,17,32,Sera,sort herbs,0.440232,0.448232,0,True,True
306,18,33,Tovan,dry cloaks,0.486486,0.494486,0,True,True
307,18,34,Nia,map safe route,0.503316,0.511316,0,True,True
308,18,35,Ari,rest after rain,0.504672,0.512672,0,True,True
309,18,36,Fay,recover focus,0.489309,0.497309,0,True,True
310,18,6,Milo,repair awning,0.47135,0.47935,0,True,True
311,18,7,Sera,sort herbs,0.467308,0.475308,0,True,True
312,18,8,Tovan,carry water,0.480898,0.488898,0,True,True
313,18,9,Nia,dry cloaks,0.499626,0.507626,0,True,True
314,18,10,Ari,map safe route,0.506274,0.514274,0,True,True
315,18,11,Fay,rest after rain,0.494729,0.502729,0,True,True
316,18,12,Milo,recover focus,0.475606,0.483606,0,True,True
317,18,13,Sera,repair awning,0.466487,0.474487,0,True,True
318,18,14,Tovan,sort herbs,0.475755,0.483755,0,True,True
319,18,15,Nia,carry water,0.49489,0.50289,0,True,True
320,18,16,Ari,dry cloaks,0.506299,0.514299,0,True,True
321,18,17,Fay,map safe route,0.499492,0.507492,0,True,True
322,18,18,Milo,rest after rain,0.480728,0.488728,0,True,True
323,18,19,Sera,recover focus,0.467259,0.475259,0,True,True
324,19,20,Tovan,sort herbs,0.513514,0.521514,0,True,True
325,19,21,Nia,carry water,0.530343,0.538343,0,True,True
326,19,22,Ari,dry cloaks,0.531699,0.539699,0,True,True
327,19,23,Fay,map safe route,0.516336,0.524336,0,True,True
328,19,24,Milo,rest after rain,0.498377,0.506377,0,True,True
329,19,25,Sera,recover focus,0.494335,0.502335,0,True,True
330,19,26,Tovan,repair awning,0.507925,0.515925,0,True,True
331,19,27,Nia,sort herbs,0.526653,0.534653,0,True,True
332,19,28,Ari,carry water,0.533301,0.541301,0,True,True
333,19,29,Fay,dry cloaks,0.521756,0.529756,0,True,True
334,19,30,Milo,map safe route,0.502633,0.510633,0,True,True
335,19,31,Sera,rest after rain,0.493514,0.501514,0,True,True
336,19,32,Tovan,recover focus,0.502782,0.510782,0,True,True
337,19,33,Nia,repair awning,0.521917,0.529917,0,True,True
338,19,34,Ari,sort herbs,0.533326,0.541326,0,True,True
339,19,35,Fay,carry water,0.526519,0.534519,0,True,True
340,19,36,Milo,dry cloaks,0.507755,0.515755,0,True,True
341,19,6,Sera,map safe route,0.494286,0.502286,0,True,True
342,20,7,Tovan,recover focus,0.540541,0.548541,0,True,True
343,20,8,Nia,repair awning,0.55737,0.56537,0,True,True
344,20,9,Ari,sort herbs,0.558726,0.566726,0,True,True
345,20,10,Fay,carry water,0.543363,0.551363,0,True,True
346,20,11,Milo,dry cloaks,0.525404,0.533404,0,True,True
347,20,12,Sera,map safe route,0.521362,0.529362,0,True,True
348,20,13,Tovan,rest after rain,0.534952,0.542952,0,True,True
349,20,14,Nia,recover focus,0.55368,0.56168,0,True,True
350,20,15,Ari,repair awning,0.560328,0.568328,0,True,True
351,20,16,Fay,sort herbs,0.548783,0.556783,0,True,True
352,20,17,Milo,carry water,0.52966,0.53766,0,True,True
353,20,18,Sera,dry cloaks,0.520541,0.528541,0,True,True
354,20,19,Tovan,map safe route,0.529809,0.537809,0,True,True
355,20,20,Nia,rest after rain,0.548944,0.556944,0,True,True
356,20,21,Ari,recover focus,0.560353,0.568353,0,True,True
357,20,22,Fay,repair awning,0.553546,0.561546,0,True,True
358,20,23,Milo,sort herbs,0.534782,0.542782,0,True,True
359,20,24,Sera,carry water,0.521313,0.529313,0,True,True
360,21,25,Tovan,map safe route,0.567568,0.575568,0,True,True
361,21,26,Nia,rest after rain,0.584397,0.592397,0,True,True
362,21,27,Ari,recover focus,0.585754,0.593754,0,True,True
363,21,28,Fay,repair awning,0.57039,0.57839,0,True,True
364,21,29,Milo,sort herbs,0.552432,0.560432,0,True,True
365,21,30,Sera,carry water,0.548389,0.556389,0,True,True
366,21,31,Tovan,dry cloaks,0.561979,0.569979,0,True,True
367,21,32,Nia,map safe route,0.580707,0.588707,0,True,True
368,21,33,Ari,rest after rain,0.587355,0.595355,0,True,True
369,21,34,Fay,recover focus,0.57581,0.58381,0,True,True
370,21,35,Milo,repair awning,0.556687,0.564687,0,True,True
371,21,36,Sera,sort herbs,0.547568,0.555568,0,True,True
372,21,6,Tovan,carry water,0.556836,0.564836,0,True,True
373,21,7,Nia,dry cloaks,0.575971,0.583971,0,True,True
374,21,8,Ari,map safe route,0.58738,0.59538,0,True,True
375,21,9,Fay,rest after rain,0.580573,0.588573,0,True,True
376,21,10,Milo,recover focus,0.56181,0.56981,0,True,True
377,21,11,Sera,repair awning,0.54834,0.55634,0,True,True
378,22,12,Tovan,carry water,0.594595,0.602595,0,True,True
379,22,13,Nia,dry cloaks,0.611424,0.619424,0,True,True
380,22,14,Ari,map safe route,0.612781,0.620781,0,True,True
381,22,15,Fay,rest after rain,0.597417,0.605417,0,True,True
382,22,16,Milo,recover focus,0.579459,0.587459,0,True,True
383,22,17,Sera,repair awning,0.575416,0.583416,0,True,True
384,22,18,Tovan,sort herbs,0.589006,0.597006,0,True,True
385,22,19,Nia,carry water,0.607734,0.615734,0,True,True
386,22,20,Ari,dry cloaks,0.614382,0.622382,0,True,True
387,22,21,Fay,map safe route,0.602837,0.610837,0,True,True
388,22,22,Milo,rest after rain,0.583714,0.591714,0,True,True
389,22,23,Sera,recover focus,0.574595,0.582595,0,True,True
390,22,24,Tovan,repair awning,0.583863,0.591863,0,True,True
391,22,25,Nia,sort herbs,0.602998,0.610998,0,True,True
392,22,26,Ari,carry water,0.614407,0.622407,0,True,True
393,22,27,Fay,dry cloaks,0.6076,0.6156,0,True,True
394,22,28,Milo,map safe route,0.588837,0.596837,0,True,True
395,22,29,Sera,rest after rain,0.575367,0.583367,0,True,True
396,23,30,Tovan,repair awning,0.621622,0.629622,0,True,True
397,23,31,Nia,sort herbs,0.638451,0.646451,0,True,True
398,23,32,Ari,carry water,0.639808,0.647808,0,True,True
399,23,33,Fay,dry cloaks,0.624444,0.632444,0,True,True
400,23,34,Milo,map safe route,0.606486,0.614486,0,True,True
401,23,35,Sera,rest after rain,0.602443,0.610443,0,True,True
402,23,36,Tovan,recover focus,0.616033,0.624033,0,True,True
403,23,6,Nia,repair awning,0.634761,0.642761,0,True,True
404,23,7,Ari,sort herbs,0.641409,0.649409,0,True,True
405,23,8,Fay,carry water,0.629864,0.637864,0,True,True
406,23,9,Milo,dry cloaks,0.610741,0.618741,0,True,True
407,23,10,Sera,map safe route,0.601622,0.609622,0,True,True
408,23,11,Tovan,rest after rain,0.61089,0.61889,0,True,True
409,23,12,Nia,recover focus,0.630025,0.638025,0,True,True
410,23,13,Ari,repair awning,0.641434,0.649434,0,True,True
411,23,14,Fay,sort herbs,0.634627,0.642627,0,True,True
412,23,15,Milo,carry water,0.615864,0.623864,0,True,True
413,23,16,Sera,dry cloaks,0.602394,0.610394,0,True,True
414,24,17,Tovan,rest after rain,0.648649,0.656649,0,True,True
415,24,18,Nia,recover focus,0.665478,0.673478,0,True,True
416,24,19,Ari,repair awning,0.666835,0.674835,0,True,True
417,24,20,Fay,sort herbs,0.651471,0.659471,0,True,True
418,24,21,Milo,carry water,0.633513,0.641513,0,True,True
419,24,22,Sera,dry cloaks,0.62947,0.63747,0,True,True
420,24,23,Tovan,map safe route,0.64306,0.65106,0,True,True
421,24,24,Nia,rest after rain,0.661788,0.669788,0,True,True
422,24,25,Ari,recover focus,0.668436,0.676436,0,True,True
423,24,26,Fay,repair awning,0.656891,0.664891,0,True,True
424,24,27,Milo,sort herbs,0.637768,0.645768,0,True,True
425,24,28,Sera,carry water,0.628649,0.636649,0,True,True
426,24,29,Tovan,dry cloaks,0.637917,0.645917,0,True,True
427,24,30,Nia,map safe route,0.657052,0.665052,0,True,True
428,24,31,Ari,rest after rain,0.668461,0.676461,0,True,True
429,24,32,Fay,recover focus,0.661654,0.669654,0,True,True
430,24,33,Milo,repair awning,0.642891,0.650891,0,True,True
431,24,34,Sera,sort herbs,0.629421,0.637421,0,True,True
432,25,35,Tovan,dry cloaks,0.675676,0.683676,0,True,True
433,25,36,Nia,map safe route,0.692505,0.700505,0,True,True
434,25,6,Ari,rest after rain,0.693862,0.701862,0,True,True
435,25,7,Fay,recover focus,0.678498,0.686498,0,True,True
436,25,8,Milo,repair awning,0.66054,0.66854,0,True,True
437,25,9,Sera,sort herbs,0.656497,0.664497,0,True,True
438,25,10,Tovan,carry water,0.670087,0.678087,0,True,True
