tick,day,loop_id,agents,desired_distance,actual_distance,approach_delta,avoidance_delta,personal_space_preserved,collision_avoided,choreography_score
75,7,v19-loop-010,Ori|Sova|Melo,1.12,1.008062,0.31,0.1,1,1,1.0
76,7,v19-loop-010,Vonn|Keth|Nari,1.35,1.368023,0.2,0.25,1,1,1.0
77,7,v19-loop-010,Sova|Melo|Ori,1.2,1.247485,0.2,0.25,1,1,1.0
78,7,v19-loop-010,Keth|Nari|Vonn,1.3,1.42563,0.31,0.1,1,1,1.0
79,7,v19-loop-010,Melo|Ori|Sova,1.12,1.22168,0.2,0.1,1,1,1.0
80,7,v19-loop-011,Nari|Vonn|Keth,1.35,1.474911,0.2,0.1,1,1,1.0
81,7,v19-loop-011,Ori|Sova|Melo,1.2,1.344681,0.2,0.1,1,1,1.0
82,7,v19-loop-011,Vonn|Keth|Nari,1.35,1.510441,0.2,0.25,1,0,0.75
83,7,v19-loop-011,Sova|Melo|Ori,1.2,1.371755,0.2,0.1,1,1,1.0
84,8,v19-loop-011,Melo|Ori|Sova,1.12,1.298309,0.2,0.1,1,1,1.0
85,8,v19-loop-011,Nari|Vonn|Keth,1.35,1.529922,0.2,0.14,1,1,1.0
86,8,v19-loop-011,Ori|Sova|Melo,1.12,1.196548,0.31,0.1,1,1,1.0
87,8,v19-loop-011,Vonn|Keth|Nari,1.35,1.518281,0.31,0.1,1,1,1.0
88,8,v19-loop-012,Sova|Melo|Ori,1.2,1.355351,0.2,0.1,1,1,1.0
89,8,v19-loop-012,Keth|Nari|Vonn,1.4,1.538115,0.14,0.25,1,1,1.0
90,8,v19-loop-012,Melo|Ori|Sova,1.22,1.337052,0.14,0.25,1,1,1.0
91,8,v19-loop-012,Nari|Vonn|Keth,1.35,1.492745,0.2,0.1,1,1,1.0
92,8,v19-loop-012,Ori|Sova|Melo,1.2,1.265867,0.2,0.1,1,1,1.0
93,8,v19-loop-012,Vonn|Keth|Nari,1.35,1.387164,0.2,0.1,1,1,1.0
94,8,v19-loop-012,Sova|Melo|Ori,1.2,1.207431,0.2,0.1,1,1,1.0
95,8,v19-loop-012,Keth|Nari|Vonn,1.3,1.277492,0.2,0.25,1,1,1.0
96,9,v19-loop-013,Nari|Vonn|Keth,1.45,1.398177,0.14,0.25,1,1,1.0
97,9,v19-loop-013,Ori|Sova|Melo,1.2,1.120299,0.31,0.1,1,1,1.0
98,9,v19-loop-013,Vonn|Keth|Nari,1.35,1.244628,0.2,0.1,1,1,1.0
99,9,v19-loop-013,Sova|Melo|Ori,1.3,1.171879,0.14,0.25,1,1,1.0
100,9,v19-loop-013,Keth|Nari|Vonn,1.3,1.152679,0.2,0.25,1,1,1.0
101,9,v19-loop-013,Melo|Ori|Sova,1.12,0.957563,0.2,0.25,1,1,1.0
102,9,v19-loop-013,Nari|Vonn|Keth,1.35,1.176948,0.2,0.29,1,1,1.0
103,9,v19-loop-013,Ori|Sova|Melo,1.2,1.02113,0.2,0.25,1,1,1.0
104,9,v19-loop-014,Vonn|Keth|Nari,1.35,1.220268,0.2,0.25,1,1,1.0
105,9,v19-loop-014,Sova|Melo|Ori,1.2,1.024387,0.2,0.1,1,1,1.0
106,9,v19-loop-014,Keth|Nari|Vonn,1.3,1.133374,0.31,0.1,1,1,1.0
107,9,v19-loop-014,Melo|Ori|Sova,1.22,1.066978,0.14,0.25,1,1,1.0
108,10,v19-loop-014,Ori|Sova|Melo,1.12,0.884822,0.31,0.1,1,1,1.0
109,10,v19-loop-014,Vonn|Keth|Nari,1.35,1.236413,0.2,0.25,1,1,1.0
110,10,v19-loop-014,Sova|Melo|Ori,1.2,1.111152,0.31,0.1,1,1,1.0
111,10,v19-loop-014,Keth|Nari|Vonn,1.3,1.238353,0.31,0.1,1,1,1.0
112,10,v19-loop-015,Melo|Ori|Sova,1.12,1.087263,0.2,0.1,1,1,1.0
113,10,v19-loop-015,Nari|Vonn|Keth,1.35,1.34708,0.31,0.1,1,1,1.0
114,10,v19-loop-015,Ori|Sova|Melo,1.2,1.226978,0.2,0.1,1,1,1.0
115,10,v19-loop-015,Vonn|Keth|Nari,1.27,1.226128,0.31,0.1,1,1,1.0
116,10,v19-loop-015,Sova|Melo|Ori,1.12,1.103723,0.31,0.1,1,1,1.0
117,10,v19-loop-015,Keth|Nari|Vonn,1.3,1.458997,0.2,0.1,1,1,1.0
118,10,v19-loop-015,Melo|Ori|Sova,1.12,1.251251,0.2,0.1,1,1,1.0
119,10,v19-loop-015,Nari|Vonn|Keth,1.35,1.499867,0.2,0.29,1,1,1.0
120,11,v19-loop-016,Vonn|Keth|Nari,1.27,1.33433,0.31,0.1,1,1,1.0
121,11,v19-loop-016,Sova|Melo|Ori,1.2,1.374239,0.2,0.1,1,1,1.0
122,11,v19-loop-016,Keth|Nari|Vonn,1.3,1.479319,0.2,0.1,1,1,1.0
123,11,v19-loop-016,Melo|Ori|Sova,1.22,1.399429,0.14,0.25,1,0,0.75
124,11,v19-loop-016,Nari|Vonn|Keth,1.35,1.524567,0.31,0.1,1,1,1.0
125,11,v19-loop-016,Ori|Sova|Melo,1.2,1.364867,0.2,0.1,1,1,1.0
126,11,v19-loop-016,Vonn|Keth|Nari,1.45,1.600598,0.14,0.25,1,1,1.0
127,11,v19-loop-016,Sova|Melo|Ori,1.2,1.332155,0.2,0.1,1,1,1.0
128,11,v19-loop-017,Keth|Nari|Vonn,1.3,1.41005,0.2,0.1,1,1,1.0
129,11,v19-loop-017,Melo|Ori|Sova,1.22,1.304895,0.14,0.25,1,1,1.0
130,11,v19-loop-017,Nari|Vonn|Keth,1.45,1.557387,0.14,0.25,1,1,1.0
131,11,v19-loop-017,Ori|Sova|Melo,1.2,1.228289,0.2,0.1,1,1,1.0
132,12,v19-loop-017,Sova|Melo|Ori,1.2,1.198407,0.2,0.1,1,1,1.0
133,12,v19-loop-017,Keth|Nari|Vonn,1.3,1.268569,0.2,0.25,1,1,1.0
134,12,v19-loop-017,Melo|Ori|Sova,1.12,1.059602,0.2,0.25,1,1,1.0
135,12,v19-loop-017,Nari|Vonn|Keth,1.35,1.262309,0.2,0.1,1,1,1.0
136,12,v19-loop-018,Ori|Sova|Melo,1.2,1.087446,0.2,0.14,1,1,1.0
137,12,v19-loop-018,Vonn|Keth|Nari,1.35,1.215702,0.31,0.1,1,1,1.0
138,12,v19-loop-018,Sova|Melo|Ori,1.2,1.04768,0.2,0.1,1,1,1.0
139,12,v19-loop-018,Keth|Nari|Vonn,1.3,1.13388,0.31,0.1,1,1,1.0
140,12,v19-loop-018,Melo|Ori|Sova,1.12,0.944683,0.31,0.1,1,1,1.0
141,12,v19-loop-018,Nari|Vonn|Keth,1.35,1.170345,0.2,0.1,1,1,1.0
142,12,v19-loop-018,Ori|Sova|Melo,1.2,1.020986,0.2,0.1,1,1,1.0
143,12,v19-loop-018,Vonn|Keth|Nari,1.27,1.046588,0.31,0.1,1,1,1.0
144,13,v19-loop-019,Keth|Nari|Vonn,1.3,1.136996,0.2,0.25,1,1,1.0
145,13,v19-loop-019,Melo|Ori|Sova,1.12,0.971921,0.2,0.1,1,1,1.0
146,13,v19-loop-019,Nari|Vonn|Keth,1.35,1.22095,0.2,0.1,1,1,1.0
147,13,v19-loop-019,Ori|Sova|Melo,1.12,0.913556,0.31,0.1,1,1,1.0
148,13,v19-loop-019,Vonn|Keth|Nari,1.35,1.269111,0.2,0.25,1,1,1.0
149,13,v19-loop-019,Sova|Melo|Ori,1.2,1.146908,0.2,0.25,1,1,1.0
150,13,v19-loop-019,Keth|Nari|Vonn,1.3,1.276177,0.2,0.1,1,1,1.0
151,13,v19-loop-019,Melo|Ori|Sova,1.12,1.126105,0.2,0.25,1,1,1.0
152,13,v19-loop-020,Nari|Vonn|Keth,1.35,1.385865,0.2,0.1,1,1,1.0
153,13,v19-loop-020,Ori|Sova|Melo,1.2,1.264631,0.2,0.14,1,1,1.0
154,13,v19-loop-020,Vonn|Keth|Nari,1.35,1.441605,0.2,0.25,1,1,1.0
155,13,v19-loop-020,Sova|Melo|Ori,1.12,1.136041,0.31,0.1,1,1,1.0
156,14,v19-loop-020,Melo|Ori|Sova,1.12,1.307261,0.2,0.25,1,1,1.0
157,14,v19-loop-020,Nari|Vonn|Keth,1.35,1.504676,0.2,0.1,1,1,1.0
158,14,v19-loop-020,Ori|Sova|Melo,1.2,1.367806,0.2,0.25,1,1,1.0
159,14,v19-loop-020,Vonn|Keth|Nari,1.35,1.526284,0.2,0.1,1,1,1.0
160,14,v19-loop-021,Sova|Melo|Ori,1.12,1.199878,0.31,0.1,1,1,1.0
161,14,v19-loop-021,Keth|Nari|Vonn,1.4,1.578486,0.14,0.25,1,1,1.0
162,14,v19-loop-021,Melo|Ori|Sova,1.04,1.112148,0.31,0.1,1,1,1.0
163,14,v19-loop-021,Nari|Vonn|Keth,1.27,1.331039,0.31,0.1,1,1,1.0
164,14,v19-loop-021,Ori|Sova|Melo,1.2,1.345467,0.2,0.1,1,0,0.75
165,14,v19-loop-021,Vonn|Keth|Nari,1.35,1.475863,0.31,0.1,1,1,1.0
166,14,v19-loop-021,Sova|Melo|Ori,1.2,1.302772,0.2,0.25,1,1,1.0
167,14,v19-loop-021,Keth|Nari|Vonn,1.3,1.376832,0.2,0.1,1,1,1.0
168,15,v19-loop-022,Nari|Vonn|Keth,1.35,1.398763,0.2,0.1,1,1,1.0
169,15,v19-loop-022,Ori|Sova|Melo,1.12,1.089343,0.31,0.1,1,1,1.0
170,15,v19-loop-022,Vonn|Keth|Nari,1.35,1.339386,0.2,0.29,1,1,1.0
171,15,v19-loop-022,Sova|Melo|Ori,1.2,1.159724,0.2,0.1,1,1,1.0
172,15,v19-loop-022,Keth|Nari|Vonn,1.4,1.331178,0.14,0.25,1,1,1.0
173,15,v19-loop-022,Melo|Ori|Sova,1.12,1.024539,0.2,0.1,1,1,1.0
174,15,v19-loop-022,Nari|Vonn|Keth,1.35,1.230546,0.2,0.1,1,1,1.0
175,15,v19-loop-022,Ori|Sova|Melo,1.3,1.159863,0.14,0.25,1,1,1.0
176,15,v19-loop-023,Vonn|Keth|Nari,1.35,1.193064,0.31,0.1,1,1,1.0
177,15,v19-loop-023,Sova|Melo|Ori,1.2,1.030614,0.2,0.1,1,1,1.0
178,15,v19-loop-023,Keth|Nari|Vonn,1.3,1.122859,0.2,0.1,1,1,1.0
179,15,v19-loop-023,Melo|Ori|Sova,1.12,0.940013,0.2,0.25,1,1,1.0
180,16,v19-loop-023,Ori|Sova|Melo,1.2,1.022154,0.31,0.1,1,1,1.0
181,16,v19-loop-023,Vonn|Keth|Nari,1.35,1.179225,0.2,0.1,1,1,1.0
182,16,v19-loop-023,Sova|Melo|Ori,1.12,0.911028,0.31,0.1,1,1,1.0
183,16,v19-loop-023,Keth|Nari|Vonn,1.3,1.157237,0.2,0.1,1,1,1.0
184,16,v19-loop-024,Melo|Ori|Sova,1.04,0.817403,0.31,0.1,1,1,1.0
185,16,v19-loop-024,Nari|Vonn|Keth,1.35,1.250966,0.2,0.1,1,1,1.0
186,16,v19-loop-024,Ori|Sova|Melo,1.2,1.127273,0.2,0.1,1,1,1.0
187,16,v19-loop-024,Vonn|Keth|Nari,1.27,1.125596,0.31,0.14,1,1,1.0
188,16,v19-loop-024,Sova|Melo|Ori,1.2,1.18515,0.2,0.1,1,1,1.0
189,16,v19-loop-024,Keth|Nari|Vonn,1.3,1.315115,0.2,0.1,1,1,1.0
190,16,v19-loop-024,Melo|Ori|Sova,1.12,1.164662,0.2,0.25,1,1,1.0
191,16,v19-loop-024,Nari|Vonn|Keth,1.35,1.42297,0.2,0.1,1,1,1.0
192,17,v19-loop-025,Vonn|Keth|Nari,1.35,1.449257,0.2,0.25,1,1,1.0
193,17,v19-loop-025,Sova|Melo|Ori,1.2,1.322792,0.2,0.1,1,1,1.0
194,17,v19-loop-025,Keth|Nari|Vonn,1.3,1.442925,0.2,0.1,1,1,1.0
195,17,v19-loop-025,Melo|Ori|Sova,1.12,1.329097,0.2,0.1,1,1,1.0
196,17,v19-loop-025,Nari|Vonn|Keth,1.35,1.520859,0.2,0.25,1,1,1.0
197,17,v19-loop-025,Ori|Sova|Melo,1.2,1.377887,0.31,0.1,1,1,1.0
198,17,v19-loop-025,Vonn|Keth|Nari,1.35,1.529984,0.2,0.1,1,1,1.0
199,17,v19-loop-025,Sova|Melo|Ori,1.2,1.377094,0.2,0.25,1,1,1.0
200,17,v19-loop-026,Keth|Nari|Vonn,1.3,1.469295,0.2,0.1,1,1,1.0
201,17,v19-loop-026,Melo|Ori|Sova,1.12,1.276805,0.2,0.1,1,1,1.0
202,17,v19-loop-026,Nari|Vonn|Keth,1.35,1.489969,0.2,0.1,1,1,1.0
203,17,v19-loop-026,Ori|Sova|Melo,1.2,1.319255,0.2,0.1,1,1,1.0
204,18,v19-loop-026,Sova|Melo|Ori,1.2,1.295235,0.31,0.14,1,1,1.0
205,18,v19-loop-026,Keth|Nari|Vonn,1.22,1.188576,0.31,0.1,1,0,0.75
206,18,v19-loop-026,Melo|Ori|Sova,1.12,1.160016,0.2,0.25,1,1,1.0
207,18,v19-loop-026,Nari|Vonn|Keth,1.45,1.460348,0.14,0.25,1,1,1.0
208,18,v19-loop-027,Ori|Sova|Melo,1.2,1.230392,0.2,0.1,1,1,1.0
209,18,v19-loop-027,Vonn|Keth|Nari,1.35,1.300981,0.2,0.25,1,1,1.0
210,18,v19-loop-027,Sova|Melo|Ori,1.3,1.222927,0.14,0.25,1,1,1.0
211,18,v19-loop-027,Keth|Nari|Vonn,1.4,1.29701,0.14,0.25,1,1,1.0
212,18,v19-loop-027,Melo|Ori|Sova,1.12,0.993946,0.31,0.1,1,1,1.0
213,18,v19-loop-027,Nari|Vonn|Keth,1.35,1.204377,0.2,0.1,1,1,1.0
214,18,v19-loop-027,Ori|Sova|Melo,1.2,1.038843,0.31,0.1,1,1,1.0
215,18,v19-loop-027,Vonn|Keth|Nari,1.27,0.997775,0.31,0.1,0,1,0.75
216,19,v19-loop-028,Keth|Nari|Vonn,1.22,0.94148,0.31,0.1,0,1,0.75
217,19,v19-loop-028,Melo|Ori|Sova,1.12,0.940132,0.2,0.1,1,1,1.0
218,19,v19-loop-028,Nari|Vonn|Keth,1.35,1.17377,0.31,0.1,1,1,1.0
219,19,v19-loop-028,Ori|Sova|Melo,1.2,1.032291,0.2,0.1,1,1,1.0
220,19,v19-loop-028,Vonn|Keth|Nari,1.45,1.29546,0.14,0.25,1,1,1.0
221,19,v19-loop-028,Sova|Melo|Ori,1.2,1.112912,0.2,0.14,1,1,1.0
222,19,v19-loop-028,Keth|Nari|Vonn,1.3,1.184163,0.2,0.1,1,1,1.0
223,19,v19-loop-028,Melo|Ori|Sova,1.04,0.848625,0.31,0.1,1,1,1.0
224,19,v19-loop-029,Nari|Vonn|Keth,1.35,1.285618,0.2,0.1,1,1,1.0
225,19,v19-loop-029,Ori|Sova|Melo,1.2,1.164396,0.2,0.1,1,1,1.0
226,19,v19-loop-029,Vonn|Keth|Nari,1.35,1.344161,0.2,0.1,1,1,1.0
227,19,v19-loop-029,Sova|Melo|Ori,1.2,1.224087,0.2,0.1,1,1,1.0
228,20,v19-loop-029,Melo|Ori|Sova,1.12,1.173346,0.2,0.25,1,1,1.0
229,20,v19-loop-029,Nari|Vonn|Keth,1.27,1.251127,0.31,0.1,1,1,1.0
230,20,v19-loop-029,Ori|Sova|Melo,1.3,1.406659,0.14,0.25,1,1,1.0
231,20,v19-loop-029,Vonn|Keth|Nari,1.35,1.479235,0.2,0.1,1,1,1.0
232,20,v19-loop-030,Sova|Melo|Ori,1.2,1.34823,0.2,0.1,1,1,1.0
233,20,v19-loop-030,Keth|Nari|Vonn,1.3,1.463117,0.31,0.1,1,1,1.0
234,20,v19-loop-030,Melo|Ori|Sova,1.12,1.343483,0.2,0.25,1,1,1.0
235,20,v19-loop-030,Nari|Vonn|Keth,1.45,1.629042,0.14,0.25,1,1,1.0
236,20,v19-loop-030,Ori|Sova|Melo,1.2,1.379638,0.2,0.1,1,1,1.0
237,20,v19-loop-030,Vonn|Keth|Nari,1.35,1.525256,0.2,0.1,1,1,1.0
238,20,v19-loop-030,Sova|Melo|Ori,1.2,1.366017,0.31,0.14,1,1,1.0
239,20,v19-loop-030,Keth|Nari|Vonn,1.3,1.452178,0.31,0.1,1,1,1.0
240,21,v19-loop-031,Nari|Vonn|Keth,1.27,1.30412,0.31,0.1,1,1,1.0
241,21,v19-loop-031,Ori|Sova|Melo,1.2,1.312346,0.2,0.1,1,1,1.0
242,21,v19-loop-031,Vonn|Keth|Nari,1.27,1.257459,0.31,0.1,1,1,1.0
243,21,v19-loop-031,Sova|Melo|Ori,1.12,1.080147,0.31,0.1,1,1,1.0
244,21,v19-loop-031,Keth|Nari|Vonn,1.3,1.331169,0.2,0.25,1,1,1.0
245,21,v19-loop-031,Melo|Ori|Sova,1.12,1.121327,0.2,0.25,1,1,1.0
246,21,v19-loop-031,Nari|Vonn|Keth,1.35,1.321448,0.2,0.1,1,0,0.75
247,21,v19-loop-031,Ori|Sova|Melo,1.2,1.19236,0.31,0.1,1,1,1.0
248,21,v19-loop-032,Vonn|Keth|Nari,1.35,1.26487,0.2,0.1,1,1,1.0
249,21,v19-loop-032,Sova|Melo|Ori,1.2,1.089739,0.2,0.1,1,1,1.0
250,21,v19-loop-032,Keth|Nari|Vonn,1.3,1.167664,0.2,0.1,1,1,1.0
251,21,v19-loop-032,Melo|Ori|Sova,1.12,0.969256,0.2,0.1,1,1,1.0
252,22,v19-loop-032,Ori|Sova|Melo,1.2,1.035026,0.2,0.1,1,1,1.0
253,22,v19-loop-032,Vonn|Keth|Nari,1.35,1.175368,0.2,0.25,1,1,1.0
254,22,v19-loop-032,Sova|Melo|Ori,1.2,1.02055,0.2,0.25,1,1,1.0
255,22,v19-loop-032,Keth|Nari|Vonn,1.22,0.940704,0.31,0.14,0,1,0.75
256,22,v19-loop-033,Melo|Ori|Sova,1.22,1.045828,0.14,0.25,1,1,1.0
257,22,v19-loop-033,Nari|Vonn|Keth,1.45,1.285779,0.14,0.25,1,1,1.0
258,22,v19-loop-033,Ori|Sova|Melo,1.12,0.870281,0.31,0.1,0,1,0.75
259,22,v19-loop-033,Vonn|Keth|Nari,1.35,1.218932,0.2,0.1,1,1,1.0
260,22,v19-loop-033,Sova|Melo|Ori,1.2,1.141215,0.31,0.1,1,1,1.0
261,22,v19-loop-033,Keth|Nari|Vonn,1.3,1.216513,0.2,0.1,1,1,1.0
262,22,v19-loop-033,Melo|Ori|Sova,1.04,0.884125,0.31,0.1,1,1,1.0
263,22,v19-loop-033,Nari|Vonn|Keth,1.27,1.143286,0.31,0.1,1,1,1.0
264,23,v19-loop-034,Vonn|Keth|Nari,1.35,1.353186,0.2,0.1,1,1,1.0
265,23,v19-loop-034,Sova|Melo|Ori,1.2,1.232999,0.2,0.1,1,1,1.0
266,23,v19-loop-034,Keth|Nari|Vonn,1.3,1.361897,0.2,0.25,1,1,1.0
267,23,v19-loop-034,Melo|Ori|Sova,1.12,1.209079,0.2,0.25,1,1,1.0
268,23,v19-loop-034,Nari|Vonn|Keth,1.35,1.463793,0.2,0.25,1,1,1.0
269,23,v19-loop-034,Ori|Sova|Melo,1.2,1.335353,0.2,0.1,1,1,1.0
270,23,v19-loop-034,Vonn|Keth|Nari,1.35,1.503163,0.31,0.1,1,1,1.0
271,23,v19-loop-034,Sova|Melo|Ori,1.2,1.366727,0.2,0.1,1,1,1.0
272,23,v19-loop-035,Keth|Nari|Vonn,1.3,1.475671,0.2,0.14,1,1,1.0
273,23,v19-loop-035,Melo|Ori|Sova,1.04,1.169746,0.31,0.1,1,1,1.0
274,23,v19-loop-035,Nari|Vonn|Keth,1.27,1.34884,0.31,0.1,1,1,1.0
275,23,v19-loop-035,Ori|Sova|Melo,1.2,1.372978,0.31,0.1,1,1,1.0
276,24,v19-loop-035,Sova|Melo|Ori,1.2,1.362322,0.31,0.1,1,1,1.0
277,24,v19-loop-035,Keth|Nari|Vonn,1.3,1.447167,0.31,0.1,1,1,1.0
278,24,v19-loop-035,Melo|Ori|Sova,1.12,1.247934,0.2,0.1,1,1,1.0
279,24,v19-loop-035,Nari|Vonn|Keth,1.45,1.555155,0.14,0.25,1,1,1.0
