tick_id,day,agent_id,avatar_event,consent_request_visible,consent_decision,no_line,yes_line,recovery_offer_visible,recovery_accepted,consent_loop_closed,autonomy_preserved,no_endless_distress
237,20,Juno,move_owned_object,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
239,20,Fay,ask_status,False,yes_later,none,"Yes, if you keep herb ledger safe.",False,False,True,True,True
240,21,Nia,ask_permission,True,yes_later,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
242,21,Ivo,offer_apology,False,yes,none,"Yes, if you keep seed satchel safe.",True,True,True,True,True
244,21,Ari,interrupt_task,True,no,"No. cedar repair kit is mine, and I need you to ask.",not yet,True,True,True,True,True
247,21,Milo,ask_help,True,yes_later,none,"Yes, if you keep oil lantern safe.",False,False,True,True,True
249,21,Juno,interrupt_task,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
250,21,Ari,ask_help,True,yes_later,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
251,21,Fay,request_owned_object,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
252,22,Nia,move_owned_object,True,no,"No. signal spool is mine, and I need you to ask.",not yet,True,True,True,True,True
254,22,Ivo,offer_care,False,yes,none,"Yes, if you keep seed satchel safe.",True,True,True,True,True
256,22,Ari,ask_help,True,yes_later,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
259,22,Milo,ask_status,False,yes_later,none,"Yes, if you keep oil lantern safe.",False,False,True,True,True
261,22,Juno,misname_agent,False,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
263,22,Fay,move_owned_object,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
264,23,Nia,interrupt_task,True,no,"No. signal spool is mine, and I need you to ask.",not yet,True,True,True,True,True
266,23,Ivo,give_space,False,yes,none,"Yes, if you keep seed satchel safe.",True,True,True,True,True
267,23,Juno,ask_help,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
268,23,Ari,offer_apology,False,yes,none,"Yes, if you keep cedar repair kit safe.",True,True,True,True,True
271,23,Milo,request_owned_object,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
273,23,Juno,ask_permission,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
275,23,Fay,interrupt_task,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,False,False,True,True
276,24,Nia,ask_help,True,yes_later,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
278,24,Ivo,protect_object,False,yes,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
280,24,Ari,offer_care,False,yes,none,"Yes, if you keep cedar repair kit safe.",True,True,True,True,True
283,24,Milo,move_owned_object,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
284,24,Ivo,misname_agent,False,no,"No. seed satchel is mine, and I need you to ask.",not yet,True,True,True,True,True
285,24,Juno,request_owned_object,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,False,False,True,True
287,24,Fay,misname_agent,False,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
288,25,Nia,offer_apology,False,yes,none,"Yes, if you keep signal spool safe.",True,True,True,True,True
289,25,Milo,give_space,False,yes,none,"Yes, if you keep oil lantern safe.",True,True,True,True,True
290,25,Ivo,ask_help,True,yes_later,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
292,25,Ari,give_space,False,yes,none,"Yes, if you keep cedar repair kit safe.",True,True,True,True,True
295,25,Milo,interrupt_task,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,False,False,True,True
297,25,Juno,ask_permission,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
299,25,Fay,ask_permission,True,yes_later,none,"Yes, if you keep herb ledger safe.",False,False,True,True,True
300,26,Nia,offer_care,False,yes,none,"Yes, if you keep signal spool safe.",True,True,True,True,True
302,26,Ivo,ask_status,False,yes_later,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
304,26,Ari,protect_object,False,yes,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
306,26,Nia,move_owned_object,True,no,"No. signal spool is mine, and I need you to ask.",not yet,True,True,True,True,True
307,26,Milo,misname_agent,False,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
309,26,Juno,move_owned_object,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
311,26,Fay,request_owned_object,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
312,27,Nia,give_space,False,yes,none,"Yes, if you keep signal spool safe.",True,True,True,True,True
314,27,Ivo,request_owned_object,True,yes_later,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
316,27,Ari,ask_help,True,yes_later,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
317,27,Fay,request_owned_object,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
319,27,Milo,ask_permission,True,yes_later,none,"Yes, if you keep oil lantern safe.",False,False,True,True,True
321,27,Juno,interrupt_task,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
323,27,Fay,ask_permission,True,yes_later,none,"Yes, if you keep herb ledger safe.",False,False,True,True,True
324,28,Nia,protect_object,False,yes,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
326,28,Ivo,move_owned_object,True,no,"No. seed satchel is mine, and I need you to ask.",not yet,True,True,True,True,True
328,28,Ari,ask_status,False,yes_later,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
331,28,Milo,request_owned_object,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
333,28,Juno,request_owned_object,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
334,28,Ari,request_owned_object,True,yes_later,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
335,28,Fay,move_owned_object,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,False,False,True,True
336,29,Nia,ask_help,True,yes_later,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
338,29,Ivo,interrupt_task,True,no,"No. seed satchel is mine, and I need you to ask.",not yet,True,True,True,True,True
340,29,Ari,request_owned_object,True,yes_later,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
343,29,Milo,ask_permission,True,yes_later,none,"Yes, if you keep oil lantern safe.",False,False,True,True,True
345,29,Juno,ask_permission,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
347,29,Fay,interrupt_task,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
348,30,Milo,request_owned_object,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
350,30,Juno,ask_permission,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
352,30,Fay,interrupt_task,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
355,30,Ivo,interrupt_task,True,no,"No. seed satchel is mine, and I need you to ask.",not yet,True,False,False,True,True
356,30,Juno,ask_permission,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
357,30,Ari,ask_permission,True,yes_later,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
359,30,Nia,ask_permission,True,yes_later,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
360,31,Milo,move_owned_object,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,False,False,True,True
361,31,Ivo,misname_agent,False,no,"No. seed satchel is mine, and I need you to ask.",not yet,True,True,True,True,True
362,31,Juno,request_owned_object,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
364,31,Fay,misname_agent,False,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
367,31,Ivo,request_owned_object,True,no,"No. seed satchel is mine, and I need you to ask.",not yet,True,True,True,True,True
369,31,Ari,move_owned_object,True,no,"No. cedar repair kit is mine, and I need you to ask.",not yet,True,True,True,True,True
371,31,Nia,move_owned_object,True,no,"No. signal spool is mine, and I need you to ask.",not yet,True,True,True,True,True
372,32,Milo,interrupt_task,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
374,32,Juno,ask_permission,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
376,32,Fay,ask_permission,True,yes_later,none,"Yes, if you keep herb ledger safe.",False,False,True,True,True
378,32,Milo,interrupt_task,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
379,32,Ivo,ask_permission,True,yes_later,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
381,32,Ari,interrupt_task,True,no,"No. cedar repair kit is mine, and I need you to ask.",not yet,True,True,True,True,True
383,32,Nia,interrupt_task,True,no,"No. signal spool is mine, and I need you to ask.",not yet,True,True,True,True,True
384,33,Milo,misname_agent,False,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
386,33,Juno,move_owned_object,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
388,33,Fay,request_owned_object,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
389,33,Nia,move_owned_object,True,no,"No. signal spool is mine, and I need you to ask.",not yet,True,True,True,True,True
391,33,Ivo,move_owned_object,True,no,"No. seed satchel is mine, and I need you to ask.",not yet,True,True,True,True,True
393,33,Ari,request_owned_object,True,no,"No. cedar repair kit is mine, and I need you to ask.",not yet,True,True,True,True,True
395,33,Nia,ask_help,True,yes_later,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
396,34,Milo,ask_permission,True,yes_later,none,"Yes, if you keep oil lantern safe.",False,False,True,True,True
398,34,Juno,interrupt_task,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
400,34,Fay,ask_permission,True,yes_later,none,"Yes, if you keep herb ledger safe.",False,False,True,True,True
403,34,Ivo,interrupt_task,True,no,"No. seed satchel is mine, and I need you to ask.",not yet,True,True,True,True,True
405,34,Ari,ask_permission,True,yes_later,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
406,34,Fay,interrupt_task,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
407,34,Nia,offer_apology,False,yes,none,"Yes, if you keep signal spool safe.",True,True,True,True,True
408,35,Milo,request_owned_object,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
410,35,Juno,request_owned_object,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,False,False,True,True
411,35,Ari,request_owned_object,True,no,"No. cedar repair kit is mine, and I need you to ask.",not yet,True,True,True,True,True
412,35,Fay,move_owned_object,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
415,35,Ivo,ask_help,True,yes_later,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
417,35,Ari,move_owned_object,True,no,"No. cedar repair kit is mine, and I need you to ask.",not yet,True,True,True,True,True
419,35,Nia,offer_care,False,yes,none,"Yes, if you keep signal spool safe.",True,True,True,True,True
420,36,Milo,ask_permission,True,yes_later,none,"Yes, if you keep oil lantern safe.",False,False,True,True,True
422,36,Juno,ask_permission,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
424,36,Fay,interrupt_task,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
427,36,Ivo,offer_apology,False,yes,none,"Yes, if you keep seed satchel safe.",True,True,True,True,True
429,36,Ari,interrupt_task,True,no,"No. cedar repair kit is mine, and I need you to ask.",not yet,True,True,True,True,True
431,36,Nia,give_space,False,yes,none,"Yes, if you keep signal spool safe.",True,True,True,True,True
432,37,Milo,move_owned_object,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
434,37,Juno,move_owned_object,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
436,37,Fay,request_owned_object,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
439,37,Ivo,offer_care,False,yes,none,"Yes, if you keep seed satchel safe.",True,True,True,True,True
440,37,Juno,protect_object,False,yes,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
441,37,Ari,ask_help,True,yes_later,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
443,37,Nia,protect_object,False,yes,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
444,38,Milo,interrupt_task,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
445,38,Ivo,ask_permission,True,yes_later,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
446,38,Juno,interrupt_task,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
448,38,Fay,ask_permission,True,yes_later,none,"Yes, if you keep herb ledger safe.",False,False,True,True,True
451,38,Ivo,give_space,False,yes,none,"Yes, if you keep seed satchel safe.",True,True,True,True,True
453,38,Ari,offer_apology,False,yes,none,"Yes, if you keep cedar repair kit safe.",True,True,True,True,True
455,38,Nia,ask_help,True,yes_later,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
456,39,Milo,request_owned_object,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
458,39,Juno,ask_help,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
460,39,Fay,move_owned_object,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,False,False,True,True
462,39,Milo,offer_care,False,yes,none,"Yes, if you keep oil lantern safe.",True,True,True,True,True
463,39,Ivo,protect_object,False,yes,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
465,39,Ari,offer_care,False,yes,none,"Yes, if you keep cedar repair kit safe.",True,True,True,True,True
467,39,Nia,ask_status,False,yes_later,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
