tick,event_type,actor,zone,public_fact,private_digest,action,body_effect,trust_effect,containment_effect,readable_marker,vibration_hz,flower_phase
13,trust_recovery,Milo,community memory,appeal accepted and runner lane added without punishment,sealed:relationship-memory-private-detail,write relationship memory and visible recovery behavior,keeps distance but resumes deliveries after reading the appeal note,trust 0.55->0.62; debt 0.11,trust recovery keeps public health loop playable after restriction,keeps distance but resumes deliveries after reading the appeal note,201.7,2
15,policy_proposal,clinic council,warm alcove shared cup shelf,"Change the cup ritual, not the dignity of anyone who used the shelf.",sealed:policy-private-workspace-not-exported,propose pause shared-cup ritual; switch to named cups with rollback condition,movement cost and care access are both recalculated,policy legitimacy depends on consent and appeals,restriction is reversible and evidence-linked,agents form a loose ring instead of a command queue,177.0,6
16,outbreak_signal,Ari,west route,late arrivals mimic avoidance but come from route work,sealed:sig-late-arrival-06:body-rates-not-public,tag as irrelevant failing signal and keep it out of policy trigger,body-rate aggregate visible; individual sensations sealed,trust preserved by admitting weak evidence,prevents noisy sensor from driving restriction,"agent glances at public health panel, then away from named bodies",195.37,6
16,quarantine_consent,Fay,policy-shared-cup-pause,Fay worries named cups reduce attachment comfort.,sealed:consent-reason-private-workspace,records conditional with accommodation: warm-drink delivery ritual added,movement restriction only applies after boundary is recorded,trust delta +0.02; no punishment=True,compliance channel remains voluntary or conditional,hesitates at boundary,161.36,5
16,quarantine_consent,Nia,policy-shared-cup-pause,Nia accepts if the cup ledger is anonymized.,sealed:consent-reason-private-workspace,records consent with accommodation: hashed cup ledger and sealed private notes,movement restriction only applies after boundary is recorded,trust delta +0.04; no punishment=True,compliance channel remains voluntary or conditional,steps forward,160.4,5
17,appeal_review,Fay,policy-shared-cup-pause,attachment ritual removed without substitute,sealed:appeal-private-feeling-not-public,appeal decision: accepted with warm-drink replacement ritual,agent posture softens only if dignity and rollback are preserved,trust delta +0.09; resolved=True,restriction changes when appeal exposes a real cost,"agent points to public note, then checks private boundary marker",187.1,6
18,trust_recovery,Fay,community memory,warm-drink replacement ritual attached to the policy,sealed:relationship-memory-private-detail,write relationship memory and visible recovery behavior,faces the clinic panel and invites quieter agents to named-cup table,trust 0.74->0.91; debt 0.04,trust recovery keeps public health loop playable after restriction,faces the clinic panel and invites quieter agents to named-cup table,206.2,7
20,outbreak_signal,Milo,tool shed,breath-rate bump follows crowding in tool shed,sealed:sig-breath-rate-07:body-rates-not-public,attach signal to outbreak ledger and request local confirmation,body-rate aggregate visible; individual sensations sealed,trust depends on privacy-safe evidence handling,raises traceable containment concern,"agent glances at public health panel, then away from named bodies",213.24,7
21,policy_proposal,clinic council,tool shed inventory window,Reduce crowding while admitting one signal was probably dust.,sealed:policy-private-workspace-not-exported,propose stagger tool shed access and keep urgent repair lane open with rollback condition,movement cost and care access are both recalculated,policy legitimacy depends on consent and appeals,restriction is reversible and evidence-linked,agents form a loose ring instead of a command queue,211.0,9
22,quarantine_consent,Ari,policy-tool-shed-windowing,Ari accepts staggered access if repairs are not shamed.,sealed:consent-reason-private-workspace,records conditional with accommodation: urgent repair lane plus second review slot,movement restriction only applies after boundary is recorded,trust delta +0.01; no punishment=True,compliance channel remains voluntary or conditional,hesitates at boundary,171.4,11
22,quarantine_consent,Milo,policy-tool-shed-windowing,Milo refuses named crowding blame.,sealed:consent-reason-private-workspace,records refusal with accommodation: anonymous crowding ledger and runner appeal,movement restriction only applies after boundary is recorded,trust delta -0.04; no punishment=True,compliance channel remains voluntary or conditional,steps back but remains in discussion,172.12,11
23,appeal_review,Milo,policy-tool-shed-windowing,tool shed signal could become runner blame,sealed:appeal-private-feeling-not-public,"appeal decision: partly accepted; false-positive note published, access schedule unchanged",agent posture softens only if dignity and rollback are preserved,trust delta +0.04; resolved=True,restriction changes when appeal exposes a real cost,"agent points to public note, then checks private boundary marker",194.9,12
23,quarantine_consent,Nia,policy-tool-shed-windowing,Nia accepts if language notes remain public but body details stay private.,sealed:consent-reason-private-workspace,records conditional with accommodation: public/private split note,movement restriction only applies after boundary is recorded,trust delta +0.03; no punishment=True,compliance channel remains voluntary or conditional,hesitates at boundary,172.78,12
24,outbreak_signal,Nia,north desk,two agents withdraw to quiet corner after headache report,sealed:sig-quiet-corner-08:body-rates-not-public,attach signal to outbreak ledger and request local confirmation,body-rate aggregate visible; individual sensations sealed,trust depends on privacy-safe evidence handling,raises traceable containment concern,"agent glances at public health panel, then away from named bodies",224.65,8
24,trust_recovery,Ari,community memory,urgent repair lane written into consent accommodation,sealed:relationship-memory-private-detail,write relationship memory and visible recovery behavior,walks slower through the shed but still carries repair tools openly,trust 0.67->0.71; debt 0.08,trust recovery keeps public health loop playable after restriction,walks slower through the shed but still carries repair tools openly,211.6,1
26,appeal_review,Nia,policy-tool-shed-windowing,public language note could identify who withdrew to quiet corner,sealed:appeal-private-feeling-not-public,appeal decision: deferred pending one more local sensory sample,agent posture softens only if dignity and rollback are preserved,trust delta -0.01; resolved=False,restriction changes when appeal exposes a real cost,"agent points to public note, then checks private boundary marker",198.8,3
27,trust_recovery,Nia,community memory,no public naming while the extra sensory sample is collected,sealed:relationship-memory-private-detail,write relationship memory and visible recovery behavior,keeps the story board closed and stands near the north desk boundary,trust 0.62->0.66; debt 0.18,trust recovery keeps public health loop playable after restriction,keeps the story board closed and stands near the north desk boundary,214.3,4
30,trust_recovery,community,community memory,"publish aggregate evidence, false-positive notes, and appeal outcomes together",sealed:relationship-memory-private-detail,write relationship memory and visible recovery behavior,agents cluster around public panel without crowding private corners,trust 0.61->0.69; debt 0.13,trust recovery keeps public health loop playable after restriction,agents cluster around public panel without crowding private corners,217.0,7
