tick_index,agent,valence,arousal,control,safety,attachment,curiosity,frustration,dignity,comfort,fatigue,dominant_welfare_state,affect_vector
55,Sol,0.74049,0.280036,0.758765,0.849202,0.680709,0.316666,0.165476,0.713876,0.767826,0.181196,settled_recovering,v=0.74;a=0.28;c=0.76;safe=0.85;att=0.68;cur=0.32;fr=0.17;dig=0.71
56,Ari,0.57245,0.331301,0.588491,0.741501,0.544924,0.38539,0.343375,0.536037,0.619805,0.200325,focused_regulating,v=0.57;a=0.33;c=0.59;safe=0.74;att=0.54;cur=0.39;fr=0.34;dig=0.54
57,Fay,0.706962,0.334443,0.722075,0.720352,0.559974,0.638201,0.208881,0.693299,0.697414,0.297336,settled_recovering,v=0.71;a=0.33;c=0.72;safe=0.72;att=0.56;cur=0.64;fr=0.21;dig=0.69
58,Milo,0.778046,0.238288,0.680407,0.776541,0.492443,0.761856,0.133157,0.628224,0.727657,0.175699,curious_exploring,v=0.78;a=0.24;c=0.68;safe=0.78;att=0.49;cur=0.76;fr=0.13;dig=0.63
59,Sol,0.781709,0.256636,0.71787,0.897985,0.778792,0.301675,0.129757,0.673727,0.801816,0.171157,settled_recovering,v=0.78;a=0.26;c=0.72;safe=0.90;att=0.78;cur=0.30;fr=0.13;dig=0.67
60,Ari,0.682226,0.318775,0.70864,0.736896,0.698559,0.396636,0.235727,0.66637,0.704349,0.207475,settled_recovering,v=0.68;a=0.32;c=0.71;safe=0.74;att=0.70;cur=0.40;fr=0.24;dig=0.67
61,Milo,0.701988,0.26518,0.671576,0.758193,0.504151,0.758679,0.188878,0.624641,0.690185,0.18412,curious_exploring,v=0.70;a=0.27;c=0.67;safe=0.76;att=0.50;cur=0.76;fr=0.19;dig=0.62
62,Sol,0.664986,0.301007,0.689864,0.81553,0.67104,0.299011,0.197859,0.650441,0.712531,0.193261,settled_recovering,v=0.66;a=0.30;c=0.69;safe=0.82;att=0.67;cur=0.30;fr=0.20;dig=0.65
63,Ari,0.617704,0.344436,0.680006,0.718223,0.623026,0.388258,0.265717,0.646496,0.658272,0.236215,settled_recovering,v=0.62;a=0.34;c=0.68;safe=0.72;att=0.62;cur=0.39;fr=0.27;dig=0.65
64,Fay,0.639893,0.400755,0.683414,0.701287,0.546276,0.578474,0.242781,0.663029,0.655054,0.308799,settled_recovering,v=0.64;a=0.40;c=0.68;safe=0.70;att=0.55;cur=0.58;fr=0.24;dig=0.66
65,Milo,0.627801,0.352664,0.62811,0.690034,0.426102,0.742588,0.260483,0.582032,0.623098,0.192835,curious_exploring,v=0.63;a=0.35;c=0.63;safe=0.69;att=0.43;cur=0.74;fr=0.26;dig=0.58
66,Sol,0.634468,0.2996,0.677138,0.779749,0.608544,0.308656,0.229949,0.636935,0.680402,0.188272,settled_recovering,v=0.63;a=0.30;c=0.68;safe=0.78;att=0.61;cur=0.31;fr=0.23;dig=0.64
67,Ari,0.57174,0.36881,0.667678,0.691916,0.579218,0.368861,0.295618,0.63497,0.62444,0.260995,settled_recovering,v=0.57;a=0.37;c=0.67;safe=0.69;att=0.58;cur=0.37;fr=0.30;dig=0.63
68,Fay,0.728797,0.352642,0.792369,0.715525,0.538331,0.564976,0.144164,0.754379,0.716208,0.313933,settled_recovering,v=0.73;a=0.35;c=0.79;safe=0.72;att=0.54;cur=0.56;fr=0.14;dig=0.75
69,Milo,0.726991,0.31019,0.645945,0.82022,0.465674,0.74874,0.181062,0.597849,0.708951,0.164421,curious_exploring,v=0.73;a=0.31;c=0.65;safe=0.82;att=0.47;cur=0.75;fr=0.18;dig=0.60
70,Sol,0.726968,0.2828,0.763989,0.872254,0.736936,0.314356,0.169267,0.724568,0.775779,0.180075,settled_recovering,v=0.73;a=0.28;c=0.76;safe=0.87;att=0.74;cur=0.31;fr=0.17;dig=0.72
71,Ari,0.546524,0.336363,0.578807,0.709091,0.523569,0.387911,0.371811,0.533238,0.595651,0.235724,focused_regulating,v=0.55;a=0.34;c=0.58;safe=0.71;att=0.52;cur=0.39;fr=0.37;dig=0.53
72,Fay,0.707439,0.327736,0.723745,0.722916,0.533723,0.66142,0.206075,0.698455,0.695762,0.319991,curious_exploring,v=0.71;a=0.33;c=0.72;safe=0.72;att=0.53;cur=0.66;fr=0.21;dig=0.70
73,Milo,0.790433,0.215462,0.694728,0.785223,0.488625,0.752605,0.105016,0.620463,0.737591,0.16454,curious_exploring,v=0.79;a=0.22;c=0.69;safe=0.79;att=0.49;cur=0.75;fr=0.11;dig=0.62
74,Sol,0.769142,0.257339,0.721649,0.911426,0.811404,0.300442,0.131624,0.679929,0.804607,0.170769,settled_recovering,v=0.77;a=0.26;c=0.72;safe=0.91;att=0.81;cur=0.30;fr=0.13;dig=0.68
75,Ari,0.663366,0.319231,0.699505,0.71869,0.686172,0.398626,0.255997,0.664746,0.688232,0.242631,settled_recovering,v=0.66;a=0.32;c=0.70;safe=0.72;att=0.69;cur=0.40;fr=0.26;dig=0.66
76,Fay,0.648715,0.318191,0.6813,0.726196,0.531051,0.611412,0.243642,0.66602,0.663658,0.329128,settled_recovering,v=0.65;a=0.32;c=0.68;safe=0.73;att=0.53;cur=0.61;fr=0.24;dig=0.67
77,Milo,0.681646,0.268151,0.678844,0.755506,0.501937,0.746108,0.178399,0.620139,0.682026,0.184168,curious_exploring,v=0.68;a=0.27;c=0.68;safe=0.76;att=0.50;cur=0.75;fr=0.18;dig=0.62
78,Sol,0.667285,0.309173,0.690517,0.818379,0.689955,0.293574,0.203374,0.654038,0.716499,0.201259,settled_recovering,v=0.67;a=0.31;c=0.69;safe=0.82;att=0.69;cur=0.29;fr=0.20;dig=0.65
79,Ari,0.607487,0.405689,0.674598,0.69608,0.615842,0.381292,0.270738,0.645555,0.645963,0.25633,settled_recovering,v=0.61;a=0.41;c=0.67;safe=0.70;att=0.62;cur=0.38;fr=0.27;dig=0.65
80,Fay,0.580491,0.39954,0.61697,0.666433,0.444661,0.564634,0.305434,0.606677,0.596544,0.340852,focused_regulating,v=0.58;a=0.40;c=0.62;safe=0.67;att=0.44;cur=0.56;fr=0.31;dig=0.61
81,Milo,0.64266,0.282558,0.672046,0.745765,0.509658,0.749407,0.216045,0.619951,0.662483,0.18339,curious_exploring,v=0.64;a=0.28;c=0.67;safe=0.75;att=0.51;cur=0.75;fr=0.22;dig=0.62
82,Sol,0.595544,0.358109,0.675751,0.74533,0.619515,0.271815,0.259363,0.639021,0.65536,0.229906,settled_recovering,v=0.60;a=0.36;c=0.68;safe=0.75;att=0.62;cur=0.27;fr=0.26;dig=0.64
83,Ari,0.703326,0.360719,0.790792,0.710926,0.575051,0.394566,0.161446,0.743329,0.707962,0.263448,settled_recovering,v=0.70;a=0.36;c=0.79;safe=0.71;att=0.58;cur=0.39;fr=0.16;dig=0.74
84,Fay,0.687845,0.343234,0.630427,0.806531,0.479394,0.555413,0.206273,0.612789,0.687238,0.228187,settled_recovering,v=0.69;a=0.34;c=0.63;safe=0.81;att=0.48;cur=0.56;fr=0.21;dig=0.61
85,Milo,0.730282,0.274827,0.761686,0.852544,0.678776,0.751446,0.158716,0.715308,0.764816,0.179792,curious_exploring,v=0.73;a=0.27;c=0.76;safe=0.85;att=0.68;cur=0.75;fr=0.16;dig=0.72
86,Sol,0.559259,0.332423,0.585728,0.739248,0.548419,0.293031,0.348541,0.535266,0.613493,0.202363,focused_regulating,v=0.56;a=0.33;c=0.59;safe=0.74;att=0.55;cur=0.29;fr=0.35;dig=0.54
87,Ari,0.687511,0.333913,0.726889,0.71961,0.551392,0.50736,0.216979,0.691133,0.689007,0.269944,settled_recovering,v=0.69;a=0.33;c=0.73;safe=0.72;att=0.55;cur=0.51;fr=0.22;dig=0.69
88,Fay,0.757251,0.238126,0.682474,0.775831,0.49954,0.550962,0.119639,0.629773,0.719897,0.195649,settled_recovering,v=0.76;a=0.24;c=0.68;safe=0.78;att=0.50;cur=0.55;fr=0.12;dig=0.63
89,Milo,0.771106,0.255552,0.722084,0.900313,0.776864,0.735027,0.122352,0.67515,0.798603,0.168687,curious_exploring,v=0.77;a=0.26;c=0.72;safe=0.90;att=0.78;cur=0.74;fr=0.12;dig=0.68
90,Sol,0.671615,0.31766,0.706894,0.735538,0.702064,0.305219,0.239745,0.665599,0.699566,0.208212,settled_recovering,v=0.67;a=0.32;c=0.71;safe=0.74;att=0.70;cur=0.31;fr=0.24;dig=0.67
91,Fay,0.681845,0.261762,0.672424,0.758046,0.511224,0.54835,0.179254,0.626184,0.682623,0.203268,settled_recovering,v=0.68;a=0.26;c=0.67;safe=0.76;att=0.51;cur=0.55;fr=0.18;dig=0.63
92,Milo,0.667134,0.28688,0.694965,0.823384,0.669116,0.736902,0.187952,0.651857,0.71639,0.18679,curious_exploring,v=0.67;a=0.29;c=0.69;safe=0.82;att=0.67;cur=0.74;fr=0.19;dig=0.65
93,Sol,0.606885,0.345194,0.678678,0.715821,0.626538,0.29595,0.269931,0.645727,0.65319,0.2377,settled_recovering,v=0.61;a=0.35;c=0.68;safe=0.72;att=0.63;cur=0.30;fr=0.27;dig=0.65
94,Ari,0.620786,0.403063,0.688612,0.69963,0.53767,0.446937,0.25057,0.660859,0.646607,0.28136,settled_recovering,v=0.62;a=0.40;c=0.69;safe=0.70;att=0.54;cur=0.45;fr=0.25;dig=0.66
95,Fay,0.605211,0.358881,0.627494,0.68698,0.433161,0.529852,0.253439,0.583573,0.613415,0.213126,focused_regulating,v=0.61;a=0.36;c=0.63;safe=0.69;att=0.43;cur=0.53;fr=0.25;dig=0.58
96,Milo,0.63061,0.288367,0.681917,0.786371,0.606622,0.74516,0.220827,0.638348,0.681332,0.184951,curious_exploring,v=0.63;a=0.29;c=0.68;safe=0.79;att=0.61;cur=0.75;fr=0.22;dig=0.64
97,Sol,0.556984,0.377523,0.665607,0.686063,0.582733,0.273428,0.301719,0.634201,0.616597,0.265576,focused_regulating,v=0.56;a=0.38;c=0.67;safe=0.69;att=0.58;cur=0.27;fr=0.30;dig=0.63
98,Ari,0.707738,0.360722,0.796697,0.712365,0.529711,0.432165,0.15231,0.752206,0.706353,0.288229,settled_recovering,v=0.71;a=0.36;c=0.80;safe=0.71;att=0.53;cur=0.43;fr=0.15;dig=0.75
99,Fay,0.702981,0.316997,0.646335,0.818448,0.472725,0.535844,0.175857,0.599388,0.699221,0.170389,settled_recovering,v=0.70;a=0.32;c=0.65;safe=0.82;att=0.47;cur=0.54;fr=0.18;dig=0.60
100,Milo,0.718024,0.27575,0.767789,0.876095,0.735015,0.749607,0.161013,0.725978,0.773608,0.177801,curious_exploring,v=0.72;a=0.28;c=0.77;safe=0.88;att=0.74;cur=0.75;fr=0.16;dig=0.73
101,Sol,0.531077,0.347836,0.575612,0.70366,0.527086,0.292952,0.377295,0.53247,0.587423,0.239007,focused_regulating,v=0.53;a=0.35;c=0.58;safe=0.70;att=0.53;cur=0.29;fr=0.38;dig=0.53
102,Ari,0.685725,0.333088,0.727137,0.720753,0.525095,0.52941,0.214666,0.696281,0.685732,0.295602,settled_recovering,v=0.69;a=0.33;c=0.73;safe=0.72;att=0.53;cur=0.53;fr=0.21;dig=0.70
103,Fay,0.764508,0.226482,0.696232,0.781766,0.495672,0.538779,0.101997,0.622001,0.726796,0.1657,settled_recovering,v=0.76;a=0.23;c=0.70;safe=0.78;att=0.50;cur=0.54;fr=0.10;dig=0.62
104,Milo,0.758485,0.246389,0.724905,0.917,0.809483,0.736443,0.123965,0.681338,0.802099,0.169545,curious_exploring,v=0.76;a=0.25;c=0.72;safe=0.92;att=0.81;cur=0.74;fr=0.12;dig=0.68
105,Sol,0.648914,0.327071,0.695975,0.714952,0.689691,0.305172,0.261024,0.663978,0.680832,0.246252,settled_recovering,v=0.65;a=0.33;c=0.70;safe=0.71;att=0.69;cur=0.31;fr=0.26;dig=0.66
106,Ari,0.627268,0.322865,0.68458,0.724212,0.522417,0.479564,0.252311,0.663845,0.653768,0.305081,settled_recovering,v=0.63;a=0.32;c=0.68;safe=0.72;att=0.52;cur=0.48;fr=0.25;dig=0.66
107,Fay,0.653245,0.276076,0.681419,0.751876,0.508981,0.532326,0.17628,0.621676,0.670346,0.186864,settled_recovering,v=0.65;a=0.28;c=0.68;safe=0.75;att=0.51;cur=0.53;fr=0.18;dig=0.62
108,Milo,0.659664,0.297192,0.694167,0.826886,0.688035,0.732091,0.192679,0.655447,0.716163,0.195257,curious_exploring,v=0.66;a=0.30;c=0.69;safe=0.83;att=0.69;cur=0.73;fr=0.19;dig=0.66
109,Sol,0.596521,0.400257,0.671683,0.696432,0.619361,0.291346,0.27506,0.644786,0.641289,0.258704,settled_recovering,v=0.60;a=0.40;c=0.67;safe=0.70;att=0.62;cur=0.29;fr=0.28;dig=0.64
110,Ari,0.562083,0.39233,0.620916,0.66777,0.436024,0.435605,0.313714,0.604502,0.588987,0.315711,focused_regulating,v=0.56;a=0.39;c=0.62;safe=0.67;att=0.44;cur=0.44;fr=0.31;dig=0.60
111,Fay,0.61726,0.285524,0.675784,0.743519,0.5167,0.537042,0.213273,0.621488,0.65267,0.184517,settled_recovering,v=0.62;a=0.29;c=0.68;safe=0.74;att=0.52;cur=0.54;fr=0.21;dig=0.62
112,Milo,0.597815,0.329104,0.680262,0.764038,0.617594,0.719561,0.241844,0.64043,0.662198,0.215606,curious_exploring,v=0.60;a=0.33;c=0.68;safe=0.76;att=0.62;cur=0.72;fr=0.24;dig=0.64
113,Sol,0.693454,0.356089,0.788547,0.711077,0.57857,0.304527,0.165163,0.742561,0.703819,0.265064,settled_recovering,v=0.69;a=0.36;c=0.79;safe=0.71;att=0.58;cur=0.30;fr=0.17;dig=0.74
114,Ari,0.669941,0.338648,0.634985,0.807307,0.470757,0.425646,0.213883,0.610613,0.679852,0.201084,settled_recovering,v=0.67;a=0.34;c=0.63;safe=0.81;att=0.47;cur=0.43;fr=0.21;dig=0.61
115,Fay,0.7065,0.275018,0.766207,0.851241,0.685817,0.539907,0.155523,0.716845,0.756097,0.179671,settled_recovering,v=0.71;a=0.28;c=0.77;safe=0.85;att=0.69;cur=0.54;fr=0.16;dig=0.72
116,Milo,0.555795,0.313962,0.590519,0.751667,0.546499,0.734856,0.334726,0.536674,0.616214,0.198368,curious_exploring,v=0.56;a=0.31;c=0.59;safe=0.75;att=0.55;cur=0.73;fr=0.33;dig=0.54
117,Sol,0.677774,0.329999,0.724756,0.719648,0.554912,0.417251,0.220433,0.690365,0.68491,0.271462,settled_recovering,v=0.68;a=0.33;c=0.72;safe=0.72;att=0.55;cur=0.42;fr=0.22;dig=0.69
118,Ari,0.734896,0.264426,0.687226,0.767289,0.490901,0.413574,0.124052,0.627597,0.708069,0.169141,settled_recovering,v=0.73;a=0.26;c=0.69;safe=0.77;att=0.49;cur=0.41;fr=0.12;dig=0.63
119,Fay,0.742978,0.283695,0.726451,0.89078,0.783905,0.516737,0.119227,0.676686,0.785725,0.170413,settled_recovering,v=0.74;a=0.28;c=0.73;safe=0.89;att=0.78;cur=0.52;fr=0.12;dig=0.68
120,Milo,0.66437,0.304444,0.711433,0.744664,0.700144,0.743881,0.228232,0.667008,0.699729,0.204602,curious_exploring,v=0.66;a=0.30;c=0.71;safe=0.74;att=0.70;cur=0.74;fr=0.23;dig=0.67
