tick_id,day,settlement_id,resident_a,resident_b,mediator_id,role_a,role_b,contested_duty,conflict_reason,mediation_state,fairness_before,fairness_after,resentment_before,resentment_after,visible_mediation_card,bounded_conflict
70,4,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,loan priority conflict,deferred with visible queue,0.67,0.664,0.034,0.04,True,True
72,5,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,0.68,0.69,0.046,0.038,True,True
74,5,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,0.664,0.674,0.054,0.046,True,True
76,5,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,0.648,0.658,0.046,0.038,True,True
78,5,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,0.69,0.7,0.046,0.038,True,True
80,5,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,loan priority conflict,mediated by household role,0.674,0.684,0.052,0.044,True,True
82,5,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,0.658,0.668,0.074,0.066,True,True
84,5,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,deferred with visible queue,0.7,0.694,0.038,0.044,True,True
86,5,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,0.684,0.694,0.046,0.038,True,True
88,5,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,0.668,0.678,0.038,0.03,True,True
90,6,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,loan priority conflict,mediated by household role,0.648,0.658,0.0,0.0,True,True
92,6,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,mediated by household role,0.664,0.674,0.074,0.066,True,True
94,6,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,0.68,0.69,0.046,0.038,True,True
96,6,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,0.658,0.668,0.124,0.116,True,True
98,6,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,deferred with visible queue,0.674,0.668,0.026,0.032,True,True
100,6,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,loan priority conflict,mediated by household role,0.69,0.7,0.086,0.078,True,True
102,6,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,0.668,0.678,0.0,0.0,True,True
104,6,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,mediated by household role,0.668,0.678,0.076,0.068,True,True
106,6,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,0.7,0.71,0.048,0.04,True,True
108,7,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,0.694,0.704,0.044,0.036,True,True
110,7,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,loan priority conflict,mediated by household role,0.678,0.688,0.066,0.058,True,True
112,7,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,deferred with visible queue,0.694,0.688,0.044,0.05,True,True
114,7,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,0.704,0.714,0.038,0.03,True,True
116,7,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,0.688,0.698,0.03,0.022,True,True
118,7,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,0.688,0.698,0.038,0.03,True,True
120,7,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,loan priority conflict,mediated by household role,0.714,0.724,0.036,0.028,True,True
122,7,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,0.698,0.708,0.058,0.05,True,True
124,7,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,0.698,0.708,0.05,0.042,True,True
126,8,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,deferred with visible queue,0.678,0.672,0.038,0.044,True,True
128,8,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,0.71,0.72,0.108,0.1,True,True
130,8,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,loan priority conflict,mediated by household role,0.678,0.688,0.01,0.002,True,True
132,8,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,mediated by household role,0.672,0.682,0.078,0.07,True,True
134,8,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,0.72,0.73,0.05,0.042,True,True
136,8,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,0.688,0.698,0.136,0.128,True,True
138,8,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,0.682,0.692,0.054,0.046,True,True
140,8,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,loan priority conflict,deferred with visible queue,0.73,0.724,0.11,0.116,True,True
142,8,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,0.698,0.708,0.0,0.0,True,True
144,9,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,0.708,0.718,0.022,0.014,True,True
146,9,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,0.708,0.718,0.03,0.022,True,True
148,9,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,0.724,0.734,0.028,0.02,True,True
150,9,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,loan priority conflict,mediated by household role,0.718,0.728,0.05,0.042,True,True
152,9,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,0.718,0.728,0.042,0.034,True,True
154,9,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,deferred with visible queue,0.734,0.728,0.03,0.036,True,True
156,9,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,0.728,0.738,0.014,0.006,True,True
158,9,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,0.728,0.738,0.022,0.014,True,True
160,9,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,loan priority conflict,mediated by household role,0.728,0.738,0.02,0.012,True,True
162,10,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,0.724,0.734,0.062,0.054,True,True
164,10,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,0.708,0.718,0.148,0.14,True,True
166,10,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,0.692,0.702,0.042,0.034,True,True
168,10,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,deferred with visible queue,0.734,0.728,0.156,0.162,True,True
170,10,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,loan priority conflict,mediated by household role,0.718,0.728,0.016,0.008,True,True
172,10,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,mediated by household role,0.702,0.712,0.1,0.092,True,True
174,10,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,0.728,0.738,0.064,0.056,True,True
176,10,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,0.728,0.738,0.15,0.142,True,True
178,10,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,0.712,0.722,0.032,0.024,True,True
180,11,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,loan priority conflict,mediated by household role,0.738,0.748,0.034,0.026,True,True
182,11,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,deferred with visible queue,0.738,0.732,0.036,0.042,True,True
184,11,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,0.738,0.748,0.006,0.0,True,True
186,11,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,0.748,0.758,0.014,0.006,True,True
188,11,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,0.732,0.742,0.012,0.004,True,True
190,11,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,loan priority conflict,mediated by household role,0.748,0.758,0.042,0.034,True,True
192,11,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,0.758,0.768,0.026,0.018,True,True
194,11,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,0.742,0.752,0.042,0.034,True,True
196,11,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,deferred with visible queue,0.758,0.752,0.0,0.006,True,True
198,12,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,0.738,0.748,0.0,0.0,True,True
200,12,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,loan priority conflict,mediated by household role,0.722,0.732,0.122,0.114,True,True
202,12,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,0.738,0.748,0.064,0.056,True,True
204,12,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,0.748,0.758,0.142,0.134,True,True
206,12,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,0.732,0.742,0.022,0.014,True,True
208,12,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,0.748,0.758,0.182,0.174,True,True
210,12,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,loan priority conflict,deferred with visible queue,0.758,0.752,0.0,0.006,True,True
212,12,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,mediated by household role,0.742,0.752,0.124,0.116,True,True
214,12,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,0.758,0.768,0.066,0.058,True,True
216,13,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,0.752,0.762,0.004,0.0,True,True
218,13,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,0.752,0.762,0.034,0.026,True,True
220,13,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,loan priority conflict,mediated by household role,0.768,0.778,0.018,0.01,True,True
222,13,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,0.762,0.772,0.034,0.026,True,True
224,13,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,deferred with visible queue,0.762,0.756,0.006,0.012,True,True
226,13,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,0.778,0.788,0.006,0.0,True,True
228,13,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,0.772,0.782,0.0,0.0,True,True
230,13,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,loan priority conflict,mediated by household role,0.756,0.766,0.026,0.018,True,True
232,13,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,0.788,0.798,0.01,0.002,True,True
234,14,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,0.752,0.762,0.01,0.002,True,True
236,14,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,0.768,0.778,0.194,0.186,True,True
238,14,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,deferred with visible queue,0.752,0.746,0.016,0.022,True,True
240,14,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,loan priority conflict,mediated by household role,0.762,0.772,0.156,0.148,True,True
242,14,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,0.778,0.788,0.074,0.066,True,True
244,14,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,0.746,0.756,0.164,0.156,True,True
246,14,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,0.772,0.782,0.0,0.0,True,True
248,14,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,0.788,0.798,0.186,0.178,True,True
250,14,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,loan priority conflict,mediated by household role,0.756,0.766,0.032,0.024,True,True
252,15,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,deferred with visible queue,0.766,0.76,0.012,0.018,True,True
254,15,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,0.798,0.808,0.0,0.0,True,True
256,15,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,0.782,0.792,0.0,0.0,True,True
258,15,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,0.76,0.77,0.018,0.01,True,True
260,15,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,loan priority conflict,mediated by household role,0.808,0.818,0.002,0.0,True,True
262,15,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,0.792,0.802,0.026,0.018,True,True
264,15,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,0.77,0.78,0.018,0.01,True,True
266,15,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,deferred with visible queue,0.818,0.812,0.0,0.006,True,True
268,15,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,0.802,0.812,0.0,0.0,True,True
270,16,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,loan priority conflict,mediated by household role,0.798,0.808,0.052,0.044,True,True
272,16,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,0.766,0.776,0.186,0.178,True,True
274,16,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,0.782,0.792,0.01,0.002,True,True
276,16,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,0.808,0.818,0.178,0.17,True,True
278,16,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,0.776,0.786,0.034,0.026,True,True
280,16,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,loan priority conflict,deferred with visible queue,0.792,0.786,0.168,0.174,True,True
282,16,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,0.818,0.828,0.044,0.036,True,True
284,16,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,0.786,0.796,0.188,0.18,True,True
286,16,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,0.786,0.796,0.0,0.0,True,True
288,17,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,0.812,0.822,0.0,0.0,True,True
290,17,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,loan priority conflict,mediated by household role,0.812,0.822,0.018,0.01,True,True
292,17,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,0.78,0.79,0.01,0.002,True,True
294,17,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,deferred with visible queue,0.822,0.816,0.006,0.012,True,True
296,17,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,0.822,0.832,0.0,0.0,True,True
298,17,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,0.79,0.8,0.01,0.002,True,True
300,17,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,loan priority conflict,mediated by household role,0.816,0.826,0.0,0.0,True,True
302,17,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,0.832,0.842,0.01,0.002,True,True
304,17,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,0.8,0.81,0.002,0.0,True,True
306,18,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,0.796,0.806,0.046,0.038,True,True
308,18,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,deferred with visible queue,0.796,0.79,0.184,0.19,True,True
310,18,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,loan priority conflict,mediated by household role,0.828,0.838,0.022,0.014,True,True
312,18,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,0.806,0.816,0.22,0.212,True,True
314,18,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,0.79,0.8,0.0,0.0,True,True
316,18,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,0.838,0.848,0.2,0.192,True,True
318,18,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,0.816,0.826,0.048,0.04,True,True
320,18,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,loan priority conflict,mediated by household role,0.8,0.81,0.2,0.192,True,True
322,18,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,deferred with visible queue,0.848,0.842,0.012,0.018,True,True
324,19,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,0.842,0.852,0.0,0.0,True,True
326,19,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,0.81,0.82,0.002,0.0,True,True
328,19,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,0.826,0.836,0.0,0.0,True,True
330,19,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,loan priority conflict,mediated by household role,0.852,0.862,0.002,0.0,True,True
332,19,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,0.82,0.83,0.0,0.0,True,True
334,19,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,0.836,0.846,0.012,0.004,True,True
336,19,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,deferred with visible queue,0.862,0.856,0.0,0.006,True,True
338,19,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,0.83,0.84,0.0,0.0,True,True
340,19,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,loan priority conflict,mediated by household role,0.846,0.856,0.0,0.0,True,True
342,20,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,0.81,0.82,0.018,0.01,True,True
344,20,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,0.842,0.852,0.222,0.214,True,True
346,20,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,0.826,0.836,0.05,0.042,True,True
348,20,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,mediated by household role,0.82,0.83,0.202,0.194,True,True
350,20,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,loan priority conflict,deferred with visible queue,0.852,0.846,0.016,0.022,True,True
352,20,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,0.836,0.846,0.232,0.224,True,True
354,20,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,0.83,0.84,0.008,0.0,True,True
356,20,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,0.846,0.856,0.224,0.216,True,True
358,20,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,0.846,0.856,0.042,0.034,True,True
360,21,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,loan priority conflict,mediated by household role,0.84,0.85,0.0,0.0,True,True
362,21,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,0.856,0.866,0.004,0.0,True,True
364,21,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,deferred with visible queue,0.856,0.85,0.006,0.012,True,True
366,21,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,0.85,0.86,0.0,0.0,True,True
368,21,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,0.866,0.876,0.0,0.0,True,True
370,21,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,loan priority conflict,mediated by household role,0.85,0.86,0.0,0.0,True,True
372,21,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,0.86,0.87,0.0,0.0,True,True
374,21,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,0.876,0.886,0.0,0.0,True,True
376,21,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,0.86,0.87,0.012,0.004,True,True
378,22,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,deferred with visible queue,0.856,0.85,0.018,0.024,True,True
380,22,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,loan priority conflict,mediated by household role,0.856,0.866,0.224,0.216,True,True
382,22,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,0.84,0.85,0.02,0.012,True,True
384,22,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,0.85,0.86,0.256,0.248,True,True
386,22,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,0.866,0.876,0.044,0.036,True,True
388,22,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,mediated by household role,0.85,0.86,0.234,0.226,True,True
390,22,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,loan priority conflict,mediated by household role,0.86,0.87,0.022,0.014,True,True
392,22,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,deferred with visible queue,0.876,0.87,0.226,0.232,True,True
394,22,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,0.86,0.87,0.022,0.014,True,True
