tick,command,from_place,to_place,avatar_x,avatar_y,body_energy,wetness,temperature,breath_rate,proximity_agent,ceremony_distance,collision_boundary,sensory_packet,movement_hash
1,wait,Outer Quiet,Outer Quiet,8.123896,48.333958,0.92492,0.18,0.52,0.250918,Keth,42.257687,clear,sound=distant bell harmonics; smell=cold clay and rain fern; temp=0.52; wet=0.18; pulse=2.31Hz,2f1ce77857aa6c6b
31,forward,Ceremony Center,Ceremony Center,49.718622,53.494067,0.5775,0.16,0.63,0.32575,Ori,0.578914,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.47Hz,b1d20dd96a621dc9
32,ask,Ceremony Center,Ceremony Center,49.752953,53.81581,0.57054,0.16,0.63,0.327281,Ori,0.308153,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,b5b3235dd1dcfc17
33,offer_help,Ceremony Center,Ceremony Center,49.802255,53.709695,0.56358,0.16,0.63,0.328812,Ori,0.351255,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.40Hz,8674af874c86f208
34,back,Ceremony Center,Rainwalk Threshold,76.912976,71.884045,0.54652,0.51,0.48,0.360566,Vonn,32.313269,clear,sound=weather bells; smell=wet wool and river stone; temp=0.48; wet=0.51; pulse=2.31Hz,c84819c635e44a99
35,forward,Rainwalk Threshold,Ceremony Center,49.994222,53.957442,0.53156,0.16,0.63,0.335857,Ori,0.042949,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,549d1da12304f650
36,ceremony,Ceremony Center,Ceremony Center,50.122055,54.725063,0.5246,0.16,0.63,0.337388,Ori,0.735265,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,f099498c47488b1e
37,wait,Ceremony Center,Ceremony Center,50.495848,53.42708,0.52964,0.16,0.63,0.336279,Ori,0.757695,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,5799a323510c8aa6
38,forward,Ceremony Center,Ceremony Center,50.325144,54.531278,0.51468,0.16,0.63,0.33957,Ori,0.622876,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,8d48f6494694b1ba
39,right,Ceremony Center,Ceremony Center,49.349953,53.895076,0.49972,0.16,0.63,0.342862,Ori,0.65846,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.06Hz,b98e2c852f524132
40,forward,Ceremony Center,Ceremony Center,50.276223,54.221966,0.48476,0.16,0.63,0.346153,Ori,0.354356,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.47Hz,b08ed50202602c3a
41,inspect,Ceremony Center,Ceremony Center,49.411049,53.818818,0.4778,0.16,0.63,0.347684,Ori,0.61619,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,71526b84a2794e3c
42,left,Ceremony Center,Ceremony Center,50.644916,54.028572,0.46284,0.16,0.63,0.350975,Ori,0.645549,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.40Hz,8d31fa7674310ccf
43,forward,Ceremony Center,Ceremony Center,49.734228,54.70011,0.44788,0.16,0.63,0.354266,Ori,0.748858,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,5831b24c4eb16543
44,ask,Ceremony Center,Ceremony Center,50.601838,53.6781,0.44092,0.16,0.63,0.355798,Ori,0.682516,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,91afd0e287646107
45,offer_help,Ceremony Center,Ceremony Center,50.493385,53.265064,0.43396,0.16,0.63,0.357329,Ori,0.885189,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,2a5df5e46b24e6f8
46,back,Ceremony Center,Rainwalk Threshold,77.229361,71.928757,0.4169,0.51,0.48,0.389082,Vonn,32.601816,clear,sound=weather bells; smell=wet wool and river stone; temp=0.48; wet=0.51; pulse=2.31Hz,6cadc936806f0c1d
47,forward,Rainwalk Threshold,Ceremony Center,49.268885,53.307173,0.40194,0.16,0.63,0.364373,Ori,1.007243,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,f06f1623c6313eec
48,ceremony,Ceremony Center,Ceremony Center,49.90379,53.694047,0.39498,0.16,0.63,0.365904,Ori,0.320723,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.06Hz,39a9186a6021bbd8
49,wait,Ceremony Center,Ceremony Center,50.339778,54.305801,0.40002,0.16,0.63,0.364796,Ori,0.457125,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.47Hz,1193b8f5ad4c6b37
50,forward,Ceremony Center,Ceremony Center,49.672685,54.002113,0.38506,0.16,0.63,0.368087,Ori,0.327322,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,2c0a71e83f436805
51,right,Ceremony Center,Ceremony Center,50.748412,53.62004,0.3701,0.16,0.63,0.371378,Ori,0.839339,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.40Hz,5b3c3bbc0891f6c4
52,forward,Ceremony Center,Ceremony Center,49.79466,53.32931,0.35514,0.16,0.63,0.374669,Ori,0.701419,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,0fa5b666743c357f
53,inspect,Ceremony Center,Ceremony Center,49.823096,53.863682,0.34818,0.16,0.63,0.3762,Ori,0.223333,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,9a453ccbf2856d5a
54,left,Ceremony Center,Ceremony Center,50.364696,54.225857,0.33322,0.16,0.63,0.379492,Ori,0.428969,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,c4a6acf409b0a01f
55,forward,Ceremony Center,Ceremony Center,49.425053,53.968208,0.31826,0.16,0.63,0.382783,Ori,0.575826,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,ca55750bd402d6e0
56,ask,Ceremony Center,Ceremony Center,49.522576,53.29645,0.3113,0.16,0.63,0.384314,Ori,0.850245,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,f228d543e38d424f
57,offer_help,Ceremony Center,Ceremony Center,50.235751,53.6036,0.30434,0.16,0.63,0.385845,Ori,0.461207,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.06Hz,f56689f0df98910a
58,back,Ceremony Center,Rainwalk Threshold,76.453213,71.851444,0.28728,0.51,0.48,0.417598,Vonn,31.913109,clear,sound=weather bells; smell=wet wool and river stone; temp=0.48; wet=0.51; pulse=2.47Hz,8816a4d9a1175f11
59,forward,Rainwalk Threshold,Ceremony Center,49.748006,54.680111,0.27232,0.16,0.63,0.39289,Ori,0.725294,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,1786d4948080ec2b
60,ceremony,Ceremony Center,Ceremony Center,49.602083,53.849718,0.26536,0.16,0.63,0.394421,Ori,0.42535,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.40Hz,7ec171d06b1bbadf
61,wait,Ceremony Center,Ceremony Center,50.011856,53.620337,0.2704,0.16,0.63,0.393312,Ori,0.379848,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,ecdc5611dc99eaf9
62,forward,Ceremony Center,Ceremony Center,49.358162,53.436028,0.25544,0.16,0.63,0.396603,Ori,0.854413,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,bc66bf4013d61752
63,right,Ceremony Center,Ceremony Center,49.658958,54.537728,0.24048,0.16,0.63,0.399894,Ori,0.636758,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,f87b3947950b8bac
64,forward,Ceremony Center,Ceremony Center,49.281308,54.46263,0.22552,0.16,0.63,0.403186,Ori,0.854719,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,5473b1641dd59950
65,inspect,Ceremony Center,Ceremony Center,49.28018,54.452863,0.21856,0.16,0.63,0.404717,Ori,0.850427,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,6de068ced54c41c8
66,left,Ceremony Center,Ceremony Center,49.473918,53.269662,0.2036,0.16,0.63,0.408008,Ori,0.900087,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.06Hz,52e2dee8686f6f2c
67,forward,Ceremony Center,Ceremony Center,49.596069,53.336968,0.18864,0.16,0.63,0.411299,Ori,0.776384,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.47Hz,1dcbd2509e42914f
68,ask,Ceremony Center,Ceremony Center,49.271703,53.601505,0.18168,0.16,0.63,0.41283,Ori,0.83019,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,27aed8ee3668782e
69,offer_help,Ceremony Center,Ceremony Center,49.266785,54.07107,0.17472,0.16,0.63,0.414362,Ori,0.736652,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.40Hz,84551b4ca09396da
70,back,Ceremony Center,Rainwalk Threshold,76.519567,72.432341,0.15766,0.51,0.48,0.446115,Vonn,32.296108,clear,sound=weather bells; smell=wet wool and river stone; temp=0.48; wet=0.51; pulse=2.31Hz,62ac87e98972f7a7
71,forward,Rainwalk Threshold,Ceremony Center,50.391921,53.483742,0.1427,0.16,0.63,0.421406,Ori,0.64817,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,cba5ebd9fbd1d9d1
72,ceremony,Ceremony Center,Ceremony Center,50.499286,54.109787,0.13574,0.16,0.63,0.422937,Ori,0.511214,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,74bdabe8d22d621d
