tick_id,day,settlement_id,resident_id,phrase,relationship_prompt,relationship_days,mastery_before,mastery_after,trust_before,trust_after,phrase_used_in_project,phrase_linked_to_resident_memory,persists_across_reload,no_autonomous_language_claim,no_llm_call
22,2,orchid_engine,Dax,valve wait,did not turn the valve,2,0.16,0.169,0.563,0.568,True,True,True,True,True
23,2,moss_ward,Tala,loom wait,waited during repair,2,0.16,0.167,0.565,0.568,True,True,True,True,True
24,2,glass_harbor,Nia,tea first,shared crossing tea,2,0.16,0.169,0.563,0.568,True,True,True,True,True
25,2,cinder_garden,Pax,seed sleep,kept the path cool,2,0.16,0.167,0.565,0.568,True,True,True,True,True
26,2,lichen_bridge,Rin,signal hush,heard my signal,2,0.16,0.169,0.563,0.568,True,True,True,True,True
27,2,orchid_engine,Eli,orchid rest,let orchid rest,2,0.16,0.167,0.56,0.563,True,True,True,True,True
28,2,moss_ward,Ari,path dry,helped after rain,2,0.16,0.169,0.56,0.565,True,True,True,True,True
29,2,glass_harbor,Oren,net keeper,kept net lane clear,2,0.169,0.176,0.565,0.568,True,True,True,True,True
30,2,cinder_garden,Vale,cool hand,remembered shade first,2,0.167,0.176,0.563,0.568,True,True,True,True,True
31,2,lichen_bridge,Sol,rope safe,waited at the rope,2,0.169,0.176,0.565,0.568,True,True,True,True,True
32,2,orchid_engine,Bea,gear lane,kept the gear lane open,2,0.167,0.176,0.563,0.568,True,True,True,True,True
33,2,moss_ward,Fay,ledger no touch,asked before ledger,2,0.169,0.178,0.565,0.57,True,True,True,True,True
34,2,glass_harbor,Puck,lamp bright,guarded lamp for me,2,0.167,0.176,0.563,0.568,True,True,True,True,True
35,2,cinder_garden,Wren,shade first,left my basket sorted,2,0.169,0.176,0.565,0.568,True,True,True,True,True
36,3,orchid_engine,Eli,valve wait,did not turn the valve,3,0.16,0.169,0.563,0.568,True,True,True,True,True
37,3,moss_ward,Ari,loom wait,waited during repair,3,0.16,0.167,0.565,0.568,True,True,True,True,True
38,3,glass_harbor,Oren,tea first,shared crossing tea,3,0.16,0.169,0.568,0.573,True,True,True,True,True
39,3,cinder_garden,Vale,seed sleep,kept the path cool,3,0.16,0.167,0.568,0.571,True,True,True,True,True
40,3,lichen_bridge,Sol,signal hush,heard my signal,3,0.16,0.169,0.568,0.573,True,True,True,True,True
41,3,orchid_engine,Bea,orchid rest,let orchid rest,3,0.16,0.167,0.568,0.571,True,True,True,True,True
42,3,moss_ward,Fay,path dry,helped after rain,3,0.16,0.169,0.57,0.575,True,True,True,True,True
43,3,glass_harbor,Puck,net keeper,kept net lane clear,3,0.16,0.167,0.568,0.571,True,True,True,True,True
44,3,cinder_garden,Wren,cool hand,remembered shade first,3,0.16,0.169,0.568,0.573,True,True,True,True,True
45,3,lichen_bridge,Kio,rope safe,waited at the rope,3,0.16,0.167,0.563,0.566,True,True,True,True,True
46,3,orchid_engine,Cai,gear lane,kept the gear lane open,3,0.16,0.169,0.565,0.57,True,True,True,True,True
47,3,moss_ward,Milo,ledger no touch,asked before ledger,3,0.169,0.176,0.568,0.571,True,True,True,True,True
48,3,glass_harbor,Sera,lamp bright,guarded lamp for me,3,0.167,0.176,0.568,0.573,True,True,True,True,True
49,3,cinder_garden,Juno,shade first,left my basket sorted,3,0.169,0.176,0.568,0.571,True,True,True,True,True
50,3,lichen_bridge,Luma,bowl shared,kept bowl shared,3,0.167,0.176,0.568,0.573,True,True,True,True,True
51,3,orchid_engine,Dax,valve wait,did not turn the valve,3,0.169,0.176,0.568,0.571,True,True,True,True,True
52,3,moss_ward,Tala,loom wait,waited during repair,3,0.167,0.176,0.568,0.573,True,True,True,True,True
53,3,glass_harbor,Nia,tea first,shared crossing tea,3,0.169,0.176,0.568,0.571,True,True,True,True,True
54,4,lichen_bridge,Kio,signal hush,heard my signal,4,0.16,0.169,0.566,0.571,True,True,True,True,True
55,4,orchid_engine,Cai,orchid rest,let orchid rest,4,0.16,0.167,0.57,0.573,True,True,True,True,True
56,4,moss_ward,Milo,path dry,helped after rain,4,0.16,0.169,0.571,0.576,True,True,True,True,True
57,4,glass_harbor,Sera,net keeper,kept net lane clear,4,0.16,0.167,0.573,0.576,True,True,True,True,True
58,4,cinder_garden,Juno,cool hand,remembered shade first,4,0.16,0.169,0.571,0.576,True,True,True,True,True
59,4,lichen_bridge,Luma,rope safe,waited at the rope,4,0.16,0.167,0.573,0.576,True,True,True,True,True
60,4,orchid_engine,Dax,gear lane,kept the gear lane open,4,0.16,0.169,0.571,0.576,True,True,True,True,True
61,4,moss_ward,Tala,ledger no touch,asked before ledger,4,0.16,0.167,0.573,0.576,True,True,True,True,True
62,4,glass_harbor,Nia,lamp bright,guarded lamp for me,4,0.16,0.169,0.571,0.576,True,True,True,True,True
63,4,cinder_garden,Pax,shade first,left my basket sorted,4,0.16,0.167,0.568,0.571,True,True,True,True,True
64,4,lichen_bridge,Rin,bowl shared,kept bowl shared,4,0.16,0.169,0.568,0.573,True,True,True,True,True
65,4,orchid_engine,Eli,valve wait,did not turn the valve,4,0.169,0.176,0.568,0.571,True,True,True,True,True
66,4,moss_ward,Ari,loom wait,waited during repair,4,0.167,0.176,0.568,0.573,True,True,True,True,True
67,4,glass_harbor,Oren,tea first,shared crossing tea,4,0.169,0.176,0.573,0.576,True,True,True,True,True
68,4,cinder_garden,Vale,seed sleep,kept the path cool,4,0.167,0.176,0.571,0.576,True,True,True,True,True
69,4,lichen_bridge,Sol,signal hush,heard my signal,4,0.169,0.176,0.573,0.576,True,True,True,True,True
70,4,orchid_engine,Bea,orchid rest,let orchid rest,4,0.167,0.176,0.571,0.576,True,True,True,True,True
71,4,moss_ward,Fay,path dry,helped after rain,4,0.169,0.176,0.575,0.578,True,True,True,True,True
72,5,cinder_garden,Pax,cool hand,remembered shade first,5,0.169,0.178,0.571,0.576,True,True,True,True,True
73,5,lichen_bridge,Rin,rope safe,waited at the rope,5,0.167,0.174,0.573,0.576,True,True,True,True,True
74,5,orchid_engine,Eli,gear lane,kept the gear lane open,5,0.16,0.169,0.571,0.576,True,True,True,True,True
75,5,moss_ward,Ari,ledger no touch,asked before ledger,5,0.16,0.167,0.573,0.576,True,True,True,True,True
76,5,glass_harbor,Oren,lamp bright,guarded lamp for me,5,0.16,0.169,0.576,0.581,True,True,True,True,True
77,5,cinder_garden,Vale,shade first,left my basket sorted,5,0.16,0.169,0.576,0.581,True,True,True,True,True
78,5,lichen_bridge,Sol,bowl shared,kept bowl shared,5,0.16,0.169,0.576,0.581,True,True,True,True,True
79,5,orchid_engine,Bea,valve wait,did not turn the valve,5,0.16,0.167,0.576,0.579,True,True,True,True,True
80,5,moss_ward,Fay,loom wait,waited during repair,5,0.16,0.169,0.578,0.583,True,True,True,True,True
81,5,glass_harbor,Puck,tea first,shared crossing tea,5,0.16,0.167,0.571,0.574,True,True,True,True,True
82,5,cinder_garden,Wren,seed sleep,kept the path cool,5,0.16,0.169,0.573,0.578,True,True,True,True,True
83,5,lichen_bridge,Kio,signal hush,heard my signal,5,0.169,0.176,0.571,0.574,True,True,True,True,True
84,5,orchid_engine,Cai,orchid rest,let orchid rest,5,0.167,0.176,0.573,0.578,True,True,True,True,True
85,5,moss_ward,Milo,path dry,helped after rain,5,0.169,0.176,0.576,0.579,True,True,True,True,True
86,5,glass_harbor,Sera,net keeper,kept net lane clear,5,0.167,0.176,0.576,0.581,True,True,True,True,True
87,5,cinder_garden,Juno,cool hand,remembered shade first,5,0.169,0.176,0.576,0.579,True,True,True,True,True
88,5,lichen_bridge,Luma,rope safe,waited at the rope,5,0.167,0.176,0.576,0.581,True,True,True,True,True
89,5,orchid_engine,Dax,gear lane,kept the gear lane open,5,0.169,0.176,0.576,0.579,True,True,True,True,True
90,6,glass_harbor,Puck,lamp bright,guarded lamp for me,6,0.176,0.185,0.574,0.579,True,True,True,True,True
91,6,cinder_garden,Wren,shade first,left my basket sorted,6,0.176,0.183,0.578,0.581,True,True,True,True,True
92,6,lichen_bridge,Kio,bowl shared,kept bowl shared,6,0.167,0.176,0.574,0.579,True,True,True,True,True
93,6,orchid_engine,Cai,valve wait,did not turn the valve,6,0.169,0.176,0.578,0.581,True,True,True,True,True
94,6,moss_ward,Milo,loom wait,waited during repair,6,0.167,0.176,0.579,0.584,True,True,True,True,True
95,6,glass_harbor,Sera,tea first,shared crossing tea,6,0.169,0.176,0.581,0.584,True,True,True,True,True
96,6,cinder_garden,Juno,seed sleep,kept the path cool,6,0.167,0.176,0.579,0.584,True,True,True,True,True
97,6,lichen_bridge,Luma,signal hush,heard my signal,6,0.169,0.176,0.581,0.584,True,True,True,True,True
98,6,orchid_engine,Dax,orchid rest,let orchid rest,6,0.167,0.176,0.579,0.584,True,True,True,True,True
99,6,moss_ward,Tala,path dry,helped after rain,6,0.169,0.176,0.576,0.579,True,True,True,True,True
100,6,glass_harbor,Nia,net keeper,kept net lane clear,6,0.167,0.176,0.576,0.581,True,True,True,True,True
101,6,cinder_garden,Pax,cool hand,remembered shade first,6,0.178,0.185,0.576,0.579,True,True,True,True,True
102,6,lichen_bridge,Rin,rope safe,waited at the rope,6,0.174,0.183,0.576,0.581,True,True,True,True,True
103,6,orchid_engine,Eli,gear lane,kept the gear lane open,6,0.169,0.176,0.576,0.579,True,True,True,True,True
104,6,moss_ward,Ari,ledger no touch,asked before ledger,6,0.167,0.176,0.576,0.581,True,True,True,True,True
105,6,glass_harbor,Oren,lamp bright,guarded lamp for me,6,0.169,0.176,0.581,0.584,True,True,True,True,True
106,6,cinder_garden,Vale,shade first,left my basket sorted,6,0.169,0.178,0.581,0.586,True,True,True,True,True
107,6,lichen_bridge,Sol,bowl shared,kept bowl shared,6,0.169,0.176,0.581,0.584,True,True,True,True,True
108,7,moss_ward,Tala,loom wait,waited during repair,7,0.176,0.185,0.579,0.584,True,True,True,True,True
109,7,glass_harbor,Nia,tea first,shared crossing tea,7,0.176,0.183,0.581,0.584,True,True,True,True,True
110,7,cinder_garden,Pax,seed sleep,kept the path cool,7,0.167,0.176,0.579,0.584,True,True,True,True,True
111,7,lichen_bridge,Rin,signal hush,heard my signal,7,0.169,0.176,0.581,0.584,True,True,True,True,True
112,7,orchid_engine,Eli,orchid rest,let orchid rest,7,0.167,0.176,0.579,0.584,True,True,True,True,True
113,7,moss_ward,Ari,path dry,helped after rain,7,0.169,0.176,0.581,0.584,True,True,True,True,True
114,7,glass_harbor,Oren,net keeper,kept net lane clear,7,0.176,0.185,0.584,0.589,True,True,True,True,True
115,7,cinder_garden,Vale,cool hand,remembered shade first,7,0.176,0.183,0.586,0.589,True,True,True,True,True
116,7,lichen_bridge,Sol,rope safe,waited at the rope,7,0.176,0.185,0.584,0.589,True,True,True,True,True
117,7,orchid_engine,Bea,gear lane,kept the gear lane open,7,0.176,0.183,0.579,0.582,True,True,True,True,True
118,7,moss_ward,Fay,ledger no touch,asked before ledger,7,0.178,0.187,0.583,0.588,True,True,True,True,True
119,7,glass_harbor,Puck,lamp bright,guarded lamp for me,7,0.185,0.192,0.579,0.582,True,True,True,True,True
120,7,cinder_garden,Wren,shade first,left my basket sorted,7,0.183,0.192,0.581,0.586,True,True,True,True,True
121,7,lichen_bridge,Kio,bowl shared,kept bowl shared,7,0.176,0.183,0.579,0.582,True,True,True,True,True
122,7,orchid_engine,Cai,valve wait,did not turn the valve,7,0.176,0.185,0.581,0.586,True,True,True,True,True
123,7,moss_ward,Milo,loom wait,waited during repair,7,0.176,0.183,0.584,0.587,True,True,True,True,True
124,7,glass_harbor,Sera,tea first,shared crossing tea,7,0.176,0.185,0.584,0.589,True,True,True,True,True
125,7,cinder_garden,Juno,seed sleep,kept the path cool,7,0.176,0.183,0.584,0.587,True,True,True,True,True
126,8,orchid_engine,Bea,orchid rest,let orchid rest,8,0.176,0.185,0.582,0.587,True,True,True,True,True
127,8,moss_ward,Fay,path dry,helped after rain,8,0.176,0.183,0.588,0.591,True,True,True,True,True
128,8,glass_harbor,Puck,net keeper,kept net lane clear,8,0.167,0.176,0.582,0.587,True,True,True,True,True
129,8,cinder_garden,Wren,cool hand,remembered shade first,8,0.169,0.176,0.586,0.589,True,True,True,True,True
130,8,lichen_bridge,Kio,rope safe,waited at the rope,8,0.167,0.176,0.582,0.587,True,True,True,True,True
131,8,orchid_engine,Cai,gear lane,kept the gear lane open,8,0.169,0.176,0.586,0.589,True,True,True,True,True
132,8,moss_ward,Milo,ledger no touch,asked before ledger,8,0.176,0.185,0.587,0.592,True,True,True,True,True
133,8,glass_harbor,Sera,lamp bright,guarded lamp for me,8,0.176,0.183,0.589,0.592,True,True,True,True,True
134,8,cinder_garden,Juno,shade first,left my basket sorted,8,0.176,0.185,0.587,0.592,True,True,True,True,True
135,8,lichen_bridge,Luma,bowl shared,kept bowl shared,8,0.176,0.183,0.584,0.587,True,True,True,True,True
136,8,orchid_engine,Dax,valve wait,did not turn the valve,8,0.176,0.185,0.584,0.589,True,True,True,True,True
137,8,moss_ward,Tala,loom wait,waited during repair,8,0.185,0.192,0.584,0.587,True,True,True,True,True
138,8,glass_harbor,Nia,tea first,shared crossing tea,8,0.183,0.192,0.584,0.589,True,True,True,True,True
139,8,cinder_garden,Pax,seed sleep,kept the path cool,8,0.176,0.183,0.584,0.587,True,True,True,True,True
140,8,lichen_bridge,Rin,signal hush,heard my signal,8,0.176,0.185,0.584,0.589,True,True,True,True,True
141,8,orchid_engine,Eli,orchid rest,let orchid rest,8,0.176,0.183,0.584,0.587,True,True,True,True,True
142,8,moss_ward,Ari,path dry,helped after rain,8,0.176,0.185,0.584,0.589,True,True,True,True,True
143,8,glass_harbor,Oren,net keeper,kept net lane clear,8,0.185,0.192,0.589,0.592,True,True,True,True,True
144,9,lichen_bridge,Luma,rope safe,waited at the rope,9,0.176,0.185,0.587,0.592,True,True,True,True,True
145,9,orchid_engine,Dax,gear lane,kept the gear lane open,9,0.176,0.183,0.589,0.592,True,True,True,True,True
146,9,moss_ward,Tala,ledger no touch,asked before ledger,9,0.167,0.176,0.587,0.592,True,True,True,True,True
147,9,glass_harbor,Nia,lamp bright,guarded lamp for me,9,0.169,0.176,0.589,0.592,True,True,True,True,True
148,9,cinder_garden,Pax,shade first,left my basket sorted,9,0.167,0.176,0.587,0.592,True,True,True,True,True
149,9,lichen_bridge,Rin,bowl shared,kept bowl shared,9,0.169,0.176,0.589,0.592,True,True,True,True,True
150,9,orchid_engine,Eli,valve wait,did not turn the valve,9,0.176,0.185,0.587,0.592,True,True,True,True,True
151,9,moss_ward,Ari,loom wait,waited during repair,9,0.176,0.183,0.589,0.592,True,True,True,True,True
152,9,glass_harbor,Oren,tea first,shared crossing tea,9,0.176,0.185,0.592,0.597,True,True,True,True,True
153,9,cinder_garden,Vale,seed sleep,kept the path cool,9,0.176,0.183,0.589,0.592,True,True,True,True,True
154,9,lichen_bridge,Sol,signal hush,heard my signal,9,0.176,0.185,0.589,0.594,True,True,True,True,True
155,9,orchid_engine,Bea,orchid rest,let orchid rest,9,0.185,0.192,0.587,0.59,True,True,True,True,True
156,9,moss_ward,Fay,path dry,helped after rain,9,0.183,0.192,0.591,0.596,True,True,True,True,True
157,9,glass_harbor,Puck,net keeper,kept net lane clear,9,0.176,0.183,0.587,0.59,True,True,True,True,True
158,9,cinder_garden,Wren,cool hand,remembered shade first,9,0.176,0.185,0.589,0.594,True,True,True,True,True
159,9,lichen_bridge,Kio,rope safe,waited at the rope,9,0.176,0.183,0.587,0.59,True,True,True,True,True
160,9,orchid_engine,Cai,gear lane,kept the gear lane open,9,0.176,0.185,0.589,0.594,True,True,True,True,True
161,9,moss_ward,Milo,ledger no touch,asked before ledger,9,0.185,0.192,0.592,0.595,True,True,True,True,True
162,10,cinder_garden,Vale,shade first,left my basket sorted,10,0.178,0.187,0.592,0.597,True,True,True,True,True
163,10,lichen_bridge,Sol,bowl shared,kept bowl shared,10,0.176,0.183,0.594,0.597,True,True,True,True,True
164,10,orchid_engine,Bea,valve wait,did not turn the valve,10,0.167,0.176,0.59,0.595,True,True,True,True,True
165,10,moss_ward,Fay,loom wait,waited during repair,10,0.169,0.176,0.596,0.599,True,True,True,True,True
166,10,glass_harbor,Puck,tea first,shared crossing tea,10,0.167,0.176,0.59,0.595,True,True,True,True,True
167,10,cinder_garden,Wren,seed sleep,kept the path cool,10,0.169,0.176,0.594,0.597,True,True,True,True,True
168,10,lichen_bridge,Kio,signal hush,heard my signal,10,0.176,0.185,0.59,0.595,True,True,True,True,True
169,10,orchid_engine,Cai,orchid rest,let orchid rest,10,0.176,0.183,0.594,0.597,True,True,True,True,True
170,10,moss_ward,Milo,path dry,helped after rain,10,0.176,0.185,0.595,0.6,True,True,True,True,True
171,10,glass_harbor,Sera,net keeper,kept net lane clear,10,0.176,0.183,0.592,0.595,True,True,True,True,True
172,10,cinder_garden,Juno,cool hand,remembered shade first,10,0.176,0.185,0.592,0.597,True,True,True,True,True
173,10,lichen_bridge,Luma,rope safe,waited at the rope,10,0.185,0.192,0.592,0.595,True,True,True,True,True
174,10,orchid_engine,Dax,gear lane,kept the gear lane open,10,0.183,0.192,0.592,0.597,True,True,True,True,True
175,10,moss_ward,Tala,ledger no touch,asked before ledger,10,0.176,0.183,0.592,0.595,True,True,True,True,True
176,10,glass_harbor,Nia,lamp bright,guarded lamp for me,10,0.176,0.185,0.592,0.597,True,True,True,True,True
177,10,cinder_garden,Pax,shade first,left my basket sorted,10,0.176,0.183,0.592,0.595,True,True,True,True,True
178,10,lichen_bridge,Rin,bowl shared,kept bowl shared,10,0.176,0.185,0.592,0.597,True,True,True,True,True
179,10,orchid_engine,Eli,valve wait,did not turn the valve,10,0.185,0.192,0.592,0.595,True,True,True,True,True
180,11,glass_harbor,Sera,tea first,shared crossing tea,11,0.185,0.194,0.595,0.6,True,True,True,True,True
181,11,cinder_garden,Juno,seed sleep,kept the path cool,11,0.183,0.19,0.597,0.6,True,True,True,True,True
182,11,lichen_bridge,Luma,signal hush,heard my signal,11,0.176,0.185,0.595,0.6,True,True,True,True,True
183,11,orchid_engine,Dax,orchid rest,let orchid rest,11,0.176,0.183,0.597,0.6,True,True,True,True,True
184,11,moss_ward,Tala,path dry,helped after rain,11,0.176,0.185,0.595,0.6,True,True,True,True,True
185,11,glass_harbor,Nia,net keeper,kept net lane clear,11,0.176,0.183,0.597,0.6,True,True,True,True,True
186,11,cinder_garden,Pax,cool hand,remembered shade first,11,0.185,0.194,0.595,0.6,True,True,True,True,True
187,11,lichen_bridge,Rin,rope safe,waited at the rope,11,0.183,0.19,0.597,0.6,True,True,True,True,True
188,11,orchid_engine,Eli,gear lane,kept the gear lane open,11,0.176,0.185,0.595,0.6,True,True,True,True,True
189,11,moss_ward,Ari,ledger no touch,asked before ledger,11,0.176,0.183,0.592,0.595,True,True,True,True,True
190,11,glass_harbor,Oren,lamp bright,guarded lamp for me,11,0.176,0.185,0.597,0.602,True,True,True,True,True
191,11,cinder_garden,Vale,shade first,left my basket sorted,11,0.187,0.194,0.597,0.6,True,True,True,True,True
192,11,lichen_bridge,Sol,bowl shared,kept bowl shared,11,0.183,0.192,0.597,0.602,True,True,True,True,True
193,11,orchid_engine,Bea,valve wait,did not turn the valve,11,0.176,0.183,0.595,0.598,True,True,True,True,True
194,11,moss_ward,Fay,loom wait,waited during repair,11,0.176,0.185,0.599,0.604,True,True,True,True,True
195,11,glass_harbor,Puck,tea first,shared crossing tea,11,0.176,0.183,0.595,0.598,True,True,True,True,True
196,11,cinder_garden,Wren,seed sleep,kept the path cool,11,0.176,0.185,0.597,0.602,True,True,True,True,True
197,11,lichen_bridge,Kio,signal hush,heard my signal,11,0.185,0.192,0.595,0.598,True,True,True,True,True
198,12,moss_ward,Ari,path dry,helped after rain,12,0.185,0.194,0.595,0.6,True,True,True,True,True
199,12,glass_harbor,Oren,net keeper,kept net lane clear,12,0.192,0.199,0.602,0.605,True,True,True,True,True
200,12,cinder_garden,Vale,cool hand,remembered shade first,12,0.183,0.192,0.6,0.605,True,True,True,True,True
201,12,lichen_bridge,Sol,rope safe,waited at the rope,12,0.185,0.192,0.602,0.605,True,True,True,True,True
202,12,orchid_engine,Bea,gear lane,kept the gear lane open,12,0.183,0.192,0.598,0.603,True,True,True,True,True
203,12,moss_ward,Fay,ledger no touch,asked before ledger,12,0.187,0.194,0.604,0.607,True,True,True,True,True
204,12,glass_harbor,Puck,lamp bright,guarded lamp for me,12,0.192,0.201,0.598,0.603,True,True,True,True,True
205,12,cinder_garden,Wren,shade first,left my basket sorted,12,0.192,0.199,0.602,0.605,True,True,True,True,True
206,12,lichen_bridge,Kio,bowl shared,kept bowl shared,12,0.183,0.192,0.598,0.603,True,True,True,True,True
207,12,orchid_engine,Cai,valve wait,did not turn the valve,12,0.185,0.192,0.597,0.6,True,True,True,True,True
208,12,moss_ward,Milo,loom wait,waited during repair,12,0.183,0.192,0.6,0.605,True,True,True,True,True
209,12,glass_harbor,Sera,tea first,shared crossing tea,12,0.194,0.201,0.6,0.603,True,True,True,True,True
210,12,cinder_garden,Juno,seed sleep,kept the path cool,12,0.19,0.199,0.6,0.605,True,True,True,True,True
211,12,lichen_bridge,Luma,signal hush,heard my signal,12,0.185,0.192,0.6,0.603,True,True,True,True,True
212,12,orchid_engine,Dax,orchid rest,let orchid rest,12,0.183,0.192,0.6,0.605,True,True,True,True,True
213,12,moss_ward,Tala,path dry,helped after rain,12,0.185,0.192,0.6,0.603,True,True,True,True,True
214,12,glass_harbor,Nia,net keeper,kept net lane clear,12,0.183,0.192,0.6,0.605,True,True,True,True,True
215,12,cinder_garden,Pax,cool hand,remembered shade first,12,0.194,0.201,0.6,0.603,True,True,True,True,True
216,13,orchid_engine,Cai,gear lane,kept the gear lane open,13,0.185,0.194,0.6,0.605,True,True,True,True,True
217,13,moss_ward,Milo,ledger no touch,asked before ledger,13,0.192,0.199,0.605,0.608,True,True,True,True,True
218,13,glass_harbor,Sera,lamp bright,guarded lamp for me,13,0.183,0.192,0.603,0.608,True,True,True,True,True
219,13,cinder_garden,Juno,shade first,left my basket sorted,13,0.185,0.192,0.605,0.608,True,True,True,True,True
220,13,lichen_bridge,Luma,bowl shared,kept bowl shared,13,0.183,0.192,0.603,0.608,True,True,True,True,True
221,13,orchid_engine,Dax,valve wait,did not turn the valve,13,0.185,0.192,0.605,0.608,True,True,True,True,True
222,13,moss_ward,Tala,loom wait,waited during repair,13,0.192,0.201,0.603,0.608,True,True,True,True,True
223,13,glass_harbor,Nia,tea first,shared crossing tea,13,0.192,0.199,0.605,0.608,True,True,True,True,True
224,13,cinder_garden,Pax,seed sleep,kept the path cool,13,0.183,0.192,0.603,0.608,True,True,True,True,True
225,13,lichen_bridge,Rin,signal hush,heard my signal,13,0.185,0.192,0.6,0.603,True,True,True,True,True
226,13,orchid_engine,Eli,orchid rest,let orchid rest,13,0.183,0.192,0.6,0.605,True,True,True,True,True
227,13,moss_ward,Ari,path dry,helped after rain,13,0.194,0.201,0.6,0.603,True,True,True,True,True
228,13,glass_harbor,Oren,net keeper,kept net lane clear,13,0.199,0.208,0.605,0.61,True,True,True,True,True
229,13,cinder_garden,Vale,cool hand,remembered shade first,13,0.192,0.199,0.605,0.608,True,True,True,True,True
230,13,lichen_bridge,Sol,rope safe,waited at the rope,13,0.192,0.201,0.605,0.61,True,True,True,True,True
231,13,orchid_engine,Bea,gear lane,kept the gear lane open,13,0.192,0.201,0.603,0.608,True,True,True,True,True
232,13,moss_ward,Fay,ledger no touch,asked before ledger,13,0.194,0.203,0.607,0.612,True,True,True,True,True
233,13,glass_harbor,Puck,lamp bright,guarded lamp for me,13,0.201,0.208,0.603,0.606,True,True,True,True,True
234,14,lichen_bridge,Rin,bowl shared,kept bowl shared,14,0.185,0.194,0.603,0.608,True,True,True,True,True
235,14,orchid_engine,Eli,valve wait,did not turn the valve,14,0.192,0.199,0.605,0.608,True,True,True,True,True
236,14,moss_ward,Ari,loom wait,waited during repair,14,0.183,0.192,0.603,0.608,True,True,True,True,True
237,14,glass_harbor,Oren,tea first,shared crossing tea,14,0.185,0.192,0.61,0.613,True,True,True,True,True
238,14,cinder_garden,Vale,seed sleep,kept the path cool,14,0.183,0.192,0.608,0.613,True,True,True,True,True
239,14,lichen_bridge,Sol,signal hush,heard my signal,14,0.185,0.192,0.61,0.613,True,True,True,True,True
240,14,orchid_engine,Bea,orchid rest,let orchid rest,14,0.192,0.201,0.608,0.613,True,True,True,True,True
241,14,moss_ward,Fay,path dry,helped after rain,14,0.192,0.199,0.612,0.615,True,True,True,True,True
242,14,glass_harbor,Puck,net keeper,kept net lane clear,14,0.183,0.192,0.606,0.611,True,True,True,True,True
243,14,cinder_garden,Wren,cool hand,remembered shade first,14,0.185,0.192,0.605,0.608,True,True,True,True,True
244,14,lichen_bridge,Kio,rope safe,waited at the rope,14,0.183,0.192,0.603,0.608,True,True,True,True,True
245,14,orchid_engine,Cai,gear lane,kept the gear lane open,14,0.194,0.201,0.605,0.608,True,True,True,True,True
246,14,moss_ward,Milo,ledger no touch,asked before ledger,14,0.199,0.208,0.608,0.613,True,True,True,True,True
