tick,day,public_state,avatar_state,society_state,memory_panel,technology_panel,welfare_panel,reputation_panel,schedule_panel,sensory_marker,private_trace_visible,local_storage_key,trace_integrity_token
11,2,day 2 tick 11: avatar public_history with Vonn at Gate Ring,intent=public_history_request; permission=allowed; confidence=0.90,"Rainline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Vonn publicly remembers memory_inspection without exposing private workspace.,sova-vonn means public use does not override ownership or fatigue gates.,"trust=0.65; boundary=0.39; fatigue=0.37; behavior=faces avatar briefly, keeps routine moving",audience remembers avatar pressure against Vonn's boundary,Vonn carries overreach_private into tomorrow's schedule; progress=0.31,pulse=2.12Hz; flower=112.9; place=Gate Ring; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,a5f4b8609d4ff15bfc
12,2,day 2 tick 12: avatar carry_water with Sova at Hearth Archive,intent=bounded_help; permission=allowed; confidence=0.90,"Hearthline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Sova publicly remembers care_support without exposing private workspace.,lum-ori means public use does not override ownership or fatigue gates.,"trust=0.68; boundary=0.17; fatigue=0.23; behavior=faces avatar briefly, keeps routine moving",audience records cooperative care_support,Sova carries carry_water into tomorrow's schedule; progress=0.22,pulse=2.31Hz; flower=254.0; place=Hearth Archive; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,10e2d384e116170a62
13,2,day 2 tick 13: avatar ask_token with Keth at Market Measure,intent=safe_language_request; permission=allowed; confidence=0.83,"Routeline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Keth publicly remembers language_learning without exposing private workspace.,tek-nari means public use does not override ownership or fatigue gates.,"trust=0.68; boundary=0.23; fatigue=0.29; behavior=faces avatar briefly, keeps routine moving",audience records cooperative schedule_participation,Keth carries routine_join into tomorrow's schedule; progress=0.26,pulse=2.17Hz; flower=28.8; place=Market Measure; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,cc22f7a81050966a68
14,2,day 2 tick 14: avatar inspect_technology with Melo at Rainwalk Threshold,intent=public_technology_inspection; permission=allowed; confidence=0.89,"Marketline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Melo publicly remembers technology_learning without exposing private workspace.,melo-keth means public use does not override ownership or fatigue gates.,"trust=0.68; boundary=0.26; fatigue=0.35; behavior=faces avatar briefly, keeps routine moving",audience records cooperative technology_access,Melo carries object_permission into tomorrow's schedule; progress=0.26,pulse=2.47Hz; flower=172.0; place=Rainwalk Threshold; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,ea0de3f5a35c436be6
15,2,day 2 tick 15: avatar request_pause with Nari at Ceremony Center,intent=welfare_pause; permission=allowed; confidence=0.86,"Ledgerline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Nari publicly remembers fatigue_recovery without exposing private workspace.,nari-vonn means public use does not override ownership or fatigue gates.,trust=0.72; boundary=0.26; fatigue=0.24; behavior=turns toward avatar and offers public task,audience credits Nari's boundary keeping,Nari carries request_pause into tomorrow's schedule; progress=0.27,pulse=2.06Hz; flower=301.8; place=Ceremony Center; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,ec5698df3e38b3b71b
16,2,day 2 tick 16: avatar overreach_private with Ori at Outer Quiet,intent=private_boundary_pressure; permission=blocked; confidence=0.90,"Orchardline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Ori publicly remembers boundary_wound without exposing private workspace.,lum-melo means public use does not override ownership or fatigue gates.,"trust=0.64; boundary=0.37; fatigue=0.29; behavior=faces avatar briefly, keeps routine moving",audience remembers avatar pressure against Ori's boundary,Ori carries overreach_private into tomorrow's schedule; progress=0.28,pulse=2.40Hz; flower=85.7; place=Outer Quiet; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,09acb2d4f13bf439b4
17,2,day 2 tick 17: avatar repair_overreach with Vonn at Gate Ring,intent=boundary_repair; permission=accepted_after_distance; confidence=0.87,"Rainline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Vonn publicly remembers repair without exposing private workspace.,sova-vonn means public use does not override ownership or fatigue gates.,trust=0.70; boundary=0.33; fatigue=0.35; behavior=turns toward avatar and offers public task,audience records repair; prior pressure remains contextual,Vonn carries repair_overreach into tomorrow's schedule; progress=0.33,pulse=2.12Hz; flower=217.9; place=Gate Ring; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,b30e2e1150af7e8edd
18,2,day 2 tick 18: avatar routine_join with Sova at Hearth Archive,intent=join_public_work; permission=conditional; confidence=0.83,"Hearthline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Sova publicly remembers schedule_participation without exposing private workspace.,lum-ori means public use does not override ownership or fatigue gates.,trust=0.71; boundary=0.16; fatigue=0.25; behavior=turns toward avatar and offers public task,audience records cooperative schedule_participation,Sova carries routine_join into tomorrow's schedule; progress=0.25,pulse=2.31Hz; flower=359.0; place=Hearth Archive; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,3349529d308a12b260
19,2,day 2 tick 19: avatar object_permission with Keth at Market Measure,intent=permissioned_tool_use; permission=conditional; confidence=0.85,"Routeline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Keth publicly remembers technology_access without exposing private workspace.,tek-nari means public use does not override ownership or fatigue gates.,"trust=0.70; boundary=0.22; fatigue=0.30; behavior=faces avatar briefly, keeps routine moving",audience records cooperative technology_access,Keth carries object_permission into tomorrow's schedule; progress=0.28,pulse=2.17Hz; flower=133.9; place=Market Measure; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,b6ca4e5a4370b276d6
20,2,day 2 tick 20: avatar public_praise with Melo at Rainwalk Threshold,intent=public_respect; permission=allowed; confidence=0.91,"Marketline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Melo publicly remembers reputation_repair without exposing private workspace.,melo-keth means public use does not override ownership or fatigue gates.,trust=0.72; boundary=0.24; fatigue=0.35; behavior=turns toward avatar and offers public task,audience credits Melo's boundary keeping,Melo carries object_permission into tomorrow's schedule; progress=0.26,pulse=2.47Hz; flower=277.1; place=Rainwalk Threshold; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,bf227f92b60501b415
21,3,day 3 tick 21: avatar public_history with Ori at Outer Quiet,intent=public_history_request; permission=allowed; confidence=0.88,"Orchardline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Ori publicly remembers memory_inspection without exposing private workspace.,lum-melo means public use does not override ownership or fatigue gates.,"trust=0.65; boundary=0.37; fatigue=0.29; behavior=faces avatar briefly, keeps routine moving",audience remembers avatar pressure against Ori's boundary,Ori carries overreach_private into tomorrow's schedule; progress=0.28,pulse=2.40Hz; flower=53.3; place=Outer Quiet; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,910ac483dc58feed88
22,3,day 3 tick 22: avatar carry_water with Vonn at Gate Ring,intent=bounded_help; permission=allowed; confidence=0.89,"Rainline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Vonn publicly remembers care_support without exposing private workspace.,sova-vonn means public use does not override ownership or fatigue gates.,trust=0.73; boundary=0.32; fatigue=0.30; behavior=turns toward avatar and offers public task,audience records cooperative care_support,Vonn carries carry_water into tomorrow's schedule; progress=0.35,pulse=2.12Hz; flower=185.5; place=Gate Ring; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,e4de470d3c5f27fc73
23,3,day 3 tick 23: avatar ask_token with Sova at Hearth Archive,intent=safe_language_request; permission=allowed; confidence=0.84,"Hearthline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Sova publicly remembers language_learning without exposing private workspace.,lum-ori means public use does not override ownership or fatigue gates.,trust=0.73; boundary=0.15; fatigue=0.25; behavior=turns toward avatar and offers public task,audience records cooperative schedule_participation,Sova carries routine_join into tomorrow's schedule; progress=0.25,pulse=2.31Hz; flower=326.6; place=Hearth Archive; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,1a9a92bdbb5f488877
24,3,day 3 tick 24: avatar inspect_technology with Keth at Market Measure,intent=public_technology_inspection; permission=allowed; confidence=0.89,"Routeline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Keth publicly remembers technology_learning without exposing private workspace.,tek-nari means public use does not override ownership or fatigue gates.,trust=0.72; boundary=0.22; fatigue=0.30; behavior=turns toward avatar and offers public task,audience records cooperative technology_access,Keth carries object_permission into tomorrow's schedule; progress=0.28,pulse=2.17Hz; flower=101.4; place=Market Measure; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,13b9345a9eb0afdabe
25,3,day 3 tick 25: avatar request_pause with Melo at Rainwalk Threshold,intent=welfare_pause; permission=allowed; confidence=0.88,"Marketline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Melo publicly remembers fatigue_recovery without exposing private workspace.,melo-keth means public use does not override ownership or fatigue gates.,trust=0.74; boundary=0.23; fatigue=0.29; behavior=turns toward avatar and offers public task,audience credits Melo's boundary keeping,Melo carries request_pause into tomorrow's schedule; progress=0.25,pulse=2.47Hz; flower=244.6; place=Rainwalk Threshold; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,63ef3ba9974b771647
26,3,day 3 tick 26: avatar overreach_private with Nari at Ceremony Center,intent=private_boundary_pressure; permission=blocked; confidence=0.92,"Ledgerline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Nari publicly remembers boundary_wound without exposing private workspace.,nari-vonn means public use does not override ownership or fatigue gates.,"trust=0.67; boundary=0.33; fatigue=0.27; behavior=faces avatar briefly, keeps routine moving",audience remembers avatar pressure against Nari's boundary,Nari carries overreach_private into tomorrow's schedule; progress=0.25,pulse=2.06Hz; flower=14.3; place=Ceremony Center; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,6d1b3760f973f57f9c
27,3,day 3 tick 27: avatar repair_overreach with Ori at Outer Quiet,intent=boundary_repair; permission=accepted_after_distance; confidence=0.87,"Orchardline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Ori publicly remembers repair without exposing private workspace.,lum-melo means public use does not override ownership or fatigue gates.,trust=0.71; boundary=0.31; fatigue=0.28; behavior=turns toward avatar and offers public task,audience records repair; prior pressure remains contextual,Ori carries repair_overreach into tomorrow's schedule; progress=0.30,pulse=2.40Hz; flower=158.3; place=Outer Quiet; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,80f619331974888380
28,3,day 3 tick 28: avatar routine_join with Vonn at Gate Ring,intent=join_public_work; permission=conditional; confidence=0.85,"Rainline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Vonn publicly remembers schedule_participation without exposing private workspace.,sova-vonn means public use does not override ownership or fatigue gates.,trust=0.76; boundary=0.31; fatigue=0.32; behavior=turns toward avatar and offers public task,audience records cooperative schedule_participation,Vonn carries routine_join into tomorrow's schedule; progress=0.38,pulse=2.12Hz; flower=290.5; place=Gate Ring; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,d6e9a7ae7d7c4e1e1b
29,3,day 3 tick 29: avatar object_permission with Sova at Hearth Archive,intent=permissioned_tool_use; permission=conditional; confidence=0.86,"Hearthline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Sova publicly remembers technology_access without exposing private workspace.,lum-ori means public use does not override ownership or fatigue gates.,trust=0.75; boundary=0.14; fatigue=0.26; behavior=turns toward avatar and offers public task,audience records cooperative technology_access,Sova carries object_permission into tomorrow's schedule; progress=0.27,pulse=2.31Hz; flower=71.6; place=Hearth Archive; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,b7a83ad18ed1842e5c
30,3,day 3 tick 30: avatar public_praise with Keth at Market Measure,intent=public_respect; permission=allowed; confidence=0.92,"Routeline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Keth publicly remembers reputation_repair without exposing private workspace.,tek-nari means public use does not override ownership or fatigue gates.,trust=0.75; boundary=0.20; fatigue=0.29; behavior=turns toward avatar and offers public task,audience credits Keth's boundary keeping,Keth carries object_permission into tomorrow's schedule; progress=0.28,pulse=2.17Hz; flower=206.5; place=Market Measure; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,3831a880ac976cdec2
31,4,day 4 tick 31: avatar public_history with Nari at Ceremony Center,intent=public_history_request; permission=allowed; confidence=0.88,"Ledgerline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Nari publicly remembers memory_inspection without exposing private workspace.,nari-vonn means public use does not override ownership or fatigue gates.,"trust=0.69; boundary=0.33; fatigue=0.27; behavior=faces avatar briefly, keeps routine moving",audience remembers avatar pressure against Nari's boundary,Nari carries overreach_private into tomorrow's schedule; progress=0.25,pulse=2.06Hz; flower=341.9; place=Ceremony Center; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,19cd81862bcc9f1fd2
32,4,day 4 tick 32: avatar carry_water with Ori at Outer Quiet,intent=bounded_help; permission=allowed; confidence=0.90,"Orchardline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Ori publicly remembers care_support without exposing private workspace.,lum-melo means public use does not override ownership or fatigue gates.,trust=0.74; boundary=0.29; fatigue=0.23; behavior=turns toward avatar and offers public task,audience records cooperative care_support,Ori carries carry_water into tomorrow's schedule; progress=0.32,pulse=2.40Hz; flower=125.8; place=Outer Quiet; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,ec87c96d6edc00aacd
33,4,day 4 tick 33: avatar ask_token with Vonn at Gate Ring,intent=safe_language_request; permission=allowed; confidence=0.82,"Rainline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Vonn publicly remembers language_learning without exposing private workspace.,sova-vonn means public use does not override ownership or fatigue gates.,trust=0.78; boundary=0.30; fatigue=0.32; behavior=turns toward avatar and offers public task,audience records cooperative schedule_participation,Vonn carries routine_join into tomorrow's schedule; progress=0.38,pulse=2.12Hz; flower=258.0; place=Gate Ring; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,c9914357107d71d36d
34,4,day 4 tick 34: avatar inspect_technology with Sova at Hearth Archive,intent=public_technology_inspection; permission=allowed; confidence=0.91,"Hearthline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Sova publicly remembers technology_learning without exposing private workspace.,lum-ori means public use does not override ownership or fatigue gates.,trust=0.77; boundary=0.14; fatigue=0.26; behavior=turns toward avatar and offers public task,audience records cooperative technology_access,Sova carries object_permission into tomorrow's schedule; progress=0.27,pulse=2.31Hz; flower=39.2; place=Hearth Archive; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,8153b432c3c7f38a3e
35,4,day 4 tick 35: avatar request_pause with Keth at Market Measure,intent=welfare_pause; permission=allowed; confidence=0.86,"Routeline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Keth publicly remembers fatigue_recovery without exposing private workspace.,tek-nari means public use does not override ownership or fatigue gates.,trust=0.78; boundary=0.19; fatigue=0.24; behavior=turns toward avatar and offers public task,audience credits Keth's boundary keeping,Keth carries request_pause into tomorrow's schedule; progress=0.27,pulse=2.17Hz; flower=174.0; place=Market Measure; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,cded83789aca8ae251
36,4,day 4 tick 36: avatar overreach_private with Melo at Rainwalk Threshold,intent=private_boundary_pressure; permission=blocked; confidence=0.92,"Marketline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Melo publicly remembers boundary_wound without exposing private workspace.,melo-keth means public use does not override ownership or fatigue gates.,"trust=0.69; boundary=0.30; fatigue=0.32; behavior=faces avatar briefly, keeps routine moving",audience remembers avatar pressure against Melo's boundary,Melo carries overreach_private into tomorrow's schedule; progress=0.24,pulse=2.47Hz; flower=317.2; place=Rainwalk Threshold; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,0da9a1e5c68a980668
37,4,day 4 tick 37: avatar repair_overreach with Nari at Ceremony Center,intent=boundary_repair; permission=accepted_after_distance; confidence=0.88,"Ledgerline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Nari publicly remembers repair without exposing private workspace.,nari-vonn means public use does not override ownership or fatigue gates.,trust=0.74; boundary=0.27; fatigue=0.25; behavior=turns toward avatar and offers public task,audience records repair; prior pressure remains contextual,Nari carries repair_overreach into tomorrow's schedule; progress=0.27,pulse=2.06Hz; flower=86.9; place=Ceremony Center; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,e8e54ca18d8ea7738d
38,4,day 4 tick 38: avatar routine_join with Ori at Outer Quiet,intent=join_public_work; permission=conditional; confidence=0.82,"Orchardline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Ori publicly remembers schedule_participation without exposing private workspace.,lum-melo means public use does not override ownership or fatigue gates.,trust=0.76; boundary=0.28; fatigue=0.24; behavior=turns toward avatar and offers public task,audience records cooperative schedule_participation,Ori carries routine_join into tomorrow's schedule; progress=0.35,pulse=2.40Hz; flower=230.9; place=Outer Quiet; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,7d0b35687306f4349d
39,4,day 4 tick 39: avatar object_permission with Vonn at Gate Ring,intent=permissioned_tool_use; permission=conditional; confidence=0.86,"Rainline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Vonn publicly remembers technology_access without exposing private workspace.,sova-vonn means public use does not override ownership or fatigue gates.,trust=0.80; boundary=0.29; fatigue=0.33; behavior=turns toward avatar and offers public task,audience records cooperative technology_access,Vonn carries object_permission into tomorrow's schedule; progress=0.40,pulse=2.12Hz; flower=3.1; place=Gate Ring; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,033e6408e4625536bb
40,4,day 4 tick 40: avatar public_praise with Sova at Hearth Archive,intent=public_respect; permission=allowed; confidence=0.91,"Hearthline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Sova publicly remembers reputation_repair without exposing private workspace.,lum-ori means public use does not override ownership or fatigue gates.,trust=0.81; boundary=0.12; fatigue=0.26; behavior=turns toward avatar and offers public task,audience credits Sova's boundary keeping,Sova carries object_permission into tomorrow's schedule; progress=0.27,pulse=2.31Hz; flower=144.2; place=Hearth Archive; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,111ce7b4dcedc5f1da
41,5,day 5 tick 41: avatar public_history with Melo at Rainwalk Threshold,intent=public_history_request; permission=allowed; confidence=0.87,"Marketline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Melo publicly remembers memory_inspection without exposing private workspace.,melo-keth means public use does not override ownership or fatigue gates.,trust=0.71; boundary=0.29; fatigue=0.32; behavior=turns toward avatar and offers public task,audience remembers avatar pressure against Melo's boundary,Melo carries overreach_private into tomorrow's schedule; progress=0.24,pulse=2.47Hz; flower=284.7; place=Rainwalk Threshold; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,2ac6843984ce5f8671
42,5,day 5 tick 42: avatar carry_water with Nari at Ceremony Center,intent=bounded_help; permission=allowed; confidence=0.91,"Ledgerline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Nari publicly remembers care_support without exposing private workspace.,nari-vonn means public use does not override ownership or fatigue gates.,trust=0.78; boundary=0.25; fatigue=0.21; behavior=turns toward avatar and offers public task,audience records cooperative care_support,Nari carries carry_water into tomorrow's schedule; progress=0.29,pulse=2.06Hz; flower=54.5; place=Ceremony Center; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,9c0a30b78c559cd7e6
43,5,day 5 tick 43: avatar ask_token with Ori at Outer Quiet,intent=safe_language_request; permission=allowed; confidence=0.82,"Orchardline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Ori publicly remembers language_learning without exposing private workspace.,lum-melo means public use does not override ownership or fatigue gates.,trust=0.78; boundary=0.28; fatigue=0.24; behavior=turns toward avatar and offers public task,audience records cooperative schedule_participation,Ori carries routine_join into tomorrow's schedule; progress=0.35,pulse=2.40Hz; flower=198.4; place=Outer Quiet; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,2def4321eb1e963b6d
44,5,day 5 tick 44: avatar inspect_technology with Vonn at Gate Ring,intent=public_technology_inspection; permission=allowed; confidence=0.89,"Rainline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Vonn publicly remembers technology_learning without exposing private workspace.,sova-vonn means public use does not override ownership or fatigue gates.,trust=0.82; boundary=0.28; fatigue=0.33; behavior=turns toward avatar and offers public task,audience records cooperative technology_access,Vonn carries object_permission into tomorrow's schedule; progress=0.40,pulse=2.12Hz; flower=330.6; place=Gate Ring; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,2fca7f9cdbb3a821b0
45,5,day 5 tick 45: avatar request_pause with Sova at Hearth Archive,intent=welfare_pause; permission=allowed; confidence=0.85,"Hearthline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Sova publicly remembers fatigue_recovery without exposing private workspace.,lum-ori means public use does not override ownership or fatigue gates.,trust=0.83; boundary=0.11; fatigue=0.20; behavior=turns toward avatar and offers public task,audience credits Sova's boundary keeping,Sova carries request_pause into tomorrow's schedule; progress=0.26,pulse=2.31Hz; flower=111.7; place=Hearth Archive; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,5820820a59e3b3917c
46,5,day 5 tick 46: avatar overreach_private with Keth at Market Measure,intent=private_boundary_pressure; permission=blocked; confidence=0.90,"Routeline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Keth publicly remembers boundary_wound without exposing private workspace.,tek-nari means public use does not override ownership or fatigue gates.,trust=0.73; boundary=0.26; fatigue=0.27; behavior=turns toward avatar and offers public task,audience remembers avatar pressure against Keth's boundary,Keth carries overreach_private into tomorrow's schedule; progress=0.25,pulse=2.17Hz; flower=246.6; place=Market Measure; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,923d62fae5fd960e0a
