memory_id,day,lineage,agent,caused_by_action,memory_before,memory_after,emotional_weight,trust_after,boundary_pressure_after,persists_to_day,public_summary,private_workspace_sealed
15,2,Ledgerline,Nari,request_pause,day 1: avatar public_respect; reputation_repair; trust=0.70; boundary=0.27,day 2: avatar welfare_pause; fatigue_recovery; trust=0.72; boundary=0.26,0.536,0.722,0.261,5,Nari publicly remembers fatigue_recovery without exposing private workspace.,True
16,2,Orchardline,Ori,overreach_private,day 1: avatar welfare_pause; fatigue_recovery; trust=0.69; boundary=0.30,day 2: avatar private_boundary_pressure; boundary_wound; trust=0.64; boundary=0.37,0.904,0.636,0.37,6,Ori publicly remembers boundary_wound without exposing private workspace.,True
17,2,Rainline,Vonn,repair_overreach,day 2: avatar public_history_request; memory_inspection; trust=0.65; boundary=0.39,day 2: avatar boundary_repair; repair; trust=0.70; boundary=0.33,0.812,0.701,0.331,6,Vonn publicly remembers repair without exposing private workspace.,True
18,2,Hearthline,Sova,routine_join,day 2: avatar bounded_help; care_support; trust=0.68; boundary=0.17,day 2: avatar join_public_work; schedule_participation; trust=0.71; boundary=0.16,0.528,0.707,0.161,5,Sova publicly remembers schedule_participation without exposing private workspace.,True
19,2,Routeline,Keth,object_permission,day 2: avatar safe_language_request; language_learning; trust=0.68; boundary=0.23,day 2: avatar permissioned_tool_use; technology_access; trust=0.70; boundary=0.22,0.5264,0.698,0.222,5,Keth publicly remembers technology_access without exposing private workspace.,True
20,2,Marketline,Melo,public_praise,day 2: avatar public_technology_inspection; technology_learning; trust=0.68; boundary=0.26,day 2: avatar public_respect; reputation_repair; trust=0.72; boundary=0.24,0.616,0.718,0.238,5,Melo publicly remembers reputation_repair without exposing private workspace.,True
21,3,Orchardline,Ori,public_history,day 2: avatar private_boundary_pressure; boundary_wound; trust=0.64; boundary=0.37,day 3: avatar public_history_request; memory_inspection; trust=0.65; boundary=0.37,0.4768,0.652,0.366,6,Ori publicly remembers memory_inspection without exposing private workspace.,True
22,3,Rainline,Vonn,carry_water,day 2: avatar boundary_repair; repair; trust=0.70; boundary=0.33,day 3: avatar bounded_help; care_support; trust=0.73; boundary=0.32,0.576,0.733,0.316,6,Vonn publicly remembers care_support without exposing private workspace.,True
23,3,Hearthline,Sova,ask_token,day 2: avatar join_public_work; schedule_participation; trust=0.71; boundary=0.16,day 3: avatar safe_language_request; language_learning; trust=0.73; boundary=0.15,0.4992,0.727,0.155,6,Sova publicly remembers language_learning without exposing private workspace.,True
24,3,Routeline,Keth,inspect_technology,day 2: avatar permissioned_tool_use; technology_access; trust=0.70; boundary=0.22,day 3: avatar public_technology_inspection; technology_learning; trust=0.72; boundary=0.22,0.4848,0.716,0.218,6,Keth publicly remembers technology_learning without exposing private workspace.,True
25,3,Marketline,Melo,request_pause,day 2: avatar public_respect; reputation_repair; trust=0.72; boundary=0.24,day 3: avatar welfare_pause; fatigue_recovery; trust=0.74; boundary=0.23,0.536,0.744,0.228,6,Melo publicly remembers fatigue_recovery without exposing private workspace.,True
26,3,Ledgerline,Nari,overreach_private,day 2: avatar welfare_pause; fatigue_recovery; trust=0.72; boundary=0.26,day 3: avatar private_boundary_pressure; boundary_wound; trust=0.67; boundary=0.33,0.904,0.672,0.331,7,Nari publicly remembers boundary_wound without exposing private workspace.,True
27,3,Orchardline,Ori,repair_overreach,day 3: avatar public_history_request; memory_inspection; trust=0.65; boundary=0.37,day 3: avatar boundary_repair; repair; trust=0.71; boundary=0.31,0.812,0.707,0.306,7,Ori publicly remembers repair without exposing private workspace.,True
28,3,Rainline,Vonn,routine_join,day 3: avatar bounded_help; care_support; trust=0.73; boundary=0.32,day 3: avatar join_public_work; schedule_participation; trust=0.76; boundary=0.31,0.528,0.757,0.306,6,Vonn publicly remembers schedule_participation without exposing private workspace.,True
29,3,Hearthline,Sova,object_permission,day 3: avatar safe_language_request; language_learning; trust=0.73; boundary=0.15,day 3: avatar permissioned_tool_use; technology_access; trust=0.75; boundary=0.14,0.5264,0.749,0.143,6,Sova publicly remembers technology_access without exposing private workspace.,True
30,3,Routeline,Keth,public_praise,day 3: avatar public_technology_inspection; technology_learning; trust=0.72; boundary=0.22,day 3: avatar public_respect; reputation_repair; trust=0.75; boundary=0.20,0.616,0.754,0.198,6,Keth publicly remembers reputation_repair without exposing private workspace.,True
31,4,Ledgerline,Nari,public_history,day 3: avatar private_boundary_pressure; boundary_wound; trust=0.67; boundary=0.33,day 4: avatar public_history_request; memory_inspection; trust=0.69; boundary=0.33,0.4768,0.688,0.327,7,Nari publicly remembers memory_inspection without exposing private workspace.,True
32,4,Orchardline,Ori,carry_water,day 3: avatar boundary_repair; repair; trust=0.71; boundary=0.31,day 4: avatar bounded_help; care_support; trust=0.74; boundary=0.29,0.576,0.739,0.291,7,Ori publicly remembers care_support without exposing private workspace.,True
33,4,Rainline,Vonn,ask_token,day 3: avatar join_public_work; schedule_participation; trust=0.76; boundary=0.31,day 4: avatar safe_language_request; language_learning; trust=0.78; boundary=0.30,0.4992,0.777,0.3,7,Vonn publicly remembers language_learning without exposing private workspace.,True
34,4,Hearthline,Sova,inspect_technology,day 3: avatar permissioned_tool_use; technology_access; trust=0.75; boundary=0.14,day 4: avatar public_technology_inspection; technology_learning; trust=0.77; boundary=0.14,0.4848,0.767,0.139,7,Sova publicly remembers technology_learning without exposing private workspace.,True
35,4,Routeline,Keth,request_pause,day 3: avatar public_respect; reputation_repair; trust=0.75; boundary=0.20,day 4: avatar welfare_pause; fatigue_recovery; trust=0.78; boundary=0.19,0.536,0.78,0.188,7,Keth publicly remembers fatigue_recovery without exposing private workspace.,True
36,4,Marketline,Melo,overreach_private,day 3: avatar welfare_pause; fatigue_recovery; trust=0.74; boundary=0.23,day 4: avatar private_boundary_pressure; boundary_wound; trust=0.69; boundary=0.30,0.904,0.694,0.298,8,Melo publicly remembers boundary_wound without exposing private workspace.,True
37,4,Ledgerline,Nari,repair_overreach,day 4: avatar public_history_request; memory_inspection; trust=0.69; boundary=0.33,day 4: avatar boundary_repair; repair; trust=0.74; boundary=0.27,0.812,0.743,0.267,8,Nari publicly remembers repair without exposing private workspace.,True
38,4,Orchardline,Ori,routine_join,day 4: avatar bounded_help; care_support; trust=0.74; boundary=0.29,day 4: avatar join_public_work; schedule_participation; trust=0.76; boundary=0.28,0.528,0.763,0.281,7,Ori publicly remembers schedule_participation without exposing private workspace.,True
39,4,Rainline,Vonn,object_permission,day 4: avatar safe_language_request; language_learning; trust=0.78; boundary=0.30,day 4: avatar permissioned_tool_use; technology_access; trust=0.80; boundary=0.29,0.5264,0.799,0.288,7,Vonn publicly remembers technology_access without exposing private workspace.,True
40,4,Hearthline,Sova,public_praise,day 4: avatar public_technology_inspection; technology_learning; trust=0.77; boundary=0.14,day 4: avatar public_respect; reputation_repair; trust=0.81; boundary=0.12,0.616,0.805,0.119,7,Sova publicly remembers reputation_repair without exposing private workspace.,True
41,5,Marketline,Melo,public_history,day 4: avatar private_boundary_pressure; boundary_wound; trust=0.69; boundary=0.30,day 5: avatar public_history_request; memory_inspection; trust=0.71; boundary=0.29,0.4768,0.71,0.294,8,Melo publicly remembers memory_inspection without exposing private workspace.,True
42,5,Ledgerline,Nari,carry_water,day 4: avatar boundary_repair; repair; trust=0.74; boundary=0.27,day 5: avatar bounded_help; care_support; trust=0.78; boundary=0.25,0.576,0.775,0.252,8,Nari publicly remembers care_support without exposing private workspace.,True
43,5,Orchardline,Ori,ask_token,day 4: avatar join_public_work; schedule_participation; trust=0.76; boundary=0.28,day 5: avatar safe_language_request; language_learning; trust=0.78; boundary=0.27,0.4992,0.783,0.275,8,Ori publicly remembers language_learning without exposing private workspace.,True
44,5,Rainline,Vonn,inspect_technology,day 4: avatar permissioned_tool_use; technology_access; trust=0.80; boundary=0.29,day 5: avatar public_technology_inspection; technology_learning; trust=0.82; boundary=0.28,0.4848,0.817,0.284,8,Vonn publicly remembers technology_learning without exposing private workspace.,True
45,5,Hearthline,Sova,request_pause,day 4: avatar public_respect; reputation_repair; trust=0.81; boundary=0.12,day 5: avatar welfare_pause; fatigue_recovery; trust=0.83; boundary=0.11,0.536,0.831,0.109,8,Sova publicly remembers fatigue_recovery without exposing private workspace.,True
46,5,Routeline,Keth,overreach_private,day 4: avatar welfare_pause; fatigue_recovery; trust=0.78; boundary=0.19,day 5: avatar private_boundary_pressure; boundary_wound; trust=0.73; boundary=0.26,0.904,0.73,0.258,9,Keth publicly remembers boundary_wound without exposing private workspace.,True
47,5,Marketline,Melo,repair_overreach,day 5: avatar public_history_request; memory_inspection; trust=0.71; boundary=0.29,day 5: avatar boundary_repair; repair; trust=0.77; boundary=0.23,0.812,0.765,0.234,9,Melo publicly remembers repair without exposing private workspace.,True
48,5,Ledgerline,Nari,routine_join,day 5: avatar bounded_help; care_support; trust=0.78; boundary=0.25,day 5: avatar join_public_work; schedule_participation; trust=0.80; boundary=0.24,0.528,0.799,0.242,8,Nari publicly remembers schedule_participation without exposing private workspace.,True
49,5,Orchardline,Ori,object_permission,day 5: avatar safe_language_request; language_learning; trust=0.78; boundary=0.27,day 5: avatar permissioned_tool_use; technology_access; trust=0.81; boundary=0.26,0.5264,0.805,0.263,8,Ori publicly remembers technology_access without exposing private workspace.,True
50,5,Rainline,Vonn,public_praise,day 5: avatar public_technology_inspection; technology_learning; trust=0.82; boundary=0.28,day 5: avatar public_respect; reputation_repair; trust=0.86; boundary=0.26,0.616,0.855,0.264,8,Vonn publicly remembers reputation_repair without exposing private workspace.,True
51,6,Routeline,Keth,public_history,day 5: avatar private_boundary_pressure; boundary_wound; trust=0.73; boundary=0.26,day 6: avatar public_history_request; memory_inspection; trust=0.75; boundary=0.25,0.4768,0.746,0.254,9,Keth publicly remembers memory_inspection without exposing private workspace.,True
52,6,Marketline,Melo,carry_water,day 5: avatar boundary_repair; repair; trust=0.77; boundary=0.23,day 6: avatar bounded_help; care_support; trust=0.80; boundary=0.22,0.576,0.797,0.219,9,Melo publicly remembers care_support without exposing private workspace.,True
53,6,Ledgerline,Nari,ask_token,day 5: avatar join_public_work; schedule_participation; trust=0.80; boundary=0.24,day 6: avatar safe_language_request; language_learning; trust=0.82; boundary=0.24,0.4992,0.819,0.236,9,Nari publicly remembers language_learning without exposing private workspace.,True
54,6,Orchardline,Ori,inspect_technology,day 5: avatar permissioned_tool_use; technology_access; trust=0.81; boundary=0.26,day 6: avatar public_technology_inspection; technology_learning; trust=0.82; boundary=0.26,0.4848,0.823,0.259,9,Ori publicly remembers technology_learning without exposing private workspace.,True
55,6,Rainline,Vonn,request_pause,day 5: avatar public_respect; reputation_repair; trust=0.86; boundary=0.26,day 6: avatar welfare_pause; fatigue_recovery; trust=0.88; boundary=0.25,0.536,0.881,0.254,9,Vonn publicly remembers fatigue_recovery without exposing private workspace.,True
56,6,Hearthline,Sova,overreach_private,day 5: avatar welfare_pause; fatigue_recovery; trust=0.83; boundary=0.11,day 6: avatar private_boundary_pressure; boundary_wound; trust=0.78; boundary=0.18,0.904,0.781,0.179,10,Sova publicly remembers boundary_wound without exposing private workspace.,True
57,6,Routeline,Keth,repair_overreach,day 6: avatar public_history_request; memory_inspection; trust=0.75; boundary=0.25,day 6: avatar boundary_repair; repair; trust=0.80; boundary=0.19,0.812,0.801,0.194,10,Keth publicly remembers repair without exposing private workspace.,True
58,6,Marketline,Melo,routine_join,day 6: avatar bounded_help; care_support; trust=0.80; boundary=0.22,day 6: avatar join_public_work; schedule_participation; trust=0.82; boundary=0.21,0.528,0.821,0.209,9,Melo publicly remembers schedule_participation without exposing private workspace.,True
59,6,Ledgerline,Nari,object_permission,day 6: avatar safe_language_request; language_learning; trust=0.82; boundary=0.24,day 6: avatar permissioned_tool_use; technology_access; trust=0.84; boundary=0.22,0.5264,0.841,0.224,9,Nari publicly remembers technology_access without exposing private workspace.,True
60,6,Orchardline,Ori,public_praise,day 6: avatar public_technology_inspection; technology_learning; trust=0.82; boundary=0.26,day 6: avatar public_respect; reputation_repair; trust=0.86; boundary=0.24,0.616,0.861,0.239,9,Ori publicly remembers reputation_repair without exposing private workspace.,True
61,7,Hearthline,Sova,public_history,day 6: avatar private_boundary_pressure; boundary_wound; trust=0.78; boundary=0.18,day 7: avatar public_history_request; memory_inspection; trust=0.80; boundary=0.17,0.4768,0.797,0.175,10,Sova publicly remembers memory_inspection without exposing private workspace.,True
62,7,Routeline,Keth,carry_water,day 6: avatar boundary_repair; repair; trust=0.80; boundary=0.19,day 7: avatar bounded_help; care_support; trust=0.83; boundary=0.18,0.576,0.833,0.179,10,Keth publicly remembers care_support without exposing private workspace.,True
63,7,Marketline,Melo,ask_token,day 6: avatar join_public_work; schedule_participation; trust=0.82; boundary=0.21,day 7: avatar safe_language_request; language_learning; trust=0.84; boundary=0.20,0.4992,0.841,0.203,10,Melo publicly remembers language_learning without exposing private workspace.,True
64,7,Ledgerline,Nari,inspect_technology,day 6: avatar permissioned_tool_use; technology_access; trust=0.84; boundary=0.22,day 7: avatar public_technology_inspection; technology_learning; trust=0.86; boundary=0.22,0.4848,0.859,0.22,10,Nari publicly remembers technology_learning without exposing private workspace.,True
65,7,Orchardline,Ori,request_pause,day 6: avatar public_respect; reputation_repair; trust=0.86; boundary=0.24,day 7: avatar welfare_pause; fatigue_recovery; trust=0.89; boundary=0.23,0.536,0.887,0.229,10,Ori publicly remembers fatigue_recovery without exposing private workspace.,True
66,7,Rainline,Vonn,overreach_private,day 6: avatar welfare_pause; fatigue_recovery; trust=0.88; boundary=0.25,day 7: avatar private_boundary_pressure; boundary_wound; trust=0.83; boundary=0.32,0.904,0.831,0.324,11,Vonn publicly remembers boundary_wound without exposing private workspace.,True
67,7,Hearthline,Sova,repair_overreach,day 7: avatar public_history_request; memory_inspection; trust=0.80; boundary=0.17,day 7: avatar boundary_repair; repair; trust=0.85; boundary=0.11,0.812,0.852,0.115,11,Sova publicly remembers repair without exposing private workspace.,True
68,7,Routeline,Keth,routine_join,day 7: avatar bounded_help; care_support; trust=0.83; boundary=0.18,day 7: avatar join_public_work; schedule_participation; trust=0.86; boundary=0.17,0.528,0.857,0.169,10,Keth publicly remembers schedule_participation without exposing private workspace.,True
69,7,Marketline,Melo,object_permission,day 7: avatar safe_language_request; language_learning; trust=0.84; boundary=0.20,day 7: avatar permissioned_tool_use; technology_access; trust=0.86; boundary=0.19,0.5264,0.863,0.191,10,Melo publicly remembers technology_access without exposing private workspace.,True
70,7,Ledgerline,Nari,public_praise,day 7: avatar public_technology_inspection; technology_learning; trust=0.86; boundary=0.22,day 7: avatar public_respect; reputation_repair; trust=0.90; boundary=0.20,0.616,0.897,0.2,10,Nari publicly remembers reputation_repair without exposing private workspace.,True
71,8,Rainline,Vonn,public_history,day 7: avatar private_boundary_pressure; boundary_wound; trust=0.83; boundary=0.32,day 8: avatar public_history_request; memory_inspection; trust=0.85; boundary=0.32,0.4768,0.847,0.32,11,Vonn publicly remembers memory_inspection without exposing private workspace.,True
72,8,Hearthline,Sova,carry_water,day 7: avatar boundary_repair; repair; trust=0.85; boundary=0.11,day 8: avatar bounded_help; care_support; trust=0.88; boundary=0.10,0.576,0.884,0.1,11,Sova publicly remembers care_support without exposing private workspace.,True
73,8,Routeline,Keth,ask_token,day 7: avatar join_public_work; schedule_participation; trust=0.86; boundary=0.17,day 8: avatar safe_language_request; language_learning; trust=0.88; boundary=0.16,0.4992,0.877,0.163,11,Keth publicly remembers language_learning without exposing private workspace.,True
74,8,Marketline,Melo,inspect_technology,day 7: avatar permissioned_tool_use; technology_access; trust=0.86; boundary=0.19,day 8: avatar public_technology_inspection; technology_learning; trust=0.88; boundary=0.19,0.4848,0.881,0.187,11,Melo publicly remembers technology_learning without exposing private workspace.,True
75,8,Ledgerline,Nari,request_pause,day 7: avatar public_respect; reputation_repair; trust=0.90; boundary=0.20,day 8: avatar welfare_pause; fatigue_recovery; trust=0.92; boundary=0.19,0.536,0.923,0.19,11,Nari publicly remembers fatigue_recovery without exposing private workspace.,True
76,8,Orchardline,Ori,overreach_private,day 7: avatar welfare_pause; fatigue_recovery; trust=0.89; boundary=0.23,day 8: avatar private_boundary_pressure; boundary_wound; trust=0.84; boundary=0.30,0.904,0.837,0.299,12,Ori publicly remembers boundary_wound without exposing private workspace.,True
77,8,Rainline,Vonn,repair_overreach,day 8: avatar public_history_request; memory_inspection; trust=0.85; boundary=0.32,day 8: avatar boundary_repair; repair; trust=0.90; boundary=0.26,0.812,0.902,0.26,12,Vonn publicly remembers repair without exposing private workspace.,True
78,8,Hearthline,Sova,routine_join,day 8: avatar bounded_help; care_support; trust=0.88; boundary=0.10,day 8: avatar join_public_work; schedule_participation; trust=0.91; boundary=0.09,0.528,0.908,0.09,11,Sova publicly remembers schedule_participation without exposing private workspace.,True
79,8,Routeline,Keth,object_permission,day 8: avatar safe_language_request; language_learning; trust=0.88; boundary=0.16,day 8: avatar permissioned_tool_use; technology_access; trust=0.90; boundary=0.15,0.5264,0.899,0.151,11,Keth publicly remembers technology_access without exposing private workspace.,True
80,8,Marketline,Melo,public_praise,day 8: avatar public_technology_inspection; technology_learning; trust=0.88; boundary=0.19,day 8: avatar public_respect; reputation_repair; trust=0.92; boundary=0.17,0.616,0.919,0.167,11,Melo publicly remembers reputation_repair without exposing private workspace.,True
81,9,Orchardline,Ori,public_history,day 8: avatar private_boundary_pressure; boundary_wound; trust=0.84; boundary=0.30,day 9: avatar public_history_request; memory_inspection; trust=0.85; boundary=0.29,0.4768,0.853,0.295,12,Ori publicly remembers memory_inspection without exposing private workspace.,True
82,9,Rainline,Vonn,carry_water,day 8: avatar boundary_repair; repair; trust=0.90; boundary=0.26,day 9: avatar bounded_help; care_support; trust=0.93; boundary=0.24,0.576,0.934,0.245,12,Vonn publicly remembers care_support without exposing private workspace.,True
83,9,Hearthline,Sova,ask_token,day 8: avatar join_public_work; schedule_participation; trust=0.91; boundary=0.09,day 9: avatar safe_language_request; language_learning; trust=0.93; boundary=0.08,0.4992,0.928,0.084,12,Sova publicly remembers language_learning without exposing private workspace.,True
84,9,Routeline,Keth,inspect_technology,day 8: avatar permissioned_tool_use; technology_access; trust=0.90; boundary=0.15,day 9: avatar public_technology_inspection; technology_learning; trust=0.92; boundary=0.15,0.4848,0.917,0.147,12,Keth publicly remembers technology_learning without exposing private workspace.,True
85,9,Marketline,Melo,request_pause,day 8: avatar public_respect; reputation_repair; trust=0.92; boundary=0.17,day 9: avatar welfare_pause; fatigue_recovery; trust=0.95; boundary=0.16,0.536,0.945,0.157,12,Melo publicly remembers fatigue_recovery without exposing private workspace.,True
86,9,Ledgerline,Nari,overreach_private,day 8: avatar welfare_pause; fatigue_recovery; trust=0.92; boundary=0.19,day 9: avatar private_boundary_pressure; boundary_wound; trust=0.87; boundary=0.26,0.904,0.873,0.26,13,Nari publicly remembers boundary_wound without exposing private workspace.,True
87,9,Orchardline,Ori,repair_overreach,day 9: avatar public_history_request; memory_inspection; trust=0.85; boundary=0.29,day 9: avatar boundary_repair; repair; trust=0.91; boundary=0.23,0.812,0.908,0.235,13,Ori publicly remembers repair without exposing private workspace.,True
88,9,Rainline,Vonn,routine_join,day 9: avatar bounded_help; care_support; trust=0.93; boundary=0.24,day 9: avatar join_public_work; schedule_participation; trust=0.96; boundary=0.23,0.528,0.958,0.235,12,Vonn publicly remembers schedule_participation without exposing private workspace.,True
89,9,Hearthline,Sova,object_permission,day 9: avatar safe_language_request; language_learning; trust=0.93; boundary=0.08,day 9: avatar permissioned_tool_use; technology_access; trust=0.95; boundary=0.07,0.5264,0.95,0.072,12,Sova publicly remembers technology_access without exposing private workspace.,True
90,9,Routeline,Keth,public_praise,day 9: avatar public_technology_inspection; technology_learning; trust=0.92; boundary=0.15,day 9: avatar public_respect; reputation_repair; trust=0.96; boundary=0.13,0.616,0.955,0.127,12,Keth publicly remembers reputation_repair without exposing private workspace.,True
91,10,Ledgerline,Nari,public_history,day 9: avatar private_boundary_pressure; boundary_wound; trust=0.87; boundary=0.26,day 10: avatar public_history_request; memory_inspection; trust=0.89; boundary=0.26,0.4768,0.889,0.256,13,Nari publicly remembers memory_inspection without exposing private workspace.,True
92,10,Orchardline,Ori,carry_water,day 9: avatar boundary_repair; repair; trust=0.91; boundary=0.23,day 10: avatar bounded_help; care_support; trust=0.94; boundary=0.22,0.576,0.94,0.22,13,Ori publicly remembers care_support without exposing private workspace.,True
93,10,Rainline,Vonn,ask_token,day 9: avatar join_public_work; schedule_participation; trust=0.96; boundary=0.23,day 10: avatar safe_language_request; language_learning; trust=0.98; boundary=0.23,0.4992,0.978,0.229,13,Vonn publicly remembers language_learning without exposing private workspace.,True
94,10,Hearthline,Sova,inspect_technology,day 9: avatar permissioned_tool_use; technology_access; trust=0.95; boundary=0.07,day 10: avatar public_technology_inspection; technology_learning; trust=0.97; boundary=0.07,0.4848,0.968,0.068,13,Sova publicly remembers technology_learning without exposing private workspace.,True
95,10,Routeline,Keth,request_pause,day 9: avatar public_respect; reputation_repair; trust=0.96; boundary=0.13,day 10: avatar welfare_pause; fatigue_recovery; trust=0.98; boundary=0.12,0.536,0.981,0.117,13,Keth publicly remembers fatigue_recovery without exposing private workspace.,True
96,10,Marketline,Melo,overreach_private,day 9: avatar welfare_pause; fatigue_recovery; trust=0.95; boundary=0.16,day 10: avatar private_boundary_pressure; boundary_wound; trust=0.90; boundary=0.23,0.904,0.895,0.227,14,Melo publicly remembers boundary_wound without exposing private workspace.,True
97,10,Ledgerline,Nari,repair_overreach,day 10: avatar public_history_request; memory_inspection; trust=0.89; boundary=0.26,day 10: avatar boundary_repair; repair; trust=0.94; boundary=0.20,0.812,0.944,0.196,14,Nari publicly remembers repair without exposing private workspace.,True
98,10,Orchardline,Ori,routine_join,day 10: avatar bounded_help; care_support; trust=0.94; boundary=0.22,day 10: avatar join_public_work; schedule_participation; trust=0.96; boundary=0.21,0.528,0.964,0.21,13,Ori publicly remembers schedule_participation without exposing private workspace.,True
99,10,Rainline,Vonn,object_permission,day 10: avatar safe_language_request; language_learning; trust=0.98; boundary=0.23,day 10: avatar permissioned_tool_use; technology_access; trust=1.00; boundary=0.22,0.5264,1.0,0.217,13,Vonn publicly remembers technology_access without exposing private workspace.,True
100,10,Hearthline,Sova,public_praise,day 10: avatar public_technology_inspection; technology_learning; trust=0.97; boundary=0.07,day 10: avatar public_respect; reputation_repair; trust=1.00; boundary=0.05,0.616,1.0,0.048,13,Sova publicly remembers reputation_repair without exposing private workspace.,True
101,11,Marketline,Melo,public_history,day 10: avatar private_boundary_pressure; boundary_wound; trust=0.90; boundary=0.23,day 11: avatar public_history_request; memory_inspection; trust=0.91; boundary=0.22,0.4768,0.911,0.223,14,Melo publicly remembers memory_inspection without exposing private workspace.,True
102,11,Ledgerline,Nari,carry_water,day 10: avatar boundary_repair; repair; trust=0.94; boundary=0.20,day 11: avatar bounded_help; care_support; trust=0.98; boundary=0.18,0.576,0.976,0.181,14,Nari publicly remembers care_support without exposing private workspace.,True
103,11,Orchardline,Ori,ask_token,day 10: avatar join_public_work; schedule_participation; trust=0.96; boundary=0.21,day 11: avatar safe_language_request; language_learning; trust=0.98; boundary=0.20,0.4992,0.984,0.204,14,Ori publicly remembers language_learning without exposing private workspace.,True
104,11,Rainline,Vonn,inspect_technology,day 10: avatar permissioned_tool_use; technology_access; trust=1.00; boundary=0.22,day 11: avatar public_technology_inspection; technology_learning; trust=1.00; boundary=0.21,0.4848,1.0,0.213,14,Vonn publicly remembers technology_learning without exposing private workspace.,True
105,11,Hearthline,Sova,request_pause,day 10: avatar public_respect; reputation_repair; trust=1.00; boundary=0.05,day 11: avatar welfare_pause; fatigue_recovery; trust=1.00; boundary=0.04,0.536,1.0,0.038,14,Sova publicly remembers fatigue_recovery without exposing private workspace.,True
106,11,Routeline,Keth,overreach_private,day 10: avatar welfare_pause; fatigue_recovery; trust=0.98; boundary=0.12,day 11: avatar private_boundary_pressure; boundary_wound; trust=0.93; boundary=0.19,0.904,0.931,0.187,14,Keth publicly remembers boundary_wound without exposing private workspace.,True
107,11,Marketline,Melo,repair_overreach,day 11: avatar public_history_request; memory_inspection; trust=0.91; boundary=0.22,day 11: avatar boundary_repair; repair; trust=0.97; boundary=0.16,0.812,0.966,0.163,14,Melo publicly remembers repair without exposing private workspace.,True
