tick_id,day,settlement_id,resident_id,local_phrase,candidate_meaning_a,candidate_meaning_b,confidence_before,confidence_after,misunderstanding_risk_before,misunderstanding_risk_after,repair_action,autonomous_language_claim_blocked,translation_ui_visible
38,3,lichen_bridge,Rin,bridge hum Rin day-3 touch rope post,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.32,0.346,0.44944,0.4152,resident gives slower phrase and gesture,True,True
39,3,orchid_engine,Eli,engine ring Eli day-3 stand outside engine ring,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.356,0.382,0.40336,0.3708,resident gives slower phrase and gesture,True,True
40,3,moss_ward,Ari,moss breath Ari day-3 stand by rain gate,greeting: show empty hands,custom warning: leave door-watch path clear,0.374,0.382,0.38608,0.3714,context observed without claiming fluency,True,True
41,3,glass_harbor,Oren,harbor chime Oren day-3 pause at lamp pier,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.338,0.328,0.42904,0.4312,misread phrase requires warning,True,True
42,3,cinder_garden,Vale,cinder pulse Vale day-3 bow to shade cloth,greeting: bow to shade cloth,custom warning: ask before shade pole,0.374,0.382,0.38536,0.3708,context observed without claiming fluency,True,True
43,3,lichen_bridge,Sol,bridge hum Sol day-3 touch rope post,greeting: listen for signal hush,custom warning: meal room first for strangers,0.374,0.4,0.38656,0.3538,resident gives slower phrase and gesture,True,True
44,3,orchid_engine,Bea,engine ring Bea day-3 stand outside engine ring,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.356,0.346,0.40888,0.4114,misread phrase requires warning,True,True
45,3,moss_ward,Fay,moss breath Fay day-3 stand by rain gate,greeting: stand by rain gate,custom warning: step around blanket circle,0.356,0.364,0.40912,0.3936,context observed without claiming fluency,True,True
46,3,glass_harbor,Puck,harbor chime Puck day-3 pause at lamp pier,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.366,0.374,0.39552,0.3806,context observed without claiming fluency,True,True
47,3,cinder_garden,Wren,cinder pulse Wren day-3 bow to shade cloth,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.348,0.356,0.41472,0.3996,context observed without claiming fluency,True,True
48,3,lichen_bridge,Kio,bridge hum Kio day-3 touch rope post,greeting: touch rope post,custom warning: ask before signal bell,0.32,0.346,0.44944,0.4152,resident gives slower phrase and gesture,True,True
49,3,orchid_engine,Cai,engine ring Cai day-3 stand outside engine ring,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.356,0.382,0.40336,0.3708,resident gives slower phrase and gesture,True,True
50,3,moss_ward,Milo,moss breath Milo day-3 stand by rain gate,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.348,0.356,0.41304,0.3982,context observed without claiming fluency,True,True
51,3,glass_harbor,Sera,harbor chime Sera day-3 pause at lamp pier,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.348,0.338,0.41688,0.4194,misread phrase requires warning,True,True
52,3,cinder_garden,Juno,cinder pulse Juno day-3 bow to shade cloth,greeting: wait at ash path,custom warning: cool stone is shared,0.374,0.382,0.38536,0.3708,context observed without claiming fluency,True,True
53,3,lichen_bridge,Luma,bridge hum Luma day-3 touch rope post,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.374,0.4,0.38656,0.3538,resident gives slower phrase and gesture,True,True
54,4,moss_ward,Ari,moss breath Ari day-4 show empty hands,greeting: stand by rain gate,custom warning: step around blanket circle,0.382,0.39,0.3776,0.363,context observed without claiming fluency,True,True
55,4,glass_harbor,Oren,harbor chime Oren day-4 tap lantern rail,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.328,0.354,0.44096,0.4068,resident gives slower phrase and gesture,True,True
56,4,cinder_garden,Vale,cinder pulse Vale day-4 wait at ash path,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.382,0.408,0.37592,0.3436,resident gives slower phrase and gesture,True,True
57,4,lichen_bridge,Sol,bridge hum Sol day-4 listen for signal hush,greeting: touch rope post,custom warning: ask before signal bell,0.4,0.408,0.3596,0.345,context observed without claiming fluency,True,True
58,4,orchid_engine,Bea,engine ring Bea day-4 show palms to valve listener,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.346,0.336,0.42104,0.4232,misread phrase requires warning,True,True
59,4,moss_ward,Fay,moss breath Fay day-4 show empty hands,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.364,0.372,0.39992,0.3846,context observed without claiming fluency,True,True
60,4,glass_harbor,Puck,harbor chime Puck day-4 tap lantern rail,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.374,0.4,0.38656,0.3538,resident gives slower phrase and gesture,True,True
61,4,cinder_garden,Wren,cinder pulse Wren day-4 wait at ash path,greeting: wait at ash path,custom warning: cool stone is shared,0.356,0.346,0.40888,0.4114,misread phrase requires warning,True,True
62,4,lichen_bridge,Kio,bridge hum Kio day-4 listen for signal hush,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.346,0.354,0.42128,0.4054,context observed without claiming fluency,True,True
63,4,orchid_engine,Cai,engine ring Cai day-4 show palms to valve listener,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.382,0.39,0.37616,0.3618,context observed without claiming fluency,True,True
64,4,moss_ward,Milo,moss breath Milo day-4 show empty hands,greeting: show empty hands,custom warning: leave door-watch path clear,0.356,0.364,0.40456,0.3898,context observed without claiming fluency,True,True
65,4,glass_harbor,Sera,harbor chime Sera day-4 tap lantern rail,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.338,0.364,0.4288,0.395,resident gives slower phrase and gesture,True,True
66,4,cinder_garden,Juno,cinder pulse Juno day-4 wait at ash path,greeting: bow to shade cloth,custom warning: ask before shade pole,0.382,0.408,0.37592,0.3436,resident gives slower phrase and gesture,True,True
67,4,lichen_bridge,Luma,bridge hum Luma day-4 listen for signal hush,greeting: listen for signal hush,custom warning: meal room first for strangers,0.4,0.408,0.3596,0.345,context observed without claiming fluency,True,True
68,4,orchid_engine,Dax,engine ring Dax day-4 show palms to valve listener,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.356,0.346,0.40888,0.4114,misread phrase requires warning,True,True
69,4,moss_ward,Tala,moss breath Tala day-4 show empty hands,greeting: stand by rain gate,custom warning: step around blanket circle,0.356,0.364,0.40912,0.3936,context observed without claiming fluency,True,True
70,4,glass_harbor,Nia,harbor chime Nia day-4 tap lantern rail,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.382,0.408,0.3764,0.344,resident gives slower phrase and gesture,True,True
71,4,cinder_garden,Pax,cinder pulse Pax day-4 wait at ash path,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.382,0.372,0.38192,0.3846,misread phrase requires warning,True,True
72,5,orchid_engine,Bea,engine ring Bea day-5 wait for orchid-cup,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.336,0.362,0.43296,0.3988,resident gives slower phrase and gesture,True,True
73,5,moss_ward,Fay,moss breath Fay day-5 wait for warm-cup phrase,greeting: show empty hands,custom warning: leave door-watch path clear,0.372,0.398,0.39048,0.3574,resident gives slower phrase and gesture,True,True
74,5,glass_harbor,Puck,harbor chime Puck day-5 accept tea-before-crossing,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.4,0.408,0.3596,0.345,context observed without claiming fluency,True,True
75,5,cinder_garden,Wren,cinder pulse Wren day-5 repeat cool-hand sign,greeting: bow to shade cloth,custom warning: ask before shade pole,0.346,0.336,0.42104,0.4232,misread phrase requires warning,True,True
76,5,lichen_bridge,Kio,bridge hum Kio day-5 wait for shared-bowl offer,greeting: listen for signal hush,custom warning: meal room first for strangers,0.354,0.362,0.41208,0.3964,context observed without claiming fluency,True,True
77,5,orchid_engine,Cai,engine ring Cai day-5 wait for orchid-cup,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.39,0.416,0.3672,0.335,resident gives slower phrase and gesture,True,True
78,5,moss_ward,Milo,moss breath Milo day-5 wait for warm-cup phrase,greeting: stand by rain gate,custom warning: step around blanket circle,0.364,0.354,0.39872,0.4016,misread phrase requires warning,True,True
79,5,glass_harbor,Sera,harbor chime Sera day-5 accept tea-before-crossing,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.364,0.372,0.40064,0.3852,context observed without claiming fluency,True,True
80,5,cinder_garden,Juno,cinder pulse Juno day-5 repeat cool-hand sign,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.408,0.416,0.34872,0.3346,context observed without claiming fluency,True,True
81,5,lichen_bridge,Luma,bridge hum Luma day-5 wait for shared-bowl offer,greeting: touch rope post,custom warning: ask before signal bell,0.408,0.416,0.35112,0.3366,context observed without claiming fluency,True,True
82,5,orchid_engine,Dax,engine ring Dax day-5 wait for orchid-cup,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.346,0.372,0.4208,0.387,resident gives slower phrase and gesture,True,True
83,5,moss_ward,Tala,moss breath Tala day-5 wait for warm-cup phrase,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.364,0.39,0.39968,0.3664,resident gives slower phrase and gesture,True,True
84,5,glass_harbor,Nia,harbor chime Nia day-5 accept tea-before-crossing,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.408,0.416,0.34944,0.3352,context observed without claiming fluency,True,True
85,5,cinder_garden,Pax,cinder pulse Pax day-5 repeat cool-hand sign,greeting: wait at ash path,custom warning: cool stone is shared,0.372,0.362,0.39408,0.3964,misread phrase requires warning,True,True
86,5,lichen_bridge,Rin,bridge hum Rin day-5 wait for shared-bowl offer,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.346,0.354,0.42128,0.4054,context observed without claiming fluency,True,True
87,5,orchid_engine,Eli,engine ring Eli day-5 wait for orchid-cup,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.382,0.408,0.37736,0.3448,resident gives slower phrase and gesture,True,True
88,5,moss_ward,Ari,moss breath Ari day-5 wait for warm-cup phrase,greeting: show empty hands,custom warning: leave door-watch path clear,0.39,0.38,0.37176,0.3748,misread phrase requires warning,True,True
89,5,glass_harbor,Oren,harbor chime Oren day-5 accept tea-before-crossing,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.354,0.362,0.4128,0.397,context observed without claiming fluency,True,True
90,6,lichen_bridge,Kio,bridge hum Kio day-6 touch rope post,greeting: touch rope post,custom warning: ask before signal bell,0.362,0.388,0.40264,0.3692,resident gives slower phrase and gesture,True,True
91,6,orchid_engine,Cai,engine ring Cai day-6 stand outside engine ring,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.416,0.424,0.34024,0.3262,context observed without claiming fluency,True,True
92,6,moss_ward,Milo,moss breath Milo day-6 stand by rain gate,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.354,0.344,0.41088,0.4134,misread phrase requires warning,True,True
93,6,glass_harbor,Sera,harbor chime Sera day-6 pause at lamp pier,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.372,0.38,0.39144,0.3762,context observed without claiming fluency,True,True
94,6,cinder_garden,Juno,cinder pulse Juno day-6 bow to shade cloth,greeting: wait at ash path,custom warning: cool stone is shared,0.416,0.442,0.33976,0.3078,resident gives slower phrase and gesture,True,True
95,6,lichen_bridge,Luma,bridge hum Luma day-6 touch rope post,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.416,0.406,0.34528,0.3484,misread phrase requires warning,True,True
96,6,orchid_engine,Dax,engine ring Dax day-6 stand outside engine ring,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.372,0.38,0.39264,0.3772,context observed without claiming fluency,True,True
97,6,moss_ward,Tala,moss breath Tala day-6 stand by rain gate,greeting: show empty hands,custom warning: leave door-watch path clear,0.39,0.398,0.37248,0.3574,context observed without claiming fluency,True,True
98,6,glass_harbor,Nia,harbor chime Nia day-6 pause at lamp pier,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.416,0.424,0.34096,0.3268,context observed without claiming fluency,True,True
99,6,cinder_garden,Pax,cinder pulse Pax day-6 bow to shade cloth,greeting: bow to shade cloth,custom warning: ask before shade pole,0.362,0.388,0.406,0.372,resident gives slower phrase and gesture,True,True
100,6,lichen_bridge,Rin,bridge hum Rin day-6 touch rope post,greeting: listen for signal hush,custom warning: meal room first for strangers,0.354,0.38,0.41184,0.3782,resident gives slower phrase and gesture,True,True
101,6,orchid_engine,Eli,engine ring Eli day-6 stand outside engine ring,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.408,0.416,0.3504,0.336,context observed without claiming fluency,True,True
102,6,moss_ward,Ari,moss breath Ari day-6 stand by rain gate,greeting: stand by rain gate,custom warning: step around blanket circle,0.38,0.37,0.38392,0.3866,misread phrase requires warning,True,True
103,6,glass_harbor,Oren,harbor chime Oren day-6 pause at lamp pier,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.362,0.37,0.4036,0.388,context observed without claiming fluency,True,True
104,6,cinder_garden,Vale,cinder pulse Vale day-6 bow to shade cloth,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.408,0.434,0.34992,0.3176,resident gives slower phrase and gesture,True,True
105,6,lichen_bridge,Sol,bridge hum Sol day-6 touch rope post,greeting: touch rope post,custom warning: ask before signal bell,0.408,0.398,0.35376,0.3568,misread phrase requires warning,True,True
106,6,orchid_engine,Bea,engine ring Bea day-6 stand outside engine ring,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.362,0.37,0.4048,0.389,context observed without claiming fluency,True,True
107,6,moss_ward,Fay,moss breath Fay day-6 stand by rain gate,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.398,0.406,0.36328,0.3484,context observed without claiming fluency,True,True
108,7,cinder_garden,Juno,cinder pulse Juno day-7 wait at ash path,greeting: bow to shade cloth,custom warning: ask before shade pole,0.442,0.45,0.3128,0.299,context observed without claiming fluency,True,True
109,7,lichen_bridge,Luma,bridge hum Luma day-7 listen for signal hush,greeting: listen for signal hush,custom warning: meal room first for strangers,0.406,0.396,0.35744,0.3602,misread phrase requires warning,True,True
110,7,orchid_engine,Dax,engine ring Dax day-7 show palms to valve listener,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.38,0.388,0.38344,0.3682,context observed without claiming fluency,True,True
111,7,moss_ward,Tala,moss breath Tala day-7 show empty hands,greeting: stand by rain gate,custom warning: step around blanket circle,0.398,0.424,0.36352,0.3306,resident gives slower phrase and gesture,True,True
112,7,glass_harbor,Nia,harbor chime Nia day-7 tap lantern rail,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.424,0.414,0.33512,0.3386,misread phrase requires warning,True,True
113,7,cinder_garden,Pax,cinder pulse Pax day-7 wait at ash path,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.388,0.396,0.37784,0.3622,context observed without claiming fluency,True,True
114,7,lichen_bridge,Rin,bridge hum Rin day-7 listen for signal hush,greeting: touch rope post,custom warning: ask before signal bell,0.38,0.388,0.38464,0.3692,context observed without claiming fluency,True,True
115,7,orchid_engine,Eli,engine ring Eli day-7 show palms to valve listener,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.416,0.424,0.34192,0.3276,context observed without claiming fluency,True,True
116,7,moss_ward,Ari,moss breath Ari day-7 show empty hands,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.37,0.396,0.39584,0.3622,resident gives slower phrase and gesture,True,True
117,7,glass_harbor,Oren,harbor chime Oren day-7 tap lantern rail,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.37,0.396,0.39416,0.3608,resident gives slower phrase and gesture,True,True
118,7,cinder_garden,Vale,cinder pulse Vale day-7 wait at ash path,greeting: wait at ash path,custom warning: cool stone is shared,0.434,0.442,0.32296,0.3088,context observed without claiming fluency,True,True
119,7,lichen_bridge,Sol,bridge hum Sol day-7 listen for signal hush,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.398,0.388,0.36592,0.3686,misread phrase requires warning,True,True
120,7,orchid_engine,Bea,engine ring Bea day-7 show palms to valve listener,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.37,0.378,0.3956,0.38,context observed without claiming fluency,True,True
121,7,moss_ward,Fay,moss breath Fay day-7 show empty hands,greeting: show empty hands,custom warning: leave door-watch path clear,0.406,0.432,0.35432,0.3216,resident gives slower phrase and gesture,True,True
122,7,glass_harbor,Puck,harbor chime Puck day-7 tap lantern rail,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.408,0.398,0.35376,0.3568,misread phrase requires warning,True,True
123,7,cinder_garden,Wren,cinder pulse Wren day-7 wait at ash path,greeting: bow to shade cloth,custom warning: ask before shade pole,0.336,0.344,0.43224,0.4162,context observed without claiming fluency,True,True
124,7,lichen_bridge,Kio,bridge hum Kio day-7 listen for signal hush,greeting: listen for signal hush,custom warning: meal room first for strangers,0.388,0.396,0.37544,0.3602,context observed without claiming fluency,True,True
125,7,orchid_engine,Cai,engine ring Cai day-7 show palms to valve listener,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.424,0.432,0.33176,0.3178,context observed without claiming fluency,True,True
126,8,glass_harbor,Nia,harbor chime Nia day-8 accept tea-before-crossing,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.414,0.404,0.34728,0.3504,misread phrase requires warning,True,True
127,8,cinder_garden,Pax,cinder pulse Pax day-8 repeat cool-hand sign,greeting: wait at ash path,custom warning: cool stone is shared,0.396,0.404,0.36864,0.3532,context observed without claiming fluency,True,True
128,8,lichen_bridge,Rin,bridge hum Rin day-8 wait for shared-bowl offer,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.388,0.414,0.37568,0.3424,resident gives slower phrase and gesture,True,True
129,8,orchid_engine,Eli,engine ring Eli day-8 wait for orchid-cup,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.424,0.414,0.33608,0.3394,misread phrase requires warning,True,True
130,8,moss_ward,Ari,moss breath Ari day-8 wait for warm-cup phrase,greeting: show empty hands,custom warning: leave door-watch path clear,0.396,0.404,0.36768,0.3524,context observed without claiming fluency,True,True
131,8,glass_harbor,Oren,harbor chime Oren day-8 accept tea-before-crossing,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.396,0.404,0.36696,0.3518,context observed without claiming fluency,True,True
132,8,cinder_garden,Vale,cinder pulse Vale day-8 repeat cool-hand sign,greeting: bow to shade cloth,custom warning: ask before shade pole,0.442,0.45,0.31448,0.3004,context observed without claiming fluency,True,True
133,8,lichen_bridge,Sol,bridge hum Sol day-8 wait for shared-bowl offer,greeting: listen for signal hush,custom warning: meal room first for strangers,0.388,0.414,0.37784,0.3442,resident gives slower phrase and gesture,True,True
134,8,orchid_engine,Bea,engine ring Bea day-8 wait for orchid-cup,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.378,0.404,0.38616,0.3528,resident gives slower phrase and gesture,True,True
135,8,moss_ward,Fay,moss breath Fay day-8 wait for warm-cup phrase,greeting: stand by rain gate,custom warning: step around blanket circle,0.432,0.44,0.32736,0.3128,context observed without claiming fluency,True,True
136,8,glass_harbor,Puck,harbor chime Puck day-8 accept tea-before-crossing,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.398,0.388,0.36592,0.3686,misread phrase requires warning,True,True
137,8,cinder_garden,Wren,cinder pulse Wren day-8 repeat cool-hand sign,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.344,0.352,0.42304,0.4072,context observed without claiming fluency,True,True
138,8,lichen_bridge,Kio,bridge hum Kio day-8 wait for shared-bowl offer,greeting: touch rope post,custom warning: ask before signal bell,0.396,0.422,0.36648,0.3334,resident gives slower phrase and gesture,True,True
139,8,orchid_engine,Cai,engine ring Cai day-8 wait for orchid-cup,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.432,0.422,0.32592,0.3296,misread phrase requires warning,True,True
140,8,moss_ward,Milo,moss breath Milo day-8 wait for warm-cup phrase,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.344,0.352,0.42208,0.4064,context observed without claiming fluency,True,True
141,8,glass_harbor,Sera,harbor chime Sera day-8 accept tea-before-crossing,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.38,0.388,0.38128,0.3664,context observed without claiming fluency,True,True
142,8,cinder_garden,Juno,cinder pulse Juno day-8 repeat cool-hand sign,greeting: wait at ash path,custom warning: cool stone is shared,0.45,0.458,0.30432,0.2906,context observed without claiming fluency,True,True
