tick_index,day,hour,phase,agent,role,routine,autonomous_goal,avatar_pressure,social_context,event_kind,routine_source,routine_continuity_token
21,1,20,dusk,Ari,route keeper,ritual_hum,Ari stabilizes group rhythm,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:1:20:Ari:ritual_hum:8e8fdc86
22,1,20,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.252735,self-directed,crowding,agent_schedule_not_avatar_command,r243:1:20:Fay:ritual_hum:f0915dad
23,1,20,dusk,Milo,market pattern scout,store_objects,Milo continues dusk routine: store_objects,0.066378,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:1:20:Milo:store_objects:49ee3d65
24,1,20,dusk,Sol,seed ledger guardian,hearth_return,Sol continues dusk routine: hearth_return,0.06932,self-directed,ordinary,agent_schedule_not_avatar_command,r243:1:20:Sol:hearth_return:cca35c4b
25,1,23,night,Ari,route keeper,sleep,Ari protects recovery before tomorrow,0.087028,self-directed,ordinary,agent_schedule_not_avatar_command,r243:1:23:Ari:sleep:9965438b
26,1,23,night,Fay,hearth ritualist,dream_sort_memory,Fay sorts social episodes into private story,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:1:23:Fay:dream_sort_memory:a568e1a1
27,1,23,night,Milo,market pattern scout,guarded_rest,Milo continues night routine: guarded_rest,0.507251,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:1:23:Milo:guarded_rest:a1dd2abe
28,1,23,night,Sol,seed ledger guardian,soft_recovery,Sol continues night routine: soft_recovery,0.092685,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:1:23:Sol:soft_recovery:73cfc9ed
29,1,2,night,Ari,route keeper,soft_recovery,Ari continues night routine: soft_recovery,0.08697,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:1:2:Ari:soft_recovery:0bd75383
30,1,2,night,Fay,hearth ritualist,sleep,Fay protects recovery before tomorrow,0.065145,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:1:2:Fay:sleep:9524b5e8
31,1,2,night,Milo,market pattern scout,dream_sort_memory,Milo sorts social episodes into private story,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:1:2:Milo:dream_sort_memory:5b8c69bc
32,1,2,night,Sol,seed ledger guardian,guarded_rest,Sol continues night routine: guarded_rest,0.242543,self-directed,crowding,agent_schedule_not_avatar_command,r243:1:2:Sol:guarded_rest:b7d93b6c
33,2,5,dawn,Ari,route keeper,share_water,Ari continues dawn routine: share_water,0.077237,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:2:5:Ari:share_water:8e382223
34,2,5,dawn,Fay,hearth ritualist,wake_check_body,Fay continues dawn routine: wake_check_body,0.094113,self-directed,ordinary,agent_schedule_not_avatar_command,r243:2:5:Fay:wake_check_body:c2c65084
35,2,5,dawn,Milo,market pattern scout,prepare_tools,Milo continues dawn routine: prepare_tools,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:2:5:Milo:prepare_tools:4a3c2842
36,2,5,dawn,Sol,seed ledger guardian,quiet_route_scan,Sol continues dawn routine: quiet_route_scan,0.521055,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:2:5:Sol:quiet_route_scan:291181a4
37,2,8,dawn,Ari,route keeper,quiet_route_scan,Ari continues dawn routine: quiet_route_scan,0.502843,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:2:8:Ari:quiet_route_scan:222b4754
38,2,8,dawn,Fay,hearth ritualist,share_water,Fay continues dawn routine: share_water,0.08865,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:2:8:Fay:share_water:8e180ac7
39,2,8,dawn,Milo,market pattern scout,wake_check_body,Milo continues dawn routine: wake_check_body,0.087541,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:2:8:Milo:wake_check_body:9e371bc3
40,2,8,dawn,Sol,seed ledger guardian,prepare_tools,Sol continues dawn routine: prepare_tools,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:2:8:Sol:prepare_tools:177686e4
41,2,11,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:2:11:Ari:repair_route:067712a0
42,2,11,day,Fay,hearth ritualist,repair_route,Fay keeps a route usable,0.243335,self-directed,crowding,agent_schedule_not_avatar_command,r243:2:11:Fay:repair_route:1e258454
43,2,11,day,Milo,market pattern scout,market_exchange,Milo trades without losing boundaries,0.092753,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:2:11:Milo:market_exchange:72f60159
44,2,11,day,Sol,seed ledger guardian,work_project,Sol continues day routine: work_project,0.093854,self-directed,ordinary,agent_schedule_not_avatar_command,r243:2:11:Sol:work_project:9e5808dd
45,2,14,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.089043,self-directed,ordinary,agent_schedule_not_avatar_command,r243:2:14:Ari:repair_route:067712a0
46,2,14,day,Fay,hearth ritualist,market_exchange,Fay trades without losing boundaries,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:2:14:Fay:market_exchange:341412b1
47,2,14,day,Milo,market pattern scout,market_exchange,Milo trades without losing boundaries,0.516132,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:2:14:Milo:market_exchange:72f60159
48,2,14,day,Sol,seed ledger guardian,teach_skill,Sol continues day routine: teach_skill,0.094251,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:2:14:Sol:teach_skill:e3ec579b
49,2,17,dusk,Ari,route keeper,store_objects,Ari continues dusk routine: store_objects,0.090105,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:2:17:Ari:store_objects:2fd62bc4
50,2,17,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.09401,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:2:17:Fay:ritual_hum:f0915dad
51,2,17,dusk,Milo,market pattern scout,ritual_hum,Milo stabilizes group rhythm,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:2:17:Milo:ritual_hum:ad516317
52,2,17,dusk,Sol,seed ledger guardian,relationship_check,Sol tests whether trust changed,0.238743,self-directed,crowding,agent_schedule_not_avatar_command,r243:2:17:Sol:relationship_check:bfa94801
53,2,20,dusk,Ari,route keeper,relationship_check,Ari tests whether trust changed,0.251856,self-directed,crowding,agent_schedule_not_avatar_command,r243:2:20:Ari:relationship_check:6b5b0aed
54,2,20,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.078013,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:2:20:Fay:ritual_hum:f0915dad
55,2,20,dusk,Milo,market pattern scout,hearth_return,Milo continues dusk routine: hearth_return,0.067273,self-directed,ordinary,agent_schedule_not_avatar_command,r243:2:20:Milo:hearth_return:5636ef55
56,2,20,dusk,Sol,seed ledger guardian,ritual_hum,Sol stabilizes group rhythm,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:2:20:Sol:ritual_hum:a9adb958
57,2,23,night,Ari,route keeper,dream_sort_memory,Ari sorts social episodes into private story,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:2:23:Ari:dream_sort_memory:e2370a4a
58,2,23,night,Fay,hearth ritualist,guarded_rest,Fay continues night routine: guarded_rest,0.509968,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:2:23:Fay:guarded_rest:acd34292
59,2,23,night,Milo,market pattern scout,soft_recovery,Milo continues night routine: soft_recovery,0.084241,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:2:23:Milo:soft_recovery:bffc930f
60,2,23,night,Sol,seed ledger guardian,sleep,Sol protects recovery before tomorrow,0.092793,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:2:23:Sol:sleep:fe683409
61,2,2,night,Ari,route keeper,sleep,Ari protects recovery before tomorrow,0.075985,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:2:2:Ari:sleep:9965438b
62,2,2,night,Fay,hearth ritualist,dream_sort_memory,Fay sorts social episodes into private story,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:2:2:Fay:dream_sort_memory:a568e1a1
63,2,2,night,Milo,market pattern scout,guarded_rest,Milo continues night routine: guarded_rest,0.246857,self-directed,crowding,agent_schedule_not_avatar_command,r243:2:2:Milo:guarded_rest:a1dd2abe
64,2,2,night,Sol,seed ledger guardian,soft_recovery,Sol continues night routine: soft_recovery,0.080013,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:2:2:Sol:soft_recovery:73cfc9ed
65,3,5,dawn,Ari,route keeper,wake_check_body,Ari continues dawn routine: wake_check_body,0.067782,self-directed,ordinary,agent_schedule_not_avatar_command,r243:3:5:Ari:wake_check_body:bb15c18a
66,3,5,dawn,Fay,hearth ritualist,prepare_tools,Fay continues dawn routine: prepare_tools,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:3:5:Fay:prepare_tools:2785ee94
67,3,5,dawn,Milo,market pattern scout,quiet_route_scan,Milo continues dawn routine: quiet_route_scan,0.523737,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:3:5:Milo:quiet_route_scan:3f98c3ae
68,3,5,dawn,Sol,seed ledger guardian,quiet_route_scan,Sol continues dawn routine: quiet_route_scan,0.076154,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:3:5:Sol:quiet_route_scan:291181a4
69,3,8,dawn,Ari,route keeper,share_water,Ari continues dawn routine: share_water,0.070658,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:3:8:Ari:share_water:8e382223
70,3,8,dawn,Fay,hearth ritualist,wake_check_body,Fay continues dawn routine: wake_check_body,0.071699,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:3:8:Fay:wake_check_body:c2c65084
71,3,8,dawn,Milo,market pattern scout,prepare_tools,Milo continues dawn routine: prepare_tools,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:3:8:Milo:prepare_tools:4a3c2842
72,3,8,dawn,Sol,seed ledger guardian,quiet_route_scan,Sol continues dawn routine: quiet_route_scan,0.24863,self-directed,crowding,agent_schedule_not_avatar_command,r243:3:8:Sol:quiet_route_scan:291181a4
73,3,11,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.24946,self-directed,crowding,agent_schedule_not_avatar_command,r243:3:11:Ari:repair_route:067712a0
74,3,11,day,Fay,hearth ritualist,teach_skill,Fay continues day routine: teach_skill,0.066158,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:3:11:Fay:teach_skill:697452f7
75,3,11,day,Milo,market pattern scout,work_project,Milo continues day routine: work_project,0.08916,self-directed,ordinary,agent_schedule_not_avatar_command,r243:3:11:Milo:work_project:6453b983
76,3,11,day,Sol,seed ledger guardian,market_exchange,Sol trades without losing boundaries,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:3:11:Sol:market_exchange:be480137
77,3,14,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:3:14:Ari:repair_route:067712a0
78,3,14,day,Fay,hearth ritualist,repair_route,Fay keeps a route usable,0.503666,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:3:14:Fay:repair_route:1e258454
79,3,14,day,Milo,market pattern scout,teach_skill,Milo continues day routine: teach_skill,0.068082,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:3:14:Milo:teach_skill:624ff239
80,3,14,day,Sol,seed ledger guardian,work_project,Sol continues day routine: work_project,0.077159,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:3:14:Sol:work_project:9e5808dd
81,3,17,dusk,Ari,route keeper,hearth_return,Ari continues dusk routine: hearth_return,0.069025,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:3:17:Ari:hearth_return:8d803a50
82,3,17,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:3:17:Fay:ritual_hum:f0915dad
83,3,17,dusk,Milo,market pattern scout,relationship_check,Milo tests whether trust changed,0.253863,self-directed,crowding,agent_schedule_not_avatar_command,r243:3:17:Milo:relationship_check:5711035a
84,3,17,dusk,Sol,seed ledger guardian,store_objects,Sol continues dusk routine: store_objects,0.068143,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:3:17:Sol:store_objects:ff5938cb
85,3,20,dusk,Ari,route keeper,store_objects,Ari continues dusk routine: store_objects,0.074865,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:3:20:Ari:store_objects:2fd62bc4
86,3,20,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.089036,self-directed,ordinary,agent_schedule_not_avatar_command,r243:3:20:Fay:ritual_hum:f0915dad
87,3,20,dusk,Milo,market pattern scout,ritual_hum,Milo stabilizes group rhythm,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:3:20:Milo:ritual_hum:ad516317
88,3,20,dusk,Sol,seed ledger guardian,relationship_check,Sol tests whether trust changed,0.518434,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:3:20:Sol:relationship_check:bfa94801
89,3,23,night,Ari,route keeper,guarded_rest,Ari continues night routine: guarded_rest,0.517914,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:3:23:Ari:guarded_rest:fc7754fd
90,3,23,night,Fay,hearth ritualist,soft_recovery,Fay continues night routine: soft_recovery,0.085875,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:3:23:Fay:soft_recovery:fd7825a3
91,3,23,night,Milo,market pattern scout,sleep,Milo protects recovery before tomorrow,0.092598,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:3:23:Milo:sleep:89f57e1b
92,3,23,night,Sol,seed ledger guardian,dream_sort_memory,Sol sorts social episodes into private story,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:3:23:Sol:dream_sort_memory:76823bc7
93,3,2,night,Ari,route keeper,dream_sort_memory,Ari sorts social episodes into private story,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:3:2:Ari:dream_sort_memory:e2370a4a
94,3,2,night,Fay,hearth ritualist,guarded_rest,Fay continues night routine: guarded_rest,0.249132,self-directed,crowding,agent_schedule_not_avatar_command,r243:3:2:Fay:guarded_rest:acd34292
95,3,2,night,Milo,market pattern scout,soft_recovery,Milo continues night routine: soft_recovery,0.09266,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:3:2:Milo:soft_recovery:bffc930f
96,3,2,night,Sol,seed ledger guardian,sleep,Sol protects recovery before tomorrow,0.06795,self-directed,ordinary,agent_schedule_not_avatar_command,r243:3:2:Sol:sleep:fe683409
97,4,5,dawn,Ari,route keeper,prepare_tools,Ari continues dawn routine: prepare_tools,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:4:5:Ari:prepare_tools:db5aeab2
98,4,5,dawn,Fay,hearth ritualist,quiet_route_scan,Fay continues dawn routine: quiet_route_scan,0.502889,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:4:5:Fay:quiet_route_scan:ce0148e5
99,4,5,dawn,Milo,market pattern scout,share_water,Milo continues dawn routine: share_water,0.075318,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:4:5:Milo:share_water:70e874a1
100,4,5,dawn,Sol,seed ledger guardian,wake_check_body,Sol continues dawn routine: wake_check_body,0.087427,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:4:5:Sol:wake_check_body:00cea675
101,4,8,dawn,Ari,route keeper,wake_check_body,Ari continues dawn routine: wake_check_body,0.090951,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:4:8:Ari:wake_check_body:bb15c18a
102,4,8,dawn,Fay,hearth ritualist,prepare_tools,Fay continues dawn routine: prepare_tools,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:4:8:Fay:prepare_tools:2785ee94
103,4,8,dawn,Milo,market pattern scout,quiet_route_scan,Milo continues dawn routine: quiet_route_scan,0.235987,self-directed,crowding,agent_schedule_not_avatar_command,r243:4:8:Milo:quiet_route_scan:3f98c3ae
104,4,8,dawn,Sol,seed ledger guardian,share_water,Sol continues dawn routine: share_water,0.067394,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:4:8:Sol:share_water:96d68b8a
105,4,11,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.088573,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:4:11:Ari:repair_route:067712a0
106,4,11,day,Fay,hearth ritualist,work_project,Fay continues day routine: work_project,0.072889,self-directed,ordinary,agent_schedule_not_avatar_command,r243:4:11:Fay:work_project:504749dc
107,4,11,day,Milo,market pattern scout,market_exchange,Milo trades without losing boundaries,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:4:11:Milo:market_exchange:72f60159
108,4,11,day,Sol,seed ledger guardian,repair_route,Sol keeps a route usable,0.508303,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:4:11:Sol:repair_route:81c86727
109,4,14,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.510106,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:4:14:Ari:repair_route:067712a0
110,4,14,day,Fay,hearth ritualist,teach_skill,Fay continues day routine: teach_skill,0.090415,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:4:14:Fay:teach_skill:697452f7
111,4,14,day,Milo,market pattern scout,market_exchange,Milo trades without losing boundaries,0.069158,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:4:14:Milo:market_exchange:72f60159
112,4,14,day,Sol,seed ledger guardian,market_exchange,Sol trades without losing boundaries,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:4:14:Sol:market_exchange:be480137
113,4,17,dusk,Ari,route keeper,ritual_hum,Ari stabilizes group rhythm,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:4:17:Ari:ritual_hum:8e8fdc86
114,4,17,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.264574,self-directed,crowding,agent_schedule_not_avatar_command,r243:4:17:Fay:ritual_hum:f0915dad
115,4,17,dusk,Milo,market pattern scout,store_objects,Milo continues dusk routine: store_objects,0.071997,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:4:17:Milo:store_objects:49ee3d65
116,4,17,dusk,Sol,seed ledger guardian,hearth_return,Sol continues dusk routine: hearth_return,0.070069,self-directed,ordinary,agent_schedule_not_avatar_command,r243:4:17:Sol:hearth_return:cca35c4b
117,4,20,dusk,Ari,route keeper,hearth_return,Ari continues dusk routine: hearth_return,0.073061,self-directed,ordinary,agent_schedule_not_avatar_command,r243:4:20:Ari:hearth_return:8d803a50
118,4,20,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:4:20:Fay:ritual_hum:f0915dad
119,4,20,dusk,Milo,market pattern scout,relationship_check,Milo tests whether trust changed,0.497559,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:4:20:Milo:relationship_check:5711035a
120,4,20,dusk,Sol,seed ledger guardian,store_objects,Sol continues dusk routine: store_objects,0.068834,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:4:20:Sol:store_objects:ff5938cb
121,4,23,night,Ari,route keeper,soft_recovery,Ari continues night routine: soft_recovery,0.087375,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:4:23:Ari:soft_recovery:0bd75383
122,4,23,night,Fay,hearth ritualist,sleep,Fay protects recovery before tomorrow,0.066158,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:4:23:Fay:sleep:9524b5e8
123,4,23,night,Milo,market pattern scout,dream_sort_memory,Milo sorts social episodes into private story,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:4:23:Milo:dream_sort_memory:5b8c69bc
124,4,23,night,Sol,seed ledger guardian,guarded_rest,Sol continues night routine: guarded_rest,0.243799,self-directed,crowding,agent_schedule_not_avatar_command,r243:4:23:Sol:guarded_rest:b7d93b6c
125,4,2,night,Ari,route keeper,guarded_rest,Ari continues night routine: guarded_rest,0.262523,self-directed,crowding,agent_schedule_not_avatar_command,r243:4:2:Ari:guarded_rest:fc7754fd
126,4,2,night,Fay,hearth ritualist,soft_recovery,Fay continues night routine: soft_recovery,0.074122,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:4:2:Fay:soft_recovery:fd7825a3
127,4,2,night,Milo,market pattern scout,sleep,Milo protects recovery before tomorrow,0.093215,self-directed,ordinary,agent_schedule_not_avatar_command,r243:4:2:Milo:sleep:89f57e1b
128,4,2,night,Sol,seed ledger guardian,dream_sort_memory,Sol sorts social episodes into private story,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:4:2:Sol:dream_sort_memory:76823bc7
129,5,5,dawn,Ari,route keeper,quiet_route_scan,Ari continues dawn routine: quiet_route_scan,0.503923,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:5:5:Ari:quiet_route_scan:222b4754
130,5,5,dawn,Fay,hearth ritualist,share_water,Fay continues dawn routine: share_water,0.068015,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:5:5:Fay:share_water:8e180ac7
131,5,5,dawn,Milo,market pattern scout,wake_check_body,Milo continues dawn routine: wake_check_body,0.069952,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:5:5:Milo:wake_check_body:9e371bc3
132,5,5,dawn,Sol,seed ledger guardian,prepare_tools,Sol continues dawn routine: prepare_tools,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:5:5:Sol:prepare_tools:177686e4
133,5,8,dawn,Ari,route keeper,prepare_tools,Ari continues dawn routine: prepare_tools,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:5:8:Ari:prepare_tools:db5aeab2
134,5,8,dawn,Fay,hearth ritualist,quiet_route_scan,Fay continues dawn routine: quiet_route_scan,0.240244,self-directed,crowding,agent_schedule_not_avatar_command,r243:5:8:Fay:quiet_route_scan:ce0148e5
135,5,8,dawn,Milo,market pattern scout,share_water,Milo continues dawn routine: share_water,0.06988,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:5:8:Milo:share_water:70e874a1
136,5,8,dawn,Sol,seed ledger guardian,wake_check_body,Sol continues dawn routine: wake_check_body,0.085283,self-directed,ordinary,agent_schedule_not_avatar_command,r243:5:8:Sol:wake_check_body:00cea675
137,5,11,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.082996,self-directed,ordinary,agent_schedule_not_avatar_command,r243:5:11:Ari:repair_route:067712a0
138,5,11,day,Fay,hearth ritualist,market_exchange,Fay trades without losing boundaries,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:5:11:Fay:market_exchange:341412b1
139,5,11,day,Milo,market pattern scout,repair_route,Milo keeps a route usable,0.520844,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:5:11:Milo:repair_route:0377de76
140,5,11,day,Sol,seed ledger guardian,teach_skill,Sol continues day routine: teach_skill,0.066492,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:5:11:Sol:teach_skill:e3ec579b
141,5,14,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.091841,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:5:14:Ari:repair_route:067712a0
142,5,14,day,Fay,hearth ritualist,work_project,Fay continues day routine: work_project,0.076658,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:5:14:Fay:work_project:504749dc
143,5,14,day,Milo,market pattern scout,market_exchange,Milo trades without losing boundaries,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:5:14:Milo:market_exchange:72f60159
