tick_id,day,route_id,agent,control_id,button_label,click_kind,animation_state_before,animation_state_after,localstorage_key,localstorage_written,dom_event_handler,visible_state_badge,private_workspace_hidden
56,5,archive_signal,Milo,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Milo: idle,True
57,5,signal_orchard,Ivo,anim-signal_orchard-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.signal_orchard,True,"clickAnimation(routeId, 'paused')",Ivo: paused,True
58,5,orchard_riverbend,Ari,anim-orchard_riverbend-idle,hold,none,idle,idle,ssrm.v34.route.orchard_riverbend,False,noop,Ari: idle,True
59,5,central_repair_ring,Pax,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Pax: idle,True
60,6,riverbend_roofward,Ari,anim-riverbend_roofward-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.riverbend_roofward,True,"clickAnimation(routeId, 'playing')",Ari: playing,True
61,6,roofward_archive,Fay,anim-roofward_archive-idle,hold,none,stepped,stepped,ssrm.v34.route.roofward_archive,False,noop,Fay: stepped,True
62,6,archive_signal,Nia,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Nia: idle,True
63,6,signal_orchard,Milo,anim-signal_orchard-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.signal_orchard,True,"clickAnimation(routeId, 'paused')",Milo: paused,True
64,6,orchard_riverbend,Ivo,anim-orchard_riverbend-idle,hold,none,idle,idle,ssrm.v34.route.orchard_riverbend,False,noop,Ivo: idle,True
65,6,central_repair_ring,Juno,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Juno: idle,True
66,6,riverbend_roofward,Ari,anim-riverbend_roofward-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.riverbend_roofward,True,"clickAnimation(routeId, 'playing')",Ari: playing,True
67,6,roofward_archive,Fay,anim-roofward_archive-idle,hold,none,stepped,stepped,ssrm.v34.route.roofward_archive,False,noop,Fay: stepped,True
68,6,archive_signal,Nia,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Nia: idle,True
69,6,signal_orchard,Milo,anim-signal_orchard-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.signal_orchard,True,"clickAnimation(routeId, 'paused')",Milo: paused,True
70,6,orchard_riverbend,Ivo,anim-orchard_riverbend-idle,hold,none,idle,idle,ssrm.v34.route.orchard_riverbend,False,noop,Ivo: idle,True
71,6,central_repair_ring,Juno,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Juno: idle,True
72,7,riverbend_roofward,Fay,anim-riverbend_roofward-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.riverbend_roofward,True,"clickAnimation(routeId, 'playing')",Fay: playing,True
73,7,roofward_archive,Nia,anim-roofward_archive-idle,hold,none,stepped,stepped,ssrm.v34.route.roofward_archive,False,noop,Nia: stepped,True
74,7,archive_signal,Milo,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Milo: idle,True
75,7,signal_orchard,Ivo,anim-signal_orchard-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.signal_orchard,True,"clickAnimation(routeId, 'paused')",Ivo: paused,True
76,7,orchard_riverbend,Ari,anim-orchard_riverbend-idle,hold,none,idle,idle,ssrm.v34.route.orchard_riverbend,False,noop,Ari: idle,True
77,7,central_repair_ring,Pax,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Pax: idle,True
78,7,riverbend_roofward,Fay,anim-riverbend_roofward-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.riverbend_roofward,True,"clickAnimation(routeId, 'playing')",Fay: playing,True
79,7,roofward_archive,Nia,anim-roofward_archive-idle,hold,none,stepped,stepped,ssrm.v34.route.roofward_archive,False,noop,Nia: stepped,True
80,7,archive_signal,Milo,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Milo: idle,True
81,7,signal_orchard,Ivo,anim-signal_orchard-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.signal_orchard,True,"clickAnimation(routeId, 'paused')",Ivo: paused,True
82,7,orchard_riverbend,Ari,anim-orchard_riverbend-idle,hold,none,idle,idle,ssrm.v34.route.orchard_riverbend,False,noop,Ari: idle,True
83,7,central_repair_ring,Pax,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Pax: idle,True
84,8,roofward_archive,Nia,anim-roofward_archive-play,Play body animation,animation_play,stepped,playing,ssrm.v34.route.roofward_archive,True,"clickAnimation(routeId, 'playing')",Nia: playing,True
85,8,archive_signal,Milo,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Milo: idle,True
86,8,signal_orchard,Ivo,anim-signal_orchard-idle,hold,none,paused,paused,ssrm.v34.route.signal_orchard,False,noop,Ivo: paused,True
87,8,orchard_riverbend,Ari,anim-orchard_riverbend-pause,Pause body animation,animation_pause,idle,paused,ssrm.v34.route.orchard_riverbend,True,"clickAnimation(routeId, 'paused')",Ari: paused,True
88,8,central_repair_ring,Pax,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Pax: idle,True
89,8,riverbend_roofward,Fay,anim-riverbend_roofward-idle,hold,none,playing,playing,ssrm.v34.route.riverbend_roofward,False,noop,Fay: playing,True
90,8,roofward_archive,Nia,anim-roofward_archive-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.roofward_archive,True,"clickAnimation(routeId, 'playing')",Nia: playing,True
91,8,archive_signal,Milo,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Milo: idle,True
92,8,signal_orchard,Ivo,anim-signal_orchard-idle,hold,none,paused,paused,ssrm.v34.route.signal_orchard,False,noop,Ivo: paused,True
93,8,orchard_riverbend,Ari,anim-orchard_riverbend-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.orchard_riverbend,True,"clickAnimation(routeId, 'paused')",Ari: paused,True
94,8,central_repair_ring,Pax,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Pax: idle,True
95,8,riverbend_roofward,Fay,anim-riverbend_roofward-idle,hold,none,playing,playing,ssrm.v34.route.riverbend_roofward,False,noop,Fay: playing,True
96,9,roofward_archive,Fay,anim-roofward_archive-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.roofward_archive,True,"clickAnimation(routeId, 'playing')",Fay: playing,True
97,9,archive_signal,Nia,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Nia: idle,True
98,9,signal_orchard,Milo,anim-signal_orchard-idle,hold,none,paused,paused,ssrm.v34.route.signal_orchard,False,noop,Milo: paused,True
99,9,orchard_riverbend,Ivo,anim-orchard_riverbend-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.orchard_riverbend,True,"clickAnimation(routeId, 'paused')",Ivo: paused,True
100,9,central_repair_ring,Juno,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Juno: idle,True
101,9,riverbend_roofward,Ari,anim-riverbend_roofward-idle,hold,none,playing,playing,ssrm.v34.route.riverbend_roofward,False,noop,Ari: playing,True
102,9,roofward_archive,Fay,anim-roofward_archive-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.roofward_archive,True,"clickAnimation(routeId, 'playing')",Fay: playing,True
103,9,archive_signal,Nia,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Nia: idle,True
104,9,signal_orchard,Milo,anim-signal_orchard-idle,hold,none,paused,paused,ssrm.v34.route.signal_orchard,False,noop,Milo: paused,True
105,9,orchard_riverbend,Ivo,anim-orchard_riverbend-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.orchard_riverbend,True,"clickAnimation(routeId, 'paused')",Ivo: paused,True
106,9,central_repair_ring,Juno,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Juno: idle,True
107,9,riverbend_roofward,Ari,anim-riverbend_roofward-idle,hold,none,playing,playing,ssrm.v34.route.riverbend_roofward,False,noop,Ari: playing,True
108,10,roofward_archive,Nia,anim-roofward_archive-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.roofward_archive,True,"clickAnimation(routeId, 'playing')",Nia: playing,True
109,10,archive_signal,Milo,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Milo: idle,True
110,10,signal_orchard,Ivo,anim-signal_orchard-idle,hold,none,paused,paused,ssrm.v34.route.signal_orchard,False,noop,Ivo: paused,True
111,10,orchard_riverbend,Ari,anim-orchard_riverbend-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.orchard_riverbend,True,"clickAnimation(routeId, 'paused')",Ari: paused,True
112,10,central_repair_ring,Pax,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Pax: idle,True
113,10,riverbend_roofward,Fay,anim-riverbend_roofward-idle,hold,none,playing,playing,ssrm.v34.route.riverbend_roofward,False,noop,Fay: playing,True
114,10,roofward_archive,Nia,anim-roofward_archive-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.roofward_archive,True,"clickAnimation(routeId, 'playing')",Nia: playing,True
115,10,archive_signal,Milo,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Milo: idle,True
116,10,signal_orchard,Ivo,anim-signal_orchard-idle,hold,none,paused,paused,ssrm.v34.route.signal_orchard,False,noop,Ivo: paused,True
117,10,orchard_riverbend,Ari,anim-orchard_riverbend-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.orchard_riverbend,True,"clickAnimation(routeId, 'paused')",Ari: paused,True
118,10,central_repair_ring,Pax,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Pax: idle,True
119,10,riverbend_roofward,Fay,anim-riverbend_roofward-idle,hold,none,playing,playing,ssrm.v34.route.riverbend_roofward,False,noop,Fay: playing,True
120,11,roofward_archive,Fay,anim-roofward_archive-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.roofward_archive,True,"clickAnimation(routeId, 'playing')",Fay: playing,True
121,11,archive_signal,Nia,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Nia: idle,True
122,11,signal_orchard,Milo,anim-signal_orchard-idle,hold,none,paused,paused,ssrm.v34.route.signal_orchard,False,noop,Milo: paused,True
123,11,orchard_riverbend,Ivo,anim-orchard_riverbend-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.orchard_riverbend,True,"clickAnimation(routeId, 'paused')",Ivo: paused,True
124,11,central_repair_ring,Juno,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Juno: idle,True
125,11,riverbend_roofward,Ari,anim-riverbend_roofward-idle,hold,none,playing,playing,ssrm.v34.route.riverbend_roofward,False,noop,Ari: playing,True
126,11,roofward_archive,Fay,anim-roofward_archive-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.roofward_archive,True,"clickAnimation(routeId, 'playing')",Fay: playing,True
127,11,archive_signal,Nia,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Nia: idle,True
128,11,signal_orchard,Milo,anim-signal_orchard-idle,hold,none,paused,paused,ssrm.v34.route.signal_orchard,False,noop,Milo: paused,True
129,11,orchard_riverbend,Ivo,anim-orchard_riverbend-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.orchard_riverbend,True,"clickAnimation(routeId, 'paused')",Ivo: paused,True
130,11,central_repair_ring,Juno,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Juno: idle,True
131,11,riverbend_roofward,Ari,anim-riverbend_roofward-idle,hold,none,playing,playing,ssrm.v34.route.riverbend_roofward,False,noop,Ari: playing,True
132,12,roofward_archive,Nia,anim-roofward_archive-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.roofward_archive,True,"clickAnimation(routeId, 'playing')",Nia: playing,True
133,12,archive_signal,Milo,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Milo: idle,True
134,12,signal_orchard,Ivo,anim-signal_orchard-idle,hold,none,paused,paused,ssrm.v34.route.signal_orchard,False,noop,Ivo: paused,True
135,12,orchard_riverbend,Ari,anim-orchard_riverbend-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.orchard_riverbend,True,"clickAnimation(routeId, 'paused')",Ari: paused,True
136,12,central_repair_ring,Pax,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Pax: idle,True
137,12,riverbend_roofward,Fay,anim-riverbend_roofward-idle,hold,none,playing,playing,ssrm.v34.route.riverbend_roofward,False,noop,Fay: playing,True
138,12,roofward_archive,Nia,anim-roofward_archive-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.roofward_archive,True,"clickAnimation(routeId, 'playing')",Nia: playing,True
139,12,archive_signal,Milo,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Milo: idle,True
140,12,signal_orchard,Ivo,anim-signal_orchard-idle,hold,none,paused,paused,ssrm.v34.route.signal_orchard,False,noop,Ivo: paused,True
141,12,orchard_riverbend,Ari,anim-orchard_riverbend-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.orchard_riverbend,True,"clickAnimation(routeId, 'paused')",Ari: paused,True
142,12,central_repair_ring,Pax,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Pax: idle,True
143,12,riverbend_roofward,Fay,anim-riverbend_roofward-idle,hold,none,playing,playing,ssrm.v34.route.riverbend_roofward,False,noop,Fay: playing,True
144,13,roofward_archive,Fay,anim-roofward_archive-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.roofward_archive,True,"clickAnimation(routeId, 'playing')",Fay: playing,True
145,13,archive_signal,Nia,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Nia: idle,True
146,13,signal_orchard,Milo,anim-signal_orchard-idle,hold,none,paused,paused,ssrm.v34.route.signal_orchard,False,noop,Milo: paused,True
147,13,orchard_riverbend,Ivo,anim-orchard_riverbend-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.orchard_riverbend,True,"clickAnimation(routeId, 'paused')",Ivo: paused,True
148,13,central_repair_ring,Juno,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Juno: idle,True
149,13,riverbend_roofward,Ari,anim-riverbend_roofward-idle,hold,none,playing,playing,ssrm.v34.route.riverbend_roofward,False,noop,Ari: playing,True
150,13,roofward_archive,Fay,anim-roofward_archive-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.roofward_archive,True,"clickAnimation(routeId, 'playing')",Fay: playing,True
151,13,archive_signal,Nia,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Nia: idle,True
152,13,signal_orchard,Milo,anim-signal_orchard-idle,hold,none,paused,paused,ssrm.v34.route.signal_orchard,False,noop,Milo: paused,True
153,13,orchard_riverbend,Ivo,anim-orchard_riverbend-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.orchard_riverbend,True,"clickAnimation(routeId, 'paused')",Ivo: paused,True
154,13,central_repair_ring,Juno,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Juno: idle,True
155,13,riverbend_roofward,Ari,anim-riverbend_roofward-idle,hold,none,playing,playing,ssrm.v34.route.riverbend_roofward,False,noop,Ari: playing,True
156,14,roofward_archive,Nia,anim-roofward_archive-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.roofward_archive,True,"clickAnimation(routeId, 'playing')",Nia: playing,True
157,14,archive_signal,Milo,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Milo: idle,True
158,14,signal_orchard,Ivo,anim-signal_orchard-idle,hold,none,paused,paused,ssrm.v34.route.signal_orchard,False,noop,Ivo: paused,True
159,14,orchard_riverbend,Ari,anim-orchard_riverbend-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.orchard_riverbend,True,"clickAnimation(routeId, 'paused')",Ari: paused,True
160,14,central_repair_ring,Pax,anim-central_repair_ring-step,Step one frame,animation_step,idle,stepped,ssrm.v34.route.central_repair_ring,True,"clickAnimation(routeId, 'stepped')",Pax: stepped,True
161,14,riverbend_roofward,Fay,anim-riverbend_roofward-idle,hold,none,playing,playing,ssrm.v34.route.riverbend_roofward,False,noop,Fay: playing,True
162,14,roofward_archive,Nia,anim-roofward_archive-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.roofward_archive,True,"clickAnimation(routeId, 'playing')",Nia: playing,True
163,14,archive_signal,Milo,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Milo: idle,True
164,14,signal_orchard,Ivo,anim-signal_orchard-idle,hold,none,paused,paused,ssrm.v34.route.signal_orchard,False,noop,Ivo: paused,True
165,14,orchard_riverbend,Ari,anim-orchard_riverbend-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.orchard_riverbend,True,"clickAnimation(routeId, 'paused')",Ari: paused,True
166,14,central_repair_ring,Pax,anim-central_repair_ring-step,Step one frame,animation_step,stepped,stepped,ssrm.v34.route.central_repair_ring,True,"clickAnimation(routeId, 'stepped')",Pax: stepped,True
167,14,riverbend_roofward,Fay,anim-riverbend_roofward-idle,hold,none,playing,playing,ssrm.v34.route.riverbend_roofward,False,noop,Fay: playing,True
168,15,roofward_archive,Fay,anim-roofward_archive-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.roofward_archive,True,"clickAnimation(routeId, 'playing')",Fay: playing,True
169,15,archive_signal,Nia,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Nia: idle,True
170,15,signal_orchard,Milo,anim-signal_orchard-idle,hold,none,paused,paused,ssrm.v34.route.signal_orchard,False,noop,Milo: paused,True
171,15,orchard_riverbend,Ivo,anim-orchard_riverbend-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.orchard_riverbend,True,"clickAnimation(routeId, 'paused')",Ivo: paused,True
