tick_index,agent,current_focus,dominant_need,dominant_feeling,active_memory,active_relationship_concern,current_intention,predicted_next_event,suppressed_alternative_action,private_self_note,public_reveal_mode
11,Milo,cold_rain at market canopy,warmth_and_dryness,focused,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,continue situated task,comfort_offer,wander randomly,I find patterns before the others do. This happened to me at market canopy.,private
12,Sol,comfort_offer at hearth nest,attachment_and_trust,comforted,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,accept repair and soften stance,ask_same_memory,stay guarded forever,I remember what was promised. This happened to me at hearth nest.,dialogue_hint
13,Ari,ask_same_memory at workbench alcove,continue_current_task,startled,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,continue situated task,ritual_invite,wander randomly,I keep the west route safe. This happened to me at workbench alcove.,private
14,Fay,ritual_invite at hearth nest,continue_current_task,comforted,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,continue situated task,peer_takes_tool,wander randomly,I notice when someone is left out. This happened to me at hearth nest.,private
15,Milo,peer_takes_tool at workbench alcove,respect_for_boundary,guarded,avatar helped me recover during shared_rest.,trust threshold 0.43 with Sol,protect boundary without escalating,shared_rest,obey immediately despite discomfort,I find patterns before the others do. This happened to me at workbench alcove.,dialogue_hint
16,Sol,shared_rest at quiet corner,attachment_and_trust,comforted,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,accept repair and soften stance,avatar_approach,stay guarded forever,I remember what was promised. This happened to me at quiet corner.,dialogue_hint
17,Ari,avatar_approach at workbench alcove,continue_current_task,focused,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,continue situated task,wet_route_request,wander randomly,I keep the west route safe. This happened to me at workbench alcove.,private
18,Fay,wet_route_request at market canopy,warmth_and_dryness,focused,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,continue situated task,interrupt_repair,wander randomly,I notice when someone is left out. This happened to me at market canopy.,private
19,Milo,interrupt_repair at market canopy,help_with_pain,guarded,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,protect boundary without escalating,give_space,obey immediately despite discomfort,I find patterns before the others do. This happened to me at market canopy.,dialogue_hint
20,Sol,give_space at quiet corner,attachment_and_trust,comforted,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,accept repair and soften stance,return_tool,stay guarded forever,I remember what was promised. This happened to me at quiet corner.,dialogue_hint
21,Ari,return_tool at workbench alcove,attachment_and_trust,comforted,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,accept repair and soften stance,praise_work,stay guarded forever,I keep the west route safe. This happened to me at workbench alcove.,dialogue_hint
22,Fay,praise_work at hearth nest,attachment_and_trust,comforted,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,continue situated task,misname,wander randomly,I notice when someone is left out. This happened to me at hearth nest.,dialogue_hint
23,Milo,misname at market canopy,continue_current_task,startled,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,continue situated task,apologize,wander randomly,I find patterns before the others do. This happened to me at market canopy.,private
24,Sol,apologize at workbench alcove,attachment_and_trust,comforted,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,accept repair and soften stance,agent_help_request,stay guarded forever,I remember what was promised. This happened to me at workbench alcove.,dialogue_hint
25,Fay,agent_help_request at hearth nest,attachment_and_trust,comforted,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,continue situated task,crowded_market,wander randomly,I notice when someone is left out. This happened to me at hearth nest.,dialogue_hint
26,Milo,crowded_market at market canopy,continue_current_task,focused,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,continue situated task,cold_rain,wander randomly,I find patterns before the others do. This happened to me at market canopy.,private
27,Sol,cold_rain at workbench alcove,warmth_and_dryness,focused,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,continue situated task,comfort_offer,wander randomly,I remember what was promised. This happened to me at workbench alcove.,private
28,Ari,comfort_offer at workbench alcove,attachment_and_trust,comforted,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,accept repair and soften stance,ask_same_memory,stay guarded forever,I keep the west route safe. This happened to me at workbench alcove.,dialogue_hint
29,Fay,ask_same_memory at hearth nest,respect_for_boundary,guarded,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,continue situated task,ritual_invite,wander randomly,I notice when someone is left out. This happened to me at hearth nest.,dialogue_hint
30,Milo,ritual_invite at rain bridge,continue_current_task,comforted,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,continue situated task,peer_takes_tool,wander randomly,I find patterns before the others do. This happened to me at rain bridge.,private
31,Sol,peer_takes_tool at quiet corner,respect_for_boundary,guarded,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with Ari,protect boundary without escalating,shared_rest,obey immediately despite discomfort,I remember what was promised. This happened to me at quiet corner.,dialogue_hint
32,Ari,shared_rest at workbench alcove,attachment_and_trust,comforted,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,accept repair and soften stance,avatar_approach,stay guarded forever,I keep the west route safe. This happened to me at workbench alcove.,dialogue_hint
33,Fay,avatar_approach at workbench alcove,continue_current_task,focused,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,continue situated task,wet_route_request,wander randomly,I notice when someone is left out. This happened to me at workbench alcove.,private
34,Milo,wet_route_request at market canopy,warmth_and_dryness,focused,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,continue situated task,interrupt_repair,wander randomly,I find patterns before the others do. This happened to me at market canopy.,private
35,Sol,interrupt_repair at quiet corner,help_with_pain,guarded,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,protect boundary without escalating,give_space,obey immediately despite discomfort,I remember what was promised. This happened to me at quiet corner.,dialogue_hint
36,Ari,give_space at workbench alcove,attachment_and_trust,comforted,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,accept repair and soften stance,return_tool,stay guarded forever,I keep the west route safe. This happened to me at workbench alcove.,dialogue_hint
37,Fay,return_tool at hearth nest,attachment_and_trust,comforted,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,accept repair and soften stance,praise_work,stay guarded forever,I notice when someone is left out. This happened to me at hearth nest.,dialogue_hint
38,Milo,praise_work at market canopy,attachment_and_trust,comforted,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,continue situated task,misname,wander randomly,I find patterns before the others do. This happened to me at market canopy.,dialogue_hint
39,Sol,misname at market canopy,continue_current_task,startled,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,continue situated task,apologize,wander randomly,I remember what was promised. This happened to me at market canopy.,private
40,Ari,apologize at workbench alcove,attachment_and_trust,comforted,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,accept repair and soften stance,agent_help_request,stay guarded forever,I keep the west route safe. This happened to me at workbench alcove.,dialogue_hint
41,Fay,agent_help_request at hearth nest,attachment_and_trust,comforted,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,continue situated task,crowded_market,wander randomly,I notice when someone is left out. This happened to me at hearth nest.,dialogue_hint
42,Milo,crowded_market at west route,continue_current_task,focused,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,continue situated task,cold_rain,wander randomly,I find patterns before the others do. This happened to me at west route.,private
43,Sol,cold_rain at quiet corner,warmth_and_dryness,focused,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,continue situated task,comfort_offer,wander randomly,I remember what was promised. This happened to me at quiet corner.,private
44,Ari,comfort_offer at workbench alcove,attachment_and_trust,comforted,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,accept repair and soften stance,ask_same_memory,stay guarded forever,I keep the west route safe. This happened to me at workbench alcove.,dialogue_hint
45,Fay,ask_same_memory at hearth nest,continue_current_task,confused,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,continue situated task,ritual_invite,wander randomly,I notice when someone is left out. This happened to me at hearth nest.,private
46,Milo,ritual_invite at market canopy,continue_current_task,comforted,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,continue situated task,peer_takes_tool,wander randomly,I find patterns before the others do. This happened to me at market canopy.,private
47,Sol,peer_takes_tool at quiet corner,respect_for_boundary,guarded,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with Ari,protect boundary without escalating,shared_rest,obey immediately despite discomfort,I remember what was promised. This happened to me at quiet corner.,dialogue_hint
48,Ari,shared_rest at market canopy,attachment_and_trust,comforted,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,accept repair and soften stance,avatar_approach,stay guarded forever,I keep the west route safe. This happened to me at market canopy.,dialogue_hint
49,Milo,avatar_approach at market canopy,continue_current_task,focused,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,continue situated task,wet_route_request,wander randomly,I find patterns before the others do. This happened to me at market canopy.,private
50,Sol,wet_route_request at quiet corner,warmth_and_dryness,guarded,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,protect boundary without escalating,interrupt_repair,obey immediately despite discomfort,I remember what was promised. This happened to me at quiet corner.,dialogue_hint
51,Ari,interrupt_repair at hearth nest,help_with_pain,guarded,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,protect boundary without escalating,give_space,obey immediately despite discomfort,I keep the west route safe. This happened to me at hearth nest.,dialogue_hint
52,Fay,give_space at hearth nest,attachment_and_trust,comforted,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,accept repair and soften stance,return_tool,stay guarded forever,I notice when someone is left out. This happened to me at hearth nest.,dialogue_hint
53,Milo,return_tool at market canopy,attachment_and_trust,comforted,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,accept repair and soften stance,praise_work,stay guarded forever,I find patterns before the others do. This happened to me at market canopy.,dialogue_hint
54,Sol,praise_work at rain bridge,attachment_and_trust,comforted,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,continue situated task,misname,wander randomly,I remember what was promised. This happened to me at rain bridge.,dialogue_hint
55,Ari,misname at workbench alcove,continue_current_task,startled,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,continue situated task,apologize,wander randomly,I keep the west route safe. This happened to me at workbench alcove.,private
56,Fay,apologize at hearth nest,attachment_and_trust,comforted,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,accept repair and soften stance,agent_help_request,stay guarded forever,I notice when someone is left out. This happened to me at hearth nest.,dialogue_hint
57,Milo,agent_help_request at quiet corner,attachment_and_trust,comforted,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,continue situated task,crowded_market,wander randomly,I find patterns before the others do. This happened to me at quiet corner.,dialogue_hint
58,Sol,crowded_market at quiet corner,continue_current_task,startled,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,continue situated task,cold_rain,wander randomly,I remember what was promised. This happened to me at quiet corner.,private
59,Ari,cold_rain at workbench alcove,warmth_and_dryness,focused,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,continue situated task,comfort_offer,wander randomly,I keep the west route safe. This happened to me at workbench alcove.,private
60,Fay,comfort_offer at hearth nest,attachment_and_trust,comforted,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,accept repair and soften stance,ask_same_memory,stay guarded forever,I notice when someone is left out. This happened to me at hearth nest.,dialogue_hint
61,Milo,ask_same_memory at market canopy,continue_current_task,confused,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,continue situated task,ritual_invite,wander randomly,I find patterns before the others do. This happened to me at market canopy.,private
62,Sol,ritual_invite at quiet corner,continue_current_task,comforted,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,continue situated task,peer_takes_tool,wander randomly,I remember what was promised. This happened to me at quiet corner.,private
63,Ari,peer_takes_tool at west route,respect_for_boundary,guarded,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with Fay,protect boundary without escalating,shared_rest,obey immediately despite discomfort,I keep the west route safe. This happened to me at west route.,dialogue_hint
64,Fay,shared_rest at hearth nest,attachment_and_trust,comforted,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,accept repair and soften stance,avatar_approach,stay guarded forever,I notice when someone is left out. This happened to me at hearth nest.,dialogue_hint
65,Milo,avatar_approach at market canopy,continue_current_task,focused,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,continue situated task,wet_route_request,wander randomly,I find patterns before the others do. This happened to me at market canopy.,private
66,Sol,wet_route_request at quiet corner,warmth_and_dryness,focused,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,continue situated task,interrupt_repair,wander randomly,I remember what was promised. This happened to me at quiet corner.,private
67,Ari,interrupt_repair at workbench alcove,help_with_pain,guarded,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,protect boundary without escalating,give_space,obey immediately despite discomfort,I keep the west route safe. This happened to me at workbench alcove.,dialogue_hint
68,Fay,give_space at hearth nest,attachment_and_trust,comforted,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,accept repair and soften stance,return_tool,stay guarded forever,I notice when someone is left out. This happened to me at hearth nest.,dialogue_hint
69,Milo,return_tool at rain bridge,attachment_and_trust,comforted,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,accept repair and soften stance,praise_work,stay guarded forever,I find patterns before the others do. This happened to me at rain bridge.,dialogue_hint
70,Sol,praise_work at quiet corner,attachment_and_trust,comforted,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,continue situated task,misname,wander randomly,I remember what was promised. This happened to me at quiet corner.,dialogue_hint
71,Ari,misname at workbench alcove,respect_for_boundary,guarded,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,protect boundary without escalating,apologize,obey immediately despite discomfort,I keep the west route safe. This happened to me at workbench alcove.,dialogue_hint
72,Fay,apologize at west route,attachment_and_trust,comforted,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,accept repair and soften stance,agent_help_request,stay guarded forever,I notice when someone is left out. This happened to me at west route.,dialogue_hint
73,Sol,agent_help_request at quiet corner,attachment_and_trust,comforted,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,continue situated task,crowded_market,wander randomly,I remember what was promised. This happened to me at quiet corner.,dialogue_hint
74,Ari,crowded_market at workbench alcove,respect_for_boundary,guarded,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,continue situated task,cold_rain,wander randomly,I keep the west route safe. This happened to me at workbench alcove.,dialogue_hint
75,Fay,cold_rain at hearth nest,warmth_and_dryness,tired,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,continue situated task,comfort_offer,wander randomly,I notice when someone is left out. This happened to me at hearth nest.,private
76,Milo,comfort_offer at market canopy,attachment_and_trust,comforted,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,accept repair and soften stance,ask_same_memory,stay guarded forever,I find patterns before the others do. This happened to me at market canopy.,dialogue_hint
77,Sol,ask_same_memory at quiet corner,continue_current_task,startled,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,continue situated task,ritual_invite,wander randomly,I remember what was promised. This happened to me at quiet corner.,private
78,Ari,ritual_invite at rain bridge,continue_current_task,comforted,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,continue situated task,peer_takes_tool,wander randomly,I keep the west route safe. This happened to me at rain bridge.,private
79,Fay,peer_takes_tool at hearth nest,rest,guarded,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with Milo,protect boundary without escalating,shared_rest,obey immediately despite discomfort,I notice when someone is left out. This happened to me at hearth nest.,dialogue_hint
80,Milo,shared_rest at market canopy,attachment_and_trust,comforted,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,accept repair and soften stance,avatar_approach,stay guarded forever,I find patterns before the others do. This happened to me at market canopy.,dialogue_hint
81,Sol,avatar_approach at market canopy,continue_current_task,focused,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,continue situated task,wet_route_request,wander randomly,I remember what was promised. This happened to me at market canopy.,private
82,Ari,wet_route_request at workbench alcove,warmth_and_dryness,tired,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,continue situated task,interrupt_repair,wander randomly,I keep the west route safe. This happened to me at workbench alcove.,private
83,Fay,interrupt_repair at hearth nest,rest,guarded,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,protect boundary without escalating,give_space,obey immediately despite discomfort,I notice when someone is left out. This happened to me at hearth nest.,dialogue_hint
84,Milo,give_space at workbench alcove,attachment_and_trust,comforted,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,accept repair and soften stance,return_tool,stay guarded forever,I find patterns before the others do. This happened to me at workbench alcove.,dialogue_hint
85,Sol,return_tool at quiet corner,attachment_and_trust,comforted,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,accept repair and soften stance,praise_work,stay guarded forever,I remember what was promised. This happened to me at quiet corner.,dialogue_hint
86,Ari,praise_work at workbench alcove,rest,comforted,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,move toward low-effort rest,misname,keep working past fatigue,I keep the west route safe. This happened to me at workbench alcove.,dialogue_hint
87,Fay,misname at workbench alcove,rest,startled,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,move toward low-effort rest,apologize,keep working past fatigue,I notice when someone is left out. This happened to me at workbench alcove.,private
88,Milo,apologize at market canopy,attachment_and_trust,comforted,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,accept repair and soften stance,agent_help_request,stay guarded forever,I find patterns before the others do. This happened to me at market canopy.,dialogue_hint
89,Sol,agent_help_request at quiet corner,rest,comforted,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,move toward low-effort rest,crowded_market,keep working past fatigue,I remember what was promised. This happened to me at quiet corner.,dialogue_hint
90,Ari,crowded_market at west route,rest,startled,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,move toward low-effort rest,cold_rain,keep working past fatigue,I keep the west route safe. This happened to me at west route.,private
91,Fay,cold_rain at hearth nest,warmth_and_dryness,tired,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,continue situated task,comfort_offer,wander randomly,I notice when someone is left out. This happened to me at hearth nest.,dialogue_hint
92,Milo,comfort_offer at market canopy,attachment_and_trust,comforted,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,accept repair and soften stance,ask_same_memory,stay guarded forever,I find patterns before the others do. This happened to me at market canopy.,dialogue_hint
93,Sol,ask_same_memory at market canopy,rest,startled,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,move toward low-effort rest,ritual_invite,keep working past fatigue,I remember what was promised. This happened to me at market canopy.,private
94,Ari,ritual_invite at workbench alcove,rest,comforted,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,move toward low-effort rest,peer_takes_tool,keep working past fatigue,I keep the west route safe. This happened to me at workbench alcove.,private
95,Fay,peer_takes_tool at hearth nest,rest,guarded,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with Milo,protect boundary without escalating,shared_rest,obey immediately despite discomfort,I notice when someone is left out. This happened to me at hearth nest.,dialogue_hint
96,Milo,shared_rest at market canopy,attachment_and_trust,comforted,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,accept repair and soften stance,avatar_approach,stay guarded forever,I find patterns before the others do. This happened to me at market canopy.,dialogue_hint
