tick,day,loop_id,sound_rate_hz,movement_rate_hz,smell_intensity,temperature_c,wetness,comfort_delta,pain_pressure,sensory_animation_bound,flower_phase
61,6,v19-loop-008,1.43,1.132,0.18,17.3,0.19,0.13,0.035,1,165.111604
62,6,v19-loop-008,1.48,1.212,0.18,17.3,0.19,0.13,0.035,1,305.789368
63,6,v19-loop-008,1.49,1.212,0.18,17.3,0.19,0.13,0.035,1,83.467132
64,6,v19-loop-009,1.52,1.132,0.18,17.3,0.19,0.13,0.115,0,219.164896
65,6,v19-loop-009,1.55,1.1996,0.31,16.1,0.37,0.2,0.035,1,359.14306
66,6,v19-loop-009,1.58,1.2296,0.26,18.9,0.19,0.08,0.035,1,138.030824
67,6,v19-loop-009,1.61,1.2296,0.18,17.3,0.19,0.13,0.035,1,276.048588
68,6,v19-loop-009,1.64,1.212,0.18,17.3,0.19,0.13,0.035,1,53.555952
69,6,v19-loop-009,1.67,1.132,0.18,17.3,0.19,0.13,0.035,1,189.253716
70,6,v19-loop-009,1.7,1.1996,0.23,17.3,0.19,0.11,0.115,1,329.23188
71,6,v19-loop-009,1.73,1.212,0.26,16.1,0.37,0.13,0.035,1,107.609244
72,7,v19-loop-010,1.4,1.212,0.18,17.35,0.14,0.13,0.035,1,239.507008
73,7,v19-loop-010,1.5,1.212,0.18,17.35,0.14,0.13,0.035,1,18.714772
74,7,v19-loop-010,1.46,1.212,0.18,17.35,0.14,0.13,0.035,1,155.542536
75,7,v19-loop-010,1.49,1.1996,0.23,17.35,0.14,0.2,0.115,1,293.2007
76,7,v19-loop-010,1.52,1.132,0.26,16.15,0.32,0.13,0.035,1,69.258064
77,7,v19-loop-010,1.55,1.132,0.26,18.95,0.14,0.08,0.035,1,207.275828
78,7,v19-loop-010,1.58,1.2296,0.18,17.35,0.14,0.13,0.035,1,348.123992
79,7,v19-loop-010,1.61,1.132,0.18,17.35,0.14,0.13,0.035,1,123.311356
80,7,v19-loop-011,1.64,1.262,0.23,17.35,0.14,0.2,0.035,1,265.09912
81,7,v19-loop-011,1.74,1.212,0.18,17.35,0.14,0.13,0.115,1,42.856884
82,7,v19-loop-011,1.7,1.132,0.26,16.15,0.32,0.13,0.085,1,177.364648
83,7,v19-loop-011,1.73,1.132,0.26,18.95,0.14,0.13,0.035,1,315.382412
84,8,v19-loop-011,1.47,1.212,0.18,17.4,0.14,0.13,0.035,1,90.790176
85,8,v19-loop-011,1.43,1.182,0.23,17.4,0.14,0.2,0.035,1,226.74794
86,8,v19-loop-011,1.46,1.1996,0.23,17.4,0.14,0.2,0.115,1,5.276104
87,8,v19-loop-011,1.44,1.1496,0.26,16.2,0.32,0.13,0.035,1,140.993868
88,8,v19-loop-012,1.52,1.212,0.26,19.0,0.14,0.08,0.035,1,281.671232
89,8,v19-loop-012,1.55,1.1224,0.18,17.4,0.14,0.13,0.035,1,57.090596
90,8,v19-loop-012,1.58,1.1224,0.18,17.4,0.14,0.13,0.035,1,195.10836
91,8,v19-loop-012,1.63,1.212,0.18,17.4,0.14,0.13,0.035,1,336.064524
92,8,v19-loop-012,1.64,1.132,0.18,17.4,0.14,0.13,0.115,1,111.422288
93,8,v19-loop-012,1.67,1.132,0.26,16.2,0.32,0.13,0.035,1,249.440052
94,8,v19-loop-012,1.7,1.132,0.26,19.0,0.14,0.13,0.035,1,27.457816
95,8,v19-loop-012,1.73,1.132,0.18,17.4,0.14,0.13,0.065,0,165.47558
96,9,v19-loop-013,1.4,1.1224,0.18,17.45,0.14,0.13,0.035,1,297.094944
97,9,v19-loop-013,1.43,1.2296,0.18,17.45,0.14,0.13,0.115,1,78.221508
98,9,v19-loop-013,1.46,1.212,0.26,16.25,0.32,0.13,0.035,1,215.728872
99,9,v19-loop-013,1.49,1.1224,0.26,19.05,0.14,0.13,0.035,1,351.148236
100,9,v19-loop-013,1.52,1.132,0.18,17.45,0.14,0.13,0.035,1,129.4444
101,9,v19-loop-013,1.55,1.132,0.18,17.45,0.14,0.13,0.035,1,267.462164
102,9,v19-loop-013,1.58,1.132,0.18,17.45,0.14,0.13,0.035,1,45.479928
103,9,v19-loop-013,1.61,1.132,0.18,17.45,0.14,0.13,0.115,1,183.497692
104,9,v19-loop-014,1.64,1.132,0.26,16.25,0.32,0.13,0.035,1,321.515456
105,9,v19-loop-014,1.67,1.262,0.31,19.05,0.14,0.2,0.035,1,103.30322
106,9,v19-loop-014,1.7,1.2296,0.18,17.45,0.14,0.13,0.035,1,240.381384
107,9,v19-loop-014,1.73,1.1224,0.18,17.45,0.14,0.13,0.035,1,15.290348
108,10,v19-loop-014,1.4,1.1996,0.23,17.5,0.14,0.2,0.115,1,149.426912
109,10,v19-loop-014,1.43,1.132,0.26,16.3,0.32,0.13,0.035,1,285.484276
110,10,v19-loop-014,1.46,1.2796,0.31,19.1,0.14,0.15,0.035,1,67.78244
111,10,v19-loop-014,1.49,1.2296,0.18,17.5,0.14,0.13,0.035,1,204.350204
112,10,v19-loop-015,1.59,1.212,0.18,17.5,0.14,0.13,0.035,1,343.047568
113,10,v19-loop-015,1.55,1.2296,0.18,17.5,0.14,0.13,0.035,1,120.385732
114,10,v19-loop-015,1.65,1.212,0.18,17.5,0.14,0.13,0.145,1,259.083096
115,10,v19-loop-015,1.61,1.1996,0.31,16.3,0.32,0.13,0.035,1,35.55126
116,10,v19-loop-015,1.64,1.1996,0.31,19.1,0.14,0.2,0.035,1,173.569024
117,10,v19-loop-015,1.67,1.212,0.18,17.5,0.14,0.13,0.035,1,311.946388
118,10,v19-loop-015,1.77,1.212,0.18,17.5,0.14,0.13,0.035,1,91.154152
119,10,v19-loop-015,1.73,1.132,0.18,17.5,0.14,0.13,0.035,1,225.661916
120,11,v19-loop-016,1.35,1.1996,0.31,16.35,0.32,0.2,0.035,1,358.67008
121,11,v19-loop-016,1.43,1.132,0.26,19.15,0.14,0.08,0.035,1,135.577444
122,11,v19-loop-016,1.46,1.212,0.18,17.55,0.14,0.13,0.035,1,275.915208
123,11,v19-loop-016,1.49,1.1224,0.18,17.55,0.14,0.13,0.085,1,51.334572
124,11,v19-loop-016,1.52,1.2296,0.18,17.55,0.14,0.13,0.035,1,192.461136
125,11,v19-loop-016,1.55,1.182,0.23,17.55,0.14,0.2,0.115,1,329.0985
126,11,v19-loop-016,1.58,1.1224,0.26,16.35,0.32,0.13,0.035,0,105.387864
127,11,v19-loop-016,1.61,1.132,0.26,19.15,0.14,0.13,0.035,1,243.684028
128,11,v19-loop-017,1.71,1.212,0.18,17.55,0.14,0.13,0.035,1,25.211792
129,11,v19-loop-017,1.67,1.1224,0.18,17.55,0.14,0.13,0.035,1,159.441156
130,11,v19-loop-017,1.7,1.1224,0.18,17.55,0.14,0.13,0.035,1,297.45892
131,11,v19-loop-017,1.73,1.212,0.18,17.55,0.14,0.13,0.115,1,78.075084
132,12,v19-loop-017,1.4,1.212,0.26,19.2,0.19,0.08,0.035,1,209.972848
133,12,v19-loop-017,1.43,1.132,0.18,17.6,0.19,0.13,0.065,1,345.670612
134,12,v19-loop-017,1.46,1.132,0.18,17.6,0.19,0.13,0.035,1,123.688376
135,12,v19-loop-017,1.56,1.212,0.18,17.6,0.19,0.13,0.035,1,265.21614
136,12,v19-loop-018,1.52,1.212,0.18,17.6,0.19,0.13,0.115,1,42.043904
137,12,v19-loop-018,1.55,1.2296,0.26,16.4,0.37,0.13,0.035,1,180.572068
138,12,v19-loop-018,1.58,1.212,0.26,19.2,0.19,0.13,0.035,1,318.079432
139,12,v19-loop-018,1.61,1.2296,0.18,17.6,0.19,0.13,0.035,1,96.607596
140,12,v19-loop-018,1.64,1.2796,0.23,17.6,0.19,0.2,0.035,1,236.07536
141,12,v19-loop-018,1.74,1.212,0.18,17.6,0.19,0.13,0.035,1,13.322724
142,12,v19-loop-018,1.7,1.132,0.18,17.6,0.19,0.13,0.115,1,147.830488
143,12,v19-loop-018,1.73,1.1996,0.31,16.4,0.37,0.15,0.035,1,287.808652
144,13,v19-loop-019,1.4,1.132,0.18,17.65,0.14,0.13,0.035,1,57.746016
145,13,v19-loop-019,1.43,1.182,0.23,17.65,0.14,0.2,0.035,1,197.21378
146,13,v19-loop-019,1.53,1.212,0.18,17.65,0.14,0.13,0.035,1,337.291544
147,13,v19-loop-019,1.49,1.1996,0.23,17.65,0.14,0.2,0.115,1,113.759708
148,13,v19-loop-019,1.52,1.132,0.26,16.45,0.32,0.13,0.035,1,249.817072
149,13,v19-loop-019,1.5,1.132,0.26,19.25,0.14,0.13,0.035,1,26.984836
150,13,v19-loop-019,1.65,1.212,0.18,17.65,0.14,0.13,0.035,1,169.3626
151,13,v19-loop-019,1.61,1.132,0.18,17.65,0.14,0.13,0.035,1,303.870364
152,13,v19-loop-020,1.64,1.212,0.18,17.65,0.14,0.13,0.065,1,84.208128
153,13,v19-loop-020,1.74,1.212,0.18,17.65,0.14,0.13,0.115,1,223.415892
154,13,v19-loop-020,1.7,1.132,0.26,16.45,0.32,0.08,0.035,1,357.923656
155,13,v19-loop-020,1.73,1.1996,0.31,19.25,0.14,0.2,0.035,1,137.90182
156,14,v19-loop-020,1.4,1.132,0.18,17.7,0.14,0.13,0.035,1,267.839184
157,14,v19-loop-020,1.43,1.132,0.18,17.7,0.14,0.13,0.035,0,45.856948
158,14,v19-loop-020,1.46,1.132,0.18,17.7,0.14,0.13,0.115,1,183.874712
159,14,v19-loop-020,1.49,1.132,0.26,16.5,0.32,0.13,0.035,1,321.892476
160,14,v19-loop-021,1.52,1.1996,0.31,19.3,0.14,0.2,0.035,1,101.87064
161,14,v19-loop-021,1.55,1.1224,0.18,17.7,0.14,0.13,0.035,1,237.649604
162,14,v19-loop-021,1.58,1.1996,0.23,17.7,0.14,0.2,0.035,1,17.906168
163,14,v19-loop-021,1.61,1.1996,0.23,17.7,0.14,0.2,0.035,1,155.923932
164,14,v19-loop-021,1.71,1.212,0.18,17.7,0.14,0.13,0.165,1,295.491296
165,14,v19-loop-021,1.67,1.2796,0.31,16.5,0.32,0.15,0.035,1,74.27946
166,14,v19-loop-021,1.7,1.132,0.26,19.3,0.14,0.13,0.035,1,208.016824
167,14,v19-loop-021,1.73,1.132,0.18,17.7,0.14,0.13,0.035,1,346.034588
168,15,v19-loop-022,1.4,1.132,0.18,17.75,0.14,0.13,0.035,1,117.932352
169,15,v19-loop-022,1.43,1.1996,0.23,17.75,0.14,0.2,0.115,1,257.910516
170,15,v19-loop-022,1.46,1.132,0.26,16.55,0.32,0.13,0.035,1,33.96788
171,15,v19-loop-022,1.49,1.132,0.26,19.35,0.14,0.13,0.065,1,171.985644
172,15,v19-loop-022,1.52,1.1224,0.18,17.75,0.14,0.13,0.035,1,309.725008
173,15,v19-loop-022,1.62,1.212,0.18,17.75,0.14,0.13,0.035,1,91.531172
174,15,v19-loop-022,1.58,1.132,0.18,17.75,0.14,0.13,0.035,1,226.038936
175,15,v19-loop-022,1.61,1.1224,0.18,17.75,0.14,0.13,0.115,1,3.7783
176,15,v19-loop-023,1.64,1.2296,0.26,16.55,0.32,0.08,0.035,1,144.904864
177,15,v19-loop-023,1.67,1.132,0.26,19.35,0.14,0.13,0.035,1,280.092228
178,15,v19-loop-023,1.65,1.132,0.18,17.75,0.14,0.13,0.035,1,57.259992
179,15,v19-loop-023,1.73,1.132,0.18,17.75,0.14,0.13,0.035,1,196.127756
180,16,v19-loop-023,1.4,1.2796,0.23,17.8,0.14,0.2,0.115,1,332.30592
181,16,v19-loop-023,1.5,1.212,0.26,16.6,0.32,0.13,0.035,1,109.553284
182,16,v19-loop-023,1.46,1.1996,0.31,19.4,0.14,0.2,0.035,1,246.021448
183,16,v19-loop-023,1.56,1.212,0.18,17.8,0.14,0.13,0.035,1,25.588812
184,16,v19-loop-024,1.52,1.1996,0.23,17.8,0.14,0.2,0.035,1,162.056976
185,16,v19-loop-024,1.55,1.182,0.23,17.8,0.14,0.2,0.035,1,299.56434
186,16,v19-loop-024,1.65,1.212,0.18,17.8,0.14,0.13,0.115,1,79.642104
187,16,v19-loop-024,1.61,1.1996,0.31,16.6,0.32,0.15,0.035,1,216.110268
188,16,v19-loop-024,1.64,1.132,0.26,19.4,0.14,0.13,0.035,0,352.167632
189,16,v19-loop-024,1.67,1.132,0.18,17.8,0.14,0.13,0.035,1,130.185396
190,16,v19-loop-024,1.7,1.132,0.18,17.8,0.14,0.13,0.065,1,268.20316
191,16,v19-loop-024,1.8,1.212,0.18,17.8,0.14,0.13,0.035,1,49.730924
192,17,v19-loop-025,1.4,1.132,0.26,16.65,0.32,0.13,0.035,1,178.118688
193,17,v19-loop-025,1.43,1.132,0.26,19.45,0.14,0.13,0.035,1,316.136452
194,17,v19-loop-025,1.53,1.212,0.18,17.85,0.14,0.13,0.035,1,97.664216
195,17,v19-loop-025,1.56,1.212,0.18,17.85,0.14,0.13,0.035,1,235.68198
196,17,v19-loop-025,1.52,1.132,0.18,17.85,0.14,0.13,0.035,1,10.189744
197,17,v19-loop-025,1.55,1.2296,0.18,17.85,0.14,0.13,0.115,1,151.037908
198,17,v19-loop-025,1.58,1.132,0.26,16.65,0.32,0.08,0.035,1,286.225272
199,17,v19-loop-025,1.61,1.132,0.26,19.45,0.14,0.13,0.035,1,64.243036
200,17,v19-loop-026,1.64,1.182,0.23,17.85,0.14,0.2,0.035,1,203.7108
201,17,v19-loop-026,1.74,1.212,0.18,17.85,0.14,0.13,0.035,1,343.788564
202,17,v19-loop-026,1.77,1.212,0.18,17.85,0.14,0.13,0.035,1,121.806328
203,17,v19-loop-026,1.68,1.132,0.18,17.85,0.14,0.13,0.115,1,255.464092
204,18,v19-loop-026,1.4,1.2296,0.26,19.5,0.19,0.13,0.035,1,31.042256
205,18,v19-loop-026,1.43,1.1996,0.23,17.9,0.19,0.2,0.085,1,168.19002
206,18,v19-loop-026,1.46,1.132,0.18,17.9,0.19,0.13,0.035,1,304.247384
207,18,v19-loop-026,1.44,1.1224,0.18,17.9,0.19,0.13,0.035,1,81.136748
208,18,v19-loop-027,1.52,1.212,0.18,17.9,0.19,0.13,0.115,1,222.602912
209,18,v19-loop-027,1.55,1.132,0.26,16.7,0.37,0.08,0.065,1,358.300676
210,18,v19-loop-027,1.58,1.1224,0.26,19.5,0.19,0.13,0.035,1,136.04004
211,18,v19-loop-027,1.61,1.1224,0.18,17.9,0.19,0.13,0.035,1,274.057804
212,18,v19-loop-027,1.64,1.2296,0.18,17.9,0.19,0.13,0.035,1,55.184368
213,18,v19-loop-027,1.67,1.212,0.18,17.9,0.19,0.13,0.035,1,192.691732
214,18,v19-loop-027,1.7,1.2296,0.18,17.9,0.19,0.13,0.115,1,331.219896
215,18,v19-loop-027,1.73,1.1996,0.31,16.7,0.37,0.11,0.035,1,108.36766
216,19,v19-loop-028,1.4,1.1996,0.23,17.95,0.14,0.11,0.035,1,240.265424
217,19,v19-loop-028,1.43,1.132,0.18,17.95,0.14,0.13,0.035,1,16.322788
218,19,v19-loop-028,1.46,1.2296,0.18,17.95,0.14,0.13,0.035,1,157.170952
219,19,v19-loop-028,1.49,1.132,0.18,17.95,0.14,0.13,0.115,0,292.358316
220,19,v19-loop-028,1.52,1.1224,0.26,16.75,0.32,0.13,0.035,1,70.09768
221,19,v19-loop-028,1.55,1.132,0.26,19.55,0.14,0.13,0.035,1,208.393844
222,19,v19-loop-028,1.58,1.212,0.18,17.95,0.14,0.13,0.035,1,348.731608
223,19,v19-loop-028,1.61,1.1996,0.23,17.95,0.14,0.2,0.035,1,126.389772
224,19,v19-loop-029,1.64,1.132,0.18,17.95,0.14,0.13,0.035,1,262.447136
225,19,v19-loop-029,1.67,1.182,0.23,17.95,0.14,0.2,0.115,1,41.9149
226,19,v19-loop-029,1.77,1.212,0.26,16.75,0.32,0.13,0.035,1,181.992664
227,19,v19-loop-029,1.73,1.132,0.26,19.55,0.14,0.13,0.035,1,316.500428
228,20,v19-loop-029,1.4,1.132,0.18,18.0,0.14,0.13,0.035,1,88.398192
229,20,v19-loop-029,1.43,1.1996,0.23,18.0,0.14,0.13,0.035,1,228.376356
230,20,v19-loop-029,1.46,1.1224,0.18,18.0,0.14,0.13,0.115,1,4.15532
231,20,v19-loop-029,1.56,1.212,0.26,16.8,0.32,0.08,0.035,1,145.961484
232,20,v19-loop-030,1.52,1.132,0.26,19.6,0.14,0.13,0.035,1,280.469248
233,20,v19-loop-030,1.55,1.2296,0.18,18.0,0.14,0.13,0.035,1,61.317412
234,20,v19-loop-030,1.58,1.132,0.18,18.0,0.14,0.13,0.035,1,196.504776
235,20,v19-loop-030,1.61,1.1224,0.18,18.0,0.14,0.13,0.035,1,334.24414
236,20,v19-loop-030,1.59,1.212,0.18,18.0,0.14,0.13,0.115,1,114.010304
237,20,v19-loop-030,1.74,1.212,0.26,16.8,0.32,0.13,0.035,1,254.068068
238,20,v19-loop-030,1.7,1.2296,0.26,19.6,0.14,0.13,0.035,1,31.406232
239,20,v19-loop-030,1.73,1.2296,0.18,18.0,0.14,0.13,0.035,1,169.423996
240,21,v19-loop-031,1.4,1.1996,0.23,18.05,0.14,0.2,0.035,1,300.45176
241,21,v19-loop-031,1.43,1.132,0.18,18.05,0.14,0.13,0.115,1,76.509124
242,21,v19-loop-031,1.46,1.1996,0.31,16.85,0.32,0.15,0.035,1,216.487288
243,21,v19-loop-031,1.49,1.1996,0.31,19.65,0.14,0.2,0.035,1,354.505052
244,21,v19-loop-031,1.52,1.132,0.18,18.05,0.14,0.13,0.035,1,130.562416
245,21,v19-loop-031,1.55,1.132,0.18,18.05,0.14,0.13,0.035,1,268.58018
246,21,v19-loop-031,1.65,1.212,0.18,18.05,0.14,0.13,0.085,1,50.107944
247,21,v19-loop-031,1.61,1.2296,0.18,18.05,0.14,0.13,0.145,1,187.446108
248,21,v19-loop-032,1.64,1.132,0.26,16.85,0.32,0.13,0.035,1,322.633472
249,21,v19-loop-032,1.67,1.132,0.26,19.65,0.14,0.13,0.035,1,100.651236
250,21,v19-loop-032,1.7,1.262,0.23,18.05,0.14,0.2,0.035,0,242.439
251,21,v19-loop-032,1.8,1.212,0.18,18.05,0.14,0.13,0.035,1,20.196764
252,22,v19-loop-032,1.47,1.212,0.18,18.1,0.14,0.13,0.115,1,152.094528
253,22,v19-loop-032,1.43,1.132,0.26,16.9,0.32,0.08,0.035,1,286.602292
254,22,v19-loop-032,1.46,1.132,0.26,19.7,0.14,0.13,0.035,1,64.620056
255,22,v19-loop-032,1.49,1.1996,0.23,18.1,0.14,0.11,0.035,1,204.59822
256,22,v19-loop-033,1.52,1.1224,0.18,18.1,0.14,0.13,0.035,1,340.377184
257,22,v19-loop-033,1.55,1.1224,0.18,18.1,0.14,0.13,0.035,1,118.394948
258,22,v19-loop-033,1.58,1.1996,0.23,18.1,0.14,0.11,0.115,1,258.651512
259,22,v19-loop-033,1.61,1.132,0.26,16.9,0.32,0.13,0.035,1,34.708876
260,22,v19-loop-033,1.64,1.2796,0.31,19.7,0.14,0.2,0.035,1,177.00704
261,22,v19-loop-033,1.69,1.132,0.18,18.1,0.14,0.13,0.035,1,311.084404
262,22,v19-loop-033,1.7,1.1996,0.23,18.1,0.14,0.2,0.035,1,90.722568
263,22,v19-loop-033,1.73,1.1996,0.23,18.1,0.14,0.2,0.035,1,228.740332
264,23,v19-loop-034,1.47,1.212,0.26,16.95,0.32,0.08,0.035,1,2.187696
265,23,v19-loop-034,1.45,1.212,0.26,19.75,0.14,0.13,0.035,1,139.35546
266,23,v19-loop-034,1.46,1.132,0.18,18.15,0.14,0.13,0.065,1,274.713224
267,23,v19-loop-034,1.49,1.132,0.18,18.15,0.14,0.13,0.035,1,52.730988
268,23,v19-loop-034,1.52,1.132,0.18,18.15,0.14,0.13,0.035,1,190.748752
269,23,v19-loop-034,1.55,1.212,0.18,18.15,0.14,0.13,0.115,1,331.086516
270,23,v19-loop-034,1.58,1.2796,0.31,16.95,0.32,0.2,0.035,1,111.06468
271,23,v19-loop-034,1.61,1.212,0.26,19.75,0.14,0.13,0.035,1,247.122044
272,23,v19-loop-035,1.71,1.212,0.18,18.15,0.14,0.13,0.035,1,26.329808
273,23,v19-loop-035,1.67,1.1996,0.23,18.15,0.14,0.2,0.035,1,162.797972
274,23,v19-loop-035,1.7,1.1996,0.23,18.15,0.14,0.2,0.035,1,300.815736
275,23,v19-loop-035,1.73,1.2796,0.23,18.15,0.14,0.15,0.115,1,81.1535
276,24,v19-loop-035,1.4,1.2296,0.26,19.8,0.19,0.13,0.035,1,211.601264
277,24,v19-loop-035,1.43,1.2296,0.18,18.2,0.19,0.13,0.035,1,349.619028
278,24,v19-loop-035,1.46,1.132,0.18,18.2,0.19,0.13,0.035,1,124.806392
279,24,v19-loop-035,1.49,1.1224,0.18,18.2,0.19,0.13,0.035,1,262.545756
280,24,v19-loop-036,1.52,1.262,0.23,18.2,0.19,0.2,0.115,1,44.61192
281,24,v19-loop-036,1.55,1.1224,0.26,17.0,0.37,0.13,0.035,0,178.581284
282,24,v19-loop-036,1.58,1.132,0.26,19.8,0.19,0.13,0.035,1,316.877448
283,24,v19-loop-036,1.61,1.132,0.18,18.2,0.19,0.13,0.035,1,94.895212
284,24,v19-loop-036,1.64,1.2296,0.18,18.2,0.19,0.13,0.035,1,235.743376
285,24,v19-loop-036,1.67,1.262,0.23,18.2,0.19,0.2,0.065,1,14.70074
286,24,v19-loop-036,1.7,1.2296,0.18,18.2,0.19,0.08,0.115,1,151.778904
287,24,v19-loop-036,1.73,1.2296,0.26,17.0,0.37,0.13,0.085,1,289.796668
288,25,v19-loop-037,1.47,1.212,0.18,18.25,0.14,0.13,0.035,1,62.374032
289,25,v19-loop-037,1.43,1.1224,0.18,18.25,0.14,0.13,0.035,1,196.603396
290,25,v19-loop-037,1.46,1.132,0.18,18.25,0.14,0.13,0.035,1,334.89956
291,25,v19-loop-037,1.49,1.212,0.18,18.25,0.14,0.13,0.115,1,115.237324
