tick_id,day,agent,project_id,public_memory_key,remembered_delegate,remembered_debt,remembered_conflict,remembered_outcome,private_workspace_sealed,replay_pointer
35,2,Ari,dusk_signal_court,v26:Ari:dusk_signal_court:day2,Milo->Ari:stake_posts,Ari->Milo:oil:0.00,oil:none,not_ready,True,replay:35:dusk_signal_court
36,2,Fay,greenhouse_heat_loop,v26:Fay:greenhouse_heat_loop:day2,Fay->Fay:plant_bed,Milo->Fay:water:0.00,water:none,not_ready,True,replay:36:greenhouse_heat_loop
37,2,Nia,flood_bridge_market_route,v26:Nia:flood_bridge_market_route:day2,Ari->Nia:survey_piers,Nia->Ari:planks:0.00,planks:none,not_ready,True,replay:37:flood_bridge_market_route
38,2,Fay,archive_public_kiosk,v26:Fay:archive_public_kiosk:day2,Nia->Fay:weather_copy,Fay->Nia:thread:0.00,thread:none,not_ready,True,replay:38:archive_public_kiosk
39,2,Ari,dusk_signal_court,v26:Ari:dusk_signal_court:day2,Milo->Ari:stake_posts,Ari->Milo:oil:0.00,oil:none,not_ready,True,replay:39:dusk_signal_court
40,3,Nia,greenhouse_heat_loop,v26:Nia:greenhouse_heat_loop:day3,Fay->Nia:index_care,Nia->Fay:compost:0.00,compost:none,not_ready,True,replay:40:greenhouse_heat_loop
41,3,Ari,flood_bridge_market_route,v26:Ari:flood_bridge_market_route:day3,Ari->Ari:cut_planks,Fay->Ari:resin:0.00,resin:none,not_ready,True,replay:41:flood_bridge_market_route
42,3,Milo,archive_public_kiosk,v26:Milo:archive_public_kiosk:day3,Nia->Milo:lamp_mount,Milo->Nia:glass:0.00,glass:none,not_ready,True,replay:42:archive_public_kiosk
43,3,Milo,dusk_signal_court,v26:Milo:dusk_signal_court:day3,Milo->Milo:string_wire,Nia->Milo:wire:0.00,wire:none,not_ready,True,replay:43:dusk_signal_court
44,3,Nia,greenhouse_heat_loop,v26:Nia:greenhouse_heat_loop:day3,Fay->Nia:index_care,Nia->Fay:compost:0.00,compost:none,not_ready,True,replay:44:greenhouse_heat_loop
45,3,Ari,flood_bridge_market_route,v26:Ari:flood_bridge_market_route:day3,Ari->Ari:cut_planks,Fay->Ari:resin:0.00,resin:none,not_ready,True,replay:45:flood_bridge_market_route
46,3,Milo,archive_public_kiosk,v26:Milo:archive_public_kiosk:day3,Nia->Milo:lamp_mount,Milo->Nia:glass:0.00,glass:none,not_ready,True,replay:46:archive_public_kiosk
47,3,Milo,dusk_signal_court,v26:Milo:dusk_signal_court:day3,Milo->Milo:string_wire,Nia->Milo:wire:0.00,wire:none,not_ready,True,replay:47:dusk_signal_court
48,3,Nia,greenhouse_heat_loop,v26:Nia:greenhouse_heat_loop:day3,Fay->Nia:index_care,Nia->Fay:compost:0.00,compost:none,not_ready,True,replay:48:greenhouse_heat_loop
49,3,Ari,flood_bridge_market_route,v26:Ari:flood_bridge_market_route:day3,Ari->Ari:cut_planks,Fay->Ari:resin:0.00,resin:none,not_ready,True,replay:49:flood_bridge_market_route
50,3,Milo,archive_public_kiosk,v26:Milo:archive_public_kiosk:day3,Nia->Milo:lamp_mount,Milo->Nia:glass:0.00,glass:none,not_ready,True,replay:50:archive_public_kiosk
51,3,Milo,dusk_signal_court,v26:Milo:dusk_signal_court:day3,Milo->Milo:string_wire,Nia->Milo:wire:0.00,wire:none,not_ready,True,replay:51:dusk_signal_court
52,3,Nia,greenhouse_heat_loop,v26:Nia:greenhouse_heat_loop:day3,Fay->Nia:index_care,Nia->Fay:compost:0.00,compost:none,not_ready,True,replay:52:greenhouse_heat_loop
53,3,Ari,flood_bridge_market_route,v26:Ari:flood_bridge_market_route:day3,Ari->Ari:cut_planks,Fay->Ari:resin:0.00,resin:none,not_ready,True,replay:53:flood_bridge_market_route
54,3,Milo,archive_public_kiosk,v26:Milo:archive_public_kiosk:day3,Nia->Milo:lamp_mount,Milo->Nia:glass:0.00,glass:none,not_ready,True,replay:54:archive_public_kiosk
55,3,Milo,dusk_signal_court,v26:Milo:dusk_signal_court:day3,Milo->Milo:string_wire,Nia->Milo:wire:0.00,wire:none,not_ready,True,replay:55:dusk_signal_court
56,3,Nia,greenhouse_heat_loop,v26:Nia:greenhouse_heat_loop:day3,Fay->Nia:index_care,Nia->Fay:compost:0.00,compost:none,not_ready,True,replay:56:greenhouse_heat_loop
57,3,Ari,flood_bridge_market_route,v26:Ari:flood_bridge_market_route:day3,Ari->Ari:cut_planks,Fay->Ari:resin:0.00,resin:none,not_ready,True,replay:57:flood_bridge_market_route
58,3,Milo,archive_public_kiosk,v26:Milo:archive_public_kiosk:day3,Nia->Milo:lamp_mount,Milo->Nia:glass:0.00,glass:none,not_ready,True,replay:58:archive_public_kiosk
59,3,Milo,dusk_signal_court,v26:Milo:dusk_signal_court:day3,Milo->Milo:string_wire,Nia->Milo:wire:0.00,wire:none,not_ready,True,replay:59:dusk_signal_court
60,4,Ari,greenhouse_heat_loop,v26:Ari:greenhouse_heat_loop:day4,Fay->Ari:fit_glass,Ari->Fay:glass:0.06,glass:none,not_ready,True,replay:60:greenhouse_heat_loop
61,4,Fay,flood_bridge_market_route,v26:Fay:flood_bridge_market_route:day4,Ari->Fay:seal_joints,Fay->Nia:rope:0.17,rope:flood_bridge_market_route,not_ready,True,replay:61:flood_bridge_market_route
62,4,Nia,archive_public_kiosk,v26:Nia:archive_public_kiosk:day4,Nia->Nia:sort_index,Nia->Milo:paper:0.11,paper:archive_public_kiosk,not_ready,True,replay:62:archive_public_kiosk
63,4,Nia,dusk_signal_court,v26:Nia:dusk_signal_court:day4,Milo->Nia:signal_code,Nia->Milo:glass:0.00,glass:none,not_ready,True,replay:63:dusk_signal_court
64,4,Ari,greenhouse_heat_loop,v26:Ari:greenhouse_heat_loop:day4,Fay->Ari:fit_glass,Fay->Ari:glass:0.17,glass:greenhouse_heat_loop,not_ready,True,replay:64:greenhouse_heat_loop
65,4,Fay,flood_bridge_market_route,v26:Fay:flood_bridge_market_route:day4,Ari->Fay:seal_joints,Fay->Ari:rope:0.00,rope:none,not_ready,True,replay:65:flood_bridge_market_route
66,4,Nia,archive_public_kiosk,v26:Nia:archive_public_kiosk:day4,Nia->Nia:sort_index,Nia->Milo:paper:0.25,paper:archive_public_kiosk,not_ready,True,replay:66:archive_public_kiosk
67,4,Nia,dusk_signal_court,v26:Nia:dusk_signal_court:day4,Milo->Nia:signal_code,Nia->Fay:glass:0.17,glass:dusk_signal_court,not_ready,True,replay:67:dusk_signal_court
68,4,Ari,greenhouse_heat_loop,v26:Ari:greenhouse_heat_loop:day4,Fay->Ari:fit_glass,Fay->Ari:glass:0.28,glass:greenhouse_heat_loop,not_ready,True,replay:68:greenhouse_heat_loop
69,4,Fay,flood_bridge_market_route,v26:Fay:flood_bridge_market_route:day4,Ari->Fay:seal_joints,Fay->Nia:rope:0.31,rope:flood_bridge_market_route,not_ready,True,replay:69:flood_bridge_market_route
70,4,Nia,archive_public_kiosk,v26:Nia:archive_public_kiosk:day4,Nia->Nia:sort_index,Ari->Nia:paper:0.00,paper:none,not_ready,True,replay:70:archive_public_kiosk
71,4,Nia,dusk_signal_court,v26:Nia:dusk_signal_court:day4,Milo->Nia:signal_code,Nia->Fay:glass:0.28,glass:dusk_signal_court,not_ready,True,replay:71:dusk_signal_court
72,4,Ari,greenhouse_heat_loop,v26:Ari:greenhouse_heat_loop:day4,Fay->Ari:fit_glass,Ari->Fay:glass:0.12,glass:none,not_ready,True,replay:72:greenhouse_heat_loop
73,4,Fay,flood_bridge_market_route,v26:Fay:flood_bridge_market_route:day4,Ari->Fay:seal_joints,Fay->Nia:rope:0.48,rope:flood_bridge_market_route,not_ready,True,replay:73:flood_bridge_market_route
74,4,Nia,archive_public_kiosk,v26:Nia:archive_public_kiosk:day4,Nia->Nia:sort_index,Ari->Nia:paper:0.11,paper:dusk_signal_court,not_ready,True,replay:74:archive_public_kiosk
75,4,Nia,dusk_signal_court,v26:Nia:dusk_signal_court:day4,Milo->Nia:signal_code,Nia->Milo:glass:0.00,glass:none,not_ready,True,replay:75:dusk_signal_court
76,4,Ari,greenhouse_heat_loop,v26:Ari:greenhouse_heat_loop:day4,Fay->Ari:fit_glass,Ari->Fay:glass:0.29,glass:flood_bridge_market_route,not_ready,True,replay:76:greenhouse_heat_loop
77,4,Fay,flood_bridge_market_route,v26:Fay:flood_bridge_market_route:day4,Ari->Fay:seal_joints,Fay->Ari:rope:0.00,rope:none,not_ready,True,replay:77:flood_bridge_market_route
78,4,Nia,archive_public_kiosk,v26:Nia:archive_public_kiosk:day4,Nia->Nia:sort_index,Nia->Milo:paper:0.39,paper:archive_public_kiosk,not_ready,True,replay:78:archive_public_kiosk
79,4,Nia,dusk_signal_court,v26:Nia:dusk_signal_court:day4,Milo->Nia:signal_code,Nia->Fay:glass:0.45,glass:dusk_signal_court,not_ready,True,replay:79:dusk_signal_court
80,5,Fay,flood_bridge_market_route,v26:Fay:flood_bridge_market_route:day5,Ari->Fay:seal_joints,Fay->Ari:rope:0.17,rope:dusk_signal_court,not_ready,True,replay:80:flood_bridge_market_route
81,5,Nia,archive_public_kiosk,v26:Nia:archive_public_kiosk:day5,Nia->Nia:sort_index,Nia->Fay:paper:0.11,paper:archive_public_kiosk,not_ready,True,replay:81:archive_public_kiosk
82,5,Nia,dusk_signal_court,v26:Nia:dusk_signal_court:day5,Milo->Nia:signal_code,Nia->Milo:glass:0.00,glass:none,not_ready,True,replay:82:dusk_signal_court
83,5,Ari,greenhouse_heat_loop,v26:Ari:greenhouse_heat_loop:day5,Fay->Ari:fit_glass,Ari->Nia:glass:0.17,glass:greenhouse_heat_loop,not_ready,True,replay:83:greenhouse_heat_loop
84,5,Fay,flood_bridge_market_route,v26:Fay:flood_bridge_market_route:day5,Ari->Fay:seal_joints,Fay->Ari:rope:0.17,rope:none,not_ready,True,replay:84:flood_bridge_market_route
85,5,Nia,archive_public_kiosk,v26:Nia:archive_public_kiosk:day5,Nia->Nia:sort_index,Nia->Fay:paper:0.25,paper:archive_public_kiosk,not_ready,True,replay:85:archive_public_kiosk
86,5,Nia,dusk_signal_court,v26:Nia:dusk_signal_court:day5,Milo->Nia:signal_code,Nia->Ari:glass:0.17,glass:dusk_signal_court,not_ready,True,replay:86:dusk_signal_court
87,5,Ari,greenhouse_heat_loop,v26:Ari:greenhouse_heat_loop:day5,Fay->Ari:fit_glass,Ari->Nia:glass:0.17,glass:greenhouse_heat_loop,not_ready,True,replay:87:greenhouse_heat_loop
88,5,Fay,flood_bridge_market_route,v26:Fay:flood_bridge_market_route:day5,Ari->Fay:seal_joints,Fay->Ari:rope:0.31,rope:dusk_signal_court,not_ready,True,replay:88:flood_bridge_market_route
89,5,Nia,archive_public_kiosk,v26:Nia:archive_public_kiosk:day5,Nia->Nia:sort_index,Ari->Nia:paper:0.11,paper:none,not_ready,True,replay:89:archive_public_kiosk
90,5,Nia,dusk_signal_court,v26:Nia:dusk_signal_court:day5,Milo->Nia:signal_code,Nia->Ari:glass:0.28,glass:dusk_signal_court,not_ready,True,replay:90:dusk_signal_court
91,5,Ari,greenhouse_heat_loop,v26:Ari:greenhouse_heat_loop:day5,Fay->Ari:fit_glass,Ari->Fay:glass:0.35,glass:none,not_ready,True,replay:91:greenhouse_heat_loop
92,5,Fay,flood_bridge_market_route,v26:Fay:flood_bridge_market_route:day5,Ari->Fay:seal_joints,Fay->Ari:rope:0.48,rope:dusk_signal_court,not_ready,True,replay:92:flood_bridge_market_route
93,5,Nia,archive_public_kiosk,v26:Nia:archive_public_kiosk:day5,Nia->Nia:sort_index,Nia->Fay:paper:0.36,paper:archive_public_kiosk,not_ready,True,replay:93:archive_public_kiosk
94,5,Nia,dusk_signal_court,v26:Nia:dusk_signal_court:day5,Milo->Nia:signal_code,Nia->Milo:glass:0.00,glass:none,not_ready,True,replay:94:dusk_signal_court
95,5,Ari,greenhouse_heat_loop,v26:Ari:greenhouse_heat_loop:day5,Fay->Ari:fit_glass,Ari->Nia:glass:0.34,glass:greenhouse_heat_loop,not_ready,True,replay:95:greenhouse_heat_loop
96,5,Fay,flood_bridge_market_route,v26:Fay:flood_bridge_market_route:day5,Ari->Fay:seal_joints,Fay->Ari:rope:0.28,rope:none,not_ready,True,replay:96:flood_bridge_market_route
97,5,Nia,archive_public_kiosk,v26:Nia:archive_public_kiosk:day5,Nia->Nia:sort_index,Nia->Fay:paper:0.50,paper:archive_public_kiosk,not_ready,True,replay:97:archive_public_kiosk
98,5,Nia,dusk_signal_court,v26:Nia:dusk_signal_court:day5,Milo->Nia:signal_code,Nia->Ari:glass:0.45,glass:dusk_signal_court,not_ready,True,replay:98:dusk_signal_court
99,5,Ari,greenhouse_heat_loop,v26:Ari:greenhouse_heat_loop:day5,Fay->Ari:fit_glass,Ari->Nia:glass:0.45,glass:greenhouse_heat_loop,not_ready,True,replay:99:greenhouse_heat_loop
100,6,Milo,flood_bridge_market_route,v26:Milo:flood_bridge_market_route:day6,Ari->Milo:lamp_markers,Milo->Ari:oil:0.11,oil:archive_public_kiosk,not_ready,True,replay:100:flood_bridge_market_route
101,6,Ari,archive_public_kiosk,v26:Ari:archive_public_kiosk:day6,Nia->Ari:build_frame,Ari->Nia:ink:0.00,ink:none,not_ready,True,replay:101:archive_public_kiosk
102,6,Fay,dusk_signal_court,v26:Fay:dusk_signal_court:day6,Milo->Fay:comfort_corner,Fay->Milo:rope:0.00,rope:none,not_ready,True,replay:102:dusk_signal_court
103,6,Milo,greenhouse_heat_loop,v26:Milo:greenhouse_heat_loop:day6,Fay->Milo:coil_pipe,Milo->Fay:copper:0.00,copper:none,not_ready,True,replay:103:greenhouse_heat_loop
104,6,Milo,flood_bridge_market_route,v26:Milo:flood_bridge_market_route:day6,Ari->Milo:lamp_markers,Milo->Ari:oil:0.11,oil:none,not_ready,True,replay:104:flood_bridge_market_route
105,6,Ari,archive_public_kiosk,v26:Ari:archive_public_kiosk:day6,Nia->Ari:build_frame,Ari->Milo:ink:0.17,ink:archive_public_kiosk,not_ready,True,replay:105:archive_public_kiosk
106,6,Fay,dusk_signal_court,v26:Fay:dusk_signal_court:day6,Milo->Fay:comfort_corner,Fay->Milo:rope:0.00,rope:none,not_ready,True,replay:106:dusk_signal_court
107,6,Milo,greenhouse_heat_loop,v26:Milo:greenhouse_heat_loop:day6,Fay->Milo:coil_pipe,Milo->Ari:copper:0.14,copper:greenhouse_heat_loop,not_ready,True,replay:107:greenhouse_heat_loop
108,6,Milo,flood_bridge_market_route,v26:Milo:flood_bridge_market_route:day6,Ari->Milo:lamp_markers,Milo->Ari:oil:0.11,oil:none,not_ready,True,replay:108:flood_bridge_market_route
109,6,Ari,archive_public_kiosk,v26:Ari:archive_public_kiosk:day6,Nia->Ari:build_frame,Ari->Nia:ink:0.00,ink:none,not_ready,True,replay:109:archive_public_kiosk
110,6,Fay,dusk_signal_court,v26:Fay:dusk_signal_court:day6,Milo->Fay:comfort_corner,Milo->Fay:rope:0.14,rope:dusk_signal_court,not_ready,True,replay:110:dusk_signal_court
111,6,Milo,greenhouse_heat_loop,v26:Milo:greenhouse_heat_loop:day6,Fay->Milo:coil_pipe,Milo->Fay:copper:0.00,copper:none,not_ready,True,replay:111:greenhouse_heat_loop
112,6,Milo,flood_bridge_market_route,v26:Milo:flood_bridge_market_route:day6,Ari->Milo:lamp_markers,Milo->Nia:oil:0.11,oil:flood_bridge_market_route,not_ready,True,replay:112:flood_bridge_market_route
113,6,Ari,archive_public_kiosk,v26:Ari:archive_public_kiosk:day6,Nia->Ari:build_frame,Ari->Nia:ink:0.00,ink:none,not_ready,True,replay:113:archive_public_kiosk
114,6,Fay,dusk_signal_court,v26:Fay:dusk_signal_court:day6,Milo->Fay:comfort_corner,Fay->Milo:rope:0.00,rope:none,not_ready,True,replay:114:dusk_signal_court
115,6,Milo,greenhouse_heat_loop,v26:Milo:greenhouse_heat_loop:day6,Fay->Milo:coil_pipe,Milo->Fay:copper:0.00,copper:none,not_ready,True,replay:115:greenhouse_heat_loop
116,6,Milo,flood_bridge_market_route,v26:Milo:flood_bridge_market_route:day6,Ari->Milo:lamp_markers,Milo->Ari:oil:0.11,oil:none,not_ready,True,replay:116:flood_bridge_market_route
117,6,Ari,archive_public_kiosk,v26:Ari:archive_public_kiosk:day6,Nia->Ari:build_frame,Ari->Nia:ink:0.17,ink:dusk_signal_court,not_ready,True,replay:117:archive_public_kiosk
118,6,Fay,dusk_signal_court,v26:Fay:dusk_signal_court:day6,Milo->Fay:comfort_corner,Fay->Milo:rope:0.00,rope:none,not_ready,True,replay:118:dusk_signal_court
119,6,Milo,greenhouse_heat_loop,v26:Milo:greenhouse_heat_loop:day6,Fay->Milo:coil_pipe,Milo->Fay:copper:0.14,copper:flood_bridge_market_route,not_ready,True,replay:119:greenhouse_heat_loop
120,7,Nia,flood_bridge_market_route,v26:Nia:flood_bridge_market_route:day7,Ari->Nia:survey_piers,Nia->Milo:planks:0.14,planks:flood_bridge_market_route,not_ready,True,replay:120:flood_bridge_market_route
121,7,Fay,archive_public_kiosk,v26:Fay:archive_public_kiosk:day7,Nia->Fay:weather_copy,Fay->Nia:thread:0.00,thread:none,not_ready,True,replay:121:archive_public_kiosk
122,7,Ari,dusk_signal_court,v26:Ari:dusk_signal_court:day7,Milo->Ari:stake_posts,Fay->Ari:oil:0.11,oil:dusk_signal_court,not_ready,True,replay:122:dusk_signal_court
123,7,Fay,greenhouse_heat_loop,v26:Fay:greenhouse_heat_loop:day7,Fay->Fay:plant_bed,Milo->Fay:water:0.00,water:none,not_ready,True,replay:123:greenhouse_heat_loop
124,7,Nia,flood_bridge_market_route,v26:Nia:flood_bridge_market_route:day7,Ari->Nia:survey_piers,Nia->Ari:planks:0.17,planks:dusk_signal_court,not_ready,True,replay:124:flood_bridge_market_route
125,7,Fay,archive_public_kiosk,v26:Fay:archive_public_kiosk:day7,Nia->Fay:weather_copy,Milo->Fay:thread:0.11,thread:archive_public_kiosk,not_ready,True,replay:125:archive_public_kiosk
126,7,Ari,dusk_signal_court,v26:Ari:dusk_signal_court:day7,Milo->Ari:stake_posts,Ari->Milo:oil:0.00,oil:none,not_ready,True,replay:126:dusk_signal_court
127,7,Fay,greenhouse_heat_loop,v26:Fay:greenhouse_heat_loop:day7,Fay->Fay:plant_bed,Fay->Nia:water:0.17,water:greenhouse_heat_loop,not_ready,True,replay:127:greenhouse_heat_loop
128,7,Nia,flood_bridge_market_route,v26:Nia:flood_bridge_market_route:day7,Ari->Nia:survey_piers,Nia->Ari:planks:0.17,planks:none,not_ready,True,replay:128:flood_bridge_market_route
129,7,Fay,archive_public_kiosk,v26:Fay:archive_public_kiosk:day7,Nia->Fay:weather_copy,Milo->Fay:thread:0.25,thread:archive_public_kiosk,not_ready,True,replay:129:archive_public_kiosk
130,7,Ari,dusk_signal_court,v26:Ari:dusk_signal_court:day7,Milo->Ari:stake_posts,Fay->Ari:oil:0.28,oil:dusk_signal_court,not_ready,True,replay:130:dusk_signal_court
131,7,Fay,greenhouse_heat_loop,v26:Fay:greenhouse_heat_loop:day7,Fay->Fay:plant_bed,Fay->Nia:water:0.28,water:greenhouse_heat_loop,not_ready,True,replay:131:greenhouse_heat_loop
132,7,Nia,flood_bridge_market_route,v26:Nia:flood_bridge_market_route:day7,Ari->Nia:survey_piers,Nia->Ari:planks:0.31,planks:dusk_signal_court,not_ready,True,replay:132:flood_bridge_market_route
133,7,Fay,archive_public_kiosk,v26:Fay:archive_public_kiosk:day7,Nia->Fay:weather_copy,Fay->Nia:thread:0.00,thread:none,not_ready,True,replay:133:archive_public_kiosk
134,7,Ari,dusk_signal_court,v26:Ari:dusk_signal_court:day7,Milo->Ari:stake_posts,Fay->Ari:oil:0.17,oil:dusk_signal_court,not_ready,True,replay:134:dusk_signal_court
135,7,Fay,greenhouse_heat_loop,v26:Fay:greenhouse_heat_loop:day7,Fay->Fay:plant_bed,Milo->Fay:water:0.00,water:none,not_ready,True,replay:135:greenhouse_heat_loop
136,7,Nia,flood_bridge_market_route,v26:Nia:flood_bridge_market_route:day7,Ari->Nia:survey_piers,Nia->Milo:planks:0.31,planks:flood_bridge_market_route,not_ready,True,replay:136:flood_bridge_market_route
137,7,Fay,archive_public_kiosk,v26:Fay:archive_public_kiosk:day7,Nia->Fay:weather_copy,Fay->Nia:thread:0.11,thread:greenhouse_heat_loop,not_ready,True,replay:137:archive_public_kiosk
138,7,Ari,dusk_signal_court,v26:Ari:dusk_signal_court:day7,Milo->Ari:stake_posts,Ari->Milo:oil:0.00,oil:none,not_ready,True,replay:138:dusk_signal_court
139,7,Fay,greenhouse_heat_loop,v26:Fay:greenhouse_heat_loop:day7,Fay->Fay:plant_bed,Fay->Nia:water:0.45,water:greenhouse_heat_loop,not_ready,True,replay:139:greenhouse_heat_loop
140,8,Ari,flood_bridge_market_route,v26:Ari:flood_bridge_market_route:day8,Ari->Ari:cut_planks,Fay->Ari:resin:0.00,resin:none,not_ready,True,replay:140:flood_bridge_market_route
