tick_id,day,agent,route_id,public_memory_key,remembered_branch,remembered_import_export,remembered_simultaneous_task,remembered_dialogue,remembered_recovery,private_workspace_sealed,replay_pointer
79,6,Nia,archive_signal,v31:Nia:archive_signal:day6,stone kiosk path,imports:3 rev:4,tasks:6 debt:0.03,turn:0 kind:none,0.94,True,replay:79:archive_signal
80,6,Milo,signal_orchard,v31:Milo:signal_orchard:day6,river lantern loop,imports:3 rev:4,tasks:4 debt:0.06,turn:0 kind:none,0.94,True,replay:80:signal_orchard
81,6,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day6,market plank route,imports:3 rev:4,tasks:6 debt:0.03,turn:0 kind:none,0.93,True,replay:81:orchard_riverbend
82,6,Juno,central_repair_ring,v31:Juno:central_repair_ring:day6,outer bell path,imports:4 rev:5,tasks:5 debt:0.04,turn:0 kind:none,0.94,True,replay:82:central_repair_ring
83,6,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day6,river ford,imports:3 rev:4,tasks:2 debt:0.09,turn:0 kind:none,0.94,True,replay:83:riverbend_roofward
84,6,Fay,roofward_archive,v31:Fay:roofward_archive:day6,glass stair,imports:4 rev:5,tasks:6 debt:0.03,turn:1 kind:none,0.94,True,replay:84:roofward_archive
85,6,Nia,archive_signal,v31:Nia:archive_signal:day6,stone kiosk path,imports:3 rev:4,tasks:6 debt:0.03,turn:0 kind:none,0.94,True,replay:85:archive_signal
86,6,Milo,signal_orchard,v31:Milo:signal_orchard:day6,river lantern loop,imports:3 rev:4,tasks:4 debt:0.06,turn:1 kind:planning_followup,0.94,True,replay:86:signal_orchard
87,6,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day6,market plank route,imports:3 rev:4,tasks:6 debt:0.03,turn:0 kind:none,0.94,True,replay:87:orchard_riverbend
88,6,Juno,central_repair_ring,v31:Juno:central_repair_ring:day6,outer bell path,imports:4 rev:5,tasks:6 debt:0.03,turn:0 kind:none,0.94,True,replay:88:central_repair_ring
89,6,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day6,river ford,imports:4 rev:5,tasks:2 debt:0.09,turn:0 kind:none,0.94,True,replay:89:riverbend_roofward
90,7,Fay,roofward_archive,v31:Fay:roofward_archive:day7,glass stair,imports:4 rev:5,tasks:6 debt:0.03,turn:1 kind:none,0.94,True,replay:90:roofward_archive
91,7,Nia,archive_signal,v31:Nia:archive_signal:day7,stone kiosk path,imports:4 rev:5,tasks:6 debt:0.03,turn:0 kind:none,0.94,True,replay:91:archive_signal
92,7,Milo,signal_orchard,v31:Milo:signal_orchard:day7,river lantern loop,imports:3 rev:4,tasks:5 debt:0.04,turn:1 kind:none,0.94,True,replay:92:signal_orchard
93,7,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day7,market plank route,imports:3 rev:4,tasks:6 debt:0.03,turn:1 kind:planning_followup,0.94,True,replay:93:orchard_riverbend
94,7,Juno,central_repair_ring,v31:Juno:central_repair_ring:day7,outer bell path,imports:4 rev:5,tasks:6 debt:0.03,turn:0 kind:none,0.93,True,replay:94:central_repair_ring
95,7,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day7,river ford,imports:4 rev:5,tasks:3 debt:0.07,turn:0 kind:none,0.94,True,replay:95:riverbend_roofward
96,7,Fay,roofward_archive,v31:Fay:roofward_archive:day7,glass stair,imports:4 rev:5,tasks:6 debt:0.03,turn:1 kind:none,0.94,True,replay:96:roofward_archive
97,7,Nia,archive_signal,v31:Nia:archive_signal:day7,stone kiosk path,imports:4 rev:5,tasks:6 debt:0.03,turn:0 kind:none,0.93,True,replay:97:archive_signal
98,7,Milo,signal_orchard,v31:Milo:signal_orchard:day7,river lantern loop,imports:4 rev:5,tasks:5 debt:0.04,turn:1 kind:none,0.94,True,replay:98:signal_orchard
99,7,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day7,market plank route,imports:4 rev:5,tasks:6 debt:0.03,turn:1 kind:none,0.94,True,replay:99:orchard_riverbend
100,7,Juno,central_repair_ring,v31:Juno:central_repair_ring:day7,outer bell path,imports:4 rev:5,tasks:7 debt:0.01,turn:0 kind:none,0.94,True,replay:100:central_repair_ring
101,7,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day7,river ford,imports:4 rev:5,tasks:3 debt:0.07,turn:1 kind:planning_followup,0.94,True,replay:101:riverbend_roofward
102,7,Fay,roofward_archive,v31:Fay:roofward_archive:day7,glass stair,imports:4 rev:5,tasks:6 debt:0.03,turn:1 kind:none,0.94,True,replay:102:roofward_archive
103,7,Nia,archive_signal,v31:Nia:archive_signal:day7,stone kiosk path,imports:4 rev:5,tasks:7 debt:0.01,turn:0 kind:none,0.94,True,replay:103:archive_signal
104,7,Milo,signal_orchard,v31:Milo:signal_orchard:day7,river lantern loop,imports:5 rev:6,tasks:5 debt:0.04,turn:1 kind:none,0.94,True,replay:104:signal_orchard
105,8,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day8,market plank route,imports:5 rev:6,tasks:6 debt:0.03,turn:1 kind:none,0.94,True,replay:105:orchard_riverbend
106,8,Juno,central_repair_ring,v31:Juno:central_repair_ring:day8,outer bell path,imports:5 rev:6,tasks:7 debt:0.01,turn:0 kind:none,0.94,True,replay:106:central_repair_ring
107,8,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day8,river ford,imports:4 rev:5,tasks:4 debt:0.06,turn:1 kind:none,0.94,True,replay:107:riverbend_roofward
108,8,Fay,roofward_archive,v31:Fay:roofward_archive:day8,glass stair,imports:4 rev:5,tasks:6 debt:0.03,turn:2 kind:thanks,0.94,True,replay:108:roofward_archive
109,8,Nia,archive_signal,v31:Nia:archive_signal:day8,stone kiosk path,imports:4 rev:5,tasks:7 debt:0.01,turn:0 kind:none,0.94,True,replay:109:archive_signal
110,8,Milo,signal_orchard,v31:Milo:signal_orchard:day8,river lantern loop,imports:5 rev:6,tasks:6 debt:0.03,turn:1 kind:none,0.94,True,replay:110:signal_orchard
111,8,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day8,market plank route,imports:5 rev:6,tasks:6 debt:0.03,turn:1 kind:none,0.94,True,replay:111:orchard_riverbend
112,8,Juno,central_repair_ring,v31:Juno:central_repair_ring:day8,outer bell path,imports:5 rev:6,tasks:7 debt:0.01,turn:0 kind:none,0.94,True,replay:112:central_repair_ring
113,8,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day8,river ford,imports:4 rev:5,tasks:5 debt:0.04,turn:1 kind:none,0.94,True,replay:113:riverbend_roofward
114,8,Fay,roofward_archive,v31:Fay:roofward_archive:day8,glass stair,imports:5 rev:6,tasks:6 debt:0.03,turn:2 kind:none,0.94,True,replay:114:roofward_archive
115,8,Nia,archive_signal,v31:Nia:archive_signal:day8,stone kiosk path,imports:4 rev:5,tasks:8 debt:0.00,turn:0 kind:none,0.94,True,replay:115:archive_signal
116,8,Milo,signal_orchard,v31:Milo:signal_orchard:day8,river lantern loop,imports:5 rev:6,tasks:6 debt:0.03,turn:2 kind:planning_followup,0.94,True,replay:116:signal_orchard
117,8,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day8,market plank route,imports:5 rev:6,tasks:6 debt:0.03,turn:1 kind:none,0.94,True,replay:117:orchard_riverbend
118,8,Juno,central_repair_ring,v31:Juno:central_repair_ring:day8,outer bell path,imports:5 rev:6,tasks:8 debt:0.00,turn:0 kind:none,0.94,True,replay:118:central_repair_ring
119,8,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day8,river ford,imports:5 rev:6,tasks:5 debt:0.04,turn:1 kind:none,0.94,True,replay:119:riverbend_roofward
120,9,Fay,roofward_archive,v31:Fay:roofward_archive:day9,glass stair,imports:5 rev:6,tasks:7 debt:0.05,turn:2 kind:none,0.94,True,replay:120:roofward_archive
121,9,Nia,archive_signal,v31:Nia:archive_signal:day9,stone kiosk path,imports:5 rev:6,tasks:8 debt:0.00,turn:0 kind:none,0.94,True,replay:121:archive_signal
122,9,Milo,signal_orchard,v31:Milo:signal_orchard:day9,river lantern loop,imports:5 rev:6,tasks:7 debt:0.01,turn:2 kind:none,0.94,True,replay:122:signal_orchard
123,9,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day9,market plank route,imports:5 rev:6,tasks:6 debt:0.03,turn:2 kind:thanks,0.94,True,replay:123:orchard_riverbend
124,9,Juno,central_repair_ring,v31:Juno:central_repair_ring:day9,outer bell path,imports:5 rev:6,tasks:8 debt:0.00,turn:0 kind:none,0.94,True,replay:124:central_repair_ring
125,9,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day9,river ford,imports:5 rev:6,tasks:6 debt:0.03,turn:1 kind:none,0.94,True,replay:125:riverbend_roofward
126,9,Fay,roofward_archive,v31:Fay:roofward_archive:day9,glass stair,imports:5 rev:6,tasks:8 debt:0.07,turn:2 kind:none,0.94,True,replay:126:roofward_archive
127,9,Nia,archive_signal,v31:Nia:archive_signal:day9,stone kiosk path,imports:5 rev:6,tasks:8 debt:0.00,turn:0 kind:none,0.94,True,replay:127:archive_signal
128,9,Milo,signal_orchard,v31:Milo:signal_orchard:day9,river lantern loop,imports:5 rev:6,tasks:7 debt:0.01,turn:2 kind:none,0.94,True,replay:128:signal_orchard
129,9,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day9,market plank route,imports:6 rev:7,tasks:6 debt:0.03,turn:2 kind:none,0.94,True,replay:129:orchard_riverbend
130,9,Juno,central_repair_ring,v31:Juno:central_repair_ring:day9,outer bell path,imports:5 rev:6,tasks:9 debt:0.00,turn:0 kind:none,0.94,True,replay:130:central_repair_ring
131,9,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day9,river ford,imports:5 rev:6,tasks:6 debt:0.03,turn:2 kind:planning_followup,0.94,True,replay:131:riverbend_roofward
132,9,Fay,roofward_archive,v31:Fay:roofward_archive:day9,glass stair,imports:5 rev:6,tasks:9 debt:0.08,turn:2 kind:none,0.94,True,replay:132:roofward_archive
133,9,Nia,archive_signal,v31:Nia:archive_signal:day9,stone kiosk path,imports:5 rev:6,tasks:9 debt:0.00,turn:0 kind:none,0.94,True,replay:133:archive_signal
134,9,Milo,signal_orchard,v31:Milo:signal_orchard:day9,river lantern loop,imports:6 rev:7,tasks:7 debt:0.01,turn:2 kind:none,0.94,True,replay:134:signal_orchard
135,10,Juno,central_repair_ring,v31:Juno:central_repair_ring:day10,outer bell path,imports:5 rev:6,tasks:9 debt:0.00,turn:0 kind:none,0.94,True,replay:135:central_repair_ring
136,10,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day10,river ford,imports:6 rev:7,tasks:6 debt:0.03,turn:2 kind:none,0.94,True,replay:136:riverbend_roofward
137,10,Fay,roofward_archive,v31:Fay:roofward_archive:day10,glass stair,imports:5 rev:6,tasks:10 debt:0.07,turn:2 kind:none,0.94,True,replay:137:roofward_archive
138,10,Nia,archive_signal,v31:Nia:archive_signal:day10,stone kiosk path,imports:5 rev:6,tasks:10 debt:0.02,turn:1 kind:planning_followup,0.94,True,replay:138:archive_signal
139,10,Milo,signal_orchard,v31:Milo:signal_orchard:day10,dusk road,imports:6 rev:7,tasks:7 debt:0.01,turn:2 kind:none,0.93,True,replay:139:signal_orchard
140,10,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day10,market plank route,imports:6 rev:7,tasks:7 debt:0.01,turn:2 kind:none,0.94,True,replay:140:orchard_riverbend
141,10,Juno,central_repair_ring,v31:Juno:central_repair_ring:day10,outer bell path,imports:5 rev:6,tasks:9 debt:0.00,turn:0 kind:none,0.93,True,replay:141:central_repair_ring
142,10,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day10,river ford,imports:6 rev:7,tasks:6 debt:0.03,turn:2 kind:none,0.93,True,replay:142:riverbend_roofward
143,10,Fay,roofward_archive,v31:Fay:roofward_archive:day10,glass stair,imports:5 rev:6,tasks:10 debt:0.07,turn:2 kind:none,0.94,True,replay:143:roofward_archive
144,10,Nia,archive_signal,v31:Nia:archive_signal:day10,stone kiosk path,imports:6 rev:7,tasks:11 debt:0.04,turn:1 kind:none,0.94,True,replay:144:archive_signal
145,10,Milo,signal_orchard,v31:Milo:signal_orchard:day10,dusk road,imports:6 rev:7,tasks:8 debt:0.00,turn:2 kind:none,0.94,True,replay:145:signal_orchard
146,10,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day10,market plank route,imports:6 rev:7,tasks:7 debt:0.01,turn:3 kind:planning_followup,0.94,True,replay:146:orchard_riverbend
147,10,Juno,central_repair_ring,v31:Juno:central_repair_ring:day10,outer bell path,imports:6 rev:7,tasks:9 debt:0.00,turn:0 kind:none,0.94,True,replay:147:central_repair_ring
148,10,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day10,river ford,imports:6 rev:7,tasks:7 debt:0.01,turn:2 kind:none,0.94,True,replay:148:riverbend_roofward
149,10,Fay,roofward_archive,v31:Fay:roofward_archive:day10,glass stair,imports:6 rev:7,tasks:10 debt:0.07,turn:2 kind:none,0.94,True,replay:149:roofward_archive
150,11,Nia,archive_signal,v31:Nia:archive_signal:day11,paper lane,imports:6 rev:7,tasks:11 debt:0.04,turn:1 kind:none,0.94,True,replay:150:archive_signal
