tick_id,day,tick,caravan_id,route_id,source,destination,position,speed,cargo,cargo_amount,fatigue,blocked,arrived,visible_marker
56,5,0,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.174709,0.101829,paper,1.5,0.38189,False,False,moving
57,5,1,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.142763,0.09521,oil,1.65,0.412956,False,False,moving
58,5,2,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.158845,0.096463,seeds,1.8,0.439857,False,False,moving
59,5,3,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.32212,0.09184,wire,1.2,0.455636,False,False,moving
60,5,4,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.210495,0.096221,planks,1.2,0.348382,False,False,moving
61,5,5,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.250427,0.104281,herbs,1.35,0.367991,False,False,moving
62,5,6,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.19204,0.10149,paper,1.5,0.393154,False,False,moving
63,5,7,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.162632,0.101336,oil,1.65,0.423189,False,False,moving
64,5,8,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.176009,0.094232,seeds,1.8,0.451558,False,False,moving
65,5,9,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.349525,0.093613,wire,1.2,0.467342,False,False,moving
66,5,10,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.234845,0.10227,planks,1.2,0.358616,False,False,moving
67,5,11,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.273859,0.102912,herbs,1.35,0.378895,False,False,moving
68,5,12,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.208725,0.09771,paper,1.5,0.405498,False,False,moving
69,5,13,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.182532,0.101486,oil,1.65,0.433759,False,False,moving
70,6,0,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.194294,0.100385,seeds,1.2,0.461796,False,False,moving
71,6,1,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.378035,0.097392,wire,1.35,0.478305,False,False,moving
72,6,2,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.25435,0.099942,planks,1.35,0.369909,False,False,moving
73,6,3,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.297251,0.102738,herbs,1.5,0.389799,False,False,moving
74,6,4,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.226196,0.102312,paper,1.65,0.416402,False,False,moving
75,6,5,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.201989,0.099232,oil,1.8,0.445387,False,False,moving
76,6,6,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.212612,0.100562,seeds,1.2,0.472371,False,False,moving
77,6,7,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.412886,0.097583,wire,1.35,0.489605,False,False,moving
78,6,8,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.273397,0.097599,planks,1.35,0.38226,False,False,moving
79,6,9,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.320877,0.103763,herbs,1.5,0.400343,False,False,moving
80,6,10,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.243433,0.100938,paper,1.65,0.427666,False,False,moving
81,6,11,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.222351,0.103846,oil,1.8,0.455574,False,False,moving
82,6,12,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.230523,0.098334,seeds,1.2,0.484003,False,False,moving
83,6,13,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.441507,0.097769,wire,1.35,0.501241,False,False,moving
84,7,0,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.343917,0.101195,herbs,1.65,0.411607,False,False,moving
85,7,1,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.261254,0.104357,paper,1.8,0.43785,False,False,moving
86,7,2,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.24221,0.101283,oil,1.2,0.466482,False,False,moving
87,7,3,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.248056,0.096256,seeds,1.35,0.496347,False,False,moving
88,7,4,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.477928,0.10198,wire,1.5,0.511785,False,False,moving
89,7,5,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.293437,0.102684,planks,1.5,0.393164,False,False,moving
90,7,6,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.366644,0.099814,herbs,1.65,0.423231,False,False,moving
91,7,7,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.278841,0.102994,paper,1.8,0.448394,False,False,moving
92,7,8,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.24221,0.0,oil,1.2,0.484482,True,False,blocked
93,7,9,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.266864,0.103258,seeds,1.35,0.506531,False,False,moving
94,7,10,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.507381,0.100611,wire,1.5,0.522689,False,False,moving
95,7,11,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.313208,0.101309,planks,1.5,0.404428,False,False,moving
96,7,12,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.389874,0.102028,herbs,1.65,0.434135,False,False,moving
97,7,13,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.296195,0.101626,paper,1.8,0.459298,False,False,moving
98,8,0,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.258029,0.098423,oil,1.35,0.495083,False,False,moving
99,8,1,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.288974,0.099496,seeds,1.5,0.517795,False,False,moving
100,8,2,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.537486,0.102837,wire,1.65,0.532873,False,False,moving
101,8,3,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.332945,0.101129,planks,1.65,0.415692,False,False,moving
102,8,4,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.412792,0.100654,herbs,1.8,0.445399,False,False,moving
103,8,5,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.31393,0.103851,paper,1.2,0.469482,False,False,moving
104,8,6,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.273871,0.098571,oil,1.35,0.506022,False,False,moving
105,8,7,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.306846,0.098115,seeds,1.5,0.529419,False,False,moving
106,8,8,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.566489,0.099074,wire,1.65,0.544137,False,False,moving
107,8,9,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.35288,0.102149,planks,1.65,0.426596,False,False,moving
108,8,10,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.435395,0.099274,herbs,1.8,0.457023,False,False,moving
109,8,11,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.331431,0.102488,paper,1.2,0.480026,False,False,moving
110,8,12,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.273871,0.0,oil,1.35,0.524022,True,False,blocked
111,8,13,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.325558,0.102729,seeds,1.5,0.539603,False,False,moving
112,9,0,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.595088,0.097694,wire,1.8,0.555761,False,False,moving
113,9,1,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.37325,0.104374,planks,1.8,0.43678,False,False,moving
114,9,2,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.458502,0.101488,herbs,1.2,0.467927,False,False,moving
115,9,3,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.347879,0.09632,paper,1.35,0.49237,False,False,moving
116,9,4,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.289741,0.098744,oil,1.5,0.534609,False,False,moving
117,9,5,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.343585,0.098966,seeds,1.65,0.550867,False,False,moving
118,9,6,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.625037,0.102308,wire,1.8,0.565945,False,False,moving
119,9,7,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.393354,0.103012,planks,1.8,0.447324,False,False,moving
120,9,8,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.48075,0.097713,herbs,1.2,0.479911,False,False,moving
121,9,9,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.369405,0.103322,paper,1.35,0.502554,False,False,moving
122,9,10,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.305636,0.098894,oil,1.5,0.545533,False,False,moving
123,9,11,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.36136,0.097586,seeds,1.65,0.562491,False,False,moving
124,9,12,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.653885,0.098545,wire,1.8,0.577209,False,False,moving
125,9,13,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.41319,0.101643,planks,1.8,0.458228,False,False,moving
126,10,0,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.504048,0.102321,herbs,1.35,0.490455,False,False,moving
127,10,1,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.386406,0.099559,paper,1.5,0.513818,False,False,moving
128,10,2,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.322105,0.102471,oil,1.65,0.555717,False,False,moving
129,10,3,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.379101,0.0974,seeds,1.8,0.574115,False,False,moving
130,10,4,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.682329,0.097165,wire,1.2,0.588833,False,False,moving
131,10,5,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.433461,0.103868,planks,1.2,0.468412,False,False,moving
132,10,6,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.53209,0.100953,herbs,1.35,0.501359,False,False,moving
133,10,7,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.403171,0.098179,paper,1.5,0.525442,False,False,moving
134,10,8,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.337969,0.098709,oil,1.65,0.566981,False,False,moving
135,10,9,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.397028,0.098414,seeds,1.8,0.585379,False,False,moving
136,10,10,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.712124,0.101779,wire,1.2,0.599017,False,False,moving
137,10,11,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.453466,0.102505,planks,1.2,0.478956,False,False,moving
138,10,12,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.554216,0.097178,herbs,1.35,0.513343,False,False,moving
139,10,13,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.420725,0.102793,paper,1.5,0.535626,False,False,moving
140,11,0,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.353612,0.097328,oil,1.8,0.578605,False,False,moving
141,11,1,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.415358,0.100634,seeds,1.2,0.595923,False,False,moving
142,11,2,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.740817,0.098016,wire,1.35,0.610281,False,False,moving
143,11,3,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.453466,0.0,planks,1.35,0.496956,True,False,blocked
144,11,4,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.577392,0.101787,herbs,1.5,0.523887,False,False,moving
145,11,5,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.437636,0.09903,paper,1.65,0.54689,False,False,moving
146,11,6,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.369996,0.101942,oil,1.8,0.588789,False,False,moving
147,11,7,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.433439,0.099265,seeds,1.2,0.606827,False,False,moving
148,11,8,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.768404,0.094236,wire,1.35,0.622625,False,False,moving
149,11,9,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.473182,0.101023,planks,1.35,0.507173,False,False,moving
150,11,10,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.600255,0.100418,herbs,1.5,0.534791,False,False,moving
151,11,11,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.454311,0.09765,paper,1.65,0.558514,False,False,moving
152,11,12,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.385775,0.098179,oil,1.8,0.600053,False,False,moving
153,11,13,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.45127,0.097891,seeds,1.2,0.618091,False,False,moving
154,12,0,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.803703,0.098838,wire,1.5,0.633529,False,False,moving
155,12,1,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.492597,0.099485,planks,1.5,0.518437,False,False,moving
156,12,2,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.623626,0.102643,herbs,1.65,0.544975,False,False,moving
157,12,3,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.470954,0.097464,paper,1.8,0.570138,False,False,moving
158,12,4,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.401333,0.096799,oil,1.2,0.611677,False,False,moving
159,12,5,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.469505,0.100111,seeds,1.35,0.628635,False,False,moving
160,12,6,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.832234,0.097464,wire,1.5,0.644793,False,False,moving
161,12,7,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.511743,0.098105,planks,1.5,0.530061,False,False,moving
162,12,8,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.64614,0.09888,herbs,1.65,0.556239,False,False,moving
163,12,9,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.487771,0.098478,paper,1.8,0.581402,False,False,moving
164,12,10,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.417632,0.101413,oil,1.2,0.621861,False,False,moving
165,12,11,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.491448,0.098742,seeds,1.35,0.639539,False,False,moving
166,12,12,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.859659,0.093683,wire,1.5,0.657137,False,False,moving
167,12,13,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.53179,0.102719,planks,1.5,0.540245,False,False,moving
168,13,0,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.668339,0.0975,herbs,1.8,0.567863,False,False,moving
169,13,1,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.504966,0.100698,paper,1.2,0.591946,False,False,moving
170,13,2,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.433326,0.09765,oil,1.35,0.633125,False,False,moving
171,13,3,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.509402,0.098567,seeds,1.5,0.650443,False,False,moving
172,13,4,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.888431,0.098286,wire,1.65,0.668041,False,False,moving
173,13,5,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.551102,0.098956,planks,1.65,0.551509,False,False,moving
174,13,6,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.691589,0.102114,herbs,1.8,0.578047,False,False,moving
175,13,7,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.521928,0.099329,paper,1.2,0.60285,False,False,moving
176,13,8,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.433326,0.0,oil,1.35,0.651125,True,False,blocked
177,13,9,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.527542,0.099593,seeds,1.5,0.660987,False,False,moving
178,13,10,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.916801,0.096911,wire,1.65,0.679305,False,False,moving
179,13,11,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.570145,0.097576,planks,1.65,0.563133,False,False,moving
180,13,12,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.713982,0.098351,herbs,1.8,0.589311,False,False,moving
181,13,13,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.538655,0.097954,paper,1.2,0.614114,False,False,moving
182,14,0,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.545215,0.097024,seeds,1.65,0.672251,False,False,moving
183,14,1,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.952634,0.100331,wire,1.8,0.689489,False,False,moving
184,14,2,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.589854,0.10099,planks,1.8,0.573677,False,False,moving
185,14,3,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.735788,0.095771,herbs,1.2,0.601295,False,False,moving
186,14,4,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.555967,0.101374,paper,1.35,0.624298,False,False,moving
187,14,5,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.452204,0.096277,oil,1.5,0.662061,False,False,moving
188,14,6,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.562637,0.095644,seeds,1.65,0.683875,False,False,moving
189,14,7,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.98798,0.098968,wire,1.8,0.700033,False,False,moving
190,14,8,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.608828,0.097221,planks,1.8,0.585301,False,False,moving
191,14,9,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.757824,0.096779,herbs,1.2,0.612919,False,False,moving
192,14,10,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.573045,0.100011,paper,1.35,0.634842,False,False,moving
193,14,11,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.467795,0.097007,oil,1.5,0.673325,False,False,moving
194,14,12,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.580461,0.097858,seeds,1.65,0.694779,False,False,moving
195,14,13,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.0,0.097599,wire,1.8,0.600033,False,True,arrived
196,15,0,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.628702,0.101835,planks,1.2,0.595485,False,False,moving
197,15,1,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.780363,0.098993,herbs,1.35,0.623823,False,False,moving
198,15,2,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.593095,0.096243,paper,1.5,0.646466,False,False,moving
199,15,3,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.483357,0.096827,oil,1.65,0.684589,False,False,moving
200,15,4,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.598036,0.096484,seeds,1.8,0.706043,False,False,moving
201,15,5,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.029742,0.101599,wire,1.2,0.610217,False,False,moving
202,15,6,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.64831,0.100472,planks,1.2,0.606029,False,False,moving
203,15,7,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.80259,0.097619,herbs,1.35,0.635087,False,False,moving
204,15,8,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.609908,0.098457,paper,1.5,0.65737,False,False,moving
205,15,9,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.499083,0.097847,oil,1.65,0.695493,False,False,moving
206,15,10,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.615359,0.095103,seeds,1.8,0.717667,False,False,moving
207,15,11,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.059085,0.100237,wire,1.2,0.620761,False,False,moving
