tick_index,day,clock_label,agent,event_kind,event_description,visual_lux,sound_hz,sound_pressure,smell_intensity,ambient_temperature_c,wetness_rate,movement_vibration_hz,flower_phase_deg,pain_signal_rate,breath_rate,sensory_packet
1,1,day 1 05:00,Ari,ordinary_walk,low movement through familiar lane,0.700675,183.649715,0.194659,0.268405,20.445392,0.053088,2.604727,224.087764,0.067,16.874888,see=0.70; hear=0.19@183.6hz; smell=0.27; temp=20.4; wet=0.05; pain=0.07; vib=2.60hz
19,1,day 1 23:00,Milo,sharp_noise,sudden metal crack spikes arousal,0.71108,274.44843,0.805547,0.126723,20.893891,0.042005,2.625083,189.457516,0.0605,18.08639,see=0.71; hear=0.81@274.4hz; smell=0.13; temp=20.9; wet=0.04; pain=0.06; vib=2.63hz
20,1,day 1 24:00,Sol,crowding,near bodies reduce personal space,0.713881,270.807505,0.645054,0.137709,20.884778,0.054966,2.161039,313.32528,0.0695,17.127334,see=0.71; hear=0.65@270.8hz; smell=0.14; temp=20.9; wet=0.05; pain=0.07; vib=2.16hz
21,1,day 1 25:00,Ari,missed_meal,hunger and thirst rise during work,0.695194,172.282769,0.177617,0.150779,20.871661,0.066279,2.198899,94.243044,0.067,14.219227,see=0.70; hear=0.18@172.3hz; smell=0.15; temp=20.9; wet=0.07; pain=0.07; vib=2.20hz
22,1,day 1 26:00,Fay,pain_twinge,old strain catches during turn,0.671852,168.971905,0.164676,0.165413,20.854649,0.0747,2.374977,236.710808,0.5445,16.04899,see=0.67; hear=0.16@169.0hz; smell=0.17; temp=20.9; wet=0.07; pain=0.54; vib=2.37hz
23,1,day 1 27:00,Milo,avatar_gives_space,avatar steps back and waits,0.676704,165.966668,0.163114,0.181028,20.833882,0.0793,2.568367,19.488572,0.0605,14.103306,see=0.68; hear=0.16@166.0hz; smell=0.18; temp=20.8; wet=0.08; pain=0.06; vib=2.57hz
24,1,day 1 28:00,Sol,warm_shelter,dry heat and low sound restore comfort,0.664003,163.350345,0.163933,0.357,22.609531,0.0,2.155978,143.356336,0.0695,11.744385,see=0.66; hear=0.16@163.4hz; smell=0.36; temp=22.6; wet=0.00; pain=0.07; vib=2.16hz
25,1,day 1 29:00,Ari,trusted_help,known helper shares the work,0.657352,161.195443,0.183859,0.212693,20.781798,0.075492,2.299113,284.2741,0.067,14.257927,see=0.66; hear=0.18@161.2hz; smell=0.21; temp=20.8; wet=0.08; pain=0.07; vib=2.30hz
26,1,day 1 30:00,Fay,autonomy_pressure,avatar asks again before rest,0.628449,159.561681,0.169067,0.227481,20.750913,0.067502,2.486247,66.741864,0.0645,14.156218,see=0.63; hear=0.17@159.6hz; smell=0.23; temp=20.8; wet=0.07; pain=0.06; vib=2.49hz
27,1,day 1 31:00,Milo,curious_discovery,new beetle-clock pattern invites exploration,0.625872,158.494337,0.19466,0.240775,20.717129,0.056485,2.689044,209.519628,0.0605,14.298891,see=0.63; hear=0.19@158.5hz; smell=0.24; temp=20.7; wet=0.06; pain=0.06; vib=2.69hz
28,1,day 1 32:00,Sol,rest_cycle,agent chooses stillness and slow breath,0.38779,158.022992,0.180769,0.252045,20.680725,0.0,2.271377,333.387392,0.0695,11.848765,see=0.39; hear=0.18@158.0hz; smell=0.25; temp=20.7; wet=0.00; pain=0.07; vib=2.27hz
29,1,day 1 33:00,Ari,ritual_hum,group tone stabilizes breath rhythm,0.373181,253.160707,0.646894,0.260842,20.642004,0.030419,2.485211,114.305156,0.067,14.728745,see=0.37; hear=0.65@253.2hz; smell=0.26; temp=20.6; wet=0.03; pain=0.07; vib=2.49hz
30,1,day 1 34:00,Fay,tool_returned,owned object is returned intact,0.610727,158.903666,0.166313,0.266814,20.601284,0.018239,2.572496,256.77292,0.0645,14.139139,see=0.61; hear=0.17@158.9hz; smell=0.27; temp=20.6; wet=0.02; pain=0.06; vib=2.57hz
31,2,day 2 05:00,Sol,ordinary_walk,low movement through familiar lane,0.60533,160.231279,0.167834,0.269723,20.558901,0.008455,2.579562,44.910684,0.0695,16.71857,see=0.61; hear=0.17@160.2hz; smell=0.27; temp=20.6; wet=0.01; pain=0.07; vib=2.58hz
32,2,day 2 06:00,Ari,cold_wet_crossing,wet stones chill feet and slow movement,0.59493,162.106753,0.180616,0.649455,15.615206,0.592144,2.691234,185.828448,0.187,17.267817,see=0.59; hear=0.18@162.1hz; smell=0.65; temp=15.6; wet=0.59; pain=0.19; vib=2.69hz
33,2,day 2 07:00,Fay,heavy_carry,tool crate adds load and breath cost,0.614212,164.478113,0.175426,0.266019,20.47056,0.0,2.842289,328.296212,0.2545,17.505643,see=0.61; hear=0.18@164.5hz; smell=0.27; temp=20.5; wet=0.00; pain=0.25; vib=2.84hz
34,2,day 2 08:00,Milo,sharp_noise,sudden metal crack spikes arousal,0.598851,262.279639,0.800828,0.259552,20.425331,0.00226,2.839967,111.073976,0.0605,18.057132,see=0.60; hear=0.80@262.3hz; smell=0.26; temp=20.4; wet=0.00; pain=0.06; vib=2.84hz
35,2,day 2 09:00,Sol,crowding,near bodies reduce personal space,0.613936,265.433691,0.679435,0.250312,20.379893,0.008674,2.357265,234.94174,0.0695,17.340497,see=0.61; hear=0.68@265.4hz; smell=0.25; temp=20.4; wet=0.01; pain=0.07; vib=2.36hz
36,2,day 2 10:00,Ari,missed_meal,hunger and thirst rise during work,0.6135,173.852859,0.168628,0.238668,20.33462,0.018537,2.349807,15.859504,0.067,14.163496,see=0.61; hear=0.17@173.9hz; smell=0.24; temp=20.3; wet=0.02; pain=0.07; vib=2.35hz
37,2,day 2 11:00,Fay,pain_twinge,old strain catches during turn,0.604894,177.442386,0.180693,0.225084,20.289888,0.030763,2.483391,158.327268,0.5445,16.148294,see=0.60; hear=0.18@177.4hz; smell=0.23; temp=20.3; wet=0.03; pain=0.54; vib=2.48hz
38,2,day 2 12:00,Milo,avatar_gives_space,avatar steps back and waits,0.631089,181.102794,0.184796,0.210101,20.246065,0.044005,2.624245,301.105032,0.0605,14.237738,see=0.63; hear=0.18@181.1hz; smell=0.21; temp=20.2; wet=0.04; pain=0.06; vib=2.62hz
39,2,day 2 13:00,Sol,warm_shelter,dry heat and low sound restore comfort,0.642035,184.73264,0.183873,0.354316,22.003514,0.0,2.154755,64.972796,0.0695,11.868012,see=0.64; hear=0.18@184.7hz; smell=0.35; temp=22.0; wet=0.00; pain=0.07; vib=2.15hz
40,2,day 2 14:00,Ari,trusted_help,known helper shares the work,0.639132,188.231327,0.17016,0.17836,20.162585,0.067758,2.235346,205.89056,0.067,14.172993,see=0.64; hear=0.17@188.2hz; smell=0.18; temp=20.2; wet=0.07; pain=0.07; vib=2.24hz
41,2,day 2 15:00,Fay,autonomy_pressure,avatar asks again before rest,0.640895,191.501895,0.17048,0.162868,20.123617,0.075654,2.372523,348.358324,0.0645,14.164974,see=0.64; hear=0.17@191.5hz; smell=0.16; temp=20.1; wet=0.08; pain=0.06; vib=2.37hz
42,2,day 2 16:00,Milo,curious_discovery,new beetle-clock pattern invites exploration,0.660944,194.453705,0.192841,0.148457,20.086931,0.079624,2.529148,131.136088,0.0605,14.287613,see=0.66; hear=0.19@194.5hz; smell=0.15; temp=20.1; wet=0.08; pain=0.06; vib=2.53hz
43,2,day 2 17:00,Sol,rest_cycle,agent chooses stillness and slow breath,0.429227,197.004952,0.179999,0.135702,20.052831,0.0,2.076,255.003852,0.0695,11.843996,see=0.43; hear=0.18@197.0hz; smell=0.14; temp=20.1; wet=0.00; pain=0.07; vib=2.08hz
44,2,day 2 18:00,Ari,ritual_hum,group tone stabilizes breath rhythm,0.46325,294.084931,0.650077,0.125113,20.021599,0.074522,2.267015,35.921616,0.067,14.748478,see=0.46; hear=0.65@294.1hz; smell=0.13; temp=20.0; wet=0.07; pain=0.07; vib=2.27hz
45,2,day 2 19:00,Fay,tool_returned,owned object is returned intact,0.691788,200.635999,0.193744,0.11711,19.993491,0.066012,2.348737,178.38938,0.0645,14.309216,see=0.69; hear=0.19@200.6hz; smell=0.12; temp=20.0; wet=0.07; pain=0.06; vib=2.35hz
46,2,day 2 20:00,Milo,ordinary_walk,low movement through familiar lane,0.717483,201.615171,0.187445,0.112013,19.968741,0.054637,2.798686,321.167144,0.0605,16.804161,see=0.72; hear=0.19@201.6hz; smell=0.11; temp=20.0; wet=0.05; pain=0.06; vib=2.80hz
47,2,day 2 21:00,Sol,cold_wet_crossing,wet stones chill feet and slow movement,0.725933,201.99531,0.188967,0.490025,15.047552,0.631651,2.376574,85.034908,0.1895,17.329597,see=0.73; hear=0.19@202.0hz; smell=0.49; temp=15.0; wet=0.63; pain=0.19; vib=2.38hz
48,2,day 2 22:00,Ari,heavy_carry,tool crate adds load and breath cost,0.732536,201.765881,0.192412,0.111225,19.9301,0.028484,2.510245,225.952672,0.257,17.620952,see=0.73; hear=0.19@201.8hz; smell=0.11; temp=19.9; wet=0.03; pain=0.26; vib=2.51hz
49,2,day 2 23:00,Fay,sharp_noise,sudden metal crack spikes arousal,0.737285,295.933243,0.816691,0.115566,19.916529,0.016584,2.53967,8.420436,0.0645,18.171484,see=0.74; hear=0.82@295.9hz; smell=0.12; temp=19.9; wet=0.02; pain=0.06; vib=2.54hz
50,2,day 2 24:00,Milo,crowding,near bodies reduce personal space,0.730862,294.52047,0.656603,0.122874,19.906951,0.007262,2.71023,151.1982,0.0605,17.162937,see=0.73; hear=0.66@294.5hz; smell=0.12; temp=19.9; wet=0.01; pain=0.06; vib=2.71hz
51,2,day 2 25:00,Sol,missed_meal,hunger and thirst rise during work,0.748392,197.566716,0.183317,0.132859,19.901444,0.001544,2.214909,275.065964,0.0695,14.264565,see=0.75; hear=0.18@197.6hz; smell=0.13; temp=19.9; wet=0.00; pain=0.07; vib=2.21hz
52,2,day 2 26:00,Ari,pain_twinge,old strain catches during turn,0.752836,195.126127,0.175536,0.145121,19.900055,6e-05,2.352017,55.983728,0.547,16.126324,see=0.75; hear=0.18@195.1hz; smell=0.15; temp=19.9; wet=0.00; pain=0.55; vib=2.35hz
53,2,day 2 27:00,Fay,avatar_gives_space,avatar steps back and waits,0.769703,192.266339,0.193973,0.159173,19.902795,0.002972,2.540708,198.451492,0.0645,14.310633,see=0.77; hear=0.19@192.3hz; smell=0.16; temp=19.9; wet=0.00; pain=0.06; vib=2.54hz
54,2,day 2 28:00,Milo,warm_shelter,dry heat and low sound restore comfort,0.768768,189.066607,0.198889,0.334454,21.709642,0.0,2.732254,341.229256,0.0605,11.925113,see=0.77; hear=0.20@189.1hz; smell=0.33; temp=21.7; wet=0.00; pain=0.06; vib=2.73hz
55,2,day 2 29:00,Sol,trusted_help,known helper shares the work,0.767648,185.615607,0.18726,0.190354,19.920538,0.020256,2.304825,105.09702,0.0695,14.28901,see=0.77; hear=0.19@185.6hz; smell=0.19; temp=19.9; wet=0.02; pain=0.07; vib=2.30hz
56,2,day 2 30:00,Ari,autonomy_pressure,avatar asks again before rest,0.756011,182.008979,0.188385,0.20624,19.935394,0.032725,2.422782,246.014784,0.067,14.285986,see=0.76; hear=0.19@182.0hz; smell=0.21; temp=19.9; wet=0.03; pain=0.07; vib=2.42hz
57,2,day 2 31:00,Fay,curious_discovery,new beetle-clock pattern invites exploration,0.753451,178.346675,0.180078,0.221479,19.954087,0.045995,2.581651,28.482548,0.0645,14.224482,see=0.75; hear=0.18@178.3hz; smell=0.22; temp=20.0; wet=0.05; pain=0.06; vib=2.58hz
58,2,day 2 32:00,Milo,rest_cycle,agent chooses stillness and slow breath,0.52112,174.730191,0.189738,0.235463,19.976462,0.0,2.74634,171.260312,0.0605,11.868373,see=0.52; hear=0.19@174.7hz; smell=0.24; temp=20.0; wet=0.00; pain=0.06; vib=2.75hz
59,2,day 2 33:00,Sol,ritual_hum,group tone stabilizes breath rhythm,0.521421,266.259752,0.672969,0.247635,20.002336,0.069167,2.379297,295.128076,0.0695,14.900407,see=0.52; hear=0.67@266.3hz; smell=0.25; temp=20.0; wet=0.07; pain=0.07; vib=2.38hz
60,2,day 2 34:00,Ari,tool_returned,owned object is returned intact,0.72704,168.031536,0.181384,0.257508,20.031494,0.076518,2.380684,76.04584,0.067,14.242582,see=0.73; hear=0.18@168.0hz; smell=0.26; temp=20.0; wet=0.08; pain=0.07; vib=2.38hz
61,3,day 3 05:00,Milo,ordinary_walk,low movement through familiar lane,0.74241,165.135008,0.176741,0.264691,20.063695,0.079849,2.954868,242.783604,0.0605,16.737793,see=0.74; hear=0.18@165.1hz; smell=0.26; temp=20.1; wet=0.08; pain=0.06; vib=2.95hz
62,3,day 3 06:00,Sol,cold_wet_crossing,wet stones chill feet and slow movement,0.714076,162.650442,0.194869,0.648895,15.198673,0.668793,2.489852,6.651368,0.1895,17.366185,see=0.71; hear=0.19@162.7hz; smell=0.65; temp=15.2; wet=0.67; pain=0.19; vib=2.49hz
63,3,day 3 07:00,Ari,heavy_carry,tool crate adds load and breath cost,0.708939,160.646693,0.19094,0.269955,20.136141,0.073466,2.569326,147.569132,0.257,17.611829,see=0.71; hear=0.19@160.6hz; smell=0.27; temp=20.1; wet=0.07; pain=0.26; vib=2.57hz
64,3,day 3 08:00,Fay,sharp_noise,sudden metal crack spikes arousal,0.710753,254.179293,0.820437,0.267827,20.175787,0.064456,2.54313,290.036896,0.0645,18.194711,see=0.71; hear=0.82@254.2hz; smell=0.27; temp=20.2; wet=0.06; pain=0.06; vib=2.54hz
65,3,day 3 09:00,Milo,crowding,near bodies reduce personal space,0.680154,253.288909,0.651152,0.262596,20.217285,0.052753,2.655301,72.81466,0.0605,17.129141,see=0.68; hear=0.65@253.3hz; smell=0.26; temp=20.2; wet=0.05; pain=0.06; vib=2.66hz
66,3,day 3 10:00,Sol,missed_meal,hunger and thirst rise during work,0.692088,158.000215,0.180985,0.254471,20.260292,0.039646,2.107163,196.682424,0.0695,14.250104,see=0.69; hear=0.18@158.0hz; smell=0.25; temp=20.3; wet=0.04; pain=0.07; vib=2.11hz
67,3,day 3 11:00,Ari,pain_twinge,old strain catches during turn,0.659072,158.321214,0.164949,0.243775,20.304453,0.026578,2.196079,337.600188,0.547,16.060686,see=0.66; hear=0.16@158.3hz; smell=0.24; temp=20.3; wet=0.03; pain=0.55; vib=2.20hz
68,3,day 3 12:00,Fay,avatar_gives_space,avatar steps back and waits,0.671649,159.243008,0.161158,0.230936,20.349403,0.014988,2.343641,120.067952,0.0645,14.107181,see=0.67; hear=0.16@159.2hz; smell=0.23; temp=20.3; wet=0.01; pain=0.06; vib=2.34hz
69,3,day 3 13:00,Milo,warm_shelter,dry heat and low sound restore comfort,0.638225,160.740052,0.176835,0.376465,22.194771,0.0,2.51188,262.845716,0.0605,11.788377,see=0.64; hear=0.18@160.7hz; smell=0.38; temp=22.2; wet=0.00; pain=0.06; vib=2.51hz
70,3,day 3 14:00,Sol,trusted_help,known helper shares the work,0.625963,162.770857,0.183126,0.200939,20.440182,0.001041,2.075887,26.71348,0.0695,14.263379,see=0.63; hear=0.18@162.8hz; smell=0.20; temp=20.4; wet=0.00; pain=0.07; vib=2.08hz
71,3,day 3 15:00,Ari,autonomy_pressure,avatar asks again before rest,0.634349,165.279143,0.173422,0.184977,20.485261,0.000219,2.194295,167.631244,0.067,14.193217,see=0.63; hear=0.17@165.3hz; smell=0.18; temp=20.5; wet=0.00; pain=0.07; vib=2.19hz
72,3,day 3 16:00,Fay,curious_discovery,new beetle-clock pattern invites exploration,0.632331,168.195396,0.184349,0.169215,20.529636,0.003777,2.373064,310.099008,0.0645,14.250964,see=0.63; hear=0.18@168.2hz; smell=0.17; temp=20.5; wet=0.00; pain=0.06; vib=2.37hz
73,3,day 3 17:00,Milo,rest_cycle,agent chooses stillness and slow breath,0.386356,171.438796,0.16282,0.154281,20.572941,0.0,2.561595,92.876772,0.0605,11.701486,see=0.39; hear=0.16@171.4hz; smell=0.15; temp=20.6; wet=0.00; pain=0.06; vib=2.56hz
74,3,day 3 18:00,Sol,ritual_hum,group tone stabilizes breath rhythm,0.380375,269.919457,0.675117,0.140772,20.614817,0.022025,2.240423,216.744536,0.0695,14.913725,see=0.38; hear=0.68@269.9hz; smell=0.14; temp=20.6; wet=0.02; pain=0.07; vib=2.24hz
75,3,day 3 19:00,Ari,tool_returned,owned object is returned intact,0.595065,178.540918,0.174295,0.129225,20.654919,0.034706,2.289446,357.6623,0.067,14.198627,see=0.60; hear=0.17@178.5hz; smell=0.13; temp=20.7; wet=0.03; pain=0.07; vib=2.29hz
76,3,day 3 20:00,Fay,ordinary_walk,low movement through familiar lane,0.613437,182.202816,0.182602,0.120101,20.692916,0.04797,2.750854,140.130064,0.0645,16.79013,see=0.61; hear=0.18@182.2hz; smell=0.12; temp=20.7; wet=0.05; pain=0.06; vib=2.75hz
77,3,day 3 21:00,Milo,cold_wet_crossing,wet stones chill feet and slow movement,0.611472,185.803665,0.177575,0.493764,15.828493,0.650357,2.948743,282.907828,0.1805,17.222963,see=0.61; hear=0.18@185.8hz; smell=0.49; temp=15.8; wet=0.65; pain=0.18; vib=2.95hz
78,3,day 3 22:00,Sol,heavy_carry,tool crate adds load and breath cost,0.605759,189.243675,0.165285,0.110466,20.761358,0.070502,2.532416,46.775592,0.2595,17.462769,see=0.61; hear=0.17@189.2hz; smell=0.11; temp=20.8; wet=0.07; pain=0.26; vib=2.53hz
79,3,day 3 23:00,Ari,sharp_noise,sudden metal crack spikes arousal,0.615662,287.427509,0.829592,0.110339,20.791238,0.07729,2.513359,187.693356,0.067,18.261469,see=0.62; hear=0.83@287.4hz; smell=0.11; temp=20.8; wet=0.08; pain=0.07; vib=2.51hz
80,3,day 3 24:00,Fay,crowding,near bodies reduce personal space,0.603994,290.266934,0.66142,0.113387,20.817887,0.079973,2.658609,330.16112,0.0645,17.208807,see=0.60; hear=0.66@290.3hz; smell=0.11; temp=20.8; wet=0.08; pain=0.06; vib=2.66hz
81,3,day 3 25:00,Milo,missed_meal,hunger and thirst rise during work,0.606595,197.683257,0.197533,0.11949,20.841085,0.078255,2.753819,112.938884,0.0605,14.316702,see=0.61; hear=0.20@197.7hz; smell=0.12; temp=20.8; wet=0.08; pain=0.06; vib=2.75hz
82,3,day 3 26:00,Sol,pain_twinge,old strain catches during turn,0.622125,199.609515,0.175002,0.128404,20.86064,0.072326,2.31112,236.806648,0.5495,16.13301,see=0.62; hear=0.18@199.6hz; smell=0.13; temp=20.9; wet=0.07; pain=0.55; vib=2.31hz
83,3,day 3 27:00,Ari,avatar_gives_space,avatar steps back and waits,0.62552,200.992324,0.169488,0.139774,20.876391,0.062838,2.414047,17.724412,0.067,14.168827,see=0.63; hear=0.17@201.0hz; smell=0.14; temp=20.9; wet=0.06; pain=0.07; vib=2.41hz
84,3,day 3 28:00,Fay,warm_shelter,dry heat and low sound restore comfort,0.631106,201.793362,0.196686,0.313146,22.688207,0.0,2.565802,160.192176,0.0645,11.927455,see=0.63; hear=0.20@201.8hz; smell=0.31; temp=22.7; wet=0.00; pain=0.06; vib=2.57hz
85,3,day 3 29:00,Milo,trusted_help,known helper shares the work,0.639148,201.990428,0.199629,0.167987,20.895992,0.037641,2.716949,302.96994,0.0605,14.329697,see=0.64; hear=0.20@202.0hz; smell=0.17; temp=20.9; wet=0.04; pain=0.06; vib=2.72hz
86,3,day 3 30:00,Sol,autonomy_pressure,avatar asks again before rest,0.659988,201.578062,0.166126,0.183706,20.89968,0.024706,2.246499,66.837704,0.0695,14.15798,see=0.66; hear=0.17@201.6hz; smell=0.18; temp=20.9; wet=0.02; pain=0.07; vib=2.25hz
87,3,day 3 31:00,Ari,curious_discovery,new beetle-clock pattern invites exploration,0.656516,200.567691,0.177037,0.199675,20.899241,0.013455,2.330525,207.755468,0.067,14.21563,see=0.66; hear=0.18@200.6hz; smell=0.20; temp=20.9; wet=0.01; pain=0.07; vib=2.33hz
88,3,day 3 32:00,Fay,rest_cycle,agent chooses stillness and slow breath,0.457998,198.987317,0.174718,0.21526,20.894679,0.0,2.460387,350.223232,0.0645,11.791249,see=0.46; hear=0.17@199.0hz; smell=0.22; temp=20.9; wet=0.00; pain=0.06; vib=2.46hz
89,3,day 3 33:00,Milo,ritual_hum,group tone stabilizes breath rhythm,0.45233,291.880737,0.669148,0.229836,20.886032,0.000635,2.68973,133.000996,0.0605,14.840721,see=0.45; hear=0.67@291.9hz; smell=0.23; temp=20.9; wet=0.00; pain=0.06; vib=2.69hz
90,3,day 3 34:00,Sol,tool_returned,owned object is returned intact,0.70894,194.306332,0.18106,0.242825,20.873371,0.000479,2.13413,256.86876,0.0695,14.250573,see=0.71; hear=0.18@194.3hz; smell=0.24; temp=20.9; wet=0.00; pain=0.07; vib=2.13hz
91,4,day 4 05:00,Fay,ordinary_walk,low movement through familiar lane,0.708672,191.335449,0.160571,0.253708,20.8568,0.004673,2.646332,61.746524,0.0645,16.65354,see=0.71; hear=0.16@191.3hz; smell=0.25; temp=20.9; wet=0.00; pain=0.06; vib=2.65hz
92,4,day 4 06:00,Milo,cold_wet_crossing,wet stones chill feet and slow movement,0.723807,188.050419,0.160131,0.642051,15.936457,0.602756,2.797277,204.524288,0.1805,17.114812,see=0.72; hear=0.16@188.1hz; smell=0.64; temp=15.9; wet=0.60; pain=0.18; vib=2.80hz
93,4,day 4 07:00,Sol,heavy_carry,tool crate adds load and breath cost,0.746836,184.542285,0.196962,0.267522,20.812509,0.023838,2.351245,328.392052,0.2595,17.659167,see=0.75; hear=0.20@184.5hz; smell=0.27; temp=20.8; wet=0.02; pain=0.26; vib=2.35hz
94,4,day 4 08:00,Ari,sharp_noise,sudden metal crack spikes arousal,0.731187,275.908267,0.792357,0.269902,20.785154,0.0367,2.292854,109.309816,0.067,18.030611,see=0.73; hear=0.79@275.9hz; smell=0.27; temp=20.8; wet=0.04; pain=0.07; vib=2.29hz
95,4,day 4 09:00,Fay,crowding,near bodies reduce personal space,0.747557,272.249078,0.666798,0.269096,20.754618,0.049925,2.432139,251.77758,0.0645,17.242146,see=0.75; hear=0.67@272.2hz; smell=0.27; temp=20.8; wet=0.05; pain=0.06; vib=2.43hz
96,4,day 4 10:00,Milo,missed_meal,hunger and thirst rise during work,0.761717,173.666127,0.180254,0.265138,20.721154,0.062057,2.523776,34.555344,0.0605,14.209575,see=0.76; hear=0.18@173.7hz; smell=0.27; temp=20.7; wet=0.06; pain=0.06; vib=2.52hz
97,4,day 4 11:00,Sol,pain_twinge,old strain catches during turn,0.769267,170.25871,0.183881,0.258183,20.685037,0.071761,2.100401,158.423108,0.5495,16.188064,see=0.77; hear=0.18@170.3hz; smell=0.26; temp=20.7; wet=0.07; pain=0.55; vib=2.10hz
