tick,day,scene_id,focus_agent,obligation_visible,return_obligation_visible,trust_access_visible,followup_visible,repair_deferral_visible,residual_debt_visible,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
62,4,v24-scene-d04,Melo,1,1,1,0,0,0,1.12,335.023368,Melo accepts repair for tally beads; access begins recovering,1
63,4,v24-scene-d04,Sova,1,1,1,0,0,0,1.12,112.735132,Sova accepts repair for ember bowl; access begins recovering,1
64,4,v24-scene-d04,Vonn,1,1,1,1,1,1,1.23,280.506896,Vonn follows up on listening shell; unresolved duty changes options,1
65,4,v24-scene-d04,Keth,0,0,1,0,0,0,1.12,31.40866,Keth carries owned-task state across this visit,1
66,4,v24-scene-d04,Melo,0,1,1,0,0,0,1.12,170.710424,Melo accepts repair for tally beads; access begins recovering,1
67,4,v24-scene-d04,Keth,1,1,1,0,0,0,1.12,307.212188,Keth accepts repair for path cord; access begins recovering,1
68,4,v24-scene-d04,Nari,1,1,1,0,0,0,1.12,87.343952,Nari accepts repair for ink ledger; access begins recovering,1
69,4,v24-scene-d04,Ori,0,0,1,0,0,0,1.12,225.885716,Ori carries owned-task state across this visit,1
70,4,v24-scene-d04,Nari,1,0,1,0,1,0,1.16,353.44748,Nari accepts repair for ink ledger; access begins recovering,1
71,4,v24-scene-d04,Vonn,1,1,1,0,1,0,1.16,139.299244,Vonn accepts repair for listening shell; access begins recovering,1
72,5,v24-scene-d05,Nari,1,1,1,0,0,0,1.12,264.839008,Nari accepts repair for fern key; access begins recovering,1
73,5,v24-scene-d05,Keth,0,0,1,0,0,0,1.12,47.010772,Keth carries owned-task state across this visit,1
74,5,v24-scene-d05,Sova,1,1,1,0,0,0,1.12,187.522536,Sova accepts repair for moth lantern; access begins recovering,1
75,5,v24-scene-d05,Sova,1,1,1,1,1,1,1.27,342.2243,Sova follows up on ember bowl; unresolved duty changes options,1
76,5,v24-scene-d05,Melo,1,1,1,0,0,0,1.12,104.156064,Melo accepts repair for tally beads; access begins recovering,1
77,5,v24-scene-d05,Vonn,0,0,1,0,0,0,1.12,237.857828,Vonn carries owned-task state across this visit,1
78,5,v24-scene-d05,Sova,1,1,1,1,1,1,1.23,43.589592,Sova follows up on ember bowl; unresolved duty changes options,1
79,5,v24-scene-d05,Melo,1,1,1,0,0,0,1.12,148.821356,Melo accepts repair for tally beads; access begins recovering,1
80,5,v24-scene-d05,Ori,1,1,1,0,0,0,1.12,296.21312,Ori accepts repair for sap hook; access begins recovering,1
81,5,v24-scene-d05,Keth,0,0,1,0,0,0,1.12,66.284884,Keth carries owned-task state across this visit,1
82,5,v24-scene-d05,Melo,1,1,1,1,0,1,1.23,222.546648,Melo follows up on tally beads; unresolved duty changes options,1
83,5,v24-scene-d05,Vonn,1,1,1,0,0,0,1.12,349.348412,Vonn accepts repair for listening shell; access begins recovering,1
84,5,v24-scene-d05,Keth,1,1,1,0,0,0,1.12,121.010176,Keth accepts repair for path cord; access begins recovering,1
85,5,v24-scene-d05,Sova,1,1,1,0,0,0,1.12,261.14194,Sova accepts repair for ember bowl; access begins recovering,1
86,5,v24-scene-d05,Ori,1,1,1,1,1,0,1.23,59.763704,Ori follows up on sap hook; unresolved duty changes options,1
87,5,v24-scene-d05,Keth,1,1,1,0,0,1,1.18,191.995468,Keth carries owned-task state across this visit,1
88,5,v24-scene-d05,Keth,1,1,1,0,0,0,1.12,316.697232,Keth accepts repair for path cord; access begins recovering,1
89,5,v24-scene-d05,Ori,1,1,1,1,0,1,1.23,117.208996,Ori follows up on sap hook; unresolved duty changes options,1
90,6,v24-scene-d06,Melo,1,1,1,0,0,0,1.18,231.80876,Melo accepts repair for tally beads; access begins recovering,1
91,6,v24-scene-d06,Ori,1,1,1,0,0,0,1.12,8.580524,Ori accepts repair for sap hook; access begins recovering,1
92,6,v24-scene-d06,Melo,1,1,1,1,0,1,1.23,155.992288,Melo follows up on tally beads; unresolved duty changes options,1
93,6,v24-scene-d06,Keth,0,0,1,0,0,0,1.12,277.574052,Keth carries owned-task state across this visit,1
94,6,v24-scene-d06,Keth,1,1,1,0,0,0,1.12,54.455816,Keth accepts repair for path cord; access begins recovering,1
95,6,v24-scene-d06,Ori,0,1,1,0,0,0,1.12,192.16758,Ori accepts repair for sap hook; access begins recovering,1
96,6,v24-scene-d06,Melo,1,1,1,0,0,0,1.12,334.719344,Melo accepts repair for tally beads; access begins recovering,1
97,6,v24-scene-d06,Melo,0,0,1,0,0,0,1.12,115.681108,Melo carries owned-task state across this visit,1
98,6,v24-scene-d06,Ori,1,1,1,0,0,0,1.12,248.932872,Ori accepts repair for sap hook; access begins recovering,1
99,6,v24-scene-d06,Ori,1,1,1,0,0,0,1.12,27.854636,Ori accepts repair for sap hook; access begins recovering,1
100,6,v24-scene-d06,Melo,1,1,1,1,1,1,1.23,181.1064,Melo follows up on tally beads; unresolved duty changes options,1
101,6,v24-scene-d06,Melo,1,1,1,0,0,0,1.12,297.228164,Melo accepts repair for tally beads; access begins recovering,1
102,6,v24-scene-d06,Vonn,1,1,1,0,0,0,1.12,80.989928,Vonn accepts repair for listening shell; access begins recovering,1
103,6,v24-scene-d06,Melo,1,1,1,0,0,0,1.12,215.071692,Melo accepts repair for tally beads; access begins recovering,1
104,6,v24-scene-d06,Sova,1,1,1,1,1,1,1.23,15.583456,Sova follows up on ember bowl; unresolved duty changes options,1
105,6,v24-scene-d06,Sova,1,1,1,1,0,0,1.23,145.06522,Sova accepts repair for ember bowl; access begins recovering,1
106,6,v24-scene-d06,Sova,1,1,1,0,0,0,1.12,273.046984,Sova accepts repair for moth lantern; access begins recovering,1
107,6,v24-scene-d06,Ori,1,1,1,0,0,0,1.12,47.128748,Ori accepts repair for sap hook; access begins recovering,1
108,7,v24-scene-d07,Nari,1,1,1,0,1,0,1.16,183.618512,Nari accepts repair for fern key; access begins recovering,1
109,7,v24-scene-d07,Vonn,0,0,1,0,0,0,1.12,319.710276,Vonn carries owned-task state across this visit,1
110,7,v24-scene-d07,Vonn,1,0,1,0,0,1,1.18,105.09204,Vonn carries owned-task state across this visit,1
111,7,v24-scene-d07,Keth,1,1,1,0,1,1,1.18,248.313804,Keth accepts a deferral but keeps residual debt visible,1
112,7,v24-scene-d07,Nari,1,1,1,0,0,0,1.12,5.965568,Nari accepts repair for fern key; access begins recovering,1
113,7,v24-scene-d07,Melo,0,0,1,0,0,0,1.12,150.557332,Melo carries owned-task state across this visit,1
114,7,v24-scene-d07,Ori,1,1,1,0,0,0,1.12,283.809096,Ori accepts repair for sap hook; access begins recovering,1
115,7,v24-scene-d07,Melo,1,1,1,0,1,1,1.22,81.82086,Melo carries owned-task state across this visit,1
116,7,v24-scene-d07,Ori,1,1,1,0,0,0,1.12,201.652624,Ori accepts repair for sap hook; access begins recovering,1
117,7,v24-scene-d07,Keth,1,1,1,0,0,0,1.12,341.784388,Keth accepts repair for path cord; access begins recovering,1
118,7,v24-scene-d07,Melo,1,1,1,0,0,0,1.12,123.126152,Melo accepts repair for tally beads; access begins recovering,1
119,7,v24-scene-d07,Keth,1,1,1,1,1,1,1.23,282.427916,Keth follows up on path cord; unresolved duty changes options,1
120,7,v24-scene-d07,Nari,1,1,1,0,0,0,1.12,37.33968,Nari accepts repair for fern key; access begins recovering,1
121,7,v24-scene-d07,Melo,0,0,1,0,0,0,1.12,169.831444,Melo carries owned-task state across this visit,1
122,7,v24-scene-d07,Ori,1,1,1,0,0,1,1.18,317.303208,Ori carries owned-task state across this visit,1
123,7,v24-scene-d07,Ori,1,1,1,0,0,0,1.12,82.004972,Ori accepts repair for sap hook; access begins recovering,1
124,7,v24-scene-d07,Vonn,0,0,1,1,0,1,1.23,240.636736,Vonn follows up on rain mirror; unresolved duty changes options,1
125,7,v24-scene-d07,Nari,0,0,1,0,0,0,1.12,4.3085,Nari carries owned-task state across this visit,1
126,8,v24-scene-d08,Melo,1,1,1,1,1,1,1.23,161.528264,Melo follows up on tally beads; unresolved duty changes options,1
127,8,v24-scene-d08,Keth,1,1,1,0,0,0,1.12,275.230028,Keth accepts repair for path cord; access begins recovering,1
128,8,v24-scene-d08,Sova,1,1,1,0,0,0,1.12,55.361792,Sova accepts repair for ember bowl; access begins recovering,1
129,8,v24-scene-d08,Sova,0,0,1,0,0,0,1.12,186.643556,Sova carries owned-task state across this visit,1
130,8,v24-scene-d08,Sova,1,1,1,0,0,0,1.12,321.10532,Sova accepts repair for ember bowl; access begins recovering,1
131,8,v24-scene-d08,Keth,1,1,1,0,0,0,1.12,98.817084,Keth accepts repair for path cord; access begins recovering,1
132,8,v24-scene-d08,Ori,1,1,1,0,0,0,1.12,236.528848,Ori accepts repair for sap hook; access begins recovering,1
133,8,v24-scene-d08,Sova,0,0,1,0,0,0,1.12,22.330612,Sova carries owned-task state across this visit,1
134,8,v24-scene-d08,Nari,1,0,1,0,1,0,1.16,157.152376,Nari accepts repair for ink ledger; access begins recovering,1
135,8,v24-scene-d08,Sova,1,1,1,0,0,0,1.12,298.13414,Sova accepts repair for moth lantern; access begins recovering,1
136,8,v24-scene-d08,Ori,1,1,1,0,0,0,1.12,72.215904,Ori accepts repair for sap hook; access begins recovering,1
137,8,v24-scene-d08,Ori,0,0,1,0,0,0,1.12,213.177668,Ori carries owned-task state across this visit,1
138,8,v24-scene-d08,Vonn,1,0,1,0,0,1,1.18,7.029432,Vonn carries owned-task state across this visit,1
139,8,v24-scene-d08,Melo,1,1,1,0,0,0,1.12,120.511196,Melo accepts repair for tally beads; access begins recovering,1
140,8,v24-scene-d08,Keth,1,1,1,0,0,0,1.12,269.11296,Keth accepts repair for path cord; access begins recovering,1
141,8,v24-scene-d08,Sova,0,0,1,0,0,0,1.12,41.604724,Sova carries owned-task state across this visit,1
142,8,v24-scene-d08,Sova,1,1,1,0,0,0,1.12,176.066488,Sova accepts repair for ember bowl; access begins recovering,1
143,8,v24-scene-d08,Ori,1,1,1,1,0,1,1.23,329.528252,Ori follows up on sap hook; unresolved duty changes options,1
144,9,v24-scene-d09,Melo,1,1,1,1,1,1,1.23,114.248016,Melo follows up on tally beads; unresolved duty changes options,1
145,9,v24-scene-d09,Sova,0,0,1,0,0,0,1.12,231.19978,Sova carries owned-task state across this visit,1
146,9,v24-scene-d09,Melo,1,1,1,0,0,0,1.12,9.291544,Melo accepts repair for tally beads; access begins recovering,1
147,9,v24-scene-d09,Melo,1,1,1,0,0,0,1.12,148.213308,Melo accepts repair for tally beads; access begins recovering,1
148,9,v24-scene-d09,Ori,1,1,1,0,0,1,1.24,308.345072,Ori carries owned-task state across this visit,1
149,9,v24-scene-d09,Melo,0,0,1,0,0,0,1.12,55.996836,Melo carries owned-task state across this visit,1
150,9,v24-scene-d09,Keth,1,1,1,0,0,0,1.12,202.5586,Keth accepts repair for path cord; access begins recovering,1
151,9,v24-scene-d09,Sova,1,1,1,0,0,0,1.12,330.590364,Sova accepts repair for ember bowl; access begins recovering,1
152,9,v24-scene-d09,Melo,1,1,1,1,0,1,1.23,127.682128,Melo follows up on tally beads; unresolved duty changes options,1
153,9,v24-scene-d09,Vonn,0,0,1,1,0,1,1.23,265.723892,Vonn follows up on rain mirror; unresolved duty changes options,1
154,9,v24-scene-d09,Keth,1,1,1,0,0,0,1.12,26.145656,Keth accepts repair for path cord; access begins recovering,1
155,9,v24-scene-d09,Nari,1,1,1,0,1,1,1.22,181.73742,Nari carries owned-task state across this visit,1
156,9,v24-scene-d09,Keth,1,1,1,0,0,0,1.12,303.989184,Keth accepts repair for path cord; access begins recovering,1
157,9,v24-scene-d09,Nari,1,1,1,0,0,0,1.12,84.120948,Nari accepts repair for ink ledger; access begins recovering,1
158,9,v24-scene-d09,Vonn,1,0,1,0,0,1,1.18,237.592712,Vonn carries owned-task state across this visit,1
159,9,v24-scene-d09,Sova,1,1,1,0,0,1,1.18,16.184476,Sova carries owned-task state across this visit,1
160,9,v24-scene-d09,Keth,1,1,1,1,0,0,1.23,155.95624,Keth follows up on path cord; unresolved duty changes options,1
161,9,v24-scene-d09,Ori,1,1,1,0,0,0,1.18,288.008004,Ori accepts repair for sap hook; access begins recovering,1
162,10,v24-scene-d10,Ori,1,1,1,0,0,0,1.12,40.537768,Ori accepts repair for sap hook; access begins recovering,1
163,10,v24-scene-d10,Melo,1,1,1,1,1,1,1.23,205.889532,Melo follows up on tally beads; unresolved duty changes options,1
164,10,v24-scene-d10,Keth,1,1,1,0,0,0,1.12,319.591296,Keth accepts repair for path cord; access begins recovering,1
165,10,v24-scene-d10,Keth,0,0,1,0,0,0,1.12,100.55306,Keth carries owned-task state across this visit,1
166,10,v24-scene-d10,Ori,1,1,1,1,0,1,1.23,253.184824,Ori follows up on sap hook; unresolved duty changes options,1
167,10,v24-scene-d10,Sova,1,1,1,0,0,0,1.12,17.566588,Sova accepts repair for ember bowl; access begins recovering,1
168,10,v24-scene-d10,Melo,1,1,1,0,0,0,1.12,157.698352,Melo accepts repair for tally beads; access begins recovering,1
169,10,v24-scene-d10,Nari,0,0,1,0,0,0,1.12,295.030116,Nari carries owned-task state across this visit,1
170,10,v24-scene-d10,Nari,1,1,1,1,1,1,1.23,85.03188,Nari follows up on ink ledger; unresolved duty changes options,1
171,10,v24-scene-d10,Melo,1,1,1,0,0,0,1.12,202.363644,Melo accepts repair for tally beads; access begins recovering,1
172,10,v24-scene-d10,Ori,1,1,1,0,0,1,1.18,351.875408,Ori carries owned-task state across this visit,1
173,10,v24-scene-d10,Ori,1,1,1,0,0,0,1.12,116.577172,Ori accepts repair for sap hook; access begins recovering,1
174,10,v24-scene-d10,Keth,1,1,1,1,1,1,1.23,279.508936,Keth follows up on path cord; unresolved duty changes options,1
175,10,v24-scene-d10,Vonn,1,0,1,1,0,1,1.23,54.1307,Vonn follows up on rain mirror; unresolved duty changes options,1
176,10,v24-scene-d10,Keth,1,1,1,0,0,0,1.12,174.552464,Keth accepts repair for path cord; access begins recovering,1
177,10,v24-scene-d10,Ori,0,0,1,0,0,0,1.12,314.304228,Ori carries owned-task state across this visit,1
178,10,v24-scene-d10,Vonn,1,0,1,0,1,0,1.16,95.175992,Vonn accepts repair for rain mirror; access begins recovering,1
179,10,v24-scene-d10,Sova,1,1,1,0,0,0,1.12,222.847756,Sova accepts repair for moth lantern; access begins recovering,1
180,11,v24-scene-d11,Melo,1,1,1,0,0,0,1.12,356.88752,Melo accepts repair for tally beads; access begins recovering,1
181,11,v24-scene-d11,Sova,0,0,1,0,0,0,1.12,136.639284,Sova carries owned-task state across this visit,1
182,11,v24-scene-d11,Ori,0,1,1,0,0,0,1.12,271.101048,Ori accepts repair for sap hook; access begins recovering,1
183,11,v24-scene-d11,Vonn,1,1,1,0,0,0,1.12,58.492812,Vonn accepts repair for listening shell; access begins recovering,1
184,11,v24-scene-d11,Melo,1,1,1,0,0,0,1.12,192.574576,Melo accepts repair for tally beads; access begins recovering,1
185,11,v24-scene-d11,Nari,1,1,1,1,0,1,1.23,353.08634,Nari follows up on ink ledger; unresolved duty changes options,1
186,11,v24-scene-d11,Sova,1,1,1,0,0,0,1.12,111.628104,Sova accepts repair for moth lantern; access begins recovering,1
187,11,v24-scene-d11,Nari,1,1,1,0,0,0,1.12,248.129868,Nari accepts repair for ink ledger; access begins recovering,1
188,11,v24-scene-d11,Vonn,1,0,1,1,1,1,1.23,50.181632,Vonn follows up on rain mirror; unresolved duty changes options,1
189,11,v24-scene-d11,Melo,0,0,1,0,0,0,1.12,157.123396,Melo carries owned-task state across this visit,1
190,11,v24-scene-d11,Vonn,1,0,1,1,0,1,1.23,315.92516,Vonn follows up on rain mirror; unresolved duty changes options,1
191,11,v24-scene-d11,Ori,1,1,1,0,0,0,1.12,81.396924,Ori accepts repair for sap hook; access begins recovering,1
192,11,v24-scene-d11,Ori,1,1,1,0,1,1,1.18,222.438688,Ori carries owned-task state across this visit,1
193,11,v24-scene-d11,Keth,0,0,1,0,0,0,1.12,350.390452,Keth carries owned-task state across this visit,1
194,11,v24-scene-d11,Nari,1,1,1,0,0,1,1.18,140.282216,Nari carries owned-task state across this visit,1
195,11,v24-scene-d11,Keth,1,1,1,0,0,0,1.12,266.19398,Keth accepts repair for path cord; access begins recovering,1
196,11,v24-scene-d11,Keth,1,1,1,0,1,0,1.16,46.355744,Keth accepts repair for path cord; access begins recovering,1
197,11,v24-scene-d11,Keth,0,0,1,0,0,0,1.12,186.077508,Keth carries owned-task state across this visit,1
198,12,v24-scene-d12,Melo,1,1,1,0,0,0,1.12,321.707272,Melo accepts repair for tally beads; access begins recovering,1
199,12,v24-scene-d12,Nari,1,1,1,1,0,1,1.23,113.959036,Nari follows up on fern key; unresolved duty changes options,1
200,12,v24-scene-d12,Keth,1,1,1,0,0,0,1.12,237.1308,Keth accepts repair for path cord; access begins recovering,1
201,12,v24-scene-d12,Vonn,1,0,1,1,0,1,1.23,28.292564,Vonn follows up on rain mirror; unresolved duty changes options,1
202,12,v24-scene-d12,Melo,1,1,1,0,0,0,1.12,145.294328,Melo accepts repair for tally beads; access begins recovering,1
203,12,v24-scene-d12,Nari,1,1,1,0,0,1,1.24,305.426092,Nari carries owned-task state across this visit,1
204,12,v24-scene-d12,Vonn,1,0,1,0,0,1,1.18,82.317856,Vonn carries owned-task state across this visit,1
205,12,v24-scene-d12,Keth,0,0,1,0,0,0,1.12,201.67962,Keth carries owned-task state across this visit,1
206,12,v24-scene-d12,Ori,1,1,1,0,0,1,1.18,351.571384,Ori carries owned-task state across this visit,1
207,12,v24-scene-d12,Ori,1,1,1,1,0,1,1.23,133.233148,Ori follows up on sap hook; unresolved duty changes options,1
208,12,v24-scene-d12,Sova,1,1,1,0,0,0,1.12,257.614912,Sova accepts repair for ember bowl; access begins recovering,1
209,12,v24-scene-d12,Melo,0,0,1,0,0,0,1.12,27.686676,Melo carries owned-task state across this visit,1
210,12,v24-scene-d12,Vonn,1,0,1,1,0,1,1.23,186.48844,Vonn follows up on rain mirror; unresolved duty changes options,1
211,12,v24-scene-d12,Sova,0,1,1,0,0,1,1.18,318.920204,Sova carries owned-task state across this visit,1
212,12,v24-scene-d12,Sova,1,1,1,1,0,0,1.23,96.981968,Sova accepts repair for moth lantern; access begins recovering,1
213,12,v24-scene-d12,Keth,1,1,1,0,0,0,1.12,218.913732,Keth accepts repair for path cord; access begins recovering,1
214,12,v24-scene-d12,Ori,1,1,1,0,0,0,1.12,356.625496,Ori accepts repair for sap hook; access begins recovering,1
215,12,v24-scene-d12,Keth,1,1,1,0,0,0,1.12,136.75726,Keth accepts repair for path cord; access begins recovering,1
216,13,v24-scene-d13,Sova,1,1,1,0,0,0,1.12,273.217024,Sova accepts repair for ember bowl; access begins recovering,1
217,13,v24-scene-d13,Ori,0,0,1,0,0,0,1.12,51.758788,Ori carries owned-task state across this visit,1
218,13,v24-scene-d13,Ori,1,1,1,0,1,1,1.22,204.100552,Ori carries owned-task state across this visit,1
219,13,v24-scene-d13,Sova,1,1,1,0,0,0,1.12,329.982316,Sova accepts repair for ember bowl; access begins recovering,1
220,13,v24-scene-d13,Nari,1,1,1,1,0,0,1.23,119.84408,Nari accepts repair for fern key; access begins recovering,1
221,13,v24-scene-d13,Keth,0,0,1,0,0,0,1.12,236.555844,Keth carries owned-task state across this visit,1
222,13,v24-scene-d13,Nari,1,1,1,0,0,0,1.12,12.227608,Nari accepts repair for fern key; access begins recovering,1
223,13,v24-scene-d13,Nari,1,1,1,0,0,1,1.18,167.789372,Nari carries owned-task state across this visit,1
224,13,v24-scene-d13,Ori,1,1,1,0,0,0,1.12,290.071136,Ori accepts repair for sap hook; access begins recovering,1
225,13,v24-scene-d13,Nari,1,1,1,0,0,1,1.18,85.6329,Nari carries owned-task state across this visit,1
226,13,v24-scene-d13,Nari,1,1,1,0,0,0,1.12,210.334664,Nari accepts repair for ink ledger; access begins recovering,1
227,13,v24-scene-d13,Melo,1,1,1,0,0,0,1.12,350.466428,Melo accepts repair for tally beads; access begins recovering,1
228,13,v24-scene-d13,Melo,1,1,1,0,0,1,1.18,143.608192,Melo carries owned-task state across this visit,1
229,13,v24-scene-d13,Keth,0,0,1,0,0,0,1.12,267.929956,Keth carries owned-task state across this visit,1
