tick,day,conflict_id,injured_agent,repair_action,repair_offered,repair_accepted,memory_softened_not_erased,unresolved_residue,decay_calibrated
83,7,v16-conflict-d03-t00,Melo,apology and space,1,1,1,0.149,1
84,8,v16-conflict-d02-t00,Ori,public reason note,0,0,1,0.3572,1
85,8,v16-conflict-d02-t01,Vonn,quiet route detour,0,0,1,0.3572,1
86,8,v16-conflict-d02-t02,Sova,shared watch shift,1,1,1,0.13,1
87,8,v16-conflict-d02-t03,Keth,deferred help promise,1,1,1,0.1372,1
88,8,v16-conflict-d02-t04,Melo,apology and space,0,0,0,0.344,1
89,8,v16-conflict-d02-t06,Nari,return tool slot,1,1,1,0.124,1
90,8,v16-conflict-d02-t07,Ori,public reason note,1,1,1,0.1372,1
91,8,v16-conflict-d02-t08,Vonn,quiet route detour,0,0,0,0.35,1
92,8,v16-conflict-d02-t09,Sova,shared watch shift,1,1,1,0.124,1
93,8,v16-conflict-d02-t10,Keth,deferred help promise,0,0,0,0.35,1
94,8,v16-conflict-d03-t00,Melo,apology and space,0,0,0,0.3565,1
95,8,v16-conflict-d03-t01,Nari,return tool slot,1,1,1,0.1365,1
96,9,v16-conflict-d04-t01,Vonn,quiet route detour,0,0,1,0.374,1
97,9,v16-conflict-d04-t02,Sova,shared watch shift,0,0,0,0.365,1
98,9,v16-conflict-d04-t03,Keth,deferred help promise,1,1,1,0.145,1
99,9,v16-conflict-d04-t05,Melo,apology and space,1,0,0,0.365,1
100,9,v16-conflict-d04-t06,Nari,return tool slot,0,0,0,0.3565,1
101,9,v16-conflict-d04-t07,Ori,public reason note,1,1,1,0.154,1
102,9,v16-conflict-d04-t08,Vonn,quiet route detour,1,0,1,0.374,1
103,9,v16-conflict-d04-t09,Sova,shared watch shift,0,0,0,0.365,1
104,9,v16-conflict-d04-t10,Keth,deferred help promise,1,1,1,0.1365,1
105,9,v16-conflict-d04-t11,Melo,apology and space,0,0,0,0.3565,1
106,9,v16-conflict-d05-t00,Nari,return tool slot,0,0,1,0.3908,1
107,9,v16-conflict-d05-t01,Ori,public reason note,1,1,1,0.1708,1
108,10,v16-conflict-d06-t01,Sova,shared watch shift,1,0,1,0.3908,1
109,10,v16-conflict-d06-t02,Keth,deferred help promise,0,0,0,0.38,1
110,10,v16-conflict-d06-t03,Melo,apology and space,1,0,0,0.369,1
111,10,v16-conflict-d06-t04,Nari,return tool slot,1,1,1,0.149,1
112,10,v16-conflict-d06-t05,Ori,public reason note,0,0,0,0.369,1
113,10,v16-conflict-d06-t06,Vonn,quiet route detour,1,0,1,0.3908,1
114,10,v16-conflict-d06-t07,Sova,shared watch shift,0,0,0,0.369,1
115,10,v16-conflict-d06-t09,Keth,deferred help promise,0,0,0,0.38,1
116,10,v16-conflict-d06-t10,Melo,apology and space,1,1,1,0.149,1
117,10,v16-conflict-d06-t11,Nari,return tool slot,1,1,1,0.149,1
118,10,v16-conflict-d07-t00,Ori,public reason note,0,0,0,0.3945,1
119,10,v16-conflict-d07-t01,Vonn,quiet route detour,1,1,1,0.1615,1
120,11,v16-conflict-d08-t04,Keth,deferred help promise,1,1,1,0.1615,1
121,11,v16-conflict-d08-t05,Melo,apology and space,0,0,1,0.4071,1
122,11,v16-conflict-d08-t06,Nari,return tool slot,1,1,1,0.1615,1
123,11,v16-conflict-d08-t08,Ori,public reason note,0,0,1,0.4071,1
124,11,v16-conflict-d08-t09,Vonn,quiet route detour,0,0,0,0.3945,1
125,11,v16-conflict-d08-t10,Sova,shared watch shift,1,0,1,0.4071,1
126,11,v16-conflict-d08-t11,Keth,deferred help promise,1,1,1,0.1615,1
127,11,v16-conflict-d09-t00,Melo,apology and space,0,0,1,0.4214,1
128,11,v16-conflict-d09-t01,Nari,return tool slot,0,0,0,0.394,1
129,11,v16-conflict-d09-t02,Ori,public reason note,1,1,1,0.2014,1
130,11,v16-conflict-d09-t03,Vonn,quiet route detour,0,0,0,0.394,1
131,11,v16-conflict-d09-t04,Sova,shared watch shift,1,1,1,0.187,1
132,12,v16-conflict-d10-t06,Melo,apology and space,1,0,1,0.4214,1
133,12,v16-conflict-d10-t07,Nari,return tool slot,0,0,1,0.4214,1
134,12,v16-conflict-d10-t08,Ori,public reason note,1,1,1,0.2014,1
135,12,v16-conflict-d10-t09,Vonn,quiet route detour,0,0,0,0.394,1
136,12,v16-conflict-d10-t10,Sova,shared watch shift,0,0,0,0.407,1
137,12,v16-conflict-d11-t00,Keth,deferred help promise,1,1,1,0.2157,1
138,12,v16-conflict-d11-t01,Melo,apology and space,1,1,1,0.2157,1
139,12,v16-conflict-d11-t02,Nari,return tool slot,0,0,1,0.4213,1
140,12,v16-conflict-d11-t03,Ori,public reason note,1,1,1,0.2013,1
141,12,v16-conflict-d11-t04,Vonn,quiet route detour,1,0,1,0.4357,1
142,12,v16-conflict-d11-t06,Sova,shared watch shift,0,0,1,0.4357,1
143,12,v16-conflict-d11-t07,Keth,deferred help promise,0,0,1,0.4083,1
144,13,v16-conflict-d12-t07,Nari,return tool slot,1,1,1,0.1883,1
145,13,v16-conflict-d12-t08,Ori,public reason note,0,0,1,0.4357,1
146,13,v16-conflict-d12-t09,Vonn,quiet route detour,1,1,1,0.2013,1
147,13,v16-conflict-d12-t11,Sova,shared watch shift,1,1,1,0.2157,1
148,13,v16-conflict-d06-t00,Keth,deferred help promise,0,0,1,0.3404,1
149,13,v16-conflict-d06-t01,Melo,apology and space,1,1,1,0.1204,1
150,13,v16-conflict-d06-t02,Nari,return tool slot,0,0,0,0.335,1
151,13,v16-conflict-d06-t03,Ori,public reason note,0,0,0,0.3315,1
152,13,v16-conflict-d06-t04,Vonn,quiet route detour,1,1,1,0.1115,1
153,13,v16-conflict-d06-t05,Sova,shared watch shift,1,1,1,0.1115,1
154,13,v16-conflict-d06-t06,Keth,deferred help promise,0,0,1,0.3404,1
155,13,v16-conflict-d06-t07,Melo,apology and space,0,0,0,0.3315,1
156,14,v16-conflict-d07-t09,Ori,public reason note,1,1,1,0.115,1
157,14,v16-conflict-d07-t10,Vonn,quiet route detour,0,0,0,0.335,1
158,14,v16-conflict-d07-t11,Sova,shared watch shift,1,1,1,0.1204,1
159,14,v16-conflict-d08-t00,Keth,deferred help promise,1,1,1,0.124,1
160,14,v16-conflict-d08-t02,Melo,apology and space,0,0,0,0.35,1
161,14,v16-conflict-d08-t03,Nari,return tool slot,0,0,0,0.35,1
162,14,v16-conflict-d08-t04,Ori,public reason note,1,1,1,0.124,1
163,14,v16-conflict-d08-t05,Vonn,quiet route detour,0,0,1,0.3572,1
164,14,v16-conflict-d08-t06,Sova,shared watch shift,1,1,1,0.124,1
165,14,v16-conflict-d08-t08,Keth,deferred help promise,0,0,1,0.3572,1
166,14,v16-conflict-d08-t09,Melo,apology and space,0,0,0,0.35,1
167,14,v16-conflict-d08-t10,Nari,return tool slot,1,1,1,0.1372,1
168,15,v16-conflict-d09-t11,Vonn,quiet route detour,0,0,1,0.3572,1
169,15,v16-conflict-d10-t01,Sova,shared watch shift,0,0,0,0.365,1
170,15,v16-conflict-d10-t02,Keth,deferred help promise,1,0,1,0.374,1
171,15,v16-conflict-d10-t03,Melo,apology and space,1,1,1,0.145,1
172,15,v16-conflict-d10-t04,Nari,return tool slot,0,0,1,0.374,1
173,15,v16-conflict-d10-t05,Ori,public reason note,1,1,1,0.1365,1
174,15,v16-conflict-d10-t06,Vonn,quiet route detour,1,0,1,0.374,1
175,15,v16-conflict-d10-t07,Sova,shared watch shift,0,0,1,0.374,1
176,15,v16-conflict-d10-t08,Keth,deferred help promise,1,0,1,0.374,1
177,15,v16-conflict-d10-t09,Melo,apology and space,0,0,0,0.3565,1
178,15,v16-conflict-d10-t10,Nari,return tool slot,0,0,0,0.365,1
179,15,v16-conflict-d11-t00,Ori,public reason note,1,1,1,0.1708,1
180,16,v16-conflict-d12-t00,Sova,shared watch shift,0,0,0,0.369,1
181,16,v16-conflict-d12-t01,Keth,deferred help promise,0,0,0,0.369,1
182,16,v16-conflict-d12-t02,Melo,apology and space,1,1,1,0.149,1
183,16,v16-conflict-d12-t03,Nari,return tool slot,1,1,1,0.16,1
184,16,v16-conflict-d12-t05,Ori,public reason note,0,0,0,0.38,1
185,16,v16-conflict-d12-t06,Vonn,quiet route detour,1,1,1,0.16,1
186,16,v16-conflict-d12-t07,Sova,shared watch shift,1,1,1,0.149,1
187,16,v16-conflict-d12-t08,Keth,deferred help promise,0,0,1,0.3908,1
188,16,v16-conflict-d12-t09,Melo,apology and space,1,1,1,0.16,1
189,16,v16-conflict-d12-t11,Nari,return tool slot,1,0,1,0.3908,1
190,16,v16-conflict-d13-t00,Ori,public reason note,0,0,0,0.3945,1
191,16,v16-conflict-d13-t01,Vonn,quiet route detour,1,1,1,0.1615,1
192,17,v16-conflict-d14-t02,Keth,deferred help promise,1,1,1,0.1745,1
193,17,v16-conflict-d14-t04,Melo,apology and space,0,0,0,0.3815,1
194,17,v16-conflict-d14-t05,Nari,return tool slot,1,0,1,0.4071,1
195,17,v16-conflict-d14-t06,Ori,public reason note,0,0,0,0.3815,1
196,17,v16-conflict-d14-t07,Vonn,quiet route detour,0,0,0,0.3815,1
197,17,v16-conflict-d14-t08,Sova,shared watch shift,1,1,1,0.1745,1
198,17,v16-conflict-d14-t09,Keth,deferred help promise,1,0,0,0.3945,1
199,17,v16-conflict-d14-t10,Melo,apology and space,0,0,0,0.3945,1
200,17,v16-conflict-d14-t11,Nari,return tool slot,0,0,1,0.4071,1
201,17,v16-conflict-d15-t00,Ori,public reason note,1,1,1,0.174,1
202,17,v16-conflict-d15-t01,Vonn,quiet route detour,0,0,0,0.394,1
203,17,v16-conflict-d15-t03,Sova,shared watch shift,1,1,1,0.2014,1
204,18,v16-conflict-d16-t01,Melo,apology and space,1,1,1,0.2014,1
205,18,v16-conflict-d16-t02,Nari,return tool slot,0,0,0,0.394,1
206,18,v16-conflict-d16-t03,Ori,public reason note,1,1,1,0.187,1
207,18,v16-conflict-d16-t04,Vonn,quiet route detour,1,1,1,0.187,1
208,18,v16-conflict-d16-t05,Sova,shared watch shift,0,0,0,0.394,1
209,18,v16-conflict-d16-t06,Keth,deferred help promise,1,0,1,0.4214,1
210,18,v16-conflict-d16-t08,Melo,apology and space,1,1,1,0.2014,1
211,18,v16-conflict-d16-t09,Nari,return tool slot,0,0,0,0.394,1
212,18,v16-conflict-d16-t10,Ori,public reason note,1,1,1,0.187,1
213,18,v16-conflict-d16-t11,Vonn,quiet route detour,1,1,1,0.174,1
214,18,v16-conflict-d17-t00,Sova,shared watch shift,0,0,1,0.4213,1
215,18,v16-conflict-d17-t02,Keth,deferred help promise,1,1,1,0.2013,1
216,19,v16-conflict-d18-t05,Nari,return tool slot,1,1,1,0.1883,1
217,19,v16-conflict-d18-t07,Ori,public reason note,0,0,1,0.4357,1
218,19,v16-conflict-d18-t08,Vonn,quiet route detour,0,0,1,0.4213,1
219,19,v16-conflict-d18-t09,Sova,shared watch shift,1,1,1,0.2157,1
220,19,v16-conflict-d18-t10,Keth,deferred help promise,0,0,1,0.4213,1
221,19,v16-conflict-d18-t11,Melo,apology and space,1,1,1,0.1883,1
222,19,v16-conflict-d12-t00,Nari,return tool slot,0,0,0,0.3315,1
223,19,v16-conflict-d12-t01,Ori,public reason note,0,0,0,0.3315,1
224,19,v16-conflict-d12-t02,Vonn,quiet route detour,1,1,1,0.1115,1
225,19,v16-conflict-d12-t03,Sova,shared watch shift,1,1,1,0.115,1
226,19,v16-conflict-d12-t05,Keth,deferred help promise,0,0,0,0.335,1
227,19,v16-conflict-d12-t06,Melo,apology and space,1,1,1,0.115,1
228,20,v16-conflict-d13-t06,Ori,public reason note,1,1,1,0.115,1
229,20,v16-conflict-d13-t07,Vonn,quiet route detour,0,0,0,0.3315,1
230,20,v16-conflict-d13-t08,Sova,shared watch shift,0,0,0,0.3315,1
231,20,v16-conflict-d13-t10,Keth,deferred help promise,1,0,0,0.3315,1
232,20,v16-conflict-d13-t11,Melo,apology and space,0,0,1,0.3404,1
233,20,v16-conflict-d14-t00,Nari,return tool slot,1,1,1,0.13,1
234,20,v16-conflict-d14-t01,Ori,public reason note,0,0,1,0.3572,1
235,20,v16-conflict-d14-t02,Vonn,quiet route detour,0,0,0,0.35,1
236,20,v16-conflict-d14-t04,Sova,shared watch shift,1,1,1,0.124,1
237,20,v16-conflict-d14-t05,Keth,deferred help promise,1,1,1,0.1372,1
238,20,v16-conflict-d14-t06,Melo,apology and space,0,0,0,0.344,1
239,20,v16-conflict-d14-t07,Nari,return tool slot,1,1,1,0.124,1
240,21,v16-conflict-d15-t09,Vonn,quiet route detour,0,0,0,0.344,1
241,21,v16-conflict-d15-t10,Sova,shared watch shift,0,0,0,0.35,1
242,21,v16-conflict-d15-t11,Keth,deferred help promise,1,0,0,0.344,1
243,21,v16-conflict-d16-t00,Melo,apology and space,1,1,1,0.145,1
244,21,v16-conflict-d16-t01,Nari,return tool slot,0,0,1,0.374,1
245,21,v16-conflict-d16-t02,Ori,public reason note,0,0,0,0.3565,1
246,21,v16-conflict-d16-t03,Vonn,quiet route detour,1,1,1,0.145,1
247,21,v16-conflict-d16-t04,Sova,shared watch shift,0,0,0,0.365,1
248,21,v16-conflict-d16-t05,Keth,deferred help promise,1,1,1,0.1365,1
249,21,v16-conflict-d16-t06,Melo,apology and space,1,1,1,0.154,1
250,21,v16-conflict-d16-t08,Nari,return tool slot,0,0,1,0.374,1
251,21,v16-conflict-d16-t09,Ori,public reason note,1,1,1,0.1365,1
