tick_id,day,settlement_id,scheduler_id,partner_id,witness_id,scheduled_task,scheduled_room,avatar_action,schedule_source,dependency,start_slot,duration_slots,schedule_status,advanced_without_avatar,visible_schedule_card,private_workspace_sealed
73,5,riverbend,Lio,Cee,Nox,trim lantern,plank hall,ask_forgiveness_limit,resident-to-resident,dry cords,1,1,scheduled,True,True,True
74,5,roofward,Orr,Bex,Fay,set hinge,warm lane,inspect_role_board,resident-to-resident,shade stair,2,2,scheduled,True,True,True
75,5,archive,Rin,Nia,Toma,quiet stacks,ink niche,absent,resident-to-resident,sort tags,3,3,scheduled,True,True,True
76,5,signal,Milo,Ren,Kesh,check rope,signal perch,ask_about_debt,resident-to-resident,fill lantern,4,1,scheduled,True,True,True
77,5,orchard,Mara,Pim,Suf,trade tokens,arrival court,ask_forgiveness_limit,resident-to-resident,dry rows,5,2,scheduled,True,True,True
78,5,repair_ring,Vale,Wren,Juno,test bell,wire bench,inspect_role_board,resident-to-resident,watch sparks,6,3,scheduled,True,True,True
79,5,riverbend,Nox,Ari,Lio,watch water,wet crossing,ask_about_debt,resident-to-resident,repair crossing,7,1,scheduled,True,True,True
80,5,roofward,Fay,Sera,Orr,clean lens,ledger loft,ask_forgiveness_limit,resident-to-resident,sort ledger,8,2,scheduled,True,True,True
81,5,archive,Toma,Vell,Rin,thread spool,memory desk,inspect_role_board,resident-to-resident,seal desk,9,3,renegotiated,True,True,True
82,5,signal,Kesh,Oda,Milo,watch lens,arrival court,absent,resident-to-resident,read wind,10,1,scheduled,True,True,True
83,5,orchard,Suf,Ivo,Mara,watch mud,seed lane,ask_about_debt,resident-to-resident,count seeds,11,2,scheduled,True,True,True
84,5,repair_ring,Juno,Pax,Vale,cool bench,spark lane,ask_forgiveness_limit,resident-to-resident,clip wire,12,3,scheduled,True,True,True
85,5,riverbend,Lio,Cee,Nox,trim lantern,dry ridge,absent,resident-to-resident,dry cords,13,1,scheduled,True,True,True
86,5,roofward,Orr,Bex,Fay,set hinge,sun sill,ask_about_debt,resident-to-resident,shade stair,14,2,scheduled,True,True,True
87,5,archive,Rin,Nia,Toma,quiet stacks,arrival court,ask_forgiveness_limit,resident-to-resident,sort tags,15,3,scheduled,True,True,True
88,5,signal,Milo,Ren,Kesh,check rope,mast base,inspect_role_board,resident-to-resident,fill lantern,16,1,scheduled,True,True,True
89,5,orchard,Mara,Pim,Suf,trade tokens,mud row,absent,resident-to-resident,dry rows,17,2,scheduled,True,True,True
90,6,riverbend,Ari,Lio,Cee,repair crossing,plank hall,ask_forgiveness_limit,resident-to-resident,trim lantern,0,1,renegotiated,True,True,True
91,6,roofward,Sera,Orr,Bex,sort ledger,warm lane,inspect_role_board,resident-to-resident,set hinge,1,2,scheduled,True,True,True
92,6,archive,Vell,Rin,Nia,seal desk,ink niche,absent,resident-to-resident,quiet stacks,2,3,scheduled,True,True,True
93,6,signal,Oda,Milo,Ren,read wind,signal perch,ask_about_debt,resident-to-resident,check rope,3,1,scheduled,True,True,True
94,6,orchard,Ivo,Mara,Pim,count seeds,arrival court,ask_forgiveness_limit,resident-to-resident,trade tokens,4,2,scheduled,True,True,True
95,6,repair_ring,Pax,Vale,Wren,clip wire,wire bench,inspect_role_board,resident-to-resident,test bell,5,3,scheduled,True,True,True
96,6,riverbend,Cee,Nox,Ari,dry cords,wet crossing,ask_about_debt,resident-to-resident,watch water,6,1,scheduled,True,True,True
97,6,roofward,Bex,Fay,Sera,shade stair,ledger loft,ask_forgiveness_limit,resident-to-resident,clean lens,7,2,scheduled,True,True,True
98,6,archive,Nia,Toma,Vell,sort tags,memory desk,inspect_role_board,resident-to-resident,thread spool,8,3,scheduled,True,True,True
99,6,signal,Ren,Kesh,Oda,fill lantern,arrival court,absent,resident-to-resident,watch lens,9,1,renegotiated,True,True,True
100,6,orchard,Pim,Suf,Ivo,dry rows,seed lane,ask_about_debt,resident-to-resident,watch mud,10,2,scheduled,True,True,True
101,6,repair_ring,Wren,Juno,Pax,watch sparks,spark lane,ask_forgiveness_limit,resident-to-resident,cool bench,11,3,scheduled,True,True,True
102,6,riverbend,Ari,Lio,Cee,repair crossing,dry ridge,absent,resident-to-resident,trim lantern,12,1,scheduled,True,True,True
103,6,roofward,Sera,Orr,Bex,sort ledger,sun sill,ask_about_debt,resident-to-resident,set hinge,13,2,scheduled,True,True,True
104,6,archive,Vell,Rin,Nia,seal desk,arrival court,ask_forgiveness_limit,resident-to-resident,quiet stacks,14,3,scheduled,True,True,True
105,6,signal,Oda,Milo,Ren,read wind,mast base,inspect_role_board,resident-to-resident,check rope,15,1,scheduled,True,True,True
106,6,orchard,Ivo,Mara,Pim,count seeds,mud row,absent,resident-to-resident,trade tokens,16,2,scheduled,True,True,True
107,6,repair_ring,Pax,Vale,Wren,clip wire,bell alcove,ask_about_debt,resident-to-resident,test bell,17,3,scheduled,True,True,True
108,7,roofward,Fay,Sera,Orr,clean lens,warm lane,inspect_role_board,resident-to-resident,sort ledger,0,2,renegotiated,True,True,True
109,7,archive,Toma,Vell,Rin,thread spool,ink niche,absent,resident-to-resident,seal desk,1,3,scheduled,True,True,True
110,7,signal,Kesh,Oda,Milo,watch lens,signal perch,ask_about_debt,resident-to-resident,read wind,2,1,scheduled,True,True,True
111,7,orchard,Suf,Ivo,Mara,watch mud,arrival court,ask_forgiveness_limit,resident-to-resident,count seeds,3,2,scheduled,True,True,True
112,7,repair_ring,Juno,Pax,Vale,cool bench,wire bench,inspect_role_board,resident-to-resident,clip wire,4,3,scheduled,True,True,True
113,7,riverbend,Lio,Cee,Nox,trim lantern,wet crossing,ask_about_debt,resident-to-resident,dry cords,5,1,scheduled,True,True,True
114,7,roofward,Orr,Bex,Fay,set hinge,ledger loft,ask_forgiveness_limit,resident-to-resident,shade stair,6,2,scheduled,True,True,True
115,7,archive,Rin,Nia,Toma,quiet stacks,memory desk,inspect_role_board,resident-to-resident,sort tags,7,3,scheduled,True,True,True
116,7,signal,Milo,Ren,Kesh,check rope,arrival court,absent,resident-to-resident,fill lantern,8,1,scheduled,True,True,True
117,7,orchard,Mara,Pim,Suf,trade tokens,seed lane,ask_about_debt,resident-to-resident,dry rows,9,2,renegotiated,True,True,True
118,7,repair_ring,Vale,Wren,Juno,test bell,spark lane,ask_forgiveness_limit,resident-to-resident,watch sparks,10,3,scheduled,True,True,True
119,7,riverbend,Nox,Ari,Lio,watch water,dry ridge,absent,resident-to-resident,repair crossing,11,1,scheduled,True,True,True
120,7,roofward,Fay,Sera,Orr,clean lens,sun sill,ask_about_debt,resident-to-resident,sort ledger,12,2,scheduled,True,True,True
121,7,archive,Toma,Vell,Rin,thread spool,arrival court,ask_forgiveness_limit,resident-to-resident,seal desk,13,3,scheduled,True,True,True
122,7,signal,Kesh,Oda,Milo,watch lens,mast base,inspect_role_board,resident-to-resident,read wind,14,1,scheduled,True,True,True
123,7,orchard,Suf,Ivo,Mara,watch mud,mud row,absent,resident-to-resident,count seeds,15,2,scheduled,True,True,True
124,7,repair_ring,Juno,Pax,Vale,cool bench,bell alcove,ask_about_debt,resident-to-resident,clip wire,16,3,scheduled,True,True,True
125,7,riverbend,Lio,Cee,Nox,trim lantern,kit alcove,inspect_role_board,resident-to-resident,dry cords,17,1,scheduled,True,True,True
126,8,archive,Nia,Toma,Vell,sort tags,ink niche,absent,resident-to-resident,thread spool,0,3,renegotiated,True,True,True
127,8,signal,Ren,Kesh,Oda,fill lantern,signal perch,ask_about_debt,resident-to-resident,watch lens,1,1,scheduled,True,True,True
128,8,orchard,Pim,Suf,Ivo,dry rows,arrival court,ask_forgiveness_limit,resident-to-resident,watch mud,2,2,scheduled,True,True,True
129,8,repair_ring,Wren,Juno,Pax,watch sparks,wire bench,inspect_role_board,resident-to-resident,cool bench,3,3,scheduled,True,True,True
130,8,riverbend,Ari,Lio,Cee,repair crossing,wet crossing,ask_about_debt,resident-to-resident,trim lantern,4,1,scheduled,True,True,True
131,8,roofward,Sera,Orr,Bex,sort ledger,ledger loft,ask_forgiveness_limit,resident-to-resident,set hinge,5,2,scheduled,True,True,True
132,8,archive,Vell,Rin,Nia,seal desk,memory desk,inspect_role_board,resident-to-resident,quiet stacks,6,3,scheduled,True,True,True
133,8,signal,Oda,Milo,Ren,read wind,arrival court,absent,resident-to-resident,check rope,7,1,scheduled,True,True,True
134,8,orchard,Ivo,Mara,Pim,count seeds,seed lane,ask_about_debt,resident-to-resident,trade tokens,8,2,scheduled,True,True,True
135,8,repair_ring,Pax,Vale,Wren,clip wire,spark lane,ask_forgiveness_limit,resident-to-resident,test bell,9,3,renegotiated,True,True,True
136,8,riverbend,Cee,Nox,Ari,dry cords,dry ridge,absent,resident-to-resident,watch water,10,1,scheduled,True,True,True
137,8,roofward,Bex,Fay,Sera,shade stair,sun sill,ask_about_debt,resident-to-resident,clean lens,11,2,scheduled,True,True,True
138,8,archive,Nia,Toma,Vell,sort tags,arrival court,ask_forgiveness_limit,resident-to-resident,thread spool,12,3,scheduled,True,True,True
139,8,signal,Ren,Kesh,Oda,fill lantern,mast base,inspect_role_board,resident-to-resident,watch lens,13,1,scheduled,True,True,True
140,8,orchard,Pim,Suf,Ivo,dry rows,mud row,absent,resident-to-resident,watch mud,14,2,scheduled,True,True,True
141,8,repair_ring,Wren,Juno,Pax,watch sparks,bell alcove,ask_about_debt,resident-to-resident,cool bench,15,3,scheduled,True,True,True
142,8,riverbend,Ari,Lio,Cee,repair crossing,kit alcove,inspect_role_board,resident-to-resident,trim lantern,16,1,scheduled,True,True,True
143,8,roofward,Sera,Orr,Bex,sort ledger,arrival court,absent,resident-to-resident,set hinge,17,2,scheduled,True,True,True
144,9,signal,Milo,Ren,Kesh,check rope,signal perch,ask_about_debt,resident-to-resident,fill lantern,0,1,renegotiated,True,True,True
145,9,orchard,Mara,Pim,Suf,trade tokens,arrival court,ask_forgiveness_limit,resident-to-resident,dry rows,1,2,scheduled,True,True,True
146,9,repair_ring,Vale,Wren,Juno,test bell,wire bench,inspect_role_board,resident-to-resident,watch sparks,2,3,scheduled,True,True,True
147,9,riverbend,Nox,Ari,Lio,watch water,wet crossing,ask_about_debt,resident-to-resident,repair crossing,3,1,scheduled,True,True,True
148,9,roofward,Fay,Sera,Orr,clean lens,ledger loft,ask_forgiveness_limit,resident-to-resident,sort ledger,4,2,scheduled,True,True,True
149,9,archive,Toma,Vell,Rin,thread spool,memory desk,inspect_role_board,resident-to-resident,seal desk,5,3,scheduled,True,True,True
150,9,signal,Kesh,Oda,Milo,watch lens,arrival court,absent,resident-to-resident,read wind,6,1,scheduled,True,True,True
151,9,orchard,Suf,Ivo,Mara,watch mud,seed lane,ask_about_debt,resident-to-resident,count seeds,7,2,scheduled,True,True,True
152,9,repair_ring,Juno,Pax,Vale,cool bench,spark lane,ask_forgiveness_limit,resident-to-resident,clip wire,8,3,scheduled,True,True,True
153,9,riverbend,Lio,Cee,Nox,trim lantern,dry ridge,absent,resident-to-resident,dry cords,9,1,renegotiated,True,True,True
154,9,roofward,Orr,Bex,Fay,set hinge,sun sill,ask_about_debt,resident-to-resident,shade stair,10,2,scheduled,True,True,True
155,9,archive,Rin,Nia,Toma,quiet stacks,arrival court,ask_forgiveness_limit,resident-to-resident,sort tags,11,3,scheduled,True,True,True
156,9,signal,Milo,Ren,Kesh,check rope,mast base,inspect_role_board,resident-to-resident,fill lantern,12,1,scheduled,True,True,True
157,9,orchard,Mara,Pim,Suf,trade tokens,mud row,absent,resident-to-resident,dry rows,13,2,scheduled,True,True,True
158,9,repair_ring,Vale,Wren,Juno,test bell,bell alcove,ask_about_debt,resident-to-resident,watch sparks,14,3,scheduled,True,True,True
159,9,riverbend,Nox,Ari,Lio,watch water,kit alcove,inspect_role_board,resident-to-resident,repair crossing,15,1,scheduled,True,True,True
160,9,roofward,Fay,Sera,Orr,clean lens,arrival court,absent,resident-to-resident,sort ledger,16,2,scheduled,True,True,True
161,9,archive,Toma,Vell,Rin,thread spool,stone stacks,ask_about_debt,resident-to-resident,seal desk,17,3,scheduled,True,True,True
162,10,orchard,Ivo,Mara,Pim,count seeds,arrival court,ask_forgiveness_limit,resident-to-resident,trade tokens,0,2,renegotiated,True,True,True
163,10,repair_ring,Pax,Vale,Wren,clip wire,wire bench,inspect_role_board,resident-to-resident,test bell,1,3,scheduled,True,True,True
164,10,riverbend,Cee,Nox,Ari,dry cords,wet crossing,ask_about_debt,resident-to-resident,watch water,2,1,scheduled,True,True,True
165,10,roofward,Bex,Fay,Sera,shade stair,ledger loft,ask_forgiveness_limit,resident-to-resident,clean lens,3,2,scheduled,True,True,True
166,10,archive,Nia,Toma,Vell,sort tags,memory desk,inspect_role_board,resident-to-resident,thread spool,4,3,scheduled,True,True,True
167,10,signal,Ren,Kesh,Oda,fill lantern,arrival court,absent,resident-to-resident,watch lens,5,1,scheduled,True,True,True
168,10,orchard,Pim,Suf,Ivo,dry rows,seed lane,ask_about_debt,resident-to-resident,watch mud,6,2,scheduled,True,True,True
169,10,repair_ring,Wren,Juno,Pax,watch sparks,spark lane,ask_forgiveness_limit,resident-to-resident,cool bench,7,3,scheduled,True,True,True
170,10,riverbend,Ari,Lio,Cee,repair crossing,dry ridge,absent,resident-to-resident,trim lantern,8,1,scheduled,True,True,True
171,10,roofward,Sera,Orr,Bex,sort ledger,sun sill,ask_about_debt,resident-to-resident,set hinge,9,2,renegotiated,True,True,True
172,10,archive,Vell,Rin,Nia,seal desk,arrival court,ask_forgiveness_limit,resident-to-resident,quiet stacks,10,3,scheduled,True,True,True
173,10,signal,Oda,Milo,Ren,read wind,mast base,inspect_role_board,resident-to-resident,check rope,11,1,scheduled,True,True,True
174,10,orchard,Ivo,Mara,Pim,count seeds,mud row,absent,resident-to-resident,trade tokens,12,2,scheduled,True,True,True
175,10,repair_ring,Pax,Vale,Wren,clip wire,bell alcove,ask_about_debt,resident-to-resident,test bell,13,3,scheduled,True,True,True
176,10,riverbend,Cee,Nox,Ari,dry cords,kit alcove,inspect_role_board,resident-to-resident,watch water,14,1,scheduled,True,True,True
177,10,roofward,Bex,Fay,Sera,shade stair,arrival court,absent,resident-to-resident,clean lens,15,2,scheduled,True,True,True
178,10,archive,Nia,Toma,Vell,sort tags,stone stacks,ask_about_debt,resident-to-resident,thread spool,16,3,scheduled,True,True,True
179,10,signal,Ren,Kesh,Oda,fill lantern,lantern walk,ask_forgiveness_limit,resident-to-resident,watch lens,17,1,scheduled,True,True,True
180,11,repair_ring,Juno,Pax,Vale,cool bench,wire bench,inspect_role_board,resident-to-resident,clip wire,0,3,renegotiated,True,True,True
181,11,riverbend,Lio,Cee,Nox,trim lantern,wet crossing,ask_about_debt,resident-to-resident,dry cords,1,1,scheduled,True,True,True
182,11,roofward,Orr,Bex,Fay,set hinge,ledger loft,ask_forgiveness_limit,resident-to-resident,shade stair,2,2,scheduled,True,True,True
183,11,archive,Rin,Nia,Toma,quiet stacks,memory desk,inspect_role_board,resident-to-resident,sort tags,3,3,scheduled,True,True,True
184,11,signal,Milo,Ren,Kesh,check rope,arrival court,absent,resident-to-resident,fill lantern,4,1,scheduled,True,True,True
185,11,orchard,Mara,Pim,Suf,trade tokens,seed lane,ask_about_debt,resident-to-resident,dry rows,5,2,scheduled,True,True,True
186,11,repair_ring,Vale,Wren,Juno,test bell,spark lane,ask_forgiveness_limit,resident-to-resident,watch sparks,6,3,scheduled,True,True,True
187,11,riverbend,Nox,Ari,Lio,watch water,dry ridge,absent,resident-to-resident,repair crossing,7,1,scheduled,True,True,True
188,11,roofward,Fay,Sera,Orr,clean lens,sun sill,ask_about_debt,resident-to-resident,sort ledger,8,2,scheduled,True,True,True
189,11,archive,Toma,Vell,Rin,thread spool,arrival court,ask_forgiveness_limit,resident-to-resident,seal desk,9,3,renegotiated,True,True,True
190,11,signal,Kesh,Oda,Milo,watch lens,mast base,inspect_role_board,resident-to-resident,read wind,10,1,scheduled,True,True,True
191,11,orchard,Suf,Ivo,Mara,watch mud,mud row,absent,resident-to-resident,count seeds,11,2,scheduled,True,True,True
192,11,repair_ring,Juno,Pax,Vale,cool bench,bell alcove,ask_about_debt,resident-to-resident,clip wire,12,3,scheduled,True,True,True
193,11,riverbend,Lio,Cee,Nox,trim lantern,kit alcove,inspect_role_board,resident-to-resident,dry cords,13,1,scheduled,True,True,True
194,11,roofward,Orr,Bex,Fay,set hinge,arrival court,absent,resident-to-resident,shade stair,14,2,scheduled,True,True,True
195,11,archive,Rin,Nia,Toma,quiet stacks,stone stacks,ask_about_debt,resident-to-resident,sort tags,15,3,scheduled,True,True,True
196,11,signal,Milo,Ren,Kesh,check rope,lantern walk,ask_forgiveness_limit,resident-to-resident,fill lantern,16,1,scheduled,True,True,True
197,11,orchard,Mara,Pim,Suf,trade tokens,market plank,inspect_role_board,resident-to-resident,dry rows,17,2,scheduled,True,True,True
198,12,riverbend,Ari,Lio,Cee,repair crossing,wet crossing,ask_about_debt,resident-to-resident,trim lantern,0,1,renegotiated,True,True,True
199,12,roofward,Sera,Orr,Bex,sort ledger,ledger loft,ask_forgiveness_limit,resident-to-resident,set hinge,1,2,scheduled,True,True,True
200,12,archive,Vell,Rin,Nia,seal desk,memory desk,inspect_role_board,resident-to-resident,quiet stacks,2,3,scheduled,True,True,True
201,12,signal,Oda,Milo,Ren,read wind,arrival court,absent,resident-to-resident,check rope,3,1,scheduled,True,True,True
202,12,orchard,Ivo,Mara,Pim,count seeds,seed lane,ask_about_debt,resident-to-resident,trade tokens,4,2,scheduled,True,True,True
203,12,repair_ring,Pax,Vale,Wren,clip wire,spark lane,ask_forgiveness_limit,resident-to-resident,test bell,5,3,scheduled,True,True,True
204,12,riverbend,Cee,Nox,Ari,dry cords,dry ridge,absent,resident-to-resident,watch water,6,1,scheduled,True,True,True
205,12,roofward,Bex,Fay,Sera,shade stair,sun sill,ask_about_debt,resident-to-resident,clean lens,7,2,scheduled,True,True,True
