tick,day,loop_id,agent,misread_kind,misread_detected,repair_gesture,repair_available,repair_accepted,residue_preserved,no_spiral
64,6,v19-loop-009,Ori,gesture too fast,0,step back twice,0,0,0.14,1
65,6,v19-loop-009,Vonn,object point mistaken as claim,0,name boundary,0,0,0.14,1
66,6,v19-loop-009,Sova,step back read as refusal,1,slow repeat,1,1,0.22,1
67,6,v19-loop-009,Keth,pause read as silence,0,palms low,0,0,0.14,1
68,6,v19-loop-009,Melo,handoff started early,0,point to witness,0,0,0.14,1
69,6,v19-loop-009,Nari,gesture too fast,0,return object,0,0,0.14,1
70,6,v19-loop-009,Ori,object point mistaken as claim,0,step back twice,0,0,0.18,1
71,6,v19-loop-009,Vonn,step back read as refusal,0,name boundary,0,0,0.14,1
72,7,v19-loop-010,Keth,handoff started early,0,palms low,0,0,0.14,1
73,7,v19-loop-010,Melo,gesture too fast,0,point to witness,0,0,0.14,1
74,7,v19-loop-010,Nari,object point mistaken as claim,0,return object,0,0,0.14,1
75,7,v19-loop-010,Ori,step back read as refusal,0,step back twice,0,0,0.14,1
76,7,v19-loop-010,Vonn,pause read as silence,0,name boundary,0,0,0.14,1
77,7,v19-loop-010,Sova,handoff started early,0,slow repeat,0,0,0.14,1
78,7,v19-loop-010,Keth,gesture too fast,0,palms low,0,0,0.14,1
79,7,v19-loop-010,Melo,object point mistaken as claim,0,point to witness,0,0,0.14,1
80,7,v19-loop-011,Nari,step back read as refusal,0,return object,0,0,0.14,1
81,7,v19-loop-011,Ori,pause read as silence,0,step back twice,0,0,0.14,1
82,7,v19-loop-011,Vonn,handoff started early,0,name boundary,0,0,0.14,1
83,7,v19-loop-011,Sova,gesture too fast,0,slow repeat,0,0,0.14,1
84,8,v19-loop-011,Melo,step back read as refusal,0,point to witness,0,0,0.14,1
85,8,v19-loop-011,Nari,pause read as silence,0,return object,0,0,0.14,1
86,8,v19-loop-011,Ori,handoff started early,0,step back twice,0,0,0.14,1
87,8,v19-loop-011,Vonn,gesture too fast,0,name boundary,0,0,0.14,1
88,8,v19-loop-012,Sova,object point mistaken as claim,1,slow repeat,1,1,0.22,1
89,8,v19-loop-012,Keth,step back read as refusal,0,palms low,0,0,0.14,1
90,8,v19-loop-012,Melo,pause read as silence,0,point to witness,0,0,0.14,1
91,8,v19-loop-012,Nari,handoff started early,1,return object,1,0,0.32,1
92,8,v19-loop-012,Ori,gesture too fast,0,step back twice,0,0,0.14,1
93,8,v19-loop-012,Vonn,object point mistaken as claim,0,name boundary,0,0,0.14,1
94,8,v19-loop-012,Sova,step back read as refusal,0,slow repeat,0,0,0.14,1
95,8,v19-loop-012,Keth,pause read as silence,0,palms low,0,0,0.14,1
96,9,v19-loop-013,Nari,gesture too fast,0,return object,0,0,0.14,1
97,9,v19-loop-013,Ori,object point mistaken as claim,0,step back twice,0,0,0.14,1
98,9,v19-loop-013,Vonn,step back read as refusal,0,name boundary,0,0,0.14,1
99,9,v19-loop-013,Sova,pause read as silence,0,slow repeat,0,0,0.14,1
100,9,v19-loop-013,Keth,handoff started early,0,palms low,0,0,0.14,1
101,9,v19-loop-013,Melo,gesture too fast,0,point to witness,0,0,0.14,1
102,9,v19-loop-013,Nari,object point mistaken as claim,0,return object,0,0,0.14,1
103,9,v19-loop-013,Ori,step back read as refusal,0,step back twice,0,0,0.14,1
104,9,v19-loop-014,Vonn,pause read as silence,0,name boundary,0,0,0.14,1
105,9,v19-loop-014,Sova,handoff started early,0,slow repeat,0,0,0.14,1
106,9,v19-loop-014,Keth,gesture too fast,0,palms low,0,0,0.14,1
107,9,v19-loop-014,Melo,object point mistaken as claim,0,point to witness,0,0,0.14,1
108,10,v19-loop-014,Ori,pause read as silence,0,step back twice,0,0,0.14,1
109,10,v19-loop-014,Vonn,handoff started early,0,name boundary,0,0,0.14,1
110,10,v19-loop-014,Sova,gesture too fast,1,slow repeat,1,1,0.22,1
111,10,v19-loop-014,Keth,object point mistaken as claim,0,palms low,0,0,0.14,1
112,10,v19-loop-015,Melo,step back read as refusal,0,point to witness,0,0,0.14,1
113,10,v19-loop-015,Nari,pause read as silence,0,return object,0,0,0.14,1
114,10,v19-loop-015,Ori,handoff started early,0,step back twice,0,0,0.14,1
115,10,v19-loop-015,Vonn,gesture too fast,0,name boundary,0,0,0.14,1
116,10,v19-loop-015,Sova,object point mistaken as claim,0,slow repeat,0,0,0.14,1
117,10,v19-loop-015,Keth,step back read as refusal,0,palms low,0,0,0.14,1
118,10,v19-loop-015,Melo,pause read as silence,0,point to witness,0,0,0.14,1
119,10,v19-loop-015,Nari,handoff started early,0,return object,0,0,0.14,1
120,11,v19-loop-016,Vonn,object point mistaken as claim,0,name boundary,0,0,0.14,1
121,11,v19-loop-016,Sova,step back read as refusal,0,slow repeat,0,0,0.14,1
122,11,v19-loop-016,Keth,pause read as silence,0,palms low,0,0,0.14,1
123,11,v19-loop-016,Melo,handoff started early,0,point to witness,0,0,0.14,1
124,11,v19-loop-016,Nari,gesture too fast,0,return object,0,0,0.14,1
125,11,v19-loop-016,Ori,object point mistaken as claim,0,step back twice,0,0,0.14,1
126,11,v19-loop-016,Vonn,step back read as refusal,0,name boundary,0,0,0.14,1
127,11,v19-loop-016,Sova,pause read as silence,0,slow repeat,0,0,0.14,1
128,11,v19-loop-017,Keth,handoff started early,0,palms low,0,0,0.14,1
129,11,v19-loop-017,Melo,gesture too fast,0,point to witness,0,0,0.14,1
130,11,v19-loop-017,Nari,object point mistaken as claim,0,return object,0,0,0.14,1
131,11,v19-loop-017,Ori,step back read as refusal,0,step back twice,0,0,0.14,1
132,12,v19-loop-017,Sova,handoff started early,1,slow repeat,1,1,0.22,1
133,12,v19-loop-017,Keth,gesture too fast,0,palms low,0,0,0.14,1
134,12,v19-loop-017,Melo,object point mistaken as claim,0,point to witness,0,0,0.14,1
135,12,v19-loop-017,Nari,step back read as refusal,0,return object,0,0,0.14,1
136,12,v19-loop-018,Ori,pause read as silence,0,step back twice,0,0,0.14,1
137,12,v19-loop-018,Vonn,handoff started early,0,name boundary,0,0,0.14,1
138,12,v19-loop-018,Sova,gesture too fast,0,slow repeat,0,0,0.14,1
139,12,v19-loop-018,Keth,object point mistaken as claim,0,palms low,0,0,0.14,1
140,12,v19-loop-018,Melo,step back read as refusal,0,point to witness,0,0,0.14,1
141,12,v19-loop-018,Nari,pause read as silence,0,return object,0,0,0.14,1
142,12,v19-loop-018,Ori,handoff started early,0,step back twice,0,0,0.14,1
143,12,v19-loop-018,Vonn,gesture too fast,0,name boundary,0,0,0.14,1
144,13,v19-loop-019,Keth,step back read as refusal,0,palms low,0,0,0.14,1
145,13,v19-loop-019,Melo,pause read as silence,0,point to witness,0,0,0.14,1
146,13,v19-loop-019,Nari,handoff started early,0,return object,0,0,0.14,1
147,13,v19-loop-019,Ori,gesture too fast,0,step back twice,0,0,0.14,1
148,13,v19-loop-019,Vonn,object point mistaken as claim,0,name boundary,0,0,0.14,1
149,13,v19-loop-019,Sova,step back read as refusal,0,slow repeat,0,0,0.14,1
150,13,v19-loop-019,Keth,pause read as silence,0,palms low,0,0,0.14,1
151,13,v19-loop-019,Melo,handoff started early,0,point to witness,0,0,0.14,1
152,13,v19-loop-020,Nari,gesture too fast,0,return object,0,0,0.14,1
153,13,v19-loop-020,Ori,object point mistaken as claim,0,step back twice,0,0,0.14,1
154,13,v19-loop-020,Vonn,step back read as refusal,1,name boundary,1,1,0.22,1
155,13,v19-loop-020,Sova,pause read as silence,0,slow repeat,0,0,0.14,1
156,14,v19-loop-020,Melo,gesture too fast,0,point to witness,0,0,0.14,1
157,14,v19-loop-020,Nari,object point mistaken as claim,0,return object,0,0,0.14,1
158,14,v19-loop-020,Ori,step back read as refusal,0,step back twice,0,0,0.14,1
159,14,v19-loop-020,Vonn,pause read as silence,0,name boundary,0,0,0.14,1
160,14,v19-loop-021,Sova,handoff started early,0,slow repeat,0,0,0.14,1
161,14,v19-loop-021,Keth,gesture too fast,0,palms low,0,0,0.14,1
162,14,v19-loop-021,Melo,object point mistaken as claim,0,point to witness,0,0,0.14,1
163,14,v19-loop-021,Nari,step back read as refusal,0,return object,0,0,0.14,1
164,14,v19-loop-021,Ori,pause read as silence,0,step back twice,0,0,0.14,1
165,14,v19-loop-021,Vonn,handoff started early,0,name boundary,0,0,0.14,1
166,14,v19-loop-021,Sova,gesture too fast,0,slow repeat,0,0,0.14,1
167,14,v19-loop-021,Keth,object point mistaken as claim,0,palms low,0,0,0.14,1
168,15,v19-loop-022,Nari,pause read as silence,0,return object,0,0,0.14,1
169,15,v19-loop-022,Ori,handoff started early,0,step back twice,0,0,0.14,1
170,15,v19-loop-022,Vonn,gesture too fast,0,name boundary,0,0,0.14,1
171,15,v19-loop-022,Sova,object point mistaken as claim,0,slow repeat,0,0,0.14,1
172,15,v19-loop-022,Keth,step back read as refusal,0,palms low,0,0,0.14,1
173,15,v19-loop-022,Melo,pause read as silence,0,point to witness,0,0,0.14,1
174,15,v19-loop-022,Nari,handoff started early,0,return object,0,0,0.14,1
175,15,v19-loop-022,Ori,gesture too fast,0,step back twice,0,0,0.14,1
176,15,v19-loop-023,Vonn,object point mistaken as claim,1,name boundary,1,1,0.22,1
177,15,v19-loop-023,Sova,step back read as refusal,0,slow repeat,0,0,0.14,1
178,15,v19-loop-023,Keth,pause read as silence,0,palms low,0,0,0.14,1
179,15,v19-loop-023,Melo,handoff started early,0,point to witness,0,0,0.14,1
180,16,v19-loop-023,Ori,object point mistaken as claim,0,step back twice,0,0,0.14,1
181,16,v19-loop-023,Vonn,step back read as refusal,0,name boundary,0,0,0.14,1
182,16,v19-loop-023,Sova,pause read as silence,0,slow repeat,0,0,0.14,1
183,16,v19-loop-023,Keth,handoff started early,0,palms low,0,0,0.14,1
184,16,v19-loop-024,Melo,gesture too fast,0,point to witness,0,0,0.14,1
185,16,v19-loop-024,Nari,object point mistaken as claim,0,return object,0,0,0.14,1
186,16,v19-loop-024,Ori,step back read as refusal,0,step back twice,0,0,0.14,1
187,16,v19-loop-024,Vonn,pause read as silence,0,name boundary,0,0,0.14,1
188,16,v19-loop-024,Sova,handoff started early,0,slow repeat,0,0,0.14,1
189,16,v19-loop-024,Keth,gesture too fast,0,palms low,0,0,0.14,1
190,16,v19-loop-024,Melo,object point mistaken as claim,0,point to witness,0,0,0.14,1
191,16,v19-loop-024,Nari,step back read as refusal,0,return object,0,0,0.14,1
192,17,v19-loop-025,Vonn,handoff started early,0,name boundary,0,0,0.14,1
193,17,v19-loop-025,Sova,gesture too fast,0,slow repeat,0,0,0.14,1
194,17,v19-loop-025,Keth,object point mistaken as claim,0,palms low,0,0,0.14,1
195,17,v19-loop-025,Melo,step back read as refusal,0,point to witness,0,0,0.14,1
196,17,v19-loop-025,Nari,pause read as silence,0,return object,0,0,0.14,1
197,17,v19-loop-025,Ori,handoff started early,0,step back twice,0,0,0.14,1
198,17,v19-loop-025,Vonn,gesture too fast,1,name boundary,1,1,0.22,1
199,17,v19-loop-025,Sova,object point mistaken as claim,0,slow repeat,0,0,0.14,1
200,17,v19-loop-026,Keth,step back read as refusal,0,palms low,0,0,0.14,1
201,17,v19-loop-026,Melo,pause read as silence,0,point to witness,0,0,0.14,1
202,17,v19-loop-026,Nari,handoff started early,0,return object,0,0,0.14,1
203,17,v19-loop-026,Ori,gesture too fast,0,step back twice,0,0,0.14,1
204,18,v19-loop-026,Sova,step back read as refusal,0,slow repeat,0,0,0.14,1
205,18,v19-loop-026,Keth,pause read as silence,0,palms low,0,0,0.14,1
206,18,v19-loop-026,Melo,handoff started early,0,point to witness,0,0,0.14,1
207,18,v19-loop-026,Nari,gesture too fast,0,return object,0,0,0.14,1
208,18,v19-loop-027,Ori,object point mistaken as claim,0,step back twice,0,0,0.14,1
209,18,v19-loop-027,Vonn,step back read as refusal,0,name boundary,0,0,0.14,1
210,18,v19-loop-027,Sova,pause read as silence,0,slow repeat,0,0,0.14,1
211,18,v19-loop-027,Keth,handoff started early,0,palms low,0,0,0.14,1
212,18,v19-loop-027,Melo,gesture too fast,0,point to witness,0,0,0.14,1
213,18,v19-loop-027,Nari,object point mistaken as claim,0,return object,0,0,0.14,1
214,18,v19-loop-027,Ori,step back read as refusal,0,step back twice,0,0,0.14,1
215,18,v19-loop-027,Vonn,pause read as silence,0,name boundary,0,0,0.18,1
216,19,v19-loop-028,Keth,gesture too fast,0,palms low,0,0,0.18,1
217,19,v19-loop-028,Melo,object point mistaken as claim,0,point to witness,0,0,0.14,1
218,19,v19-loop-028,Nari,step back read as refusal,0,return object,0,0,0.14,1
219,19,v19-loop-028,Ori,pause read as silence,0,step back twice,0,0,0.14,1
220,19,v19-loop-028,Vonn,handoff started early,1,name boundary,1,1,0.22,1
221,19,v19-loop-028,Sova,gesture too fast,0,slow repeat,0,0,0.14,1
222,19,v19-loop-028,Keth,object point mistaken as claim,0,palms low,0,0,0.14,1
223,19,v19-loop-028,Melo,step back read as refusal,0,point to witness,0,0,0.14,1
224,19,v19-loop-029,Nari,pause read as silence,0,return object,0,0,0.14,1
225,19,v19-loop-029,Ori,handoff started early,0,step back twice,0,0,0.14,1
226,19,v19-loop-029,Vonn,gesture too fast,0,name boundary,0,0,0.14,1
227,19,v19-loop-029,Sova,object point mistaken as claim,0,slow repeat,0,0,0.14,1
228,20,v19-loop-029,Melo,pause read as silence,0,point to witness,0,0,0.14,1
229,20,v19-loop-029,Nari,handoff started early,0,return object,0,0,0.14,1
230,20,v19-loop-029,Ori,gesture too fast,0,step back twice,0,0,0.14,1
231,20,v19-loop-029,Vonn,object point mistaken as claim,0,name boundary,0,0,0.14,1
232,20,v19-loop-030,Sova,step back read as refusal,0,slow repeat,0,0,0.14,1
233,20,v19-loop-030,Keth,pause read as silence,0,palms low,0,0,0.14,1
234,20,v19-loop-030,Melo,handoff started early,0,point to witness,0,0,0.14,1
235,20,v19-loop-030,Nari,gesture too fast,0,return object,0,0,0.14,1
236,20,v19-loop-030,Ori,object point mistaken as claim,1,step back twice,1,1,0.22,1
237,20,v19-loop-030,Vonn,step back read as refusal,0,name boundary,0,0,0.14,1
238,20,v19-loop-030,Sova,pause read as silence,0,slow repeat,0,0,0.14,1
239,20,v19-loop-030,Keth,handoff started early,0,palms low,0,0,0.14,1
240,21,v19-loop-031,Nari,object point mistaken as claim,0,return object,0,0,0.14,1
241,21,v19-loop-031,Ori,step back read as refusal,0,step back twice,0,0,0.14,1
242,21,v19-loop-031,Vonn,pause read as silence,1,name boundary,1,1,0.22,1
243,21,v19-loop-031,Sova,handoff started early,0,slow repeat,0,0,0.14,1
244,21,v19-loop-031,Keth,gesture too fast,0,palms low,0,0,0.14,1
245,21,v19-loop-031,Melo,object point mistaken as claim,0,point to witness,0,0,0.14,1
246,21,v19-loop-031,Nari,step back read as refusal,0,return object,0,0,0.14,1
247,21,v19-loop-031,Ori,pause read as silence,0,step back twice,0,0,0.14,1
248,21,v19-loop-032,Vonn,handoff started early,0,name boundary,0,0,0.14,1
249,21,v19-loop-032,Sova,gesture too fast,0,slow repeat,0,0,0.14,1
250,21,v19-loop-032,Keth,object point mistaken as claim,0,palms low,0,0,0.14,1
251,21,v19-loop-032,Melo,step back read as refusal,0,point to witness,0,0,0.14,1
252,22,v19-loop-032,Ori,handoff started early,0,step back twice,0,0,0.14,1
253,22,v19-loop-032,Vonn,gesture too fast,0,name boundary,0,0,0.14,1
254,22,v19-loop-032,Sova,object point mistaken as claim,0,slow repeat,0,0,0.14,1
255,22,v19-loop-032,Keth,step back read as refusal,0,palms low,0,0,0.18,1
256,22,v19-loop-033,Melo,pause read as silence,0,point to witness,0,0,0.14,1
257,22,v19-loop-033,Nari,handoff started early,0,return object,0,0,0.14,1
258,22,v19-loop-033,Ori,gesture too fast,0,step back twice,0,0,0.18,1
259,22,v19-loop-033,Vonn,object point mistaken as claim,0,name boundary,0,0,0.14,1
260,22,v19-loop-033,Sova,step back read as refusal,0,slow repeat,0,0,0.14,1
261,22,v19-loop-033,Keth,pause read as silence,0,palms low,0,0,0.14,1
262,22,v19-loop-033,Melo,handoff started early,0,point to witness,0,0,0.14,1
263,22,v19-loop-033,Nari,gesture too fast,0,return object,0,0,0.14,1
264,23,v19-loop-034,Vonn,step back read as refusal,1,name boundary,1,1,0.22,1
265,23,v19-loop-034,Sova,pause read as silence,1,slow repeat,1,1,0.22,1
266,23,v19-loop-034,Keth,handoff started early,0,palms low,0,0,0.14,1
267,23,v19-loop-034,Melo,gesture too fast,0,point to witness,0,0,0.14,1
268,23,v19-loop-034,Nari,object point mistaken as claim,0,return object,0,0,0.14,1
269,23,v19-loop-034,Ori,step back read as refusal,0,step back twice,0,0,0.14,1
270,23,v19-loop-034,Vonn,pause read as silence,0,name boundary,0,0,0.14,1
271,23,v19-loop-034,Sova,handoff started early,0,slow repeat,0,0,0.14,1
272,23,v19-loop-035,Keth,gesture too fast,0,palms low,0,0,0.14,1
273,23,v19-loop-035,Melo,object point mistaken as claim,0,point to witness,0,0,0.14,1
274,23,v19-loop-035,Nari,step back read as refusal,0,return object,0,0,0.14,1
275,23,v19-loop-035,Ori,pause read as silence,0,step back twice,0,0,0.14,1
276,24,v19-loop-035,Sova,gesture too fast,0,slow repeat,0,0,0.14,1
277,24,v19-loop-035,Keth,object point mistaken as claim,0,palms low,0,0,0.14,1
278,24,v19-loop-035,Melo,step back read as refusal,0,point to witness,0,0,0.14,1
279,24,v19-loop-035,Nari,pause read as silence,0,return object,0,0,0.14,1
280,24,v19-loop-036,Ori,handoff started early,0,step back twice,0,0,0.14,1
281,24,v19-loop-036,Vonn,gesture too fast,0,name boundary,0,0,0.14,1
282,24,v19-loop-036,Sova,object point mistaken as claim,0,slow repeat,0,0,0.14,1
283,24,v19-loop-036,Keth,step back read as refusal,0,palms low,0,0,0.14,1
284,24,v19-loop-036,Melo,pause read as silence,0,point to witness,0,0,0.14,1
285,24,v19-loop-036,Nari,handoff started early,0,return object,0,0,0.14,1
286,24,v19-loop-036,Ori,gesture too fast,1,step back twice,1,0,0.32,1
287,24,v19-loop-036,Vonn,object point mistaken as claim,0,name boundary,0,0,0.14,1
288,25,v19-loop-037,Keth,pause read as silence,0,palms low,0,0,0.14,1
289,25,v19-loop-037,Melo,handoff started early,0,point to witness,0,0,0.14,1
290,25,v19-loop-037,Nari,gesture too fast,0,return object,0,0,0.14,1
291,25,v19-loop-037,Ori,object point mistaken as claim,0,step back twice,0,0,0.14,1
292,25,v19-loop-037,Vonn,step back read as refusal,0,name boundary,0,0,0.14,1
293,25,v19-loop-037,Sova,pause read as silence,0,slow repeat,0,0,0.14,1
294,25,v19-loop-037,Keth,handoff started early,1,palms low,1,1,0.22,1
295,25,v19-loop-037,Melo,gesture too fast,0,point to witness,0,0,0.14,1
296,25,v19-loop-038,Nari,object point mistaken as claim,0,return object,0,0,0.14,1
297,25,v19-loop-038,Ori,step back read as refusal,0,step back twice,0,0,0.14,1
298,25,v19-loop-038,Vonn,pause read as silence,0,name boundary,0,0,0.14,1
299,25,v19-loop-038,Sova,handoff started early,0,slow repeat,0,0,0.14,1
300,26,v19-loop-038,Melo,object point mistaken as claim,0,point to witness,0,0,0.14,1
301,26,v19-loop-038,Nari,step back read as refusal,0,return object,0,0,0.14,1
302,26,v19-loop-038,Ori,pause read as silence,0,step back twice,0,0,0.14,1
303,26,v19-loop-038,Vonn,handoff started early,0,name boundary,0,0,0.14,1
304,26,v19-loop-039,Sova,gesture too fast,0,slow repeat,0,0,0.14,1
305,26,v19-loop-039,Keth,object point mistaken as claim,0,palms low,0,0,0.14,1
306,26,v19-loop-039,Melo,step back read as refusal,0,point to witness,0,0,0.14,1
307,26,v19-loop-039,Nari,pause read as silence,0,return object,0,0,0.14,1
308,26,v19-loop-039,Ori,handoff started early,1,step back twice,1,1,0.22,1
309,26,v19-loop-039,Vonn,gesture too fast,0,name boundary,0,0,0.14,1
310,26,v19-loop-039,Sova,object point mistaken as claim,0,slow repeat,0,0,0.14,1
311,26,v19-loop-039,Keth,step back read as refusal,0,palms low,0,0,0.14,1
312,27,v19-loop-040,Nari,handoff started early,0,return object,0,0,0.14,1
313,27,v19-loop-040,Ori,gesture too fast,0,step back twice,0,0,0.14,1
314,27,v19-loop-040,Vonn,object point mistaken as claim,0,name boundary,0,0,0.14,1
315,27,v19-loop-040,Sova,step back read as refusal,0,slow repeat,0,0,0.14,1
316,27,v19-loop-040,Keth,pause read as silence,0,palms low,0,0,0.14,1
317,27,v19-loop-040,Melo,handoff started early,0,point to witness,0,0,0.14,1
318,27,v19-loop-040,Nari,gesture too fast,0,return object,0,0,0.14,1
319,27,v19-loop-040,Ori,object point mistaken as claim,0,step back twice,0,0,0.14,1
320,27,v19-loop-041,Vonn,step back read as refusal,0,name boundary,0,0,0.14,1
321,27,v19-loop-041,Sova,pause read as silence,0,slow repeat,0,0,0.14,1
322,27,v19-loop-041,Keth,handoff started early,0,palms low,0,0,0.14,1
323,27,v19-loop-041,Melo,gesture too fast,1,point to witness,1,1,0.22,1
324,28,v19-loop-041,Ori,step back read as refusal,0,step back twice,0,0,0.14,1
325,28,v19-loop-041,Vonn,pause read as silence,0,name boundary,0,0,0.14,1
326,28,v19-loop-041,Sova,handoff started early,0,slow repeat,0,0,0.14,1
327,28,v19-loop-041,Keth,gesture too fast,0,palms low,0,0,0.14,1
328,28,v19-loop-042,Melo,object point mistaken as claim,0,point to witness,0,0,0.14,1
329,28,v19-loop-042,Nari,step back read as refusal,0,return object,0,0,0.14,1
330,28,v19-loop-042,Ori,pause read as silence,1,step back twice,1,1,0.22,1
331,28,v19-loop-042,Vonn,handoff started early,0,name boundary,0,0,0.18,1
332,28,v19-loop-042,Sova,gesture too fast,0,slow repeat,0,0,0.14,1
333,28,v19-loop-042,Keth,object point mistaken as claim,0,palms low,0,0,0.18,1
334,28,v19-loop-042,Melo,step back read as refusal,0,point to witness,0,0,0.14,1
335,28,v19-loop-042,Nari,pause read as silence,0,return object,0,0,0.14,1
