tick,day,scene_id,sound_rate_hz,movement_rate_hz,smell_intensity,temperature_c,wetness,comfort_delta,pain_pressure,sensory_bound_to_scene,flower_phase
54,4,v20-scene-d04,1.73,1.26,0.24,17.16,0.13,0.19,0.1,1,308.996914
55,4,v20-scene-d04,1.76,1.26,0.31,16.06,0.3,0.19,0.03,1,87.074678
56,5,v20-scene-d05,1.37,1.16,0.24,17.2,0.13,0.19,0.03,1,214.08276
57,5,v20-scene-d05,1.4,1.09,0.2,17.2,0.13,0.04,0.06,1,349.770524
58,5,v20-scene-d05,1.38,1.16,0.24,17.2,0.13,0.19,0.03,1,129.288288
59,5,v20-scene-d05,1.46,1.22,0.24,17.2,0.13,0.19,0.1,1,270.176052
60,5,v20-scene-d05,1.49,1.15,0.27,16.1,0.3,0.14,0.03,1,45.863816
61,5,v20-scene-d05,1.52,1.22,0.31,18.7,0.13,0.19,0.03,1,186.33158
62,5,v20-scene-d05,1.55,1.15,0.2,17.2,0.13,0.14,0.06,1,322.019344
63,5,v20-scene-d05,1.58,1.12,0.24,17.2,0.13,0.19,0.03,1,99.387108
64,5,v20-scene-d05,1.61,1.05,0.2,17.2,0.13,0.14,0.03,0,235.074872
65,5,v20-scene-d05,1.64,1.12,0.24,17.2,0.13,0.19,0.1,1,15.542636
66,5,v20-scene-d05,1.62,1.12,0.31,16.1,0.3,0.19,0.03,1,152.6704
67,5,v20-scene-d05,1.7,1.22,0.31,18.7,0.13,0.19,0.03,1,294.798164
68,5,v20-scene-d05,1.73,1.22,0.24,17.2,0.13,0.19,0.03,1,72.875928
69,5,v20-scene-d05,1.76,1.22,0.24,17.2,0.13,0.19,0.03,1,210.953692
70,6,v20-scene-d06,1.37,1.12,0.24,17.24,0.13,0.19,0.1,1,337.913572
71,6,v20-scene-d06,1.4,1.05,0.27,16.14,0.3,0.14,0.03,1,113.601336
72,6,v20-scene-d06,1.43,1.16,0.31,18.74,0.13,0.19,0.03,1,255.3091
73,6,v20-scene-d06,1.41,1.12,0.24,17.24,0.13,0.19,0.03,1,31.196864
74,6,v20-scene-d06,1.49,1.22,0.24,17.24,0.13,0.19,0.03,1,173.324628
75,6,v20-scene-d06,1.52,1.22,0.24,17.24,0.13,0.19,0.03,1,311.402392
76,6,v20-scene-d06,1.55,1.22,0.24,17.24,0.13,0.19,0.1,1,89.480156
77,6,v20-scene-d06,1.58,1.15,0.27,16.14,0.3,0.14,0.03,1,225.16792
78,6,v20-scene-d06,1.61,1.05,0.27,18.74,0.13,0.14,0.03,1,0.145684
79,6,v20-scene-d06,1.64,1.12,0.24,17.24,0.13,0.19,0.03,1,140.613448
80,6,v20-scene-d06,1.67,1.12,0.24,17.24,0.13,0.19,0.03,1,278.691212
81,6,v20-scene-d06,1.65,1.16,0.24,17.24,0.13,0.19,0.03,1,57.058976
82,6,v20-scene-d06,1.73,1.22,0.24,17.24,0.13,0.19,0.1,1,197.94674
83,6,v20-scene-d06,1.76,1.22,0.31,16.14,0.3,0.19,0.03,1,336.024504
84,7,v20-scene-d07,1.37,1.26,0.24,17.28,0.17,0.19,0.03,1,107.280329
85,7,v20-scene-d07,1.4,1.09,0.2,17.28,0.17,0.14,0.03,1,239.868093
86,7,v20-scene-d07,1.43,1.16,0.24,17.28,0.17,0.19,0.03,1,20.335857
87,7,v20-scene-d07,1.46,1.16,0.24,17.28,0.17,0.19,0.1,1,158.413621
88,7,v20-scene-d07,1.44,1.16,0.31,16.18,0.34,0.19,0.03,1,295.541385
89,7,v20-scene-d07,1.52,1.19,0.27,18.78,0.17,0.14,0.03,1,75.279149
90,7,v20-scene-d07,1.55,1.26,0.24,17.28,0.17,0.19,0.03,1,215.746913
91,7,v20-scene-d07,1.58,1.22,0.24,17.28,0.17,0.19,0.03,1,352.584677
92,7,v20-scene-d07,1.61,1.15,0.2,17.28,0.17,0.14,0.03,1,128.272441
93,7,v20-scene-d07,1.64,1.05,0.2,17.28,0.17,0.14,0.13,1,263.250205
94,7,v20-scene-d07,1.67,1.12,0.31,16.18,0.34,0.19,0.03,1,43.717969
95,7,v20-scene-d07,1.7,1.12,0.31,18.78,0.17,0.19,0.03,0,181.795733
96,7,v20-scene-d07,1.68,1.12,0.24,17.28,0.17,0.19,0.03,1,318.923497
97,7,v20-scene-d07,1.76,1.22,0.24,17.28,0.17,0.19,0.03,1,101.051261
98,8,v20-scene-d08,1.37,1.22,0.24,17.32,0.13,0.19,0.1,1,231.032073
99,8,v20-scene-d08,1.4,1.19,0.27,16.22,0.3,0.14,0.03,1,7.959837
100,8,v20-scene-d08,1.43,1.12,0.31,18.82,0.13,0.19,0.03,1,144.087601
101,8,v20-scene-d08,1.46,1.12,0.24,17.32,0.13,0.19,0.03,1,282.165365
102,8,v20-scene-d08,1.49,1.12,0.24,17.32,0.13,0.19,0.03,1,60.243129
103,8,v20-scene-d08,1.47,1.12,0.24,17.32,0.13,0.19,0.03,1,197.370893
104,8,v20-scene-d08,1.55,1.22,0.24,17.32,0.13,0.19,0.1,1,339.498657
105,8,v20-scene-d08,1.58,1.22,0.31,16.22,0.3,0.19,0.03,1,117.576421
106,8,v20-scene-d08,1.61,1.15,0.27,18.82,0.13,0.14,0.03,1,253.264185
107,8,v20-scene-d08,1.64,1.22,0.24,17.32,0.13,0.19,0.03,1,33.731949
108,8,v20-scene-d08,1.67,1.16,0.24,17.32,0.13,0.19,0.03,1,169.949713
109,8,v20-scene-d08,1.7,1.12,0.24,17.32,0.13,0.19,0.03,1,306.787477
110,8,v20-scene-d08,1.73,1.12,0.24,17.32,0.13,0.19,0.1,1,84.865241
111,8,v20-scene-d08,1.71,1.12,0.31,16.22,0.3,0.19,0.03,1,221.993005
112,9,v20-scene-d09,1.37,1.22,0.24,17.36,0.13,0.19,0.03,1,356.001663
113,9,v20-scene-d09,1.4,1.15,0.2,17.36,0.13,0.14,0.03,1,131.689427
114,9,v20-scene-d09,1.38,1.19,0.2,17.36,0.13,-0.01,0.11,1,270.057191
115,9,v20-scene-d09,1.46,1.16,0.24,17.36,0.13,0.19,0.1,1,48.374955
116,9,v20-scene-d09,1.49,1.16,0.31,16.26,0.3,0.19,0.03,1,186.452719
117,9,v20-scene-d09,1.52,1.16,0.31,18.86,0.13,0.19,0.03,1,324.530483
118,9,v20-scene-d09,1.5,1.09,0.2,17.36,0.13,0.14,0.03,1,99.268247
119,9,v20-scene-d09,1.58,1.22,0.24,17.36,0.13,0.19,0.03,1,242.546011
120,9,v20-scene-d09,1.61,1.15,0.2,17.36,0.13,0.14,0.03,1,18.233775
121,9,v20-scene-d09,1.64,1.22,0.24,17.36,0.13,0.19,0.1,1,158.701539
122,9,v20-scene-d09,1.67,1.22,0.31,16.26,0.3,0.19,0.03,1,296.779303
123,9,v20-scene-d09,1.7,1.12,0.31,18.86,0.13,0.19,0.03,1,71.757067
124,9,v20-scene-d09,1.73,1.05,0.2,17.36,0.13,0.14,0.06,1,207.444831
125,9,v20-scene-d09,1.76,1.12,0.24,17.36,0.13,0.19,0.03,1,347.912595
126,10,v20-scene-d10,1.37,1.26,0.24,17.4,0.13,0.19,0.1,0,122.204411
127,10,v20-scene-d10,1.4,1.15,0.27,16.3,0.3,0.14,0.03,1,256.652175
128,10,v20-scene-d10,1.43,1.22,0.31,18.9,0.13,0.19,0.03,1,37.119939
129,10,v20-scene-d10,1.46,1.22,0.24,17.4,0.13,0.19,0.03,1,175.197703
130,10,v20-scene-d10,1.49,1.12,0.24,17.4,0.13,0.19,0.03,1,310.175467
131,10,v20-scene-d10,1.52,1.12,0.24,17.4,0.13,0.19,0.03,1,88.253231
132,10,v20-scene-d10,1.55,1.12,0.24,17.4,0.13,0.19,0.1,1,226.330995
133,10,v20-scene-d10,1.53,1.12,0.31,16.3,0.3,0.19,0.03,1,3.458759
134,10,v20-scene-d10,1.61,1.15,0.27,18.9,0.13,0.14,0.03,1,143.196523
135,10,v20-scene-d10,1.64,1.22,0.24,17.4,0.13,0.19,0.03,1,283.664287
136,10,v20-scene-d10,1.67,1.22,0.24,17.4,0.13,0.19,0.03,1,61.742051
137,10,v20-scene-d10,1.7,1.22,0.24,17.4,0.13,0.19,0.03,1,199.819815
138,10,v20-scene-d10,1.73,1.12,0.24,17.4,0.13,0.19,0.1,1,334.797579
139,10,v20-scene-d10,1.76,1.12,0.31,16.3,0.3,0.19,0.03,1,112.875343
140,11,v20-scene-d11,1.32,1.12,0.24,17.44,0.13,0.19,0.03,1,241.886399
141,11,v20-scene-d11,1.4,1.15,0.2,17.44,0.13,0.14,0.03,1,21.624163
142,11,v20-scene-d11,1.43,1.22,0.24,17.44,0.13,0.19,0.03,1,162.091927
143,11,v20-scene-d11,1.46,1.22,0.24,17.44,0.13,0.19,0.1,1,300.169691
144,11,v20-scene-d11,1.49,1.26,0.31,16.34,0.3,0.19,0.03,1,79.487455
145,11,v20-scene-d11,1.52,1.12,0.31,18.94,0.13,0.19,0.03,1,213.225219
146,11,v20-scene-d11,1.55,1.16,0.24,17.44,0.13,0.19,0.03,1,352.542983
147,11,v20-scene-d11,1.58,1.09,0.2,17.44,0.13,0.14,0.03,1,128.230747
148,11,v20-scene-d11,1.56,1.09,0.2,17.44,0.13,0.14,0.03,1,265.358511
149,11,v20-scene-d11,1.64,1.26,0.24,17.44,0.13,0.19,0.1,1,49.876275
150,11,v20-scene-d11,1.67,1.22,0.31,16.34,0.3,0.19,0.03,1,186.714039
151,11,v20-scene-d11,1.7,1.15,0.27,18.94,0.13,0.14,0.03,1,322.401803
152,11,v20-scene-d11,1.73,1.22,0.24,17.44,0.13,0.19,0.03,1,102.869567
153,11,v20-scene-d11,1.76,1.16,0.24,17.44,0.13,0.19,0.03,1,239.087331
154,12,v20-scene-d12,1.37,1.12,0.24,17.48,0.13,0.19,0.1,1,7.832664
155,12,v20-scene-d12,1.35,1.05,0.27,16.38,0.3,0.14,0.06,1,142.570428
156,12,v20-scene-d12,1.43,1.22,0.31,18.98,0.13,0.19,0.03,1,287.088192
157,12,v20-scene-d12,1.46,1.22,0.24,17.48,0.13,0.19,0.03,0,65.165956
158,12,v20-scene-d12,1.49,1.22,0.24,17.48,0.13,0.19,0.03,1,203.24372
159,12,v20-scene-d12,1.52,1.22,0.24,17.48,0.13,0.19,0.03,1,341.321484
160,12,v20-scene-d12,1.55,1.12,0.24,17.48,0.13,0.19,0.1,1,116.299248
161,12,v20-scene-d12,1.58,1.12,0.31,16.38,0.3,0.19,0.03,1,254.377012
162,12,v20-scene-d12,1.61,1.09,0.27,18.98,0.13,0.14,0.03,1,31.304776
163,12,v20-scene-d12,1.59,1.12,0.24,17.48,0.13,0.19,0.03,1,169.58254
164,12,v20-scene-d12,1.67,1.22,0.24,17.48,0.13,0.19,0.03,1,311.710304
165,12,v20-scene-d12,1.7,1.22,0.24,17.48,0.13,0.19,0.03,1,89.788068
166,12,v20-scene-d12,1.73,1.22,0.24,17.48,0.13,0.19,0.1,1,227.865832
167,12,v20-scene-d12,1.76,1.22,0.31,16.38,0.3,0.19,0.03,1,5.943596
168,13,v20-scene-d13,1.37,1.12,0.24,17.52,0.13,0.19,0.03,1,132.865581
169,13,v20-scene-d13,1.4,1.05,0.2,17.52,0.13,0.14,0.03,1,268.553345
170,13,v20-scene-d13,1.38,1.12,0.24,17.52,0.13,0.19,0.03,1,48.071109
171,13,v20-scene-d13,1.46,1.22,0.24,17.52,0.13,0.19,0.1,1,190.198873
172,13,v20-scene-d13,1.49,1.22,0.31,16.42,0.3,0.19,0.03,1,328.276637
173,13,v20-scene-d13,1.52,1.22,0.31,19.02,0.13,0.19,0.03,1,106.354401
174,13,v20-scene-d13,1.55,1.26,0.24,17.52,0.13,0.19,0.03,1,245.672165
175,13,v20-scene-d13,1.58,1.16,0.24,17.52,0.13,0.19,0.03,1,20.649929
176,13,v20-scene-d13,1.61,1.09,0.2,17.52,0.13,0.14,0.03,1,156.337693
177,13,v20-scene-d13,1.64,1.16,0.24,17.52,0.13,0.19,0.1,1,296.805457
178,13,v20-scene-d13,1.62,1.16,0.31,16.42,0.3,0.19,0.03,1,73.933221
179,13,v20-scene-d13,1.7,1.26,0.31,19.02,0.13,0.19,0.03,1,216.060985
180,13,v20-scene-d13,1.73,1.22,0.24,17.52,0.13,0.19,0.03,1,352.898749
181,13,v20-scene-d13,1.76,1.22,0.24,17.52,0.13,0.19,0.03,1,130.976513
182,14,v20-scene-d14,1.37,1.12,0.24,17.56,0.17,0.19,0.1,1,257.94351
183,14,v20-scene-d14,1.4,1.05,0.27,16.46,0.34,0.14,0.03,1,33.631274
184,14,v20-scene-d14,1.43,1.12,0.31,19.06,0.17,0.19,0.03,1,174.099038
185,14,v20-scene-d14,1.41,1.12,0.24,17.56,0.17,0.19,0.03,1,311.226802
186,14,v20-scene-d14,1.49,1.15,0.2,17.56,0.17,0.14,0.06,1,90.964566
187,14,v20-scene-d14,1.52,1.22,0.24,17.56,0.17,0.19,0.03,1,231.43233
188,14,v20-scene-d14,1.55,1.15,0.2,17.56,0.17,0.14,0.1,0,7.120094
189,14,v20-scene-d14,1.58,1.22,0.31,16.46,0.34,0.19,0.03,1,147.587858
190,14,v20-scene-d14,1.61,1.05,0.27,19.06,0.17,0.14,0.03,1,280.175622
191,14,v20-scene-d14,1.64,1.12,0.24,17.56,0.17,0.19,0.03,1,60.643386
192,14,v20-scene-d14,1.67,1.12,0.24,17.56,0.17,0.19,0.03,1,198.72115
193,14,v20-scene-d14,1.65,1.12,0.24,17.56,0.17,0.19,0.03,1,335.848914
194,14,v20-scene-d14,1.73,1.22,0.24,17.56,0.17,0.19,0.1,1,117.976678
195,14,v20-scene-d14,1.76,1.22,0.31,16.46,0.34,0.19,0.03,1,256.054442
196,15,v20-scene-d15,1.37,1.22,0.24,17.6,0.13,0.19,0.03,1,26.169817
197,15,v20-scene-d15,1.4,1.05,0.2,17.6,0.13,0.14,0.03,1,158.757581
198,15,v20-scene-d15,1.43,1.16,0.24,17.6,0.13,0.19,0.03,1,300.465345
199,15,v20-scene-d15,1.46,1.12,0.24,17.6,0.13,0.19,0.1,1,77.303109
200,15,v20-scene-d15,1.44,1.12,0.31,16.5,0.3,0.19,0.03,1,214.430873
201,15,v20-scene-d15,1.52,1.22,0.31,19.1,0.13,0.19,0.03,1,356.558637
202,15,v20-scene-d15,1.55,1.22,0.24,17.6,0.13,0.19,0.03,1,134.636401
203,15,v20-scene-d15,1.58,1.22,0.24,17.6,0.13,0.19,0.03,1,272.714165
204,15,v20-scene-d15,1.61,1.19,0.2,17.6,0.13,0.14,0.03,1,49.641929
205,15,v20-scene-d15,1.64,1.09,0.2,17.6,0.13,0.14,0.1,1,184.619693
206,15,v20-scene-d15,1.67,1.16,0.31,16.5,0.3,0.19,0.03,1,325.087457
207,15,v20-scene-d15,1.7,1.16,0.31,19.1,0.13,0.19,0.03,1,103.165221
208,15,v20-scene-d15,1.68,1.16,0.24,17.6,0.13,0.19,0.03,1,240.292985
209,15,v20-scene-d15,1.71,1.19,0.2,17.6,0.13,-0.01,0.11,1,19.080749
210,16,v20-scene-d16,1.37,1.22,0.24,17.64,0.13,0.19,0.1,1,151.342577
211,16,v20-scene-d16,1.4,1.15,0.27,16.54,0.3,0.14,0.03,1,287.030341
212,16,v20-scene-d16,1.43,1.12,0.31,19.14,0.13,0.19,0.03,1,64.398105
213,16,v20-scene-d16,1.46,1.12,0.24,17.64,0.13,0.19,0.03,1,202.475869
214,16,v20-scene-d16,1.49,1.12,0.24,17.64,0.13,0.19,0.03,1,340.553633
215,16,v20-scene-d16,1.47,1.12,0.24,17.64,0.13,0.19,0.03,1,117.681397
216,16,v20-scene-d16,1.55,1.26,0.24,17.64,0.13,0.19,0.1,1,261.049161
217,16,v20-scene-d16,1.58,1.15,0.27,16.54,0.3,0.14,0.06,1,35.496925
218,16,v20-scene-d16,1.61,1.15,0.27,19.14,0.13,0.14,0.03,1,173.574689
219,16,v20-scene-d16,1.64,1.22,0.24,17.64,0.13,0.19,0.03,0,314.042453
220,16,v20-scene-d16,1.67,1.12,0.24,17.64,0.13,0.19,0.03,1,89.020217
221,16,v20-scene-d16,1.7,1.12,0.24,17.64,0.13,0.19,0.03,1,227.097981
222,16,v20-scene-d16,1.73,1.12,0.24,17.64,0.13,0.19,0.1,1,5.175745
223,16,v20-scene-d16,1.71,1.12,0.31,16.54,0.3,0.19,0.03,1,142.303509
224,17,v20-scene-d17,1.37,1.22,0.24,17.68,0.13,0.19,0.03,1,276.554728
225,17,v20-scene-d17,1.4,1.19,0.2,17.68,0.13,0.14,0.03,1,53.482492
226,17,v20-scene-d17,1.43,1.22,0.24,17.68,0.13,0.19,0.03,1,192.710256
227,17,v20-scene-d17,1.46,1.12,0.24,17.68,0.13,0.19,0.1,1,327.68802
228,17,v20-scene-d17,1.49,1.12,0.31,16.58,0.3,0.19,0.03,1,105.765784
229,17,v20-scene-d17,1.52,1.12,0.31,19.18,0.13,0.19,0.03,1,243.843548
230,17,v20-scene-d17,1.5,1.12,0.24,17.68,0.13,0.19,0.03,1,20.971312
231,17,v20-scene-d17,1.58,1.22,0.24,17.68,0.13,0.19,0.03,1,163.099076
232,17,v20-scene-d17,1.61,1.15,0.2,17.68,0.13,0.14,0.03,1,298.78684
233,17,v20-scene-d17,1.64,1.22,0.24,17.68,0.13,0.19,0.1,1,79.254604
234,17,v20-scene-d17,1.67,1.19,0.27,16.58,0.3,0.14,0.03,1,216.182368
235,17,v20-scene-d17,1.7,1.16,0.31,19.18,0.13,0.19,0.03,1,353.550132
236,17,v20-scene-d17,1.73,1.16,0.24,17.68,0.13,0.19,0.03,1,131.627896
237,17,v20-scene-d17,1.76,1.16,0.24,17.68,0.13,0.19,0.03,1,269.70566
238,18,v20-scene-d18,1.37,1.26,0.24,17.72,0.13,0.19,0.1,1,43.034885
239,18,v20-scene-d18,1.4,1.15,0.27,16.62,0.3,0.14,0.03,1,177.482649
240,18,v20-scene-d18,1.43,1.22,0.31,19.22,0.13,0.19,0.03,1,317.950413
241,18,v20-scene-d18,1.46,1.22,0.24,17.72,0.13,0.19,0.03,1,96.028177
242,18,v20-scene-d18,1.49,1.12,0.24,17.72,0.13,0.19,0.03,1,231.005941
243,18,v20-scene-d18,1.52,1.16,0.24,17.72,0.13,0.19,0.03,1,10.323705
244,18,v20-scene-d18,1.55,1.12,0.24,17.72,0.13,0.19,0.1,1,147.161469
245,18,v20-scene-d18,1.53,1.12,0.31,16.62,0.3,0.19,0.03,1,284.289233
246,18,v20-scene-d18,1.61,1.15,0.27,19.22,0.13,0.14,0.03,1,64.026997
247,18,v20-scene-d18,1.64,1.22,0.24,17.72,0.13,0.19,0.03,1,204.494761
248,18,v20-scene-d18,1.67,1.15,0.2,17.72,0.13,0.14,0.06,1,340.182525
249,18,v20-scene-d18,1.7,1.22,0.24,17.72,0.13,0.19,0.03,1,120.650289
250,18,v20-scene-d18,1.73,1.12,0.24,17.72,0.13,0.19,0.1,0,255.628053
251,18,v20-scene-d18,1.76,1.12,0.31,16.62,0.3,0.19,0.03,1,33.705817
252,19,v20-scene-d19,1.32,1.12,0.24,17.76,0.13,0.19,0.03,1,162.998583
253,19,v20-scene-d19,1.4,1.15,0.2,17.76,0.13,0.14,0.03,1,302.736347
254,19,v20-scene-d19,1.43,1.22,0.24,17.76,0.13,0.19,0.03,1,83.204111
255,19,v20-scene-d19,1.46,1.22,0.24,17.76,0.13,0.19,0.1,1,221.281875
256,19,v20-scene-d19,1.49,1.22,0.31,16.66,0.3,0.19,0.03,1,359.359639
257,19,v20-scene-d19,1.52,1.12,0.31,19.26,0.13,0.19,0.03,1,134.337403
258,19,v20-scene-d19,1.55,1.12,0.24,17.76,0.13,0.19,0.03,1,272.415167
259,19,v20-scene-d19,1.58,1.12,0.24,17.76,0.13,0.19,0.03,1,50.492931
260,19,v20-scene-d19,1.56,1.05,0.2,17.76,0.13,0.14,0.03,1,185.230695
261,19,v20-scene-d19,1.64,1.26,0.24,17.76,0.13,0.19,0.1,1,330.988459
262,19,v20-scene-d19,1.67,1.19,0.27,16.66,0.3,0.14,0.03,1,106.676223
263,19,v20-scene-d19,1.7,1.15,0.27,19.26,0.13,0.14,0.03,1,243.513987
264,19,v20-scene-d19,1.73,1.26,0.24,17.76,0.13,0.19,0.03,1,25.221751
265,19,v20-scene-d19,1.76,1.16,0.24,17.76,0.13,0.19,0.03,1,160.199515
266,20,v20-scene-d20,1.37,1.09,0.2,17.8,0.13,0.04,0.13,1,288.04985
267,20,v20-scene-d20,1.35,1.05,0.27,16.7,0.3,0.14,0.03,1,63.937614
268,20,v20-scene-d20,1.43,1.26,0.31,19.3,0.13,0.19,0.03,1,209.695378
269,20,v20-scene-d20,1.46,1.22,0.24,17.8,0.13,0.19,0.03,1,346.533142
270,20,v20-scene-d20,1.49,1.26,0.24,17.8,0.13,0.19,0.03,1,125.850906
271,20,v20-scene-d20,1.52,1.22,0.24,17.8,0.13,0.19,0.03,1,262.68867
272,20,v20-scene-d20,1.55,1.12,0.24,17.8,0.13,0.19,0.1,1,37.666434
273,20,v20-scene-d20,1.58,1.12,0.31,16.7,0.3,0.19,0.03,1,175.744198
274,20,v20-scene-d20,1.61,1.05,0.27,19.3,0.13,0.14,0.03,1,311.431962
275,20,v20-scene-d20,1.59,1.12,0.24,17.8,0.13,0.19,0.03,1,90.949726
276,20,v20-scene-d20,1.67,1.22,0.24,17.8,0.13,0.19,0.03,1,233.07749
277,20,v20-scene-d20,1.7,1.22,0.24,17.8,0.13,0.19,0.03,1,11.155254
278,20,v20-scene-d20,1.73,1.22,0.24,17.8,0.13,0.19,0.1,1,149.233018
279,20,v20-scene-d20,1.76,1.19,0.27,16.7,0.3,0.14,0.06,1,286.160782
280,21,v20-scene-d21,1.37,1.12,0.24,17.84,0.17,0.19,0.03,1,54.432989
281,21,v20-scene-d21,1.4,1.05,0.2,17.84,0.17,0.14,0.03,0,190.120753
282,21,v20-scene-d21,1.38,1.12,0.24,17.84,0.17,0.19,0.03,1,329.638517
283,21,v20-scene-d21,1.46,1.22,0.24,17.84,0.17,0.19,0.1,1,111.766281
284,21,v20-scene-d21,1.49,1.22,0.31,16.74,0.34,0.19,0.03,1,249.844045
285,21,v20-scene-d21,1.52,1.22,0.31,19.34,0.17,0.19,0.03,1,27.921809
286,21,v20-scene-d21,1.55,1.22,0.24,17.84,0.17,0.19,0.03,1,165.999573
287,21,v20-scene-d21,1.58,1.12,0.24,17.84,0.17,0.19,0.03,1,300.977337
